"herocard.family.title.abyss","蛮荒地界家族"
"herocard.family.title.garrison","驻军守卫家族"
"herocard.family.title.garrison.short","驻军守卫"
"herocard.family.title.goblin","哥布林家族"
"herocard.family.title.goblin.short","哥布林"
"herocard.family.title.guardian","守护者家族"
"herocard.family.title.guardian.short","守护者"
"herocard.family.title.halloween","莫洛维亚家族"
"herocard.family.title.halloween.short","莫洛维亚"
"herocard.family.title.helheim","海姆冥界王国"
"herocard.family.title.helheim.short","海姆冥界"
"herocard.family.title.hotm","传奇{0}家族"
"herocard.family.title.hotm.short","传奇{0}"
"herocard.family.title.institute","学院家族"
"herocard.family.title.institute.short","学院"
"herocard.family.title.investigator","调查员家族"
"herocard.family.title.investigator.short","调查员"
"herocard.family.title.japanese","樱花家族"
"herocard.family.title.japanese.short","樱花"
"herocard.family.title.jotunheim","约顿海姆王国"
"herocard.family.title.jotunheim.short","约顿海姆"
"herocard.family.title.journey","西游家族"
"herocard.family.title.journey.short","西游"
"herocard.family.title.jungle_hunter","丛林猎人家族"
"herocard.family.title.jungle_hunter.short","丛林猎人"
"herocard.family.title.kalevala","卡勒瓦拉家族"
"herocard.family.title.kalevala.short","卡勒瓦拉"
"herocard.family.title.kingdom","三国家族"
"herocard.family.title.kingdom.short","三国"
"herocard.family.title.knight","阿瓦隆家族"
"herocard.family.title.knight.short","阿瓦隆"
"herocard.family.title.lagoon","环礁湖家族"
"herocard.family.title.lagoon.short","环礁湖"
"herocard.family.title.magic","魔法家族"
"herocard.family.title.magic.short","魔法"
"herocard.family.title.magic_carpet","魔毯家族"
"herocard.family.title.magic_carpet.short","魔毯"
"herocard.family.title.mahayoddha","马哈尤达家族"
"herocard.family.title.mahayoddha.short","马哈尤达"
"herocard.family.title.masquerade","蒙面之神家族"
"herocard.family.title.masquerade.short","蒙面之神"
"herocard.family.title.masquerade_pve","蒙面之神家族"
"herocard.family.title.masquerade_pve.short","蒙面之神"
"herocard.family.title.midgard","米德加德王国"
"herocard.family.title.midgard.short","米德加德"
"herocard.family.title.mighty_pet","超能萌宠家族"
"herocard.family.title.mighty_pet.short","超能萌宠"
"herocard.family.title.mimic","拟态兽家族"
"herocard.family.title.mimic.short","拟态兽"
"herocard.family.title.moon","月亮家族"
"herocard.family.title.moon.short","月亮"
"herocard.family.title.moths","飞蛾家族"
"herocard.family.title.moths.short","飞蛾"
"herocard.family.title.musketeer","火枪手家族"
"herocard.family.title.musketeer.short","火枪手"
"herocard.family.title.muspelheim","穆斯贝尔海姆王国"
"herocard.family.title.muspelheim.short","穆斯贝尔海姆"
"herocard.family.title.myrkheim","马克海姆"
"herocard.family.title.myrkheim.short","马克海姆"
"herocard.family.title.mystery","神秘家族"
"herocard.family.title.mystery.short","神秘"
"herocard.family.title.nidavellir","尼达维利尔王国"
"herocard.family.title.nidavellir.short","尼达维利尔"
"herocard.family.title.niflheim","尼福尔海姆王国"
"herocard.family.title.niflheim.short","尼福尔海姆"
"herocard.family.title.ninja","忍者家族"
"herocard.family.title.ninja.short","忍者"
"herocard.family.title.ninja2","忍者家族"
"herocard.family.title.ninja2.short","忍者"
"herocard.family.title.opera","歌剧家族"
"herocard.family.title.opera.short","歌剧"
"herocard.family.title.outlaw","梁山好汉家族"
"herocard.family.title.outlaw.short","梁山好汉"
"herocard.family.title.owl","猫头鹰家族"
"herocard.family.title.owl.short","猫头鹰"
"herocard.family.title.pirate","海盗家族"
"herocard.family.title.pirate.short","海盗"
"herocard.family.title.plains_hunter","平原猎人家族"
"herocard.family.title.plains_hunter.short","平原猎人"
"herocard.family.title.raven","渡鸦家族"
"herocard.family.title.raven.short","渡鸦"
"herocard.family.title.raven_pve.short","渡鸦"
"herocard.family.title.sand","飞沙帝国家族"
"herocard.family.title.sand.short","飞沙帝国"
"herocard.family.title.shady_scoundrels","暗影无赖家族"
"herocard.family.title.shady_scoundrels.short","暗影无赖"
"herocard.family.title.slayers","杀手家族"
"herocard.family.title.slayers.short","杀手"
"herocard.family.title.slime","史莱姆家族"
"herocard.family.title.slime.short","史莱姆"
"herocard.family.title.stag","雄鹿家族"
"herocard.family.title.stag.short","雄鹿"
"herocard.family.title.stag_pve.short","雄鹿"
"herocard.family.title.styx","冥河家族"
"herocard.family.title.styx.short","冥河"
"herocard.family.title.sun","太阳家族"
"herocard.family.title.sun.short","太阳"
"herocard.family.title.super_elemental","超级元素人家族"
"herocard.family.title.super_elemental.short","超级元素人"
"herocard.family.title.svartalfheim","瓦特海姆王国"
"herocard.family.title.svartalfheim.short","瓦特海姆"
"herocard.family.title.tales1_baddies","亚特兰蒂斯梦魇家族"
"herocard.family.title.tales1_baddies.short","亚特兰蒂斯梦魇"
"herocard.family.title.tales1_goodies","亚特兰蒂斯卫士家族"
"herocard.family.title.tales1_goodies.short","亚特兰蒂斯卫士"
"herocard.family.title.titan_hunter","泰坦猎手家族"
"herocard.family.title.titan_hunter.short","泰坦猎手"
"herocard.family.title.vanaheim","瓦纳海姆王国"
"herocard.family.title.vanaheim.short","瓦纳海姆"
"herocard.family.title.vegetable","英勇植物家族"
"herocard.family.title.vegetable.short","英勇植物"
"herocard.family.title.villains","恶棍家族"
"herocard.family.title.villains.short","恶棍"
"herocard.family.title.wild_cat","野猫家族"
"herocard.family.title.wild_cat.short","野猫"
"herocard.family.title.winter","冬日家族"
"herocard.family.title.winter.short","冬日"
"herocard.family.title.wolf","恶狼家族"
"herocard.family.title.wolf.short","恶狼"
"herocard.family.title.wolf_pve.short","恶狼"
"herocard.family.title.wonderland","仙境家族"
"herocard.family.title.wonderland.short","仙境"
"herocard.family.title.zodiac","农历生肖家族"
"herocard.family.title.zodiac.short","农历生肖"
