"heroes.name.astral_cosmicspeaker","コスミックスピーカー"
"heroes.name.castle_bear_winnie","ウィニー"
"heroes.name.castle_bear_yona","ヨナ"
"heroes.name.castle_raven_aderyn","アデリン"
"heroes.name.castle_raven_eloise","エロイーズ"
"heroes.name.castle_raven_franz","フランツ"
"heroes.name.castle_raven_lewena","レヴェナ"
"heroes.name.castle_raven_quintin","クインティン"
"heroes.name.castle_raven_rayne","レイン"
"heroes.name.castle_raven_wren","レン"
"heroes.name.castle_stag_alvar","アルバー"
"heroes.name.castle_stag_cecilia","セシリア"
"heroes.name.castle_stag_daemon","ダイモン"
"heroes.name.castle_stag_fawn","フォーン"
"heroes.name.castle_stag_lysanor","ライサナ"
"heroes.name.castle_stag_raleigh","ローリー"
"heroes.name.castle_stag_siofra","シオフラ"
"heroes.name.castle_stag_xiamara","シャマラ"
"heroes.name.castle_wolf_bertulf","ベルトルフ"
"heroes.name.castle_wolf_esme","エスメ"
"heroes.name.castle_wolf_ferant","フェラント"
"heroes.name.castle_wolf_ludwig","ルードヴィヒ"
"heroes.name.castle_wolf_quenell","クエネル"
"heroes.name.castle_wolf_wolfgang","ヴォルフガング"
"heroes.name.champions_lazara","ラザラ"
"heroes.name.champions_mistra","ミストラ"
"heroes.name.champions_nogu","ノグ"
"heroes.name.champions_norman","ノーマン"
"heroes.name.champions_ramona","ラモナ"
"heroes.name.champions_satori","サトリ"
"heroes.name.christmas_albin","アルビン"
"heroes.name.christmas_augustus","オーガスタス"
"heroes.name.christmas_buster","バスター"
"heroes.name.christmas_carol","聖歌"
"heroes.name.christmas_cookie","クッキー"
"heroes.name.christmas_dizzy","ディジー"
"heroes.name.christmas_elf","バディ"
"heroes.name.christmas_florencia","フロレンシア"
"heroes.name.christmas_frosty","フロスティ"
"heroes.name.christmas_ginger","ジンジャー"
"heroes.name.christmas_holly","ホーリー"
"heroes.name.christmas_jolly","ジョリー"
"heroes.name.christmas_krampus","クランパス"
"heroes.name.christmas_mr_pengi","ミスター・ペンギ"
"heroes.name.christmas_mrs_claus","マザーノース"
"heroes.name.christmas_noel","ノエル"
"heroes.name.christmas_ottilia","オッティリア"
"heroes.name.christmas_peppermint","ペパーミント"
"heroes.name.christmas_reindeer","ルドルフ"
"heroes.name.christmas_santa","サンタクロース"
"heroes.name.christmas_tinsel","ティンセル"
"heroes.name.christmas_zappa","ザッパ"
"heroes.name.circus_bobo","ボボ"
"heroes.name.circus_candy","キャンディ"
"heroes.name.circus_dandre","ダンドレ"
"heroes.name.circus_director_zuri","指導者ズーリー"
"heroes.name.circus_eichbelborg","アイクベルボーグ"
"heroes.name.circus_eiora_and_fluffy","アイオラー＆フラッフィー"
"heroes.name.circus_emilio","エミリオ"
"heroes.name.circus_faline","ファリーン"
"heroes.name.circus_marcel","マルセル"
"heroes.name.circus_theobald","テオボルド"
"heroes.name.circus_whacker","ワッカー"
"heroes.name.construct_arzen","アーゼン"
"heroes.name.construct_blue_mage","ジラック"
"heroes.name.construct_bonechill","ボーンチル"
"heroes.name.construct_brimstone","ブリムストーン"
"heroes.name.construct_carta","カルタ"
"heroes.name.construct_dancrag","ダンクラッグ"
"heroes.name.construct_ferrus","フェラス"
"heroes.name.construct_frond","フロンド"
"heroes.name.construct_glacivolt","グレイシヴォルト"
"heroes.name.construct_gwynn","グウィン"
"heroes.name.construct_halwinter","ハルウィンター"
"heroes.name.construct_haulstone","ホールストーン"
"heroes.name.construct_hornfel","ホーネル"
"heroes.name.construct_hotspin","ホットスピン"
"heroes.name.construct_ironheart","アイアンハート"
"heroes.name.construct_ironvein","アイアンヴェイン"
"heroes.name.construct_japanese_doll","ブロッソム"
"heroes.name.construct_nautica","ノーティカ"
"heroes.name.construct_nocturne","スケイズ"
"heroes.name.construct_rhineglow","ライングロー"
"heroes.name.construct_rustbeak","ラストビーク"
"heroes.name.construct_scoria","スコリア"
"heroes.name.construct_shaal","シャール"
"heroes.name.construct_shacklebolt","シャックルボルト"
"heroes.name.construct_sizzleomatic","シズルオマティック"
"heroes.name.construct_skarn","スカルン"
"heroes.name.construct_sylosis","サイロシス"
"heroes.name.construct_tenebrae","テネブレ"
"heroes.name.construct_zavok","ザヴォルト"
"heroes.name.cultist_female_poisoner","レイラ"
"heroes.name.cultist_inventor","クインタス"
"heroes.name.cultist_mage","バルサザール"
"heroes.name.cultist_sorceress","サルタナ"
"heroes.name.cultist_thief","フレッチャー"
"heroes.name.dark_god_aeron","イーロン"
"heroes.name.dark_god_akilius","アキリウス"
"heroes.name.dark_god_anoushka","アヌーシュカ"
"heroes.name.dark_god_arfanias","アルファニアス"
"heroes.name.dark_god_chakkoszrot","チャッコスロット"
"heroes.name.dark_god_clarissa","クラリッサ"
"heroes.name.dark_god_eldwren","エルドレン"
"heroes.name.dark_god_grimble","グリンブル"
"heroes.name.dark_god_hel","ヘル"
"heroes.name.dark_god_kunchen","クンチェン"
"heroes.name.dark_god_malicna","マリックナ"
"heroes.name.dark_god_morax","モラクス"
"heroes.name.dark_god_september","キオナ"
"heroes.name.dark_god_seshat","セシャット"
"heroes.name.dark_god_sir_casmir","カシミール卿"
"heroes.name.dark_god_turgruk","タルグラック"
"heroes.name.dark_god_uthragan","アスラーガン"
"heroes.name.dark_god_viscaro","ヴィスカロ"
"heroes.name.dark_god_zed","ゼッド"
"heroes.name.dark_god_zulag","ズーラグ"
"heroes.name.draugr","ドラウグ"
"heroes.name.dwarven_guard","ボリル"
"heroes.name.dwarven_scout","トリル"
"heroes.name.dwarven_smasher","カリル"
"heroes.name.dwarwen_brewmaster","キリル"
"heroes.name.easter_archie","アーチー"
"heroes.name.easter_chick_jr","チック Jr."
"heroes.name.easter_jasper","ジャスパー"
"heroes.name.easter_killhare","キルハイア"
"heroes.name.easter_lady_woolerton","レディ ウーレートン"
"heroes.name.easter_miss_ethel","ミス・エセル"
"heroes.name.easter_sadie","サディ"
"heroes.name.easter_sir_roostley","サー ルーストリー"
"heroes.name.easter_timothy","ティモシー"
"heroes.name.easter_viscount_cluckwood","クラックウッド子爵"
"heroes.name.eldritch_host","エルドリッチの主人"
"heroes.name.elemental_aconia","アコニア"
"heroes.name.elemental_alfie","アルフィ"
"heroes.name.elemental_anzia","アンジア"
"heroes.name.elemental_ash","アッシュ"
"heroes.name.elemental_craum","クラウム"
"heroes.name.elemental_desmond","デスモンド"
"heroes.name.elemental_doxan","ドキサン"
"heroes.name.elemental_farrah","ファラ"
"heroes.name.elemental_gastille","ガスティール"
"heroes.name.elemental_griffex","グリフェックス"
"heroes.name.elemental_grilka","グリルカ"
"heroes.name.elemental_ignazio","イニャツィオ"
"heroes.name.elemental_ironmaw","アイアンモウ"
"heroes.name.elemental_jequn","ジークン"
"heroes.name.elemental_jolt","ジョルト"
"heroes.name.elemental_lexi","レクシー"
"heroes.name.elemental_linus","ライナス"
"heroes.name.elemental_niki","ニキ"
"heroes.name.elemental_nova","ノヴァ"
"heroes.name.elemental_nylora","ナイロラ"
"heroes.name.elemental_quinn","クィン"
"heroes.name.elemental_roz","ロズ"
"heroes.name.elemental_vander","ヴァンダー"
"heroes.name.elemental_xandrella","ザンドレラ"
"heroes.name.elemental_xavier","ザビエル"
"heroes.name.elemental_zandria","ザンドライア"
"heroes.name.elemental_zaria","ザリア"
"heroes.name.elemental_zengar","ゼンガー"
"heroes.name.elemental_zione","ザイオン"
"heroes.name.elemental_zuni","ズーニ"
"heroes.name.elven_archer","リアーナ"
"heroes.name.elven_captain","ケドモン"
"heroes.name.exalted_female_statue","ジャスティス"
"heroes.name.exalted_warrior","マグニ"
"heroes.name.fables_boss_wolf","ボスウルフ"
"heroes.name.fables_cinderella","シンデレラ"
"heroes.name.fables_frog_prince","カエルの王子様"
"heroes.name.fables_gnomer","ノーマ"
"heroes.name.fables_gretel","グレーテル"
"heroes.name.fables_hansel","ヘンゼル"
"heroes.name.fables_pixie","ピクシー"
"heroes.name.fables_puss_in_boots","長靴をはいた猫"
"heroes.name.fables_rapunzel","ラプンツェル"
"heroes.name.fables_red_hood","赤ずきん"
"heroes.name.fables_rumpelstiltskin","ルンペルシュ ティルツヒェン"
"heroes.name.fables_snow_white","雪白姫"
"heroes.name.faun_araminta","アラミンタ"
"heroes.name.faun_ascian","アシアン"
"heroes.name.faun_bramble","ブランブル"
"heroes.name.faun_gideon","ギデオン"
"heroes.name.faun_isidore","イジドア"
"heroes.name.faun_jolyon","ジョリオン"
"heroes.name.faun_maud","モード"
"heroes.name.faun_myrtle","マートル"
"heroes.name.faun_peregrine","ペレグリン"
"heroes.name.faun_philomena","フィロメナ"
"heroes.name.faun_saskia","サスキア"
"heroes.name.faun_tamlin","タムリン"
"heroes.name.faun_verity","ベリティ"
"heroes.name.faun_yolanda","ヨランダ"
"heroes.name.faun_ysabel","イザベル"
"heroes.name.fire_god_andre","アンドレ・ドゥ・クレルモン"
"heroes.name.fire_god_anzogh","アンゾー"
"heroes.name.fire_god_ares","アレス"
"heroes.name.fire_god_doom","グレイブメイカー"
"heroes.name.fire_god_eliane","イリアーヌ"
"heroes.name.fire_god_jean_francois","ジーン・フランソア"
"heroes.name.fire_god_maple","メイプル"
"heroes.name.fire_god_nadnog","グラズル"
"heroes.name.fire_god_natalya","ナタリア"
"heroes.name.fire_god_neema","ニーマ"
"heroes.name.fire_god_noor","ノア"
"heroes.name.fire_god_reuben","ルーベン"
"heroes.name.fire_god_roughian_and_nurgib","ラフリンとナーギブ"
"heroes.name.fire_god_russell","ラッセル"
"heroes.name.fire_god_skargremar","スカルグレマ"
"heroes.name.fire_god_tahir","タヒア"
"heroes.name.fire_god_yang_mai","ヤン・マイ"
"heroes.name.fire_god_zagrog","ザグロッグ"
"heroes.name.fire_god_zarga","ザーガ"
"heroes.name.fire_god_zidane","ジダン"
"heroes.name.fire_god_zimkitha","ジムキサ"
"heroes.name.fleur_elyzabel","エリザベル・ドゥ・トゥイリエール"
"heroes.name.fleur_eumachius","エウマキウス"
"heroes.name.fleur_guillemette","ギヨメット"
"heroes.name.fleur_lavinia","ラヴィニア"
"heroes.name.fleur_ludovico","ルドヴィコ"
"heroes.name.fleur_talesie","タレジー"
"heroes.name.forest_archer","ベルデン"
"heroes.name.forest_female_druid","ブリーニー"
"heroes.name.forest_female_elf","カディレン"
"heroes.name.forest_female_illusionist","ジェネー"
"heroes.name.forest_female_spirit","ベリス"
"heroes.name.forest_female_warrior","アイフェ"
"heroes.name.forest_friar","フライアー タック"
"heroes.name.forest_god_elinor","マーガレット"
"heroes.name.forest_god_elradir","エルラディール"
"heroes.name.forest_god_evelyn","イヴェリン"
"heroes.name.forest_god_grace","グレイス"
"heroes.name.forest_god_gregorion","グレゴリオン"
"heroes.name.forest_god_kingston","キングストン"
"heroes.name.forest_god_oberon","アルベリッヒ"
"heroes.name.forest_god_telluria","テルリア"
"heroes.name.forest_god_zeline","ゼリン"
"heroes.name.forest_god_zocc","ゾック"
"heroes.name.forest_mage","メレンドル"
"heroes.name.forest_male_elf","エルカネン"
"heroes.name.forest_thug","ブロガン"
"heroes.name.forest_titan","ホルグホル"
"heroes.name.forest_woodsman","デリック"
"heroes.name.forest_woodsman_warrior","リトル ジョン"
"heroes.name.forsaken_amarosa","アマローザ"
"heroes.name.forsaken_cassilda","カッシルダ"
"heroes.name.forsaken_demhalar","デマーラー"
"heroes.name.forsaken_inanis","イナニス"
"heroes.name.forsaken_jax","ジャックス"
"heroes.name.forsaken_kadath","カダス"
"heroes.name.forsaken_khatrox","カートロックス"
"heroes.name.forsaken_lamentia","ラメンティア"
"heroes.name.fortune_bai_yan","白焔"
"heroes.name.fortune_dragon_kids","竜の子"
"heroes.name.fortune_ling_long","玲瓏"
"heroes.name.fortune_wei_qi","偉奇"
"heroes.name.fortune_yan_qing","揚琴"
"heroes.name.fox_ashen","アッシェン"
"heroes.name.fox_ember","エンバー"
"heroes.name.fox_foxglove","フォックスグローブ"
"heroes.name.fox_foxley","フォックスリー"
"heroes.name.fox_halcyon","ハルシオン"
"heroes.name.fox_nettletail","ネットルテイル"
"heroes.name.fox_nibbles","ニブルズ"
"heroes.name.fox_reynard","レイナルド"
"heroes.name.fox_riverfang","リバーファング"
"heroes.name.fox_rust","ラスト"
"heroes.name.fox_sable","セーブル"
"heroes.name.fox_shadowfang","シャドウファング"
"heroes.name.fox_silverpaw","シルバーポウ"
"heroes.name.fox_spiff","スピフ"
"heroes.name.fox_swiftpaw","スイフトポー"
"heroes.name.fox_whitefang","ホワイトファング"
"heroes.name.gargoyle_arco","アルコ"
"heroes.name.gargoyle_bellerive","べライブ"
"heroes.name.gargoyle_betty","ベティー"
"heroes.name.gargoyle_budatin","ブダティン"
"heroes.name.gargoyle_el_duque","エル デュケ"
"heroes.name.gargoyle_gaillard","ゲイラード"
"heroes.name.gargoyle_garten","ガーテン"
"heroes.name.gargoyle_goseck","ゴセック"
"heroes.name.gargoyle_grumbl","グランブル"
"heroes.name.gargoyle_guffa","ガッファ"
"heroes.name.gargoyle_hilda","ヒルダ"
"heroes.name.gargoyle_hohenwerf","ホーヘンワーフ"
"heroes.name.gargoyle_kalo","カロ"
"heroes.name.gargoyle_kemeny","ケメーニ"
"heroes.name.gargoyle_matrera","マトレラ"
"heroes.name.gargoyle_mena","メナ"
"heroes.name.gargoyle_penolite","ペニョライト"
"heroes.name.gargoyle_pophit","ポフィット"
"heroes.name.gargoyle_soroca","ソロカ"
"heroes.name.gargoyle_uwe","ユーウィ"
"heroes.name.gargoyle_vincent","ヴィンセント"
"heroes.name.gargoyle_vonreine","ヴォンレイネ"
"heroes.name.garrison_archibald","アーチボルド"
"heroes.name.garrison_beatrice","ビアトリス"
"heroes.name.garrison_caelen","カエレン"
"heroes.name.garrison_ciara","シアラ"
"heroes.name.garrison_dima","ディーマ"
"heroes.name.garrison_fergus","ファーガス"
"heroes.name.garrison_flamehide","フレイムハイド"
"heroes.name.garrison_frank_fangs_brimwell","フランク・""ファング""・ブリムウェル"
"heroes.name.garrison_frostsnout","フロスツノート"
"heroes.name.garrison_godfrey","ゴッドフリー"
"heroes.name.garrison_greg","グレッグ"
"heroes.name.garrison_iarlaith","イアーライス"
"heroes.name.garrison_iocantha","イオカンサ"
"heroes.name.garrison_kolya","コルヤ"
"heroes.name.garrison_maisie","メイジー"
"heroes.name.garrison_pip","ピップ"
"heroes.name.garrison_rosalind","ロザリンド"
"heroes.name.garrison_shimmerscale","シマースケール"
"heroes.name.garrison_theodosius","セオドシウス"
"heroes.name.garrison_vanya","ヴァーニャ"
"heroes.name.garrison_violet_potts","ヴァイオレット・ポッツ"
"heroes.name.garrison_william","ウィリアム"
"heroes.name.goblin_acidfire","アシッドファイア"
"heroes.name.goblin_archer","ニードラー"
"heroes.name.goblin_boom_and_fang","ブーム＆ファング"
"heroes.name.goblin_boots","ブーツ"
"heroes.name.goblin_darkfeather","ダークフェザー"
"heroes.name.goblin_deadboot","デッドブーツ"
"heroes.name.goblin_fighter","カーヴァー"
"heroes.name.goblin_fizzcoil","フィズコイル"
"heroes.name.goblin_goldie","ゴールディー"
"heroes.name.goblin_grimsteel","グリムスチール"
"heroes.name.goblin_kettle","ケトル"
"heroes.name.goblin_leafwizzle","リーフウィスク"
"heroes.name.goblin_madhammer","マッドハンマー"
"heroes.name.goblin_mage","スキットルスカル"
"heroes.name.goblin_pepperflame","ペッパーフレイム"
"heroes.name.goblin_ratgrub","ラットグラブ"
"heroes.name.goblin_rocket","ロケット"
"heroes.name.goblin_scrollbeast","スクロールビースト"
"heroes.name.goblin_smarttongue","スマートタン"
"heroes.name.goblin_soursting","サワースティング"
"heroes.name.guardian_bat","ガーディアン バット"
"heroes.name.guardian_cat_warrior","ガーディアン パンサー"
"heroes.name.guardian_chameleon","ガーディアン カメレオン"
"heroes.name.guardian_elephant","ガーディアン・エレファント"
"heroes.name.guardian_falcon_priest","ガーディアン ファルコン"
"heroes.name.guardian_gazelle","ガーディアン ガゼル"
"heroes.name.guardian_gorilla_chieftain","ガーディアン コング"
"heroes.name.guardian_hippo","ガーディアンヒッポ"
"heroes.name.guardian_jackal_assassin","ガーディアン ジャッカル"
"heroes.name.guardian_lemur","ガーディアン リーマー"
"heroes.name.guardian_owl_gentleman","ガーディアン オウル"
"heroes.name.guardian_zebra","ガーディアン ゼブラ"
"heroes.name.halloween_alucard","アルカルド"
"heroes.name.halloween_amber","アンバー"
"heroes.name.halloween_ana_belle","アナベル"
"heroes.name.halloween_chester","チェスター"
"heroes.name.halloween_edwin","エドウィン"
"heroes.name.halloween_francine","フランシーン"
"heroes.name.halloween_frank","フランク"
"heroes.name.halloween_goopy","グーピー"
"heroes.name.halloween_hortensia","ホルテンシア"
"heroes.name.halloween_jack","ジャック"
"heroes.name.halloween_lucinda","ルシンダ"
"heroes.name.halloween_matilda","マティルダ"
"heroes.name.halloween_miriam_and_midnight","ミリアム＆ミッドナイト"
"heroes.name.halloween_vanda","ヴァンダ"
"heroes.name.halloween_wayne","ウェイン"
"heroes.name.hidden_dark_god_myztero","ミズテロ"
"heroes.name.holy_god_aurox","オーロックス"
"heroes.name.holy_god_aviana","アヴィアナ"
"heroes.name.holy_god_bai_yeong","バイ ヨン"
"heroes.name.holy_god_celidana","セリダーナ"
"heroes.name.holy_god_delilah","デリラー"
"heroes.name.holy_god_devana","デヴァナ"
"heroes.name.holy_god_drake_lee","ドレイク フォン"
"heroes.name.holy_god_faeona","フェイオナ"
"heroes.name.holy_god_gilda","ギルダ"
"heroes.name.holy_god_gilligan","ギリガン"
"heroes.name.holy_god_hanitra","ハニトラ"
"heroes.name.holy_god_ithar","アイサ"
"heroes.name.holy_god_kara","カーラ"
"heroes.name.holy_god_malosi","マロシ"
"heroes.name.holy_god_may","メイ"
"heroes.name.holy_god_musashi","ムサシ"
"heroes.name.holy_god_neith","ネイス"
"heroes.name.holy_god_onatel","オナテル"
"heroes.name.holy_god_ranvir","ランヴィル"
"heroes.name.holy_god_uraeus","ウラエウス"
"heroes.name.holy_god_zora","ゾラ"
"heroes.name.ice_god_alexandrine","アレキサンドリン"
"heroes.name.ice_god_areax","アリークス"
"heroes.name.ice_god_athena","アテネ"
"heroes.name.ice_god_balur","バルール"
"heroes.name.ice_god_callum","グラディウス"
"heroes.name.ice_god_claeg","クレイグ"
"heroes.name.ice_god_dvalin","ドヴァリン"
"heroes.name.ice_god_eskimo","アラシー"
"heroes.name.ice_god_frida","フリーダ"
"heroes.name.ice_god_frosth","フロスト"
"heroes.name.ice_god_glenda","グレンダ"
"heroes.name.ice_god_iris","アイリス"
"heroes.name.ice_god_klaern","クレール"
"heroes.name.ice_god_mene","ミーニ"
"heroes.name.ice_god_miki","ミキ"
"heroes.name.ice_god_nerasis","ネラシス"
"heroes.name.ice_god_october","イーギル"
"heroes.name.ice_god_perseus","ペルセウス"
"heroes.name.ice_god_raffaele","ラファエッレ"
"heroes.name.ice_god_sini","シニ"
"heroes.name.ice_god_suzuna","スズナ"
"heroes.name.ice_god_vela","ヴェラ"
"heroes.name.institute_ellery","イラリー"
"heroes.name.institute_emilie","エミリー"
"heroes.name.institute_piper","パイパー"
"heroes.name.institute_professor_ambrose","アンブローズ教授"
"heroes.name.institute_professor_morryster","モーリスター教授"
"heroes.name.institute_ryleh","ライレ"
"heroes.name.institute_wilcox","ウィルコックス"
"heroes.name.institute_zenas","ゼナス"
"heroes.name.journey_change","チェンジ"
"heroes.name.journey_erlang_shen","二郎神"
"heroes.name.journey_general_yin","イン将軍"
"heroes.name.journey_heifeng_guai","黒風怪（コクフウカイ）"
"heroes.name.journey_nineheaded_beast","九頭獣"
"heroes.name.journey_queen_guowang","グオワン王妃"
"heroes.name.journey_sha_wujing","沙悟浄（サ・ゴジョウ）"
"heroes.name.journey_sun_wukong","孫悟空（ソン・ゴクウ）"
"heroes.name.journey_tang_sanzang","三蔵法師"
"heroes.name.journey_xie_zi_jing","蠍の精"
"heroes.name.journey_xiong_shanjun","ユウ・シャンジュン"
"heroes.name.journey_xiwangmu","西王母"
"heroes.name.kalevala_aino","アイノ"
"heroes.name.kalevala_iku_turso","イクトゥルソ"
"heroes.name.kalevala_ilmarinen","イルマリネン"
"heroes.name.kalevala_joukahainen","ヨウカハイネン"
"heroes.name.kalevala_kullervo","クレルヴォ"
"heroes.name.kalevala_lemminkainen","レンミンカイネン"
"heroes.name.kalevala_louhi","ロウヒ"
"heroes.name.kalevala_mielikki","ミエリッキ"
"heroes.name.kalevala_mother_lemminkainen","マザー・レンミンカイネン"
"heroes.name.kalevala_otso","オッツォ"
"heroes.name.kalevala_para","パーラ"
"heroes.name.kalevala_suomuhauki","スオムハウキ"
"heroes.name.kalevala_ukkonen","アコネン"
"heroes.name.kalevala_vainamoinen","ワイナミョイネン"
"heroes.name.kingdom_cao_cao","曹操（ソウ・ソウ）"
"heroes.name.kingdom_diaochan","貂蟬（チョウ・セン）"
"heroes.name.kingdom_guan_yu","関羽（カンウ）"
"heroes.name.kingdom_jing","晋（シン）"
"heroes.name.kingdom_li","李（リ）"
"heroes.name.kingdom_liu_bei","劉備（リュウビ）"
"heroes.name.kingdom_lu_bu","呂布（リョフ）"
"heroes.name.kingdom_sun_quan","孫権（ソンケン）"
"heroes.name.kingdom_sun_shangxiang","孫尚香（ソン・ショウコウ）"
"heroes.name.kingdom_wang_yuanji","王元姫（オウ・ゲンキ）"
"heroes.name.kingdom_xiahou_dun","夏侯惇（カコウ・トン）"
"heroes.name.kingdom_yao","姚（ヨウ）"
