"heroes.name.astral_cosmicspeaker","코즈믹스피커"
"heroes.name.beauty_beast_ivete","이베테"
"heroes.name.beauty_beast_jacquespierre","자크-피에르"
"heroes.name.beauty_beast_laurent","로렌트"
"heroes.name.beauty_beast_lucas","루카스"
"heroes.name.beauty_beast_mirielle","미리엘"
"heroes.name.beauty_beast_pendulus_clonk","펜둘루스 클론크"
"heroes.name.beauty_beast_rose_de_flo","로즈 드 플로"
"heroes.name.beauty_beast_seraphine","세라핀"
"heroes.name.beauty_beast_the_beast","야수"
"heroes.name.beowulf_aeschere","에셰르"
"heroes.name.beowulf_beowulf","베오울프"
"heroes.name.beowulf_breca","브레카"
"heroes.name.beowulf_ecgtheow","에크테오"
"heroes.name.beowulf_freawaru","프리와루"
"heroes.name.beowulf_grendel","그렌델"
"heroes.name.beowulf_grendels_mother","그렌델의 엄마"
"heroes.name.beowulf_hrothgar","흐로스가르"
"heroes.name.beowulf_hygd","히그드"
"heroes.name.beowulf_modthryth","모드트리트"
"heroes.name.beowulf_nithgaest","니스가스트"
"heroes.name.beowulf_unferth","언퍼스"
"heroes.name.beowulf_wealhtheow","웨일도우"
"heroes.name.beowulf_weland","위랜드"
"heroes.name.beowulf_wiglaf","위글라프"
"heroes.name.blackguard_commander","티부르투스"
"heroes.name.blackguard_female_archer","나이트셰이드"
"heroes.name.blackguard_female_captain","프리스카"
"heroes.name.blackguard_knight","리가드"
"heroes.name.blackguard_scout","율리우스"
"heroes.name.blackguard_skulker","렌펠드"
"heroes.name.castle_bear_armel","아르멜"
"heroes.name.castle_bear_bearnadette","베어나데트"
"heroes.name.castle_bear_humbert","험버트"
"heroes.name.castle_bear_koda","코다"
"heroes.name.castle_bear_teddy","테디"
"heroes.name.castle_bear_torben","토르벤"
"heroes.name.castle_bear_winnie","위니"
"heroes.name.castle_bear_yona","요나"
"heroes.name.castle_raven_aderyn","아데린"
"heroes.name.castle_raven_eloise","엘로이즈"
"heroes.name.castle_raven_franz","프란츠"
"heroes.name.castle_raven_lewena","레웨나"
"heroes.name.castle_raven_quintin","퀸틴"
"heroes.name.castle_raven_rayne","레인"
"heroes.name.castle_raven_wren","렌"
"heroes.name.castle_stag_alvar","알바르"
"heroes.name.castle_stag_cecilia","세실리아"
"heroes.name.castle_stag_daemon","다에몬"
"heroes.name.castle_stag_fawn","펀"
"heroes.name.castle_stag_lysanor","리사노르"
"heroes.name.castle_stag_raleigh","롤리"
"heroes.name.castle_stag_siofra","시오프라"
"heroes.name.castle_stag_xiamara","시아마라"
"heroes.name.castle_wolf_bertulf","베르툴프"
"heroes.name.castle_wolf_esme","에스메"
"heroes.name.castle_wolf_ferant","페란트"
"heroes.name.castle_wolf_ludwig","루드위그"
"heroes.name.castle_wolf_quenell","퀘넬"
"heroes.name.castle_wolf_wolfgang","울프강"
"heroes.name.champions_lazara","라자라"
"heroes.name.champions_mistra","미스트라"
"heroes.name.champions_nogu","노구"
"heroes.name.champions_norman","노먼"
"heroes.name.champions_ramona","라모나"
"heroes.name.champions_satori","사토리"
"heroes.name.christmas_albin","알빈"
"heroes.name.christmas_augustus","아우구스투스"
"heroes.name.christmas_buster","버스터"
"heroes.name.christmas_carol","캐롤"
"heroes.name.christmas_cookie","쿠키"
"heroes.name.christmas_dizzy","디지"
"heroes.name.christmas_elf","버디"
"heroes.name.christmas_florencia","플로렌시아"
"heroes.name.christmas_frosty","프로스티"
"heroes.name.christmas_ginger","진저"
"heroes.name.christmas_holly","홀리"
"heroes.name.christmas_jolly","졸리"
"heroes.name.christmas_krampus","크램퍼스"
"heroes.name.christmas_mr_pengi","미스터 펭기"
"heroes.name.christmas_mrs_claus","마더 노스"
"heroes.name.christmas_noel","노엘"
"heroes.name.christmas_ottilia","오틸리아"
"heroes.name.christmas_peppermint","페퍼민트"
"heroes.name.christmas_reindeer","루돌프"
"heroes.name.christmas_santa","산타클로스"
"heroes.name.christmas_tinsel","반짝이"
"heroes.name.christmas_zappa","자파"
"heroes.name.circus_bobo","보보"
"heroes.name.circus_candy","캔디"
"heroes.name.circus_dandre","단드레"
"heroes.name.circus_director_zuri","주리 감독"
"heroes.name.circus_eichbelborg","아이히벨보그"
"heroes.name.circus_eiora_and_fluffy","에이오라 & 플러피"
"heroes.name.circus_emilio","에밀리오"
"heroes.name.circus_faline","팔린"
"heroes.name.circus_marcel","마르셀"
"heroes.name.circus_theobald","시어볼드"
"heroes.name.circus_whacker","왜커"
"heroes.name.construct_arzen","아르젠"
"heroes.name.construct_blue_mage","게랄라흐"
"heroes.name.construct_bonechill","본칠"
"heroes.name.construct_brimstone","유황"
"heroes.name.construct_carta","카르타"
"heroes.name.construct_dancrag","댄크라그"
"heroes.name.construct_ferrus","페러스"
"heroes.name.construct_frond","이파리"
"heroes.name.construct_glacivolt","글래시볼트"
"heroes.name.construct_gwynn","그윈"
"heroes.name.construct_halwinter","홀윈터"
"heroes.name.construct_haulstone","하울스톤"
"heroes.name.construct_hornfel","혼펠"
"heroes.name.construct_hotspin","핫스핀"
"heroes.name.construct_ironheart","아이언하트"
"heroes.name.construct_ironvein","아이언베인"
"heroes.name.construct_japanese_doll","사쿠라"
"heroes.name.construct_nautica","해상"
"heroes.name.construct_nocturne","스캐트"
"heroes.name.construct_rhineglow","라인글로우"
"heroes.name.construct_rustbeak","러스트비크"
"heroes.name.construct_scoria","스코리아"
"heroes.name.construct_shaal","샤알"
"heroes.name.construct_shacklebolt","섀클볼트"
"heroes.name.construct_sizzleomatic","시즐로매틱"
"heroes.name.construct_skarn","스칸"
"heroes.name.construct_sylosis","실로시스"
"heroes.name.construct_tenebrae","테니브리"
"heroes.name.construct_zavok","자볼트"
"heroes.name.cultist_female_poisoner","레일라"
"heroes.name.cultist_inventor","퀸투스"
"heroes.name.cultist_mage","발타자르"
"heroes.name.cultist_sorceress","사르타나"
"heroes.name.cultist_thief","플레처"
"heroes.name.dark_god_aeron","에런"
"heroes.name.dark_god_akilius","아킬리우스"
"heroes.name.dark_god_anoushka","아누슈카"
"heroes.name.dark_god_arfanias","아르파니아스"
"heroes.name.dark_god_chakkoszrot","차코즈롯"
"heroes.name.dark_god_clarissa","클라릿사"
"heroes.name.dark_god_eldwren","엘드렌"
"heroes.name.dark_god_grimble","그림블"
"heroes.name.dark_god_hel","헬"
"heroes.name.dark_god_kunchen","쿤첸"
"heroes.name.dark_god_malicna","말리크나"
"heroes.name.dark_god_morax","모랙스"
"heroes.name.dark_god_september","키오나"
"heroes.name.dark_god_seshat","세스헤트"
"heroes.name.dark_god_sir_casmir","카스미르 경"
"heroes.name.dark_god_turgruk","투루크"
"heroes.name.dark_god_uthragan","우트라간"
"heroes.name.dark_god_viscaro","비스카로"
"heroes.name.dark_god_zed","제드"
"heroes.name.dark_god_zulag","줄라그"
"heroes.name.draugr","드로거"
"heroes.name.dwarven_guard","보릴"
"heroes.name.dwarven_scout","토릴"
"heroes.name.dwarven_smasher","카릴"
"heroes.name.dwarwen_brewmaster","키릴"
"heroes.name.easter_archie","아치"
"heroes.name.easter_chick_jr","칙 주니어"
"heroes.name.easter_jasper","재스퍼"
"heroes.name.easter_killhare","킬헤어"
"heroes.name.easter_lady_woolerton","레이디 울러톤"
"heroes.name.easter_miss_ethel","미스 에델"
"heroes.name.easter_sadie","사디에"
"heroes.name.easter_sir_roostley","루스틀리 경"
"heroes.name.easter_timothy","티모시"
"heroes.name.easter_viscount_cluckwood","클락우드 자작"
"heroes.name.eldritch_host","엘드리히의 주인"
"heroes.name.elemental_aconia","아코니아"
"heroes.name.elemental_alfie","알피"
"heroes.name.elemental_anzia","앤지아"
"heroes.name.elemental_ash","애쉬"
"heroes.name.elemental_craum","크럼"
"heroes.name.elemental_desmond","데스몬드"
"heroes.name.elemental_doxan","독산"
"heroes.name.elemental_farrah","파라"
"heroes.name.elemental_gastille","가스틸"
"heroes.name.elemental_griffex","그리펙스"
"heroes.name.elemental_grilka","그릴카"
"heroes.name.elemental_ignazio","이그나지오"
"heroes.name.elemental_ironmaw","아이언모"
"heroes.name.elemental_jequn","예쿤"
"heroes.name.elemental_jolt","졸트"
"heroes.name.elemental_lexi","렉시"
"heroes.name.elemental_linus","라이너스"
"heroes.name.elemental_niki","니키"
"heroes.name.elemental_nova","노바"
"heroes.name.elemental_nylora","닐로라"
"heroes.name.elemental_quinn","퀸"
"heroes.name.elemental_roz","로즈"
"heroes.name.elemental_vander","반데르"
"heroes.name.elemental_xandrella","엑산드렐라"
"heroes.name.elemental_xavier","자비에르"
"heroes.name.elemental_zandria","잔드리아"
"heroes.name.elemental_zaria","자리아"
"heroes.name.elemental_zengar","젠가르"
"heroes.name.elemental_zione","지오네"
"heroes.name.elemental_zuni","주니"
"heroes.name.elven_archer","리안나"
"heroes.name.elven_captain","케드먼"
"heroes.name.exalted_female_statue","저스티스"
"heroes.name.exalted_warrior","마그니"
"heroes.name.fables_boss_wolf","대장 늑대"
"heroes.name.fables_cinderella","신데렐라"
"heroes.name.fables_frog_prince","개구리 왕자"
"heroes.name.fables_gnomer","노우머"
"heroes.name.fables_gretel","그레텔"
"heroes.name.fables_hansel","핸젤"
"heroes.name.fables_pixie","픽시"
"heroes.name.fables_puss_in_boots","장화 신은 고양이"
"heroes.name.fables_rapunzel","라푼젤"
"heroes.name.fables_red_hood","빨간모자"
"heroes.name.fables_rumpelstiltskin","룸펠슈틸츠킨"
"heroes.name.fables_snow_white","백설공주"
"heroes.name.faun_araminta","아라민타"
"heroes.name.faun_ascian","아시언"
"heroes.name.faun_bramble","브램블"
"heroes.name.faun_gideon","기디온"
"heroes.name.faun_isidore","이시도어"
"heroes.name.faun_jolyon","졸린"
"heroes.name.faun_maud","머드"
"heroes.name.faun_myrtle","머틀"
"heroes.name.faun_peregrine","송골매"
"heroes.name.faun_philomena","필로메나"
"heroes.name.faun_saskia","사스키아"
"heroes.name.faun_tamlin","탐린"
"heroes.name.faun_verity","베리티"
"heroes.name.faun_yolanda","욜란다"
"heroes.name.faun_ysabel","이사벨"
"heroes.name.fire_god_andre","안드레 드 클레르몽"
"heroes.name.fire_god_anzogh","앤조그"
"heroes.name.fire_god_ares","아레스"
"heroes.name.fire_god_doom","그레이브메이커"
"heroes.name.fire_god_eliane","엘리안느"
"heroes.name.fire_god_jean_francois","장 프랑수아"
"heroes.name.fire_god_maple","메이플"
"heroes.name.fire_god_nadnog","그라줄"
"heroes.name.fire_god_natalya","나탈리아"
"heroes.name.fire_god_neema","니마"
"heroes.name.fire_god_noor","누르"
"heroes.name.fire_god_reuben","루벤"
"heroes.name.fire_god_roughian_and_nurgib","루피안 & 누르기브"
"heroes.name.fire_god_russell","러셀"
"heroes.name.fire_god_skargremar","스카그레마"
"heroes.name.fire_god_tahir","타히르"
"heroes.name.fire_god_yang_mai","양 마이"
"heroes.name.fire_god_zagrog","자그로그"
"heroes.name.fire_god_zarga","자르가"
"heroes.name.fire_god_zidane","지단"
"heroes.name.fire_god_zimkitha","짐키타"
"heroes.name.fleur_elyzabel","엘리자벨 드 튀이에르"
"heroes.name.fleur_eumachius","에우마키우스"
"heroes.name.fleur_guillemette","길레메트"
"heroes.name.fleur_lavinia","라비니아"
"heroes.name.fleur_ludovico","루도비코"
"heroes.name.fleur_talesie","탈레시"
"heroes.name.forest_archer","베르덴"
"heroes.name.forest_female_druid","브리엔"
"heroes.name.forest_female_elf","카딜렌"
"heroes.name.forest_female_illusionist","젠네"
"heroes.name.forest_female_spirit","벨리스"
"heroes.name.forest_female_warrior","아이페"
"heroes.name.forest_friar","프라이어 턱"
"heroes.name.forest_god_elinor","마가렛"
"heroes.name.forest_god_elradir","엘라디르"
"heroes.name.forest_god_evelyn","이블린"
"heroes.name.forest_god_grace","그레이스"
"heroes.name.forest_god_gregorion","그레고리온"
"heroes.name.forest_god_kingston","킹스턴"
"heroes.name.forest_god_oberon","앨버리치"
"heroes.name.forest_god_telluria","텔루리아"
"heroes.name.forest_god_zeline","젤라인"
"heroes.name.forest_god_zocc","조크"
"heroes.name.forest_mage","멜렌도르"
"heroes.name.forest_male_elf","엘카넨"
"heroes.name.forest_thug","브로건"
"heroes.name.forest_titan","호르갈"
"heroes.name.forest_woodsman","데릭"
"heroes.name.forest_woodsman_warrior","리틀 존"
"heroes.name.forsaken_demhalar","데말라르"
"heroes.name.forsaken_inanis","이나니스"
"heroes.name.forsaken_jax","잭스"
"heroes.name.forsaken_kadath","카다스"
"heroes.name.forsaken_khatrox","카트록스"
"heroes.name.forsaken_lamentia","라멘티아"
"heroes.name.fox_ashen","아셴"
"heroes.name.fox_ember","엠버"
"heroes.name.fox_foxglove","폭스글로브"
"heroes.name.fox_foxley","폭스레이"
"heroes.name.fox_halcyon","할키온"
"heroes.name.fox_nettletail","네슬테일"
"heroes.name.fox_nibbles","니블스"
"heroes.name.fox_reynard","레어너드"
"heroes.name.fox_riverfang","리버팽"
"heroes.name.fox_rust","러스트"
"heroes.name.fox_sable","세이블"
"heroes.name.fox_shadowfang","섀도우팽"
"heroes.name.fox_silverpaw","실버파우"
"heroes.name.fox_spiff","스피프"
"heroes.name.fox_swiftpaw","스위프트포"
"heroes.name.fox_whitefang","화이트팽"
"heroes.name.gargoyle_arco","아르코"
"heroes.name.gargoyle_bellerive","베예리베"
"heroes.name.gargoyle_betty","베티"
"heroes.name.gargoyle_budatin","부다틴"
"heroes.name.gargoyle_el_duque","엘 두케"
"heroes.name.gargoyle_gaillard","가이야르"
"heroes.name.gargoyle_garten","가르텐"
"heroes.name.gargoyle_goseck","고섹"
"heroes.name.gargoyle_grumbl","그럼블"
"heroes.name.gargoyle_guffa","구파"
"heroes.name.gargoyle_hilda","힐다"
"heroes.name.gargoyle_hohenwerf","호헨버프"
"heroes.name.gargoyle_kalo","칼레"
"heroes.name.gargoyle_kemeny","케메니"
"heroes.name.gargoyle_matrera","마트레라"
"heroes.name.gargoyle_mena","메나"
"heroes.name.gargoyle_penolite","페뇰리테"
"heroes.name.gargoyle_pophit","팝히트"
"heroes.name.gargoyle_soroca","소로카"
"heroes.name.gargoyle_uwe","우에"
"heroes.name.gargoyle_vincent","빈센트"
"heroes.name.gargoyle_vonreine","본라인"
"heroes.name.garrison_archibald","아치볼드"
"heroes.name.garrison_beatrice","베아트리체"
"heroes.name.garrison_caelen","카엘렌"
"heroes.name.garrison_ciara","키아라"
"heroes.name.garrison_dima","디마"
"heroes.name.garrison_fergus","퍼거스"
"heroes.name.garrison_flamehide","플레임하이드"
"heroes.name.garrison_frank_fangs_brimwell","프랭크 '송곳니' 브림웰"
"heroes.name.garrison_frostsnout","프로스트넛"
"heroes.name.garrison_godfrey","고드프리"
"heroes.name.garrison_greg","그레그"
"heroes.name.garrison_iarlaith","이알라이스"
"heroes.name.garrison_iocantha","이오칸타"
"heroes.name.garrison_kolya","콜야"
"heroes.name.garrison_maisie","마이시"
"heroes.name.garrison_pip","핍"
"heroes.name.garrison_rosalind","로사린드"
"heroes.name.garrison_shimmerscale","쉬머스케일"
"heroes.name.garrison_theodosius","테오도시우스"
"heroes.name.garrison_vanya","바냐"
"heroes.name.garrison_violet_potts","바이올렛 포츠"
"heroes.name.garrison_william","윌리엄"
"heroes.name.goblin_acidfire","애시드파이어"
"heroes.name.goblin_archer","니들러"
"heroes.name.goblin_boom_and_fang","붐 앤 팽"
"heroes.name.goblin_boots","부츠"
"heroes.name.goblin_darkfeather","다크페더"
"heroes.name.goblin_deadboot","데드부트"
"heroes.name.goblin_fighter","카베르"
"heroes.name.goblin_fizzcoil","피즈코일"
"heroes.name.goblin_goldie","골디"
"heroes.name.goblin_grimsteel","그림스틸"
"heroes.name.goblin_kettle","케틀"
"heroes.name.goblin_leafwizzle","리프위스크"
"heroes.name.goblin_madhammer","매드해머"
"heroes.name.goblin_mage","스키틀스컬"
"heroes.name.goblin_pepperflame","페퍼플레임"
"heroes.name.goblin_ratgrub","래트그루브"
"heroes.name.goblin_rocket","로켓"
"heroes.name.goblin_scrollbeast","스크롤비스트"
"heroes.name.goblin_smarttongue","스마트텅"
"heroes.name.goblin_soursting","사워팅"
"heroes.name.guardian_bat","수호자 박쥐"
"heroes.name.guardian_cat_warrior","수호자 표범"
"heroes.name.guardian_chameleon","수호자 카멜레온"
"heroes.name.guardian_elephant","수호자 코끼리"
"heroes.name.guardian_falcon_priest","수호자 팔콘"
"heroes.name.guardian_gazelle","수호자 가젤"
"heroes.name.guardian_gorilla_chieftain","수호자 콩"
"heroes.name.guardian_hippo","수호자 하마"
"heroes.name.guardian_jackal_assassin","수호자 재칼"
"heroes.name.guardian_lemur","수호자 여우원숭이"
"heroes.name.guardian_owl_gentleman","수호자 올빼미"
"heroes.name.guardian_zebra","가디언 제브라"
"heroes.name.halloween_alucard","아카드"
"heroes.name.halloween_amber","엠버"
"heroes.name.halloween_ana_belle","애나벨"
"heroes.name.halloween_chester","체스터"
"heroes.name.halloween_edwin","에드윈"
"heroes.name.halloween_francine","프랜신"
"heroes.name.halloween_frank","프랭크"
"heroes.name.halloween_goopy","구피"
"heroes.name.halloween_hortensia","호르텐시아"
"heroes.name.halloween_jack","잭"
"heroes.name.halloween_lucinda","루신다"
"heroes.name.halloween_matilda","마틸다"
"heroes.name.halloween_miriam_and_midnight","미리암과 미드나잇"
"heroes.name.halloween_vanda","반다"
"heroes.name.halloween_wayne","웨인"
"heroes.name.hidden_dark_god_myztero","미즈테로"
"heroes.name.holy_god_aurox","오록스"
"heroes.name.holy_god_aviana","아비아나"
"heroes.name.holy_god_bai_yeong","바이 영"
"heroes.name.holy_god_celidana","셀리다나"
"heroes.name.holy_god_delilah","델리아"
"heroes.name.holy_god_devana","데바나"
"heroes.name.holy_god_drake_lee","드레이크 퐁"
"heroes.name.holy_god_faeona","패오나"
"heroes.name.holy_god_gilda","길다"
"heroes.name.holy_god_gilligan","길리건"
"heroes.name.holy_god_hanitra","하니트라"
"heroes.name.holy_god_ithar","이사르"
"heroes.name.holy_god_kara","카라"
"heroes.name.holy_god_malosi","말로시"
"heroes.name.holy_god_may","메이"
"heroes.name.holy_god_musashi","무사시"
"heroes.name.holy_god_neith","네이트"
"heroes.name.holy_god_onatel","오나텔"
"heroes.name.holy_god_ranvir","란비르"
"heroes.name.holy_god_uraeus","우라에우스"
"heroes.name.holy_god_zora","조라"
"heroes.name.ice_god_alexandrine","알렉산드리네"
"heroes.name.ice_god_areax","에어리어엑스"
"heroes.name.ice_god_athena","아테나"
"heroes.name.ice_god_balur","발루르"
"heroes.name.ice_god_callum","글래디우스"
"heroes.name.ice_god_claeg","클래그"
"heroes.name.ice_god_dvalin","드발린"
"heroes.name.ice_god_eskimo","알라시"
"heroes.name.ice_god_frida","프리다"
"heroes.name.ice_god_frosth","프로스"
"heroes.name.ice_god_glenda","글렌다"
"heroes.name.ice_god_iris","아이리스"
"heroes.name.ice_god_klaern","클래런"
"heroes.name.ice_god_mene","메나에"
"heroes.name.ice_god_miki","미키"
"heroes.name.ice_god_nerasis","네라시스"
"heroes.name.ice_god_october","아에기르"
"heroes.name.ice_god_perseus","페르세우스"
"heroes.name.ice_god_raffaele","라파엘레"
"heroes.name.ice_god_sini","시니"
"heroes.name.ice_god_suzuna","수전나"
"heroes.name.ice_god_vela","벨라"
"heroes.name.institute_ellery","엘러리"
"heroes.name.institute_emilie","에밀리에"
"heroes.name.institute_piper","파이퍼"
"heroes.name.institute_professor_morryster","모리스터 교수"
"heroes.name.institute_ryleh","라일"
"heroes.name.institute_wilcox","위콕스"
"heroes.name.journey_change","창어"
"heroes.name.journey_erlang_shen","이랑진군"
"heroes.name.journey_general_yin","인 장군"
"heroes.name.journey_heifeng_guai","흑풍회"
"heroes.name.journey_nineheaded_beast","아홉 머리 괴물"
"heroes.name.journey_queen_guowang","구왕 여왕"
"heroes.name.journey_sha_wujing","사오정"
"heroes.name.journey_sun_wukong","손오공"
"heroes.name.journey_tang_sanzang","삼장법사"
"heroes.name.journey_xie_zi_jing","풍류괴"
"heroes.name.journey_xiong_shanjun","웅산군"
"heroes.name.journey_xiwangmu","서왕모"
"heroes.name.kalevala_aino","아이노"
"heroes.name.kalevala_iku_turso","이쿠 토르소"
"heroes.name.kalevala_ilmarinen","일마리넨"
"heroes.name.kalevala_joukahainen","요우카하이넨"
"heroes.name.kalevala_kullervo","쿨레르보"
"heroes.name.kalevala_lemminkainen","레민케이넨"
"heroes.name.kalevala_louhi","로우히"
"heroes.name.kalevala_mielikki","미엘리키"
"heroes.name.kalevala_mother_lemminkainen","마더 레민카이넨"
"heroes.name.kalevala_otso","옷소"
"heroes.name.kalevala_para","파라"
"heroes.name.kalevala_suomuhauki","수오무하우키"
"heroes.name.kalevala_ukkonen","우코넨"
"heroes.name.kalevala_vainamoinen","베이네머이넨"
"heroes.name.kingdom_cao_cao","조조"
"heroes.name.kingdom_diaochan","초선"
"heroes.name.kingdom_guan_yu","관우"
"heroes.name.kingdom_jing","경"
"heroes.name.kingdom_li","이"
"heroes.name.kingdom_liu_bei","유비"
"heroes.name.kingdom_lu_bu","여포"
"heroes.name.kingdom_sun_quan","손권"
"heroes.name.kingdom_sun_shangxiang","손상향"
"heroes.name.kingdom_wang_yuanji","왕원희"
"heroes.name.kingdom_xiahou_dun","하후돈"
"heroes.name.kingdom_yao","요"
"heroes.name.kingdom_zhang_fei","장비"
"heroes.name.kingdom_zhou_yu","주유"
"heroes.name.kingdom_zhuge_liang","제갈량"
"heroes.name.knights_bauchan","바우칸"
"heroes.name.knights_black_knight","흑기사"
"heroes.name.knights_gawain","가웨인"
"heroes.name.knights_green_knight","그린 나이트"
"heroes.name.knights_guinevere","기네비어"
"heroes.name.knights_king_arthur","아더왕"
"heroes.name.knights_lady_of_the_lake","호수의 여인"
"heroes.name.knights_merlin","멀린"
"heroes.name.knights_mordred","모드레드"
"heroes.name.knights_morgan_le_fay","모건 르 페이"
"heroes.name.knights_sir_lancelot","란셀롯 경"
"heroes.name.knights_treevil","트리블"
"heroes.name.lionman_barbarian","아즐라"
"heroes.name.lizardman_trapper","카쉬렉"
"heroes.name.lizardman_warrior","이시타크"
"heroes.name.lunar_new_year_baishu","바이슈"
"heroes.name.lunar_new_year_gongniu","황소"
"heroes.name.lunar_new_year_laohu","라오후"
"heroes.name.lunar_new_year_qinglong","청용"
"heroes.name.lunar_new_year_xiaoqing","샤오킹"
"heroes.name.lunar_new_year_xiaotu","샤오투"
"heroes.name.magic_agrafena","아그라페나"
"heroes.name.magic_anastasia","아나스타시아"
"heroes.name.magic_anton","앤톤"
"heroes.name.magic_becky","베키"
"heroes.name.magic_camilla","카밀라"
"heroes.name.magic_carpet_agadh","아가드"
"heroes.name.magic_carpet_amelia","아멜리아"
"heroes.name.magic_carpet_bart","바트"
"heroes.name.magic_carpet_bertha","베르다"
"heroes.name.magic_carpet_crustee","크러스티"
"heroes.name.magic_carpet_elyssa","엘리사"
"heroes.name.magic_carpet_jwala","제이왈라"
"heroes.name.magic_carpet_kesha","케샤"
"heroes.name.magic_carpet_lando","란도"
"heroes.name.magic_carpet_lilli","릴리"
"heroes.name.magic_carpet_manpip","맨피프"
"heroes.name.magic_carpet_naeem","나임"
"heroes.name.magic_carpet_ragrim","라그림"
"heroes.name.magic_carpet_shareef","샤리프"
"heroes.name.magic_carpet_zazha","자자"
"heroes.name.magic_cristobal","크리스토발"
"heroes.name.magic_dolgoon","덜건"
"heroes.name.magic_jett","제트"
"heroes.name.magic_kornel","코르넬"
"heroes.name.magic_lucy","루시"
"heroes.name.magic_milena","밀레나"
"heroes.name.magic_motega","모테가"
"heroes.name.magic_nadezhda","나데즈다"
"heroes.name.magic_ray","레이"
"heroes.name.magic_roxia","록시아"
"heroes.name.magic_sergei","세르게이"
