"herocard.family.title.abyss","Undre vildmarken-familj"
"herocard.family.title.faun","Skogsfaunfamiljen"
"herocard.family.title.faun.short","Skogsfaun"
"herocard.family.title.fleur_de_sang","Blodsliljefamiljen"
"herocard.family.title.fleur_de_sang.short","Blodslilja"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Blodslilja"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Blodslilja"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Blodslilja"
"herocard.family.title.forsaken","Övergivna familjen"
"herocard.family.title.forsaken.short","Övergiven"
"herocard.family.title.fortune","Lyckodansarfamiljen"
"herocard.family.title.fortune.short","Lycka"
"herocard.family.title.fox","Rävfamiljen"
"herocard.family.title.fox.short","Räv"
"herocard.family.title.gargoyle","Groteskfamiljen"
"herocard.family.title.gargoyle.short","Grotesk"
"herocard.family.title.garrison","Garnisonsvaktfamiljen"
"herocard.family.title.garrison.short","Garnisonsvakt"
"herocard.family.title.goblin","Svartalfsfamiljen"
"herocard.family.title.goblin.short","Svartalf"
"herocard.family.title.guardian","Vaktfamiljen"
"herocard.family.title.guardian.short","Väktare"
"herocard.family.title.halloween","Morlovienfamiljen"
"herocard.family.title.halloween.short","Morlovien"
"herocard.family.title.helheim","Riket Helheim"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","{0}-legendfamilj"
"herocard.family.title.hotm.short","{0}-legender"
"herocard.family.title.institute","Institutfamiljen"
"herocard.family.title.institute.short","Institutet"
"herocard.family.title.investigator","Detektivfamiljen"
"herocard.family.title.investigator.short","Detektiv"
"herocard.family.title.japanese","Sakurafamiljen"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Riket Jotunheim"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Äventyrarfamiljen"
"herocard.family.title.journey.short","Äventyrare"
"herocard.family.title.jungle_hunter","Djungeljägarfamiljen"
"herocard.family.title.jungle_hunter.short","Djungeljägare"
"herocard.family.title.kalevala","Kalevalafamilj"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Rikesfamilj"
"herocard.family.title.kingdom.short","Rike"
"herocard.family.title.knight","Avalonfamiljen"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Lagunfamiljen"
"herocard.family.title.lagoon.short","Lagun"
"herocard.family.title.magic","Magisk familj"
"herocard.family.title.magic.short","Magi"
"herocard.family.title.magic_carpet","Mattflygarfamiljen"
"herocard.family.title.magic_carpet.short","Flygande matta"
"herocard.family.title.mahayoddha","Mahayoddha-familjen"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Maskerad gud-familj"
"herocard.family.title.masquerade.short","Maskerad gud"
"herocard.family.title.masquerade_pve","Maskerad gud-familj"
"herocard.family.title.masquerade_pve.short","Maskerad gud"
"herocard.family.title.midgard","Riket Midgård"
"herocard.family.title.midgard.short","Midgård"
"herocard.family.title.mighty_pet","Mäktiga djur-familjen"
"herocard.family.title.mighty_pet.short","Mäktiga djur"
"herocard.family.title.mimic","Härmarfamiljen"
"herocard.family.title.mimic.short","Härmare"
"herocard.family.title.moon","Månfamiljen"
"herocard.family.title.moon.short","Måne"
"herocard.family.title.moths","Malfamiljen"
"herocard.family.title.moths.short","Mal"
"herocard.family.title.musketeer","Musketörfamiljen"
"herocard.family.title.musketeer.short","Musketör"
"herocard.family.title.muspelheim","Riket Muspelheim"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Mystisk familj"
"herocard.family.title.mystery.short","Mystisk"
"herocard.family.title.nidavellir","Riket Nidavellir"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Riket Nifelheim"
"herocard.family.title.niflheim.short","Nifelheim"
"herocard.family.title.ninja","Ninjafamiljen"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Ninjafamiljen"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Operafamiljen"
"herocard.family.title.opera.short","Opera"
"herocard.family.title.outlaw","Liangshan-rövarfamiljen"
"herocard.family.title.outlaw.short","Liangshan-rövarna"
"herocard.family.title.owl","Ugglefamilj"
"herocard.family.title.owl.short","Uggla"
"herocard.family.title.pirate","Piratfamiljen"
"herocard.family.title.pirate.short","Pirat"
"herocard.family.title.plains_hunter","Slättjägarfamiljen"
"herocard.family.title.plains_hunter.short","Slättjägare"
"herocard.family.title.raven","Korpfamiljen"
"herocard.family.title.raven.short","Korp"
"herocard.family.title.raven_pve.short","Korp"
"herocard.family.title.rodent","Äventyrlig gnagarfamilj"
"herocard.family.title.rodent.short","Äventyrlig gnagare"
"herocard.family.title.ronin","Roninfamiljen"
"herocard.family.title.ronin.short","Ronin"
"herocard.family.title.sand","Sandimperiefamiljen"
"herocard.family.title.sand.short","Sandimperiet"
"herocard.family.title.shady_scoundrels","Skumma skurkar-familjen"
"herocard.family.title.shady_scoundrels.short","Skumma skurkar"
"herocard.family.title.slayers","Dräparfamilj"
"herocard.family.title.slayers.short","Dräpare"
"herocard.family.title.slime","Slemfamiljen"
"herocard.family.title.slime.short","Slem"
"herocard.family.title.stag","Hjortfamiljen"
"herocard.family.title.stag.short","Hjort"
"herocard.family.title.stag_pve.short","Hjort"
"herocard.family.title.styx","Styx-familjen"
"herocard.family.title.styx.short","Styx"
"herocard.family.title.sun","Solfamiljen"
"herocard.family.title.sun.short","Sol"
"herocard.family.title.super_elemental","Superelementfamiljen"
"herocard.family.title.super_elemental.short","Superelement"
"herocard.family.title.svartalfheim","Riket Svartalfheim"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Atlantis mardrömmar-familjen"
"herocard.family.title.tales1_baddies.short","Atlantis mardrömmar"
"herocard.family.title.tales1_goodies","Atlantis försvarare-familjen"
"herocard.family.title.tales1_goodies.short","Atlantis försvarare"
"herocard.family.title.titan_hunter","Titanjägarfamiljen"
"herocard.family.title.titan_hunter.short","Titanjägare"
"herocard.family.title.vanaheim","Riket Vanheim"
"herocard.family.title.vanaheim.short","Vanheim"
"herocard.family.title.vegetable","Tappra grönsaksfamiljen"
"herocard.family.title.vegetable.short","Tapper grönsak"
"herocard.family.title.villains","Skurkfamilj"
"herocard.family.title.villains.short","Skurk"
"herocard.family.title.wild_cat","Vildkattsfamiljen"
"herocard.family.title.wild_cat.short","Vildkatterna"
"herocard.family.title.winter","Vinterfamiljen"
"herocard.family.title.winter.short","Vinter"
"herocard.family.title.wolf","Vargfamiljen"
"herocard.family.title.wolf.short","Varg"
"herocard.family.title.wolf_pve.short","Varg"
"herocard.family.title.wonderland","Underlandsfamiljen"
"herocard.family.title.wonderland.short","Underland"
"herocard.family.title.zodiac","Månårsfamiljen"
"herocard.family.title.zodiac.short","Månår"
