"herocard.family.title.abyss","Rodzina Podziemia"
"herocard.family.title.fleur_de_sang","Rodzina Fleur de Sang"
"herocard.family.title.fleur_de_sang.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Fleur de Sang"
"herocard.family.title.forsaken","Rodzina zapomnianych"
"herocard.family.title.forsaken.short","Zapomniani"
"herocard.family.title.fortune","Rodzina tancerzy fortuny"
"herocard.family.title.fortune.short","Fortuna"
"herocard.family.title.fox","Rodzina lisów"
"herocard.family.title.fox.short","Lis"
"herocard.family.title.gargoyle","Rodzina gargulców"
"herocard.family.title.gargoyle.short","Gargulec"
"herocard.family.title.garrison","Rodzina straży garnizonu"
"herocard.family.title.garrison.short","Straż garnizonu"
"herocard.family.title.goblin","Rodzina goblinów"
"herocard.family.title.goblin.short","Goblin"
"herocard.family.title.guardian","Rodzina strażników"
"herocard.family.title.guardian.short","Strażnik"
"herocard.family.title.halloween","Rodzina Morlovia"
"herocard.family.title.halloween.short","Morlovia"
"herocard.family.title.helheim","Królestwo Helheimu"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","Rodzina Legend {0}"
"herocard.family.title.hotm.short","Legendy {0}"
"herocard.family.title.institute","Rodzina uczonych"
"herocard.family.title.institute.short","Uczeni"
"herocard.family.title.investigator","Rodzina detektywów"
"herocard.family.title.investigator.short","Detektyw"
"herocard.family.title.japanese","Rodzina Sakura"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Królestwo Jotunheimu"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Rodzina podróżników"
"herocard.family.title.journey.short","Podróż"
"herocard.family.title.jungle_hunter","Rodzina łowców z dżungli"
"herocard.family.title.jungle_hunter.short","Łowcy z dżungli"
"herocard.family.title.kalevala","Rodzina Kalevala"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Rodzina Królestwa"
"herocard.family.title.kingdom.short","Królestwo"
"herocard.family.title.knight","Rodzina z Avalonu"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Rodzina z laguny"
"herocard.family.title.lagoon.short","Laguna"
"herocard.family.title.magic","Magiczna rodzina"
"herocard.family.title.magic.short","Magia"
"herocard.family.title.magic_carpet","Rodzina latających dywanów"
"herocard.family.title.magic_carpet.short","Latający dywan"
"herocard.family.title.mahayoddha","Rodzina Mahayoddha"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Rodzina zamaskowanych bogów"
"herocard.family.title.masquerade.short","Zamaskowany bóg"
"herocard.family.title.masquerade_pve","Rodzina zamaskowanych bogów"
"herocard.family.title.masquerade_pve.short","Zamaskowany bóg"
"herocard.family.title.midgard","Królestwo Midgardu"
"herocard.family.title.midgard.short","Midgard"
"herocard.family.title.mighty_pet","Rodzina potężnych zwierzaków"
"herocard.family.title.mighty_pet.short","Potężny zwierzak"
"herocard.family.title.mimic","Rodzina mimików"
"herocard.family.title.mimic.short","Mimik"
"herocard.family.title.moon","Rodzina Księżyca"
"herocard.family.title.moon.short","Księżyc"
"herocard.family.title.moths","Rodzina ciem"
"herocard.family.title.moths.short","Ćma"
"herocard.family.title.musketeer","Rodzina muszkieterów"
"herocard.family.title.musketeer.short","Muszkieter"
"herocard.family.title.muspelheim","Królestwo Muspelheimu"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Tajemnicza rodzina"
"herocard.family.title.mystery.short","Tajemnica"
"herocard.family.title.nidavellir","Królestwo Nidavellir"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Królestwo Niflheimu"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Rodzina Ninja"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Rodzina Ninja"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Rodzina z opery"
"herocard.family.title.opera.short","Opera"
"herocard.family.title.outlaw","Rodzina banitów z Liangshan"
"herocard.family.title.outlaw.short","Banici z Liangshan"
"herocard.family.title.owl","Rodzina Sów"
"herocard.family.title.owl.short","Sowa"
"herocard.family.title.pirate","Piracka rodzina"
"herocard.family.title.pirate.short","Pirat"
"herocard.family.title.plains_hunter","Rodzina łowców potworów"
"herocard.family.title.plains_hunter.short","Łowca potworów"
"herocard.family.title.raven","Krucza rodzina"
"herocard.family.title.raven.short","Kruk"
"herocard.family.title.raven_pve.short","Kruk"
"herocard.family.title.rodent","Rodzina śmiałych gryzoni"
"herocard.family.title.rodent.short","Śmiały gryzoń"
"herocard.family.title.ronin","Rodzina roninów"
"herocard.family.title.ronin.short","Ronin"
"herocard.family.title.sand","Rodzina Piaskowego Imperium"
"herocard.family.title.sand.short","Piaskowe Imperium"
"herocard.family.title.shady_scoundrels","Rodzina szemranych łajdaków"
"herocard.family.title.shady_scoundrels.short","Szemrani łajdacy"
"herocard.family.title.slayers","Rodzina Pogromców"
"herocard.family.title.slayers.short","Pogromca"
"herocard.family.title.slime","Rodzina śluzowych"
"herocard.family.title.slime.short","Śluz"
"herocard.family.title.stag","Rodzina jeleni"
"herocard.family.title.stag.short","Jeleń"
"herocard.family.title.stag_pve.short","Jeleń"
"herocard.family.title.styx","Rodzina Styks"
"herocard.family.title.styx.short","Styks"
"herocard.family.title.sun","Rodzina Słońca"
"herocard.family.title.sun.short","Słońce"
"herocard.family.title.super_elemental","Rodzina superżywiołaków"
"herocard.family.title.super_elemental.short","Superżywiołak"
"herocard.family.title.svartalfheim","Królestwo Svartalfheimu"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Rodzina koszmarów Atlantydy"
"herocard.family.title.tales1_baddies.short","Koszmary Atlantydy"
"herocard.family.title.tales1_goodies","Rodzina obrońców Atlantydy"
"herocard.family.title.tales1_goodies.short","Obrońcy Atlantydy"
"herocard.family.title.titan_hunter","Rodzina łowców tytanów"
"herocard.family.title.titan_hunter.short","Łowca tytanów"
"herocard.family.title.vanaheim","Królestwo Vanaheimu"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","Rodzina walecznych warzyw"
"herocard.family.title.vegetable.short","Waleczne warzywa"
"herocard.family.title.villains","Rodzina Złoczyńców"
"herocard.family.title.villains.short","Złoczyńcy"
"herocard.family.title.wild_cat","Rodzina dzikich kotów"
"herocard.family.title.wild_cat.short","Dziki kot"
"herocard.family.title.winter","Zimowa Rodzina"
"herocard.family.title.winter.short","Zima"
"herocard.family.title.wolf","Wilcza rodzina"
"herocard.family.title.wolf.short","Wilk"
"herocard.family.title.wolf_pve.short","Wilk"
"herocard.family.title.wonderland","Rodzina z Krainy Czarów"
"herocard.family.title.wonderland.short","Kraina Czarów"
"herocard.family.title.zodiac","Rodzina księżycowego roku"
"herocard.family.title.zodiac.short","Księżycowy rok"
