"heroes.name_fancy.astral_cosmicspeaker","Astronomka astralnych elfów"
"heroes.name_fancy.beachparty_dillo","Przemoczony pancernik"
"heroes.name_fancy.beachparty_dolrak","Przesadnie opalony krasnal"
"heroes.name_fancy.beachparty_flip","Foka ratownik"
"heroes.name_fancy.beachparty_flip_costume_donut","Foczy sprzedawca pączków"
"heroes.name_fancy.beachparty_itham","Elfi instruktor szkoły pływania"
"heroes.name_fancy.beachparty_mazoga","Orkowy strzelec wodny"
"heroes.name_fancy.beachparty_misty","Nurkująca gnomka"
"heroes.name_fancy.beachparty_mortimer","Surfujący mroczny elf"
"heroes.name_fancy.beachparty_serena","Bywalec brzegu"
"heroes.name_fancy.beachparty_zenukwa","Wielbicielka lodów"
"heroes.name_fancy.beauty_beast_cerissa","Łaskawa wróżka z Zaczarowanego Zamku"
"heroes.name_fancy.beauty_beast_chandel","Iluminatorka z Zaczarowanego Zamku"
"heroes.name_fancy.beauty_beast_dominique","Wierny obrońca"
"heroes.name_fancy.beauty_beast_ivete","Zazdrosna wróżka z Zaczarowanego Zamku"
"heroes.name_fancy.beauty_beast_jacquespierre","Ojciec Pięknej, sławny wynalazca"
"heroes.name_fancy.beauty_beast_laurent","Skamieniały strażnik z Zaczarowanego Zamku"
"heroes.name_fancy.beauty_beast_lucas","Młodszy brat Dominique"
"heroes.name_fancy.beauty_beast_pendulus_clonk","Niecierpliwy Zegar z Zaczarowanego Zamku"
"heroes.name_fancy.beauty_beast_rose_de_flo","Kwiat z Zaczarowanego Zamku"
"heroes.name_fancy.beauty_beast_seraphine","Zazdrosna siostra Pięknej"
"heroes.name_fancy.beauty_beast_the_beast","Samotny książę z Zaczarowanego Zamku"
"heroes.name_fancy.beowulf_aeschere","Mędrzec Skaldów"
"heroes.name_fancy.beowulf_beowulf","Ostrze gotów"
"heroes.name_fancy.beowulf_breca","Towarzysz darów"
"heroes.name_fancy.beowulf_ecgtheow","Zaciekły przywódca wojenny"
"heroes.name_fancy.beowulf_freawaru","Tkaczka pokoju"
"heroes.name_fancy.beowulf_grendel","Piekielny łamacz ostrz"
"heroes.name_fancy.beowulf_grendels_mother","Przerażająca wiedźma"
"heroes.name_fancy.beowulf_hrothgar","Mistrz Sali Biesiadnej"
"heroes.name_fancy.beowulf_hygd","Królowa gotów"
"heroes.name_fancy.beowulf_modthryth","Bezlitosna tarczowniczka"
"heroes.name_fancy.beowulf_nithgaest","Zguba Beowulfa"
"heroes.name_fancy.beowulf_unferth","Dzierżyciel Hruntinga"
"heroes.name_fancy.beowulf_wealhtheow","Łaska Królewskiego Pierścienia"
"heroes.name_fancy.beowulf_weland","Doświadczona kowalka"
"heroes.name_fancy.beowulf_wiglaf","Syn Weohstana"
"heroes.name_fancy.blackguard_commander","Posępny książę"
"heroes.name_fancy.blackguard_commander_costume_cute","Zasmucony kreskówkowy"
"heroes.name_fancy.blackguard_commander_costume_feather","Lamentujący książę"
"heroes.name_fancy.blackguard_commander_costume_glass","Posępny witraż"
"heroes.name_fancy.blackguard_commander_costume_metal","Hrabia Rocka"
"heroes.name_fancy.blackguard_female_archer","Ambitna łuczniczka"
"heroes.name_fancy.blackguard_female_captain","Stanowcza strażniczka"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Stanowcza kreskówkowa"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Niezachwiany witraż"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Rezolutny nadzorca"
"heroes.name_fancy.blackguard_female_captain_costume_stylish","Stylowy strażnik"
"heroes.name_fancy.blackguard_knight","Szlachetny rycerz"
"heroes.name_fancy.blackguard_knight_costume_cute","Kreskówkowy rycerz"
"heroes.name_fancy.blackguard_knight_costume_elegant","Rzutki szlachcic"
"heroes.name_fancy.blackguard_knight_costume_glass","Szklany rycerz"
"heroes.name_fancy.blackguard_knight_costume_healer","Szlachetny uzdrowiciel"
"heroes.name_fancy.blackguard_scout","Złoczyńca z Morgovii"
"heroes.name_fancy.blackguard_skulker","Psychopatyczny zabójca"
"heroes.name_fancy.blackguard_skulker_costume_cute","Stuknięty kreskówkowy"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Stuknięty chirurg"
"heroes.name_fancy.blackguard_skulker_costume_glass","Szklany zabójca"
"heroes.name_fancy.castle_bear_armel","Arktyczny ambasador"
"heroes.name_fancy.castle_bear_bearnadette","Malarz portretów"
"heroes.name_fancy.castle_bear_humbert","Obrońca wyżyn"
"heroes.name_fancy.castle_bear_koda","Rycerz Śliwkowego Lasu"
"heroes.name_fancy.castle_bear_teddy","Czyste serce"
"heroes.name_fancy.castle_bear_torben","Władca wyżyn"
"heroes.name_fancy.castle_bear_winnie","Niedźwiedzi zbrojmistrz"
"heroes.name_fancy.castle_bear_yona","Błazen wyżyn"
"heroes.name_fancy.castle_raven_aderyn","Zamkowy medyk"
"heroes.name_fancy.castle_raven_eloise","Zaklinaczka Zamku"
"heroes.name_fancy.castle_raven_franz","Strażnik Zamku"
"heroes.name_fancy.castle_raven_lewena","Strzelczyni Zamku"
"heroes.name_fancy.castle_raven_quintin","Prześladowca Zamku"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Mroźny łowca kruków"
"heroes.name_fancy.castle_raven_rayne","Kapitan Zamku"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Kapitan kruków"
"heroes.name_fancy.castle_raven_wren","Zamkowy zwiadowca"
"heroes.name_fancy.castle_stag_alvar","Tropiciel"
"heroes.name_fancy.castle_stag_cecilia","Błogosławiona o zmierzchu"
"heroes.name_fancy.castle_stag_daemon","Mściciel wyniszczonych"
"heroes.name_fancy.castle_stag_fawn","Oddany giermek"
"heroes.name_fancy.castle_stag_lysanor","Prorok szafirowego snu"
"heroes.name_fancy.castle_stag_raleigh","Uczony ze Szmaragdowego Lasu"
"heroes.name_fancy.castle_stag_siofra","Zaprzysiężony"
"heroes.name_fancy.castle_stag_xiamara","Strażnik Szmaragdowego Lasu"
"heroes.name_fancy.castle_wolf_bertulf","Zamkowy kucharz"
"heroes.name_fancy.castle_wolf_esme","Arcymag z zamku"
"heroes.name_fancy.castle_wolf_ferant","Kasztelan"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Strażnik wilków"
"heroes.name_fancy.castle_wolf_ludwig","Obrońca zamku"
"heroes.name_fancy.castle_wolf_quenell","Zamkowy czempion"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Czempion wilków"
"heroes.name_fancy.castle_wolf_wolfgang","Dowódca zamku"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Dowódca wilków"
"heroes.name_fancy.champions_lazara","Mistrzyni baseballu"
"heroes.name_fancy.champions_mistra","Mistrz dyskusji"
"heroes.name_fancy.champions_nogu","Mistrz w rzucie oszczepem"
"heroes.name_fancy.champions_norman","Czempion jazdy konnej"
"heroes.name_fancy.champions_ramona","Mistrzyni baranich wyścigów"
"heroes.name_fancy.champions_satori","Czempion sumo"
"heroes.name_fancy.christmas_albin","Koneser gorącej czekolady"
"heroes.name_fancy.christmas_augustus","Starszy gnom"
"heroes.name_fancy.christmas_buster","Zrzędliwy gnom ogrodowy"
"heroes.name_fancy.christmas_carol","Pomocnik św. Mikołaja"
"heroes.name_fancy.christmas_cookie","Gnomi naukowiec"
"heroes.name_fancy.christmas_dizzy","Gnomi piosenkarz"
"heroes.name_fancy.christmas_elf","Pomocnik św. Mikołaja"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Księgowy św. Mikołaja"
"heroes.name_fancy.christmas_florencia","Śnieżna strażniczka"
"heroes.name_fancy.christmas_frosty","Północny wartownik"
"heroes.name_fancy.christmas_ginger","Gnomia odkrywczyni"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Gnomia mistrzyni prezentów"
"heroes.name_fancy.christmas_holly","Gnomka kuchmistrzyni"
"heroes.name_fancy.christmas_jolly","Gnomi drwal"
"heroes.name_fancy.christmas_krampus","Świąteczny ghoul"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Świąteczny Żartowniś"
"heroes.name_fancy.christmas_mr_pengi","Kapitan strażników Mikołaja"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Kapitan drużyny snowboardowej"
"heroes.name_fancy.christmas_mrs_claus","Kuchmistrzyni z północy"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Entuzjasta świątecznych swetrów"
"heroes.name_fancy.christmas_noel","Wesołe dziecko na sankach"
"heroes.name_fancy.christmas_ottilia","Gnomia dekoratorka"
"heroes.name_fancy.christmas_peppermint","Gnom alchemik"
"heroes.name_fancy.christmas_reindeer","Wierny renifer św. Mikołaja"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Rycerski rumak św. Mikołaja"
"heroes.name_fancy.christmas_santa","Człowiek prezent"
"heroes.name_fancy.christmas_santa_costume_metal","Rockowy Mikołaj"
"heroes.name_fancy.christmas_tinsel","Gnomka majsterkowiczka"
"heroes.name_fancy.christmas_zappa","Gnomi czarownik"
"heroes.name_fancy.circus_bobo","Yeti z najcieplejszym serduszkiem"
"heroes.name_fancy.circus_candy","Radosny uczestnik zabawy"
"heroes.name_fancy.circus_dandre","Wprawny żongler"
"heroes.name_fancy.circus_director_zuri","Władczyni cyrku"
"heroes.name_fancy.circus_director_zuri_costume_clown","Mistrzyni Klaunów"
"heroes.name_fancy.circus_eichbelborg","Kulturalny kulturysta"
"heroes.name_fancy.circus_eiora_and_fluffy","Dynamiczny duet"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Mroczny Duet"
"heroes.name_fancy.circus_emilio","Wielki poskramiacz feniksów"
"heroes.name_fancy.circus_emilio_costume_frog","Wielki Poskramiacz Żab"
"heroes.name_fancy.circus_faline","Zdumiewająca akrobatka"
"heroes.name_fancy.circus_marcel","Najbardziej figlarny mim"
"heroes.name_fancy.circus_theobald","Cudowny niedźwiedź nożomiot"
"heroes.name_fancy.circus_whacker","Szurnięty szpicel"
"heroes.name_fancy.construct_arzen","Bezlitosny nadzorujący konstrukt"
"heroes.name_fancy.construct_blue_mage","Konstrukt gwiezdnego maga"
"heroes.name_fancy.construct_bonechill","Lodowy konstrukt"
"heroes.name_fancy.construct_brimstone","Piekielny konstrukt"
"heroes.name_fancy.construct_carta","Konstrukt kartograficzny"
"heroes.name_fancy.construct_dancrag","Starożytny kolosalny konstrukt"
"heroes.name_fancy.construct_ferrus","Konstrukt piracki"
"heroes.name_fancy.construct_frond","Elfi konstrukt"
"heroes.name_fancy.construct_glacivolt","Lodowy nadzorujący konstrukt"
"heroes.name_fancy.construct_gwynn","Konstrukt energii"
"heroes.name_fancy.construct_halwinter","Ciężko opancerzony konstrukt"
"heroes.name_fancy.construct_haulstone","Konstrukt towarowy"
"heroes.name_fancy.construct_hornfel","Konstrukt minotaura"
"heroes.name_fancy.construct_hotspin","Konstrukt ognistego cyklonu"
"heroes.name_fancy.construct_ironheart","Święty konstrukt strażniczy"
"heroes.name_fancy.construct_ironvein","Święty konstrukt giermek"
"heroes.name_fancy.construct_japanese_doll","Konstrukt porcelanowej lalki"
"heroes.name_fancy.construct_nautica","Konstrukt nawigacyjny"
"heroes.name_fancy.construct_nocturne","Konstrukt próżni"
"heroes.name_fancy.construct_rhineglow","Konstrukt superkondensator"
"heroes.name_fancy.construct_rustbeak","Konstrukt sowy"
"heroes.name_fancy.construct_scoria","Wiecznie płonący konstrukt"
"heroes.name_fancy.construct_shaal","Konstrukt kleryka"
"heroes.name_fancy.construct_shacklebolt","Uwięziony konstrukt"
"heroes.name_fancy.construct_sizzleomatic","Entuzjastyczny konstrukt kucharz"
"heroes.name_fancy.construct_skarn","Konstrukt mrozu"
"heroes.name_fancy.construct_sylosis","Konstrukt wojownik"
"heroes.name_fancy.construct_tenebrae","Konstrukt mrocznej księżniczki"
"heroes.name_fancy.construct_zavok","Konstrukt chaotycznej magii"
"heroes.name_fancy.cultist_female_poisoner","Buntowniczy łotrzyk"
"heroes.name_fancy.cultist_inventor","Szalony uczony"
"heroes.name_fancy.cultist_inventor_costume_cute","Kreskówkowy naukowiec"
"heroes.name_fancy.cultist_inventor_costume_glass","Szklany naukowiec"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Doktor miłości"
"heroes.name_fancy.cultist_inventor_costume_steam","Uczony elektryk"
"heroes.name_fancy.cultist_mage","Mag trwogi"
"heroes.name_fancy.cultist_mage_costume_cute","Kreskówkowy mag"
"heroes.name_fancy.cultist_mage_costume_glass","Szklany magik"
"heroes.name_fancy.cultist_mage_costume_stylish","Stylowy magik"
"heroes.name_fancy.cultist_mage_costume_voodoo","Nieumarły czarownik"
"heroes.name_fancy.cultist_sorceress","Kat z Descentii"
"heroes.name_fancy.cultist_sorceress_costume_cute","Kreskówkowa egzekutorka"
"heroes.name_fancy.cultist_sorceress_costume_glass","Witraż z Descenthii"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Bestyja z Descenthii"
"heroes.name_fancy.cultist_sorceress_costume_snake","Wężyca z Descenthii"
"heroes.name_fancy.cultist_sorceress_costume_stylish","Stylowa egzekutorka"
"heroes.name_fancy.cultist_thief","Złodziej marzyciel"
"heroes.name_fancy.dark_god_aeron","Nieugięty sędzia"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Sędzia w peruce"
"heroes.name_fancy.dark_god_akilius","Przebiegły rozbójnik"
"heroes.name_fancy.dark_god_anoushka","Samotna wieszczka"
"heroes.name_fancy.dark_god_arfanias","Zabójca z cienia"
"heroes.name_fancy.dark_god_chakkoszrot","Wysoki kapłan jaszczurów"
"heroes.name_fancy.dark_god_clarissa","Zuchwała medium"
"heroes.name_fancy.dark_god_cordelia","Królowa klątw"
"heroes.name_fancy.dark_god_eldwren","Ojciec stada"
"heroes.name_fancy.dark_god_grimble","Gnom ujeżdżający kozła"
"heroes.name_fancy.dark_god_hel","Bóg mroku"
"heroes.name_fancy.dark_god_hel_costume_cute","Niebiańska kreskówkowa mroku"
"heroes.name_fancy.dark_god_hel_costume_omen","Zwiastun mroku"
"heroes.name_fancy.dark_god_kunchen","Mistyczny włóczęga"
"heroes.name_fancy.dark_god_malicna","Figlarna lektorka"
"heroes.name_fancy.dark_god_morax","Zmora podziemi"
"heroes.name_fancy.dark_god_september","Nieuchwytny zabójca"
"heroes.name_fancy.dark_god_september_costume_engineer","Mistrzyni iluzji"
"heroes.name_fancy.dark_god_seshat","Wskrzeszona łowczyni"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Upiorny łucznik"
"heroes.name_fancy.dark_god_sir_casmir","Wędrowny strażnik"
"heroes.name_fancy.dark_god_turgruk","Bezlitosna tropicielka"
"heroes.name_fancy.dark_god_uthragan","Toksyczna odraza"
"heroes.name_fancy.dark_god_viscaro","Zdeprawowany druid"
"heroes.name_fancy.dark_god_zed","Lansjer Imperium"
"heroes.name_fancy.dark_god_zulag","Mężny"
"heroes.name_fancy.dwarven_guard","Tęgi obrońca"
"heroes.name_fancy.dwarven_guard_costume_cute","Kreskówkowy obrońca"
"heroes.name_fancy.dwarven_guard_costume_glass","Szklany obrońca"
"heroes.name_fancy.dwarven_guard_costume_ram","Ciężkozbrojny obrońca"
"heroes.name_fancy.dwarven_guard_costume_tavern","Obrońca karczmy"
"heroes.name_fancy.dwarven_scout","Weteran bojów"
"heroes.name_fancy.dwarven_smasher","Raptus"
"heroes.name_fancy.dwarven_smasher_costume_cute","Narwany kreskówkowy"
"heroes.name_fancy.dwarven_smasher_costume_glass","Narwany witraż"
"heroes.name_fancy.dwarven_smasher_costume_smith","Rozgrzany"
"heroes.name_fancy.dwarwen_brewmaster","Główny piwowar"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Kreskówkowy piwowar"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Szklany piwowar"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Wymiatacz"
"heroes.name_fancy.dwarwen_brewmaster_costume_stylish","Stylowy degustator"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Mistrz snycerstwa"
"heroes.name_fancy.easter_archie","Podróżująca Lama Bard"
"heroes.name_fancy.easter_archie_costume_gallant","Rycerska lama trubadur"
"heroes.name_fancy.easter_chick_jr","Paź Doliny Wiosny"
"heroes.name_fancy.easter_duke_whitley","Wysoki mag z Doliny Wiosny"
"heroes.name_fancy.easter_jasper","Byk Florysta"
"heroes.name_fancy.easter_jasper_costume_fisherman","Byk rybak"
"heroes.name_fancy.easter_killhare","Zaciekła obrończyni z Doliny Wiosny"
"heroes.name_fancy.easter_killhare_costume_farmer","Modelowy rolnik"
"heroes.name_fancy.easter_lady_woolerton","Uzdrowiciel z Doliny Wiosny"
"heroes.name_fancy.easter_lady_woolerton_costume_coiffeuse","Fryzjerka z Doliny Wiosny"
"heroes.name_fancy.easter_marko","Wędrowiec z Doliny Wiosny"
"heroes.name_fancy.easter_miss_ethel","Obrończyni Doliny Wiosny"
"heroes.name_fancy.easter_sadie","Psotna kaczka"
"heroes.name_fancy.easter_sir_roostley","Potężny Rycerz z Doliny Wiosny"
"heroes.name_fancy.easter_sir_roostley_costume_alchemist","Potężny alchemik z Doliny Wiosny"
"heroes.name_fancy.easter_timothy","Harde prosiątko"
"heroes.name_fancy.easter_viscount_cluckwood","Okultysta z Doliny Wiosny"
"heroes.name_fancy.elemental_aconia","Cybernetyczna łotrzyca"
"heroes.name_fancy.elemental_aconia_costume_courier","Cyber kurierka"
"heroes.name_fancy.elemental_alfie","Błazen żywiołów"
"heroes.name_fancy.elemental_anzia","Galaktyczna wybawczyni"
"heroes.name_fancy.elemental_anzia_costume_jailer","Galaktyczny strażnik"
"heroes.name_fancy.elemental_ash","Zaciekła łowczyni nagród"
"heroes.name_fancy.elemental_ash_costume_savage","Dzika łowczyni nagród"
"heroes.name_fancy.elemental_craum","Szaman żywiołów"
"heroes.name_fancy.elemental_craum_costume_occultist","Okultysta żywiołów"
"heroes.name_fancy.elemental_desmond","Alchemik ostrzy"
"heroes.name_fancy.elemental_desmond_costume_assassin","Zabójca z ostrzami"
"heroes.name_fancy.elemental_doxan","Wygnane ostrze plazmowe"
"heroes.name_fancy.elemental_doxan_costume_hacker","Wygnany plazmowy haker"
"heroes.name_fancy.elemental_farrah","Naddźwiękowa mistrzyni ostrza"
"heroes.name_fancy.elemental_farrah_costume_cyber","Mistrzyni cybermiecza"
"heroes.name_fancy.elemental_gastille","Zagrożenie wielowymiarowe"
"heroes.name_fancy.elemental_gastille_costume_sporty","Wielbiciel ryzyka"
"heroes.name_fancy.elemental_griffex","Zmieniający rzeczywistość"
"heroes.name_fancy.elemental_griffex_costume_camera","Formierz mroku"
"heroes.name_fancy.elemental_grilka","Gościnna kwatermistrzyni"
"heroes.name_fancy.elemental_grilka_costume_treasure","Ceniona kwatermistrzyni"
"heroes.name_fancy.elemental_ignazio","Władca płomieni"
"heroes.name_fancy.elemental_ignazio_costume_medic","Ognisty chirurg"
"heroes.name_fancy.elemental_ironmaw","Watażka niezłomnych orków"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Watażka legionu"
"heroes.name_fancy.elemental_jequn","Kosmiczna enigma"
"heroes.name_fancy.elemental_jequn_costume_gilded","Pozłacana enigma"
"heroes.name_fancy.elemental_jolt","Elektryczna nawigatorka"
"heroes.name_fancy.elemental_jolt_costume_mythic","Mityczna nawigatorka"
"heroes.name_fancy.elemental_lexi","Rzemieślniczka energii żywiołów"
"heroes.name_fancy.elemental_linus","Lekkoduszny skazaniec"
"heroes.name_fancy.elemental_niki","Mistrzyni Kosy Mrocznych Wód"
"heroes.name_fancy.elemental_niki_costume_music","Muzyczna mistrzyni kosy"
"heroes.name_fancy.elemental_nova","Kolekcjonerka ducha ognia"
"heroes.name_fancy.elemental_nylora","Bezwzględna zabójczyni"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Zdobiona zabójczyni"
"heroes.name_fancy.elemental_quinn","Kosmiczny kucharz"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Kosmiczny alchemik"
"heroes.name_fancy.elemental_roz","Urodzony strzelec"
"heroes.name_fancy.elemental_roz_costume_disco","Dyskotekowa strzelczyni"
"heroes.name_fancy.elemental_vander","Cyborg kapitan"
"heroes.name_fancy.elemental_vander_costume_clown","Kapitan klaunów"
"heroes.name_fancy.elemental_xandrella","Mistrzyni żywiołowych kreacji"
"heroes.name_fancy.elemental_xandrella_costume_idol","Idolka żywiołowych kreacji"
"heroes.name_fancy.elemental_xavier","Mistrz bliźniaczych ostrzy"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Stawonóg podwójnego ostrza"
"heroes.name_fancy.elemental_zandria","Obrońca czasoprzestrzeni"
"heroes.name_fancy.elemental_zandria_costume_planet","Obrończyni galaktyk"
"heroes.name_fancy.elemental_zaria","Trójoka jasnowidzka"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Trójoka zaklinaczka"
"heroes.name_fancy.elemental_zengar","Wszechstronna bestia"
"heroes.name_fancy.elemental_zengar_costume_farmer","Kultywowana bestia"
"heroes.name_fancy.elemental_zione","Zmechanizowana specjalistka dostaw"
"heroes.name_fancy.elemental_zuni","Elfka na latającej desce"
"heroes.name_fancy.elemental_zuni_costume_mage","Magini na latającej desce"
"heroes.name_fancy.elven_archer","Złote serce"
"heroes.name_fancy.elven_archer_costume_cute","Szlachetna kreskówkowa"
"heroes.name_fancy.elven_archer_costume_glass","Szlachetny witraż"
"heroes.name_fancy.elven_archer_costume_moon","Strażniczka szlachcianka"
"heroes.name_fancy.elven_archer_costume_raven","Szlachetna kruczyca"
"heroes.name_fancy.elven_archer_costume_stylish","Stylowy łucznik"
"heroes.name_fancy.elven_captain","Elficki weteran"
"heroes.name_fancy.elven_captain_costume_cavalier","Elfi rycerz"
"heroes.name_fancy.elven_captain_costume_cute","Kreskówkowy elf"
"heroes.name_fancy.elven_captain_costume_glass","Efi witraż"
"heroes.name_fancy.elven_captain_costume_mask","Elfi mściciel"
"heroes.name_fancy.elven_captain_costume_stylish","Stylowy elf"
"heroes.name_fancy.exalted_female_statue","Matuzalka skał"
"heroes.name_fancy.exalted_female_statue_costume_cute","Kamienna kreskówkowa"
"heroes.name_fancy.exalted_female_statue_costume_glass","Kamienny witraż"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Matuzalka lasu"
