"herocard.passive_skill.description.addmana.all.allies","Todos los aliados obtienen una pequeña cantidad de maná."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Cada vez que este personaje vaya a recibir daño de un estado alterado o una acumulación negativa, en lugar de eso recupera la misma cantidad de vitalidad."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Cada vez que este personaje vaya a recibir daño de un estado alterado o una acumulación negativa, en lugar de eso recupera vitalidad. La cantidad de vitalidad es un {MULTIPLIER} % del daño."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER} % de probabilidad de crítico."
"herocard.passive_skill.description.damage.all.enemies","Causa un {DAMAGE} % de daño a todos los enemigos."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Inflige {DAMAGEPERTURN} de daño a todos los secuaces y megasecuaces enemigos cada {TURNS} turnos."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Inflige {DAMAGEPERTURN} de daño a todos los secuaces y megasecuaces enemigos al comienzo de cada turno."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Inflige {DAMAGEPERTURN} de daño a todos los secuaces y megasecuaces enemigos al comienzo de cada turno."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Todo el daño infligido por los ataques normales y habilidades especiales de este personaje aumenta en un {DAMAGEINCREASEPERSTEP} % por cada {INSANITYPERSTEP} de demencia que tenga hasta un máximo del {MAXDAMAGEINCREASE} %."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single.troop.specialskill.npcnormalattack.add_modifier_per_stack","Todo el daño de los ataques normales y habilidades especiales que inflige este personaje aumenta un {MODIFIER} % por cada acumulación de lirio de sangre que tenga el objetivo."
"herocard.passive_skill.description.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all.specialskill.any","Si hay aliados bailando, la habilidad especial de este personaje inflige un {MODIFIERCHANGE} % más de daño."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","Las tropas de este personaje infligen daño extra contra el elemento más débil.

 Daño extra que infligen: +{MODIFIER} %"
"herocard.passive_skill.description.debuffdamagereduction","El daño causado por los estados alterados y las acumulaciones negativas se reduce un {DAMAGEREDUCTION} %."
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","El daño causado por los estados alterados y las acumulaciones negativas se reduce un {DAMAGEREDUCTION} % para este personaje."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","El núcleo de creación de este personaje es un núcleo destructor.

El núcleo destructor se activa cada vez que este personaje lanza su habilidad especial:

 Con un núcleo destructor cargado al máximo, inflige un {CHARGEDPOWER1} % de daño a todos los enemigos.
 El daño aumenta en función de la carga del núcleo. La carga completa se agota cuando se activa el núcleo."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","Los estados alterados de este personaje se descartan cuando se destruye a un secuaz que le pertenece."
"herocard.passive_skill.description.dodgespecialdamage","Este personaje tiene un {CHANCE} % de probabilidad de esquivar las habilidades especiales que infligen daño."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","Cuando este personaje lanza su habilidad especial, se destruyen todos sus demonios."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Cada {TURNS} turnos, se come a todos los secuaces de un enemigo aleatorio y obtiene una pequeña cantidad de maná por cada uno."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","Cuando este personaje asesta un golpe crítico con su habilidad especial, purifica de forma segura el último estado alterado purificable de todos los aliados. Este efecto se puede activar una vez por turno."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","Cuando este personaje asesta un golpe crítico con su habilidad especial, potencia un {HEALTHBOOST} % la vitalidad de todos los aliados. Este efecto se puede activar una vez por turno."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn","Cuando este personaje golpea a otro que tenga más VIT actual con su habilidad especial, obtiene un {PASSIVESKILL1HEALTHBOOST} % de vitalidad potenciada.
 Cuando este personaje es golpeado por la habilidad especial de otro personaje con más VIT actual, obtiene un {PASSIVESKILL2POWER} % de maná.
 Cada uno de estos efectos solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Cuando este personaje recibe daño de las habilidades especiales, recibe un {POWER} % de maná."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","Cuando este personaje recibe daño directo de las habilidades especiales o de los ataques normales, recibe una pequeña cantidad de maná.
 Máximo del {MAXMANAGAINPERTURN} % de maná obtenido por turno."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Cuando este personaje recibe daño de las habilidades especiales o en lugar de un personaje con cobertura, {CHANCE} % de probabilidad de causar un {POWER} % del daño recibido a todos los enemigos."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Cuando este personaje recibe daño de habilidades especiales, obtiene un {STATUSEFFECT1ATTACK} % de acumulación de ataque (máx.: {STATUSEFFECT1MAXSTACK}). Se puede obtener una acumulación por turno."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Cuando este personaje recibe daño de habilidades especiales, obtiene un {STATUSEFFECT1ATTACK} % de acumulación de ataque (máx.: {STATUSEFFECT1MAXSTACK}). Se puede obtener una acumulación por turno."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Cuando un aliado intenta purificarse usando habilidades especiales, todos los aliados reciben {POWER} de vitalidad potenciada. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Cuando un enemigo intenta purificarse usando habilidades especiales, todos los enemigos reciben {POWER} de daño. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Este personaje recibe un {POWER} % de maná cada vez que se descarta una bendición suya. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Este personaje recibe un {POWER} % de vitalidad cada vez que un estado alterado termina, se purifica, se elimina o se reasigna. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Este personaje tiene un {CHANCE} % de probabilidad de recibir un {POWER} % de vitalidad cada vez que un estado alterado termina, se purifica, se elimina o se reasigna. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Este personaje recibe {POWER} de vitalidad potenciada cada vez que se descarta una bendición de este personaje. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Cada golpe de los secuaces de este personaje inflige {DAMAGE} de daño de escarcha a lo largo de {TURNS} turnos."
"herocard.passive_skill.description.effectonheal.addmana","Este personaje recibe un {POWER} % de maná cada vez que recupera vitalidad."
"herocard.passive_skill.description.effectonheal.heal","Este personaje recibe un {POWER} % de vitalidad cada vez que recupera vitalidad."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Este personaje recibe un {POWER} % de vitalidad cada vez que recupera vitalidad."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Este personaje obtiene un {HEALTHBOOST} % de vitalidad potenciada y un {MANA} % de maná al resistir un ataque."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Este personaje obtiene un {POWER} % de maná cada vez que un enemigo lanza una habilidad especial que potencie la vitalidad directamente."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Este personaje obtiene {POWER} de vitalidad potenciada cada vez que un enemigo lanza una habilidad especial que potencie la vitalidad directamente."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE} % de probabilidad de realizar estas acciones cuando este personaje lanza su habilidad especial:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Cuando este personaje asesta un golpe crítico con su habilidad especial, purifica de forma segura el último estado alterado purificable de todos los aliados."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Cuando este personaje asesta un golpe crítico con su habilidad especial, potencia un {HEALTHBOOST} % la vitalidad de todos los aliados."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Cuando este personaje asesta un golpe crítico con su habilidad especial, potencia un {HEALTHBOOST} % la vitalidad de todos los aliados."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Cuando un enemigo lanza su habilidad especial, este personaje tiene un {CHANCE} % de probabilidad de potenciar su vitalidad en {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","Cuando este personaje usa su habilidad especial, tiene un {CHANCE} % de probabilidad de otorgar un {POWER} % de maná a todos los aliados. Si la habilidad especial está cargada por completo, la probabilidad es del {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","Cuando este personaje usa su habilidad especial, tiene un {CHANCE} % de probabilidad de otorgar un {POWER} % de maná a todos los aliados que no sean del elemento hielo. Si la habilidad especial está cargada por completo, la probabilidad es del {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Cuando este personaje usa su habilidad especial, descarta la última bendición de estado de todos los enemigos."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Cuando este personaje usa su habilidad especial, purifica el último estado alterado de todos los aliados."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","Cuando este personaje usa su habilidad especial, tiene un {CHANCE} % de probabilidad de infligir un {POWER} % de daño a todos los enemigos. Si la habilidad especial está cargada por completo, la probabilidad es del {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","Cuando este personaje usa su habilidad especial, tiene un {CHANCE} % de probabilidad de infligir un {POWER} % de daño a todos los enemigos que no sean del elemento oscuro. Si la habilidad especial está cargada por completo, la probabilidad es del {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","Cuando este personaje usa su habilidad especial, tiene un {CHANCE} % de probabilidad de infligir un {POWER} % de daño a todos los enemigos que no sean del elemento fuego. Si la habilidad especial está cargada por completo, la probabilidad es del {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","Cuando este personaje usa su habilidad especial, tiene un {CHANCE} % de probabilidad de devolver un {POWER} % de vitalidad a todos los aliados. Si la habilidad especial está cargada por completo, la probabilidad es del {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","Cuando este personaje usa su habilidad especial, tiene un {CHANCE} % de probabilidad de devolver un {POWER} % de vitalidad a todos los aliados que no sean del elemento naturaleza. Si la habilidad especial está cargada por completo, la probabilidad es del {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","Cuando este personaje usa su habilidad especial, tiene un {CHANCE} % de probabilidad de devolver un {POWER} % de vitalidad a todos los aliados que no sean del elemento fuego. Si la habilidad especial está cargada por completo, la probabilidad es del {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","Cuando este personaje usa su habilidad especial, tiene un {CHANCE} % de probabilidad de devolver un {POWER} % de vitalidad a todos los aliados que no sean del elemento sagrado. Si la habilidad especial está cargada por completo, la probabilidad es del {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Cuando este personaje usa su habilidad especial, potencia un {POWER} % la vitalidad de todos los aliados."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Si un enemigo con velocidad de maná media o más rápida usa una habilidad especial, todos los enemigos reciben {DAMAGE} de daño. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Cada vez que un enemigo recibe un efecto de estado de burla, aumenta un {POWER} % el maná de este personaje."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Este personaje obtiene un {POWER} % de maná cuando un enemigo recibe una bendición de estado que afecte a la defensa. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Este personaje obtiene un {POWER} % de maná cuando recibe una bendición o una acumulación positiva."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Este personaje obtiene un {POWER} % de maná cuando recibe un estado alterado o una acumulación negativa."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Este personaje recupera un {POWER} % de vitalidad cuando recibe una bendición o una acumulación positiva."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Este personaje recupera un {POWER} % de vitalidad cuando recibe un estado alterado o una acumulación negativa."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Este personaje recupera {POWER} de VIT cuando recibe un estado alterado o una acumulación negativa."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Este personaje tiene un {CHANCE} % de probabilidad de obtener un {POWER} % de maná cuando recibe una bendición o una acumulación positiva."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Este personaje tiene un {CHANCE} % de probabilidad de recuperar un {POWER} % de vitalidad cuando recibe una bendición o una acumulación positiva."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Este personaje tiene un {CHANCE} % de probabilidad de recuperar un {POWER} % de vitalidad cuando recibe una bendición o una acumulación positiva."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Cada {TURNS} turnos, resucita a los aliados cercanos derrotados con un {POWER} % de VIT."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Obtiene una pequeña cantidad de maná por cada bendición de estado activa que tenga el equipo enemigo al comienzo de cada turno (máximo de {MAXSTATUSEFFECTCOUNT} bendiciones)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Potencia la vitalidad de este personaje y los aliados cercanos en un {INCREMENTPERSTATUSEFFECT1} % por cada enemigo que tenga Veneno al comienzo de cada turno. La vitalidad potenciada puede exceder la VIT máxima."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Cuando se invoca un secuaz para un aliado, este personaje obtiene un {POWER} % de maná. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Cuando se invoca un secuaz para cualquier aliado, este personaje obtiene un {HEALTH} % de vitalidad y un {MANA} % de maná. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Cuando se invoca un demonio para cualquier enemigo, este personaje obtiene un {POWER} % de maná. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Cuando se invoca un demonio para cualquier enemigo, este personaje inflige un {DAMAGE} % de daño a todos los enemigos. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Cuando se invoca un demonio para cualquier enemigo, este personaje obtiene {POWER} de vitalidad potenciada. Este efecto solo se puede activar una vez por turno."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE} % de probabilidad de usar acciones extras cuando este personaje lanza su habilidad especial."
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","Los secuaces de todos los enemigos tienen un {MINIONMODIFIER} % de precisión.
 Los megasecuaces de todos los enemigos tienen un {MEGAMINIONMODIFIER} % de precisión."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","El núcleo de creación de este personaje es un núcleo secuaz.

El núcleo secuaz se activa cada vez que este personaje lanza su habilidad especial:

 Con un núcleo secuaz cargado al máximo, invoca a un secuaz robot asesino para cada aliado con un {FAMILIARHEALTHPERCENT} % VIT y un {FAMILIARATTACK} % de ataque heredados del héroe.
 La VIT y el ataque heredados aumentan en función de la carga del núcleo. La carga completa se agota cuando se activa el núcleo.
 Antes de golpear al objetivo, el secuaz robot asesino destruye a todos sus secuaces e inflige daño a sus megasecuaces."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Los megasecuaces enemigos tienen un {HEALTHMODIFIER} % de VIT."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Los secuaces enemigos tienen un {HEALTHMODIFIER} % de VIT."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Los megasecuaces enemigos no pueden atacar ni usar habilidades."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Los secuaces enemigos no pueden atacar ni usar habilidades."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Este personaje obtiene un {POWER} % de maná cada vez que el enemigo recibe daño de escarcha."
"herocard.passive_skill.description.growth","El ataque y la defensa base de este héroe aumentan en {STATINCREASE} cada turno durante {MAXACTIVATIONCOUNT} turnos."
"herocard.passive_skill.description.guaranteedeffectonspecial","Cuando este personaje usa su habilidad especial, se activará cualquiera de sus habilidades pasivas que otorgue efectos extras al activarse."
"herocard.passive_skill.description.heal.all.allies","Recupera un {HEALTH} % de vitalidad para todos los aliados."
"herocard.passive_skill.description.healmodifier","{HEALMULTIPLIER} % más en todas las curaciones recibidas."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Todos los enemigos reciben un {HEALMULTIPLIER} % de curación."
"herocard.passive_skill.description.healmodifier.decrease","{HEALMULTIPLIER} % menos en todas las curaciones recibidas."
"herocard.passive_skill.description.healonheal.can_stack.heal","Este personaje recibe un {POWER} % de vitalidad cada vez que recupera vitalidad."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Este personaje recupera {HEALTH} de vitalidad cuando se destruye a un secuaz que le pertenece."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Este personaje recupera {HEALTH} de vitalidad potenciada cuando se destruye uno de sus secuaces."
"herocard.passive_skill.description.healthboost.all.allies","Potencia la vitalidad de todos los aliados en un {HEALTHBOOST} %. La vitalidad potenciada puede exceder la VIT máxima."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","Al comienzo de cada batalla, el ataque de este personaje aumenta un {ATTACK} % por cada enemigo que no sea del elemento naturaleza. En batallas con múltiples oleadas, el efecto se reinicia al comienzo de cada una."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","El ataque de este personaje aumenta un {ATTACK} % por cada enemigo con vida que no sea del elemento naturaleza. El efecto se reinicia al comienzo de cada una. (Actual: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","Al comienzo de cada batalla, el ataque de este personaje aumenta un {ATTACK} % por cada enemigo que no sea del elemento fuego. En batallas con múltiples oleadas, el efecto se reinicia al comienzo de cada una."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","El ataque de este personaje aumenta un {ATTACK} % por cada enemigo con vida que no sea del elemento fuego. El efecto se reinicia al comienzo de cada una. (Actual: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Inflige un {DAMAGEMULTIPLIER} % más de daño a los secuaces."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Este personaje inflige un {DAMAGEMULTIPLIER} % de daño a secuaces y megasecuaces."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Los golpes de la habilidad especial de este personaje son un {POWERADDITION} % más poderosos si el objetivo tiene burla."
"herocard.passive_skill.description.increasespecialdamage","Las primeras {MAXACTIVATIONCOUNT} veces que este personaje lanza una habilidad especial que inflige daño, se añade un {POWERADDITION} % más a su poder."
"herocard.passive_skill.description.increasespecialdamage.usable_once","La primera vez que este personaje lanza una habilidad especial que inflige daño, se añade un {POWERADDITION} % más a su poder."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Cada vez que este personaje lanza una habilidad especial que inflige daño, se añade un {POWERADDITION} % más a su poder."
"herocard.passive_skill.description.insanitydamagereduction","Todo el daño que recibe este personaje se reduce un {DAMAGEREDUCTION} % por cada {DISPLAYSCALE} de demencia que tenga este personaje hasta una reducción máxima del {MAXDAMAGEREDUCTION} %."
"herocard.passive_skill.description.iterateeffectonspecial","Cuando este personaje usa su habilidad especial, tiene {APPLYCOUNT} oportunidades de activarse cualquiera de sus habilidades pasivas que otorgue efectos extras al activarse."
"herocard.passive_skill.description.league.featured_family","¡Este héroe pertenece a una familia destacada!"
"herocard.passive_skill.description.league.non_featured_family","¡Este héroe no pertenece a una familia destacada!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER} % de precisión contra héroes de las familias destacadas."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Las curaciones a miembros de las familias destacadas tienen un {POWERMULTIPLIER} % de efectividad."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER} % de daño recibido de familias no destacadas."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER} % de regeneración de maná."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Reduce un {MODIFIER} % el aumento de la cantidad de maná que proporcionan las habilidades especiales. El efecto se aplica a todos los enemigos de la batalla."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","Reduce un {MODIFIER} % el aumento de la cantidad de maná que proporcionan las habilidades especiales, las habilidades pasivas, las bonificaciones familiares y los efectos de estado. El efecto se aplica a todos los enemigos de la batalla."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","Reduce un {MODIFIER} % el aumento de la cantidad de maná que proporcionan las habilidades especiales, las habilidades pasivas, las bonificaciones familiares y los efectos de estado. El efecto se aplica a todos los enemigos de la batalla."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Este personaje obtiene una cantidad de maná pequeña cuando se destruye a un secuaz que le pertenece."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Este personaje tiene la habilidad innata de memorizar cualquier secuaz o demonio invocado por las habilidades especiales de los enemigos. Memorizará el último secuaz y demonio que los enemigos invoquen hasta que se lance la habilidad especial."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Este personaje tiene la habilidad innata de memorizar cualquier secuaz o demonio invocado por las habilidades especiales de los enemigos. Memorizará los últimos {0} secuaces y demonios que los enemigos invoquen hasta que se lance la habilidad especial."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","This character has innate ability to Memorize any Minion or Fiend summoned by enemies' Special Skills. The latest {0} Minions and Fiends that enemies summon will stay memorized until the Special Skill is cast. (THIRD FORM)"
"herocard.passive_skill.description.memorizestatuseffects","Este personaje tiene la habilidad innata de memorizar los estados alterados. Memorizará el último estado alterado que se use en su contra hasta que emplee su habilidad especial. Solo puede memorizar los estados alterados con una duración limitada."
"herocard.passive_skill.description.memorizestatuseffects#2","Este personaje tiene la habilidad innata de memorizar los estados alterados. Memorizará los últimos {0} estados alterados que se usen en su contra hasta que emplee su habilidad especial. Solo puede memorizar los estados alterados con una duración limitada."
"herocard.passive_skill.description.memorizestatuseffects#3","This character has innate ability to Memorize status ailments. The latest {0} status ailments that are cast on this character will stay memorized until the Special Skill is cast. Only status ailments with a duration can be memorized. (THIRD FORM)"
"herocard.passive_skill.description.mimiclootonlevelcompleted","Cada copia única de tu equipo puede proporcionarte botín extra al completar fases. Esta copia otorga la probabilidad de conseguir el siguiente botín extra:"
"herocard.passive_skill.description.nevermissspecial","La habilidad especial de este personaje nunca falla."
