"heroes.name_fancy.astral_cosmicspeaker","Astral Elf Astronomer"
"heroes.name_fancy.beowulf_beowulf","Sword of the Geats"
"heroes.name_fancy.beowulf_breca","Boon Companion"
"heroes.name_fancy.beowulf_ecgtheow","Fierce War-Leader"
"heroes.name_fancy.beowulf_freawaru","The Peace-Weaver"
"heroes.name_fancy.beowulf_grendel","Sword-Breaking Hell-Brute"
"heroes.name_fancy.beowulf_grendels_mother","Terror-Spreading Tarn-Hag"
"heroes.name_fancy.beowulf_hrothgar","Master of the Mead-Hall"
"heroes.name_fancy.beowulf_hygd","Queen of the Geats"
"heroes.name_fancy.beowulf_modthryth","Remorseless Shieldmaiden"
"heroes.name_fancy.beowulf_nithgaest","Beowulf's Bane"
"heroes.name_fancy.beowulf_unferth","Hrunting's Bearer"
"heroes.name_fancy.beowulf_wealhtheow","Ring-Graced, Royal-Hearted"
"heroes.name_fancy.beowulf_weland","Skillful Smith"
"heroes.name_fancy.beowulf_wiglaf","Son of Weohstan"
"heroes.name_fancy.blackguard_commander","Mournful Duke"
"heroes.name_fancy.blackguard_commander_costume_cute","Mournful Toon"
"heroes.name_fancy.blackguard_commander_costume_feather","Lamenting Duke"
"heroes.name_fancy.blackguard_commander_costume_glass","Mournful Vitrail"
"heroes.name_fancy.blackguard_commander_costume_metal","Duke of Rock"
"heroes.name_fancy.blackguard_female_archer","Aspiring Archer"
"heroes.name_fancy.blackguard_female_captain","Resolute Warden"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Resolute Toon"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Resolute Vitrail"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Resolute Overseer"
"heroes.name_fancy.blackguard_knight","Noble Cavalier"
"heroes.name_fancy.blackguard_knight_costume_cute","Toon Cavalier"
"heroes.name_fancy.blackguard_knight_costume_elegant","Dapper Noble"
"heroes.name_fancy.blackguard_knight_costume_glass","Glass Cavalier"
"heroes.name_fancy.blackguard_knight_costume_healer","Noble Healer"
"heroes.name_fancy.blackguard_scout","Morgovian Fugitive"
"heroes.name_fancy.blackguard_skulker","Unhinged Assassin"
"heroes.name_fancy.blackguard_skulker_costume_cute","Unhinged Toon"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Unhinged Surgeon"
"heroes.name_fancy.blackguard_skulker_costume_glass","Glass Assassin"
"heroes.name_fancy.castle_bear_armel","Arctic Ambassador"
"heroes.name_fancy.castle_bear_bearnadette","Portrait Painter"
"heroes.name_fancy.castle_bear_humbert","Defender of the Highlands"
"heroes.name_fancy.castle_bear_koda","Knight of the Plum Forest"
"heroes.name_fancy.castle_bear_teddy","The Pureheart"
"heroes.name_fancy.castle_bear_torben","Lord of the Highlands"
"heroes.name_fancy.castle_bear_winnie","Ursine Armorer"
"heroes.name_fancy.castle_bear_yona","Jester of the Highlands"
"heroes.name_fancy.castle_raven_aderyn","Medic of the Castle"
"heroes.name_fancy.castle_raven_eloise","Enchanter of the Castle"
"heroes.name_fancy.castle_raven_franz","Protector of the Castle"
"heroes.name_fancy.castle_raven_lewena","Marksman of the Castle"
"heroes.name_fancy.castle_raven_quintin","Stalker of the Castle"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Frosthunter of the Ravens"
"heroes.name_fancy.castle_raven_rayne","Captain of the Castle"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Captain of the Ravens"
"heroes.name_fancy.castle_raven_wren","Scout of the Castle"
"heroes.name_fancy.castle_stag_alvar","The Pathfinder"
"heroes.name_fancy.castle_stag_cecilia","Blessed by Twilight"
"heroes.name_fancy.castle_stag_daemon","Avenger of the Withered"
"heroes.name_fancy.castle_stag_fawn","Devoted Squire"
"heroes.name_fancy.castle_stag_lysanor","Seer of the Sapphire Dream"
"heroes.name_fancy.castle_stag_raleigh","Scholar of the Emerald Forest"
"heroes.name_fancy.castle_stag_siofra","The Oathkeeper"
"heroes.name_fancy.castle_stag_xiamara","Guardian of the Emerald Forest"
"heroes.name_fancy.castle_wolf_bertulf","Chef of the Castle"
"heroes.name_fancy.castle_wolf_esme","Archmage of the Castle"
"heroes.name_fancy.castle_wolf_ferant","Warden of the Castle"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Warden of the Wolves"
"heroes.name_fancy.castle_wolf_ludwig","Defender of the Castle"
"heroes.name_fancy.castle_wolf_quenell","Champion of the Castle"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Champion of the Wolves"
"heroes.name_fancy.castle_wolf_wolfgang","Commander of the Castle"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Commander of the Wolves"
"heroes.name_fancy.champions_lazara","Baseball Champion"
"heroes.name_fancy.champions_mistra","Discus Throw Champion"
"heroes.name_fancy.champions_nogu","Javelin Throw Champion"
"heroes.name_fancy.champions_norman","Jousting Champion"
"heroes.name_fancy.champions_ramona","Ram Turismo Champion"
"heroes.name_fancy.champions_satori","Sumo Champion"
"heroes.name_fancy.christmas_albin","Hot Chocolate Connoisseur"
"heroes.name_fancy.christmas_augustus","Gnome Elder"
"heroes.name_fancy.christmas_buster","Grumpy Garden Gnome"
"heroes.name_fancy.christmas_carol","Santa's Little Helper"
"heroes.name_fancy.christmas_cookie","Gnome Scientist"
"heroes.name_fancy.christmas_dizzy","Gnome Entertainer"
"heroes.name_fancy.christmas_elf","Santa's Little Helper"
"heroes.name_fancy.christmas_frosty","Northern Sentinel"
"heroes.name_fancy.christmas_ginger","Gnome Explorer"
"heroes.name_fancy.christmas_holly","Gnome Head Chef"
"heroes.name_fancy.christmas_jolly","Gnome Lumberjack"
"heroes.name_fancy.christmas_krampus","Holiday Ghoul"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Holiday Prankster"
"heroes.name_fancy.christmas_mr_pengi","Captain of Santa's Guards"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Captain of Snowboard Team"
"heroes.name_fancy.christmas_mrs_claus","The Northern Chef"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Holiday Sweater Enthusiast"
"heroes.name_fancy.christmas_ottilia","Gnome Decorator"
"heroes.name_fancy.christmas_peppermint","Gnome Alchemist"
"heroes.name_fancy.christmas_reindeer","Santa's Loyal Steed"
"heroes.name_fancy.christmas_santa","The Gift-Bringer"
"heroes.name_fancy.christmas_santa_costume_metal","Hard Rock Santa"
"heroes.name_fancy.christmas_tinsel","Gnome Tinkerer"
"heroes.name_fancy.christmas_zappa","Gnome Wizard"
"heroes.name_fancy.circus_bobo","Yeti with the Warmest Heart"
"heroes.name_fancy.circus_candy","Mirthful Merrymaker"
"heroes.name_fancy.circus_dandre","Sure-Handed Juggler"
"heroes.name_fancy.circus_director_zuri","Master of Circus"
"heroes.name_fancy.circus_director_zuri_costume_clown","Master of Clowns"
"heroes.name_fancy.circus_eichbelborg","Boastful Bodybuilder"
"heroes.name_fancy.circus_eiora_and_fluffy","Dynamic Duo"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Dark Duo"
"heroes.name_fancy.circus_emilio","The Great Phoenix Tamer"
"heroes.name_fancy.circus_emilio_costume_frog","The Great Frog Tamer"
"heroes.name_fancy.circus_faline","Astonishing Acrobat"
"heroes.name_fancy.circus_marcel","Most Mischevious Mime"
"heroes.name_fancy.circus_theobald","Knife-Throwing Miracle Bear"
"heroes.name_fancy.circus_whacker","Wacky Walloper"
"heroes.name_fancy.construct_arzen","Vicious Overseer Construct"
"heroes.name_fancy.construct_blue_mage","Starborne Mage Construct"
"heroes.name_fancy.construct_bonechill","Frost Construct"
"heroes.name_fancy.construct_brimstone","Hellish Construct"
"heroes.name_fancy.construct_carta","Cartographer Construct"
"heroes.name_fancy.construct_dancrag","Ancient Colossus Construct"
"heroes.name_fancy.construct_ferrus","Pirate Construct"
"heroes.name_fancy.construct_frond","Elven Construct"
"heroes.name_fancy.construct_glacivolt","Icy Overseer Construct"
"heroes.name_fancy.construct_gwynn","Energy Flow Construct"
"heroes.name_fancy.construct_halwinter","Heavily Armored Construct"
"heroes.name_fancy.construct_haulstone","Carry-It-All Construct"
"heroes.name_fancy.construct_hornfel","Minotaur Construct"
"heroes.name_fancy.construct_hotspin","Flame Cyclone Construct"
"heroes.name_fancy.construct_ironheart","Holy Guardian Construct"
"heroes.name_fancy.construct_ironvein","Holy Squire Construct"
"heroes.name_fancy.construct_japanese_doll","Porcelain Doll Construct"
"heroes.name_fancy.construct_nautica","Navigator Construct"
"heroes.name_fancy.construct_nocturne","Void Tank Construct"
"heroes.name_fancy.construct_rhineglow","Supercapacitor Construct"
"heroes.name_fancy.construct_rustbeak","Owl Construct"
"heroes.name_fancy.construct_scoria","Everburning Construct"
"heroes.name_fancy.construct_shaal","Cleric Construct"
"heroes.name_fancy.construct_shacklebolt","Imprisoned Construct"
"heroes.name_fancy.construct_sizzle3000","Enthusiastic Chef Construct"
"heroes.name_fancy.construct_skarn","Balefrost Construct"
"heroes.name_fancy.construct_sylosis","Martial Artist Construct"
"heroes.name_fancy.construct_tenebrae","Dark Princess Construct"
"heroes.name_fancy.construct_zavok","Chaotic Mage Construct"
"heroes.name_fancy.cultist_female_poisoner","Rebellious Rogue"
"heroes.name_fancy.cultist_inventor","Mad Scientist"
"heroes.name_fancy.cultist_inventor_costume_cute","Toon Scientist"
"heroes.name_fancy.cultist_inventor_costume_glass","Glass Scientist"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Love Doctor"
"heroes.name_fancy.cultist_inventor_costume_steam","Electro Scientist"
"heroes.name_fancy.cultist_mage","Dread Magician"
"heroes.name_fancy.cultist_mage_costume_cute","Toon Magician"
"heroes.name_fancy.cultist_mage_costume_glass","Glass Magician"
"heroes.name_fancy.cultist_mage_costume_voodoo","Undead Magician"
"heroes.name_fancy.cultist_sorceress","Executor from Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_cute","Toon Executioner"
"heroes.name_fancy.cultist_sorceress_costume_glass","Vitrail from Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Monstress of Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_snake","Snake of Descenthia"
"heroes.name_fancy.cultist_thief","Thief with Big Plans"
"heroes.name_fancy.dark_god_aeron","Steadfast Judge"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Periwig Judge"
"heroes.name_fancy.dark_god_akilius","Devious Reaver"
"heroes.name_fancy.dark_god_anoushka","The Reclusive Seeress"
"heroes.name_fancy.dark_god_arfanias","Shadow Assassin"
"heroes.name_fancy.dark_god_chakkoszrot","Lizardfolk High Priest"
"heroes.name_fancy.dark_god_clarissa","Brash Channeler"
"heroes.name_fancy.dark_god_eldwren","The Flock Father"
"heroes.name_fancy.dark_god_grimble","The Goat-Riding Gnome"
"heroes.name_fancy.dark_god_hel","Celestial of Darkness"
"heroes.name_fancy.dark_god_hel_costume_omen","Omen of Darkness"
"heroes.name_fancy.dark_god_kunchen","Mystical Vagabond"
"heroes.name_fancy.dark_god_malicna","Wicked Lector"
"heroes.name_fancy.dark_god_morax","Bane of the Underworld"
"heroes.name_fancy.dark_god_september","Mirage Assassin"
"heroes.name_fancy.dark_god_september_costume_engineer","Mirage Engineer"
"heroes.name_fancy.dark_god_seshat","Reanimated Huntress"
"heroes.name_fancy.dark_god_seshat_costume_revenant","High Revenant Archer"
"heroes.name_fancy.dark_god_sir_casmir","The Vagabond Guardian"
"heroes.name_fancy.dark_god_turgruk","Vicious Tracker"
"heroes.name_fancy.dark_god_uthragan","Toxic Abomination"
"heroes.name_fancy.dark_god_viscaro","Corrupted Druid"
"heroes.name_fancy.dark_god_zed","Imperial Lancer"
"heroes.name_fancy.dark_god_zulag","The Valiant"
"heroes.name_fancy.dwarven_guard","Stout Defender"
"heroes.name_fancy.dwarven_guard_costume_cute","Toon Defender"
"heroes.name_fancy.dwarven_guard_costume_glass","Glass Defender"
"heroes.name_fancy.dwarven_guard_costume_ram","Heavyweight Defender"
"heroes.name_fancy.dwarven_guard_costume_tavern","Tavern Defender"
"heroes.name_fancy.dwarven_scout","Veteran Battler"
"heroes.name_fancy.dwarven_smasher","The Hotblooded"
"heroes.name_fancy.dwarven_smasher_costume_cute","The Hotblooded Toon"
"heroes.name_fancy.dwarven_smasher_costume_glass","The Hotblooded Vitrail"
"heroes.name_fancy.dwarven_smasher_costume_smith","The Heated"
"heroes.name_fancy.dwarwen_brewmaster","Master Brewer"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Toon Brewer"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Brewer Vitrail"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Master Shredder"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Master Wood Carver"
"heroes.name_fancy.easter_archie","Traveling Llama Troubadour"
"heroes.name_fancy.easter_archie_costume_gallant","Gallant Llama Troubadour"
"heroes.name_fancy.easter_chick_jr","Squire of Springvale"
"heroes.name_fancy.easter_jasper","Florist Bull"
"heroes.name_fancy.easter_jasper_costume_fisherman","Fisherman Bull"
"heroes.name_fancy.easter_killhare","Savage Protector of Springvale"
"heroes.name_fancy.easter_killhare_costume_farmer","Ultimate Farmer"
"heroes.name_fancy.easter_lady_woolerton","Mender of Springvale"
"heroes.name_fancy.easter_miss_ethel","Defender of Springvale"
"heroes.name_fancy.easter_sadie","Mischievous Mallard"
"heroes.name_fancy.easter_sir_roostley","Mighty Knight of Springvale"
"heroes.name_fancy.easter_timothy","The Plucky Piglet"
"heroes.name_fancy.easter_viscount_cluckwood","Occultist of Springvale"
"heroes.name_fancy.elemental_aconia","Cyber Rogue"
"heroes.name_fancy.elemental_aconia_costume_courier","Cyber Courier"
"heroes.name_fancy.elemental_alfie","Elemental Jester"
"heroes.name_fancy.elemental_anzia","Galactic Savior"
"heroes.name_fancy.elemental_anzia_costume_jailer","Galactic Jailer"
"heroes.name_fancy.elemental_ash","Fierce Bounty Hunter"
"heroes.name_fancy.elemental_ash_costume_savage","Savage Bounty Hunter"
"heroes.name_fancy.elemental_craum","Elemental Shaman"
"heroes.name_fancy.elemental_craum_costume_occultist","Elemental Occultist"
"heroes.name_fancy.elemental_desmond","Blade Alchemist"
"heroes.name_fancy.elemental_desmond_costume_assassin","Blade Assassin"
"heroes.name_fancy.elemental_doxan","Exiled Plasma Blade"
"heroes.name_fancy.elemental_doxan_costume_hacker","Exiled Plasma Hacker"
"heroes.name_fancy.elemental_farrah","Supersonic Blade Master"
"heroes.name_fancy.elemental_farrah_costume_cyber","Cyber Blade Master"
"heroes.name_fancy.elemental_gastille","Multidimensional Hazard"
"heroes.name_fancy.elemental_gastille_costume_sporty","Sporty Hazard"
"heroes.name_fancy.elemental_griffex","Modifier of Reality"
"heroes.name_fancy.elemental_griffex_costume_camera","Modifier of Obscura"
"heroes.name_fancy.elemental_grilka","Hospitable Quartermaster"
"heroes.name_fancy.elemental_grilka_costume_treasure","Treasured Quartermaster"
"heroes.name_fancy.elemental_ignazio","Conductor of Flames"
"heroes.name_fancy.elemental_ignazio_costume_medic","Flame Surgeon"
"heroes.name_fancy.elemental_ironmaw","Warlord of the Unwavering Orcs"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Warlord of the Legion"
"heroes.name_fancy.elemental_jequn","The Cosmic Enigma"
"heroes.name_fancy.elemental_jequn_costume_gilded","The Gilded Enigma"
"heroes.name_fancy.elemental_jolt","Electric Navigator"
"heroes.name_fancy.elemental_jolt_costume_mythic","Mythic Navigator"
"heroes.name_fancy.elemental_lexi","Artisan of Elemental Energy"
"heroes.name_fancy.elemental_linus","Carefree Convict"
"heroes.name_fancy.elemental_niki","Scythe Master of the Dark Sea"
"heroes.name_fancy.elemental_niki_costume_music","Scythe Master of the Music"
"heroes.name_fancy.elemental_nova","Fire Spirit Collector"
"heroes.name_fancy.elemental_nylora","Cold Blooded Assassin"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Jewelled Assassin"
"heroes.name_fancy.elemental_quinn","Cosmic Chef"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Cosmic Alchemist"
"heroes.name_fancy.elemental_roz","Natural Sharpshooter"
"heroes.name_fancy.elemental_roz_costume_disco","Disco Sharpshooter"
"heroes.name_fancy.elemental_vander","Cyborg Captain"
"heroes.name_fancy.elemental_vander_costume_clown","Clown Captain"
"heroes.name_fancy.elemental_xandrella","Master of Elemental Creations"
"heroes.name_fancy.elemental_xandrella_costume_idol","Idol of Elemental Creations"
"heroes.name_fancy.elemental_xavier","Dual Blade Specialist"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Dual Blade Arthropod"
"heroes.name_fancy.elemental_zandria","Defender of Space-Time"
"heroes.name_fancy.elemental_zandria_costume_planet","Defender of Galaxies"
"heroes.name_fancy.elemental_zaria","Three-Eyed Psychic"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Three-Eyed Enchanter"
"heroes.name_fancy.elemental_zengar","Universal Beast"
"heroes.name_fancy.elemental_zengar_costume_farmer","Cultivating Beast"
"heroes.name_fancy.elemental_zione","Mechanized Delivery Expert"
"heroes.name_fancy.elemental_zuni","Hoverboarding Elf"
"heroes.name_fancy.elemental_zuni_costume_mage","Hoverboard Mage"
"heroes.name_fancy.elven_archer","The Noble Heart"
"heroes.name_fancy.elven_archer_costume_cute","The Noble Toon"
"heroes.name_fancy.elven_archer_costume_glass","The Noble Vitrail"
"heroes.name_fancy.elven_archer_costume_moon","The Noble Guardian"
"heroes.name_fancy.elven_archer_costume_raven","The Noble Raven"
"heroes.name_fancy.elven_captain","Elven Veteran"
"heroes.name_fancy.elven_captain_costume_cavalier","Elven Cavalier"
"heroes.name_fancy.elven_captain_costume_cute","Elven Toon"
"heroes.name_fancy.elven_captain_costume_glass","Elven Vitrail"
"heroes.name_fancy.elven_captain_costume_mask","Elven Avenger"
"heroes.name_fancy.exalted_female_statue","Ancient of Stone"
"heroes.name_fancy.exalted_female_statue_costume_cute","Toon of Stone"
"heroes.name_fancy.exalted_female_statue_costume_glass","Vitrail of Stone"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Ancient of the Sun"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Ancient of Thorns"
"heroes.name_fancy.exalted_warrior","Ancient of Ice"
"heroes.name_fancy.exalted_warrior_costume_cute","Toon of Ice"
"heroes.name_fancy.exalted_warrior_costume_glass","Vitrail of Ice"
"heroes.name_fancy.exalted_warrior_costume_ice","Monolith of Ice"
"heroes.name_fancy.exalted_warrior_costume_underworld","Ancient of the Underworld"
"heroes.name_fancy.fables_boss_wolf","Governor of Grimforest"
"heroes.name_fancy.fables_cinderella","Housemaid of Grimforest"
"heroes.name_fancy.fables_frog_prince","Heir to the Throne"
"heroes.name_fancy.fables_gnomer","Sentry of Grimforest"
"heroes.name_fancy.fables_gretel","Witch Slayer of Grimforest"
"heroes.name_fancy.fables_hansel","Witch Hunter of Grimforest"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Vampire Hunter of Grimforest"
"heroes.name_fancy.fables_pixie","Sprite of Grimforest"
"heroes.name_fancy.fables_puss_in_boots","Cat of Grimforest"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Masked Highwaycat"
"heroes.name_fancy.fables_red_hood","Protector of Grimforest"
"heroes.name_fancy.fables_rumpelstiltskin","Jester of Grimforest"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Eternal Trickster"
"heroes.name_fancy.fables_snow_white","Princess of Grimforest"
"heroes.name_fancy.fables_snow_white_costume_slayer","Slayer White"
"heroes.name_fancy.faun_araminta","Fearsome Faun Warrior"
"heroes.name_fancy.faun_ascian","All-Seeing Faun Augur"
"heroes.name_fancy.faun_bramble","Gentle Faun Gardener"
"heroes.name_fancy.faun_gideon","Courageous Faun Commander"
"heroes.name_fancy.faun_isidore","Charismatic Faun Champion"
"heroes.name_fancy.faun_jolyon","Thoughtful Faun Tinkerer"
"heroes.name_fancy.faun_maud","Ambitious Faun Alchemist"
"heroes.name_fancy.faun_myrtle","Harried Faun Herbalist"
"heroes.name_fancy.faun_peregrine","Reckless Faun Scout"
"heroes.name_fancy.faun_philomena","Mesmerizing Faun Minstrel"
"heroes.name_fancy.faun_saskia","Fleet-Footed Faun Dancer"
"heroes.name_fancy.faun_tamlin","Eerie Faun Flautist"
"heroes.name_fancy.faun_verity","Mysterious Faun Merchant"
"heroes.name_fancy.faun_yolanda","Sanguine Faun Seeress"
"heroes.name_fancy.faun_ysabel","Dauntless Faun Gladiator"
"heroes.name_fancy.fire_god_andre","The Betrayed Templar"
"heroes.name_fancy.fire_god_anzogh","Shaman with a Grudge"
"heroes.name_fancy.fire_god_ares","Deity of War"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Keymaster of War"
"heroes.name_fancy.fire_god_doom","Blood-Stained Druid"
"heroes.name_fancy.fire_god_doom_costume_avenger","Burning Avenger"
"heroes.name_fancy.fire_god_eliane","Senior Red Mage"
"heroes.name_fancy.fire_god_jean_francois","Musketeer Mage"
"heroes.name_fancy.fire_god_maple","Fairy of Auburn Woods"
"heroes.name_fancy.fire_god_nadnog","The Fiery Healer"
"heroes.name_fancy.fire_god_natalya","Fireborn Enchantress"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","Fireborn Seamstress"
"heroes.name_fancy.fire_god_neema","Fire Wizard"
"heroes.name_fancy.fire_god_noor","Sparrow Whisperer"
"heroes.name_fancy.fire_god_reuben","Sworn Occultist"
"heroes.name_fancy.fire_god_roughian_and_nurgib","Unseparable Team"
"heroes.name_fancy.fire_god_russell","Raging Pyromancer"
"heroes.name_fancy.fire_god_skargremar","Pioneering Rearguard"
"heroes.name_fancy.fire_god_tahir","Nomadic Hunter"
"heroes.name_fancy.fire_god_yang_mai","Fist of the Sun"
"heroes.name_fancy.fire_god_zagrog","Lone Rogue"
"heroes.name_fancy.fire_god_zarga","Fast Blade"
"heroes.name_fancy.fire_god_zidane","Charming Privateer"
"heroes.name_fancy.fire_god_zimkitha","Long-Lost Daughter"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","Long-Lost Adventurer"
"heroes.name_fancy.fleur_elyzabel","Sanguine Countess"
"heroes.name_fancy.fleur_eumachius","Sanguine Scion"
"heroes.name_fancy.fleur_guillemette","Sanguine Crusader"
"heroes.name_fancy.fleur_lavinia","Sanguine Dreamer"
"heroes.name_fancy.fleur_ludovico","Sanguine Steward"
"heroes.name_fancy.forest_archer","Able Archer"
"heroes.name_fancy.forest_archer_costume_cute","Toon Archer"
"heroes.name_fancy.forest_archer_costume_glass","Glass Archer"
"heroes.name_fancy.forest_archer_costume_warrior","Adroit Archer"
"heroes.name_fancy.forest_female_druid","Druid of Rathwood"
"heroes.name_fancy.forest_female_druid_costume_cute","Toon of Rathwood"
