"herocard.family.title.abyss","Underwild Family"
"herocard.family.title.outlaw.short","Outlaws of Liangshan"
"herocard.family.title.owl","Owl Family"
"herocard.family.title.owl.short","Owl"
"herocard.family.title.pirate","Pirate Family"
"herocard.family.title.pirate.short","Pirate"
"herocard.family.title.plains_hunter","Plains Hunter Family"
"herocard.family.title.plains_hunter.short","Plains Hunter"
"herocard.family.title.raven","Raven Family"
"herocard.family.title.raven.short","Raven"
"herocard.family.title.raven_pve.short","Raven"
"herocard.family.title.sand","Sand Empire Family"
"herocard.family.title.sand.short","Sand Empire"
"herocard.family.title.slayers","Slayer Family"
"herocard.family.title.slayers.short","Slayer"
"herocard.family.title.slime","Slime Family"
"herocard.family.title.slime.short","Slime"
"herocard.family.title.stag","Stag Family"
"herocard.family.title.stag.short","Stag"
"herocard.family.title.stag_pve.short","Stag"
"herocard.family.title.styx","Styx Family"
"herocard.family.title.styx.short","Styx"
"herocard.family.title.sun","Sun Family"
"herocard.family.title.sun.short","Sun"
"herocard.family.title.super_elemental","Super Elemental Family"
"herocard.family.title.super_elemental.short","Super Elemental"
"herocard.family.title.svartalfheim","Svartalfheim Realm"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Nightmares of Atlantis Family"
"herocard.family.title.tales1_baddies.short","Nightmares of Atlantis"
"herocard.family.title.tales1_goodies","Defenders of Atlantis Family"
"herocard.family.title.tales1_goodies.short","Defenders of Atlantis"
"herocard.family.title.vanaheim","Vanaheim Realm"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","Valiant Vegetable Family"
"herocard.family.title.vegetable.short","Valiant Vegetable"
"herocard.family.title.villains","Villain Family"
"herocard.family.title.villains.short","Villain"
"herocard.family.title.wild_cat","Wild Cat Family"
"herocard.family.title.wild_cat.short","Wild Cat"
"herocard.family.title.winter","Winter Family"
"herocard.family.title.winter.short","Winter"
"herocard.family.title.wolf","Wolf Family"
"herocard.family.title.wolf.short","Wolf"
"herocard.family.title.wolf_pve.short","Wolf"
"herocard.family.title.wonderland","Wonderland Family"
"herocard.family.title.wonderland.short","Wonderland"
"herocard.family.title.zodiac","Lunar Year Family"
"herocard.family.title.zodiac.short","Lunar Year"
