"specials.name.a_cozy_break","Pause agréable"
"specials.name.basilisk_breath","Souffle du basilic"
"specials.name.battering_ram","Bélier"
"specials.name.battle_boast","Vantardise combative"
"specials.name.battleclaw_strike","Coup de griffe"
"specials.name.beach_party","Fête à la plage"
"specials.name.beautiful_petals","Magnifiques pétales"
"specials.name.bee_bombast","Abeilles grandioses"
"specials.name.bee_bravado","Bravade abeille"
"specials.name.beetle_strike","Frappe du scarabée"
"specials.name.berserker_strike","Frappe du berserker"
"specials.name.bewildering_riddle","Énigme troublante"
"specials.name.bewitched_daggers","Dagues ensorcelées"
"specials.name.bewitching_blast","Explosion ensorcelée"
"specials.name.binding_contract","Contrat contraignant"
"specials.name.birch_blessing","Bénédiction du bouleau"
"specials.name.bite_of_protection","Morsure protectrice"
"specials.name.bites_of_disorientation","Morsure troublantes"
"specials.name.bitter_berry_blast_dragon_pve","Explosion de baies amères"
"specials.name.bizarre_mist","Brume bizarre"
"specials.name.black_tassel_spear_sting","Lance à pompons noirs"
"specials.name.black_tide","Marée noire"
"specials.name.blade_barrage","Barrage de lame"
"specials.name.blade_dance","Lames dansantes"
"specials.name.blade_of_betrayal","Lame traîtresse"
"specials.name.blade_of_bundelkhand","Lame de Bundelkhand"
"specials.name.blade_of_horrid_affliction","Lame immonde"
"specials.name.blade_tail_swipe","Queue tranchante"
"specials.name.blade_venom","Lames empoisonnées"
"specials.name.blade_wings","Ailes acérées"
"specials.name.blazing_beak","Bec incandescent"
"specials.name.blazing_corolla","Corolle ardente"
"specials.name.blazing_inferno","Enfer ardent"
"specials.name.blazing_rave_dance","Danse ardente"
"specials.name.blazing_slam_dunk","Dunk embrasé"
"specials.name.blazing_venom","Venin ardent"
"specials.name.bleed_inducing_daggers","Dagues sanglantes"
"specials.name.bleeding_edge","Frappe sanglante"
"specials.name.bleeding_hammer","Marteau sanglant"
"specials.name.bleeding_stab","Frappe saignante"
"specials.name.bleeding_thrust","Poussée de saignement"
"specials.name.blessed_blade","Lames bénites"
"specials.name.blessed_blade_pve","Lames bénites"
"specials.name.blessed_brew","Breuvage béni"
"specials.name.blessed_solo","Solo béni"
"specials.name.blessed_tankard","Chope bénie"
"specials.name.blessing_from_the_future","Bénédiction de l'avenir"
"specials.name.blessing_of_gjallarhorn","Bénédiction de Gjallarhorn"
"specials.name.blessing_of_the_evergrove","Bénédiction du bosquet éternel"
"specials.name.blessing_of_the_skies","Bénédiction des cieux"
"specials.name.blind_rage","Rage aveugle"
"specials.name.blinding_attack","Attaque aveuglante"
"specials.name.blinding_curse","Malédiction de cécité"
"specials.name.blinding_flash","Flash aveuglant"
"specials.name.blinding_flash_s4","Flash aveuglant"
"specials.name.blinding_injustice","Injustice aveuglante"
"specials.name.blinding_knowledge","Connaissance aveuglante"
"specials.name.blinding_light","Lueur aveuglante"
"specials.name.blinding_orb","Orbe aveuglant"
"specials.name.blinding_pounce","Attaque aveuglante"
"specials.name.blinding_spell","Sort aveuglant"
"specials.name.blinding_spit","Crachat aveuglant"
"specials.name.blinding_stinger","Dard aveuglant"
"specials.name.blinding_strike","Frappe aveuglante"
"specials.name.blinding_wisdom","Sagesse aveuglante"
"specials.name.blizzard","Blizzard"
"specials.name.blizzard_roar","Rugissement du blizzard"
"specials.name.blob_of_fury","Blob de furie"
"specials.name.blood_illusion","Illusion sanglante"
"specials.name.blood_petals_of_the_withered","Pétales sanglants"
"specials.name.blood_sacrifice","Coup sanglant"
"specials.name.bloodthirst","Soif de sang"
"specials.name.blooming_growth","Croissance florissante"
"specials.name.bludgeoning","Cognée"
"specials.name.blue_lizard_charge","Charge de lézard camouflé bleu"
"specials.name.blue_shroom_wand","Baguette du champignon bleu"
"specials.name.blur_of_steel","Éclair d'acier"
"specials.name.blur_of_steel_pve","Éclair d'acier"
"specials.name.boar_call","Appel du sanglier"
"specials.name.boar_charge","Charge du sanglier"
"specials.name.boar_of_fury","Fureur du sanglier"
"specials.name.boat_ride_from_the_beyond","Bateau de l'au-delà"
"specials.name.bobo_blitz","Bobo-attaque"
"specials.name.bolstering_rush","Charge de soutien"
"specials.name.bond_of_avarice","Lien d'avidité"
"specials.name.bone_arrow","Flèche d'os"
"specials.name.bone_club_clonk","Massue osseuse"
"specials.name.bone_club_party","Fracas d'os"
"specials.name.bone_ritual","Rituel des os"
"specials.name.bone_slam","Frappe osseuse"
"specials.name.bone_toss","Os volants"
"specials.name.booming_mend","Soins explosifs"
"specials.name.boon_of_gjallarhorn","Faveur de Gjallarhorn"
"specials.name.boopstrike","Frappe sur le museau"
"specials.name.boreal_bash","Frappe boréale"
"specials.name.boulder_smash","Frappe de la pierre"
"specials.name.bound_by_knowledge","Prison de connaissances"
"specials.name.bound_by_tales","Prison des récits"
"specials.name.bounty_of_the_spring","Trésor du printemps"
"specials.name.bouquet_of_the_seas","Bouquet des mers"
"specials.name.brain_link","Lien cérébral"
"specials.name.brand_of_reckoning","Marque du jugement"
"specials.name.branded_by_fire","Empreinte du feu"
"specials.name.break_free","Libération"
"specials.name.break_strike","Frappe brisante"
"specials.name.breaker_blade","Lame brisante"
"specials.name.breaker_blade_pve","Lame brisante"
"specials.name.breath_of_darkness","Souffle des ténèbres"
"specials.name.breath_of_life","Souffle de la vie"
"specials.name.breath_of_the_abyss","Souffle des abysses"
"specials.name.brew_of_the_centaurs","Breuvage des centaures"
"specials.name.brides_kiss","Baiser de la mariée"
"specials.name.brilliant_brew","Breuvage grandiose"
"specials.name.brilliant_sweep_dragon_pve","Balayage brillant"
"specials.name.bringer_of_order","Héraut de l'ordre"
"specials.name.brittling_burst","Explosion fragilisante"
"specials.name.brittling_force","Force fragilisante"
"specials.name.brittling_strike","Frappe fragilisante"
"specials.name.bruiser_bros","Frères frappeurs"
"specials.name.brutal_bull_rush","Charge de taureau brutale"
"specials.name.brutal_support","Soutien brutal"
"specials.name.buccaneers_blade","Lame des boucaniers"
"specials.name.bugs_shell","Carapace d'insecte"
"specials.name.building_blocks_bulklug","Blocs de construction"
"specials.name.bulwark_charge","Charge inébranlable"
"specials.name.burning_ashes","Cendres brûlantes"
"specials.name.burning_ashes2","Cendres brûlantes"
"specials.name.burning_chains","Chaînes brûlantes"
"specials.name.burning_claws_dragon_pve","Griffes brûlantes"
"specials.name.burning_javelin","Javelot enflammé"
"specials.name.burning_pollen_dragon_pve","Ailes de feu"
"specials.name.burning_shields","Boucliers brûlants"
"specials.name.burning_spin","Tourbillon brûlant"
"specials.name.burning_strike","Coup brûlant"
"specials.name.burning_thread","Fil brûlant"
"specials.name.burning_wok","Wok brûlant"
"specials.name.but_a_scratch","Juste une égratignure"
"specials.name.butterfly_swarm","Nuée de papillons"
"specials.name.cabbage_barrage","Barrage de choux"
"specials.name.calcifying_breath","Souffle calcifié"
"specials.name.call_of_the_elements","Appel des éléments"
"specials.name.call_to_arms","Appel aux armes"
"specials.name.calling_the_bluff","Cartes sur table"
"specials.name.calm_jab_dragon_pve","Frappe calme"
"specials.name.calming_mist","Brume calmante"
"specials.name.camouflage_foliage","Feuillage de camouflage"
"specials.name.candy_vines","Bonbon au réglisse"
"specials.name.cannibalizing_munch","Morsure cannibale"
"specials.name.cannon_blast","Coup de canon"
"specials.name.cannonball_splash","Bombe parfaite"
"specials.name.capsicum_charge","Charge du poivron"
"specials.name.captains_cutlass","Coutelas du capitaine"
"specials.name.captivating_illusions","Illusions captivantes"
"specials.name.carnivore_garden","Jardin carnivore"
"specials.name.carve_a_hole","Excavation"
"specials.name.carve_the_bones","Sculpture d'os"
"specials.name.cascading_darkness","Cascade ténébreuse"
"specials.name.cascading_whirlwind","Tourbillon en cascade"
"specials.name.cataclysmic_divination","Divination cataclysmique"
"specials.name.catnip_fury","Fureur de l'herbe à chats"
"specials.name.caught_and_vicious","Pris et vicieux"
"specials.name.cauterizing_flame","Flamme cautérisante"
"specials.name.cauterizing_touch","Toucher cicatrisant"
"specials.name.cavalier_hat_of_dark_realm","Chapeau de cavalier du royaume sombre"
"specials.name.celestial_anvil","Enclume céleste"
"specials.name.ceremonial_dance","Danse cérémonielle"
"specials.name.ceremonial_katar","Katar de cérémonie"
"specials.name.chain_blasm_strike","Frappe de chaîne déflagratrice"
"specials.name.chain_lightning","Chaîne d'éclairs"
"specials.name.chain_of_pain","Chaîne de douleur"
"specials.name.chain_strike","Frappe de chaîne"
"specials.name.chains_of_legion","Chaînes de la légion"
"specials.name.chains_of_light","Chaînes de lumière"
"specials.name.chakram_kick","Coup de pied chakram"
"specials.name.challenge_the_strongest","Défi audacieux"
"specials.name.champagne_hammer","Marteau-bouteille"
"specials.name.champion_maneuver","Manœuvre de champion"
"specials.name.championship_carrot","Carotte de championnat"
"specials.name.change_stance","Entaille du parieur"
"specials.name.channel_ki","Canalisation du Ki"
"specials.name.channeler_of_the_cats","Communication féline"
"specials.name.channeler_of_the_gods","Communication divine"
"specials.name.chaos_bolt_volley","Pluie d'éclairs chaotiques"
"specials.name.chaos_venom","Venin du chaos"
"specials.name.charged_fireball_dragon_pve","Boule de feu chargée"
"specials.name.charm_of_protection","Enchantement protecteur"
"specials.name.charmed_dual_blade","Double lame ensorcelée"
"specials.name.charmers_blades","Lames enchanteresses"
"specials.name.cheerful_charm","Sortilège enjoué"
"specials.name.cheese_wheel_rampage","Meule de fromage dévastatrice"
"specials.name.cherry_pudding_served","Pudding à la cerise"
"specials.name.chieftains_vengeance","Vengeance du chef"
"specials.name.chilling_counterattack","Contre-attaque glaciale"
"specials.name.chilling_slash","Coup givrant"
"specials.name.chitin_cage","Cage chitineuse"
"specials.name.chords_of_distortion","Accords distordants"
"specials.name.chords_of_havoc","Accords chaotiques"
"specials.name.chords_of_inferno","Accords infernaux"
"specials.name.claw_power","Fureur de gobelin"
"specials.name.claw_swipe","Balayage de griffe"
"specials.name.claws_of_fury","Griffes furieuses"
"specials.name.claws_of_the_hunter","Griffes chasseresses"
"specials.name.claws_of_the_lioness","Griffes de la lionne"
"specials.name.claws_of_the_night","Griffes de la nuit"
"specials.name.claws_of_the_night_ultimate_boss","Griffes de la nuit"
"specials.name.claws_of_the_north","Griffes du Nord"
"specials.name.cleansing_determination","Détermination purifiante"
"specials.name.cleansing_determination_pve","Détermination purifiante"
"specials.name.cleansing_strike","Frappe purificatrice"
"specials.name.cleave_and_reflect","Coup reflété"
"specials.name.cleave_counter","Tranche et contre"
"specials.name.clever_stratagem","Stratagème rusé"
"specials.name.cloak_of_feathers","Cape de plumes"
"specials.name.close_order_formation","Formation ordonnée"
"specials.name.cloth_of_constellations","Toile des constellations"
"specials.name.cloud_axe","Hache céleste"
"specials.name.cloud_hammer","Marteau céleste"
"specials.name.clowns_blessing","Bénédiction du clown"
"specials.name.coastal_recharge","Recharge côtière"
"specials.name.coiling_whip","Fouet enroulé"
"specials.name.coins_of_pain","Pièces douloureuses"
"specials.name.cold_blast","Blizzard"
"specials.name.cold_blast_single","Explosion de givre"
"specials.name.cold_command","Commandement du froid"
"specials.name.cold_fire","Feu glacial"
"specials.name.colossal_bite","Morsure colossale"
"specials.name.colossal_carry","Charge colossale"
"specials.name.colossal_chops","Taillades colossales"
"specials.name.comet","Rayon brûlant"
"specials.name.command_pack","Domination de la meute"
"specials.name.command_sand_golems","Contrôle des golems de sable"
"specials.name.command_to_advance","Ordre de marche"
"specials.name.command_to_advance_costume_fire_bat","Ordre de départ"
"specials.name.commanders_gauntlet","Gantelet de commandant"
"specials.name.commodores_malice","Ruse de contre-amiral"
"specials.name.commodores_revenge","Vengeance du Commodore"
"specials.name.compact_lance","Lance compacte"
"specials.name.concussive_charge","Charge violente"
"specials.name.confident_strategy","Stratégie sûre"
"specials.name.conjure_the_azure_spirit","Conjuration de l'esprit azur"
"specials.name.connect_ki","Connexion du Ki"
"specials.name.connect_ki_pve","Connexion du Ki"
"specials.name.conquerors_command","Commandement du conquérant"
"specials.name.constellation_crush","Écrasement stellaire"
"specials.name.corals_of_nourishment","Coraux nourrissants"
"specials.name.core_beam","Rayon central"
"specials.name.core_blast","Explosion du noyau"
"specials.name.core_burst","Explosion de noyau"
"specials.name.corroding_cutlass","Coutelas de corrosion"
"specials.name.corrosive_acid","Acide corrosif"
"specials.name.corrosive_burn_claws_dragon_pve","Griffes corrosives brûlantes"
"specials.name.corrosive_claws_dragon_pve","Griffes corrosives"
"specials.name.corrosive_pollen","Pollen corrosif"
"specials.name.corrupting_idol","Idole corruptrice"
"specials.name.cosmic_clock","Horloge cosmique"
"specials.name.cosmic_devotion","Dévotion cosmique"
"specials.name.countering_hammock","Contre du hamac"
"specials.name.counterstance","Posture de contre"
"specials.name.couriers_dash","Sprint du messager"
"specials.name.cover_slam","Frappe à couvert"
"specials.name.covert_stab","Coup de poignard impitoyable"
"specials.name.cracked_skull_strike","Frappe brise-crâne"
"specials.name.crawling_vines","Lierre rampant"
"specials.name.crazed_lunge","Longe affolée"
"specials.name.crazed_stampede","Piétinement démentiel"
"specials.name.creative_hands","Mains créatives"
"specials.name.creeping_venom","Venin sournois"
"specials.name.creeping_vines","Vignes rampante"
"specials.name.crescent_moon_strike","Frappe du croissant de lune"
"specials.name.crescent_shield","Bouclier lunaire"
"specials.name.crescent_spear","Lance lunaire"
"specials.name.crimson_blade","Lame écarlate"
"specials.name.crimson_calamity","Calamité écarlate"
"specials.name.crimson_calamity2","Calamité écarlate"
"specials.name.crimson_hunt","Chasse écarlate"
"specials.name.crimson_trap","Piège pourpre"
"specials.name.crippling_claws","Griffes paralysantes"
"specials.name.crippling_claws_pve","Griffes paralysantes"
"specials.name.crippling_grapple","Poigne paralysante"
"specials.name.critical_cookout","Festin critique"
"specials.name.critical_tactics","Tactiques critiques"
"specials.name.croc_bite","Morsure de crocodile"
"specials.name.crush_of_avarice","Avidité écrasante"
"specials.name.crush_of_hel","Le pilon de Hel"
"specials.name.crush_of_malice","Malveillance écrasante"
"specials.name.crush_of_toon_hel","Pilon de Hel cartoonesque"
"specials.name.crushing_claws","Griffes écrasantes"
"specials.name.crushing_shot","Tir écrasant"
"specials.name.crust_of_divinity","Croûte divine"
"specials.name.cry_for_absolution","Supplique d'absolution"
"specials.name.crystal_barrage","Barrage de cristal"
"specials.name.crystal_bombardment","Bombardement de cristal"
"specials.name.crystal_embrace","Étreinte de cristal"
"specials.name.crystalis","Cristal givrant"
"specials.name.crystalline_strike","Frappe cristalline"
"specials.name.cub_leader_cut","Taillade de l'ours"
"specials.name.cube_of_dark_realm","Cube du royaume sombre"
"specials.name.cult_of_arachnid","Culte de l'arachnide"
"specials.name.cultivated_manipulation","Manipulation cultivée"
"specials.name.cunning_knife","Couteau sournois"
"specials.name.cup_of_mead","Coupe d'hydromel"
"specials.name.curse_of_sargasso","Malédiction de Sargasso"
"specials.name.curse_of_the_cephaloid","Malédiction du céphaloïde"
"specials.name.curse_of_the_depths","Malédiction des profondeurs"
"specials.name.curse_of_the_sea","Malédiction des mers"
"specials.name.curse_of_the_specter","Malédiction du spectre"
"specials.name.curse_of_the_specter_pve","Malédiction du spectre"
"specials.name.cursed_fumes","Fumée maudite"
"specials.name.cursed_fumes2","Fumée maudite"
"specials.name.cursed_garden","Jardin maudit"
"specials.name.cursed_painting","Tableau maudit"
"specials.name.cursed_plan","Projet maudit"
"specials.name.cursed_strike","Coup maudit"
"specials.name.cursed_tail_whip","Queue maudite"
"specials.name.cut_cure_and_craze","Attaque curative"
"specials.name.cut_down_the_competition","Concurrence déloyale"
"specials.name.cute_and_dangerous","Adorable péril"
"specials.name.cuts_of_hulu","Entailles de Hulu"
"specials.name.dagger_of_shadows","Dague des ombres"
"specials.name.dance_of_fire","Danse du feu"
"specials.name.dance_of_flame","Danse des flammes"
"specials.name.dance_of_glass","Danse de verre"
"specials.name.dance_of_ignition","Danse des flammes"
"specials.name.dance_of_siegfried","Danse de Siegfried"
"specials.name.dance_of_spirits","Danse des esprits"
"specials.name.dance_of_the_dunes","Danse des dunes"
"specials.name.dance_of_the_heron","Danse du héron"
"specials.name.dance_of_the_little_swan","Danse du petit cygne"
"specials.name.dance_of_the_queen","Danse de la reine"
"specials.name.dance_of_the_raven","Danse du cygne noir"
"specials.name.dance_of_the_slimy","Danse des gluants"
"specials.name.dance_of_the_swan","Danse du cygne"
"specials.name.dance_of_the_yellow_swan","Danse du cygne clair"
"specials.name.dance_of_toons","Danse des toons"
"specials.name.dancestance","Posture de danse"
"specials.name.dancing_dodge","Esquive dansante"
"specials.name.dancing_slash","Taillade dansante"
"specials.name.dantes_inferno","Enfer de Dante"
"specials.name.dark_barrage","Barrage sombre"
"specials.name.dark_bolt","Éclair sombre"
"specials.name.dark_lord","Frappe de la ruine"
"specials.name.dark_mirror","Miroir de flammes"
"specials.name.dark_orb","Orbe sombre"
"specials.name.dark_shock","Choc sombre"
"specials.name.darts_of_the_deep","Fléchettes des profondeurs"
"specials.name.dauntless_bladestorm","Tempête de lames"
"specials.name.dawn_strike","Frappe de l'aube"
"specials.name.dawnlight_rally","Rassemblement de l'aube"
"specials.name.day_of_judgement","Jour du jugement"
"specials.name.day_of_reckoning","Jour du châtiment"
"specials.name.dazzling_gleam","Éclat éblouissant"
"specials.name.dazzling_grin","Sourire éblouissant"
"specials.name.dazzling_sweep_dragon_pve","Balayage éblouissant"
"specials.name.deadly_claw","Griffe mortelle"
"specials.name.deadly_constriction","Constriction mortelle"
"specials.name.deadly_riposte","Riposte mortelle"
"specials.name.deadly_sting","Piqûre mortelle"
"specials.name.deafening_parade","Parade assourdissante"
"specials.name.deathly_glaive","Glaive mortel"
"specials.name.deathstrike","Mise à mort"
"specials.name.debt_drain_boboosang","Drain de dette"
"specials.name.deceiving_glow","Lueur trompeuse"
"specials.name.deceptive_smalltalk","Conversation trompeuse"
"specials.name.deep_sea_ritual","Rituel des profondeurs"
"specials.name.defensive_tactics","Tactiques défensives"
"specials.name.delay_the_inevitable","Inévitable retardé"
"specials.name.delicious_demise","Délicieux désastre"
"specials.name.delicious_idol","Délicieuse idole"
"specials.name.demolishing_crush","Frappe dévastatrice"
"specials.name.demoralizing_banter","Réplique démoralisante"
"specials.name.depth_blast","Explosion des profondeurs"
"specials.name.deranged_existence","Existence démente"
"specials.name.desert_blessing","Bénédiction du désert"
"specials.name.desert_hunt","Chasse du désert"
"specials.name.destructive_strike","Longe de trident"
"specials.name.deteriorating_morale","Moral sapé"
"specials.name.devastating_slash","Taillade dévastatrice"
"specials.name.devastating_thrust","Poussée dévastatrice"
"specials.name.dewling_strike","Frappe de la rosée"
"specials.name.dewling_sweep","Balayage de la rosée"
"specials.name.dewling_warcry","Cri de guerre de la rosée"
"specials.name.dig_a_hole","Enfouissement"
"specials.name.dinner_with_the_beast","Dîner avec la Bête"
"specials.name.dire_ghost","Fantôme pressant"
"specials.name.directors_blessing","Bénédiction directoriale"
"specials.name.directors_blessing_pve","Bénédiction directoriale"
"specials.name.disabling_decree","Décret handicapant"
"specials.name.disabling_study","Étude affaiblissante"
"specials.name.disarming_gaze_dragon_pve","Regard désarmant"
"specials.name.discordant_incantation","Incantation discordante"
"specials.name.disheartening_riddle","Énigme désespérante"
"specials.name.dishonorable_ploy","Complot sournois"
"specials.name.disir_of_dreams","Dísir des rêves"
"specials.name.disir_of_dusk","Dísir du crépuscule"
"specials.name.dispelling_curse","Sort de dissipation"
"specials.name.dispelling_judgement","Jugement dissipant"
"specials.name.dispelling_potion","Potion de dissipation"
"specials.name.dispelling_strike","Frappe dissipante"
"specials.name.dispelling_willpower","Volonté de dissipation"
"specials.name.dispelling_willpower_pve","Volonté de dissipation"
"specials.name.disquieting_tune","Mélodie inquiétante"
"specials.name.disrupting_charge","Charge perturbatrice"
"specials.name.disrupting_charge_costume_tiger_lord","Charge destructrice"
"specials.name.divine_connection","Connexion divine"
"specials.name.divine_current","Courant divin"
"specials.name.divine_light1","Lueur divine"
"specials.name.divine_lunge","Charge divine"
"specials.name.divine_protection","Protection divine"
"specials.name.divine_protection_deadly","Protection divine"
"specials.name.divine_reflection","Reflet divin"
"specials.name.divine_reversal","Renversement divin"
"specials.name.dizzying_strike","Frappe vertigineuse"
"specials.name.donut_to_the_rescue","Beignet salvateur"
