"herocard.family.title.abyss","Underwild Ailesi"
"herocard.family.title.fleur_de_sang","Fleur de Sang Ailesi"
"herocard.family.title.fleur_de_sang.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Fleur de Sang"
"herocard.family.title.forsaken","Terk Edilmiş Aile"
"herocard.family.title.forsaken.short","Terk Edilmiş"
"herocard.family.title.fortune","Talih Dansçısı Ailesi"
"herocard.family.title.fortune.short","Talih"
"herocard.family.title.fox","Tilki Ailesi"
"herocard.family.title.fox.short","Tilki"
"herocard.family.title.gargoyle","Yaratık Ailesi"
"herocard.family.title.gargoyle.short","Yaratık"
"herocard.family.title.garrison","Garnizon Muhafızları Ailesi"
"herocard.family.title.garrison.short","Garnizon Muhafızları"
"herocard.family.title.goblin","Goblin Ailesi"
"herocard.family.title.goblin.short","Goblin"
"herocard.family.title.guardian","Muhafız Ailesi"
"herocard.family.title.guardian.short","Muhafız"
"herocard.family.title.halloween","Morlovia Ailesi"
"herocard.family.title.halloween.short","Morlovia"
"herocard.family.title.helheim","Helheim Diyarı"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","{0} Efsaneleri Ailesi"
"herocard.family.title.hotm.short","{0} Efsaneleri"
"herocard.family.title.institute","Enstitü Ailesi"
"herocard.family.title.institute.short","Enstitü"
"herocard.family.title.investigator","Dedektif Ailesi"
"herocard.family.title.investigator.short","Dedektif"
"herocard.family.title.japanese","Sakura Ailesi"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Jotunheim Diyarı"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Seyahat Ailesi"
"herocard.family.title.journey.short","Seyahat"
"herocard.family.title.jungle_hunter","Orman Avcısı Ailesi"
"herocard.family.title.jungle_hunter.short","Orman Avcısı"
"herocard.family.title.kalevala","Kalevala Ailesi"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Krallık Ailesi"
"herocard.family.title.kingdom.short","Krallık"
"herocard.family.title.knight","Avalon Ailesi"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Lagün Ailesi"
"herocard.family.title.lagoon.short","Lagün"
"herocard.family.title.magic","Büyülü Aile"
"herocard.family.title.magic.short","Büyülü"
"herocard.family.title.magic_carpet","Uçan Halı Ailesi"
"herocard.family.title.magic_carpet.short","Uçan Halı"
"herocard.family.title.mahayoddha","Mahayoddha Ailesi"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Maskeli Tanrı Ailesi"
"herocard.family.title.masquerade.short","Maskeli Tanrı"
"herocard.family.title.masquerade_pve","Maskeli Tanrı Ailesi"
"herocard.family.title.masquerade_pve.short","Maskeli Tanrı"
"herocard.family.title.midgard","Midgard Diyarı"
"herocard.family.title.midgard.short","Midgard"
"herocard.family.title.mighty_pet","Güçlü Evcil Hayvan Ailesi"
"herocard.family.title.mighty_pet.short","Güçlü Evcil Hayvan"
"herocard.family.title.mimic","Taklit Ailesi"
"herocard.family.title.mimic.short","Taklit"
"herocard.family.title.moon","Ay Ailesi"
"herocard.family.title.moon.short","Ay"
"herocard.family.title.moths","Güve Ailesi"
"herocard.family.title.moths.short","Güve"
"herocard.family.title.musketeer","Silahşor Ailesi"
"herocard.family.title.musketeer.short","Silahşor"
"herocard.family.title.muspelheim","Muspelheim Diyarı"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Gizem Ailesi"
"herocard.family.title.mystery.short","Gizem"
"herocard.family.title.nidavellir","Nidavellir Diyarı"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Niflheim Diyarı"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Ninja Ailesi"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Ninja Ailesi"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Opera Ailesi"
"herocard.family.title.opera.short","Opera"
"herocard.family.title.outlaw","Liangshan'ın Kanun Kaçakları Ailesi"
"herocard.family.title.outlaw.short","Liangshan'ın Kanun Kaçakları"
"herocard.family.title.owl","Baykuş Ailesi"
"herocard.family.title.owl.short","Baykuş"
"herocard.family.title.pirate","Korsan Ailesi"
"herocard.family.title.pirate.short","Korsan"
"herocard.family.title.plains_hunter","Ova Avcısı Ailesi"
"herocard.family.title.plains_hunter.short","Ova Avcısı"
"herocard.family.title.raven","Kuzgun Ailesi"
"herocard.family.title.raven.short","Kuzgun"
"herocard.family.title.raven_pve.short","Kuzgun"
"herocard.family.title.sand","Kum İmparatorluğu Ailesi"
"herocard.family.title.sand.short","Kum İmparatorluğu"
"herocard.family.title.shady_scoundrels","Şüpheli Alçak Ailesi"
"herocard.family.title.shady_scoundrels.short","Şüpheli Alçak"
"herocard.family.title.slayers","Katil Ailesi"
"herocard.family.title.slayers.short","Katil"
"herocard.family.title.slime","Balçık Ailesi"
"herocard.family.title.slime.short","Balçık"
"herocard.family.title.stag","Geyik Ailesi"
"herocard.family.title.stag.short","Geyik"
"herocard.family.title.stag_pve.short","Geyik"
"herocard.family.title.styx","Stiks Ailesi"
"herocard.family.title.styx.short","Stiks"
"herocard.family.title.sun","Güneş Ailesi"
"herocard.family.title.sun.short","Güneş"
"herocard.family.title.super_elemental","Süper Elementer Aile"
"herocard.family.title.super_elemental.short","Süper Elementer"
"herocard.family.title.svartalfheim","Svartalfheim Diyarı"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Atlantis Kabusları Ailesi"
"herocard.family.title.tales1_baddies.short","Atlantis Kabusları"
"herocard.family.title.tales1_goodies","Atlantis Savunucuları Ailesi"
"herocard.family.title.tales1_goodies.short","Atlantis Savunucuları"
"herocard.family.title.titan_hunter","Titan Avcısı Ailesi"
"herocard.family.title.titan_hunter.short","Titan Avcısı"
"herocard.family.title.vanaheim","Vanaheim Diyarı"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","Cesur Sebze Ailesi"
"herocard.family.title.vegetable.short","Cesur Sebze"
"herocard.family.title.villains","Kötü Adam Ailesi"
"herocard.family.title.villains.short","Kötü Adam"
"herocard.family.title.wild_cat","Yaban Kedisi Ailesi"
"herocard.family.title.wild_cat.short","Yaban Kedisi"
"herocard.family.title.winter","Kış Ailesi"
"herocard.family.title.winter.short","Kış"
"herocard.family.title.wolf","Kurt Ailesi"
"herocard.family.title.wolf.short","Kurt"
"herocard.family.title.wolf_pve.short","Kurt"
"herocard.family.title.wonderland","Harikalar Diyarı Ailesi"
"herocard.family.title.wonderland.short","Harikalar Diyarı"
"herocard.family.title.zodiac","Ay Yılı Ailesi"
"herocard.family.title.zodiac.short","Ay Yılı"
