"herocard.passive_skill.description.addmana.all.allies","Tutti gli alleati guadagnano una piccola quantità di mana."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","All'inizio di ogni battaglia, l'Attacco di questo personaggio viene aumentato del {ATTACK}% per ogni nemico che non è dell'elemento Fuoco. Nelle battaglie con più ondate, questo effetto si rinnova all'inizio di ciascuna ondata."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","L'attacco di questo personaggio viene aumentato del {ATTACK}% per ogni nemico vivo che non è dell'elemento Fuoco. L'effetto si rinnova all'inizio di ogni ondata. (Attualmente: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Infligge il {DAMAGEMULTIPLIER}% di danni in più contro i servitori."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Questo personaggio infligge il {DAMAGEMULTIPLIER}% di danni ai servitori e ai servitori Mega."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","I colpi dell'abilità speciale di questo personaggio hanno una potenza aggiuntiva del {POWERADDITION}% se il bersaglio ha Deridi."
"herocard.passive_skill.description.increasespecialdamage","Le prime {MAXACTIVATIONCOUNT} volte che questo personaggio lancia un'Abilità speciale che infligge danni, viene aggiunto un {POWERADDITION}% extra alla sua potenza."
"herocard.passive_skill.description.increasespecialdamage.usable_once","La prima volta che questo personaggio lancia un'Abilità speciale che infligge danni, viene aggiunto un ulteriore {POWERADDITION}% alla sua potenza."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Ogni volta che questo personaggio lancia un'Abilità speciale che infligge danni, viene aggiunto un ulteriore {POWERADDITION}% alla sua potenza."
"herocard.passive_skill.description.insanitydamagereduction","Tutti i danni subiti da questo personaggio sono ridotti del {DAMAGEREDUCTION}% per ogni {DISPLAYSCALE} di Follia su questo personaggio fino a una riduzione massima del {MAXDAMAGEREDUCTION}%."
"herocard.passive_skill.description.iterateeffectonspecial","Quando questo personaggio lancia la sua Abilità speciale, tutte le sue abilità passive che conferiscono effetti extra al lancio hanno {APPLYCOUNT} probabilità di attivarsi."
"herocard.passive_skill.description.league.featured_family","Questo Eroe fa parte di una famiglia in evidenza!"
"herocard.passive_skill.description.league.non_featured_family","Questo Eroe non fa parte di una famiglia in evidenza!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER}% di precisione contro gli Eroi delle famiglie in evidenza."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Le guarigioni che colpiscono i membri delle famiglie in evidenza hanno il {POWERMULTIPLIER}% di efficacia."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER}% di danni subiti da famiglie non in evidenza."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER}% di rigenerazione mana."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Riduce del {MODIFIER}% la quantità di mana aumentata dalle Abilità speciali. L'effetto si applica a tutti i nemici in battaglia."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","Riduce del {MODIFIER}% la quantità di mana aumentata da Abilità speciali, abilità passive, bonus famiglia ed effetti di stato. L'effetto si applica a tutti i nemici in battaglia."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","Riduce del {MODIFIER}% la quantità di mana aumentata da Abilità speciali, abilità passive, bonus famiglia ed effetti di stato. L'effetto si applica a tutti i nemici in battaglia."
"herocard.passive_skill.description.managenerationmodifier.none","{MODIFIER}% di rigenerazione mana."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Questo personaggio ottiene una piccola quantità di mana quando un suo servitore viene distrutto."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Questo personaggio ha l'abilità innata di Memorizzare qualsiasi servitore o demone evocato dalle Abilità speciali dei nemici. Gli ultimi servitore e demone evocati dai nemici resteranno memorizzati fino al lancio dell'Abilità speciale."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Questo personaggio ha l'abilità innata di Memorizzare qualsiasi servitore o demone evocato dalle Abilità speciali dei nemici. Gli ultimi {0} servitori e demoni evocati dai nemici resteranno memorizzati fino al lancio dell'Abilità speciale."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","This character has innate ability to Memorize any Minion or Fiend summoned by enemies' Special Skills. The latest {0} Minions and Fiends that enemies summon will stay memorized until the Special Skill is cast. (THIRD FORM)"
"herocard.passive_skill.description.memorizestatuseffects","Questo personaggio possiede l'abilità innata di Memorizzare i disturbi. L'ultimo disturbo lanciato su questo personaggio resterà memorizzato finché non sarà lanciata l'Abilità speciale. Solo i disturbi con una durata prestabilita possono essere memorizzati."
