"heroes.name_fancy.astral_cosmicspeaker","Astraalihaltia-astronomi"
"heroes.name_fancy.astral_moonflower","Astraalihaltiabotanisti"
"heroes.name_fancy.astral_sparklight","Astraalihaltiamestari"
"heroes.name_fancy.astral_starlass","Astraalihaltia-arbalisti"
"heroes.name_fancy.astral_starswift","Astraalihaltianuorukainen"
"heroes.name_fancy.astral_starwalker","Astraalihaltioiden kuningas"
"heroes.name_fancy.astral_voidstar","Astraalihaltiaritari"
"heroes.name_fancy.ballerina_armand","Skeptinen taiteiden tukija"
"heroes.name_fancy.ballerina_benno","Kuningashuoneen ystävä"
"heroes.name_fancy.ballerina_charlotta","Primadonna"
"heroes.name_fancy.ballerina_christine_daae","Oopperan laululintunen"
"heroes.name_fancy.ballerina_daroga","Jadesilmäinen herrasmies"
"heroes.name_fancy.ballerina_firmin","Mesenaattinousukas"
"heroes.name_fancy.ballerina_madame_giry","Tanssijoiden emäntä"
"heroes.name_fancy.ballerina_meg_giry","Tähtiballerina"
"heroes.name_fancy.ballerina_odette","Valkoinen joutsen"
"heroes.name_fancy.ballerina_odile","Musta joutsen"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Salaperäinen juonittelija"
"heroes.name_fancy.ballerina_prince_siegfried","Tuleva kuningas"
"heroes.name_fancy.ballerina_raul","Lemmenkipeä aatelismies"
"heroes.name_fancy.ballerina_swan_maiden","Yksi pikkujoutsenista"
"heroes.name_fancy.ballerina_uberta","Leskikuningatar"
"heroes.name_fancy.ballerina_von_rothbart","Pelätty taikuri"
"heroes.name_fancy.bard_astrid","Ylösnousemuksen bardi"
"heroes.name_fancy.bard_balafon","Henkien juhlien bardi"
"heroes.name_fancy.bard_belladonna","Yliluonnollisuuden bardi"
"heroes.name_fancy.bard_bhaltair","Yhden kääpiön yhtye"
"heroes.name_fancy.bard_bonzo","Omituisuuksien bardi"
"heroes.name_fancy.bard_celimene","Illuusioiden bardi"
"heroes.name_fancy.bard_darkbeat","Mosh pitin maestro"
"heroes.name_fancy.bard_dunnar_hart","Magmaattinen rumpali"
"heroes.name_fancy.bard_garyas","Ilon bardi"
"heroes.name_fancy.bard_lyria","Erityisen innokas instrumentalisti"
"heroes.name_fancy.bard_merith","Kiemurteleva viulisti"
"heroes.name_fancy.bard_narcisa","Loistokkuuden bardi"
"heroes.name_fancy.bard_ogima","Henkien bardi"
"heroes.name_fancy.bard_phenexa","Kuiskausten bardi"
"heroes.name_fancy.bard_rhys","Urheuden bardi"
"heroes.name_fancy.bard_winifred","Luomisen bardi"
"heroes.name_fancy.bard_zarel","Perimätiedon bardi"
"heroes.name_fancy.bard_zhabog","Kaunopuheisuuden bardi"
"heroes.name_fancy.beachparty_andy_jay","Aurinkorantojen juhlija"
"heroes.name_fancy.beachparty_brebarg","Hiekkalinnojen asiantuntija"
"heroes.name_fancy.beachparty_davey_wavey","Hai-alokas"
"heroes.name_fancy.beachparty_dillo","Litimärkä vyötiäinen"
"heroes.name_fancy.beachparty_dolrak","Erittäin ruskettunut kääpiö"
"heroes.name_fancy.beachparty_flip","Hengenpelastajahylje"
"heroes.name_fancy.beachparty_flip_costume_donut","Donitseja myyvä hylje"
"heroes.name_fancy.beachparty_itham","Uimaopettajahaltia"
"heroes.name_fancy.beachparty_mazoga","Vesitykkiörkki"
"heroes.name_fancy.beachparty_misty","Snorklaava tonttu"
"heroes.name_fancy.beachparty_mortimer","Surffaava pimeyden haltia"
"heroes.name_fancy.beachparty_serena","Rantojen julkimo"
"heroes.name_fancy.beachparty_zenukwa","Jäätelön ystävä"
"heroes.name_fancy.beauty_beast_cerissa","Lumotun linnan kiltti keiju"
"heroes.name_fancy.beauty_beast_chandel","Lumotun linnan valaisija"
"heroes.name_fancy.beauty_beast_dominique","Uskollinen suojelija"
"heroes.name_fancy.beauty_beast_ivete","Lumotun linnan mustasukkainen keiju"
"heroes.name_fancy.beauty_beast_jacquespierre","Kaunottaren isä, kuuluisa keksijä"
"heroes.name_fancy.beauty_beast_laurent","Lumotun linnan kivettynyt vartija"
"heroes.name_fancy.beauty_beast_lucas","Dominiquen pikkuveli"
"heroes.name_fancy.beauty_beast_pendulus_clonk","Lumotun linnan hätäilevä kello"
"heroes.name_fancy.beauty_beast_rose_de_flo","Lumotun linnan kukka"
"heroes.name_fancy.beauty_beast_seraphine","Kaunottaren ilkeä sisko"
"heroes.name_fancy.beauty_beast_the_beast","Lumotun linnan yksinäinen prinssi"
"heroes.name_fancy.beowulf_aeschere","Skjöldungien tietäjä"
"heroes.name_fancy.beowulf_beowulf","Gööttien miekka"
"heroes.name_fancy.beowulf_breca","Oiva kumppani"
"heroes.name_fancy.beowulf_ecgtheow","Hurja sotajohtaja"
"heroes.name_fancy.beowulf_freawaru","Rauhankutoja"
"heroes.name_fancy.beowulf_grendel","Miekkoja murtava hornanpeto"
"heroes.name_fancy.beowulf_grendels_mother","Kauhua levittävä vesinoita"
"heroes.name_fancy.beowulf_hrothgar","Simahallin mestari"
"heroes.name_fancy.beowulf_hygd","Gööttien kuningatar"
"heroes.name_fancy.beowulf_modthryth","Säälimätön kilpineito"
"heroes.name_fancy.beowulf_nithgaest","Beowulfin turma"
"heroes.name_fancy.beowulf_unferth","Hruntingin kantaja"
"heroes.name_fancy.beowulf_wealhtheow","Sormuksin koristeltu kuninkaallinen"
"heroes.name_fancy.beowulf_weland","Taitava seppä"
"heroes.name_fancy.beowulf_wiglaf","Weohstanin poika"
"heroes.name_fancy.blackguard_commander","Surun herttua"
"heroes.name_fancy.blackguard_commander_costume_cute","Sureva piirretty"
"heroes.name_fancy.blackguard_commander_costume_feather","Sureva herttua"
"heroes.name_fancy.blackguard_commander_costume_glass","Sureva lasimaalaus"
"heroes.name_fancy.blackguard_commander_costume_metal","Rockin herttua"
"heroes.name_fancy.blackguard_female_archer","Ponnisteleva jousiampuja"
"heroes.name_fancy.blackguard_female_captain","Päättäväinen valvoja"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Päättäväinen piirretty"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Päättäväinen lasimaalaus"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Jääräpäinen tarkkailija"
"heroes.name_fancy.blackguard_female_captain_costume_stylish","Tyylikäs vartija"
"heroes.name_fancy.blackguard_knight","Ylväs kavaljeeri"
"heroes.name_fancy.blackguard_knight_costume_cute","Piirretty kavaljeeri"
"heroes.name_fancy.blackguard_knight_costume_elegant","Tyylikäs aatelinen"
"heroes.name_fancy.blackguard_knight_costume_glass","Lasinen kavaljeeri"
"heroes.name_fancy.blackguard_knight_costume_healer","Jalo parantaja"
"heroes.name_fancy.blackguard_scout","Morgovialainen karkuri"
"heroes.name_fancy.blackguard_skulker","Häiriintynyt salamurhaaja"
"heroes.name_fancy.blackguard_skulker_costume_cute","Häiriintynyt piirretty"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Häiriintynyt kirurgi"
"heroes.name_fancy.blackguard_skulker_costume_glass","Lasinen salamurhaaja"
"heroes.name_fancy.castle_bear_armel","Arktisen alueen suurlähettiläs"
"heroes.name_fancy.castle_bear_bearnadette","Muotokuvamaalari"
"heroes.name_fancy.castle_bear_humbert","Ylämaiden puolustaja"
"heroes.name_fancy.castle_bear_koda","Luumumetsän ritari"
"heroes.name_fancy.castle_bear_teddy","Puhdassydäminen"
"heroes.name_fancy.castle_bear_torben","Ylämaiden herra"
"heroes.name_fancy.castle_bear_winnie","Karhujen haarniskaseppä"
"heroes.name_fancy.castle_bear_yona","Ylämaiden narri"
"heroes.name_fancy.castle_raven_aderyn","Linnan välskäri"
"heroes.name_fancy.castle_raven_eloise","Linnan lumoaja"
"heroes.name_fancy.castle_raven_franz","Linnan suojelija"
"heroes.name_fancy.castle_raven_lewena","Linnan tarkka-ampuja"
"heroes.name_fancy.castle_raven_quintin","Linnan vainoaja"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Korppien jääsaalistaja"
"heroes.name_fancy.castle_raven_rayne","Linnan kapteeni"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Korppien kapteeni"
"heroes.name_fancy.castle_raven_wren","Linnan tiedustelija"
"heroes.name_fancy.castle_stag_alvar","Tiennäyttäjä"
"heroes.name_fancy.castle_stag_cecilia","Iltahämärän siunaama"
"heroes.name_fancy.castle_stag_daemon","Näivetettyjen kostaja"
"heroes.name_fancy.castle_stag_fawn","Uskollinen aseenkantaja"
"heroes.name_fancy.castle_stag_lysanor","Safiiriunen näkijä"
"heroes.name_fancy.castle_stag_raleigh","Safiirimetsän oppinut"
"heroes.name_fancy.castle_stag_siofra","Valanpitäjä"
"heroes.name_fancy.castle_stag_xiamara","Safiirimetsän vartija"
"heroes.name_fancy.castle_wolf_bertulf","Linnan kokki"
"heroes.name_fancy.castle_wolf_esme","Linnan arkkimaagi"
"heroes.name_fancy.castle_wolf_ferant","Linnan metsänvartija"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Susien metsänvartija"
"heroes.name_fancy.castle_wolf_ludwig","Linnan puolustaja"
"heroes.name_fancy.castle_wolf_quenell","Linnan mestari"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Susien mestari"
"heroes.name_fancy.castle_wolf_wolfgang","Linnan komentaja"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Susien komentaja"
"heroes.name_fancy.champions_lazara","Baseball-mestari"
"heroes.name_fancy.champions_mistra","Kiekonheittomestari"
"heroes.name_fancy.champions_nogu","Keihäänheittomestari"
"heroes.name_fancy.champions_norman","Turnajaismestari"
"heroes.name_fancy.champions_ramona","Pässipuskumestari"
"heroes.name_fancy.champions_satori","Sumomestari"
"heroes.name_fancy.christmas_albin","Kaakaontuntija"
"heroes.name_fancy.christmas_augustus","Tonttujen vanhin"
"heroes.name_fancy.christmas_buster","Äreä puutarhatonttu"
"heroes.name_fancy.christmas_carol","Pukin pikku apuri"
"heroes.name_fancy.christmas_cookie","Tutkijatonttu"
"heroes.name_fancy.christmas_dizzy","Viihdyttäjätonttu"
"heroes.name_fancy.christmas_elf","Pukin pikku apuri"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Pukin kirjanpitäjä"
"heroes.name_fancy.christmas_florencia","Lumen vartija"
"heroes.name_fancy.christmas_frosty","Pohjoisen vahti"
"heroes.name_fancy.christmas_ginger","Tutkimusmatkailijatonttu"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Lahjamestaritonttu"
"heroes.name_fancy.christmas_holly","Keittiömestaritonttu"
"heroes.name_fancy.christmas_jolly","Metsuritonttu"
"heroes.name_fancy.christmas_krampus","Joulumörkö"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Jouluinen keppostelija"
"heroes.name_fancy.christmas_mr_pengi","Pukin kaartin kapteeni"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Lumilautajoukkueen kapteeni"
"heroes.name_fancy.christmas_mrs_claus","Pohjoisen keittiömestari"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Joulupaitojen harrastaja"
"heroes.name_fancy.christmas_noel","Iloinen rekipoika"
"heroes.name_fancy.christmas_ottilia","Koristelijatonttu"
"heroes.name_fancy.christmas_peppermint","Alkemistitonttu"
"heroes.name_fancy.christmas_reindeer","Pukin uskollinen ratsu"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Pukin jalo ratsu"
"heroes.name_fancy.christmas_santa","Lahjojen tuoja"
"heroes.name_fancy.christmas_santa_costume_metal","Rouhea rokkipukki"
"heroes.name_fancy.christmas_tinsel","Nikkaritonttu"
"heroes.name_fancy.christmas_zappa","Tonttuvelho"
"heroes.name_fancy.circus_bobo","Lämminsydäminen jeti"
"heroes.name_fancy.circus_candy","Riehakas ilopilleri"
"heroes.name_fancy.circus_dandre","Varmaotteinen jonglööri"
"heroes.name_fancy.circus_director_zuri","Sirkuksen johtaja"
"heroes.name_fancy.circus_director_zuri_costume_clown","Klovnien mestari"
"heroes.name_fancy.circus_eichbelborg","Uhoava kehonrakentaja"
"heroes.name_fancy.circus_eiora_and_fluffy","Dynaaminen duo"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Synkkä kaksikko"
"heroes.name_fancy.circus_emilio","Suuri feeniksinkesyttäjä"
"heroes.name_fancy.circus_emilio_costume_frog","Suuri sammakonkesyttäjä"
"heroes.name_fancy.circus_faline","Ällistyttävä akrobaatti"
"heroes.name_fancy.circus_marcel","Mitä mainioin miimikko"
"heroes.name_fancy.circus_theobald","Veitsiä heittävä ihmekarhu"
"heroes.name_fancy.circus_whacker","Hassunhauska läpsyttelijä"
"heroes.name_fancy.construct_arzen","Häijy valvoja-rakennelma"
"heroes.name_fancy.construct_blue_mage","Tähtimaagi-rakennelma"
"heroes.name_fancy.construct_bonechill","Pakkas-rakennelma"
"heroes.name_fancy.construct_brimstone","Helvetillinen rakennelma"
"heroes.name_fancy.construct_carta","Kartoittaja-rakennelma"
"heroes.name_fancy.construct_dancrag","Muinainen kolossi-rakennelma"
"heroes.name_fancy.construct_ferrus","Merirosvo-rakennelma"
"heroes.name_fancy.construct_frond","Haltia-rakennelma"
"heroes.name_fancy.construct_glacivolt","Jäinen valvoja-rakennelma"
"heroes.name_fancy.construct_gwynn","Energiavirta-rakennelma"
"heroes.name_fancy.construct_halwinter","Raskaasti panssaroitu rakennelma"
"heroes.name_fancy.construct_haulstone","Kantaja-rakennelma"
"heroes.name_fancy.construct_hornfel","Minotauros-rakennelma"
"heroes.name_fancy.construct_hotspin","Liekkisykloni-rakennelma"
"heroes.name_fancy.construct_ironheart","Pyhä vartija-rakennelma"
"heroes.name_fancy.construct_ironvein","Pyhä aseenkantaja-rakennelma"
"heroes.name_fancy.construct_japanese_doll","Posliininukke-rakennelma"
"heroes.name_fancy.construct_nautica","Navigaattori-rakennelma"
"heroes.name_fancy.construct_nocturne","Tyhjiötankki-rakennelma"
"heroes.name_fancy.construct_rhineglow","Superkondensaattori-rakennelma"
"heroes.name_fancy.construct_rustbeak","Pöllö-rakennelma"
"heroes.name_fancy.construct_scoria","Ikitulirakennelma"
"heroes.name_fancy.construct_shaal","Pappi-rakennelma"
"heroes.name_fancy.construct_shacklebolt","Vanki-rakennelma"
"heroes.name_fancy.construct_sizzleomatic","Innokas kokki-rakennelma"
"heroes.name_fancy.construct_skarn","Halla-rakennelma"
"heroes.name_fancy.construct_sylosis","Taistelulaji-rakennelma"
"heroes.name_fancy.construct_tenebrae","Pimeyden prinsessa -rakennelma"
"heroes.name_fancy.construct_zavok","Kaaosmaagi-rakennelma"
"heroes.name_fancy.cultist_female_poisoner","Kapinallinen konna"
"heroes.name_fancy.cultist_inventor","Hullu tieteilijä"
"heroes.name_fancy.cultist_inventor_costume_cute","Piirretty tieteilijä"
"heroes.name_fancy.cultist_inventor_costume_glass","Lasinen tieteilijä"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Rakkauden lääkäri"
"heroes.name_fancy.cultist_inventor_costume_steam","Sähkötieteilijä"
"heroes.name_fancy.cultist_mage","Kauhun taikuri"
"heroes.name_fancy.cultist_mage_costume_cute","Piirretty taikuri"
"heroes.name_fancy.cultist_mage_costume_glass","Lasinen taikuri"
"heroes.name_fancy.cultist_mage_costume_stylish","Tyylikäs taikuri"
"heroes.name_fancy.cultist_mage_costume_voodoo","Epäkuollut taikuri"
"heroes.name_fancy.cultist_sorceress","Descenthian pyöveli"
"heroes.name_fancy.cultist_sorceress_costume_cute","Piirretty pyöveli"
"heroes.name_fancy.cultist_sorceress_costume_glass","Descenthian lasimaalaus"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Descenthian hirviö"
"heroes.name_fancy.cultist_sorceress_costume_snake","Descenthian käärme"
"heroes.name_fancy.cultist_sorceress_costume_stylish","Tyylikäs pyöveli"
"heroes.name_fancy.cultist_thief","Suurten suunnitelmien rosvo"
"heroes.name_fancy.dark_god_aeron","Järkkymätön tuomari"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Peruukkipäinen tuomari"
"heroes.name_fancy.dark_god_akilius","Juonikas ryöstelijä"
"heroes.name_fancy.dark_god_anoushka","Erakkomainen näkijätär"
"heroes.name_fancy.dark_god_arfanias","Varjotappaja"
"heroes.name_fancy.dark_god_chakkoszrot","Liskokansan ylipappi"
"heroes.name_fancy.dark_god_clarissa","Röyhkeä kanavoija"
"heroes.name_fancy.dark_god_cordelia","Kirousten kuningatar"
"heroes.name_fancy.dark_god_eldwren","Parven isä"
"heroes.name_fancy.dark_god_grimble","Pukilla ratsastava kääpiö"
"heroes.name_fancy.dark_god_hel","Pimeyden pyhimys"
"heroes.name_fancy.dark_god_hel_costume_cute","Piirretty pimeyden pyhimys"
"heroes.name_fancy.dark_god_hel_costume_omen","Pimeyden enne"
"heroes.name_fancy.dark_god_kunchen","Mystinen kulkuri"
"heroes.name_fancy.dark_god_malicna","Häijy lehtori"
"heroes.name_fancy.dark_god_morax","Manalan kauhu"
"heroes.name_fancy.dark_god_september","Kangastusten salamurhaaja"
"heroes.name_fancy.dark_god_september_costume_engineer","Kangastusten rakentaja"
"heroes.name_fancy.dark_god_seshat","Epäkuollut metsästäjätär"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Kostonhimoinen jousiampuja"
"heroes.name_fancy.dark_god_sir_casmir","Kulkureiden suojelija"
"heroes.name_fancy.dark_god_turgruk","Säälimätön jäljittäjä"
"heroes.name_fancy.dark_god_uthragan","Toksinen kammotus"
"heroes.name_fancy.dark_god_viscaro","Korruptoitunut druidi"
"heroes.name_fancy.dark_god_zed","Keisarillinen peitsimies"
"heroes.name_fancy.dark_god_zulag","Uljas"
"heroes.name_fancy.dwarven_guard","Järeä puolustaja"
"heroes.name_fancy.dwarven_guard_costume_cute","Piirretty puolustaja"
"heroes.name_fancy.dwarven_guard_costume_glass","Lasinen puolustaja"
"heroes.name_fancy.dwarven_guard_costume_ram","Raskaan sarjan puolustaja"
"heroes.name_fancy.dwarven_guard_costume_tavern","Tavernan puolustaja"
"heroes.name_fancy.dwarven_scout","Veteraanitaistelija"
"heroes.name_fancy.dwarven_smasher","Kiivasverinen"
"heroes.name_fancy.dwarven_smasher_costume_cute","Kiivasverinen piirretty"
"heroes.name_fancy.dwarven_smasher_costume_glass","Kiivasverinen lasimaalaus"
"heroes.name_fancy.dwarven_smasher_costume_smith","Kuumaverinen"
"heroes.name_fancy.dwarwen_brewmaster","Panimomestari"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Piirretty oluenpanija"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Oluenpanija-lasimaalaus"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Silpojamestari"
"heroes.name_fancy.dwarwen_brewmaster_costume_stylish","Tyylikäs maistaja"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Veistäjämestari"
"heroes.name_fancy.easter_archie","Kiertävä laamatrubaduuri"
"heroes.name_fancy.easter_archie_costume_gallant","Uljas laamatrubaduuri"
"heroes.name_fancy.easter_chick_jr","Kevätlaakson aseenkantaja"
"heroes.name_fancy.easter_duke_whitley","Kevätlaakson suurmaagi"
"heroes.name_fancy.easter_jasper","Kukkakauppiashärkä"
"heroes.name_fancy.easter_jasper_costume_fisherman","Kalastajahärkä"
"heroes.name_fancy.easter_killhare","Kevätlaakson armoton suojelija"
"heroes.name_fancy.easter_killhare_costume_farmer","Ultimaattinen farmari"
"heroes.name_fancy.easter_lady_woolerton","Kevätlaakson parantaja"
"heroes.name_fancy.easter_lady_woolerton_costume_coiffeuse","Kevätlaakson parturi"
"heroes.name_fancy.easter_marko","Kevätlaakson kulkija"
"heroes.name_fancy.easter_miss_ethel","Kevätlaakson puolustaja"
"heroes.name_fancy.easter_sadie","Sutki sorsa"
"heroes.name_fancy.easter_sir_roostley","Mahtava Kevätlaakson ritari"
"heroes.name_fancy.easter_sir_roostley_costume_alchemist","Mahtava Kevätlaakson alkemisti"
"heroes.name_fancy.easter_timothy","Reipas possu"
"heroes.name_fancy.easter_viscount_cluckwood","Kevätlaakson okkultisti"
"heroes.name_fancy.elemental_aconia","Kybervaeltaja"
"heroes.name_fancy.elemental_aconia_costume_courier","Kyberkuriiri"
"heroes.name_fancy.elemental_alfie","Elementaalinarri"
"heroes.name_fancy.elemental_anzia","Galaktinen pelastaja"
"heroes.name_fancy.elemental_anzia_costume_jailer","Galaktinen vanginvartija"
"heroes.name_fancy.elemental_ash","Hurja palkkionmetsästäjä"
"heroes.name_fancy.elemental_ash_costume_savage","Julma palkkionmetsästäjä"
"heroes.name_fancy.elemental_craum","Elementaalisamaani"
"heroes.name_fancy.elemental_craum_costume_occultist","Elementaaliokkultisti"
"heroes.name_fancy.elemental_desmond","Miekka-alkemisti"
"heroes.name_fancy.elemental_desmond_costume_assassin","Miekkamurhaaja"
"heroes.name_fancy.elemental_doxan","Karkotettu plasmamiekkailija"
"heroes.name_fancy.elemental_doxan_costume_hacker","Karkotettu plasmahakkeri"
"heroes.name_fancy.elemental_farrah","Ääntäkin nopeampi miekkamestari"
"heroes.name_fancy.elemental_farrah_costume_cyber","Kybermiekkamestari"
"heroes.name_fancy.elemental_gastille","Ulottuvuuksien välinen vaara"
"heroes.name_fancy.elemental_gastille_costume_sporty","Urheilullinen vaara"
"heroes.name_fancy.elemental_griffex","Todellisuuden muovaaja"
"heroes.name_fancy.elemental_griffex_costume_camera","Pimeyden muokkaaja"
"heroes.name_fancy.elemental_grilka","Vieraanvarainen majoitusmestari"
"heroes.name_fancy.elemental_grilka_costume_treasure","Arvostettu majoitusmestari"
"heroes.name_fancy.elemental_ignazio","Liekkimestari"
"heroes.name_fancy.elemental_ignazio_costume_medic","Liekkikirurgi"
"heroes.name_fancy.elemental_ironmaw","Vankkumattomien örkkien sotaherra"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Legioonan sotaherra"
"heroes.name_fancy.elemental_jequn","Kosminen arvoitus"
"heroes.name_fancy.elemental_jequn_costume_gilded","Kullattu arvoitus"
"heroes.name_fancy.elemental_jolt","Sähköinen navigaattori"
"heroes.name_fancy.elemental_jolt_costume_mythic","Myyttinen navigaattori"
"heroes.name_fancy.elemental_lexi","Elementaalienergian muovaaja"
"heroes.name_fancy.elemental_linus","Huoleton vanki"
"heroes.name_fancy.elemental_niki","Pimeän meren viikatemestari"
"heroes.name_fancy.elemental_niki_costume_music","Musiikin viikatemestari"
"heroes.name_fancy.elemental_nova","Tulihenkien keräilijä"
"heroes.name_fancy.elemental_nylora","Kylmäverinen salamurhaaja"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Koristautunut salamurhaaja"
"heroes.name_fancy.elemental_quinn","Kosminen kokki"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Kosminen alkemisti"
"heroes.name_fancy.elemental_roz","Luontainen tarkka-ampuja"
"heroes.name_fancy.elemental_roz_costume_disco","Diskoileva tarkka-ampuja"
"heroes.name_fancy.elemental_vander","Kyborgikapteeni"
"heroes.name_fancy.elemental_vander_costume_clown","Klovnikapteeni"
"heroes.name_fancy.elemental_xandrella","Elementaaliluomusten mestari"
"heroes.name_fancy.elemental_xandrella_costume_idol","Elementaaliluomusten idoli"
"heroes.name_fancy.elemental_xavier","Kahden miekan käyttäjä"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Kahta miekkaa käyttävä niveljalkainen"
"heroes.name_fancy.elemental_zandria","Avaruusajan suojelija"
"heroes.name_fancy.elemental_zandria_costume_planet","Galaksien suojelija"
"heroes.name_fancy.elemental_zaria","Kolmesilmäinen meedio"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Kolmisilmäinen lumoaja"
"heroes.name_fancy.elemental_zengar","Universaalinen peto"
"heroes.name_fancy.elemental_zengar_costume_farmer","Kasvattava peto"
"heroes.name_fancy.elemental_zione","Mekanisoitu pikalähetti"
"heroes.name_fancy.elemental_zuni","Leijulautaileva haltia"
"heroes.name_fancy.elemental_zuni_costume_mage","Leijulautaileva maagi"
"heroes.name_fancy.elven_archer","Jalo sydän"
"heroes.name_fancy.elven_archer_costume_cute","Jalosyntyinen piirretty"
"heroes.name_fancy.elven_archer_costume_glass","Jalosyntyinen lasimaalaus"
"heroes.name_fancy.elven_archer_costume_moon","Jalo vartija"
"heroes.name_fancy.elven_archer_costume_raven","Jalo korppi"
"heroes.name_fancy.elven_archer_costume_stylish","Tyylikäs jousiampuja"
"heroes.name_fancy.elven_captain","Veteraanihaltija"
"heroes.name_fancy.elven_captain_costume_cavalier","Haltiakavaljeeri"
"heroes.name_fancy.elven_captain_costume_cute","Piirretty haltia"
"heroes.name_fancy.elven_captain_costume_glass","Haltioiden lasimaalaus"
"heroes.name_fancy.elven_captain_costume_mask","Kostajahaltia"
"heroes.name_fancy.elven_captain_costume_stylish","Tyylikäs haltia"
"heroes.name_fancy.exalted_female_statue","Kivinen muinainen"
"heroes.name_fancy.exalted_female_statue_costume_cute","Kivinen piirretty"
"heroes.name_fancy.exalted_female_statue_costume_glass","Kivinen lasimaalaus"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Auringon muinainen"
