"heroes.name_fancy.astral_cosmicspeaker","Astronome des elfes astraux"
"heroes.name_fancy.circus_director_zuri_costume_clown","Maîtresse des clowns"
"heroes.name_fancy.circus_eichbelborg","Culturiste vantard"
"heroes.name_fancy.circus_eiora_and_fluffy","Duo dynamique"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Duo ténébreux"
"heroes.name_fancy.circus_emilio","Grand dompteur de phénix"
"heroes.name_fancy.circus_emilio_costume_frog","Grand dompteur de grenouilles"
"heroes.name_fancy.circus_faline","Acrobate extraordinaire"
"heroes.name_fancy.circus_marcel","Mime espiègle"
"heroes.name_fancy.circus_theobald","Ours lanceur de couteaux"
"heroes.name_fancy.circus_whacker","Frappeur déjanté"
"heroes.name_fancy.construct_arzen","Golem observateur vicieux"
"heroes.name_fancy.construct_blue_mage","Golem magique stellaire"
"heroes.name_fancy.construct_bonechill","Golem glacial"
"heroes.name_fancy.construct_brimstone","Golem infernal"
"heroes.name_fancy.construct_carta","Golem cartographe"
"heroes.name_fancy.construct_dancrag","Golem colossal ancien"
"heroes.name_fancy.construct_ferrus","Golem pirate"
"heroes.name_fancy.construct_frond","Golem elfique"
"heroes.name_fancy.construct_glacivolt","Golem observateur glacial"
"heroes.name_fancy.construct_gwynn","Golem énergétique"
"heroes.name_fancy.construct_halwinter","Golem à blindage lourd"
"heroes.name_fancy.construct_haulstone","Golem transporteur"
"heroes.name_fancy.construct_hornfel","Golem minotaure"
"heroes.name_fancy.construct_hotspin","Golem cyclone de flammes"
"heroes.name_fancy.construct_ironheart","Golem gardien sacré"
"heroes.name_fancy.construct_ironvein","Golem écuyer sacré"
"heroes.name_fancy.construct_japanese_doll","Golem poupée de porcelaine"
"heroes.name_fancy.construct_nautica","Golem navigateur"
"heroes.name_fancy.construct_nocturne","Golem du vide"
"heroes.name_fancy.construct_rhineglow","Golem supercondensateur"
"heroes.name_fancy.construct_rustbeak","Golem hibou"
"heroes.name_fancy.construct_scoria","Golem embrasé"
"heroes.name_fancy.construct_shaal","Golem ecclésiastique"
"heroes.name_fancy.construct_shacklebolt","Golem emprisonné"
"heroes.name_fancy.construct_sizzleomatic","Golem chef enthousiaste"
"heroes.name_fancy.construct_skarn","Golem givré"
"heroes.name_fancy.construct_sylosis","Golem expert des arts martiaux"
"heroes.name_fancy.construct_tenebrae","Golem princesse sombre"
"heroes.name_fancy.construct_zavok","Golem mage chaotique"
"heroes.name_fancy.cultist_female_poisoner","Empoisonneuse"
"heroes.name_fancy.cultist_inventor","Savant fou"
"heroes.name_fancy.cultist_inventor_costume_cute","Scientifique cartoon"
"heroes.name_fancy.cultist_inventor_costume_glass","Scientifique de verre"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Docteur de l'amour"
"heroes.name_fancy.cultist_inventor_costume_steam","Scientifique électrique"
"heroes.name_fancy.cultist_mage","Magicien redoutable"
"heroes.name_fancy.cultist_mage_costume_cute","Magicien cartoon"
"heroes.name_fancy.cultist_mage_costume_glass","Mage de verre"
"heroes.name_fancy.cultist_mage_costume_voodoo","Magicien mort-vivant"
"heroes.name_fancy.cultist_sorceress","Exécutrice de Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_cute","Bourreau cartoon"
"heroes.name_fancy.cultist_sorceress_costume_glass","Vitrail de Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Monstresse de Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_snake","Serpent de Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_stylish","Bourrelle élégante"
"heroes.name_fancy.cultist_thief","Voleur avec de grands projets"
"heroes.name_fancy.dark_god_aeron","Juge inébranlable"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Juge Periwig"
"heroes.name_fancy.dark_god_akilius","Destructeur sournois"
"heroes.name_fancy.dark_god_anoushka","Voyante recluse"
"heroes.name_fancy.dark_god_arfanias","Assassin des ombres"
"heroes.name_fancy.dark_god_chakkoszrot","Grand prêtre lézardin"
"heroes.name_fancy.dark_god_clarissa","Spirite impétueuse"
"heroes.name_fancy.dark_god_eldwren","Père du troupeau"
"heroes.name_fancy.dark_god_grimble","Le Gnome à dos de chèvre"
"heroes.name_fancy.dark_god_hel","Céleste des ténèbres"
"heroes.name_fancy.dark_god_hel_costume_cute","Toon céleste des ténèbres"
"heroes.name_fancy.dark_god_hel_costume_omen","Augure des ténèbres"
"heroes.name_fancy.dark_god_kunchen","Vagabond mystique"
"heroes.name_fancy.dark_god_malicna","Lector le Vil"
"heroes.name_fancy.dark_god_morax","Fléau de l'Outre-monde"
"heroes.name_fancy.dark_god_september","Assassin mirage"
"heroes.name_fancy.dark_god_september_costume_engineer","Ingénieure des mirages"
"heroes.name_fancy.dark_god_seshat","Chasseresse réanimée"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Archer haut-revenant"
"heroes.name_fancy.dark_god_sir_casmir","Gardien vagabond"
"heroes.name_fancy.dark_god_turgruk","Poursuivante perfide"
"heroes.name_fancy.dark_god_uthragan","Abomination toxique"
"heroes.name_fancy.dark_god_viscaro","Druide corrompu"
"heroes.name_fancy.dark_god_zed","Lancier impérial"
"heroes.name_fancy.dark_god_zulag","Le Preux"
"heroes.name_fancy.dwarven_guard","Défenseur robuste"
"heroes.name_fancy.dwarven_guard_costume_cute","Défenseur cartoon"
"heroes.name_fancy.dwarven_guard_costume_glass","Défenseur de verre"
"heroes.name_fancy.dwarven_guard_costume_ram","Défenseur poids lourd"
"heroes.name_fancy.dwarven_guard_costume_tavern","Défenseur de la taverne"
"heroes.name_fancy.dwarven_scout","Combattant vétéran"
"heroes.name_fancy.dwarven_smasher","Sang-Chaud"
"heroes.name_fancy.dwarven_smasher_costume_cute","Toon à sang chaud"
"heroes.name_fancy.dwarven_smasher_costume_glass","Vitrail à sang chaud"
"heroes.name_fancy.dwarven_smasher_costume_smith","Tête brûlée"
"heroes.name_fancy.dwarwen_brewmaster","Maître brasseur"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Brasseur cartoonesque"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Vitrail brasseur"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Maître broyeur"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Maître sculpteur"
"heroes.name_fancy.easter_archie","Lama troubadour"
"heroes.name_fancy.easter_archie_costume_gallant","Lama troubadour"
"heroes.name_fancy.easter_chick_jr","Écuyer du Vallon d'Or"
"heroes.name_fancy.easter_jasper","Taureau fleuriste"
"heroes.name_fancy.easter_jasper_costume_fisherman","Taureau pêcheur"
"heroes.name_fancy.easter_killhare","Protectrice sauvage du Vallon d'Or"
"heroes.name_fancy.easter_killhare_costume_farmer","Fermière ultime"
"heroes.name_fancy.easter_lady_woolerton","Réparatrice du Vallon d'Or"
"heroes.name_fancy.easter_miss_ethel","Protectrice du Vallon d'Or"
"heroes.name_fancy.easter_sadie","Cane sournoise"
"heroes.name_fancy.easter_sir_roostley","Chevalier puissant du Vallon d'Or"
"heroes.name_fancy.easter_timothy","Porcelet courageux"
"heroes.name_fancy.easter_viscount_cluckwood","Occultiste du Vallon d'Or"
"heroes.name_fancy.elemental_aconia","Cyber rebelle"
"heroes.name_fancy.elemental_aconia_costume_courier","Cyber-messagère"
"heroes.name_fancy.elemental_alfie","Bouffon élémentaire"
"heroes.name_fancy.elemental_anzia","Sauveuse galactique"
"heroes.name_fancy.elemental_anzia_costume_jailer","Geôlière galactique"
"heroes.name_fancy.elemental_ash","Chasseuse de primes féroce"
"heroes.name_fancy.elemental_ash_costume_savage","Chasseuse de primes sauvage"
"heroes.name_fancy.elemental_craum","Chaman élémentaire"
"heroes.name_fancy.elemental_craum_costume_occultist","Occultiste élémentaire"
"heroes.name_fancy.elemental_desmond","Alchimiste épéiste"
"heroes.name_fancy.elemental_desmond_costume_assassin","Assassin à la lame"
"heroes.name_fancy.elemental_doxan","Lame de plasma exilée"
"heroes.name_fancy.elemental_doxan_costume_hacker","Hacker de plasma exilé"
"heroes.name_fancy.elemental_farrah","Maîtresse de la lame supersonique"
"heroes.name_fancy.elemental_farrah_costume_cyber","Maîtresse de la cyberlame"
"heroes.name_fancy.elemental_gastille","Danger multidimensionnel"
"heroes.name_fancy.elemental_gastille_costume_sporty","Danger sportif"
"heroes.name_fancy.elemental_griffex","Changeur de réalité"
"heroes.name_fancy.elemental_griffex_costume_camera","Modificateur obscur"
"heroes.name_fancy.elemental_grilka","Quartier-maître accueillant"
"heroes.name_fancy.elemental_grilka_costume_treasure","Quartier-maître au trésor"
"heroes.name_fancy.elemental_ignazio","Maître des flammes"
"heroes.name_fancy.elemental_ignazio_costume_medic","Chirurgien des flammes"
"heroes.name_fancy.elemental_ironmaw","Seigneur des orcs impitoyables"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Seigneur de la légion"
"heroes.name_fancy.elemental_jequn","Énigme cosmique"
"heroes.name_fancy.elemental_jequn_costume_gilded","Énigme dorée"
"heroes.name_fancy.elemental_jolt","Navigatrice électrique"
"heroes.name_fancy.elemental_jolt_costume_mythic","Navigatrice mythique"
"heroes.name_fancy.elemental_lexi","Artisane de l'énergie élémentaire"
"heroes.name_fancy.elemental_linus","Prisonnier insouciant"
"heroes.name_fancy.elemental_niki","Maîtresse Faucheuse de la Mer Noire"
"heroes.name_fancy.elemental_niki_costume_music","Maîtresse Faucheuse musicale"
"heroes.name_fancy.elemental_nova","Collectionneuse d'esprits de feu"
"heroes.name_fancy.elemental_nylora","Assassine glaciale"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Assassine aux pierres précieuses"
"heroes.name_fancy.elemental_quinn","Chef cosmique"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Alchimiste cosmique"
"heroes.name_fancy.elemental_roz","Tireuse d'élite naturelle"
"heroes.name_fancy.elemental_roz_costume_disco","Tireuse d'élite disco"
"heroes.name_fancy.elemental_vander","Capitaine cyborg"
"heroes.name_fancy.elemental_vander_costume_clown","Capitaine clown"
"heroes.name_fancy.elemental_xandrella","Maîtresse des créations élémentaires"
"heroes.name_fancy.elemental_xandrella_costume_idol","Idole des créations élémentaires"
"heroes.name_fancy.elemental_xavier","Spécialiste des doubles lames"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Arthropode à deux lames"
"heroes.name_fancy.elemental_zandria","Défenderesse de l'espace-temps"
"heroes.name_fancy.elemental_zandria_costume_planet","Défenseuse des galaxies"
"heroes.name_fancy.elemental_zaria","Médium à trois yeux"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Enchanteur à trois yeux"
"heroes.name_fancy.elemental_zengar","Bête universelle"
"heroes.name_fancy.elemental_zengar_costume_farmer","Bête cultivatrice"
"heroes.name_fancy.elemental_zione","Livreuse mécanique"
"heroes.name_fancy.elemental_zuni","Elfe à hoverboard"
"heroes.name_fancy.elemental_zuni_costume_mage","Mage à hoverboard"
"heroes.name_fancy.elven_archer","Le cœur noble"
"heroes.name_fancy.elven_archer_costume_cute","Cartoon noble"
"heroes.name_fancy.elven_archer_costume_glass","Vitrail noble"
"heroes.name_fancy.elven_archer_costume_moon","La noble gardienne"
"heroes.name_fancy.elven_archer_costume_raven","Noble corbeau"
"heroes.name_fancy.elven_captain","Vétéran elfique"
"heroes.name_fancy.elven_captain_costume_cavalier","Cavalier elfe"
"heroes.name_fancy.elven_captain_costume_cute","Elfe cartoon"
"heroes.name_fancy.elven_captain_costume_glass","Vitrail elfique"
"heroes.name_fancy.elven_captain_costume_mask","Vengeur elfique"
"heroes.name_fancy.elven_captain_costume_stylish","Elfe élégant"
"heroes.name_fancy.exalted_female_statue","Ancienne de pierre"
"heroes.name_fancy.exalted_female_statue_costume_cute","Toon de pierre"
"heroes.name_fancy.exalted_female_statue_costume_glass","Vitrail de pierre"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Ancien du soleil"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Ancienne épineuse"
"heroes.name_fancy.exalted_warrior","Ancien de glace"
"heroes.name_fancy.exalted_warrior_costume_cute","Cartoon de glace"
"heroes.name_fancy.exalted_warrior_costume_glass","Vitrail de glace"
"heroes.name_fancy.exalted_warrior_costume_ice","Monolithe de glace"
"heroes.name_fancy.exalted_warrior_costume_underworld","Ancien de l'Outre-monde"
"heroes.name_fancy.fables_boss_wolf","Gouverneur de Grimbois"
"heroes.name_fancy.fables_cinderella","Servante de Grimbois"
"heroes.name_fancy.fables_frog_prince","Héritier au trône"
"heroes.name_fancy.fables_gnomer","Sentinelle de Grimbois"
"heroes.name_fancy.fables_gretel","Égorgeur de sorcières de Grimbois"
"heroes.name_fancy.fables_hansel","Chasseur de sorcières de Grimbois"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Chasseur de vampires de Grimbois"
"heroes.name_fancy.fables_pixie","Farfadet de Grimbois"
"heroes.name_fancy.fables_puss_in_boots","Chat de Grimbois"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Bandit félin"
"heroes.name_fancy.fables_red_hood","Protecteur de Grimbois"
"heroes.name_fancy.fables_rumpelstiltskin","Bouffon de Grimbois"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Bluffeur éternel"
"heroes.name_fancy.fables_snow_white","Princesse de Grimbois"
"heroes.name_fancy.fables_snow_white_costume_slayer","Belle au bois tranchant"
"heroes.name_fancy.faun_araminta","Guerrière faune terrifiante"
"heroes.name_fancy.faun_ascian","Augure faune omniscient"
"heroes.name_fancy.faun_bramble","Jardinier faune tendre"
"heroes.name_fancy.faun_gideon","Brave commandant des faunes"
"heroes.name_fancy.faun_isidore","Champion faune charismatique"
"heroes.name_fancy.faun_jolyon","Bricoleur faune attentionné"
"heroes.name_fancy.faun_maud","Alchimiste faune ambitieuse"
"heroes.name_fancy.faun_myrtle","Herboriste faune nerveuse"
"heroes.name_fancy.faun_peregrine","Éclaireur téméraire des faunes"
"heroes.name_fancy.faun_philomena","Ménestrelle faune envoûtante"
"heroes.name_fancy.faun_saskia","Danseuse faune agile"
"heroes.name_fancy.faun_tamlin","Flûtiste faune troublant"
"heroes.name_fancy.faun_verity","Marchande faune mystérieuse"
"heroes.name_fancy.faun_yolanda","Voyante faune optimiste"
"heroes.name_fancy.faun_ysabel","Gladiatrice faune intrépide"
"heroes.name_fancy.fire_god_andre","Templier trahi"
"heroes.name_fancy.fire_god_anzogh","Chaman rancunier"
"heroes.name_fancy.fire_god_ares","Divinité de la guerre"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Maîtresses de clés guerrière"
"heroes.name_fancy.fire_god_doom","Druide ensanglanté"
"heroes.name_fancy.fire_god_doom_costume_avenger","Vengeresse ardente"
"heroes.name_fancy.fire_god_eliane","Mage rouge expérimenté"
"heroes.name_fancy.fire_god_jean_francois","Mage mousquetaire"
