"heroes.name.astral_cosmicspeaker","Cosmicspeaker"
"heroes.name.blackguard_knight","Rigard"
"heroes.name.blackguard_scout","Julius"
"heroes.name.blackguard_skulker","Renfeld"
"heroes.name.castle_bear_armel","Armel"
"heroes.name.castle_bear_bearnadette","Bearnadette"
"heroes.name.castle_bear_humbert","Humbert"
"heroes.name.castle_bear_koda","Koda"
"heroes.name.castle_bear_teddy","Teddy"
"heroes.name.castle_bear_torben","Torben"
"heroes.name.castle_bear_winnie","Winnie"
"heroes.name.castle_bear_yona","Yona"
"heroes.name.castle_raven_aderyn","Aderyn"
"heroes.name.castle_raven_eloise","Eloise"
"heroes.name.castle_raven_franz","Franz"
"heroes.name.castle_raven_lewena","Lewena"
"heroes.name.castle_raven_quintin","Quintin"
"heroes.name.castle_raven_rayne","Rayne"
"heroes.name.castle_raven_wren","Wren"
"heroes.name.castle_stag_alvar","Alvar"
"heroes.name.castle_stag_cecilia","Cecilia"
"heroes.name.castle_stag_daemon","Daemon"
"heroes.name.castle_stag_fawn","Fawn"
"heroes.name.castle_stag_lysanor","Lysanor"
"heroes.name.castle_stag_raleigh","Raleigh"
"heroes.name.castle_stag_siofra","Siofra"
"heroes.name.castle_stag_xiamara","Xiamara"
"heroes.name.castle_wolf_bertulf","Bertulf"
"heroes.name.castle_wolf_esme","Esme"
"heroes.name.castle_wolf_ferant","Ferant"
"heroes.name.castle_wolf_ludwig","Ludwig"
"heroes.name.castle_wolf_quenell","Quenell"
"heroes.name.castle_wolf_wolfgang","Wolfgang"
"heroes.name.champions_lazara","Lazara"
"heroes.name.champions_mistra","Mistra"
"heroes.name.champions_nogu","Nogu"
"heroes.name.champions_norman","Norman"
"heroes.name.champions_ramona","Ramona"
"heroes.name.champions_satori","Satori"
"heroes.name.christmas_albin","Albin"
"heroes.name.christmas_augustus","Augustus"
"heroes.name.christmas_buster","Buster"
"heroes.name.christmas_carol","Carola"
"heroes.name.christmas_cookie","Cookie"
"heroes.name.christmas_dizzy","Dizzy"
"heroes.name.christmas_elf","Buddy"
"heroes.name.christmas_florencia","Florencia"
"heroes.name.christmas_frosty","Frosty"
"heroes.name.christmas_ginger","Ginger"
"heroes.name.christmas_holly","Holly"
"heroes.name.christmas_jolly","Jolly"
"heroes.name.christmas_krampus","Krampus"
"heroes.name.christmas_mr_pengi","Meneer Pengi"
"heroes.name.christmas_mrs_claus","Moeder van het Noorden"
"heroes.name.christmas_noel","Noel"
"heroes.name.christmas_ottilia","Ottilia"
"heroes.name.christmas_peppermint","Peppermint"
"heroes.name.christmas_reindeer","Rudolf"
"heroes.name.christmas_santa","De Kerstman"
"heroes.name.christmas_tinsel","Tinsel"
"heroes.name.christmas_zappa","Zappa"
"heroes.name.circus_bobo","Bobo"
"heroes.name.circus_candy","Candy"
"heroes.name.circus_dandre","D'Andre"
"heroes.name.circus_director_zuri","Directeur Zuri"
"heroes.name.circus_eichbelborg","Eichbelborg"
"heroes.name.circus_eiora_and_fluffy","Eiora en Fluffy"
"heroes.name.circus_emilio","Emilio"
"heroes.name.circus_faline","Faline"
"heroes.name.circus_marcel","Marcel"
"heroes.name.circus_theobald","Theobald"
"heroes.name.circus_whacker","Whacker"
"heroes.name.construct_arzen","Arzen"
"heroes.name.construct_blue_mage","Ghealach"
"heroes.name.construct_bonechill","Beenderkou"
"heroes.name.construct_brimstone","Vuursteen"
"heroes.name.construct_carta","Carta"
"heroes.name.construct_dancrag","Dancrag"
"heroes.name.construct_ferrus","Ferrus"
"heroes.name.construct_frond","Varenblad"
"heroes.name.construct_glacivolt","Glacivolt"
"heroes.name.construct_gwynn","Gwynn"
"heroes.name.construct_halwinter","Halwinter"
"heroes.name.construct_haulstone","Haulstone"
"heroes.name.construct_hornfel","Hornfel"
"heroes.name.construct_hotspin","Hotspin"
"heroes.name.construct_ironheart","Iron-Heart"
"heroes.name.construct_ironvein","Ironvein"
"heroes.name.construct_japanese_doll","Blossom"
"heroes.name.construct_nautica","Nautisch"
"heroes.name.construct_nocturne","Scath"
"heroes.name.construct_rhineglow","Rhineglow"
"heroes.name.construct_rustbeak","Roestbek"
"heroes.name.construct_scoria","Scoria"
"heroes.name.construct_shaal","Shaal"
"heroes.name.construct_shacklebolt","Shacklebolt"
"heroes.name.construct_sizzleomatic","Suizelingwekkend"
"heroes.name.construct_skarn","Skarn"
"heroes.name.construct_sylosis","Sylosis"
"heroes.name.construct_tenebrae","Tenebrae"
"heroes.name.construct_zavok","Zavolt"
"heroes.name.cultist_female_poisoner","Layla"
"heroes.name.cultist_inventor","Quintus"
"heroes.name.cultist_mage","Balthazar"
"heroes.name.cultist_sorceress","Sartana"
"heroes.name.cultist_thief","Fletcher"
"heroes.name.dark_god_aeron","Aeron"
"heroes.name.dark_god_akilius","Akilius"
"heroes.name.dark_god_anoushka","Anoushka"
"heroes.name.dark_god_arfanias","Arfanias"
"heroes.name.dark_god_chakkoszrot","Chakkoszrot"
"heroes.name.dark_god_clarissa","Clarissa"
"heroes.name.dark_god_eldwren","Eldwren"
"heroes.name.dark_god_grimble","Grimble"
"heroes.name.dark_god_hel","Hel"
"heroes.name.dark_god_kunchen","Kunchen"
"heroes.name.dark_god_malicna","Malicna"
"heroes.name.dark_god_morax","Morax"
"heroes.name.dark_god_september","Khiona"
"heroes.name.dark_god_seshat","Seshat"
"heroes.name.dark_god_sir_casmir","Sir Casmir"
"heroes.name.dark_god_turgruk","Turgruk"
"heroes.name.dark_god_uthragan","Uthragan"
"heroes.name.dark_god_viscaro","Viscaro"
"heroes.name.dark_god_zed","Zed"
"heroes.name.dark_god_zulag","Zulag"
"heroes.name.draugr","Draugr"
"heroes.name.dwarven_guard","Boril"
"heroes.name.dwarven_scout","Toril"
"heroes.name.dwarven_smasher","Karil"
"heroes.name.dwarwen_brewmaster","Kiril"
"heroes.name.easter_archie","Archie"
"heroes.name.easter_chick_jr","Chick Jr."
"heroes.name.easter_jasper","Jasper"
"heroes.name.easter_killhare","Killhare"
"heroes.name.easter_lady_woolerton","Lady Woolerton"
"heroes.name.easter_miss_ethel","Miss Ethel"
"heroes.name.easter_sadie","Sadie"
"heroes.name.easter_sir_roostley","Sir Roostley"
"heroes.name.easter_timothy","Timothy"
"heroes.name.easter_viscount_cluckwood","Viscount Cluckwood"
"heroes.name.eldritch_host","Eldritch-host"
"heroes.name.elemental_aconia","Aconia"
"heroes.name.elemental_alfie","Alfie"
"heroes.name.elemental_anzia","Anzia"
"heroes.name.elemental_ash","Ash"
"heroes.name.elemental_craum","Craum"
"heroes.name.elemental_desmond","Desmond"
"heroes.name.elemental_doxan","Doxan"
"heroes.name.elemental_farrah","Farrah"
"heroes.name.elemental_gastille","Gastille"
"heroes.name.elemental_griffex","Griffex"
"heroes.name.elemental_grilka","Grilka"
"heroes.name.elemental_ignazio","Ignazio"
"heroes.name.elemental_ironmaw","Ironmaw"
"heroes.name.elemental_jequn","Jequn"
"heroes.name.elemental_jolt","Jolt"
"heroes.name.elemental_lexi","Lexi"
"heroes.name.elemental_linus","Linus"
"heroes.name.elemental_niki","Niki"
"heroes.name.elemental_nova","Nova"
"heroes.name.elemental_nylora","Nylora"
"heroes.name.elemental_quinn","Quinn"
"heroes.name.elemental_roz","Roz"
"heroes.name.elemental_vander","Vander"
"heroes.name.elemental_xandrella","Xandrella"
"heroes.name.elemental_xavier","Xavier"
"heroes.name.elemental_zandria","Zandria"
"heroes.name.elemental_zaria","Zaria"
"heroes.name.elemental_zengar","Zengar"
"heroes.name.elemental_zione","Zione"
"heroes.name.elemental_zuni","Zuni"
"heroes.name.elven_archer","Lianna"
"heroes.name.elven_captain","Caedmon"
"heroes.name.exalted_female_statue","Justice"
"heroes.name.exalted_warrior","Magni"
"heroes.name.fables_boss_wolf","Baaswolf"
"heroes.name.fables_cinderella","Cinderella"
"heroes.name.fables_frog_prince","Kikkerprins"
"heroes.name.fables_gnomer","Gnoom"
"heroes.name.fables_gretel","Grietje"
"heroes.name.fables_hansel","Hans"
"heroes.name.fables_pixie","Pixie"
"heroes.name.fables_puss_in_boots","De Gelaarsde Kat"
"heroes.name.fables_rapunzel","Rapunzel"
"heroes.name.fables_red_hood","Roodkapje"
"heroes.name.fables_rumpelstiltskin","Repelsteeltje"
"heroes.name.fables_snow_white","Sneeuwwitje"
"heroes.name.faun_araminta","Araminta"
"heroes.name.faun_ascian","Ascian"
"heroes.name.faun_bramble","Bramble"
"heroes.name.faun_gideon","Gideon"
"heroes.name.faun_isidore","Isidore"
"heroes.name.faun_jolyon","Jolyon"
"heroes.name.faun_maud","Maud"
"heroes.name.faun_myrtle","Myrtle"
"heroes.name.faun_peregrine","Peregrine"
"heroes.name.faun_philomena","Philomena"
"heroes.name.faun_saskia","Saskia"
"heroes.name.faun_tamlin","Tamlin"
"heroes.name.faun_verity","Verity"
"heroes.name.faun_yolanda","Yolanda"
"heroes.name.faun_ysabel","Ysabel"
"heroes.name.fire_god_andre","Andre de Clermont"
"heroes.name.fire_god_anzogh","Anzogh"
"heroes.name.fire_god_ares","Ares"
"heroes.name.fire_god_doom","Grafdelver"
"heroes.name.fire_god_eliane","Eliane"
"heroes.name.fire_god_jean_francois","Jean-François"
"heroes.name.fire_god_maple","Maple"
"heroes.name.fire_god_nadnog","Grazul"
"heroes.name.fire_god_natalya","Natalya"
"heroes.name.fire_god_neema","Neema"
"heroes.name.fire_god_noor","Noor"
"heroes.name.fire_god_reuben","Reuben"
"heroes.name.fire_god_roughian_and_nurgib","Roughian en Nurgib"
"heroes.name.fire_god_russell","Russell"
"heroes.name.fire_god_skargremar","Skargremar"
"heroes.name.fire_god_tahir","Tahir"
"heroes.name.fire_god_yang_mai","Yang Mai"
"heroes.name.fire_god_zagrog","Zagrog"
"heroes.name.fire_god_zarga","Zarga"
"heroes.name.fire_god_zidane","Zidane"
"heroes.name.fire_god_zimkitha","Zimkitha"
"heroes.name.fleur_elyzabel","Elyzabel de Tuillières"
"heroes.name.fleur_eumachius","Eumachius"
"heroes.name.fleur_guillemette","Guillemette"
"heroes.name.fleur_lavinia","Lavinia"
"heroes.name.fleur_ludovico","Ludovico"
"heroes.name.fleur_talesie","Talésie"
"heroes.name.forest_archer","Berden"
"heroes.name.forest_female_druid","Brienne"
"heroes.name.forest_female_elf","Kadilen"
"heroes.name.forest_female_illusionist","Jenneh"
"heroes.name.forest_female_spirit","Belith"
"heroes.name.forest_female_warrior","Aife"
"heroes.name.forest_friar","Broeder Tuck"
"heroes.name.forest_god_elinor","Margaret"
"heroes.name.forest_god_elradir","Elradir"
"heroes.name.forest_god_evelyn","Evelyn"
"heroes.name.forest_god_grace","Grace"
"heroes.name.forest_god_gregorion","Gregorion"
"heroes.name.forest_god_kingston","Kingston"
"heroes.name.forest_god_oberon","Alberich"
"heroes.name.forest_god_telluria","Telluria"
"heroes.name.forest_god_zeline","Zeline"
"heroes.name.forest_god_zocc","Zocc"
"heroes.name.forest_mage","Melendor"
"heroes.name.forest_male_elf","Elkanen"
"heroes.name.forest_thug","Brogan"
"heroes.name.forest_titan","Horghall"
"heroes.name.forest_woodsman","Derric"
"heroes.name.forest_woodsman_warrior","Kleine John"
"heroes.name.forsaken_amarosa","Amarosa"
"heroes.name.forsaken_cassilda","Cassilda"
"heroes.name.forsaken_demhalar","Demhalar"
"heroes.name.forsaken_inanis","Inanis"
"heroes.name.forsaken_jax","Jax"
"heroes.name.forsaken_kadath","Kadath"
"heroes.name.forsaken_khatrox","Khatrox"
"heroes.name.forsaken_lamentia","Lamentia"
"heroes.name.fortune_bai_yan","Bai Yan"
"heroes.name.fortune_dragon_kids","Drakenkinderen"
"heroes.name.fortune_ling_long","Ling Long"
"heroes.name.fortune_wei_qi","Wei Qi"
"heroes.name.fortune_yan_qing","Yan Qing"
"heroes.name.fox_ashen","Ashen"
"heroes.name.fox_ember","Ember"
"heroes.name.fox_foxglove","Foxglove"
"heroes.name.fox_foxley","Foxley"
"heroes.name.fox_halcyon","Halcyon"
"heroes.name.fox_nettletail","Nettletail"
"heroes.name.fox_nibbles","Nibbles"
"heroes.name.fox_reynard","Reynard"
"heroes.name.fox_riverfang","Riverfang"
"heroes.name.fox_rust","Rust"
"heroes.name.fox_sable","Sable"
"heroes.name.fox_shadowfang","Shadowfang"
"heroes.name.fox_silverpaw","Silverpaw"
"heroes.name.fox_spiff","Spiff"
"heroes.name.fox_swiftpaw","Swiftpaw"
"heroes.name.fox_whitefang","Whitefang"
"heroes.name.gargoyle_arco","Arco"
"heroes.name.gargoyle_bellerive","Bellerive"
"heroes.name.gargoyle_betty","Betty"
"heroes.name.gargoyle_budatin","Budatín"
"heroes.name.gargoyle_el_duque","El Duque"
"heroes.name.gargoyle_gaillard","Gaillard"
"heroes.name.gargoyle_garten","Garten"
"heroes.name.gargoyle_goseck","Goseck"
"heroes.name.gargoyle_grumbl","Grumbl"
"heroes.name.gargoyle_guffa","Guffa"
"heroes.name.gargoyle_hilda","Hilda"
"heroes.name.gargoyle_hohenwerf","Hohenwerf"
"heroes.name.gargoyle_kalo","Kalø"
"heroes.name.gargoyle_kemeny","Kemény"
"heroes.name.gargoyle_matrera","Matrera"
"heroes.name.gargoyle_mena","Mena"
"heroes.name.gargoyle_penolite","Peñolite"
"heroes.name.gargoyle_pophit","Pophit"
"heroes.name.gargoyle_soroca","Soroca"
"heroes.name.gargoyle_uwe","Uwe"
"heroes.name.gargoyle_vincent","Vincent"
"heroes.name.gargoyle_vonreine","Vonreine"
"heroes.name.garrison_archibald","Archibald"
"heroes.name.garrison_beatrice","Beatrice"
"heroes.name.garrison_caelen","Caelen"
"heroes.name.garrison_ciara","Ciara"
"heroes.name.garrison_dima","Dima"
"heroes.name.garrison_fergus","Fergus"
"heroes.name.garrison_flamehide","Flamehide"
"heroes.name.garrison_frank_fangs_brimwell","Frank 'Fangs' Brimwell"
"heroes.name.garrison_frostsnout","Frostsnout"
"heroes.name.garrison_godfrey","Godfrey"
"heroes.name.garrison_greg","Greg"
"heroes.name.garrison_iarlaith","Iarlaith"
"heroes.name.garrison_iocantha","Iocantha"
"heroes.name.garrison_kolya","Kolya"
"heroes.name.garrison_maisie","Maisie"
"heroes.name.garrison_pip","Pip"
"heroes.name.garrison_rosalind","Rosalind"
"heroes.name.garrison_shimmerscale","Shimmerscale"
"heroes.name.garrison_theodosius","Theodosius"
"heroes.name.garrison_vanya","Vanya"
"heroes.name.garrison_violet_potts","Violet Potts"
"heroes.name.garrison_william","William"
"heroes.name.goblin_acidfire","Acidfire"
"heroes.name.goblin_archer","Prikker"
"heroes.name.goblin_boom_and_fang","Boom & Fang"
"heroes.name.goblin_boots","Boots"
"heroes.name.goblin_darkfeather","Darkfeather"
"heroes.name.goblin_deadboot","Deadboot"
"heroes.name.goblin_fighter","Snijder"
"heroes.name.goblin_fizzcoil","Fizzcoil"
"heroes.name.goblin_goldie","Goldie"
"heroes.name.goblin_grimsteel","Grimsteel"
"heroes.name.goblin_kettle","Kettle"
"heroes.name.goblin_leafwizzle","Leafwhisk"
"heroes.name.goblin_madhammer","Madhammer"
"heroes.name.goblin_mage","Kaatskop"
"heroes.name.goblin_pepperflame","Pepperflame"
"heroes.name.goblin_ratgrub","Ratgrub"
"heroes.name.goblin_rocket","Rocket"
"heroes.name.goblin_scrollbeast","Scrollbeast"
"heroes.name.goblin_smarttongue","Smarttongue"
"heroes.name.goblin_soursting","Soursting"
"heroes.name.guardian_bat","Wachter-vleermuis"
"heroes.name.guardian_cat_warrior","Wachterpanter"
"heroes.name.guardian_chameleon","Kameleonwachter"
"heroes.name.guardian_elephant","Wachterolifant"
"heroes.name.guardian_falcon_priest","Wachter-valk"
"heroes.name.guardian_gazelle","Gazellewachter"
"heroes.name.guardian_gorilla_chieftain","Wachter-kong"
"heroes.name.guardian_hippo","Nijlpaardwachter"
"heroes.name.guardian_jackal_assassin","Wachterjakhals"
"heroes.name.guardian_lemur","Wachter-lemur"
"heroes.name.guardian_owl_gentleman","Wachter-uil"
"heroes.name.guardian_zebra","Guardian Zebra"
"heroes.name.halloween_alucard","Alucard"
"heroes.name.halloween_amber","Amber"
"heroes.name.halloween_ana_belle","Ana-Belle"
"heroes.name.halloween_chester","Chester"
"heroes.name.halloween_edwin","Edwin"
"heroes.name.halloween_francine","Francine"
"heroes.name.halloween_frank","Frank"
"heroes.name.halloween_goopy","Goopy"
"heroes.name.halloween_hortensia","Hortensia"
"heroes.name.halloween_jack","Jack"
"heroes.name.halloween_lucinda","Lucinda"
"heroes.name.halloween_matilda","Matilda"
"heroes.name.halloween_miriam_and_midnight","Miriam en Midnight"
"heroes.name.halloween_vanda","Vanda"
"heroes.name.halloween_wayne","Wayne"
"heroes.name.hidden_dark_god_myztero","Myztero"
"heroes.name.holy_god_aurox","Aurox"
"heroes.name.holy_god_aviana","Aviana"
"heroes.name.holy_god_bai_yeong","Bai Yeong"
"heroes.name.holy_god_celidana","Celidana"
"heroes.name.holy_god_delilah","Delilah"
"heroes.name.holy_god_devana","Devana"
"heroes.name.holy_god_drake_lee","Draak Fong"
"heroes.name.holy_god_faeona","Faeona"
"heroes.name.holy_god_gilda","Gilda"
"heroes.name.holy_god_gilligan","Gilligan"
"heroes.name.holy_god_hanitra","Hanitra"
"heroes.name.holy_god_ithar","Ithar"
"heroes.name.holy_god_kara","Kara"
"heroes.name.holy_god_malosi","Malosi"
"heroes.name.holy_god_may","May"
"heroes.name.holy_god_musashi","Musashi"
"heroes.name.holy_god_neith","Neith"
"heroes.name.holy_god_onatel","Onatel"
"heroes.name.holy_god_ranvir","Ranvir"
"heroes.name.holy_god_uraeus","Uraeus"
"heroes.name.holy_god_zora","Zora"
"heroes.name.ice_god_alexandrine","Alexandrine"
"heroes.name.ice_god_areax","Areax"
"heroes.name.ice_god_athena","Athena"
"heroes.name.ice_god_balur","Balur"
"heroes.name.ice_god_callum","Gladius"
"heroes.name.ice_god_claeg","Claeg"
"heroes.name.ice_god_dvalin","Dvalin"
"heroes.name.ice_god_eskimo","Alasie"
"heroes.name.ice_god_frida","Frida"
"heroes.name.ice_god_frosth","Frosth"
"heroes.name.ice_god_glenda","Glenda"
"heroes.name.ice_god_iris","Iris"
"heroes.name.ice_god_klaern","Klaern"
"heroes.name.ice_god_mene","Mene"
"heroes.name.ice_god_miki","Miki"
"heroes.name.ice_god_nerasis","Nerasis"
"heroes.name.ice_god_october","Aegir"
"heroes.name.ice_god_perseus","Perseus"
"heroes.name.ice_god_raffaele","Raffaele"
"heroes.name.ice_god_sini","Sini"
"heroes.name.ice_god_suzuna","Suzuna"
"heroes.name.ice_god_vela","Vela"
"heroes.name.institute_ellery","Ellery"
"heroes.name.institute_emilie","Emilie"
"heroes.name.institute_piper","Piper"
"heroes.name.institute_professor_ambrose","Prof. Ambrose"
"heroes.name.institute_professor_morryster","Prof. Morryster"
"heroes.name.institute_ryleh","Ryleh"
"heroes.name.institute_wilcox","Wilcox"
"heroes.name.institute_zenas","Zenas"
"heroes.name.journey_change","Chang'e"
"heroes.name.journey_erlang_shen","Erlang Shen"
"heroes.name.journey_general_yin","Generaal Yin"
"heroes.name.journey_heifeng_guai","Heifeng Guai"
"heroes.name.journey_nineheaded_beast","Negenkoppig beest"
"heroes.name.journey_queen_guowang","Koningin Guowang"
"heroes.name.journey_sha_wujing","Sha Wujing"
"heroes.name.journey_sun_wukong","Sun Wukong"
"heroes.name.journey_tang_sanzang","Tang Sanzang"
"heroes.name.journey_xie_zi_jing","Xie Zi Jing"
"heroes.name.journey_xiong_shanjun","Xiong Shanjun"
"heroes.name.journey_xiwangmu","Xiwangmu"
"heroes.name.kalevala_aino","Aino"
"heroes.name.kalevala_iku_turso","Iku-Turso"
"heroes.name.kalevala_ilmarinen","Ilmarinen"
"heroes.name.kalevala_joukahainen","Joukahainen"
"heroes.name.kalevala_kullervo","Kullervo"
"heroes.name.kalevala_lemminkainen","Lemminkäinen"
"heroes.name.kalevala_louhi","Louhi"
"heroes.name.kalevala_mielikki","Mielikki"
"heroes.name.kalevala_mother_lemminkainen","Mother Lemminkäinen"
"heroes.name.kalevala_otso","Otso"
"heroes.name.kalevala_para","Para"
"heroes.name.kalevala_suomuhauki","Suomuhauki"
"heroes.name.kalevala_ukkonen","Ukkonen"
"heroes.name.kalevala_vainamoinen","Väinämöinen"
"heroes.name.kingdom_cao_cao","Cao Cao"
"heroes.name.kingdom_diaochan","Diaochan"
"heroes.name.kingdom_guan_yu","Guan Yu"
"heroes.name.kingdom_jing","Jing"
"heroes.name.kingdom_li","Li"
"heroes.name.kingdom_liu_bei","Liu Bei"
"heroes.name.kingdom_lu_bu","Lu Bu"
"heroes.name.kingdom_sun_quan","Sun Quan"
"heroes.name.kingdom_sun_shangxiang","Sun Shangxiang"
"heroes.name.kingdom_wang_yuanji","Wang Yuanji"
"heroes.name.kingdom_xiahou_dun","Xiahou Dun"
"heroes.name.kingdom_yao","Yao"
"heroes.name.kingdom_zhang_fei","Zhang Fei"
"heroes.name.kingdom_zhou_yu","Zhou Yu"
"heroes.name.kingdom_zhuge_liang","Zhuge Liang"
"heroes.name.knights_bauchan","Bauchan"
"heroes.name.knights_black_knight","Zwarte ridder"
"heroes.name.knights_gawain","Gawain"
"heroes.name.knights_green_knight","Groene ridder"
"heroes.name.knights_guinevere","Guinevere"
"heroes.name.knights_king_arthur","Koning Arthur"
"heroes.name.knights_lady_of_the_lake","Vrouwe van het Meer"
"heroes.name.knights_merlin","Merlijn"
"heroes.name.knights_mordred","Mordred"
"heroes.name.knights_morgan_le_fay","Morgana"
"heroes.name.knights_sir_lancelot","Lancelot"
"heroes.name.knights_treevil","Boomkwaad"
"heroes.name.lionman_barbarian","Azlar"
"heroes.name.lizardman_trapper","Kashhrek"
"heroes.name.lizardman_warrior","Isshtak"
"heroes.name.lunar_new_year_baishu","Baishu"
"heroes.name.lunar_new_year_gongniu","Gongniu"
"heroes.name.lunar_new_year_hongyunxing","Hongyunxing"
"heroes.name.lunar_new_year_laohu","Laohu"
"heroes.name.lunar_new_year_qinglong","Qinglong"
"heroes.name.lunar_new_year_xiaoqing","Xiaoqing"
"heroes.name.lunar_new_year_xiaotu","Xiaotu"
