"herocard.passive_skill.description.addmana.all.allies","仲間全員のマナが少量増加する。"
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","このキャラクターの蓄積コアは破壊コアだ。

破壊コアはこのキャラクターが特殊スキルを使用するたびに有効になる：

破壊コアのチャージが満タンになると、敵全員に{CHARGEDPOWER1}%のダメージを与える。
この際に与えるダメージはコアのチャージ量に基づいて決められる。コアが有効になると、すべてのチャージが消耗される。"
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","所有するミニオンが倒されるたびに、このキャラクターのステータス異常を浄化する"
"herocard.passive_skill.description.dodgespecialdamage","このキャラクターは{CHANCE}%の確率でダメージ付きの特殊スキルを回避する。"
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","このキャラクターが特殊スキルを使用すると、スキルをかけられた全てのフィエンドが破壊される。"
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","{TURNS}ターン毎に、ランダムな敵が所有するミニオン全員を食べる。食べたミニオンの数に応じて、マナを少量回復する。"
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","このキャラクターが特殊スキルを使用してクリティカル攻撃を与えると、仲間全員から最新のステータス異常を解除する。この効果はターンごとに1度だけ発動する。"
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","このキャラクターが特殊スキルでクリティカル攻撃を与えると、仲間全員が{HEALTHBOOST}%のHPボーナスを得る。この効果はターン毎に1度だけ発動できる。"
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn","このキャラクターの特殊スキルで、現在のHPがより高いキャラクターに攻撃を与えると、{PASSIVESKILL1HEALTHBOOST}%のHPボーナスを得る。
 このキャラクターが、現在のHPがより高いキャラクターの特殊スキルで攻撃を受けると、マナが{PASSIVESKILL2POWER}%回復する。
これらの効果はそれぞれ、ターン毎に1度だけ発動する。"
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","このキャラクターが特殊スキルによりダメージを受けると、マナが{POWER}%増加する。"
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","このキャラクターが特殊スキルまたは通常攻撃により直接ダメージを受けると、マナが少量回復する。
1ターンにつき最大{MAXMANAGAINPERTURN}%まで回復。"
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","このキャラクターが特殊スキルによってダメージを受けた場合、または仲間をかばってダメージを受けた場合、{CHANCE}%の確率で、受けたダメージの{POWER}%を敵全員に与える。"
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","このキャラクターが特殊スキルによるダメージを受けると、{STATUSEFFECT1ATTACK}%の攻撃力の累積効果を獲得する（最大：{STATUSEFFECT1MAXSTACK}）。1ターンに獲得可能な累積効果は1つのみ。"
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","このキャラクターが特殊スキルによるダメージを受けると、{STATUSEFFECT1ATTACK}%の攻撃力の累積効果を獲得する（最大： {STATUSEFFECT1MAXSTACK}）。1ターンに獲得可能な累積効果は1つのみ。"
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","仲間が特殊スキルで浄化を試みると、すべての仲間のライフが{POWER}ブーストされる。この効果は1ターンに一度のみ発動。"
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","敵が特殊スキルで浄化を試みると、敵全員が{POWER}ダメージを受ける。この効果は1ターンに一度のみ発動。"
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","バフが解除されるたびに、このキャラクターのマナが{POWER}%増加する。この効果を発動できるのは、1ターンにつき1回まで。"
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","このキャラクターはステータス異常が終了/浄化/解除/再割り当てされるたびに、{POWER}%HPを付与される。この効果は1ターンにつき、1回のみ有効となる。"
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","このキャラクターはステータス異常が終了/浄化/解除/再割り当てされるたびに、{CHANCE}%の確率で{POWER}%HPを付与される。この効果は1ターンにつき、1回のみ有効となる。"
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","バフが解除されるたびに、このキャラクターのHPが{POWER}ブーストされる。この効果を発動できるのは、1ターンにつき1回まで。"
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","このキャラクターが所有するミニオンが攻撃を与えるたびに、{TURNS}ターンにわたって{DAMAGE}フロストダメージを与える。"
"herocard.passive_skill.description.effectonheal.addmana","HPが回復するたびに、このキャラクターのマナが{POWER}%増加する。"
"herocard.passive_skill.description.effectonheal.heal","このキャラクターのライフが回復するたびに、さらにライフが{POWER}%増加する。"
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","このキャラクターのライフが回復するたびに、さらにライフが{POWER}%増加する。"
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","このキャラクターが抵抗に成功すると、そのライフが{HEALTHBOOST}%ブーストされ、マナが{MANA}%増加する。"
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","敵がライフを直接ブーストさせる特殊スキルを使用するたびに、このキャラクターのマナが{POWER}%増加する。"
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","敵がライフを直接ブーストさせる特殊スキルを使用するたびに、このキャラクターも{POWER}のHPブーストを獲得する。"
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","このキャラクターが特殊
スキルを使用すると、{CHANCE}%の
確率で次の効果を発揮できる："
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","このキャラクターが特殊スキルを使用してクリティカル攻撃を与えると、仲間全員から最新のステータス異常を解除する。"
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","このキャラクターが特殊スキルでクリティカル攻撃を与えると、仲間全員が{HEALTHBOOST}%のHPボーナスを得る。"
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","このキャラクターが特殊スキルでクリティカル攻撃を与えると、仲間全員が{HEALTHBOOST}%のHPボーナスを得る。"
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","このキャラクターは、敵が特殊スキルを発動した際に{CHANCE}%の確率で自身のライフを{HEALTHBOOST}ブーストさせる。"
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","このキャラクターが
特殊スキルを使用した場合、
{CHANCE}%の確率で、仲間全員の
マナを{POWER}%増加させる。
特殊スキルがフルチャージ
された場合は、確率が
{CHANCEFULLYCHARGED}%になる。"
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","このキャラクターが特殊スキルを使用した場合、{CHANCE}%の確率で、氷属性以外の仲間全員のマナを{POWER}%増加させる。特殊スキルがフルチャージされた場合は、確率が{CHANCEFULLYCHARGED}%になる。"
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","このキャラクターが特殊スキルを使用すると、敵全員から最新のステータス効果バフを解除する。"
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","このキャラクターが特殊スキルを使用すると、仲間全員から最新のステータス異常を解除する。"
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","このキャラクターが
特殊スキルを使用した場合、
{CHANCE}%の確率で、敵全員に
{POWER}%のダメージを与える。
特殊スキルがフルチャージ
された場合は、確率が
{CHANCEFULLYCHARGED}%になる。"
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","このキャラクターが特殊スキルを使用した場合、{CHANCE}%の確率で、闇属性以外の敵全員に{POWER}%のダメージを与える。特殊スキルがフルチャージされた場合は、確率が{CHANCEFULLYCHARGED}%になる。"
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","このキャラクターが特殊スキルを使用した場合、{CHANCE}%の確率で、炎属性以外の敵全員に{POWER}%のダメージを与える。特殊スキルがフルチャージされた場合は、確率が{CHANCEFULLYCHARGED}%になる。"
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","このキャラクターが
特殊スキルを使用した場合、
{CHANCE}%の確率で、仲間全員のHPを
{POWER}%回復させる。
特殊スキルがフルチャージ
された場合は、確率が
{CHANCEFULLYCHARGED}%になる。"
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","このキャラクターが特殊スキルを使用した場合、{CHANCE}%の確率で、自然属性以外の仲間全員のライフを{POWER}%回復する。特殊スキルがフルチャージされた場合は、確率が{CHANCEFULLYCHARGED}%になる。"
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","このキャラクターが特殊スキルを使用した場合、{CHANCE}%の確率で、炎属性以外の仲間全員のライフを{POWER}%回復する。特殊スキルがフルチャージされた場合は、確率が{CHANCEFULLYCHARGED}%になる。"
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","このキャラクターが特殊スキルを使用した場合、{CHANCE}%の確率で、聖属性以外の仲間全員のライフを{POWER}%回復する。特殊スキルがフルチャージされた場合は、確率が{CHANCEFULLYCHARGED}%になる。"
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","このキャラクターが特殊スキルを使用すると、仲間全員のHPを{POWER}%ブーストする。"
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","敵のマナ生成スピードが普通以上である場合には特殊スキルを使用し、敵全員に{DAMAGE}ダメージを与える。この効果は1ターンに1回のみ発動可能。"
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","敵が挑発のステータス効果を受けるたびに、このキャラクターのマナが{POWER}%増加する。"
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","敵が防御力に影響するステータス効果バフを獲得した際に、このキャラクターが{POWER}%のマナを獲得する。この効果はターン毎に1度だけ発動できる。"
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","バフまたはプラスの累積状態の間、このキャラクターのマナが{POWER}%増加する。"
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","ステータス異常またはマイナスの累積状態の間、このキャラクターのマナが{POWER}%増加する"
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","バフまたはプラスの累積状態の間、このキャラクターのライフが{POWER}%回復する"
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","ステータス異常またはマイナスの累積状態の間、このキャラクターのライフが{POWER}%回復する"
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","ステータス異常またはマイナスの累積状態の間、このキャラクターのHPが{POWER}回復する。"
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","バフまたはプラスの累積状態の間、{CHANCE}%の確率で、このキャラクターのマナが{POWER}%増加する。"
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","バフまたはプラスの累積状態の間、{CHANCE}%の確率で、このキャラクターのライフが{POWER}%回復する。"
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","バフまたはプラスの累積状態の間、{CHANCE}%の確率で、このキャラクターのライフが{POWER}%回復する。"
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","{TURNS}ターン毎に、倒れた近くにいる仲間がHPの{POWER}%を保有した状態で復活する。"
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","各ターン開始時に、敵チームの有効なステータス効果バフ数（最大{MAXSTATUSEFFECTCOUNT}個）に応じて少量のマナを獲得する。"
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","各ターン開始時に、毒の影響を受けている敵1体につき、このキャラクターと近くにいる仲間のHPを{INCREMENTPERSTATUSEFFECT1}%ブーストさせる。ブーストされたHPは最大HPを上回ることができる。"
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","いずれかの仲間を対象にミニオンをサモンすると、このキャラクターに{POWER}%のマナが付与される。この効果はターン毎に1度だけ発動できる。"
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","いずれかの仲間を対象にミニオンをサモンすると、このキャラクターに{HEALTH}%のライフと{MANA}%のマナが付与される。この効果はターン毎に1回だけ発動できる。"
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","いずれかの敵を対象にフィエンドをサモンすると、このキャラクターに{POWER}%のマナが付与される。この効果はターン毎に1度だけ発動できる。"
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","いずれかの敵を対象にフィエンドをサモンした場合、このキャラクターが敵全員に{DAMAGE}%のダメージを与える。この効果はターン毎に1度だけ発動できる。"
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","いずれかの敵を対象にフィエンドをサモンすると、このキャラクターが{POWER}のHPブーストを獲得する。この効果はターン毎に1度だけ発動できる。"
"herocard.passive_skill.description.extraactionsafterspecial","このキャラクターが特殊スキルを使用すると、{CHANCE}%の確率で追加攻撃を行える："
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","敵全員のミニオンの命中率が{MINIONMODIFIER}%になる。
敵全員のメガミニオンの命中率が{MEGAMINIONMODIFIER}%になる。"
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","このキャラクターの蓄積コアはミニオンコアだ。

ミニオンコアはこのキャラクターが特殊スキルを使用するたびに発動する：

 ミニオンコアをフルチャージすると、術者から継承したHP{FAMILIARHEALTHPERCENT}%、攻撃力{FAMILIARATTACK}%のキラーボットミニオンを仲間全員にサモンする。
 術者から継承するHPと攻撃力はコアのチャージ量に基づいて計算される。コアを起動するとチャージをすべて消費する。
 キラーボットミニオンはターゲットに攻撃を与える前に、ターゲットのミニオンをすべて破壊し、メガミニオンにダメージを与える。"
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","敵のメガミニオンのHPが{HEALTHMODIFIER}%になる。"
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","敵のミニオンのHPが{HEALTHMODIFIER}%になる。"
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","敵のメガミニオンが攻撃できず、能力も使用できなくなる。"
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","敵のミニオンが攻撃できず、能力も使用できなくなる。"
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","このキャラクターのマナは、敵がフロストダメージを受けるたびに{POWER}%増加する。"
"herocard.passive_skill.description.growth","ターン毎に、この英雄の基礎攻撃力と基礎防御力が{STATINCREASE}増加する。最大{MAXACTIVATIONCOUNT}ターンまで。"
"herocard.passive_skill.description.guaranteedeffectonspecial","このキャラクターが特殊スキルを使用すると、使用時に追加効果を与えるこのキャラクターのすべてのパッシブスキルが必ず発動するようになる。"
"herocard.passive_skill.description.heal.all.allies","仲間全員のライフを{HEALTH}%回復させる"
"herocard.passive_skill.description.healmodifier","回復量が{HEALMULTIPLIER}%増加する。"
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","敵全員の回復量が{HEALMULTIPLIER}%になる。"
"herocard.passive_skill.description.healmodifier.decrease","回復量が{HEALMULTIPLIER}%減少する。"
"herocard.passive_skill.description.healonheal.can_stack.heal","このキャラクターのライフが回復するたびに、さらにライフが{POWER}%増加する。"
"herocard.passive_skill.description.healonownfamiliardeath.minion","所有するミニオンが倒されるたびに、このキャラクターのライフが{HEALTH}回復する"
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","所有するミニオンが倒されるたびに、このキャラクターのライフが{HEALTH}ブーストされる。"
"herocard.passive_skill.description.healthboost.all.allies","仲間全員のライフを{HEALTHBOOST}%回復する。ライフ値が最大HPを超えた場合は、一時的に最大HP値が増加する。"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","バトル開始時に、このキャラクターの攻撃力が自然属性以外の敵1体につき、{ATTACK}%増加する。複数のウェーブがあるバトルでは、この効果は各ウェーブ毎にリセットされる。"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","バトル開始時に、このキャラクターの攻撃力が自然属性以外の戦闘可能な敵1体につき、{ATTACK}%増加する。この効果は各ウェーブ毎にリセットされる。（現在の攻撃力：{CURRENTMODIFIER}%）"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","バトル開始時に、このキャラクターの攻撃力が炎属性以外の敵1体につき、{ATTACK}%増加する。複数のウェーブがあるバトルでは、この効果は各ウェーブ毎にリセットされる。"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","バトル開始時に、このキャラクターの攻撃力が炎属性以外の戦闘可能な敵1体につき、{ATTACK}%増加する。この効果は各ウェーブ毎にリセットされる。（現在の攻撃力：{CURRENTMODIFIER}%）"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","ミニオンに対してさらに{DAMAGEMULTIPLIER}%のダメージを与える。"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","このキャラクターはミニオンとメガミニオンに対し、{DAMAGEMULTIPLIER}%のダメージを与える。"
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","標的が挑発されている場合、このキャラクターの特殊スキルによる攻撃が{POWERADDITION}%増加する。"
"herocard.passive_skill.description.increasespecialdamage","このキャラクターが攻撃系の特殊スキルを初めて使用した場合、{MAXACTIVATIONCOUNT}回目まで、攻撃力が{POWERADDITION}%増加する。"
"herocard.passive_skill.description.increasespecialdamage.usable_once","このキャラクターが攻撃系の特殊スキルを初めて使用した場合、攻撃力が{POWERADDITION}%増加する。"
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","このキャラクターが攻撃系の特殊スキルを使用する度に、攻撃力が{POWERADDITION}%増加する。"
"herocard.passive_skill.description.insanitydamagereduction","このキャラクターに付与された{DISPLAYSCALE}狂気ごとに、全被ダメージが{DAMAGEREDUCTION}%軽減される（最大{MAXDAMAGEREDUCTION}%）。"
"herocard.passive_skill.description.iterateeffectonspecial","このキャラクターが特殊スキルを使用すると、使用時に追加効果を与えるこのキャラクターのすべてのパッシブスキルが{APPLYCOUNT}回発動するようになる。"
"herocard.passive_skill.description.league.featured_family","この英雄は注目のファミリーのメンバーだ！"
"herocard.passive_skill.description.league.non_featured_family","この英雄は注目のファミリーのメンバーnotではない！"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","注目のファミリーの英雄に対する命中率が{POWERMULTIPLIER}%になる。"
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","注目のファミリーメンバーに影響を与える回復の効果が{POWERMULTIPLIER}%になる。"
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","注目以外のファミリーから受けるダメージが{POWERMULTIPLIER}%になる。"
"herocard.passive_skill.description.managenerationmodifier","マナ生成が{MODIFIER}%になる。"
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","特殊スキル使用時に増加したマナを{MODIFIER}%減少させる。この効果は、バトル内の敵全員に適用される。"
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","特殊スキルやパッシブスキルのファミリーボーナスやステータス効果の使用時に増加したマナを{MODIFIER}%減少させる。この効果は、バトル内の敵全員に適用される。"
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","特殊スキルやパッシブスキルのファミリーボーナスやステータス効果の使用時に増加したマナを{MODIFIER}%減少させる。この効果は、バトル内の敵全員に適用される。"
"herocard.passive_skill.description.manaonownfamiliardeath.minion","所有するミニオンが倒されるたびに、このキャラクターのマナが少量回復する"
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","このキャラクターは天賦の才能によって、敵が特殊スキルによってサモンした、すべてのミニオンとフィエンドを記憶できる。新たな特殊スキルを発動させるまでの間、敵がサモンした最新のミニオンとフィエンドを記憶しておける。"
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","このキャラクターは天賦の才能によって、敵が特殊スキルによってサモンした、すべてのミニオンとフィエンドを記憶できる。新たな特殊スキルを発動させるまでの間、敵がサモンした最新の{0}体のミニオンとフィエンドを記憶しておける。"
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","This character has innate ability to Memorize any Minion or Fiend summoned by enemies' Special Skills. The latest {0} Minions and Fiends that enemies summon will stay memorized until the Special Skill is cast. (THIRD FORM)"
"herocard.passive_skill.description.memorizestatuseffects","このキャラクターは、ステータス異常を記憶する天賦の才能を持つ。特殊スキルが発動されるまで、このキャラクターに発動された最新のステータス異常を記憶する（持続型のステータス異常のみ、記憶することができる）。"
"herocard.passive_skill.description.memorizestatuseffects#2","このキャラクターは、ステータス異常を記憶する天賦の才能を持つ。特殊スキルが発動されるまで、このキャラクターに発動された最新の{0}個のステータス異常を記憶する（持続型のステータス異常のみ、記憶することができる）。"
"herocard.passive_skill.description.memorizestatuseffects#3","This character has innate ability to Memorize status ailments. The latest {0} status ailments that are cast on this character will stay memorized until the Special Skill is cast. Only status ailments with a duration can be memorized. (THIRD FORM)"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_blue","ステージクリア時にこのミミックから一定確率で追加戦利品が手に入る：

*****
 アルファエーテル
 氷のエーテル III

****
 氷のエーテル II

***
 氷のエーテル I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_green","ステージクリア時にこのミミックから一定確率で追加戦利品が手に入る：

*****
 アルファエーテル
 自然のエーテル III

****
 自然のエーテル II

***
 自然のエーテル I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_purple","ステージクリア時にこのミミックから一定確率で追加戦利品が手に入る：

*****
 アルファエーテル
 闇のエーテル III

****
 闇のエーテル II

***
 闇のエーテル I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_red","ステージクリア時にこのミミックから一定確率で追加戦利品が手に入る：

*****
 アルファエーテル
 炎のエーテル III

****
 炎のエーテル II

***
 炎のエーテル I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_yellow","ステージクリア時にこのミミックから一定確率で追加戦利品が手に入る：

*****
 アルファエーテル
 聖のエーテル III

****
 聖のエーテル II

***
 聖のエーテル I"
