"herocard.family.title.abyss","Onderwildernis-familie"
"herocard.family.title.stag","Hertenfamilie"
"herocard.family.title.stag.short","Hert"
"herocard.family.title.stag_pve.short","Hert"
"herocard.family.title.styx","Styx-familie"
"herocard.family.title.styx.short","Styx"
"herocard.family.title.sun","Zonfamilie"
"herocard.family.title.sun.short","Zon"
"herocard.family.title.super_elemental","Superelementen-familie"
"herocard.family.title.super_elemental.short","Superelement"
"herocard.family.title.svartalfheim","Svartalfheim-rijk"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Nachtmerries van Atlantis-familie"
"herocard.family.title.tales1_baddies.short","Nachtmerries van Atlantis"
"herocard.family.title.tales1_goodies","Verdedigers van Atlantis-familie"
"herocard.family.title.tales1_goodies.short","Verdedigers van Atlantis"
"herocard.family.title.vanaheim","Vanaheim-rijk"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","Dappere groente-familie"
"herocard.family.title.vegetable.short","Dappere groente"
"herocard.family.title.villains","Schurkenfamilie"
"herocard.family.title.villains.short","Schurk"
"herocard.family.title.wild_cat","Wilde kat-familie"
"herocard.family.title.wild_cat.short","Wilde kat"
"herocard.family.title.winter","Winterfamilie"
"herocard.family.title.winter.short","Winter"
"herocard.family.title.wolf","Wolvenfamilie"
"herocard.family.title.wolf.short","Wolf"
"herocard.family.title.wolf_pve.short","Wolf"
"herocard.family.title.wonderland","Wonderlandfamilie"
"herocard.family.title.wonderland.short","Wonderland"
"herocard.family.title.zodiac","Maanjaar-familie"
"herocard.family.title.zodiac.short","Maanjaar"
