"specials.name.a_cozy_break","En mysig paus"
"specials.name.astral_assistance","Stjärnhjälp"
"specials.name.astral_brew","Stjärnbrygd"
"specials.name.astral_dominion","Stjärnvälde"
"specials.name.astral_gemstones","Stjärnjuveler"
"specials.name.astral_myrrh","Stjärnmyrra"
"specials.name.astral_orb","Stjärnklot"
"specials.name.astral_pastries","Stjärnbakverk"
"specials.name.astral_provocation","Stjärnfull provokation"
"specials.name.astral_summon","Stjärnåkallelse"
"specials.name.athenas_arrow","Athenas pil"
"specials.name.athenas_bow","Athenas pilbåge"
"specials.name.atlantean_blade","Atlantsvärd"
"specials.name.atlantean_blade_costume","Atlantisk klinga"
"specials.name.atlantean_charge","Atlantiskt anfall"
"specials.name.atlantean_toon_spear","Tecknat atlantspjut"
"specials.name.atlantean_toon_sword","Tecknat atlantsvärd"
"specials.name.attack_rally","Samlat anfall"
"specials.name.aura_of_twilight","Skymningsaura"
"specials.name.aura_wave","Auravåg"
"specials.name.autumnal_wind","Höstvind"
"specials.name.avenger_of_mothkind","Malarnas hämnare"
"specials.name.awaken_ki","Väck ki"
"specials.name.awe_bolt","Giftklot"
"specials.name.axe_of_retribution","Vedergällningens yxa"
"specials.name.axe_throw","Yxkast"
"specials.name.azurelight_greatsword","Azurskenets svärd"
"specials.name.backstab","Hugg i ryggen"
"specials.name.bad_fortune","Otur"
"specials.name.bag_of_necessities","Väska med nödvändigheter"
"specials.name.bagh_nakh_thrust","Bagh Nakh-stöt"
"specials.name.bakers_baguettes","Bagarens baguetter"
"specials.name.balanced_teamwork","Balanserat samarbete"
"specials.name.ballad_of_attraction","Attraktionens ballad"
"specials.name.ballad_of_condemnation","Fördömandets ballad"
"specials.name.ballad_of_obsession","Besatthetens ballad"
"specials.name.ballad_of_pain","Smärtans ballad"
"specials.name.ballad_of_passion","Passionens ballad"
"specials.name.ballad_of_purple_swan","Den mörka svanens ballad"
"specials.name.ballad_of_restoration","Tillfrisknandets ballad"
"specials.name.ballad_of_the_purple_swan","Den mörka svanens ballad"
"specials.name.bandalore_dance","Jojodans"
"specials.name.barb_sting_dragon_pve","Hullingstick"
"specials.name.barbed_arrows","Hullingpilar"
"specials.name.barbed_bolt_zidane","Taggpil"
"specials.name.bark_of_protection","Skyddsskall"
"specials.name.basilisk_breath","Basiliskandedräkt"
"specials.name.battering_ram","Murbräcka"
"specials.name.battle_boast","Stridsskrävel"
"specials.name.battleclaw_strike","Stridskloslag"
"specials.name.beach_party","Strandfest"
"specials.name.beautiful_petals","Vackra blad"
"specials.name.bee_bombast","Bombastiska bin"
"specials.name.bee_bravado","Bi-bravur"
"specials.name.beetle_strike","Skalbaggsanfall"
"specials.name.berserker_strike","Bärsärkagång"
"specials.name.bewildering_riddle","Svår gåta"
"specials.name.bewitched_daggers","Förtrollade dolkar"
"specials.name.binding_contract","Bindande kontrakt"
"specials.name.birch_blessing","Björkvälsignelse"
"specials.name.bite_of_protection","Skyddsbett"
"specials.name.bites_of_disorientation","Desorienterande bett"
"specials.name.bitter_berry_blast_dragon_pve","Bitterbärssmäll"
"specials.name.bizarre_mist","Bisarr dimma"
"specials.name.black_tassel_spear_sting","Tofsspjutsstick"
"specials.name.black_tide","Svart tidvåg"
"specials.name.blade_barrage","Knivstorm"
"specials.name.blade_dance","Svärd på dansgolvet"
"specials.name.blade_of_betrayal","Förräderiets klinga"
"specials.name.blade_of_bundelkhand","Bundelkhands klinga"
"specials.name.blade_of_horrid_affliction","Det fruktansvärda lidandets klinga"
"specials.name.blade_tail_swipe","Svepande svärdsvans"
"specials.name.blade_venom","Svärdsgift"
"specials.name.blade_wings","Svärdvingar"
"specials.name.blazing_beak","Blixtnäbb"
"specials.name.blazing_corolla","Flammande kronblad"
"specials.name.blazing_inferno","Rasande inferno"
"specials.name.blazing_rave_dance","Glödhet ravedans"
"specials.name.blazing_slam_dunk","Flammande fullträff"
"specials.name.blazing_venom","Brinnande gift"
"specials.name.bleed_inducing_daggers","Blödningsframkallande dolkar"
"specials.name.bleeding_edge","Blodsegg"
"specials.name.bleeding_hammer","Blodshammare"
"specials.name.bleeding_stab","Blodsstöt"
"specials.name.bleeding_thrust","Blodsstick"
"specials.name.blessed_blade","Välsignade klingor"
"specials.name.blessed_blade_pve","Välsignade klingor"
"specials.name.blessed_brew","Helig dryck"
"specials.name.blessed_solo","Välsignat solo"
"specials.name.blessed_tankard","Välsignad sejdel"
"specials.name.blessing_from_the_future","Välsignelse från framtiden"
"specials.name.blessing_of_gjallarhorn","Gjallarhornets välsignelse"
"specials.name.blessing_of_the_evergrove","Den eviga gläntans välsignelse"
"specials.name.blessing_of_the_skies","Himlens välsignelse"
"specials.name.blind_rage","Blind ilska"
"specials.name.blinding_attack","Förblindande attack"
"specials.name.blinding_curse","Blindhetsförbannelse"
"specials.name.blinding_flash","Bländande blixt"
"specials.name.blinding_flash_s4","Bländande blixt"
"specials.name.blinding_injustice","Bländande orättvisa"
"specials.name.blinding_knowledge","Förblindande kunskap"
"specials.name.blinding_light","Förblindande ljus"
"specials.name.blinding_orb","Förblindande klot"
"specials.name.blinding_pounce","Förblindande nedslag"
"specials.name.blinding_spell","Förblindande besvärjelse"
"specials.name.blinding_spit","Förblindande spott"
"specials.name.blinding_stinger","Förblindande gadd"
"specials.name.blinding_strike","Förblindande anfall"
"specials.name.blinding_wisdom","Förblindande vishet"
"specials.name.blizzard","Snöstorm"
"specials.name.blizzard_roar","Rytande snöstorm"
"specials.name.blob_of_fury","Vredens klump"
"specials.name.blood_illusion","Blodsillusion"
"specials.name.blood_petals_of_the_withered","Blodsblad"
"specials.name.blood_sacrifice","Blodsslag"
"specials.name.bloodthirst","Blodtörst"
"specials.name.blooming_growth","Blomstrande tillväxt"
"specials.name.bludgeoning","Nedklubbning"
"specials.name.blue_lizard_charge","Blått kamouflödleanfall"
"specials.name.blue_shroom_wand","Blå svampstav"
"specials.name.blur_of_steel","Stålstorm"
"specials.name.blur_of_steel_pve","Stålstorm"
"specials.name.boar_call","Vildsvinslockrop"
"specials.name.boar_charge","Vildsvinsrusning"
"specials.name.boar_of_fury","Vredens vildsvin"
"specials.name.boat_ride_from_the_beyond","Båt från fjärran"
"specials.name.bobo_blitz","Bobo-storm"
"specials.name.bolstering_rush","Stärkande rusning"
"specials.name.bond_of_avarice","Girighetens band"
"specials.name.bone_arrow","Benpil"
"specials.name.bone_club_clonk","Klubbande benklubba"
"specials.name.bone_club_party","Benklubbfest"
"specials.name.bone_ritual","Benritual"
"specials.name.bone_slam","Bensmäll"
"specials.name.bone_toss","Flygande ben"
"specials.name.booming_mend","Dånande läkning"
"specials.name.boon_of_gjallarhorn","Gjallarhorns favör"
"specials.name.boopstrike","Petträff"
"specials.name.boreal_bash","Nordlig smäll"
"specials.name.boulder_smash","Stenkross"
"specials.name.bound_by_knowledge","Bunden av kunskap"
"specials.name.bound_by_tales","Bunden av sagor"
"specials.name.bounty_of_the_spring","Vårens skatter"
"specials.name.bouquet_of_the_seas","Havets bukett"
"specials.name.brain_link","Hjärnlänk"
"specials.name.branded_by_fire","Brännmärkt"
"specials.name.break_free","Lossbrytning"
"specials.name.break_strike","Brytarslag"
"specials.name.breaker_blade","Krossarsvärd"
"specials.name.breaker_blade_pve","Krossarsvärd"
"specials.name.breath_of_darkness","Mörkrets andning"
"specials.name.breath_of_life","Livets andning"
"specials.name.breath_of_the_abyss","Avgrundens andning"
"specials.name.brew_of_the_centaurs","Kentaurernas brygd"
"specials.name.brides_kiss","Brudens kyss"
"specials.name.brilliant_brew","Briljant brygd"
"specials.name.brilliant_sweep_dragon_pve","Briljant svep"
"specials.name.bringer_of_order","Orderbringare"
"specials.name.brittling_burst","Spröd spridning"
"specials.name.brittling_force","Klapperkraft"
"specials.name.brittling_strike","Försvagande anfall"
"specials.name.bruiser_bros","Slagskämpar"
"specials.name.brutal_bull_rush","Brutal tjurrusning"
"specials.name.brutal_support","Brutalt understöd"
"specials.name.buccaneers_blade","Äventyrarens klinga"
"specials.name.bugs_shell","Insektsskal"
"specials.name.building_blocks_bulklug","Byggstenar"
"specials.name.bulwark_charge","Vågbrytaranfall"
"specials.name.burning_ashes","Brinnande aska"
"specials.name.burning_ashes2","Brinnande aska"
"specials.name.burning_chains","Brinnande kedjor"
"specials.name.burning_claws_dragon_pve","Brinnande klor"
"specials.name.burning_javelin","Brinnande spjut"
"specials.name.burning_pollen_dragon_pve","Flamvingar"
"specials.name.burning_shields","Brinnande sköldar"
"specials.name.burning_spin","Brinnande snurr"
"specials.name.burning_strike","Flammande Slag"
"specials.name.burning_thread","Flammande tråd"
"specials.name.burning_wok","Brinnande wok"
"specials.name.but_a_scratch","Bara en skråma"
"specials.name.butterfly_swarm","Fjärilssvärm"
"specials.name.call_of_the_elements","Elementens kall"
"specials.name.call_to_arms","Krigshandling"
"specials.name.calling_the_bluff","Syna bluffen"
"specials.name.calm_jab_dragon_pve","Lugn jabb"
"specials.name.calming_mist","Lugnande dimma"
"specials.name.camouflage_foliage","Kamouflagelöv"
"specials.name.candy_vines","Godisranka"
"specials.name.cannibalizing_munch","Kannibaltugg"
"specials.name.cannon_blast","Kanonskott"
"specials.name.cannonball_splash","Plaskkanon"
"specials.name.capsicum_charge","Paprikapang"
"specials.name.captains_cutlass","Kaptenens kroksabel"
"specials.name.captivating_illusions","Fängslande illusioner"
"specials.name.carnivore_garden","Köttätarträdgård"
"specials.name.carve_a_hole","Gräv ett hål"
"specials.name.carve_the_bones","Karva benen"
"specials.name.cascading_darkness","Svallande mörker"
"specials.name.cascading_whirlwind","Överlappande virvelvind"
"specials.name.cataclysmic_divination","Kataklysmisk spådom"
"specials.name.catnip_fury","Kattmyntavrede"
"specials.name.cauterizing_flame","Kauteriserande flamma"
"specials.name.cauterizing_touch","Brännande beröring"
"specials.name.cavalier_hat_of_dark_realm","Mörka rikets ryttarhatt"
"specials.name.celestial_anvil","Himmelskt städ"
"specials.name.ceremonial_dance","Ceremonidans"
"specials.name.ceremonial_katar","Ceremoniell katar"
"specials.name.chain_blasm_strike","Kedjesmällhugg"
"specials.name.chain_lightning","Blixtkedja"
"specials.name.chain_of_pain","Smärtans kedja"
"specials.name.chain_strike","Kedjehugg"
"specials.name.chains_of_legion","Legionens kedja"
"specials.name.chains_of_light","Ljusets kedja"
"specials.name.chakram_kick","Chakram-spark"
"specials.name.challenge_the_strongest","Utmana den starkaste"
"specials.name.champagne_hammer","Flaskhammare"
"specials.name.champion_maneuver","Mästarmanöver"
"specials.name.championship_carrot","Mästerlig morot"
"specials.name.change_stance","Hasardhugg"
"specials.name.channel_ki","Kanalisera ki"
"specials.name.channeler_of_the_cats","Kattkanaliseraren"
"specials.name.channeler_of_the_gods","Gudarnas åkallare"
"specials.name.chaos_bolt_volley","Kaosblixtskur"
"specials.name.chaos_venom","Kaosgift"
"specials.name.charged_fireball_dragon_pve","Laddat eldklot"
"specials.name.charm_of_protection","Skyddsbesvärjelse"
"specials.name.charmed_dual_blade","Förtrollat dubbelsvärd"
"specials.name.charmers_blades","Charmörens svärd"
"specials.name.cheerful_charm","Finurlig förtrollning"
"specials.name.cheese_wheel_rampage","Osthjulsmani"
"specials.name.cherry_pudding_served","Puddingen är serverad!"
"specials.name.chieftains_vengeance","Hövdingens hämnd"
"specials.name.chilling_counterattack","Iskallt motanfall"
"specials.name.chilling_slash","Köldhugg"
"specials.name.chitin_cage","Pansarbur"
"specials.name.chords_of_distortion","Förvrängningens ackord"
"specials.name.chords_of_havoc","Kaosets ackord"
"specials.name.chords_of_inferno","Infernots ackord"
"specials.name.claw_power","Svartalfens vrede"
"specials.name.claw_swipe","Klohugg"
"specials.name.claws_of_fury","Vredens klor"
"specials.name.claws_of_the_hunter","Jägarens klor"
"specials.name.claws_of_the_lioness","Lejoninnans klor"
"specials.name.claws_of_the_night","Nattens klor"
"specials.name.claws_of_the_night_ultimate_boss","Nattens klor"
"specials.name.cleansing_determination","Renande beslutsamhet"
"specials.name.cleansing_determination_pve","Renande beslutsamhet"
"specials.name.cleansing_strike","Renande slag"
"specials.name.cleave_and_reflect","Klyv och spegla"
"specials.name.cleave_counter","Klyv och kontra"
"specials.name.clever_stratagem","Listigt knep"
"specials.name.cloak_of_feathers","Fjädermantel"
"specials.name.close_order_formation","Tät formation"
"specials.name.cloth_of_constellations","Stjärnbildstyg"
"specials.name.cloud_axe","Molnyxa"
"specials.name.cloud_hammer","Molnhammare"
"specials.name.clowns_blessing","Clownens välsignelse"
"specials.name.coastal_recharge","Kust-omladdning"
"specials.name.coiling_whip","Snärtande piska"
"specials.name.coins_of_pain","Våndornas mynt"
"specials.name.cold_blast","Snöstorm"
"specials.name.cold_blast_single","Köldexplosion"
"specials.name.cold_command","Kallt kommando"
"specials.name.cold_fire","Kall eld"
"specials.name.colossal_bite","Kolossalt bett"
"specials.name.colossal_carry","Kolossalt lyft"
"specials.name.colossal_chops","Enorma hugg"
"specials.name.comet","Brännande stråle"
"specials.name.command_pack","Led flocken"
"specials.name.command_sand_golems","Led sandgolemar"
"specials.name.command_to_advance","Order att avancera"
"specials.name.command_to_advance_costume_fire_bat","Beordra att avancera"
"specials.name.commanders_gauntlet","Befälhavarhandske"
"specials.name.commodores_malice","Amiralens illvilja"
"specials.name.commodores_revenge","Amiralens hämnd"
"specials.name.compact_lance","Kompakt lans"
"specials.name.concussive_charge","Chockrusning"
"specials.name.confident_strategy","Självsäker strategi"
"specials.name.conjure_the_azure_spirit","Azurandens åkallelse"
"specials.name.connect_ki","Förena ki"
"specials.name.connect_ki_pve","Förena ki"
"specials.name.conquerors_command","Erövrarens befallning"
"specials.name.constellation_crush","Stjärnornas slakt"
"specials.name.corals_of_nourishment","Näringskorall"
"specials.name.core_beam","Kärnstråle"
"specials.name.core_blast","Kärnskott"
"specials.name.core_burst","Kärnexplosion"
"specials.name.corroding_cutlass","Frätande huggare"
"specials.name.corrosive_acid","Frätande syra"
"specials.name.corrosive_burn_claws_dragon_pve","Frätande brännklor"
"specials.name.corrosive_claws_dragon_pve","Frätande giftklor"
"specials.name.corrosive_pollen","Frätande pollen"
"specials.name.corrupting_idol","Korrumperande idol"
"specials.name.cosmic_clock","Kosmisk klocka"
"specials.name.cosmic_devotion","Kosmisk hängivenhet"
"specials.name.countering_hammock","Kontrande hängmatta"
"specials.name.counterstance","Kontringsställning"
"specials.name.couriers_dash","Kurirens spurt"
"specials.name.cover_slam","Skyddssmäll"
"specials.name.covert_stab","Ångerfritt hugg"
"specials.name.cracked_skull_strike","Skallknäckarslag"
"specials.name.crawling_vines","Krypande rankor"
"specials.name.crazed_lunge","Galen stöt"
"specials.name.crazed_stampede","Vansinnesrusning"
"specials.name.creative_hands","Kreativa händer"
"specials.name.creeping_venom","Slingergift"
"specials.name.creeping_vines","Slingerrankor"
"specials.name.crescent_moon_strike","Halvmånehugg"
"specials.name.crescent_shield","Halvmånesköld"
"specials.name.crescent_spear","Halvmånens spjut"
"specials.name.crimson_blade","Blodröd egg"
"specials.name.crimson_calamity","Karmosinkatastrof"
"specials.name.crimson_calamity2","Karmosinkatastrof"
"specials.name.crimson_hunt","Röd jakt"
"specials.name.crippling_claws","Krossande klor"
"specials.name.crippling_claws_pve","Krossande klor"
"specials.name.crippling_grapple","Förlamande grepp"
"specials.name.critical_cookout","Kritisk matfest"
"specials.name.critical_tactics","Viktiga taktiker"
"specials.name.croc_bite","Krokodilbett"
"specials.name.crush_of_avarice","Girighetens kross"
"specials.name.crush_of_hel","Hels kross"
"specials.name.crush_of_malice","Ondskefull kross"
"specials.name.crush_of_toon_hel","Tecknade Hels kross"
"specials.name.crushing_claws","Krossande klor"
"specials.name.crushing_shot","Krossande skott"
"specials.name.crust_of_divinity","Gudomlighetens skorpa"
"specials.name.cry_for_absolution","Rop efter förlåtelse"
"specials.name.crystal_barrage","Kristallsalva"
"specials.name.crystal_bombardment","Kristallbombardering"
"specials.name.crystal_embrace","Kristallernas kraft"
"specials.name.crystalis","Iskall kristall"
"specials.name.crystalline_strike","Kristallanfall"
"specials.name.cub_leader_cut","Ungledarhugg"
"specials.name.cube_of_dark_realm","Mörka rikets kub"
"specials.name.cult_of_arachnid","Araknidsekt"
"specials.name.cunning_knife","Lömsk kniv"
"specials.name.cup_of_mead","Mjödmugg"
"specials.name.curse_of_sargasso","Sargassos förbannelse"
"specials.name.curse_of_the_cephaloid","Cephaloidens förbannelse"
"specials.name.curse_of_the_depths","Avgrundens förbannelse"
"specials.name.curse_of_the_sea","Havets förbannelse"
"specials.name.curse_of_the_specter","Gengångarens förbannelse"
"specials.name.curse_of_the_specter_pve","Gengångarens förbannelse"
"specials.name.cursed_fumes","Förhäxade ångor"
"specials.name.cursed_fumes2","Förhäxade ångor"
"specials.name.cursed_garden","Förhäxad trädgård"
"specials.name.cursed_painting","Förhäxad målning"
"specials.name.cursed_plan","Förbannad plan"
"specials.name.cursed_strike","Förbannelseattack"
"specials.name.cursed_tail_whip","Förbannelsens svansslag"
"specials.name.cut_cure_and_craze","Hugg, läk och gå bärsärk"
"specials.name.cut_down_the_competition","Motståndsmassaker"
"specials.name.cute_and_dangerous","Söt och farlig"
"specials.name.cuts_of_hulu","Hulus hugg"
"specials.name.dagger_of_shadows","Skuggornas dolk"
"specials.name.dance_of_fire","Elddans"
"specials.name.dance_of_flame","Elddans"
"specials.name.dance_of_glass","Glasdans"
"specials.name.dance_of_ignition","Gnistans dans"
"specials.name.dance_of_siegfried","Siegfrieds dans"
"specials.name.dance_of_spirits","Andarnas dans"
"specials.name.dance_of_the_dunes","Dynernas dans"
"specials.name.dance_of_the_heron","Trandans"
"specials.name.dance_of_the_little_swan","Den lilla svanens dans"
"specials.name.dance_of_the_queen","Drottningens dans"
"specials.name.dance_of_the_raven","Den svarta svanens dans"
"specials.name.dance_of_the_slimy","Slemdans"
"specials.name.dance_of_the_swan","Svandans"
"specials.name.dance_of_the_yellow_swan","Den ljusa svanens dans"
"specials.name.dance_of_toons","Tecknad dans"
"specials.name.dancestance","Dansställning"
"specials.name.dancing_dodge","Dansande väjning"
"specials.name.dancing_slash","Danshugg"
"specials.name.dantes_inferno","Dantes inferno"
"specials.name.dark_barrage","Mörkerstorm"
"specials.name.dark_bolt","Mörk pil"
"specials.name.dark_lord","Undergångsanfall"
"specials.name.dark_mirror","Flammande spegel"
"specials.name.dark_orb","Mörkerklot"
"specials.name.dark_shock","Mörk chock"
"specials.name.darts_of_the_deep","Djupets pilar"
"specials.name.dauntless_bladestorm","Ohejdad svärdstorm"
"specials.name.dawn_strike","Gryningsanfall"
"specials.name.dawnlight_rally","Gryningssamling"
"specials.name.day_of_judgement","Domedagen"
"specials.name.day_of_reckoning","Räkenskapens dag"
"specials.name.dazzling_gleam","Bländande glimma"
"specials.name.dazzling_grin","Bländande leende"
"specials.name.dazzling_sweep_dragon_pve","Bländande svep"
"specials.name.deadly_claw","Dödlig klo"
"specials.name.deadly_constriction","Dödlig hopdragning"
"specials.name.deadly_riposte","Dödlig kontring"
"specials.name.deadly_sting","Dödligt styng"
"specials.name.deafening_parade","Öronbedövande parad"
"specials.name.deathly_glaive","Dödlig glav"
"specials.name.deathstrike","Dödsstöt"
"specials.name.debt_drain_boboosang","Skuldsanering"
"specials.name.deceiving_glow","Förledande ljus"
"specials.name.deceptive_smalltalk","Vilseledande småprat"
"specials.name.deep_sea_ritual","Djuphavsritual"
"specials.name.defensive_tactics","Försvarstaktik"
"specials.name.delay_the_inevitable","Fördröj det oundvikliga"
"specials.name.delicious_demise","Smaskig undergång"
"specials.name.delicious_idol","Utsökt avgudabild"
"specials.name.demolishing_crush","Förödande kross"
"specials.name.demoralizing_banter","Demoraliserande skämt"
"specials.name.depth_blast","Djup smäll"
"specials.name.deranged_existence","Rubbad existens"
"specials.name.desert_blessing","Ökenvälsignelse"
"specials.name.destructive_strike","Treuddsutfall"
"specials.name.deteriorating_morale","Moralsänkare"
"specials.name.devastating_slash","Förödande hugg"
"specials.name.devastating_thrust","Förödande stöt"
"specials.name.dewling_strike","Dagglingsslag"
"specials.name.dewling_sweep","Dagglingssvep"
"specials.name.dewling_warcry","Dagglingsstridsrop"
"specials.name.dig_a_hole","Gräv ett hål"
"specials.name.dinner_with_the_beast","Middag med odjuret"
"specials.name.dire_ghost","Hemskt spöke"
"specials.name.directors_blessing","Direktörens välsignelse"
"specials.name.directors_blessing_pve","Direktörens välsignelse"
"specials.name.disabling_decree","Förlamande påbud"
"specials.name.disabling_study","Studie i avväpning"
"specials.name.disarming_gaze_dragon_pve","Avväpnande blick"
"specials.name.disheartening_riddle","Sorglig gåta"
"specials.name.dishonorable_ploy","Ohederlig komplott"
"specials.name.disir_of_dreams","Drömdis"
"specials.name.disir_of_dusk","Skymningsdis"
"specials.name.dispelling_curse","Avbrytande förhäxning"
"specials.name.dispelling_judgement","Avbrytande dom"
"specials.name.dispelling_potion","Avbrytande brygd"
"specials.name.dispelling_strike","Avbrytande anfall"
"specials.name.dispelling_willpower","Avbrytande viljestyrka"
"specials.name.dispelling_willpower_pve","Avbrytande viljestyrka"
"specials.name.disquieting_tune","Oroväckande melodi"
"specials.name.disrupting_charge","Störningsladdning"
"specials.name.disrupting_charge_costume_tiger_lord","Förödande rusning"
"specials.name.divine_connection","Gudomlig koppling"
"specials.name.divine_current","Gudomlig ström"
"specials.name.divine_light1","Gudomligt ljus"
"specials.name.divine_lunge","Gudomligt utfall"
"specials.name.divine_protection","Gudomligt skydd"
"specials.name.divine_protection_deadly","Gudomligt skydd"
"specials.name.divine_reflection","Gudomlig reflektion"
"specials.name.divine_reversal","Gudomlig hämnd"
"specials.name.dizzying_strike","Förvirrande anfall"
"specials.name.donut_to_the_rescue","Munken till undsättning!"
"specials.name.doomrend","Domedagsklyvning"
"specials.name.doomstrike","Undergångsanfall"
"specials.name.double_flail_mayhem","Förödande dubbelslaga"
"specials.name.double_strike","Dubbelangrepp"
"specials.name.doublebarreled_starstick","Dubbelpipig stjärnstav"
"specials.name.dozy_mead","Dåsighetsmjöd"
"specials.name.dragon_autumn_blaze","Höstflamma"
"specials.name.dragon_blaze_of_fatigue","Utmattningsflamma"
"specials.name.dragon_blaze_of_mortality","Dödlighetsflamma"
"specials.name.dragon_blaze_of_protection","Skyddsflamma"
"specials.name.dragon_blaze_of_suppression","Undertryckande eld"
"specials.name.dragon_blaze_of_the_hydra","Hydrans flamma"
"specials.name.dragon_blaze_of_the_undying","Den odöendes flamma"
"specials.name.dragon_blaze_of_torment","Plågoflamma"
"specials.name.dragon_blazing_inferno","Rasande inferno"
"specials.name.dragon_blazing_storm","Brinnande storm"
