"specials.name.a_cozy_break","舒适小憩"
"specials.name.ancient_ritual","先祖仪式"
"specials.name.ancient_spell","先祖魔法"
"specials.name.ancient_technology","远古科技"
"specials.name.ancient_vengeance","远古仇恨"
"specials.name.anger_of_forest","森林之怒"
"specials.name.anger_of_the_jester","小丑之怒"
"specials.name.anger_of_the_woods","树林之怒"
"specials.name.anger_of_the_woods_pve","树林之怒"
"specials.name.angry_boar","愤怒野猪"
"specials.name.angry_boar_pve","愤怒野猪"
"specials.name.anthem_of_the_lake","湖之颂歌"
"specials.name.aphotic_maw","深渊巨胃"
"specials.name.aphotic_whisper","深渊低吟"
"specials.name.apothecary_kit","药剂包"
"specials.name.aquatic_dance","水上舞蹈"
"specials.name.aquatic_outbreak","水生爆发"
"specials.name.arcane_blast","秘法冲击"
"specials.name.arcane_shock","秘法闪电"
"specials.name.archaic_dread","远古恐惧"
"specials.name.archaic_sacred_symbol","远古神圣象征"
"specials.name.arctic_breeze","极地微风"
"specials.name.arctic_veil","极地帷幕"
"specials.name.arctic_wound","极地创伤"
"specials.name.arrow_of_desire","欲望之箭"
"specials.name.arrow_of_nujalik","鲁嘉利克之箭"
"specials.name.arrows_and_claws","箭与爪"
"specials.name.arrows_of_altruism_liora","利他之箭"
"specials.name.arrows_of_frost","冰霜之箭"
"specials.name.arrows_of_fury","愤怒之箭"
"specials.name.artful_backstab","丹青背刺"
"specials.name.artful_recreation","修复名作"
"specials.name.artisans_shot","工匠射击"
"specials.name.ashes_to_ashes","灰飞烟灭"
"specials.name.assassins_blades","刺客之刃"
"specials.name.assassins_in_the_night","暗夜刺客"
"specials.name.assassins_in_the_night_pve","暗夜刺客"
"specials.name.asterius","野蛮公牛突袭"
"specials.name.astral_brew","星体佳酿"
"specials.name.astral_dominion","星体支配"
"specials.name.astral_gemstones","星体宝石"
"specials.name.astral_myrrh","星体没药"
"specials.name.astral_orb","星体法球"
"specials.name.astral_pastries","星体糕点"
"specials.name.astral_provocation","星体挑衅"
"specials.name.astral_summon","星体召唤"
"specials.name.athenas_arrow","雅典娜之箭"
"specials.name.athenas_bow","雅典娜之弓"
"specials.name.atlantean_blade","亚特兰蒂斯之剑"
"specials.name.atlantean_blade_costume","亚特兰蒂斯之刃"
"specials.name.atlantean_charge","亚特兰蒂斯冲锋"
"specials.name.attack_rally","攻击动员"
"specials.name.aura_of_twilight","薄暮光环"
"specials.name.aura_wave","光环波浪"
"specials.name.autumnal_wind","秋风"
"specials.name.avenger_of_mothkind","蛾之复仇者"
"specials.name.awaken_ki","气之觉醒"
"specials.name.awe_bolt","猛毒闪电"
"specials.name.axe_of_retribution","报偿之斧"
"specials.name.axe_throw","掷斧"
"specials.name.azurelight_greatsword","蔚蓝巨剑"
"specials.name.backstab","芒刺在背"
"specials.name.bad_fortune","霉运缠身"
"specials.name.bag_of_necessities","万能背包"
"specials.name.bakers_baguettes","面包师的长棍包"
"specials.name.balanced_teamwork","平衡默契"
"specials.name.ballad_of_attraction","魅力歌谣"
"specials.name.ballad_of_condemnation","谴责歌谣"
"specials.name.ballad_of_obsession","迷恋歌谣"
"specials.name.ballad_of_pain","痛苦歌谣"
"specials.name.ballad_of_passion","激情歌谣"
"specials.name.ballad_of_purple_swan","暗黑天鹅歌谣"
"specials.name.ballad_of_restoration","恢复歌谣"
"specials.name.ballad_of_the_purple_swan","暗黑天鹅歌谣"
"specials.name.bandalore_dance","悠悠球舞"
"specials.name.barb_sting_dragon_pve","倒钩之刺"
"specials.name.barbed_arrows","棘刺箭矢"
"specials.name.barbed_bolt_zidane","倒刺之箭"
"specials.name.bark_of_protection","护主之吠"
"specials.name.basilisk_breath","蛇怪吐息"
"specials.name.battering_ram","攻城槌"
"specials.name.battle_boast","战斗豪言"
"specials.name.battleclaw_strike","战斗爪击"
"specials.name.beach_party","海滩派对"
"specials.name.bee_bombast","蜂势浩大"
"specials.name.bee_bravado","狂蜂冒险"
"specials.name.beetle_strike","甲虫侵袭"
"specials.name.berserker_strike","狂战士之击"
"specials.name.bewildering_riddle","乱目谜语"
"specials.name.bewitched_daggers","蛊惑匕首"
"specials.name.binding_contract","羁绊合约"
"specials.name.birch_blessing","桦树祝福"
"specials.name.bite_of_protection","保护噬咬"
"specials.name.bites_of_disorientation","致惑撕咬"
"specials.name.bitter_berry_blast_dragon_pve","苦浆果爆破"
"specials.name.bizarre_mist","古怪迷雾"
"specials.name.black_tassel_spear_sting","黑缨枪之刺"
"specials.name.black_tide","黑潮"
"specials.name.blade_barrage","刀淋刃雨"
"specials.name.blade_dance","舞池之刃"
"specials.name.blade_of_bundelkhand","本德尔坎德之刃"
"specials.name.blade_of_horrid_affliction","恐咒之刃"
"specials.name.blade_tail_swipe","刃尾横扫"
"specials.name.blade_venom","刀刃毒龙"
"specials.name.blade_wings","刀锋之翼"
"specials.name.blazing_beak","炽焰之喙"
"specials.name.blazing_corolla","炽烈花冠"
"specials.name.blazing_inferno","炽焰炼狱"
"specials.name.blazing_rave_dance","炽焰狂舞"
"specials.name.blazing_slam_dunk","炽焰灌篮"
"specials.name.blazing_venom","炽焰毒液"
"specials.name.bleed_inducing_daggers","嗜血匕首"
"specials.name.bleeding_edge","血染刀锋"
"specials.name.bleeding_hammer","血染大锤"
"specials.name.bleeding_stab","血刃刺穿"
"specials.name.bleeding_thrust","血刃暴插"
"specials.name.blessed_blade","祝福之刃"
"specials.name.blessed_blade_pve","祝福之刃"
"specials.name.blessed_brew","神圣佳酿"
"specials.name.blessed_solo","神圣独奏"
"specials.name.blessed_tankard","神圣啤酒杯"
"specials.name.blessing_from_the_future","未来庇佑"
"specials.name.blessing_of_gjallarhorn","加拉尔庇佑"
"specials.name.blessing_of_the_evergrove","常青林庇佑"
"specials.name.blessing_of_the_skies","诸天庇佑"
"specials.name.blind_rage","怒焰四起"
"specials.name.blinding_attack","致盲攻击"
"specials.name.blinding_curse","致盲诅咒"
"specials.name.blinding_flash","致盲电光"
"specials.name.blinding_flash_s4","致盲电光"
"specials.name.blinding_injustice","盲目不义"
"specials.name.blinding_knowledge","致盲知识"
"specials.name.blinding_light","致盲之光"
"specials.name.blinding_orb","致盲光球"
"specials.name.blinding_pounce","致盲猛扑"
"specials.name.blinding_spell","致盲法术"
"specials.name.blinding_spit","致盲喷吐"
"specials.name.blinding_stinger","致盲毒刺"
"specials.name.blinding_strike","致盲之击"
"specials.name.blinding_wisdom","致盲智者"
"specials.name.blizzard","暴风雪"
"specials.name.blizzard_roar","暴风雪怒吼"
"specials.name.blob_of_fury","愤怒黏团"
"specials.name.blood_illusion","血腥幻象"
"specials.name.blood_petals_of_the_withered","血色花瓣"
"specials.name.blood_sacrifice","血光暴击"
"specials.name.bloodthirst","嗜血"
"specials.name.blooming_growth","茁壮成长"
"specials.name.bludgeoning","夺命重击"
"specials.name.blue_lizard_charge","蓝色变色蜥龙冲锋"
"specials.name.blue_shroom_wand","蓝菇魔杖"
"specials.name.blur_of_steel","剑刃残影"
"specials.name.blur_of_steel_pve","剑刃残影"
"specials.name.boar_call","野猪召唤"
"specials.name.boar_charge","野猪冲锋"
"specials.name.boar_of_fury","狂怒野猪"
"specials.name.boat_ride_from_the_beyond","幽冥摆渡"
"specials.name.bobo_blitz","波波闪电"
"specials.name.bolstering_rush","加速突袭"
"specials.name.bond_of_avarice","贪婪羁绊"
"specials.name.bone_arrow","骨箭"
"specials.name.bone_club_clonk","骨棒重击"
"specials.name.bone_club_party","骨棒派对"
"specials.name.bone_ritual","祭骨仪式"
"specials.name.bone_slam","骸骨猛击"
"specials.name.bone_toss","飞天骸骨"
"specials.name.booming_mend","蓬勃修复"
"specials.name.boon_of_gjallarhorn","加拉尔号角"
"specials.name.boopstrike","碰鼻攻击"
"specials.name.boreal_bash","北地重击"
"specials.name.boulder_smash","巨石冲撞"
"specials.name.bound_by_tales","传说羁绊"
"specials.name.bounty_of_the_spring","春季丰收"
"specials.name.bouquet_of_the_seas","海之花束"
"specials.name.brain_link","大脑连接"
"specials.name.branded_by_fire","火焰烙印"
"specials.name.break_free","挣脱束缚"
"specials.name.break_strike","破裂侵袭"
"specials.name.breaker_blade","突破者之刃"
"specials.name.breaker_blade_pve","突破者之刃"
"specials.name.breath_of_darkness","暗黑吐息"
"specials.name.breath_of_life","生命吐息"
"specials.name.breath_of_the_abyss","深渊吐息"
"specials.name.brides_kiss","新娘之吻"
"specials.name.brilliant_brew","顶级特酿"
"specials.name.bringer_of_order","秩序使者"
"specials.name.brittling_burst","粉碎爆破"
"specials.name.brittling_force","腐朽之力"
"specials.name.brittling_strike","粉碎之击"
"specials.name.bruiser_bros","彪悍兄弟"
"specials.name.brutal_bull_rush","野蛮公牛突袭"
"specials.name.brutal_support","野蛮支援"
"specials.name.buccaneers_blade","海盗之刃"
"specials.name.bugs_shell","昆虫甲壳"
"specials.name.building_blocks_bulklug","构筑模块"
"specials.name.bulwark_charge","坚壁冲锋"
"specials.name.burning_ashes","炙热余烬"
"specials.name.burning_ashes2","炙热余烬"
"specials.name.burning_chains","炙热锁链"
"specials.name.burning_claws_dragon_pve","燃烧之爪"
"specials.name.burning_javelin","炙热标枪"
"specials.name.burning_pollen_dragon_pve","烈焰之翼"
"specials.name.burning_shields","炙热护盾"
"specials.name.burning_spin","燃烧旋击"
"specials.name.burning_strike","炙热侵袭"
"specials.name.burning_thread","炙热纱线"
"specials.name.burning_wok","燃火铁锅"
"specials.name.but_a_scratch","轻轻一抓"
"specials.name.butterfly_swarm","蝴蝶集群"
"specials.name.call_of_the_elements","元素召唤"
"specials.name.call_to_arms","仁义之师"
"specials.name.calling_the_bluff","虚张声势"
"specials.name.calm_jab_dragon_pve","冷静刺击"
"specials.name.calming_mist","镇静迷雾"
"specials.name.camouflage_foliage","伪装树叶"
"specials.name.candy_vines","糖果藤蔓"
"specials.name.cannon_blast","炮火轰击"
"specials.name.cannonball_splash","炮弹水花"
"specials.name.capsicum_charge","辣椒冲锋"
"specials.name.captains_cutlass","船长的弯刀"
"specials.name.captivating_illusions","迷魂幻象"
"specials.name.carnivore_garden","食肉花园"
"specials.name.carve_a_hole","挖个洞"
"specials.name.carve_the_bones","雕刻骸骨"
"specials.name.cascading_darkness","层叠黑暗"
"specials.name.cascading_whirlwind","层叠旋风"
"specials.name.cataclysmic_divination","灾难占卜"
"specials.name.catnip_fury","猫草之怒"
"specials.name.cauterizing_flame","灼烧烈焰"
"specials.name.cauterizing_touch","灼烧触感"
"specials.name.cavalier_hat_of_dark_realm","暗黑王国骑士帽"
"specials.name.celestial_anvil","天之铁砧"
"specials.name.ceremonial_dance","典礼之舞"
"specials.name.chain_blasm_strike","连环轰暴"
"specials.name.chain_lightning","连环闪电"
"specials.name.chain_of_pain","痛苦锁链"
"specials.name.chain_strike","锁链袭击"
"specials.name.chains_of_legion","军团之链"
"specials.name.chains_of_light","光明之链"
"specials.name.chakram_kick","月轮飞踢"
"specials.name.challenge_the_strongest","剑指巅峰"
"specials.name.champion_maneuver","勇士花招"
"specials.name.championship_carrot","冠军胡萝卜"
"specials.name.change_stance","赌徒形态"
"specials.name.channel_ki","气之传导"
"specials.name.channeler_of_the_cats","猫之通灵者"
"specials.name.channeler_of_the_gods","诸神通灵者"
"specials.name.chaos_bolt_volley","混沌闪电齐射"
"specials.name.chaos_venom","混沌毒液"
"specials.name.charged_fireball_dragon_pve","蓄能火球"
"specials.name.charm_of_protection","护身魔符"
"specials.name.charmed_dual_blade","符咒双剑"
"specials.name.charmers_blades","万人迷之刃"
"specials.name.cheerful_charm","欢欣符咒"
"specials.name.cherry_pudding_served","樱桃布丁上桌了！"
"specials.name.chieftains_vengeance","酋长之复仇"
"specials.name.chilling_counterattack","凛冽反击"
"specials.name.chilling_slash","寒冷鞭笞"
"specials.name.chitin_cage","壳质牢笼"
"specials.name.chords_of_distortion","畸变和弦"
"specials.name.chords_of_havoc","毁灭和弦"
"specials.name.chords_of_inferno","地狱和弦"
"specials.name.claw_power","哥布林暴怒"
"specials.name.claw_swipe","利爪之击"
"specials.name.claws_of_fury","愤怒利爪"
"specials.name.claws_of_the_hunter","猎手之爪"
"specials.name.claws_of_the_lioness","雌狮之爪"
"specials.name.claws_of_the_night","暗夜利爪"
"specials.name.claws_of_the_night_ultimate_boss","暗夜利爪"
"specials.name.cleansing_determination","净化的决心"
"specials.name.cleansing_determination_pve","净化的决心"
"specials.name.cleansing_strike","净化打击"
"specials.name.cleave_and_reflect","劈斩反射"
"specials.name.cleave_counter","披荆斩棘"
"specials.name.clever_stratagem","锦囊妙计"
"specials.name.cloak_of_feathers","羽毛披风"
"specials.name.close_order_formation","紧凑阵型"
"specials.name.cloth_of_constellations","星座圣衣"
"specials.name.cloud_axe","云斧"
"specials.name.cloud_hammer","青云之锤"
"specials.name.clowns_blessing","小丑祝福"
"specials.name.coiling_whip","缠绕之鞭"
"specials.name.coins_of_pain","痛苦之币"
"specials.name.cold_blast","暴风雪"
"specials.name.cold_blast_single","凛冽寒风"
"specials.name.cold_command","冷血命令"
"specials.name.cold_fire","幽冥寒焰"
"specials.name.colossal_bite","巨口撕咬"
"specials.name.colossal_carry","巨人主宰"
"specials.name.colossal_chops","巨人削击"
"specials.name.comet","灼热射线"
"specials.name.command_pack","号令群狼"
"specials.name.command_sand_golems","驱使沙魔像"
"specials.name.command_to_advance","大军推进"
"specials.name.command_to_advance_costume_fire_bat","前进命令"
"specials.name.commanders_gauntlet","指挥官护手"
"specials.name.commodores_malice","海军的怨怒"
"specials.name.commodores_revenge","海军复仇"
"specials.name.compact_lance","凝练长枪"
"specials.name.concussive_charge","震荡冲击"
"specials.name.confident_strategy","成竹在胸"
"specials.name.conjure_the_azure_spirit","召唤蔚蓝英灵"
"specials.name.connect_ki","气之通神"
"specials.name.connect_ki_pve","气之通神"
"specials.name.conquerors_command","征服者之令"
"specials.name.constellation_crush","星座碾压"
"specials.name.corals_of_nourishment","营养珊瑚"
"specials.name.core_beam","核心光束"
"specials.name.core_blast","核心爆发"
"specials.name.core_burst","核心爆裂"
"specials.name.corroding_cutlass","腐蚀弯刀"
"specials.name.corrosive_acid","腐蚀酸液"
"specials.name.corrosive_burn_claws_dragon_pve","腐蚀焰爪"
"specials.name.corrosive_claws_dragon_pve","腐蚀毒爪"
"specials.name.corrosive_pollen","腐蚀花粉"
"specials.name.corrupting_idol","腐化神像"
"specials.name.cosmic_clock","宇宙时钟"
"specials.name.cosmic_devotion","宇宙奉献"
"specials.name.countering_hammock","反击吊床"
"specials.name.counterstance","对立状态"
"specials.name.couriers_dash","信使突刺"
"specials.name.cover_slam","掩护抨击"
"specials.name.covert_stab","无情之刺"
"specials.name.cracked_skull_strike","碎颅之击"
"specials.name.crawling_vines","爬藤缠身"
"specials.name.crazed_lunge","狂暴猛冲"
"specials.name.crazed_stampede","疯狂群涌"
"specials.name.creative_hands","创意之手"
"specials.name.creeping_venom","毒液蔓延"
"specials.name.creeping_vines","爬藤蔓延"
"specials.name.crescent_moon_strike","新月打击"
"specials.name.crescent_shield","新月盾"
"specials.name.crescent_spear","新月矛"
"specials.name.crimson_blade","猩红之刃"
"specials.name.crimson_calamity","猩红灾祸"
"specials.name.crimson_calamity2","猩红灾祸"
"specials.name.crippling_claws","致残钩爪"
"specials.name.crippling_claws_pve","致残钩爪"
"specials.name.crippling_grapple","致残打击"
"specials.name.critical_cookout","致命烧烤"
"specials.name.critical_tactics","关键战术"
"specials.name.croc_bite","巨鳄撕咬"
"specials.name.crush_of_avarice","贪婪冲击"
"specials.name.crush_of_hel","冥界之力"
"specials.name.crush_of_malice","怨恨碾压"
"specials.name.crushing_claws","撕碎利爪"
"specials.name.crushing_shot","崩碎射击"
"specials.name.crust_of_divinity","神性之壳"
"specials.name.cry_for_absolution","渴求解脱"
"specials.name.crystal_barrage","水晶壁障"
"specials.name.crystal_bombardment","水晶轰炸"
"specials.name.crystal_embrace","水晶之拥"
"specials.name.crystalis","冰冻结晶"
"specials.name.crystalline_strike","水晶侵袭"
"specials.name.cub_leader_cut","虎王之锋"
"specials.name.cube_of_dark_realm","暗黑王国方块"
"specials.name.cult_of_arachnid","蛛形教派"
"specials.name.cunning_knife","狡猾之刀"
"specials.name.cup_of_mead","满杯蜜酒"
"specials.name.curse_of_sargasso","马尾藻诅咒"
"specials.name.curse_of_the_cephaloid","头足体诅咒"
"specials.name.curse_of_the_depths","深渊的诅咒"
"specials.name.curse_of_the_sea","海之诅咒"
"specials.name.curse_of_the_specter","幽灵的诅咒"
"specials.name.curse_of_the_specter_pve","幽灵的诅咒"
"specials.name.cursed_fumes","诅咒黑雾"
"specials.name.cursed_fumes2","诅咒黑雾"
"specials.name.cursed_garden","厄运花园"
"specials.name.cursed_painting","诅咒之画"
"specials.name.cursed_plan","被诅咒的计划"
"specials.name.cursed_strike","诅咒之袭"
"specials.name.cursed_tail_whip","诅咒尾鞭"
"specials.name.cut_cure_and_craze","斩·愈·狂"
"specials.name.cut_down_the_competition","消减竞争"
"specials.name.cuts_of_hulu","葫芦切片"
"specials.name.dagger_of_shadows","暗影匕首"
"specials.name.dance_of_fire","火之舞"
"specials.name.dance_of_flame","焰之舞"
"specials.name.dance_of_glass","玻璃舞步"
"specials.name.dance_of_ignition","引燃之舞"
"specials.name.dance_of_siegfried","齐格弗里德之舞"
"specials.name.dance_of_spirits","英灵之舞"
"specials.name.dance_of_the_dunes","沙丘之舞"
"specials.name.dance_of_the_heron","苍鹭之舞"
"specials.name.dance_of_the_little_swan","小天鹅之舞"
"specials.name.dance_of_the_queen","女王之舞"
"specials.name.dance_of_the_raven","黑天鹅之舞"
"specials.name.dance_of_the_slimy","黏液之舞"
"specials.name.dance_of_the_swan","天鹅之舞"
"specials.name.dance_of_the_yellow_swan","光明天鹅之舞"
"specials.name.dance_of_toons","卡通之舞"
"specials.name.dancestance","曼妙舞姿"
"specials.name.dancing_dodge","飞身闪避"
"specials.name.dancing_slash","旋舞斩"
"specials.name.dantes_inferno","但丁的地狱"
"specials.name.dark_barrage","暗夜连击"
"specials.name.dark_bolt","黑暗弩箭"
"specials.name.dark_lord","毁灭一击"
"specials.name.dark_mirror","火焰之镜"
"specials.name.dark_orb","黑暗宝珠"
"specials.name.dark_shock","暗黑冲击"
"specials.name.darts_of_the_deep","深渊飞镖"
"specials.name.dauntless_bladestorm","无畏剑刃风暴"
"specials.name.dawn_strike","破晓袭击"
"specials.name.dawnlight_rally","黎明集结"
"specials.name.day_of_judgement","审判之日"
"specials.name.day_of_reckoning","清算之日"
"specials.name.dazzling_gleam","炫目光芒"
"specials.name.dazzling_grin","邪魅一笑"
"specials.name.deadly_claw","致命利爪"
"specials.name.deadly_constriction","致命坍缩"
"specials.name.deadly_riposte","致命反击"
"specials.name.deadly_sting","致命蛰刺"
"specials.name.deathly_glaive","索命阔剑"
"specials.name.deathstrike","死亡打击"
"specials.name.debt_drain_boboosang","噬债之触"
"specials.name.deceiving_glow","光晕陷阱"
"specials.name.deceptive_smalltalk","花言巧语"
"specials.name.deep_sea_ritual","深海仪式"
"specials.name.defensive_tactics","防御战术"
"specials.name.delay_the_inevitable","续命之术"
"specials.name.delicious_demise","美味消亡"
"specials.name.delicious_idol","美味偶像"
"specials.name.demolishing_crush","摧毁碎击"
"specials.name.demoralizing_banter","打击戏谑"
"specials.name.depth_blast","纵深轰炸"
"specials.name.deranged_existence","癫狂存在"
"specials.name.desert_blessing","沙漠祝福"
"specials.name.destructive_strike","三叉戟之刺"
"specials.name.deteriorating_morale","重挫士气"
"specials.name.devastating_slash","毁灭斩击"
"specials.name.devastating_thrust","毁灭突刺"
"specials.name.dewling_strike","滴露猛击"
"specials.name.dewling_sweep","滴露横扫"
"specials.name.dewling_warcry","滴露战吼"
"specials.name.dig_a_hole","挖地掘进"
"specials.name.dire_ghost","恐怖幽灵"
"specials.name.directors_blessing","主管的祝福"
"specials.name.directors_blessing_pve","主管的祝福"
"specials.name.disabling_decree","禁止法令"
"specials.name.disabling_study","禁用研究"
"specials.name.disarming_gaze_dragon_pve","缴械凝视"
"specials.name.disheartening_riddle","沮丧之谜"
"specials.name.dishonorable_ploy","阴谋诡计"
"specials.name.disir_of_dreams","梦境狄希尔"
"specials.name.disir_of_dusk","暮光狄希尔"
"specials.name.dispelling_curse","驱散恶咒"
"specials.name.dispelling_judgement","驱散审判"
"specials.name.dispelling_potion","驱散药水"
"specials.name.dispelling_strike","驱散之击"
"specials.name.dispelling_willpower","驱散意志力"
"specials.name.dispelling_willpower_pve","驱散意志力"
"specials.name.disquieting_tune","恐慌曲调"
"specials.name.disrupting_charge","破军冲锋"
"specials.name.disrupting_charge_costume_tiger_lord","毁灭冲锋"
"specials.name.divine_connection","神圣链接"
"specials.name.divine_light1","神圣之光"
"specials.name.divine_lunge","神圣冲刺"
"specials.name.divine_protection","天使之护"
"specials.name.divine_protection_deadly","天使之护"
"specials.name.divine_reflection","神圣反射"
"specials.name.divine_reversal","神圣反转"
"specials.name.dizzying_strike","眩晕之击"
"specials.name.donut_to_the_rescue","甜甜圈来救援啦！"
"specials.name.doomstrike","毁灭一击"
"specials.name.double_flail_mayhem","双连枷乱斗"
"specials.name.double_strike","双重打击"
"specials.name.doublebarreled_starstick","双管星铳"
"specials.name.dozy_mead","困倦蜜酒"
"specials.name.dragon_autumn_blaze","秋日烈焰"
"specials.name.dragon_blaze_of_fatigue","疲惫之火"
"specials.name.dragon_blaze_of_mortality","死亡之火"
"specials.name.dragon_blaze_of_protection","守护之火"
"specials.name.dragon_blaze_of_suppression","压制之焰"
"specials.name.dragon_blaze_of_the_hydra","多头蛇之火"
"specials.name.dragon_blaze_of_the_undying","不死者的光辉"
"specials.name.dragon_blaze_of_torment","折磨之火"
"specials.name.dragon_blazing_inferno","炽焰炼狱"
"specials.name.dragon_blazing_storm","炽焰风暴"
"specials.name.dragon_blinding_blaze","致盲烈焰"
"specials.name.dragon_breath_of_bulwark","坚壁吐息"
"specials.name.dragon_breath_of_compassion","怜悯之息"
"specials.name.dragon_breath_of_nourishment","滋养吐息"
"specials.name.dragon_breath_of_retribution","惩戒之息"
"specials.name.dragon_breath_of_revival","复苏之息"
"specials.name.dragon_cauterizing_blaze","烧灼烈焰"
"specials.name.dragon_charring_blaze","焦烤烈焰"
"specials.name.dragon_claws","龙爪之击"
"specials.name.dragon_cleansing_flame","净化火焰"
"specials.name.dragon_corrosive_blaze","腐蚀烈焰"
"specials.name.dragon_cracking_blaze","爆裂火焰"
"specials.name.dragon_crashing_blaze","粉碎烈焰"
"specials.name.dragon_crippling_blaze","致残火焰"
"specials.name.dragon_crushing_blaze","毁灭烈焰"
"specials.name.dragon_dampening_blaze","抑制烈焰"
"specials.name.dragon_dazing_blaze","炫目烈焰"
"specials.name.dragon_delivery_service","巨龙速递服务"
"specials.name.dragon_destabilizing_blaze","动荡烈焰"
"specials.name.dragon_devastating_blaze","破坏烈焰"
"specials.name.dragon_disarming_blaze","卸甲火焰"
"specials.name.dragon_draining_blaze","抽灼之焰"
"specials.name.dragon_empowering_breath","赋能吐息"
"specials.name.dragon_esoteric_flame","奥秘火焰"
"specials.name.dragon_fang","龙之牙"
"specials.name.dragon_fiery_blaze","炽烈之焰"
"specials.name.dragon_flames_of_acceleration","加速之焰"
"specials.name.dragon_fortifying_flame","固化火焰"
"specials.name.dragon_inspirational_breath","鼓舞吐息"
"specials.name.dragon_mana_infused_breath","注魔吐息"
"specials.name.dragon_mindless_blaze","莽夫火焰"
"specials.name.dragon_novices_blaze","新手之焰"
"specials.name.dragon_pacifying_breath","安抚吐息"
"specials.name.dragon_protective_breath","保护吐息"
"specials.name.dragon_rallying_breath","鼓舞之息"
"specials.name.dragon_resuscitating_breath","复活吐息"
"specials.name.dragon_revitalizing_breath","复苏吐息"
"specials.name.dragon_sacred_flame","神圣火焰"
"specials.name.dragon_sacred_flame_harmonis","神圣火焰"
"specials.name.dragon_searing_blaze","灼热烈焰"
"specials.name.dragon_shielding_breath","屏蔽呼吸"
"specials.name.dragon_shocking_blaze","震雷烈焰"
"specials.name.dragon_spring_breath","春日吐息"
"specials.name.dragon_strengthening_flame","强化火焰"
"specials.name.dragon_summer_blaze","夏日烈炎"
"specials.name.dragon_volcanic_blaze","火山烈焰"
"specials.name.dragon_weakening_blaze","虚弱之焰"
"specials.name.dragon_weakening_blaze_ashenheart","虚弱之焰"
"specials.name.dragon_wounding_blaze","创伤之焰"
"specials.name.dragon_wrecking_blaze","毁灭火焰"
"specials.name.drain_strike","枯竭打击"
"specials.name.draining_blade","侵蚀之刃"
"specials.name.drawn_to_the_depths","深渊诱引"
"specials.name.dread_hammer","煞影之锤"
"specials.name.dreaded_swords","煞影之剑"
"specials.name.dreaded_waters","梦魇水域"
"specials.name.dreadful_riddle","恐怖谜语"
"specials.name.dreadstrike","恐吓打击"
