"quests.name.ancient_dragon","Kadim Yer Altı Kökü"
"quests.name.owl","Baykuş Kulesi"
"quests.name.owl_impossible","Baykuş Kulesi: İmkansız"
"quests.name.recruits","Asker bul"
"quests.name.recruits_uncommon","Asker bul II"
"quests.name.scavenging","Çöpçü Kaynakları"
"quests.name.shadow_quest","Derinliğin Gölgeleri"
"quests.name.slayers","Merhametsiz Gölgelerin Katilleri"
"quests.name.spring_2018","Bahar Vadisi Festivali"
"quests.name.starter","Başlangıç Görevi"
"quests.name.styx","Stiks Kulesi"
"quests.name.styx_impossible","Stiks Kulesi: İmkansız"
"quests.name.summer_2018","Kum İmparatorluğu"
"quests.name.super_class_barbarian","Usta Barbar Sınamaları"
"quests.name.super_class_cleric","Usta Ruhban Sınamaları"
"quests.name.super_class_druid","Usta Rahip Sınamaları"
"quests.name.super_class_fighter","Usta Dövüşçü Sınamaları"
"quests.name.super_class_monk","Usta Keşiş Sınamaları"
"quests.name.super_class_paladin","Usta Paladin Sınamaları"
"quests.name.super_class_ranger","Usta Bekçi Sınamaları"
"quests.name.super_class_rogue","Usta Düzenbaz Sınamaları"
"quests.name.super_class_sorcerer","Usta Büyücü Sınamaları"
"quests.name.super_class_wizard","Usta Sihirbaz Sınamaları"
"quests.name.super_elemental","Elementler Yarışması"
"quests.name.treasure_quest","Hazine Görevi"
"quests.name.valentines","Aşk Mevsimi"
"quests.name.villains","Kötü Adamlar Ligi"
"quests.name.xmas_2017","Kışı Kurtar"
"quests.name.xmas_2018","Noel Baba Mücadelesi"
"quests.name.xp","Deneyim kazan"
"quests.special_rule.name.assist_dragon_mastery","Yardımcı Ejderha Ustalığı"
"quests.special_rule.name.astralelves","Astral Elfler"
"quests.special_rule.name.covenant","Şampiyonlar Paktı"
"quests.special_rule.name.event_bonus","Etkinlik Kahramanı Bonusu"
"quests.special_rule.name.family_bonus","Öne Çıkan Aileler"
"quests.special_rule.name.goblin","Goblin Köyü"
"quests.special_rule.name.hero_roster_mastery","Kahraman Kadrosu Ustalığı"
"quests.special_rule.name.magiccurse","Büyü Laneti"
"quests.special_rule.name.onicurse","Oni Laneti"
