"herocard.family.title.abyss","Unterwildnis-Familie"
"herocard.family.title.outlaw.short","Gesetzlose der Liangshan"
"herocard.family.title.owl","Eulenfamilie"
"herocard.family.title.owl.short","Eule"
"herocard.family.title.pirate","Piraten-Familie"
"herocard.family.title.pirate.short","Pirat"
"herocard.family.title.plains_hunter","Ebenenjäger-Familie"
"herocard.family.title.plains_hunter.short","Ebenenjäger"
"herocard.family.title.raven","Rabenfamilie"
"herocard.family.title.raven.short","Rabe"
"herocard.family.title.raven_pve.short","Rabe"
"herocard.family.title.sand","Sandimperium-Familie"
"herocard.family.title.sand.short","Sandimperium"
"herocard.family.title.shady_scoundrels","„Zwielichtige Halunken“-Familie"
"herocard.family.title.shady_scoundrels.short","Zwielichtige Halunken"
"herocard.family.title.slayers","Töterfamilie"
"herocard.family.title.slayers.short","Töter"
"herocard.family.title.slime","Schleimfamilie"
"herocard.family.title.slime.short","Schleim"
"herocard.family.title.stag","Hirschfamilie"
"herocard.family.title.stag.short","Hirsch"
"herocard.family.title.stag_pve.short","Hirsch"
"herocard.family.title.styx","Styx-Familie"
"herocard.family.title.styx.short","Styx"
"herocard.family.title.sun","Sonnen-Familie"
"herocard.family.title.sun.short","Sonne"
"herocard.family.title.super_elemental","Superelementar-Familie"
"herocard.family.title.super_elemental.short","Superelementar"
"herocard.family.title.svartalfheim","Svartalfheim-Reich"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","„Albträume von Atlantis“-Familie"
"herocard.family.title.tales1_baddies.short","Albträume von Atlantis"
"herocard.family.title.tales1_goodies","„Verteidiger von Atlantis“-Familie"
"herocard.family.title.tales1_goodies.short","Verteidiger von Atlantis"
"herocard.family.title.vanaheim","Vanaheim-Reich"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","„Geschicktes Gemüse“-Familie"
"herocard.family.title.vegetable.short","Geschicktes Gemüse"
"herocard.family.title.villains","Schurkenfamilie"
"herocard.family.title.villains.short","Schurke"
"herocard.family.title.wild_cat","„Wildkatze“-Familie"
"herocard.family.title.wild_cat.short","Wildkatze"
"herocard.family.title.winter","Winterfamilie"
"herocard.family.title.winter.short","Winter"
"herocard.family.title.wolf","Wolfsfamilie"
"herocard.family.title.wolf.short","Wolf"
"herocard.family.title.wolf_pve.short","Wolf"
"herocard.family.title.wonderland","Wunderland-Familie"
"herocard.family.title.wonderland.short","Wunderland"
"herocard.family.title.zodiac","Mondneujahr-Familie"
"herocard.family.title.zodiac.short","Mondneujahr"
