"herocard.passive_skill.description.addmana.all.allies","Todos os aliados recebem uma pequena quantidade de mana."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn"," Quando este personagem lança a habilidade especial e atinge um personagem com mais PV do que ele, recebe {PASSIVESKILL1HEALTHBOOST}% de vida reforçada.
 Quando este personagem é atingido pela  habilidade especial de um personagem com mais PV que ele, recebe {PASSIVESKILL2POWER}% de mana.
 Cada um destes efeitos pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Quando recebe dano de habilidades especiais, este personagem recebe {POWER}% de mana."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","Quando recebe dano direto de habilidades especiais ou ataques normais, este personagem recebe uma pequena quantidade de mana.
Limite de {MAXMANAGAINPERTURN}% de mana por turno."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Quando este personagem recebe dano de habilidades especiais ou por um personagem com Cobertura, tem {CHANCE}% de chance de aplicar {POWER}% do dano recebido a todos os inimigos."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Quando este personagem recebe dano de habilidades especiais, ganha uma acumulação de {STATUSEFFECT1ATTACK}% do ataque (máx.: {STATUSEFFECT1MAXSTACK}). É possível ganhar uma acumulação por turno."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Quando este personagem recebe dano de habilidades especiais, ganha uma acumulação de {STATUSEFFECT1ATTACK}% do ataque (máx.: {STATUSEFFECT1MAXSTACK}). É possível ganhar uma acumulação por turno."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Quando um aliado tenta expurgar usando Habilidades Especiais, todos os aliados recebem {POWER} de vida reforçada. Este efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Quando um inimigo tenta expurgar usando Habilidades Especiais, todos os inimigos recebem {POWER} de dano. Este efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Este personagem recebe {POWER}% de mana toda vez que um reforço dele é dissipado. Esse efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Este personagem recebe {POWER}% de vida cada vez que um mal de status dele expira ou é expurgado, removido ou transferido. Esse efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Este personagem tem {CHANCE}% de chance de receber {POWER}% de vida cada ez que um mal de status dele expira ou é expurgado, removido ou transferido. Esse efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Este personagem recebe {POWER} de vida reforçada cada vez que um reforço é dissipado dele. Esse efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Cada acerto dos ajudantes do personagem causa {DAMAGE} de dano de Neve ao longo de {TURNS} turnos."
"herocard.passive_skill.description.effectonheal.addmana","Este personagem recebe {POWER}% de mana sempre que recupera vida."
"herocard.passive_skill.description.effectonheal.heal","Este personagem recebe {POWER}% de vida sempre que recupera vida."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Este personagem recebe {POWER}% de vida sempre que recupera vida."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Este personagem recebe {HEALTHBOOST}% de vida reforçada e {MANA}% de mana ao resistir."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Este personagem ganha {POWER}% de mana cada vez que um inimigo lança uma habilidade especial que reforça diretamente a vida."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Este personagem recebe {POWER} de vida reforçada cada vez que um inimigo lança uma habilidade especial que reforça diretamente a vida."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE}% de chance de realizar as seguintes ações quando este personagem usa a habilidade especial:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Ao causar um acerto crítico com a habilidade especial, este personagem expurga com segurança o mal de status expurgável mais recente de todos os aliados."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Ao causar um acerto crítico com a habilidade especial, este personagem reforça em {HEALTHBOOST}% a vida de todos os aliados."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Ao causar um acerto crítico com a habilidade especial, este personagem reforça em {HEALTHBOOST}% a vida de todos os aliados."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Quando um inimigo lança a própria habilidade especial, este personagem tem {CHANCE}% de chance de reforçar a própria vida em {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","Quando este personagem lança a habilidade especial, tem {CHANCE}% de chance de dar {POWER}% de mana a todos os aliados. Quando a habilidade especial está totalmente carregada, a chance é de {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","Quando este personagem lança a habilidade especial, tem {CHANCE}% de chance de dar {POWER}% de mana a todos os aliados que não são do elemento Gelo. Quando a habilidade especial está totalmente carregada, a chance é de {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Ao lançar a habilidade especial, este personagem dissipa o reforço de efeito de status mais recente de todos os inimigos."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Ao lançar a habilidade especial, este personagem expurga o mal de status mais recente de todos os aliados."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","Quando este personagem lança a habilidade especial, tem {CHANCE}% de chance de causar {POWER}% de dano a todos os inimigos. Quando a habilidade especial está totalmente carregada, a chance é de {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","Quando este personagem lança a habilidade especial, tem {CHANCE}% de chance de causar {POWER}% de dano a todos os inimigos que não são do elemento Trevas. Quando a habilidade especial está totalmente carregada, a chance é de {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","Quando este personagem lança a habilidade especial, tem {CHANCE}% de chance de causar {POWER}% de dano a todos os inimigos que não são do elemento Fogo. Quando a habilidade especial está totalmente carregada, a chance é de {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","Quando este personagem lança a habilidade especial, tem {CHANCE}% de chance de restaurar {POWER}% da vida de todos os aliados. Quando a habilidade especial está totalmente carregada, a chance é de {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","Quando este personagem lança a habilidade especial, tem tem {CHANCE}% de chance de restaurar {POWER}% da vida de todos os aliados que não são do elemento Natureza. Quando a habilidade especial está totalmente carregada, a chance é de {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","Quando este personagem lança a habilidade especial, tem {CHANCE}% de chance de restaurar {POWER}% da vida de todos os aliados que não são do elemento Fogo. Quando a habilidade especial está totalmente carregada, a chance é de {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","Quando este personagem lança a habilidade especial, tem {CHANCE}% de chance de restaurar {POWER}% da vida de todos os aliados que não são do elemento Luz. Quando a habilidade especial está totalmente carregada, a chance é de {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Ao lançar a habilidade especial, este personagem reforça em {POWER}% a vida de todos os aliados."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Quando um inimigo com velocidade de mana Normal ou mais rápida lança uma habilidade especial, todos os inimigos recebem {DAMAGE} de dano. Este efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Sempre que um inimigo recebe o efeito de status Provocar, o mana deste personagem aumenta em {POWER}%."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Este personagem ganha {POWER}% de mana quando um inimigo recebe um reforço de efeito de status que afeta a defesa. Esse efeito só pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Este personagem ganha {POWER}% de mana ao receber um reforço ou uma acumulação positiva."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Este personagem ganha {POWER}% de mana quando recebe um mal de status ou uma acumulação negativa."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Este personagem recupera {POWER}% de vida ao receber um reforço ou uma acumulação positiva."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Este personagem recupera {POWER}% de vida ao receber um mal de status ou uma acumulação negativa."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Este personagem recupera {POWER} PV ao receber um mal de status ou uma acumulação negativa."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Este personagem tem {CHANCE}% de chance to ganhar {POWER}% de mana ao receber um reforço ou uma acumulação positiva."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Este personagem tem {CHANCE}% de chance to recuperar {POWER}% de vida ao receber um reforço ou uma acumulação positiva."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Este personagem tem {CHANCE}% de chance to recuperar {POWER}% de vida ao receber um reforço ou uma acumulação positiva."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Revive os aliados derrotados próximos com {POWER}% de PV a cada {TURNS}."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Ganha uma pequena quantidade de mana por cada reforço de efeito de status ativo da equipe inimiga no início de cada turno (limite de {MAXSTATUSEFFECTCOUNT} reforços)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Reforça a vida deste personagem e dos aliados próximos em {INCREMENTPERSTATUSEFFECT1}% por cada inimigo afetado por Veneno no início de cada turno. A vida reforçada pode exceder o limite de PV."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Quando um ajudante é convocado para um aliado, este personagem ganha {POWER}% de mana. Este efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Quando um ajudante é convocado para qualquer aliado, este personagem ganha {HEALTH}% de vida e {MANA}% de mana. Este efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Quando um demônio é convocado para qualquer inimigo, este personagem ganha {POWER}% de mana. Este efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Quando um demônio é convocado para qualquer inimigo, este personagem causa {DAMAGE}% de dano a todos os inimigos. Este efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Quando um demônio é convocado para qualquer inimigo, este personagem recebe {POWER} de vida reforçada. Este efeito pode ser ativado uma vez por turno."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE}% de chance de realizar ações adicionais quando este personagem usa a habilidade especial:"
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion"," Todos os ajudantes dos inimigos têm {MINIONMODIFIER}% de precisão.
 Todos os ajudantes mega dos inimigos têm {MEGAMINIONMODIFIER}% de precisão."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","O núcleo de construto deste personagem é um núcleo de ajudante.

O núcleo de ajudante é ativado sempre que a habilidade especial deste personagem é lançada:

 Com um núcleo de ajudante totalmente carregado, convoca um ajudante Bot Assassino com {FAMILIARHEALTHPERCENT}% de HP e {FAMILIARATTACK}% de ataque do invocador para todos os aliados.
 O total de PV e ataque herdados do invocador são calculados de acordo com a quantidade de carga do núcleo. Toda a carga é consumida quando o núcleo é ativado.
 Antes de atingir um alvo, o Bot Assassino destrói todos os ajudantes do alvo e causa dano aos ajudantes mega."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Os ajudantes mega inimigos têm {HEALTHMODIFIER}% de PV."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Os ajudantes inimigos têm {HEALTHMODIFIER}% de PV."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Os ajudantes mega inimigos não podem atacar nem usar habilidades."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Os ajudantes inimigos não podem atacar nem usar habilidades."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Este personagem ganha {POWER}% de mana sempre que um inimigo recebe dano de neve."
"herocard.passive_skill.description.growth","O ataque básico e a defesa básica deste Herói aumentam em {STATINCREASE} a cada turno por {MAXACTIVATIONCOUNT} turnos."
"herocard.passive_skill.description.guaranteedeffectonspecial","Quando este personagem lança a habilidade especial, todas as Habilidades Passivas dele que concedem efeitos adicionais no lançamento são ativadas."
"herocard.passive_skill.description.heal.all.allies","Restaura {HEALTH}% da vida de todos os aliados."
"herocard.passive_skill.description.healmodifier","{HEALMULTIPLIER}% mais cura recebida."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Todos os inimigos recebem {HEALMULTIPLIER}% de cura."
"herocard.passive_skill.description.healmodifier.decrease","{HEALMULTIPLIER}% menos cura recebida."
"herocard.passive_skill.description.healonheal.can_stack.heal","Este personagem recebe {POWER}% de vida sempre que recupera vida."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Este personagem recupera {HEALTH} de vida quando um ajudante dele é destruído."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Este personagem recupera {HEALTH} de vida reforçada quando um ajudante dele é destruído."
"herocard.passive_skill.description.healthboost.all.allies","Aumenta a vida de todos os aliados em {HEALTHBOOST}%. A vida reforçada pode exceder o limite de PV."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","No início de cada batalha, o ataque deste personagem é aumentado em {ATTACK}% para cada inimigo que não for do elemento Natureza. Nas batalhas com várias ondas, o efeito é reaplicado no início de cada onda."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","O ataque deste personagem é aumentado em {ATTACK}% para cada inimigo vivo que não for do elemento Natureza. O efeito é reaplicado no início de cada onda. (Atualmente: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","No início de cada batalha, o ataque deste personagem é aumentado em {ATTACK}% para cada inimigo que não for do elemento Fogo. Nas batalhas com várias ondas, o efeito é reaplicado no início de cada onda."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","O ataque deste personagem é aumentado em {ATTACK}% para cada inimigo vivo que não for do elemento Fogo. O efeito é reaplicado no início de cada onda. (Atualmente: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Causa {DAMAGEMULTIPLIER}% mais dano a ajudantes."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Este personagem causa {DAMAGEMULTIPLIER}% de dano a todos os ajudantes e ajudantes mega."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Os acertos da habilidade especial deste personagem são {POWERADDITION}% potentes quando o alvo tem Provocar."
"herocard.passive_skill.description.increasespecialdamage","Nas primeiras {MAXACTIVATIONCOUNT} vezes que lança uma habilidade especial que causa dano, este personagem ganha {POWERADDITION}% de poder."
"herocard.passive_skill.description.increasespecialdamage.usable_once","Ao lançar pela primeira vez uma habilidade especial que cause dano, este personagem ganha {POWERADDITION}% de poder."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Sempre que lança uma habilidade especial que causa dano, este personagem ganha {POWERADDITION}% de poder."
"herocard.passive_skill.description.insanitydamagereduction","Todo o dano recebido por este personagem é reduzido em {DAMAGEREDUCTION}% por {DISPLAYSCALE} Insanidade no personagem, até o limite de redução de {MAXDAMAGEREDUCTION}%."
"herocard.passive_skill.description.iterateeffectonspecial","Quando este personagem lança a habilidade especial, todas as Habilidades Passivas dele que concedem efeitos adicionais no lançamento têm {APPLYCOUNT} chances de serem ativadas."
"herocard.passive_skill.description.league.featured_family","Este herói faz parte de uma família em destaque!"
"herocard.passive_skill.description.league.non_featured_family","Este herói não faz parte de uma família em destaque!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER}% de precisão contra heróis de famílias em destaque."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","As curas que afetam membros das famílias em destaque têm {POWERMULTIPLIER}% de eficácia."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER}% de dano recebido de famílias que não estão em destaque."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER}% de geração de mana."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Reduz em {MODIFIER}% a quantidade de mana que as habilidades especiais aumentam. O efeito se aplica a todos os inimigos na batalha."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","Reduz em {MODIFIER}% a quantidade de mana que habilidades especiais, habilidades passivas, bônus familiares e efeitos de status aumentam. O efeito se aplica a todos os inimigos na batalha."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","Reduz em {MODIFIER}% a quantidade de mana que habilidades especiais, habilidades passivas, bônus familiares e efeitos de status aumentam. O efeito se aplica a todos os inimigos na batalha."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Este personagem ganha uma pequena quantidade de mana quando um ajudante dele é destruído."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Este personagem tem a habilidade inata de Memorizar qualquer ajudante ou demônio convocado pelas Habilidades Especiais dos inimigos. O último ajudante e o último demônio convocados pelos inimigos ficam memorizados até que a habilidade especial seja lançada."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Este personagem tem a habilidade inata de Memorizar qualquer ajudante ou demônio convocado pelas Habilidades Especiais dos inimigos. Os últimos {0} ajudantes e demônios convocados pelos inimigos ficam memorizados até que a habilidade especial seja lançada."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","Este personagem tem a habilidade inata de Memorizar qualquer ajudante ou demônio convocado pelas Habilidades Especiais dos inimigos. Os últimos {0} ajudantes e demônios convocados pelos inimigos ficam memorizados até que a habilidade especial seja lançada."
"herocard.passive_skill.description.memorizestatuseffects","Este personagem tem a capacidade inata de Memorizar males de status. O último mal de status lançado no personagem é memorizado até que a habilidade especial seja lançada. Apenas males de status com duração limitada podem ser memorizados."
"herocard.passive_skill.description.memorizestatuseffects#2","Este personagem tem a capacidade inata de memorizar males de status. Os últimos {0} males de status lançados no personagem são memorizados até que a habilidade especial seja lançada. Apenas males de status com duração limitada podem ser memorizados."
"herocard.passive_skill.description.memorizestatuseffects#3","Este personagem tem a capacidade inata de memorizar males de status. Os últimos {0} males de status lançados no personagem são memorizados até que a habilidade especial seja lançada. Apenas males de status com duração limitada podem ser memorizados."
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_blue","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

*****
 Éter Alfa
 Éter de Gelo III

****
 Éter de Gelo II

***
 Éter de Gelo I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_green","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

*****
 Éter Alfa
 Éter de Natureza III

****
 Éter de Natureza II

***
 Éter de Natureza I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_purple","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

*****
 Éter Alfa
 Éter de Trevas III

****
 Éter de Trevas II

***
 Éter de Trevas I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_red","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

*****
 Éter Alfa
 Éter de Fogo III

****
 Éter de Fogo II

***
 Éter de Fogo I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_yellow","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

*****
 Éter Alfa
 Éter de Luz III

****
 Éter de Luz II

***
 Éter de Luz I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_blue","Esta mimese dá a chance de encontrar espólios adicionais ao completar fases:

****
 Lâmina damasco
 Tomo de tática
 Telescópio da visão

***
 Luvas excelentes
 Bússola
 Capa aconchegante
 Manual de batalha
 Botas altas
 Cota de malha

**
 Corda forte"
