"herocard.family.title.abyss","地底荒野家族"
"herocard.family.title.hotm","傳奇{0}家族"
"herocard.family.title.hotm.short","傳奇{0}"
"herocard.family.title.institute","學院家族"
"herocard.family.title.institute.short","學院"
"herocard.family.title.investigator","調查者家族"
"herocard.family.title.investigator.short","調查者"
"herocard.family.title.japanese","櫻花家族"
"herocard.family.title.japanese.short","櫻花"
"herocard.family.title.jotunheim","約頓海姆王國"
"herocard.family.title.jotunheim.short","約頓海姆"
"herocard.family.title.journey","旅程家族"
"herocard.family.title.journey.short","旅程"
"herocard.family.title.jungle_hunter","叢林獵人家族"
"herocard.family.title.jungle_hunter.short","叢林獵人"
"herocard.family.title.kalevala","卡勒瓦拉家族"
"herocard.family.title.kalevala.short","卡勒瓦拉"
"herocard.family.title.kingdom","王國家族"
"herocard.family.title.kingdom.short","王國"
"herocard.family.title.knight","阿瓦隆家族"
"herocard.family.title.knight.short","阿瓦隆"
"herocard.family.title.lagoon","環礁湖家族"
"herocard.family.title.lagoon.short","環礁湖"
"herocard.family.title.magic","魔法家族"
"herocard.family.title.magic.short","魔法"
"herocard.family.title.magic_carpet","魔毯家族"
"herocard.family.title.magic_carpet.short","魔毯"
"herocard.family.title.mahayoddha","瑪哈悠達家族"
"herocard.family.title.mahayoddha.short","瑪哈悠達"
"herocard.family.title.masquerade","蒙面之神家族"
"herocard.family.title.masquerade.short","蒙面之神"
"herocard.family.title.masquerade_pve","蒙面之神家族"
"herocard.family.title.masquerade_pve.short","蒙面之神"
"herocard.family.title.midgard","密德嘉王國"
"herocard.family.title.midgard.short","密德嘉"
"herocard.family.title.mighty_pet","強大寵物家族"
"herocard.family.title.mighty_pet.short","強大寵物"
"herocard.family.title.mimic","模仿怪家族"
"herocard.family.title.mimic.short","模仿怪"
"herocard.family.title.moon","明月家族"
"herocard.family.title.moon.short","明月"
"herocard.family.title.moths","飛蛾家族"
"herocard.family.title.moths.short","飛蛾"
"herocard.family.title.musketeer","火槍手家族"
"herocard.family.title.musketeer.short","火槍手"
"herocard.family.title.muspelheim","穆斯貝爾海姆王國"
"herocard.family.title.muspelheim.short","穆斯貝爾海姆"
"herocard.family.title.myrkheim","米爾克海姆"
"herocard.family.title.myrkheim.short","米爾克海姆"
"herocard.family.title.mystery","神秘家族"
"herocard.family.title.mystery.short","神秘"
"herocard.family.title.nidavellir","尼達維爾王國"
"herocard.family.title.nidavellir.short","尼達維爾"
"herocard.family.title.niflheim","尼弗爾海姆王國"
"herocard.family.title.niflheim.short","尼弗爾海姆"
"herocard.family.title.ninja","忍者家族"
"herocard.family.title.ninja.short","忍者"
"herocard.family.title.ninja2","忍者家族"
"herocard.family.title.ninja2.short","忍者"
"herocard.family.title.opera","歌劇家族"
"herocard.family.title.opera.short","歌劇"
"herocard.family.title.outlaw","梁山好漢家族"
"herocard.family.title.outlaw.short","梁山好漢"
"herocard.family.title.owl","貓頭鷹家族"
"herocard.family.title.owl.short","貓頭鷹"
"herocard.family.title.pirate","海盜家族"
"herocard.family.title.pirate.short","海盜"
"herocard.family.title.plains_hunter","平原獵人家族"
"herocard.family.title.plains_hunter.short","平原獵人"
"herocard.family.title.raven","渡鴉家族"
"herocard.family.title.raven.short","渡鴉"
"herocard.family.title.raven_pve.short","渡鴉"
"herocard.family.title.sand","飛沙帝國家族"
"herocard.family.title.sand.short","飛沙帝國"
"herocard.family.title.slayers","殺手家族"
"herocard.family.title.slayers.short","殺手"
"herocard.family.title.slime","史萊姆家族"
"herocard.family.title.slime.short","史萊姆"
"herocard.family.title.stag","雄鹿家族"
"herocard.family.title.stag.short","雄鹿"
"herocard.family.title.stag_pve.short","雄鹿"
"herocard.family.title.styx","冥河家族"
"herocard.family.title.styx.short","冥河"
"herocard.family.title.sun","烈日家族"
"herocard.family.title.sun.short","烈日"
"herocard.family.title.super_elemental","超級元素家族"
"herocard.family.title.super_elemental.short","超級元素"
"herocard.family.title.svartalfheim","斯瓦塔爾法海姆王國"
"herocard.family.title.svartalfheim.short","斯瓦塔爾法海姆"
"herocard.family.title.tales1_baddies","亞特蘭蒂斯家族的夢魘"
"herocard.family.title.tales1_baddies.short","亞特蘭蒂斯的夢魘"
"herocard.family.title.tales1_goodies","亞特蘭蒂斯家族衛士"
"herocard.family.title.tales1_goodies.short","亞特蘭蒂斯衛士"
"herocard.family.title.vanaheim","華納海姆王國"
"herocard.family.title.vanaheim.short","華納海姆"
"herocard.family.title.vegetable","英勇蔬菜家族"
"herocard.family.title.vegetable.short","英勇蔬菜"
"herocard.family.title.villains","惡棍家族"
"herocard.family.title.villains.short","惡棍"
"herocard.family.title.wild_cat","野貓家族"
"herocard.family.title.wild_cat.short","野貓"
"herocard.family.title.winter","冬季家族"
"herocard.family.title.winter.short","冬季"
"herocard.family.title.wolf","惡狼家族"
"herocard.family.title.wolf.short","惡狼"
"herocard.family.title.wolf_pve.short","惡狼"
"herocard.family.title.wonderland","仙境家族"
"herocard.family.title.wonderland.short","仙境"
"herocard.family.title.zodiac","農曆年家族"
"herocard.family.title.zodiac.short","農曆新年"
