"herocard.passive_skill.description.addmana.all.allies","Alla allierade får lite mana."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","När den här karaktären använder sin specialförmåga har den {CHANCE} % chans att ge {POWER} % hälsa till alla allierade som inte har eldelement. Med en fullt uppladdad specialförmåga är chansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","När den här karaktären använder sin specialförmåga har den {CHANCE} % chans att ge {POWER} % hälsa till alla allierade som inte har heligt element. Med en fullt uppladdad specialförmåga är chansen {CHANCEFULLYCHARGED} %."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","När den här karaktären använder sin specialförmåga ökar den hälsan hos alla sina allierade med {POWER} %."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Om en fiende som har manahastigheten standard eller snabbare använder en specialförmåga tar alla fiender {DAMAGE} skada. Den här effekten kan bara aktiveras en gång per runda."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Varje gång en fiende får en hånstatuseffekt så ökar den här karaktärens mana med {POWER} %."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Den här karaktären får {POWER} % mana när en fiende får en positiv statuseffekt som påverkar försvar. Effekten kan endast aktiveras en gång per runda."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Karaktären får {POWER} % mana efter att ha fått en bonus eller positiv stapel."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Karaktären får {POWER} % mana när den får en negativ statuseffekt eller negativ stapel."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Karaktären återfår {POWER} % hälsa efter att ha fått en bonus eller positiv stapel."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Karaktären återfår {POWER} % hälsa efter att ha fått en negativ statuseffekt eller negativ stapel."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Karaktären återfår {POWER} HP efter att ha fått en negativ statuseffekt eller negativ stapel."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Karaktären har {CHANCE} % chans att få {POWER} % mana efter att ha fått en bonus eller positiv stapel."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Karaktären har {CHANCE} % chans att återfå {POWER} % hälsa efter att ha fått en bonus eller positiv stapel."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Karaktären har {CHANCE} % chans att återfå {POWER} % hälsa efter att ha fått en bonus eller positiv stapel."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Återupplivar besegrade allierade i närheten med {TURNS} rundors mellanrum och ger {POWER} % HP."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Får lite mana för varje aktiv statuseffektbonus som fiendelaget har i början av varje runda (maximalt {MAXSTATUSEFFECTCOUNT} bonusar)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Ökar hälsan för den här karaktären och allierade i närheten med {INCREMENTPERSTATUSEFFECT1} % för varje fiende som är förgiftad i början av turen. Ökad hälsa kan överstiga maxhälsan."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Karaktären får {POWER} % mana när en allierad åkallar en undersåte. Den här effekten kan bara aktiveras en gång per runda."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Karaktären får {HEALTH} %  hälsa och {MANA} % mana när en undersåte åkallas av någon allierad. Den här effekten kan bara aktiveras en gång varje runda."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Karaktären får {POWER} % mana när en fiende åkallar ett odjur. Den här effekten kan bara aktiveras en gång per runda."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Karaktären gör {DAMAGE} % skada på alla fiender när en fiende åkallar ett odjur."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Karaktären får {POWER} hälsoökning när en fiende åkallar ett odjur. Den här effekten kan bara aktiveras en gång per runda."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE} % chans att utföra extra handlingar när karaktären använder sin specialförmåga:"
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","Alla fienders undersåtar har {MINIONMODIFIER} % träffsäkerhet.
Alla fienders megaundersåtar har {MEGAMINIONMODIFIER} % träffsäkerhet."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","Den här karaktärens konstruktionskärna är en undersåteskärna.

Undersåteskärnan aktiveras varje gång den här karaktärens specialförmåga används:

 När undersåteskärnan är fulladdad åkallas en mördarrobotsundersåte med {FAMILIARHEALTHPERCENT} % hälsa och {FAMILIARATTACK} % attack som ärvs från användaren åt alla allierade.
 Mängden hälsa och attack som ärvs från användaren skalas med mängden laddning i kärnan. All laddning förbrukas när kärnan aktiveras.
 Innan mördarrobotundersåten träffar ett mål förstör den alla målets undersåtar och skadar dess megaundersåtar."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Fienders megaundersåtar har {HEALTHMODIFIER} % HP."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Fienders undersåtar har {HEALTHMODIFIER} % HP."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Fienders megaundersåtar kan inte attackera eller använda förmågor."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Fienders undersåtar kan inte attackera eller använda förmågor."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Karaktären får {POWER} % mana varje gång en fiende tar frostskada."
"herocard.passive_skill.description.growth","Den här hjältens grundattribut för attack och försvar ökar med {STATINCREASE} varje runda i {MAXACTIVATIONCOUNT} rundor."
"herocard.passive_skill.description.guaranteedeffectonspecial","När den här karaktären använder sin specialförmåga är dess passiva förmågor som ger extra effekter vid användning garanterade att aktiveras."
"herocard.passive_skill.description.heal.all.allies","Alla allierade återfår {HEALTH} % hälsa."
"herocard.passive_skill.description.healmodifier","{HEALMULTIPLIER} % mer mottagen läkning."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Alla fiender får {HEALMULTIPLIER} % läkning."
"herocard.passive_skill.description.healmodifier.decrease","{HEALMULTIPLIER} % mindre mottagen läkning."
"herocard.passive_skill.description.healonheal.can_stack.heal","Karaktären får {POWER} % hälsa varje gång den återställer hälsa."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Karaktären återfår {HEALTH} hälsa när en av dess undersåtar dör."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Karaktären återfår {HEALTH} boostad hälsa när en av dess undersåtar dör"
"herocard.passive_skill.description.healthboost.all.allies","Ökar alla allierades hälsa med {HEALTHBOOST} %. Hälsan kan komma att överstiga maxhälsan."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","I början av striden ökar den här karaktärens attack med {ATTACK} % för varje fiende som inte är av naturelement. I strider med flera vågor aktiveras effekten i början av varje våg."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","Den här karaktärens attack ökar med {ATTACK} % för varje levande fiende som inte är av naturelement. Effekten aktiveras i början av varje våg. (Nuvarande: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","I början av striden ökar den här karaktärens attack med {ATTACK} % för varje fiende som inte är av eldelement. I strider med flera vågor aktiveras effekten i början av varje våg."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","Den här karaktärens attack ökar med {ATTACK} % för varje levande fiende som inte är av eldelement. Effekten aktiveras i början av varje våg. (Nuvarande: {CURRENTMODIFIER} %)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Gör {DAMAGEMULTIPLIER} % mer skada mot undersåtar."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Den här karaktären gör {DAMAGEMULTIPLIER} % skada mot undersåtar och megaundersåtar."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Träffar från den här karaktärens specialförmåga har {POWERADDITION} % extra kraft om målet har hån."
"herocard.passive_skill.description.increasespecialdamage","Första {MAXACTIVATIONCOUNT} gångerna den här karaktären använder en specialförmåga som gör skada blir den {POWERADDITION} % starkare."
"herocard.passive_skill.description.increasespecialdamage.usable_once","Första gången den här karaktären använder en specialförmåga som gör skada blir den {POWERADDITION} % starkare."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Varje gång den här karaktären använder en specialförmåga som gör skada blir den {POWERADDITION} % starkare."
"herocard.passive_skill.description.insanitydamagereduction","All skada den här karaktären tar sänks med {DAMAGEREDUCTION} % per {DISPLAYSCALE} vansinne hos karaktären, upp till {MAXDAMAGEREDUCTION} % sänkning."
"herocard.passive_skill.description.iterateeffectonspecial","När den här karaktären använder sin specialförmåga har dess passiva förmågor {APPLYCOUNT} chanser att aktiveras."
"herocard.passive_skill.description.league.featured_family","Den här hjälten ingår i en utvald familj!"
"herocard.passive_skill.description.league.non_featured_family","Den här hjälten ingår inte i en utvald familj!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER} % träffsäkerhet mot hjältar i utvalda familjer."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Läkning som påverkar medlemmar i de utvalda familjerna har {POWERMULTIPLIER} % effektivitet."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER} % tagen skada från ej utvalda familjer."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER} % manaskapande."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Minskar mängden mana specialförmågor ger med {MODIFIER} %. Effekten gäller alla fiender i striden."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","Minskar mängden mana specialförmågor, passiva förmågor, familjebonusar och statuseffekter ger med {MODIFIER} %. Effekten gäller alla fiender i striden."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","Minskar mängden mana specialförmågor, passiva förmågor, familjebonusar och statuseffekter ger med {MODIFIER} %. Effekten gäller alla fiender i striden."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Karaktären får lite mana när en av dess undersåtar dör."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Karaktären har en medföljande förmåga att memorera en undersåte eller ett odjur som åkallats av fiendens specialförmågor. Den senaste undersåten och det senaste odjuret som fienden åkallat är memorerade tills specialförmågan används."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Karaktären har en medföljande förmåga att memorera en undersåte eller ett odjur som åkallats av fiendens specialförmågor. De senaste {0} undersåtarna och odjuren som fienden åkallat är memorerade tills specialförmågan används."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","Karaktären har en medföljande förmåga att memorera en undersåte eller ett odjur som åkallats av fiendens specialförmågor. De senaste {0} undersåtarna och odjuren som fienden åkallat är memorerade tills specialförmågan används."
"herocard.passive_skill.description.memorizestatuseffects","Karaktären har en medföljande förmåga att memorera negativa statuseffekter. Den senaste negativa statuseffekten som kastas mot karaktären hålls memorerad tills specialförmågan kastas. Det går bara att memorera negativa statuseffekter med varaktighet."
"herocard.passive_skill.description.memorizestatuseffects#2","Karaktären har en medföljande förmåga att memorera negativa statuseffekter. De senaste {0} negativa statuseffekterna som kastas mot karaktären hålls memorerade tills specialförmågan kastas. Det går bara att memorera negativa statuseffekter med varaktighet."
"herocard.passive_skill.description.memorizestatuseffects#3","Karaktären har en medföljande förmåga att memorera negativa statuseffekter. De senaste {0} negativa statuseffekterna som kastas mot karaktären hålls memorerade tills specialförmågan kastas. Det går bara att memorera negativa statuseffekter med varaktighet."
"herocard.passive_skill.description.mimiclootonlevelcompleted","Varje unik härmare i ditt lag kan ge dig extra byte när du klarar nivåer. Den här härmaren ger chans till följande extra byte:"
"herocard.passive_skill.description.nevermissspecial","Den här karaktärens specialförmåga missar aldrig."
"herocard.passive_skill.description.ransack","I början av varje runda plundrar den här karaktären en slumpmässig fiende:

Stjäl {DAMAGE} hälsa.
Stjäl en bonus, tillväxteffekt eller positiv stapel från fienden – även sådana som inte kan avbrytas och danseffekter."
"herocard.passive_skill.description.ransack.chance","I början av varje runda har den här karaktären {CHANCE} % chans att plundra en slumpmässig fiende:

Stjäl {DAMAGE} hälsa.
Stjäl riskfritt en slumpmässig tillväxteffekt, positiv stapel eller statuseffektbonus från fienden – även sådana som inte kan avbrytas och danseffekter.
Riskfria stölder kringgår sekundära effekter, såsom skada vid borttagning, hos borttagna bonusar. Externa effekter, som passiva effekter och familjeeffekter, kan fortfarande aktiveras."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","När den här karaktären använder sin specialförmåga har den {CHANCE} % chans att stjäla den senaste bonusen som kan avbrytas från en slumpmässig fiende som har bonusar. Om ingen fiende har bonusar så gör den {DAMAGE} % skada till alla fiender."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","När den här karaktären använder sin specialförmåga har den {CHANCE} % chans att stjäla den senaste bonusen som kan avbrytas från en slumpmässig fiende som har bonusar. Om ingen fiende har bonusar så gör den {DAMAGE} % skada till alla fiender."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","När karaktären använder sin specialförmåga för den över den senaste reningsbara negativa statuseffekten från sig själv till målet. Om specialförmågan inte kan sikta in sig på en fiende väljs en slumpmässig fiende istället. Om karaktären inte har några reningsbara negativa statuseffekter återställs {HEALTH} % hälsa."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE} % chans att ersätta inkommande negativa effekter med motsvarande positiva effekter."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Den här karaktären tar mindre skada från trupper från det starkare elementet.

Tagen skada: -{MODIFIER} %"
