"quests.name.ancient_dragon","Bawah Akar Kuno"
"quests.name.super_class_druid","Uji Coba Master Druid"
"quests.name.super_class_fighter","Uji Coba Master Petarung"
"quests.name.super_class_monk","Uji Coba Master Petapa"
"quests.name.super_class_paladin","Uji Coba Master Kesatria"
"quests.name.super_class_ranger","Uji Coba Master Pamong"
"quests.name.super_class_rogue","Uji Coba Master Berandal"
"quests.name.super_class_sorcerer","Uji Coba Master Penyihir"
"quests.name.super_class_wizard","Uji Coba Master Dukun"
"quests.name.super_elemental","Kontes Elemen"
"quests.name.treasure_quest","Petualangan Harta Karun"
"quests.name.valentines","Musim Cinta"
"quests.name.villains","Liga Penjahat"
"quests.name.xmas_2017","Selamatkan Musim Dingin"
"quests.name.xmas_2018","Tantangan Santa"
"quests.name.xp","Dapatkan Pengalaman"
"quests.special_rule.name.assist_dragon_mastery","Penguasaan Naga Asisten"
"quests.special_rule.name.astralelves","Elf Astral"
"quests.special_rule.name.covenant","Perjanjian Para Juara"
"quests.special_rule.name.event_bonus","Bonus Pahlawan Acara"
"quests.special_rule.name.family_bonus","Keluarga Unggulan"
"quests.special_rule.name.goblin","Desa Goblin"
"quests.special_rule.name.hero_roster_mastery","Keahlian Daftar Pahlawan"
"quests.special_rule.name.magiccurse","Kutukan Sihir"
"quests.special_rule.name.onicurse","Kutukan Oni"
