"herocard.family.title.abyss","Undergrunn-familie"
"herocard.family.title.hotm.short","Legende {0}"
"herocard.family.title.institute","Instituttfamilien"
"herocard.family.title.institute.short","Instituttet"
"herocard.family.title.investigator","Etterforsker-familien"
"herocard.family.title.investigator.short","Etterforsker"
"herocard.family.title.japanese","Sakura-familie"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Jotunheim"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Reisefamilie"
"herocard.family.title.journey.short","Reise"
"herocard.family.title.jungle_hunter","Jungeljegerfamilie"
"herocard.family.title.jungle_hunter.short","Jungeljeger"
"herocard.family.title.kalevala","Kalevala-familien"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Kongerikefamilie"
"herocard.family.title.kingdom.short","Kongerike"
"herocard.family.title.knight","Avalon-familie"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Lagoon-familie"
"herocard.family.title.lagoon.short","Lagoon"
"herocard.family.title.magic","Magisk familie"
"herocard.family.title.magic.short","Magisk"
"herocard.family.title.magic_carpet","Magisk teppe-familie"
"herocard.family.title.magic_carpet.short","Magisk teppe"
"herocard.family.title.mahayoddha","Mahayoddha-familie"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Maskert gud-familie"
"herocard.family.title.masquerade.short","Maskert gud"
"herocard.family.title.masquerade_pve","Maskert gud-familie"
"herocard.family.title.masquerade_pve.short","Maskert gud"
"herocard.family.title.midgard","Heimen Midgard"
"herocard.family.title.midgard.short","Midgard"
"herocard.family.title.mighty_pet","Mektige kjæledyr-familie"
"herocard.family.title.mighty_pet.short","Mektig kjæledyr"
"herocard.family.title.mimic","Etterlign familie"
"herocard.family.title.mimic.short","Etterlign"
"herocard.family.title.moon","Månefamilie"
"herocard.family.title.moon.short","Måne"
"herocard.family.title.moths","Møllfamilie"
"herocard.family.title.moths.short","Møll"
"herocard.family.title.musketeer","Musketer-familie"
"herocard.family.title.musketeer.short","Musketerer"
"herocard.family.title.muspelheim","Muspelheim"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Mystisk familien"
"herocard.family.title.mystery.short","Mysterium"
"herocard.family.title.nidavellir","Nidavellir-riket"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Niflheim"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Ninjafamilie"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Ninjafamilie"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Opera-familien"
"herocard.family.title.opera.short","Opera"
"herocard.family.title.outlaw","Fredløse i Liangshan-familien"
"herocard.family.title.outlaw.short","Fredløse i Liangshan"
"herocard.family.title.owl","Uglefamilie"
"herocard.family.title.owl.short","Ugle"
"herocard.family.title.pirate","Pirat-familie"
"herocard.family.title.pirate.short","Pirat"
"herocard.family.title.plains_hunter","Slettejegerfamilie"
"herocard.family.title.plains_hunter.short","Slettejeger"
"herocard.family.title.raven","Ravn-familien"
"herocard.family.title.raven.short","Ravn"
"herocard.family.title.raven_pve.short","Ravn"
"herocard.family.title.sand","Familie fra Sandriket"
"herocard.family.title.sand.short","Sandriket"
"herocard.family.title.shady_scoundrels","Suspekt kjeltring-familie"
"herocard.family.title.shady_scoundrels.short","Suspekt kjeltring"
"herocard.family.title.slayers","Slakterfamilie"
"herocard.family.title.slayers.short","Slakter"
"herocard.family.title.slime","Slimfamilie"
"herocard.family.title.slime.short","Slim"
"herocard.family.title.stag","Hjort-familie"
"herocard.family.title.stag.short","Hjort"
"herocard.family.title.stag_pve.short","Hjort"
"herocard.family.title.styx","Styx-familien"
"herocard.family.title.styx.short","Styx"
"herocard.family.title.sun","Solfamilie"
"herocard.family.title.sun.short","Sol"
"herocard.family.title.super_elemental","Superelementfamilie"
"herocard.family.title.super_elemental.short","Superelement"
"herocard.family.title.svartalfheim","Svartalfheim"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Marerittene til Atlantis-familien"
"herocard.family.title.tales1_baddies.short","Marerittene til Atlantis"
"herocard.family.title.tales1_goodies","Forsvarer av Atlantis-familien"
"herocard.family.title.tales1_goodies.short","Forsvarer av Atlantis"
"herocard.family.title.titan_hunter","Titanjeger-familie"
"herocard.family.title.titan_hunter.short","Titanjeger"
"herocard.family.title.vanaheim","Vanaheim"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","Tapper Grønnsak-familie"
"herocard.family.title.vegetable.short","Tapper Grønnsak"
"herocard.family.title.villains","Skurkefamilie"
"herocard.family.title.villains.short","Skurk"
"herocard.family.title.wild_cat","Villkatt-familie"
"herocard.family.title.wild_cat.short","Villkatt"
"herocard.family.title.winter","Vinterfamilie"
"herocard.family.title.winter.short","Vinter"
"herocard.family.title.wolf","Ulv-familien"
"herocard.family.title.wolf.short","Ulv"
"herocard.family.title.wolf_pve.short","Ulv"
"herocard.family.title.wonderland","Eventyrland-familie"
"herocard.family.title.wonderland.short","Eventyrland"
"herocard.family.title.zodiac","Månenyttår-familie"
"herocard.family.title.zodiac.short","Måneår"
