"quests.name.ancient_dragon","Ancient Underroot"
"quests.name.monster_island_horde_small_red","Small Camo Lizard Horde"
"quests.name.monster_island_horde_small_yellow","Small Beetloid Horde"
"quests.name.moths","Night of the Moth"
"quests.name.musketeers","The Brave & The Beautiful"
"quests.name.ninja","Ninja Tower"
"quests.name.ninja_impossible","Ninja Tower: Impossible"
"quests.name.opera","Secrets of the Opera"
"quests.name.owl","Owl Tower"
"quests.name.owl_impossible","Owl Tower: Impossible"
"quests.name.recruits","Find Recruits"
"quests.name.recruits_uncommon","Find Recruits II"
"quests.name.scavenging","Scavenge Resources"
"quests.name.shadow_quest","Shadows of the Deep"
"quests.name.slayers","Slayers of Fell Shadows"
"quests.name.spring_2018","Springvale Festival"
"quests.name.starter","Starter Quest"
"quests.name.styx","Tower of Styx"
"quests.name.styx_impossible","Tower of Styx: Impossible"
"quests.name.summer_2018","The Sand Empire"
"quests.name.super_class_barbarian","Master Barbarian Trials"
"quests.name.super_class_cleric","Master Cleric Trials"
"quests.name.super_class_druid","Master Druid Trials"
"quests.name.super_class_fighter","Master Fighter Trials"
"quests.name.super_class_monk","Master Monk Trials"
"quests.name.super_class_paladin","Master Paladin Trials"
"quests.name.super_class_ranger","Master Ranger Trials"
"quests.name.super_class_rogue","Master Rogue Trials"
"quests.name.super_class_sorcerer","Master Sorcerer Trials"
"quests.name.super_class_wizard","Master Wizard Trials"
"quests.name.super_elemental","Contest of Elements"
"quests.name.treasure_quest","Treasure Quest"
"quests.name.valentines","Season of Love"
"quests.name.villains","League of Villains"
"quests.name.xmas_2017","Save the Winter"
"quests.name.xmas_2018","Santa's Challenge"
"quests.name.xp","Gain Experience"
"quests.special_rule.name.assist_dragon_mastery","Assist Dragon Mastery"
"quests.special_rule.name.astralelves","Astral Elves"
"quests.special_rule.name.covenant","Covenant of Champions"
"quests.special_rule.name.event_bonus","Event Hero Bonus"
"quests.special_rule.name.family_bonus","Featured Families"
"quests.special_rule.name.goblin","Goblin Village"
"quests.special_rule.name.hero_roster_mastery","Hero Roster Mastery"
"quests.special_rule.name.magiccurse","Magic Curse"
"quests.special_rule.name.onicurse","Oni Curse"
