"herocard.family.title.abyss","Famiglia Profondità"
"herocard.family.title.investigator.short","Investigatori"
"herocard.family.title.japanese","Famiglia Sakura"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Regno di Jotunheim"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Famiglia Viaggio"
"herocard.family.title.journey.short","Viaggio"
"herocard.family.title.jungle_hunter","Famiglia Cacciatori della giungla"
"herocard.family.title.jungle_hunter.short","Cacciatori della giungla"
"herocard.family.title.kalevala","Famiglia Kalevala"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Famiglia Regno"
"herocard.family.title.kingdom.short","Regno"
"herocard.family.title.knight","Famiglia Avalon"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Famiglia Laguna"
"herocard.family.title.lagoon.short","Laguna"
"herocard.family.title.magic","Famiglia Magia"
"herocard.family.title.magic.short","Magia"
"herocard.family.title.magic_carpet","Famiglia Tappeto magico"
"herocard.family.title.magic_carpet.short","Tappeto magico"
"herocard.family.title.mahayoddha","Famiglia Mahayoddha"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Famiglia Divinità mascherate"
"herocard.family.title.masquerade.short","Divinità mascherate"
"herocard.family.title.masquerade_pve","Famiglia Divinità mascherate"
"herocard.family.title.masquerade_pve.short","Divinità mascherate"
"herocard.family.title.midgard","Regno di Midgard"
"herocard.family.title.midgard.short","Midgard"
"herocard.family.title.mighty_pet","Famiglia Animali bestiali"
"herocard.family.title.mighty_pet.short","Animali bestiali"
"herocard.family.title.mimic","Famiglia Mimic"
"herocard.family.title.mimic.short","Mimic"
"herocard.family.title.moon","Famiglia Luna"
"herocard.family.title.moon.short","Luna"
"herocard.family.title.moths","Famiglia Falene"
"herocard.family.title.moths.short","Falene"
"herocard.family.title.musketeer","Famiglia Moschettieri"
"herocard.family.title.musketeer.short","Moschettieri"
"herocard.family.title.muspelheim","Regno di Muspelheim"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Famiglia Mistero"
"herocard.family.title.mystery.short","Mistero"
"herocard.family.title.nidavellir","Regno di Nidavellir"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Regno di Niflheim"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Famiglia Ninja"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Famiglia Ninja"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Famiglia Opera"
"herocard.family.title.opera.short","Opera"
"herocard.family.title.outlaw","Famiglia Fuorilegge di Liangshan"
"herocard.family.title.outlaw.short","Fuorilegge di Liangshan"
"herocard.family.title.owl","Famiglia Gufi"
"herocard.family.title.owl.short","Gufi"
"herocard.family.title.pirate","Famiglia Pirati"
"herocard.family.title.pirate.short","Pirati"
"herocard.family.title.plains_hunter","Famiglia Cacciatori delle pianure"
"herocard.family.title.plains_hunter.short","Cacciatori delle pianure"
"herocard.family.title.raven","Famiglia Corvi"
"herocard.family.title.raven.short","Corvi"
"herocard.family.title.raven_pve.short","Corvi"
"herocard.family.title.rodent","Famiglia Roditori avventurosi"
"herocard.family.title.rodent.short","Roditori avventurosi"
"herocard.family.title.ronin","Famiglia Ronin"
"herocard.family.title.ronin.short","Ronin"
"herocard.family.title.sand","Famiglia Impero delle Sabbie"
"herocard.family.title.sand.short","Impero delle Sabbie"
"herocard.family.title.shady_scoundrels","Famiglia Canaglie oscure"
"herocard.family.title.shady_scoundrels.short","Canaglie oscure"
"herocard.family.title.slayers","Famiglia Assassini"
"herocard.family.title.slayers.short","Assassini"
"herocard.family.title.slime","Famiglia Slime"
"herocard.family.title.slime.short","Slime"
"herocard.family.title.stag","Famiglia Cervi"
"herocard.family.title.stag.short","Cervo"
"herocard.family.title.stag_pve.short","Cervo"
"herocard.family.title.styx","Famiglia Stige"
"herocard.family.title.styx.short","Stige"
"herocard.family.title.sun","Famiglia Sole"
"herocard.family.title.sun.short","Sole"
"herocard.family.title.super_elemental","Famiglia Super elementi"
"herocard.family.title.super_elemental.short","Super elementi"
"herocard.family.title.svartalfheim","Regno di Svartalfheim"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Famiglia Incubi di Atlantide"
"herocard.family.title.tales1_baddies.short","Incubi di Atlantide"
"herocard.family.title.tales1_goodies","Famiglia Difensori di Atlantide"
"herocard.family.title.tales1_goodies.short","Difensori di Atlantide"
"herocard.family.title.titan_hunter","Famiglia Cacciatori di Titani"
"herocard.family.title.titan_hunter.short","Cacciatori di Titani"
"herocard.family.title.vanaheim","Regno di Vanaheim"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","Famiglia Vegetali valorosa"
"herocard.family.title.vegetable.short","Vegetale valoroso"
"herocard.family.title.villains","Famiglia Cattivi"
"herocard.family.title.villains.short","Cattivi"
"herocard.family.title.wild_cat","Famiglia Gatti selvatici"
"herocard.family.title.wild_cat.short","Gatti selvatici"
"herocard.family.title.winter","Famiglia Inverno"
"herocard.family.title.winter.short","Inverno"
"herocard.family.title.wolf","Famiglia Lupi"
"herocard.family.title.wolf.short","Lupi"
"herocard.family.title.wolf_pve.short","Lupi"
"herocard.family.title.wonderland","Famiglia Paese delle Meraviglie"
"herocard.family.title.wonderland.short","Paese delle Meraviglie"
"herocard.family.title.zodiac","Famiglia Anno lunare"
"herocard.family.title.zodiac.short","Anno lunare"
