"quests.name.ancient_dragon","Raíces ancestrales"
"quests.name.styx_impossible","Torre de Estigia: Imposible"
"quests.name.summer_2018","El Imperio de la arena"
"quests.name.super_class_barbarian","Pruebas maestras de bárbaro"
"quests.name.super_class_cleric","Pruebas maestras de clérigo"
"quests.name.super_class_druid","Pruebas maestras de druida"
"quests.name.super_class_fighter","Pruebas maestras de luchador"
"quests.name.super_class_monk","Pruebas maestras de monje"
"quests.name.super_class_paladin","Pruebas maestras de paladín"
"quests.name.super_class_ranger","Pruebas maestras de guardabosques"
"quests.name.super_class_rogue","Pruebas maestras de rebelde"
"quests.name.super_class_sorcerer","Pruebas maestras de hechicero"
"quests.name.super_class_wizard","Pruebas maestras de brujo"
"quests.name.super_elemental","Conflicto de los elementos"
"quests.name.treasure_quest","Aventura de tesoros"
"quests.name.valentines","Época del amor"
"quests.name.villains","Liga de los Villanos"
"quests.name.xmas_2017","Salva el invierno"
"quests.name.xmas_2018","Reto de Santa"
"quests.name.xp","Gana experiencia"
"quests.special_rule.name.assist_dragon_mastery","Maestría con dragones ayudantes"
"quests.special_rule.name.astralelves","Elfos astrales"
"quests.special_rule.name.covenant","Coalición de los campeones"
"quests.special_rule.name.event_bonus","Bonificación de héroes del evento"
"quests.special_rule.name.family_bonus","Familias destacadas"
"quests.special_rule.name.goblin","Aldea de los duendes"
"quests.special_rule.name.hero_roster_mastery","Maestría con lista de héroes"
"quests.special_rule.name.magiccurse","Maldición mágica"
"quests.special_rule.name.onicurse","Maldición Oni"
