"quests.name.ancient_dragon","远古根须"
"quests.name.limit_breaker_dark","欧米茄幻象"
"quests.name.limit_breaker_fire","欧米茄幻象"
"quests.name.limit_breaker_holy","欧米茄幻象"
"quests.name.limit_breaker_ice","欧米茄幻象"
"quests.name.limit_breaker_nature","欧米茄幻象"
"quests.name.lunar_new_year","农历新年"
"quests.name.magic","魔法高塔"
"quests.name.magic_impossible","魔法高塔：噩梦"
"quests.name.masquerade","众神狂欢节"
"quests.name.mighty_pets","超能萌宠"
"quests.name.monster_island_horde","怪兽群"
"quests.name.monster_island_horde_large","大型怪兽群"
"quests.name.monster_island_horde_large_blue","大型变色蜥龙兽群"
"quests.name.monster_island_horde_large_green","大型花蜈蚣兽群"
"quests.name.monster_island_horde_large_purple","大型甲虫怪兽群"
"quests.name.monster_island_horde_large_red","大型变色蜥龙兽群"
"quests.name.monster_island_horde_large_yellow","大型甲虫怪兽群"
"quests.name.monster_island_horde_medium","中型怪兽群"
"quests.name.monster_island_horde_medium_blue","中型变色蜥龙兽群"
"quests.name.monster_island_horde_medium_green","中型花蜈蚣兽群"
"quests.name.monster_island_horde_medium_purple","中型甲虫怪兽群"
"quests.name.monster_island_horde_medium_red","中型变色蜥龙兽群"
"quests.name.monster_island_horde_medium_yellow","中型甲虫怪兽群"
"quests.name.monster_island_horde_small","小型怪兽群"
"quests.name.monster_island_horde_small_blue","小型变色蜥龙兽群"
"quests.name.monster_island_horde_small_green","小型花蜈蚣兽群"
"quests.name.monster_island_horde_small_purple","小型甲虫怪兽群"
"quests.name.monster_island_horde_small_red","小型变色蜥龙兽群"
"quests.name.monster_island_horde_small_yellow","小型甲虫怪兽群"
"quests.name.moths","飞蛾之夜"
"quests.name.musketeers","英勇火枪手"
"quests.name.ninja","忍者高塔"
"quests.name.ninja_impossible","忍者高塔：噩梦"
"quests.name.opera","歌剧之谜"
"quests.name.owl","猫头鹰高塔"
"quests.name.owl_impossible","猫头鹰高塔：噩梦"
"quests.name.recruits","找到新兵"
"quests.name.recruits_uncommon","找到新兵 2"
"quests.name.scavenging","扫荡资源"
"quests.name.shadow_quest","深渊暗影"
"quests.name.slayers","坠落暗影杀手"
"quests.name.spring_2018","春谷节"
"quests.name.starter","新手任务"
"quests.name.styx","冥河高塔"
"quests.name.styx_impossible","冥河高塔：噩梦"
"quests.name.summer_2018","飞沙帝国"
"quests.name.super_class_barbarian","野人大师试炼"
"quests.name.super_class_cleric","牧师大师试炼"
"quests.name.super_class_druid","德鲁伊大师试炼"
"quests.name.super_class_fighter","战士大师试炼"
"quests.name.super_class_monk","僧侣大师试炼"
"quests.name.super_class_paladin","圣骑士大师试炼"
"quests.name.super_class_ranger","游侠大师试炼"
"quests.name.super_class_rogue","盗贼大师试炼"
"quests.name.super_class_sorcerer","术士大师试炼"
"quests.name.super_class_wizard","巫师大师试炼"
"quests.name.super_elemental","元素较量"
"quests.name.treasure_quest","宝藏任务"
"quests.name.valentines","爱的季节"
"quests.name.villains","恶棍联盟"
"quests.name.xmas_2017","拯救冬日"
"quests.name.xmas_2018","圣诞老人挑战"
"quests.name.xp","获取经验"
"quests.special_rule.name.assist_dragon_mastery","协同龙精通"
"quests.special_rule.name.astralelves","星体精灵"
"quests.special_rule.name.covenant","强者盟约"
"quests.special_rule.name.event_bonus","活动英雄加成"
"quests.special_rule.name.family_bonus","精选家族"
"quests.special_rule.name.goblin","哥布林村"
"quests.special_rule.name.hero_roster_mastery","英雄列表精通"
"quests.special_rule.name.magiccurse","魔法诅咒"
"quests.special_rule.name.onicurse","邪鬼恶咒"
