"heroes.name_fancy.astral_cosmicspeaker","Astralelfenastronom"
"heroes.name_fancy.bard_ogima","Barde der Geister"
"heroes.name_fancy.bard_phenexa","Bardin des Geflüsters"
"heroes.name_fancy.bard_rhys","Barde der Tapferkeit"
"heroes.name_fancy.bard_winifred","Bardin der Schöpfung"
"heroes.name_fancy.bard_zarel","Bardin der Kunde"
"heroes.name_fancy.bard_zhabog","Barde der Eloquenz"
"heroes.name_fancy.beachparty_andy_jay","Genießer sonniger Strände"
"heroes.name_fancy.beachparty_brebarg","Sandburgenexperte"
"heroes.name_fancy.beachparty_davey_wavey","Hai in Ausbildung"
"heroes.name_fancy.beachparty_dillo","Nasses Gürteltier"
"heroes.name_fancy.beachparty_dolrak","Braun gebrannter Zwerg"
"heroes.name_fancy.beachparty_flip","Robbenrettungsschwimmer"
"heroes.name_fancy.beachparty_flip_costume_donut","Robbendonutverkäufer"
"heroes.name_fancy.beachparty_itham","Elfen-Schwimmlehrer"
"heroes.name_fancy.beachparty_mazoga","Spritzpistolen-Ork"
"heroes.name_fancy.beachparty_misty","Schnorchel-Gnom"
"heroes.name_fancy.beachparty_mortimer","Dunkelelfen-Surfer"
"heroes.name_fancy.beachparty_serena","Strand-Starlette"
"heroes.name_fancy.beachparty_zenukwa","Eisfan"
"heroes.name_fancy.beauty_beast_cerissa","Elegante Fee der Hexenburg"
"heroes.name_fancy.beauty_beast_chandel","Erhellerin der Hexenburg"
"heroes.name_fancy.beauty_beast_dominique","Der treue Beschützer"
"heroes.name_fancy.beauty_beast_laurent","Versteinerter Wächter der Hexenburg"
"heroes.name_fancy.beauty_beast_lucas","Dominiques jüngerer Bruder"
"heroes.name_fancy.beauty_beast_rose_de_flo","Blüte der Hexenburg"
"heroes.name_fancy.beauty_beast_the_beast","Einsamer Prinz der Hexenburg"
"heroes.name_fancy.beowulf_aeschere","Weiser der Scyllden"
"heroes.name_fancy.beowulf_beowulf","Schwert der Gauten"
"heroes.name_fancy.beowulf_breca","Segensgefährte"
"heroes.name_fancy.beowulf_ecgtheow","Wilder Kriegsführer"
"heroes.name_fancy.beowulf_freawaru","Die Friedensweberin"
"heroes.name_fancy.beowulf_grendel","Schwert zerbrechende Höllenbrut"
"heroes.name_fancy.beowulf_grendels_mother","Furchteinflößende Tarn-Hexe"
"heroes.name_fancy.beowulf_hrothgar","Meister der Methalle"
"heroes.name_fancy.beowulf_hygd","Königin der Gezeiten"
"heroes.name_fancy.beowulf_modthryth","Unerbittliche Schildmaid"
"heroes.name_fancy.beowulf_nithgaest","Beowulfs Fluch"
"heroes.name_fancy.beowulf_unferth","Hruntings Barde"
"heroes.name_fancy.beowulf_wealhtheow","Vom Ring gewählte Königsblütige"
"heroes.name_fancy.beowulf_weland","Geschickter Schmied"
"heroes.name_fancy.beowulf_wiglaf","Sohn von Weohstan"
"heroes.name_fancy.blackguard_commander","Schwermütiger Herzog"
"heroes.name_fancy.blackguard_commander_costume_cute","Schwermütiger Toon"
"heroes.name_fancy.blackguard_commander_costume_feather","Jammender Herzog"
"heroes.name_fancy.blackguard_commander_costume_glass","Schwermütiger Vitrail"
"heroes.name_fancy.blackguard_commander_costume_metal","Herzog des Steins"
"heroes.name_fancy.blackguard_female_archer","Aufstrebender Bogenschütze"
"heroes.name_fancy.blackguard_female_captain","Entschlossener Wächter"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Resolute Toon"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Resoluter Vitrail"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Resoluter Aufseher"
"heroes.name_fancy.blackguard_knight","Edler Kavalier"
"heroes.name_fancy.blackguard_knight_costume_cute","Toon-Kavalier"
"heroes.name_fancy.blackguard_knight_costume_elegant","Edler Bursche"
"heroes.name_fancy.blackguard_knight_costume_glass","Glaskavalier"
"heroes.name_fancy.blackguard_knight_costume_healer","Edler Heiler"
"heroes.name_fancy.blackguard_scout","Morgovianischer Flüchtling"
"heroes.name_fancy.blackguard_skulker","Verrückter Assassine"
"heroes.name_fancy.blackguard_skulker_costume_cute","Verwirrter Toon"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Verrückter Chirurg"
"heroes.name_fancy.blackguard_skulker_costume_glass","Glas-Assassine"
"heroes.name_fancy.castle_bear_armel","Arktis-Botschafter"
"heroes.name_fancy.castle_bear_bearnadette","Porträtmalerin"
"heroes.name_fancy.castle_bear_humbert","Verteidiger des Hochlands"
"heroes.name_fancy.castle_bear_koda","Ritter des Pflaumenwalds"
"heroes.name_fancy.castle_bear_teddy","Das reine Herz"
"heroes.name_fancy.castle_bear_torben","Herr des Hochlands"
"heroes.name_fancy.castle_bear_winnie","Bären-Rüstungsschmied"
"heroes.name_fancy.castle_bear_yona","Narr des Hochlands"
"heroes.name_fancy.castle_raven_aderyn","Ärztin der Burg"
"heroes.name_fancy.castle_raven_eloise","Zauberin der Burg"
"heroes.name_fancy.castle_raven_franz","Beschützer der Burg"
"heroes.name_fancy.castle_raven_lewena","Schütze der Burg"
"heroes.name_fancy.castle_raven_quintin","Pirschjäger der Burg"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Frostjäger der Raben"
"heroes.name_fancy.castle_raven_rayne","Hauptmann der Burg"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Kapitänin der Raben"
"heroes.name_fancy.castle_raven_wren","Späher der Burg"
"heroes.name_fancy.castle_stag_alvar","Der Pfadfinder"
"heroes.name_fancy.castle_stag_cecilia","Gesegnet von der Dämmerung"
"heroes.name_fancy.castle_stag_daemon","Rächer der Verwelkten"
"heroes.name_fancy.castle_stag_fawn","Ergebener Gutsherr"
"heroes.name_fancy.castle_stag_lysanor","Seher des Saphirtraums"
"heroes.name_fancy.castle_stag_raleigh","Gelehrter des Smaragdwalds"
"heroes.name_fancy.castle_stag_siofra","Die Eidwächterin"
"heroes.name_fancy.castle_stag_xiamara","Wächter des Smaragdwaldes"
"heroes.name_fancy.castle_wolf_bertulf","Koch der Burg"
"heroes.name_fancy.castle_wolf_esme","Erzmagierin der Burg"
"heroes.name_fancy.castle_wolf_ferant","Wächter der Burg"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Wächter der Wölfe"
"heroes.name_fancy.castle_wolf_ludwig","Verteidiger der Burg"
"heroes.name_fancy.castle_wolf_quenell","Meisterin der Burg"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Champion der Wölfe"
"heroes.name_fancy.castle_wolf_wolfgang","Feldherr der Burg"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Kommandant der Wölfe"
"heroes.name_fancy.champions_lazara","Baseball-Champion"
"heroes.name_fancy.champions_mistra","Diskuswerferin-Champion"
"heroes.name_fancy.champions_nogu","Speerwurf-Champion"
"heroes.name_fancy.champions_norman","Tjost-Champion"
"heroes.name_fancy.champions_ramona","Rammbock-Champion"
"heroes.name_fancy.champions_satori","Sumo-Champion"
"heroes.name_fancy.christmas_albin","Kenner heißer Schokolade"
"heroes.name_fancy.christmas_augustus","Ältester der Gnome"
"heroes.name_fancy.christmas_buster","Mürrischer Gartengnom"
"heroes.name_fancy.christmas_carol","Kleiner Helfer des Weihnachtsmanns"
"heroes.name_fancy.christmas_cookie","Gnom-Wissenschaftler"
"heroes.name_fancy.christmas_dizzy","Gnom-Entertainer"
"heroes.name_fancy.christmas_elf","Kleiner Helfer des Weihnachtsmanns"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Buchhalter des Weihnachtsmanns"
"heroes.name_fancy.christmas_florencia","Schneewärterin"
"heroes.name_fancy.christmas_frosty","Nordwächter"
"heroes.name_fancy.christmas_ginger","Gnom-Entdeckerin"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Gnommeisterin der Geschenke"
"heroes.name_fancy.christmas_holly","Gnom-Küchenchef"
"heroes.name_fancy.christmas_jolly","Gnom-Holzfäller"
"heroes.name_fancy.christmas_krampus","Weihnachtsgespenst"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Weihnachtsschelm"
"heroes.name_fancy.christmas_mr_pengi","Kapitän der Wächter des Weihnachtsmanns"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Kapitän des Snowboard-Teams"
"heroes.name_fancy.christmas_mrs_claus","Chefin des Nordens"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Weihnachtspulli-Enthusiast"
"heroes.name_fancy.christmas_noel","Fröhliches Schlittenkind"
"heroes.name_fancy.christmas_ottilia","Gnomdekorateur"
"heroes.name_fancy.christmas_peppermint","Gnom-Alchemist"
"heroes.name_fancy.christmas_reindeer","Treues Ross des Weihnachtsmanns"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Treues Ross des Weihnachtsmanns"
"heroes.name_fancy.christmas_santa","Der Geschenküberbringer"
"heroes.name_fancy.christmas_santa_costume_metal","Hard-Rock-Weihnachtsmann"
"heroes.name_fancy.christmas_tinsel","Gnom-Tüftler"
"heroes.name_fancy.christmas_zappa","Gnom-Zauberer"
"heroes.name_fancy.circus_bobo","Yeti mit dem größten Herzen"
"heroes.name_fancy.circus_candy","Heitere Partylöwin"
"heroes.name_fancy.circus_dandre","Sicherer Jongleur"
"heroes.name_fancy.circus_director_zuri","Zirkusmeisterin"
"heroes.name_fancy.circus_director_zuri_costume_clown","Meister der Clowns"
"heroes.name_fancy.circus_eichbelborg","Überheblicher Bodybuilder"
"heroes.name_fancy.circus_eiora_and_fluffy","Dynamisches Duo"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Dunkles Duo"
"heroes.name_fancy.circus_emilio","Der große Phönixbezwinger"
"heroes.name_fancy.circus_emilio_costume_frog","Der große Froschzähmer"
"heroes.name_fancy.circus_faline","Verblüffende Akrobatin"
"heroes.name_fancy.circus_marcel","Spitzbübischer Pantomime"
"heroes.name_fancy.circus_theobald","Messer werfender Wunderbär"
"heroes.name_fancy.circus_whacker","Verrückter Reiter"
"heroes.name_fancy.construct_arzen","Bösartiges Aufseherkonstrukt"
"heroes.name_fancy.construct_blue_mage","Sternenmagier-Konstrukt"
"heroes.name_fancy.construct_bonechill","Frostkonstrukt"
"heroes.name_fancy.construct_brimstone","Höllisches Konstrukt"
"heroes.name_fancy.construct_carta","Kartographen-Konstrukt"
"heroes.name_fancy.construct_dancrag","Uraltes Kolosskonstrukt"
"heroes.name_fancy.construct_ferrus","Piratenkonstrukt"
"heroes.name_fancy.construct_frond","Elfenkonstrukt"
"heroes.name_fancy.construct_glacivolt","Eisiges Aufseherkonstrukt"
"heroes.name_fancy.construct_gwynn","Energieflusskonstrukt"
"heroes.name_fancy.construct_halwinter","Schwer gepanzertes Konstrukt"
"heroes.name_fancy.construct_haulstone","Tragekonstrukt"
"heroes.name_fancy.construct_hornfel","Minotaurus-Konstrukt"
"heroes.name_fancy.construct_hotspin","Flammenzyklon-Konstrukt"
"heroes.name_fancy.construct_ironheart","Heiliges Wächterkonstrukt"
"heroes.name_fancy.construct_ironvein","Heiliges Knappenkonstrukt"
"heroes.name_fancy.construct_japanese_doll","Porzellanpuppenkonstrukt"
"heroes.name_fancy.construct_nautica","Seefahrerkonstrukt"
"heroes.name_fancy.construct_nocturne","Leerer-Tank-Konstrukt"
"heroes.name_fancy.construct_rhineglow","Superkondensator-Konstrukt"
"heroes.name_fancy.construct_rustbeak","Eulenkonstrukt"
"heroes.name_fancy.construct_scoria","Ewig brennendes Konstrukt"
"heroes.name_fancy.construct_shaal","Klerikerkonstrukt"
"heroes.name_fancy.construct_shacklebolt","Eingesperrtes Konstrukt"
"heroes.name_fancy.construct_sizzleomatic","Eifriges Kochkonstrukt"
"heroes.name_fancy.construct_skarn","Frostplage-Konstrukt"
"heroes.name_fancy.construct_sylosis","Kampfkünstler-Konstrukt"
"heroes.name_fancy.construct_tenebrae","Dunkles Prinzessinnenkonstrukt"
"heroes.name_fancy.construct_zavok","Chaotisches Magierkonstrukt"
"heroes.name_fancy.cultist_female_poisoner","Rebellischer Schurke"
"heroes.name_fancy.cultist_inventor","Verrückter Wissenschaftler"
"heroes.name_fancy.cultist_inventor_costume_cute","Toon-Wissenschaftler"
"heroes.name_fancy.cultist_inventor_costume_glass","Glas-Wissenschaftler"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Liebesdoktor"
"heroes.name_fancy.cultist_inventor_costume_steam","Elektro-Wissenschaftler"
"heroes.name_fancy.cultist_mage","Schauriger Magier"
"heroes.name_fancy.cultist_mage_costume_cute","Toon-Magier"
"heroes.name_fancy.cultist_mage_costume_glass","Glasmagier"
"heroes.name_fancy.cultist_mage_costume_voodoo","Untoter Magier"
"heroes.name_fancy.cultist_sorceress","Descenthia-Vollstrecker"
"heroes.name_fancy.cultist_sorceress_costume_cute","Toon-Vollstrecker"
"heroes.name_fancy.cultist_sorceress_costume_glass","Vitrail von Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Descenthia-Monster"
"heroes.name_fancy.cultist_sorceress_costume_snake","Descenthia-Schlange"
"heroes.name_fancy.cultist_sorceress_costume_stylish","Stilvoller Henker"
"heroes.name_fancy.cultist_thief","Dieb mit großen Plänen"
"heroes.name_fancy.dark_god_aeron","Standhafter Richter"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Richter mit Perücke"
"heroes.name_fancy.dark_god_akilius","Hinterhältiger Räuber"
"heroes.name_fancy.dark_god_anoushka","Die zurückgezogene Seherin"
"heroes.name_fancy.dark_god_arfanias","Schattenassassine"
"heroes.name_fancy.dark_god_chakkoszrot","Hohepriester der Echsenmenschen"
"heroes.name_fancy.dark_god_clarissa","Dreister Magier"
"heroes.name_fancy.dark_god_eldwren","Vater der Herde"
"heroes.name_fancy.dark_god_grimble","Der ziegenreitende Gnom"
"heroes.name_fancy.dark_god_hel","Himmelswesen der Dunkelheit"
"heroes.name_fancy.dark_god_hel_costume_cute","Toon-Himmelswesen der Dunkelheit"
"heroes.name_fancy.dark_god_hel_costume_omen","Omen der Dunkelheit"
"heroes.name_fancy.dark_god_kunchen","Mystischer Vagabund"
"heroes.name_fancy.dark_god_malicna","Gemeine Lektorin"
"heroes.name_fancy.dark_god_morax","Fluch der Unterwelt"
"heroes.name_fancy.dark_god_september","Trugbild-Assassine"
"heroes.name_fancy.dark_god_september_costume_engineer","Trugbild-Ingenieur"
"heroes.name_fancy.dark_god_seshat","Wiederbelebte Jägerin"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Wiedergängerschütze"
"heroes.name_fancy.dark_god_sir_casmir","Der Vagabundenwächter"
"heroes.name_fancy.dark_god_turgruk","Bösartiger Spurenleser"
"heroes.name_fancy.dark_god_uthragan","Giftige Abscheulichkeit"
"heroes.name_fancy.dark_god_viscaro","Verdorbener Druide"
"heroes.name_fancy.dark_god_zed","Imperialer Lanzenreiter"
"heroes.name_fancy.dark_god_zulag","Die Tapfere"
"heroes.name_fancy.dwarven_guard","Stämmiger Verteidiger"
"heroes.name_fancy.dwarven_guard_costume_cute","Toon-Verteidiger"
"heroes.name_fancy.dwarven_guard_costume_glass","Glas-Verteidiger"
"heroes.name_fancy.dwarven_guard_costume_ram","Schwergewichtverteidiger"
"heroes.name_fancy.dwarven_guard_costume_tavern","Wirtshausverteidiger"
"heroes.name_fancy.dwarven_scout","Veteranenkämpfer"
"heroes.name_fancy.dwarven_smasher","Der Hitzkopf"
"heroes.name_fancy.dwarven_smasher_costume_cute","Der Hitzkopf-Toon"
"heroes.name_fancy.dwarven_smasher_costume_glass","Der Hitzkopf-Vitrail"
"heroes.name_fancy.dwarven_smasher_costume_smith","Der Hitzige"
"heroes.name_fancy.dwarwen_brewmaster","Braumeister"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Toon-Braumeister"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Brauer-Vitrail"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Meister Schredder"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Meisterschnitzer"
"heroes.name_fancy.easter_archie","Reisender Lama-Troubadour"
"heroes.name_fancy.easter_archie_costume_gallant","Stattlicher Lama-Troubadour"
"heroes.name_fancy.easter_chick_jr","Sprosstal-Knappe"
"heroes.name_fancy.easter_jasper","Floristenstier"
"heroes.name_fancy.easter_jasper_costume_fisherman","Fischerstier"
"heroes.name_fancy.easter_killhare","Tapferer Beschützer von Sprosstal"
"heroes.name_fancy.easter_killhare_costume_farmer","Ultimative Farmerin"
"heroes.name_fancy.easter_lady_woolerton","Sprosstal-Heiler"
"heroes.name_fancy.easter_miss_ethel","Verteidigerin von Sprosstal"
"heroes.name_fancy.easter_sadie","Schalkhafter Enterich"
"heroes.name_fancy.easter_sir_roostley","Mächtiger Ritter von Sprosstal"
"heroes.name_fancy.easter_timothy","Das Glücksschweinchen"
"heroes.name_fancy.easter_viscount_cluckwood","Okkultist von Springvale"
"heroes.name_fancy.elemental_aconia","Cyberschurke"
"heroes.name_fancy.elemental_aconia_costume_courier","Cyberbote"
"heroes.name_fancy.elemental_alfie","Elementarnarr"
"heroes.name_fancy.elemental_anzia","Galaktische Retterin"
"heroes.name_fancy.elemental_anzia_costume_jailer","Galaktischer Kerkermeister"
"heroes.name_fancy.elemental_ash","Wilder Kopfgeldjäger"
"heroes.name_fancy.elemental_ash_costume_savage","Wilde Kopfgeldjägerin"
"heroes.name_fancy.elemental_craum","Elementar-Schamane"
"heroes.name_fancy.elemental_craum_costume_occultist","Elementarer Okkultist"
"heroes.name_fancy.elemental_desmond","Klingenalchemist"
"heroes.name_fancy.elemental_desmond_costume_assassin","Klingenassassine"
"heroes.name_fancy.elemental_doxan","Exil-Plasmaklinge"
"heroes.name_fancy.elemental_doxan_costume_hacker","Plasma-Hacker im Exil"
"heroes.name_fancy.elemental_farrah","Meister der Überschallklinge"
"heroes.name_fancy.elemental_farrah_costume_cyber","Cyber-Klingenmeisterin"
"heroes.name_fancy.elemental_gastille","Multidimensionale Gefahr"
"heroes.name_fancy.elemental_gastille_costume_sporty","Sportliche Gefahr"
"heroes.name_fancy.elemental_griffex","Realitätsveränderer"
"heroes.name_fancy.elemental_griffex_costume_camera","Obscura-Modifikator"
"heroes.name_fancy.elemental_grilka","Gastfreundliche Quartiermeisterin"
"heroes.name_fancy.elemental_grilka_costume_treasure","Geschätzte Quartiermeisterin"
"heroes.name_fancy.elemental_ignazio","Flammenleiter"
"heroes.name_fancy.elemental_ignazio_costume_medic","Flammen-Arzt"
"heroes.name_fancy.elemental_ironmaw","Kriegsherr der Unbeugsamen Orks"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Kriegsherr der Legion"
"heroes.name_fancy.elemental_jequn","Das kosmische Rätsel"
"heroes.name_fancy.elemental_jequn_costume_gilded","Das vergoldete Enigma"
"heroes.name_fancy.elemental_jolt","Elektrische Navigatorin"
"heroes.name_fancy.elemental_jolt_costume_mythic","Mythische Steuerfrau"
"heroes.name_fancy.elemental_lexi","Kunsthandwerker der Elementarenergie"
"heroes.name_fancy.elemental_linus","Sorgenfreier Sträfling"
"heroes.name_fancy.elemental_niki","Sensenmeisterin des Dunklen Meeres"
"heroes.name_fancy.elemental_niki_costume_music","Sensenmeisterin der Musik"
"heroes.name_fancy.elemental_nova","Feuergeist-Sammler"
"heroes.name_fancy.elemental_nylora","Kaltblütige Assassinin"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Geschmückte Assassine"
"heroes.name_fancy.elemental_quinn","Kosmischer Koch"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Kosmischer Alchemist"
"heroes.name_fancy.elemental_roz","Natürliche Scharfschützin"
"heroes.name_fancy.elemental_roz_costume_disco","Disko-Scharfschütze"
"heroes.name_fancy.elemental_vander","Cyborg-Kapitän"
"heroes.name_fancy.elemental_vander_costume_clown","Clown-Kapitän"
"heroes.name_fancy.elemental_xandrella","Meisterin elementarer Schöpfungen"
"heroes.name_fancy.elemental_xandrella_costume_idol","Idol elementarer Schöpfungen"
"heroes.name_fancy.elemental_xavier","Doppelklingenexperte"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Doppelklingen-Gliederfüßer"
"heroes.name_fancy.elemental_zandria","Verteidiger der Raumzeit"
"heroes.name_fancy.elemental_zandria_costume_planet","Verteidiger der Galaxien"
"heroes.name_fancy.elemental_zaria","Dreiäugige Hellseherin"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Dreiäugige Zauberin"
"heroes.name_fancy.elemental_zengar","Universalbestie"
"heroes.name_fancy.elemental_zengar_costume_farmer","Kultivierendes Biest"
"heroes.name_fancy.elemental_zione","Mechanisierter Lieferexperte"
"heroes.name_fancy.elemental_zuni","Hoverboard-Elf"
"heroes.name_fancy.elemental_zuni_costume_mage","Hoverboard-Magierin"
"heroes.name_fancy.elven_archer","Das edle Herz"
"heroes.name_fancy.elven_archer_costume_cute","Der edle Toon"
"heroes.name_fancy.elven_archer_costume_glass","Der noble Vitrail"
"heroes.name_fancy.elven_archer_costume_moon","Der edle Wächter"
"heroes.name_fancy.elven_archer_costume_raven","Der edle Rabe"
"heroes.name_fancy.elven_captain","Elfenveteran"
"heroes.name_fancy.elven_captain_costume_cavalier","Elfenkavalier"
"heroes.name_fancy.elven_captain_costume_cute","Elfen-Toon"
"heroes.name_fancy.elven_captain_costume_glass","Elfe Vitrail"
"heroes.name_fancy.elven_captain_costume_mask","Elfenrächter"
"heroes.name_fancy.elven_captain_costume_stylish","Stilvoller Elf"
"heroes.name_fancy.exalted_female_statue","Steinältester"
"heroes.name_fancy.exalted_female_statue_costume_cute","Stein-Toon"
"heroes.name_fancy.exalted_female_statue_costume_glass","Vitrail des Steins"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Ältester der Sonne"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Älteste der Dornen"
"heroes.name_fancy.exalted_warrior","Eisältester"
"heroes.name_fancy.exalted_warrior_costume_cute","Eis-Toon"
"heroes.name_fancy.exalted_warrior_costume_glass","Eis-Vitrail"
"heroes.name_fancy.exalted_warrior_costume_ice","Eismonolith"
"heroes.name_fancy.exalted_warrior_costume_underworld","Ältester der Unterwelt"
"heroes.name_fancy.fables_boss_wolf","Gouverneur von Grimmwald"
"heroes.name_fancy.fables_cinderella","Hausmädchen von Grimmwald"
"heroes.name_fancy.fables_frog_prince","Thronerbe"
"heroes.name_fancy.fables_gnomer","Wächter von Grimmwald"
"heroes.name_fancy.fables_gretel","Hexentöter von Grimmwald"
"heroes.name_fancy.fables_hansel","Hexenjäger von Grimmwald"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Vampirjäger von Grimmwald"
"heroes.name_fancy.fables_pixie","Geist von Grimmwald"
"heroes.name_fancy.fables_puss_in_boots","Katze von Grimmwald"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Maskierte Autobahnkatze"
"heroes.name_fancy.fables_red_hood","Beschützer von Grimmwald"
"heroes.name_fancy.fables_rumpelstiltskin","Narr von Grimmwald"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Ewiger Gauner"
"heroes.name_fancy.fables_snow_white","Prinzess von Grimmwald"
"heroes.name_fancy.fables_snow_white_costume_slayer","Weiße Schlächterin"
"heroes.name_fancy.faun_araminta","Furchterregende Faunkriegerin"
"heroes.name_fancy.faun_ascian","Allsehender Faun-Wahrsager"
