"herocard.family.title.abyss","언더와일드 패밀리"
"herocard.family.title.musketeer.short","총사"
"herocard.family.title.muspelheim","무스펠하임 왕국"
"herocard.family.title.muspelheim.short","무스펠하임"
"herocard.family.title.myrkheim","미르하임"
"herocard.family.title.myrkheim.short","미르하임"
"herocard.family.title.mystery","미스테리 패밀리"
"herocard.family.title.mystery.short","미스테리"
"herocard.family.title.nidavellir","니다벨리르 왕국"
"herocard.family.title.nidavellir.short","니다벨리르"
"herocard.family.title.niflheim","니플하임 왕국"
"herocard.family.title.niflheim.short","니플하임"
"herocard.family.title.ninja","닌자 패밀리"
"herocard.family.title.ninja.short","닌자"
"herocard.family.title.ninja2","닌자 패밀리"
"herocard.family.title.ninja2.short","닌자"
"herocard.family.title.opera","오페라 패밀리"
"herocard.family.title.opera.short","오페라"
"herocard.family.title.outlaw","량산의 무법자 패밀리"
"herocard.family.title.outlaw.short","량산의 무법자"
"herocard.family.title.owl","올빼미 패밀리"
"herocard.family.title.owl.short","올빼미"
"herocard.family.title.pirate","해적 패밀리"
"herocard.family.title.pirate.short","해적"
"herocard.family.title.plains_hunter","몬스터 사냥꾼 가족"
"herocard.family.title.plains_hunter.short","몬스터 사냥꾼"
"herocard.family.title.raven","까마귀 패밀리"
"herocard.family.title.raven.short","까마귀"
"herocard.family.title.raven_pve.short","까마귀"
"herocard.family.title.rodent","모험적인 설치류 패밀리"
"herocard.family.title.rodent.short","모험적인 설치류"
"herocard.family.title.ronin","로닌 패밀리"
"herocard.family.title.ronin.short","로닌"
"herocard.family.title.sand","모래 제국 패밀리"
"herocard.family.title.sand.short","모래 제국"
"herocard.family.title.shady_scoundrels","어두운 악당 패밀리"
"herocard.family.title.shady_scoundrels.short","어두운 악당"
"herocard.family.title.slayers","처단자 패밀리"
"herocard.family.title.slayers.short","처단자"
"herocard.family.title.slime","슬라임 패밀리"
"herocard.family.title.slime.short","슬라임"
"herocard.family.title.stag","사슴 패밀리"
"herocard.family.title.stag.short","사슴"
"herocard.family.title.stag_pve.short","사슴"
"herocard.family.title.styx","스틱스 패밀리"
"herocard.family.title.styx.short","스틱스"
"herocard.family.title.sun","태양 패밀리"
"herocard.family.title.sun.short","태양"
"herocard.family.title.super_elemental","슈퍼 엘리멘탈 패밀리"
"herocard.family.title.super_elemental.short","슈퍼 엘리멘탈"
"herocard.family.title.svartalfheim","스바르탈프하임 왕국"
"herocard.family.title.svartalfheim.short","스바르탈프하임"
"herocard.family.title.tales1_baddies","아틀란티스의 악몽 패밀리"
"herocard.family.title.tales1_baddies.short","아틀란티스의 악몽"
"herocard.family.title.tales1_goodies","아틀란티스의 방어병 패밀리"
"herocard.family.title.tales1_goodies.short","아틀란티스의 방어병"
"herocard.family.title.titan_hunter","타이탄 사냥꾼 패밀리"
"herocard.family.title.titan_hunter.short","타이탄 사냥꾼"
"herocard.family.title.vanaheim","바나하임 왕국"
"herocard.family.title.vanaheim.short","바나하임"
"herocard.family.title.vegetable","용맹한 채소 패밀리"
"herocard.family.title.vegetable.short","용맹한 채소"
"herocard.family.title.villains","빌런 패밀리"
"herocard.family.title.villains.short","빌런"
"herocard.family.title.wild_cat","들고양이 패밀리"
"herocard.family.title.wild_cat.short","들고양이"
"herocard.family.title.winter","윈터 패밀리"
"herocard.family.title.winter.short","윈터"
"herocard.family.title.wolf","늑대 패밀리"
"herocard.family.title.wolf.short","늑대"
"herocard.family.title.wolf_pve.short","늑대"
"herocard.family.title.wonderland","원더랜드 패밀리"
"herocard.family.title.wonderland.short","원더랜드"
"herocard.family.title.zodiac","음력 패밀리"
"herocard.family.title.zodiac.short","음력"
