"quests.name.ancient_dragon","Sottosuolo antico"
"quests.name.monster_island_horde_medium_red","Orda di lucertole mimetiche media"
"quests.name.monster_island_horde_medium_yellow","Orda di scarafoidi media"
"quests.name.monster_island_horde_small","Orda di mostri piccola"
"quests.name.monster_island_horde_small_blue","Orda di lucertole mimetiche piccola"
"quests.name.monster_island_horde_small_green","Orda di piantipiedi piccola"
"quests.name.monster_island_horde_small_purple","Orda di scarafoidi piccola"
"quests.name.monster_island_horde_small_red","Orda di lucertole mimetiche piccola"
"quests.name.monster_island_horde_small_yellow","Orda di scarafoidi piccola"
"quests.name.moths","Notte della falena"
"quests.name.musketeers","Coraggio e beltà"
"quests.name.ninja","Torre dei ninja"
"quests.name.ninja_impossible","Torre dei ninja: impossibile"
"quests.name.opera","Segreti dell'Opera"
"quests.name.owl","Torre dei Gufi"
"quests.name.owl_impossible","Torre dei Gufi: impossibile"
"quests.name.recruits","Trova reclute"
"quests.name.recruits_uncommon","Trova Reclute II"
"quests.name.scavenging","Scava risorse"
"quests.name.shadow_quest","Ombre degli abissi"
"quests.name.slayers","Assassini dell'Ombra mortale"
"quests.name.spring_2018","Festival di Springvale"
"quests.name.starter","Impresa iniziale"
"quests.name.styx","Torre dello Stige"
"quests.name.styx_impossible","Torre dello Stige: impossibile"
"quests.name.summer_2018","L'Impero delle Sabbie"
"quests.name.super_class_barbarian","Prove di maestria del barbaro"
"quests.name.super_class_cleric","Prove di maestria del chierico"
"quests.name.super_class_druid","Prove di maestria del druido"
"quests.name.super_class_fighter","Prove di maestria del combattente"
"quests.name.super_class_monk","Prove di maestria del monaco"
"quests.name.super_class_paladin","Prove di maestria del paladino"
"quests.name.super_class_ranger","Prove di maestria del ranger"
"quests.name.super_class_rogue","Prove di maestria del furfante"
"quests.name.super_class_sorcerer","Prove di maestria dell'incantatore"
"quests.name.super_class_wizard","Prove di maestria dello stregone"
"quests.name.super_elemental","Gara degli elementi"
"quests.name.treasure_quest","Impresa del tesoro"
"quests.name.valentines","Stagione dell'amore"
"quests.name.villains","Lega dei cattivi"
"quests.name.xmas_2017","Salva l'inverno"
"quests.name.xmas_2018","Sfida di Babbo Natale"
"quests.name.xp","Ottieni Esperienza"
"quests.special_rule.name.assist_dragon_mastery","Maestria dei draghi assistenti"
"quests.special_rule.name.astralelves","Elfi astrali"
"quests.special_rule.name.covenant","Patto dei campioni"
"quests.special_rule.name.event_bonus","Bonus Eroe dell'evento"
"quests.special_rule.name.family_bonus","Famiglie in evidenza"
"quests.special_rule.name.goblin","Villaggio goblin"
"quests.special_rule.name.hero_roster_mastery","Maestria dell'Albo degli Eroi"
"quests.special_rule.name.magiccurse","Maledizione magica"
"quests.special_rule.name.onicurse","Maledizione Oni"
