"quests.name.ancient_dragon","遠古地根"
"quests.name.guestip1","特別訪客活動"
"quests.name.halloween_2018","返回莫洛維亞"
"quests.name.halloween_2025","腥紅盛宴"
"quests.name.hotm_quest1","傳奇酒館"
"quests.name.iron","採掘鐵塊"
"quests.name.kalevala","卡勒瓦拉"
"quests.name.limit_breaker_dark","奧米加幻影"
"quests.name.limit_breaker_fire","奧米加幻影"
"quests.name.limit_breaker_holy","奧米加幻影"
"quests.name.limit_breaker_ice","奧米加幻影"
"quests.name.limit_breaker_nature","奧米加幻影"
"quests.name.lunar_new_year","農曆新年"
"quests.name.magic","魔法高塔"
"quests.name.magic_impossible","魔法高塔：極難"
"quests.name.masquerade","眾神嘉年華"
"quests.name.mighty_pets","強大寵物"
"quests.name.monster_island_horde","怪獸大軍"
"quests.name.monster_island_horde_large","大型怪獸大軍"
"quests.name.monster_island_horde_large_blue","大型迷彩蜥蜴大軍"
"quests.name.monster_island_horde_large_green","大型植化蜈蚣大軍"
"quests.name.monster_island_horde_large_purple","大型電磁甲蟲大軍"
"quests.name.monster_island_horde_large_red","大型迷彩蜥蜴大軍"
"quests.name.monster_island_horde_large_yellow","大型電磁甲蟲大軍"
"quests.name.monster_island_horde_medium","中型怪獸大軍"
"quests.name.monster_island_horde_medium_blue","中型迷彩蜥蜴大軍"
"quests.name.monster_island_horde_medium_green","中型植化蜈蚣大軍"
"quests.name.monster_island_horde_medium_purple","中型電磁甲蟲大軍"
"quests.name.monster_island_horde_medium_red","中型迷彩蜥蜴大軍"
"quests.name.monster_island_horde_medium_yellow","中型電磁甲蟲大軍"
"quests.name.monster_island_horde_small","小型怪獸大軍"
"quests.name.monster_island_horde_small_blue","小型迷彩蜥蜴大軍"
"quests.name.monster_island_horde_small_green","小型植化蜈蚣大軍"
"quests.name.monster_island_horde_small_purple","小型電磁甲蟲大軍"
"quests.name.monster_island_horde_small_red","小型迷彩蜥蜴大軍"
"quests.name.monster_island_horde_small_yellow","小型電磁甲蟲大軍"
"quests.name.moths","飛蛾之夜"
"quests.name.musketeers","英勇火槍手"
"quests.name.ninja","忍者高塔"
"quests.name.ninja_impossible","忍者高塔：極難"
"quests.name.opera","歌劇秘辛"
"quests.name.owl","貓頭鷹高塔"
"quests.name.owl_impossible","貓頭鷹高塔：極難"
"quests.name.recruits","找到新兵"
"quests.name.recruits_uncommon","找到新兵 II"
"quests.name.scavenging","掃蕩資源"
"quests.name.shadow_quest","深淵暗影"
"quests.name.slayers","墮落暗影劫掠者"
"quests.name.spring_2018","斯普林維爾節慶"
"quests.name.starter","新手任務"
"quests.name.styx","冥河高塔"
"quests.name.styx_impossible","冥河高塔：極難"
"quests.name.summer_2018","飛沙帝國"
"quests.name.super_class_barbarian","大師野人試煉"
"quests.name.super_class_cleric","大師牧師試煉"
"quests.name.super_class_druid","大師德魯伊試煉"
"quests.name.super_class_fighter","大師戰士試煉"
"quests.name.super_class_monk","大師僧侶試煉"
"quests.name.super_class_paladin","大師聖騎士試煉"
"quests.name.super_class_ranger","大師遊俠試煉"
"quests.name.super_class_rogue","大師盜賊試煉"
"quests.name.super_class_sorcerer","大師術士試煉"
"quests.name.super_class_wizard","大師巫師試煉"
"quests.name.super_elemental","元素競賽"
"quests.name.treasure_quest","寶藏任務"
"quests.name.valentines","愛的季節"
"quests.name.villains","惡棍聯盟"
"quests.name.xmas_2017","拯救冬日"
"quests.name.xmas_2018","聖誕老人挑戰"
"quests.name.xp","獲取經驗"
"quests.special_rule.name.assist_dragon_mastery","輔助龍大師"
"quests.special_rule.name.astralelves","星界巫師"
"quests.special_rule.name.covenant","勇士聖約"
"quests.special_rule.name.event_bonus","活動英雄加成"
"quests.special_rule.name.family_bonus","精選家族"
"quests.special_rule.name.goblin","哥布林村"
"quests.special_rule.name.hero_roster_mastery","英雄名錄大師"
"quests.special_rule.name.magiccurse","魔法詛咒"
"quests.special_rule.name.onicurse","邪鬼詛咒"
