"specials.name.a_cozy_break","心地よきひと休憩"
"specials.name.asterius","残忍なブルラッシュ"
"specials.name.astral_assistance","アストラル・アシスタンス"
"specials.name.astral_brew","アストラルブリュー"
"specials.name.astral_dominion","星の支配"
"specials.name.astral_gemstones","星のジェムストーン"
"specials.name.astral_myrrh","星の没薬"
"specials.name.astral_orb","アストラルオーブ"
"specials.name.astral_pastries","アストラル・ペーストリー"
"specials.name.astral_provocation","星の挑発"
"specials.name.astral_summon","アストラルサモン"
"specials.name.athenas_arrow","アテネの弓矢"
"specials.name.athenas_bow","アテネの弓"
"specials.name.atlantean_blade","アトランティスの剣"
"specials.name.atlantean_blade_costume","アトランティスの刃"
"specials.name.atlantean_charge","アトランティスチャージ"
"specials.name.atlantean_toon_spear","アニメ風のアトランティスの槍"
"specials.name.atlantean_toon_sword","アニメ風のアトランティスの剣"
"specials.name.attack_rally","アタックラリー"
"specials.name.aura_of_twilight","黄昏のオーラ"
"specials.name.aura_wave","オーラウェーブ"
"specials.name.autumnal_wind","秋の風"
"specials.name.avenger_of_mothkind","蛾族のアヴェンジャー"
"specials.name.awaken_ki","気の目覚め"
"specials.name.awe_bolt","ポイズンボルト"
"specials.name.axe_of_retribution","報復のアックス"
"specials.name.axe_throw","斧投げ"
"specials.name.azurelight_greatsword","輝ける紺碧の大剣"
"specials.name.backstab","バックスタブ"
"specials.name.bad_fortune","不運"
"specials.name.bag_of_necessities","必需品入りの鞄"
"specials.name.bagh_nakh_thrust","バグナクのひと突き"
"specials.name.bakers_baguettes","パン職人のバゲット"
"specials.name.balanced_teamwork","絶妙なチームワーク"
"specials.name.ballad_of_attraction","魅了のバラード"
"specials.name.ballad_of_condemnation","糾弾のバラード"
"specials.name.ballad_of_obsession","執着のバラード"
"specials.name.ballad_of_pain","痛みのバラード"
"specials.name.ballad_of_passion","情熱のバラード"
"specials.name.ballad_of_purple_swan","闇の白鳥のバラード"
"specials.name.ballad_of_restoration","回復のバラード"
"specials.name.ballad_of_the_purple_swan","闇の白鳥のバラード"
"specials.name.bandalore_dance","バンダロール・ダンス"
"specials.name.barb_sting_dragon_pve","トゲの一刺し"
"specials.name.barbed_arrows","トゲ付きの矢"
"specials.name.barbed_bolt_zidane","トゲ付きボルト"
"specials.name.bark_of_protection","庇護の吠え声"
"specials.name.basilisk_breath","バシリスクブレス"
"specials.name.battering_ram","破城槌"
"specials.name.battle_boast","戦場でのひけらかし"
"specials.name.battleclaw_strike","バトルクローの一撃"
"specials.name.beach_party","ビーチ パーティー"
"specials.name.beautiful_petals","美しい花弁"
"specials.name.bee_bombast","ハチの戯言"
"specials.name.bee_bravado","ハチの虚勢"
"specials.name.beetle_strike","ビートルの一撃"
"specials.name.berserker_strike","無敵の一撃"
"specials.name.bewildering_riddle","不思議な謎"
"specials.name.bewitched_daggers","魔法の短剣"
"specials.name.binding_contract","拘束的契約"
"specials.name.birch_blessing","白樺の祝福"
"specials.name.bite_of_protection","庇護の噛みつき"
"specials.name.bites_of_disorientation","錯乱の噛みつき"
"specials.name.bitter_berry_blast_dragon_pve","ビターベリーブラスト"
"specials.name.bizarre_mist","奇妙な霧"
"specials.name.black_tassel_spear_sting","黒房の一刺し"
"specials.name.black_tide","ブラックタイド"
"specials.name.blade_barrage","ブレードバラージ"
"specials.name.blade_dance","ダンスフロアの刃"
"specials.name.blade_of_betrayal","裏切りの刃"
"specials.name.blade_of_bundelkhand","ブンデルカンドの刃"
"specials.name.blade_of_horrid_affliction","恐ろしい苦しみの刃"
"specials.name.blade_tail_swipe","ブレードテール・スワイプ"
"specials.name.blade_venom","ブレードの毒"
"specials.name.blade_wings","刃の翼"
"specials.name.blazing_beak","ブレイズビーク"
"specials.name.blazing_corolla","燃え上がる花冠"
"specials.name.blazing_inferno","燃え盛るインフェルノ"
"specials.name.blazing_rave_dance","炎のレイヴダンス"
"specials.name.blazing_slam_dunk","炎のダンクシュート"
"specials.name.blazing_venom","燃え盛る毒"
"specials.name.bleed_inducing_daggers","流血の短剣"
"specials.name.bleeding_edge","ブリードエッジ"
"specials.name.bleeding_hammer","流血のハンマー"
"specials.name.bleeding_stab","ブリードスタブ"
"specials.name.bleeding_thrust","ブリードスラスト"
"specials.name.blessed_blade","神聖な刃"
"specials.name.blessed_blade_pve","神聖な刃"
"specials.name.blessed_brew","ブレスブリュー"
"specials.name.blessed_solo","ブレスソロ"
"specials.name.blessed_tankard","祝福されしタンカード"
"specials.name.blessing_from_the_future","未来からの祝福"
"specials.name.blessing_of_gjallarhorn","ギャラルホルンの祝福"
"specials.name.blessing_of_the_evergrove","エバーグローブの祝福"
"specials.name.blessing_of_the_skies","空の祝福"
"specials.name.blind_rage","盲目の怒り"
"specials.name.blinding_attack","ブラインド・アタック"
"specials.name.blinding_curse","ブラインドカース"
"specials.name.blinding_flash","ブラインドフラッシュ"
"specials.name.blinding_flash_s4","ブラインドフラッシュ"
"specials.name.blinding_injustice","眩惑の不正"
"specials.name.blinding_knowledge","目くるめく知識"
"specials.name.blinding_light","眩惑の光"
"specials.name.blinding_orb","眩惑のオーブ"
"specials.name.blinding_pounce","眩惑の急襲"
"specials.name.blinding_spell","ブラインドスペル"
"specials.name.blinding_spit","ブラインドスピット"
"specials.name.blinding_stinger","眩惑のトゲ針"
"specials.name.blinding_strike","ブラインド ストライク"
"specials.name.blinding_wisdom","まばゆい智慧"
"specials.name.blizzard","ブリザード"
"specials.name.blizzard_roar","ブリザード ロア"
"specials.name.blob_of_fury","怒りの塊"
"specials.name.blood_illusion","血の幻想"
"specials.name.blood_petals_of_the_withered","血の花びら"
"specials.name.blood_sacrifice","ブラッドストライク"
"specials.name.bloodthirst","ブラッドサースト"
"specials.name.blooming_growth","華々しい成長"
"specials.name.bludgeoning","殴打"
"specials.name.blue_lizard_charge","青迷彩トカゲの突撃"
"specials.name.blue_shroom_wand","青のキノコの杖"
"specials.name.blur_of_steel","ブラーオブスティール"
"specials.name.blur_of_steel_pve","ブラーオブスティール"
"specials.name.boar_call","ボアコール"
"specials.name.boar_charge","イノシシの突進"
"specials.name.boar_of_fury","ボアの怒り"
"specials.name.boat_ride_from_the_beyond","深遠からの渡し船"
"specials.name.bobo_blitz","ボボブリッツ"
"specials.name.bolstering_rush","ボルスター ラッシュ"
"specials.name.bond_of_avarice","強欲の結束"
"specials.name.bone_arrow","骨の矢"
"specials.name.bone_club_clonk","骨棍棒殴り"
"specials.name.bone_club_party","ボーンクラブの宴"
"specials.name.bone_ritual","骨の儀式"
"specials.name.bone_slam","ボーンスラム"
"specials.name.bone_toss","空飛ぶ骨"
"specials.name.booming_mend","著しい改善"
"specials.name.boon_of_gjallarhorn","ギャラルホルンの恩恵"
"specials.name.boopstrike","ブープストライク"
"specials.name.boreal_bash","殴りつける北風"
"specials.name.boulder_smash","ボルダースマッシュ"
"specials.name.bound_by_knowledge","知識の絆"
"specials.name.bound_by_tales","物語の絆"
"specials.name.bounty_of_the_spring","春の褒賞"
"specials.name.bouquet_of_the_seas","海の花束"
"specials.name.brain_link","ブレインリンク"
"specials.name.branded_by_fire","炎の焼き印"
"specials.name.break_free","解放"
"specials.name.break_strike","ブレイクストライク"
"specials.name.breaker_blade","ブレーカーの剣"
"specials.name.breaker_blade_pve","ブレーカーの剣"
"specials.name.breath_of_darkness","闇の吐息"
"specials.name.breath_of_life","命の吐息"
"specials.name.breath_of_the_abyss","深淵の吐息"
"specials.name.brew_of_the_centaurs","ケンタウルスの醸造酒"
"specials.name.brides_kiss","花嫁のキス"
"specials.name.brilliant_brew","最高の酒"
"specials.name.brilliant_sweep_dragon_pve","ブリリアント・スイープ"
"specials.name.bringer_of_order","秩序をもたらす者"
"specials.name.brittling_burst","弱化バースト"
"specials.name.brittling_force","ブリトリングフォース"
"specials.name.brittling_strike","弱化ストライク"
"specials.name.bruiser_bros","ブルーザーブロス"
"specials.name.brutal_bull_rush","残忍なブルラッシュ"
"specials.name.brutal_support","残酷な支援"
"specials.name.buccaneers_blade","バッカニアーブレード"
"specials.name.bugs_shell","虫の殻"
"specials.name.building_blocks_bulklug","ブロック建造"
"specials.name.bulwark_charge","砦の一撃"
"specials.name.burning_ashes","燃える灰"
"specials.name.burning_ashes2","燃える灰"
"specials.name.burning_chains","バーニングチェイン"
"specials.name.burning_claws_dragon_pve","灼熱の爪"
"specials.name.burning_javelin","炎の槍"
"specials.name.burning_pollen_dragon_pve","炎の翼"
"specials.name.burning_shields","バーニングシールド"
"specials.name.burning_spin","バーニングスピン"
"specials.name.burning_strike","バーンストライク"
"specials.name.burning_thread","燃える糸"
"specials.name.burning_wok","燃える中華鍋"
"specials.name.but_a_scratch","ひっかき傷に過ぎない"
"specials.name.butterfly_swarm","蝶の群れ"
"specials.name.call_of_the_elements","自然の呼び声"
"specials.name.call_to_arms","戦闘準備命令"
"specials.name.calling_the_bluff","ハッタリの見破り"
"specials.name.calm_jab_dragon_pve","静かなひと突き"
"specials.name.calming_mist","カルミングミスト"
"specials.name.camouflage_foliage","枝葉カモフラージュ"
"specials.name.candy_vines","キャンディヴァイン"
"specials.name.cannibalizing_munch","共食いのむさぼり"
"specials.name.cannon_blast","キャノンブラスト"
"specials.name.cannonball_splash","キャノンボール・スプラッシュ"
"specials.name.capsicum_charge","トウガラシの突撃"
"specials.name.captains_cutlass","キャプテンのカトラス"
"specials.name.captivating_illusions","魅惑の幻影"
"specials.name.carnivore_garden","肉食動物の庭"
"specials.name.carve_a_hole","穴掘り"
"specials.name.carve_the_bones","骨削り"
"specials.name.cascading_darkness","連なりの闇"
"specials.name.cascading_whirlwind","旋風の滝"
"specials.name.cataclysmic_divination","大変動の予言"
"specials.name.catnip_fury","怒りのキャットニップ"
"specials.name.cauterizing_flame","灼熱の炎"
"specials.name.cauterizing_touch","焼灼の触接"
"specials.name.cavalier_hat_of_dark_realm","闇の領域のフェルト帽"
"specials.name.celestial_anvil","天空の金床"
"specials.name.ceremonial_dance","祭儀の演舞"
"specials.name.ceremonial_katar","祭儀のカタール"
"specials.name.chain_blasm_strike","連鎖ブラストストライク"
"specials.name.chain_lightning","チェーンライトニング"
"specials.name.chain_of_pain","痛みの連鎖"
"specials.name.chain_strike","チェインストライク"
"specials.name.chains_of_legion","軍勢の鎖"
"specials.name.chains_of_light","光の鎖"
"specials.name.chakram_kick","チャクラムキック"
"specials.name.challenge_the_strongest","最強の者への挑戦"
"specials.name.champagne_hammer","シャンパンのハンマー"
"specials.name.champion_maneuver","王者の動き"
"specials.name.championship_carrot","選手権キャロット"
"specials.name.change_stance","勝負師の斬撃"
"specials.name.channel_ki","気の集中"
"specials.name.channeler_of_the_cats","猫の使い"
"specials.name.channeler_of_the_gods","神の使い"
"specials.name.chaos_bolt_volley","混沌のボルト斉射"
"specials.name.chaos_venom","混沌の毒"
"specials.name.charged_fireball_dragon_pve","即発のファイヤーボール"
"specials.name.charm_of_protection","防護のお守り"
"specials.name.charmed_dual_blade","魅惑のデュアルブレード"
"specials.name.charmers_blades","術師の刃"
"specials.name.cheerful_charm","陽気な魅惑"
"specials.name.cheese_wheel_rampage","ホールチーズの暴虐"
"specials.name.cherry_pudding_served","チェリープディングできあがり！"
"specials.name.chieftains_vengeance","首長の報復"
"specials.name.chilling_counterattack","凍てつく反撃"
"specials.name.chilling_slash","チルスラッシュ"
"specials.name.chitin_cage","キチンの檻"
"specials.name.chords_of_distortion","不協和音"
"specials.name.chords_of_havoc","破壊の弦"
"specials.name.chords_of_inferno","地獄の和音"
"specials.name.claw_power","ゴブリンヒューリー"
"specials.name.claw_swipe","クロウスワイプ"
"specials.name.claws_of_fury","怒りの爪"
"specials.name.claws_of_the_hunter","ハンターのかぎ爪"
"specials.name.claws_of_the_lioness","メスライオンのかぎ爪"
"specials.name.claws_of_the_night","夜の爪"
"specials.name.claws_of_the_night_ultimate_boss","夜の爪"
"specials.name.cleansing_determination","浄化の決定"
"specials.name.cleansing_determination_pve","浄化の決定"
"specials.name.cleansing_strike","クレンズストライク"
"specials.name.cleave_and_reflect","クリーブ＆リフレクト"
"specials.name.cleave_counter","クリーブ＆カウンター"
"specials.name.clever_stratagem","賢い策略"
"specials.name.cloak_of_feathers","羽根のマント"
"specials.name.close_order_formation","密集陣形フォーメーション"
"specials.name.cloth_of_constellations","星座の衣"
"specials.name.cloud_axe","クラウドアックス"
"specials.name.cloud_hammer","クラウドハンマー"
"specials.name.clowns_blessing","道化師の祝福"
"specials.name.coastal_recharge","海岸の再突撃"
"specials.name.coiling_whip","とぐろの鞭打ち"
"specials.name.coins_of_pain","痛みのコイン"
"specials.name.cold_blast","ブリザード"
"specials.name.cold_blast_single","コールドブラスト"
"specials.name.cold_command","冷ややかな司令"
"specials.name.cold_fire","冷気の炎"
"specials.name.colossal_bite","コロッサルバイト"
"specials.name.colossal_carry","コロッサルキャリー"
"specials.name.colossal_chops","コロッサルチョップ"
"specials.name.comet","灼熱の光線"
"specials.name.command_pack","群れを導け"
"specials.name.command_sand_golems","砂のゴーレム使役"
"specials.name.command_to_advance","前進命令"
"specials.name.command_to_advance_costume_fire_bat","前進命令"
"specials.name.commanders_gauntlet","司令官の装甲手袋"
"specials.name.commodores_malice","准将の悪意"
"specials.name.commodores_revenge","准将の復讐"
"specials.name.compact_lance","コンパクト ランス"
"specials.name.concussive_charge","昏倒攻撃"
"specials.name.confident_strategy","自信満々の戦略"
"specials.name.conjure_the_azure_spirit","紺碧の魂召喚"
"specials.name.connect_ki","気の結合"
"specials.name.connect_ki_pve","気の結合"
"specials.name.conquerors_command","征服者の命令"
"specials.name.constellation_crush","星座の粉砕"
"specials.name.corals_of_nourishment","滋養のサンゴ"
"specials.name.core_beam","コアビーム"
"specials.name.core_blast","コアブラスト"
"specials.name.core_burst","コアバースト"
"specials.name.corroding_cutlass","腐食の短剣"
"specials.name.corrosive_acid","強酸攻撃"
"specials.name.corrosive_burn_claws_dragon_pve","爛れの火爪"
"specials.name.corrosive_claws_dragon_pve","爛れの毒爪"
"specials.name.corrosive_pollen","爛れの花粉"
"specials.name.corrupting_idol","堕落したアイドル"
"specials.name.cosmic_clock","宇宙時計"
"specials.name.cosmic_devotion","宇宙の献身"
"specials.name.countering_hammock","反撃のハンモック"
"specials.name.counterstance","カウンタースタンス"
"specials.name.couriers_dash","案内人の突進"
"specials.name.cover_slam","カバースラム"
"specials.name.covert_stab","無慈悲な刃"
"specials.name.cracked_skull_strike","頭蓋骨粉砕の一撃"
"specials.name.crawling_vines","クローリング・ヴァイン"
"specials.name.crazed_lunge","狂った突き刺し"
"specials.name.crazed_stampede","クレイジースタンピード"
"specials.name.creative_hands","創造の手"
"specials.name.creeping_venom","忍び寄る毒"
"specials.name.creeping_vines","クリープヴァイン"
"specials.name.crescent_moon_strike","三日月攻撃"
"specials.name.crescent_shield","クレセントシールド"
"specials.name.crescent_spear","クレセントスピア"
"specials.name.crimson_blade","クリムゾンブレード"
"specials.name.crimson_calamity","クリムゾンカラミティ"
"specials.name.crimson_calamity2","クリムゾンカラミティ"
"specials.name.crimson_hunt","クリムゾンハント"
"specials.name.crippling_claws","クリップリング・グラップル"
"specials.name.crippling_claws_pve","クリップリング・クロウ"
"specials.name.crippling_grapple","クリップリング・グラップル"
"specials.name.critical_cookout","死の野外料理"
"specials.name.critical_tactics","重要な戦術"
"specials.name.croc_bite","クロコ バイター"
"specials.name.crush_of_avarice","強欲の粉砕"
"specials.name.crush_of_hel","クラッシュヘル"
"specials.name.crush_of_malice","悪意ある粉砕"
"specials.name.crush_of_toon_hel","アニメ風クラッシュヘル"
"specials.name.crushing_claws","クラッシング クロウ"
"specials.name.crushing_shot","クラッシュショット"
"specials.name.crust_of_divinity","神業の焼き上げ"
"specials.name.cry_for_absolution","赦免の叫び"
"specials.name.crystal_barrage","水晶のバレージ"
"specials.name.crystal_bombardment","水晶の爆撃"
"specials.name.crystal_embrace","クリスタルの抱擁"
"specials.name.crystalis","凍結の結晶"
"specials.name.crystalline_strike","クリスタルストライク"
"specials.name.cub_leader_cut","カブリーダーカット"
"specials.name.cube_of_dark_realm","闇領域のキューブ"
"specials.name.cult_of_arachnid","蜘蛛の教団"
"specials.name.cunning_knife","巧みなナイフ"
"specials.name.cup_of_mead","一杯の蜂蜜酒"
"specials.name.curse_of_sargasso","サルガッソの呪い"
"specials.name.curse_of_the_cephaloid","セファロイドの呪い"
"specials.name.curse_of_the_depths","深淵の呪い"
"specials.name.curse_of_the_sea","海の呪い"
"specials.name.curse_of_the_specter","亡霊の呪い"
"specials.name.curse_of_the_specter_pve","亡霊の呪い"
"specials.name.cursed_fumes","呪いの噴煙"
"specials.name.cursed_fumes2","呪いの噴煙"
"specials.name.cursed_garden","呪いの庭"
"specials.name.cursed_painting","呪いの絵"
"specials.name.cursed_plan","呪いの計画"
"specials.name.cursed_strike","呪いの一撃"
"specials.name.cursed_tail_whip","呪いのしっぽ鞭"
"specials.name.cut_cure_and_craze","切断と治癒と狂気"
"specials.name.cut_down_the_competition","ライバルを蹴り落とせ"
"specials.name.cute_and_dangerous","キュート・アンド・デンジャラス"
"specials.name.cuts_of_hulu","フールーの切断"
"specials.name.dagger_of_shadows","影の刃"
"specials.name.dance_of_fire","ファイヤーダンス"
"specials.name.dance_of_flame","炎の踊り"
"specials.name.dance_of_glass","ガラスのダンス"
"specials.name.dance_of_ignition","発火のダンス"
"specials.name.dance_of_siegfried","ジークフリートのダンス"
"specials.name.dance_of_spirits","精霊のダンス"
"specials.name.dance_of_the_dunes","砂丘のダンス"
"specials.name.dance_of_the_heron","鷺のダンス"
"specials.name.dance_of_the_little_swan","幼き白鳥のダンス"
"specials.name.dance_of_the_queen","女王のダンス"
"specials.name.dance_of_the_raven","黒鳥のダンス"
"specials.name.dance_of_the_slimy","スライミーのダンス"
"specials.name.dance_of_the_swan","白鳥のダンス"
"specials.name.dance_of_the_yellow_swan","光の白鳥のダンス"
"specials.name.dance_of_toons","カートゥーンダンス"
"specials.name.dancestance","ダンスの構え"
"specials.name.dancing_dodge","踊りの回避"
"specials.name.dancing_slash","ダンシング・スラッシュ"
"specials.name.dantes_inferno","ダンテの灼熱地獄"
"specials.name.dark_barrage","ダークバレージ"
"specials.name.dark_bolt","闇のボルト"
"specials.name.dark_lord","滅びの一撃"
"specials.name.dark_mirror","炎のカガミ"
"specials.name.dark_orb","闇のオーブ"
"specials.name.dark_shock","闇の衝撃"
"specials.name.darts_of_the_deep","深海のダーツ"
"specials.name.dauntless_bladestorm","不屈のブレードストーム"
"specials.name.dawn_strike","ドーンストライク"
"specials.name.dawnlight_rally","あけぼのの招集"
"specials.name.day_of_judgement","裁きの日"
"specials.name.day_of_reckoning","裁きの日"
"specials.name.dazzling_gleam","眩い光"
"specials.name.dazzling_grin","ダズリンググリン"
"specials.name.dazzling_sweep_dragon_pve","ダズリング・スイープ"
"specials.name.deadly_claw","命取りの爪"
"specials.name.deadly_constriction","致命的な圧縮"
"specials.name.deadly_riposte","致死の即妙"
"specials.name.deadly_sting","致死の一刺し"
"specials.name.deafening_parade","耳をつんざく行進"
"specials.name.deathly_glaive","デスリーグレイブ"
"specials.name.deathstrike","デスストライク"
"specials.name.debt_drain_boboosang","借金排出"
"specials.name.deceiving_glow","欺瞞の輝き"
"specials.name.deceptive_smalltalk","欺きの語らい"
"specials.name.deep_sea_ritual","深海の儀礼"
"specials.name.defensive_tactics","防衛戦術"
"specials.name.delay_the_inevitable","死の延期"
"specials.name.delicious_demise","甘美なる死"
"specials.name.delicious_idol","美味なる偶像"
"specials.name.demolishing_crush","デモリッシャークラッシュ"
"specials.name.demoralizing_banter","士気を下げる嘲笑"
"specials.name.depth_blast","デプスブラスト"
"specials.name.deranged_existence","錯乱の存在"
"specials.name.desert_blessing","砂漠の祝福"
"specials.name.destructive_strike","トライデントランジ"
"specials.name.deteriorating_morale","崩壊する士気"
"specials.name.devastating_slash","壊滅の切りつけ"
"specials.name.devastating_thrust","壊滅的なスラスト"
"specials.name.dewling_strike","小露の一撃"
"specials.name.dewling_sweep","小露のひとなぎ"
"specials.name.dewling_warcry","小露の雄叫び"
"specials.name.dig_a_hole","穴掘り"
"specials.name.dinner_with_the_beast","野獣との晩餐"
"specials.name.dire_ghost","切迫のゴースト"
"specials.name.directors_blessing","指導者の恩恵"
"specials.name.directors_blessing_pve","指導者の恩恵"
"specials.name.disabling_decree","無力化宣告"
"specials.name.disabling_study","無力化の研究"
"specials.name.disarming_gaze_dragon_pve","無邪気なる眼差し"
"specials.name.disheartening_riddle","破滅の謎"
"specials.name.dishonorable_ploy","卑劣なる策略"
"specials.name.disir_of_dreams","夢の願い"
"specials.name.disir_of_dusk","ディーシルの夕闇"
"specials.name.dispelling_curse","呪い払い"
"specials.name.dispelling_judgement","拭いの裁定"
"specials.name.dispelling_potion","一掃の水薬"
"specials.name.dispelling_strike","ディスペリング ストライク"
"specials.name.dispelling_willpower","意志の力の排除"
"specials.name.dispelling_willpower_pve","意志の力の排除"
"specials.name.disquieting_tune","不穏なる曲"
"specials.name.disrupting_charge","破壊の一撃"
"specials.name.disrupting_charge_costume_tiger_lord","惨害の突撃"
"specials.name.divine_connection","神との融合"
"specials.name.divine_current","神々しき流れ"
"specials.name.divine_light1","神聖なる光"
"specials.name.divine_lunge","神のひと突き"
"specials.name.divine_protection","神の加護"
"specials.name.divine_protection_deadly","神の加護"
"specials.name.divine_reflection","神通力"
"specials.name.divine_reversal","神の反逆"
"specials.name.dizzying_strike","眩惑の一撃"
"specials.name.donut_to_the_rescue","救助にドーナッツを！"
"specials.name.doomrend","滅びの引き裂き"
"specials.name.doomstrike","滅びの一撃"
"specials.name.double_flail_mayhem","ダブルフレイルで大暴れ"
"specials.name.double_strike","ダブルストライク"
"specials.name.doublebarreled_starstick","二連星杖"
"specials.name.dozy_mead","催眠の蜂蜜酒"
"specials.name.dragon_autumn_blaze","秋の火炎"
"specials.name.dragon_blaze_of_fatigue","疲労の火炎"
"specials.name.dragon_blaze_of_mortality","死の火炎"
"specials.name.dragon_blaze_of_protection","庇護の火炎"
"specials.name.dragon_blaze_of_suppression","制圧の火炎"
"specials.name.dragon_blaze_of_the_hydra","ヒドラの火炎"
"specials.name.dragon_blaze_of_the_undying","不死なる者の火炎"
"specials.name.dragon_blaze_of_torment","苦痛の火炎"
"specials.name.dragon_blazing_inferno","燃え盛るインフェルノ"
"specials.name.dragon_blazing_storm","火炎の嵐"
"specials.name.dragon_blinding_blaze","眩惑の火炎"
"specials.name.dragon_blinding_blaze_duskwing","眩惑の火炎"
"specials.name.dragon_blinding_blaze_jawbreaker","眩惑の火炎"
"specials.name.dragon_blinding_blaze_wildheart","眩惑の火炎"
"specials.name.dragon_breath_of_bulwark","砦の息吹"
