"specials.name.a_cozy_break","Słodka przerwa"
"specials.name.amphibious_assault","Szturm z wody"
"specials.name.ancient_dragon_sword","Miecz starożytnego smoka"
"specials.name.ancient_enchantment","Starożytne zaklęcie"
"specials.name.ancient_flames","Pradawne Płomienie"
"specials.name.ancient_martial_arts","Starożytne sztuki walki"
"specials.name.ancient_mirror","Starożytne zwierciadło"
"specials.name.ancient_ritual","Starożytny rytuał"
"specials.name.ancient_spell","Starożytne zaklęcie"
"specials.name.ancient_technology","Starożytna technologia"
"specials.name.ancient_vengeance","Przedwieczna zemsta"
"specials.name.anger_of_forest","Furia lasu"
"specials.name.anger_of_the_jester","Furia błazna"
"specials.name.anger_of_the_woods","Gniew lasu"
"specials.name.anger_of_the_woods_pve","Gniew lasu"
"specials.name.angry_boar","Wściekły dzik"
"specials.name.angry_boar_pve","Wściekły dzik"
"specials.name.anthem_of_the_lake","Hymn jeziora"
"specials.name.aphotic_maw","Afotyczny mlask"
"specials.name.aphotic_whisper","Afotyczny szept"
"specials.name.apothecary_kit","Zestaw aptekarza"
"specials.name.aquatic_dance","Wodny taniec"
"specials.name.aquatic_outbreak","Fala wodna"
"specials.name.arcane_blast","Tajemny grom"
"specials.name.arcane_shock","Magiczny wstrząs"
"specials.name.archaic_dread","Archaiczna zgroza"
"specials.name.archaic_sacred_symbol","Archaiczny święty symbol"
"specials.name.arctic_breeze","Arktyczna bryza"
"specials.name.arctic_guard","Arktyczny strażnik"
"specials.name.arctic_veil","Arktyczny całun"
"specials.name.arctic_wound","Arktyczna rana"
"specials.name.arrow_of_desire","Strzała pożądania"
"specials.name.arrow_of_nujalik","Strzała Nujalik"
"specials.name.arrows_and_claws","Strzały i szpony"
"specials.name.arrows_of_altruism_liora","Strzały altruizmu"
"specials.name.arrows_of_frost","Strzały mrozu"
"specials.name.arrows_of_fury","Strzały furii"
"specials.name.artful_backstab","Artystyczne dźgnięcie w plecy"
"specials.name.artful_recreation","Dzieło uzdrowienia"
"specials.name.artisans_shot","Rzemieślniczy strzał"
"specials.name.ashes_to_ashes","Starcie na popiół"
"specials.name.assassins_blades","Ostrza zabójcy"
"specials.name.assassins_in_the_night","Nocni zabójcy"
"specials.name.assassins_in_the_night_pve","Nocni zabójcy"
"specials.name.asterius","Brutalna szarża"
"specials.name.astral_assistance","Astralne wsparcie"
"specials.name.astral_brew","Astralny napar"
"specials.name.astral_dominion","Astralne dominium"
"specials.name.astral_gemstones","Astralne klejnoty"
"specials.name.astral_myrrh","Astralna mirra"
"specials.name.astral_orb","Astralna kula"
"specials.name.astral_pastries","Astralne wypieki"
"specials.name.astral_provocation","Astralna prowokacja"
"specials.name.astral_summon","Astralne wezwanie"
"specials.name.athenas_arrow","Strzała Ateny"
"specials.name.athenas_bow","Łuk Ateny"
"specials.name.atlantean_blade","Miecz z Atlantydy"
"specials.name.atlantean_blade_costume","Atlantejskie ostrze"
"specials.name.atlantean_charge","Atlantejska szarża"
"specials.name.atlantean_toon_spear","Kreskówkowa włócznia z Atlantydy"
"specials.name.atlantean_toon_sword","Kreskówkowy miecz z Atlantydy"
"specials.name.attack_rally","Masowy atak"
"specials.name.aura_of_twilight","Aura zmierzchu"
"specials.name.aura_wave","Fala aury"
"specials.name.autumnal_wind","Jesienny wiatr"
"specials.name.avenger_of_mothkind","Zabójcza ćma"
"specials.name.awaken_ki","Przebudzone Ki"
"specials.name.awe_bolt","Trujący grot"
"specials.name.axe_of_retribution","Topór zemsty"
"specials.name.axe_throw","Rzut toporem"
"specials.name.azurelight_greatsword","Lazurytowy wielki miecz"
"specials.name.backstab","Dźgnięcie w plecy"
"specials.name.bad_fortune","Pech"
"specials.name.bag_of_necessities","Torba pierwszej potrzeby"
"specials.name.bagh_nakh_thrust","Pchnięcie Bagh Nakh"
"specials.name.bakers_baguettes","Bagietki piekarza"
"specials.name.balanced_teamwork","Wyważona praca zespołowa"
"specials.name.ballad_of_attraction","Ballada uroku"
"specials.name.ballad_of_condemnation","Ballada potępienia"
"specials.name.ballad_of_obsession","Ballada obsesji"
"specials.name.ballad_of_pain","Ballada bólu"
"specials.name.ballad_of_passion","Ballada namiętności"
"specials.name.ballad_of_purple_swan","Ballada mrocznego łabędzia"
"specials.name.ballad_of_restoration","Ballada odrodzenia"
"specials.name.ballad_of_the_purple_swan","Ballada mrocznego łabędzia"
"specials.name.bandalore_dance","Taniec Jojo"
"specials.name.barb_sting_dragon_pve","Wąsate użądlenie"
"specials.name.barbed_arrows","Kolczaste strzały"
"specials.name.barbed_bolt_zidane","Kolczasty pocisk"
"specials.name.bark_of_protection","Kora ochrony"
"specials.name.basilisk_breath","Zew bazyliszka"
"specials.name.battering_ram","Taran"
"specials.name.battle_boast","Bitewna pochwała"
"specials.name.battleclaw_strike","Uderzenie pazura"
"specials.name.beach_party","Impreza na plaży"
"specials.name.beautiful_petals","Piękne płatki"
"specials.name.bee_bombast","Pszczeli patos"
"specials.name.bee_bravado","Pszczela brawura"
"specials.name.beetle_strike","Zaciętość żuka"
"specials.name.berserker_strike","Uderzenie berserkera"
"specials.name.bewildering_riddle","Zdumiewająca łamigłówka"
"specials.name.bewitched_daggers","Zaczarowane sztylety"
"specials.name.binding_contract","Wiążący kontrakt"
"specials.name.birch_blessing","Brzozowe błogosławieństwo"
"specials.name.bite_of_protection","Ukąszenie ochrony"
"specials.name.bites_of_disorientation","Dezorientujące ugryzienia"
"specials.name.bitter_berry_blast_dragon_pve","Eksplozja gorzkiej jagody"
"specials.name.bizarre_mist","Osobliwa mgła"
"specials.name.black_tassel_spear_sting","Pchnięcie włóczni z czarnym frędzlem"
"specials.name.black_tide","Czarny przypływ"
"specials.name.blade_barrage","Grad ostrzy"
"specials.name.blade_dance","Taniec ostrzy"
"specials.name.blade_of_betrayal","Ostrze zdrady"
"specials.name.blade_of_bundelkhand","Ostrze z Bundelkhand"
"specials.name.blade_of_horrid_affliction","Ostrze koszmarnej udręki"
"specials.name.blade_tail_swipe","Rąbnięcie ogonem"
"specials.name.blade_venom","Zatrute ostrza"
"specials.name.blade_wings","Skrzydlate ostrza"
"specials.name.blazing_beak","Śmigły dziób"
"specials.name.blazing_corolla","Paląca korona"
"specials.name.blazing_inferno","Piekielne płomienie"
"specials.name.blazing_rave_dance","Płonący rave"
"specials.name.blazing_slam_dunk","Płomienny wsad"
"specials.name.blazing_venom","Palący jad"
"specials.name.bleed_inducing_daggers","Sztylety wywołujące krwawienie"
"specials.name.bleeding_edge","Krwawe ostrze"
"specials.name.bleeding_hammer","Krwawy młot"
"specials.name.bleeding_stab","Krwawe dźgnięcie"
"specials.name.bleeding_thrust","Krwawe pchnięcie"
"specials.name.blessed_blade","Błogosławione ostrza"
"specials.name.blessed_blade_pve","Błogosławione ostrza"
"specials.name.blessed_brew","Błogosławiony napar"
"specials.name.blessed_solo","Błogosławione solo"
"specials.name.blessed_tankard","Błogosławiony Kufel"
"specials.name.blessing_from_the_future","Błogosławieństwo z przyszłości"
"specials.name.blessing_of_gjallarhorn","Błogosławieństwo Gjallarhorna"
"specials.name.blessing_of_the_evergrove","Błogosławieństwo Wiecznego Gaju"
"specials.name.blessing_of_the_skies","Błogosławieństwo Niebios"
"specials.name.blind_rage","Ślepa furia"
"specials.name.blinding_attack","Oślepiający atak"
"specials.name.blinding_curse","Oślepiająca klątwa"
"specials.name.blinding_flash","Oślepiający błysk"
"specials.name.blinding_flash_s4","Oślepiający błysk"
"specials.name.blinding_injustice","Oślepiająca niesprawiedliwość"
"specials.name.blinding_knowledge","Oślepiająca wiedza"
"specials.name.blinding_light","Oślepiające światło"
"specials.name.blinding_orb","Oślepiająca kula"
"specials.name.blinding_pounce","Oślepiający sus"
"specials.name.blinding_spell","Czar oślepiający"
"specials.name.blinding_spit","Oślepiający śluz"
"specials.name.blinding_stinger","Oślepiające żądło"
"specials.name.blinding_strike","Oślepiające uderzenie"
"specials.name.blinding_wisdom","Oślepiająca mądrość"
"specials.name.blizzard","Zamieć"
"specials.name.blizzard_roar","Śnieżny ryk"
"specials.name.blob_of_fury","Szlam furii"
"specials.name.blood_illusion","Iluzja krwi"
"specials.name.blood_petals_of_the_withered","Krwawe płatki"
"specials.name.blood_sacrifice","Krwawe uderzenie"
"specials.name.bloodthirst","Żądza krwi"
"specials.name.blooming_growth","Rozkwitający wzrost"
"specials.name.bludgeoning","Maczuga"
"specials.name.blue_lizard_charge","Szarża błękitnej zakamuflowanej jaszczurki"
"specials.name.blue_shroom_wand","Błękitnogrzybia różdżka"
"specials.name.blur_of_steel","Stalowe rozmycie"
"specials.name.blur_of_steel_pve","Stalowe rozmycie"
"specials.name.boar_call","Przyzwanie dzika"
"specials.name.boar_charge","Szarża dzika"
"specials.name.boar_of_fury","Dzik furii"
"specials.name.boat_ride_from_the_beyond","Łódź z zaświatów"
"specials.name.bobo_blitz","Nalot Bobo"
"specials.name.bolstering_rush","Szaleńczy szturm"
"specials.name.bond_of_avarice","Więź chciwości"
"specials.name.bone_arrow","Kościana strzała"
"specials.name.bone_club_clonk","Łupnięcie kościaną pałką"
"specials.name.bone_club_party","Kościana imprezka"
"specials.name.bone_ritual","Rytuał kości"
"specials.name.bone_slam","Kościane uderzenie"
"specials.name.bone_toss","Fruwające kości"
"specials.name.booming_mend","Wybuchowa naprawa"
"specials.name.boon_of_gjallarhorn","Skarb z Gjallarhorn"
"specials.name.boopstrike","Atak noskiem"
"specials.name.boreal_bash","Północne uderzenie"
"specials.name.boulder_smash","Cios głazem"
"specials.name.bound_by_knowledge","Skrępowanie wiedzą"
"specials.name.bound_by_tales","Związanie opowieścią"
"specials.name.bounty_of_the_spring","Dar wiosny"
"specials.name.bouquet_of_the_seas","Bukiet morski"
"specials.name.brain_link","Spoiwo umysłu"
"specials.name.branded_by_fire","Naznaczenie ogniem"
"specials.name.break_free","Uzyskanie wolności"
"specials.name.break_strike","Odparcie uderzenia"
"specials.name.breaker_blade","Osłabiające ostrze"
"specials.name.breaker_blade_pve","Osłabiające ostrze"
"specials.name.breath_of_darkness","Tchnienie śmierci"
"specials.name.breath_of_life","Tchnienie życia"
"specials.name.breath_of_the_abyss","Tchnienie otchłani"
"specials.name.brew_of_the_centaurs","Napar centaurów"
"specials.name.brides_kiss","Pocałunek panny młodej"
"specials.name.brilliant_brew","Wyśmienity napitek"
"specials.name.brilliant_sweep_dragon_pve","Wspaniały wymach"
"specials.name.bringer_of_order","Zwiastun porządku"
"specials.name.brittling_burst","Kruszące rozerwanie"
"specials.name.brittling_force","Krusząca siła"
"specials.name.brittling_strike","Kruszące uderzenie"
"specials.name.bruiser_bros","Bracia w sińcach"
"specials.name.brutal_bull_rush","Brutalna szarża"
"specials.name.brutal_support","Brutalne wsparcie"
"specials.name.buccaneers_blade","Ostrze korsarza"
"specials.name.bugs_shell","Owadzia powłoka"
"specials.name.building_blocks_bulklug","Budulec"
"specials.name.bulwark_charge","Zaporowa szarża"
"specials.name.burning_ashes","Płonący popiół"
"specials.name.burning_ashes2","Płonący popiół"
"specials.name.burning_chains","Płonące więzy"
"specials.name.burning_claws_dragon_pve","Płonące szpony"
"specials.name.burning_javelin","Płonący oszczep"
"specials.name.burning_pollen_dragon_pve","Płonące skrzydła"
"specials.name.burning_shields","Płonące tarcze"
"specials.name.burning_spin","Płonący młyniec"
"specials.name.burning_strike","Płonące uderzenie"
"specials.name.burning_thread","Ognista nić"
"specials.name.burning_wok","Płonący wok"
"specials.name.but_a_scratch","Niewielkie zadrapanie"
"specials.name.butterfly_swarm","Chmara motyli"
"specials.name.call_of_the_elements","Wezwanie żywiołów"
"specials.name.call_to_arms","Wezwanie do broni"
"specials.name.calling_the_bluff","Sprawdzenie blefu"
"specials.name.calm_jab_dragon_pve","Opanowany cios"
"specials.name.calming_mist","Kojąca mgła"
"specials.name.camouflage_foliage","Roślinny kamuflaż"
"specials.name.candy_vines","Słodkorośl"
"specials.name.cannibalizing_munch","Kanibalistyczny kęs"
"specials.name.cannon_blast","Strzał z armaty"
"specials.name.cannonball_splash","Skok na bombę"
"specials.name.capsicum_charge","Ładunek pieprzowca"
"specials.name.captains_cutlass","Kapitański kordelas"
"specials.name.captivating_illusions","Urzekające iluzje"
"specials.name.carnivore_garden","Mięsożerny ogród"
"specials.name.carve_a_hole","Wycięcie dziury"
"specials.name.carve_the_bones","Rzeźbienie kości"
"specials.name.cascading_darkness","Kaskadujący mrok"
"specials.name.cascading_whirlwind","Kaskadujący wir"
"specials.name.cataclysmic_divination","Katastroficzna przepowiednia"
"specials.name.catnip_fury","Kocimiętkowa furia"
"specials.name.cauterizing_flame","Kauteryzujący płomień"
"specials.name.cauterizing_touch","Kauteryzujący dotyk"
"specials.name.cavalier_hat_of_dark_realm","Kapelusz kawalerzysty z królestwa mroku"
"specials.name.celestial_anvil","Niebiańskie kowadło"
"specials.name.ceremonial_dance","Taniec ceremonialny"
"specials.name.ceremonial_katar","Ceremonialny katar"
"specials.name.chain_blasm_strike","Seria wybuchowych uderzeń"
"specials.name.chain_lightning","Łańcuch błyskawic"
"specials.name.chain_of_pain","Bolesny łańcuch"
"specials.name.chain_strike","Reakcja łańcuchowa"
"specials.name.chains_of_legion","Łańcuchy legionu"
"specials.name.chains_of_light","Łańcuchy światła"
"specials.name.chakram_kick","Uderzenie czakramem"
"specials.name.challenge_the_strongest","Wyzwanie najsilniejszego"
"specials.name.champagne_hammer","Szampański młot"
"specials.name.champion_maneuver","Manewr czempiona"
"specials.name.championship_carrot","Mistrzowska marchewka"
"specials.name.change_stance","Cios ryzykanta"
"specials.name.channel_ki","Kanał Ki"
"specials.name.channeler_of_the_cats","Przyzywacz Kotów"
"specials.name.channeler_of_the_gods","Kanalizator bóstw"
"specials.name.chaos_bolt_volley","Salwa bełtów chaosu"
"specials.name.chaos_venom","Jad chaosu"
"specials.name.charged_fireball_dragon_pve","Naładowana kula ognia"
"specials.name.charm_of_protection","Ochronny urok"
"specials.name.charmed_dual_blade","Czarujące podwójne ostrze"
"specials.name.charmers_blades","Ostrza uwodziciela"
"specials.name.cheerful_charm","Radosne oczarowanie"
"specials.name.cheese_wheel_rampage","Szał serowego koła"
"specials.name.cherry_pudding_served","Zaserwowano wiśniowy budyń!"
"specials.name.chieftains_vengeance","Zemsta wodza"
"specials.name.chilling_counterattack","Wyziębiający kontratak"
"specials.name.chilling_slash","Mrożący cios"
"specials.name.chitin_cage","Chitynowa klatka"
"specials.name.chords_of_distortion","Przesterowane akordy"
"specials.name.chords_of_havoc","Akordy spustoszenia"
"specials.name.chords_of_inferno","Piekielne akordy"
"specials.name.claw_power","Furia goblinów"
"specials.name.claw_swipe","Cios pazurami"
"specials.name.claws_of_fury","Pazury furii"
"specials.name.claws_of_the_hunter","Szpony łowcy"
"specials.name.claws_of_the_lioness","Szpony lwicy"
"specials.name.claws_of_the_night","Pazury nocy"
"specials.name.claws_of_the_night_ultimate_boss","Pazury nocy"
"specials.name.cleansing_determination","Oczyszczająca wola"
"specials.name.cleansing_determination_pve","Oczyszczająca wola"
"specials.name.cleansing_strike","Cios oczyszczenia"
"specials.name.cleave_and_reflect","Rozpłatanie i odbicie"
"specials.name.cleave_counter","Rozszczepiaj i kontruj"
"specials.name.clever_stratagem","Fortel"
"specials.name.cloak_of_feathers","Płaszcz z piór"
"specials.name.close_order_formation","Zwarty szyk"
"specials.name.cloth_of_constellations","Całun konstelacji"
"specials.name.cloud_axe","Chmurny topór"
"specials.name.cloud_hammer","Niebiański młot"
"specials.name.clowns_blessing","Błogosławieństwo klauna"
"specials.name.coastal_recharge","Przybrzeżne doładowanie"
"specials.name.coiling_whip","Rozwijany bicz"
"specials.name.coins_of_pain","Monety bólu"
"specials.name.cold_blast","Zamieć"
"specials.name.cold_blast_single","Fala zimna"
"specials.name.cold_command","Lodowy władca"
"specials.name.cold_fire","Zimny ogień"
"specials.name.colossal_bite","Ugryzienie kolosa"
"specials.name.colossal_carry","Kolosalny dźwigacz"
"specials.name.colossal_chops","Uderzenia kolosa"
"specials.name.comet","Palący promień"
"specials.name.command_pack","Przywódca stada"
"specials.name.command_sand_golems","Dowodzenie piaskowymi golemami"
"specials.name.command_to_advance","Nakaz natarcia"
"specials.name.command_to_advance_costume_fire_bat","Rozkaz ataku"
"specials.name.commanders_gauntlet","Rękawica dowódcy"
"specials.name.commodores_malice","Nikczemność komandora"
"specials.name.commodores_revenge","Zemsta komandora"
"specials.name.compact_lance","Poręczna lanca"
"specials.name.concussive_charge","Oszałamiająca szarża"
"specials.name.confident_strategy","Pewna strategia"
"specials.name.conjure_the_azure_spirit","Przyzwanie lazurowego ducha"
"specials.name.connect_ki","Połączenie z Ki"
"specials.name.connect_ki_pve","Połączenie z Ki"
"specials.name.conquerors_command","Rozkaz zdobywcy"
"specials.name.constellation_crush","Zmiażdżenie konstelacji"
"specials.name.corals_of_nourishment","Koralowiec życia"
"specials.name.core_beam","Rdzeń wiązki"
"specials.name.core_blast","Kluczowa eksplozja"
"specials.name.core_burst","Rozerwanie rdzenia"
"specials.name.corroding_cutlass","Korodujący kordelas"
"specials.name.corrosive_acid","Żrący kwas"
"specials.name.corrosive_burn_claws_dragon_pve","Żrące płomienne szpony"
"specials.name.corrosive_claws_dragon_pve","Żrące szpony"
"specials.name.corrosive_pollen","Korozyjny pyłek kwiatowy"
"specials.name.corrupting_idol","Deprawujący bożek"
"specials.name.cosmic_clock","Kosmiczny zegar"
"specials.name.cosmic_devotion","Kosmiczne oddanie"
"specials.name.countering_hammock","Ripostujący hamak"
"specials.name.counterstance","Kontrpozycja"
"specials.name.couriers_dash","Pęd kuriera"
"specials.name.cover_slam","Obronny rzut"
"specials.name.covert_stab","Bezlitosne dźgnięcie"
"specials.name.cracked_skull_strike","Łamacz czaszek"
"specials.name.crawling_vines","Pełzające pnącza"
"specials.name.crazed_lunge","Szalona szarża"
"specials.name.crazed_stampede","Szalony pęd"
"specials.name.creative_hands","Zdolne rączki"
"specials.name.creeping_venom","Zdradliwy jad"
"specials.name.creeping_vines","Pnącze"
"specials.name.crescent_moon_strike","Półksiężycowe uderzenie"
"specials.name.crescent_shield","Zakrzywiona tarcza"
"specials.name.crescent_spear","Zakrzywiona włócznia"
"specials.name.crimson_blade","Karmazynowe ostrze"
"specials.name.crimson_calamity","Karmazynowe nieszczęście"
"specials.name.crimson_calamity2","Karmazynowe nieszczęście"
"specials.name.crimson_hunt","Karmazynowe łowy"
"specials.name.crippling_claws","Kaleczące szpony"
"specials.name.crippling_claws_pve","Kaleczące szpony"
"specials.name.crippling_grapple","Paraliżujący chwyt"
"specials.name.critical_cookout","Kluczowe kuchcenie"
"specials.name.critical_tactics","Kluczowa taktyka"
"specials.name.croc_bite","Ugryzienie krokodyla"
"specials.name.crush_of_avarice","Zmiażdżenie chciwości"
"specials.name.crush_of_hel","Siła Hel"
"specials.name.crush_of_malice","Nikczemne zmiażdżenie"
"specials.name.crush_of_toon_hel","Zmiażdżenie kreskówkowej Hel"
"specials.name.crushing_claws","Miażdżące szpony"
"specials.name.crushing_shot","Miażdżący strzał"
"specials.name.crust_of_divinity","Boskie ciasto"
"specials.name.cry_for_absolution","Wołanie o rozgrzeszenie"
"specials.name.crystal_barrage","Krystaliczna zapora"
"specials.name.crystal_bombardment","Krzyształowe bombardowanie"
"specials.name.crystal_embrace","Krzyształowy uścisk"
"specials.name.crystalis","Kryształ mrozu"
"specials.name.crystalline_strike","Krystaliczny cios"
"specials.name.cub_leader_cut","Przywódca szczeniaczków"
"specials.name.cube_of_dark_realm","Kostka królestwa mroku"
"specials.name.cult_of_arachnid","Kult pająka"
"specials.name.cunning_knife","Zręczne cięcie"
"specials.name.cup_of_mead","Kielich miodu"
"specials.name.curse_of_sargasso","Klątwa Sargassa"
"specials.name.curse_of_the_cephaloid","Klątwa czaszki"
"specials.name.curse_of_the_depths","Klątwa otchłani"
"specials.name.curse_of_the_sea","Klątwa mórz"
"specials.name.curse_of_the_specter","Przekleństwo widma"
"specials.name.curse_of_the_specter_pve","Przekleństwo widma"
"specials.name.cursed_fumes","Przeklęte opary"
"specials.name.cursed_fumes2","Przeklęte opary"
"specials.name.cursed_garden","Przeklęty ogród"
"specials.name.cursed_painting","Przeklęty obraz"
"specials.name.cursed_plan","Przeklęty plan"
"specials.name.cursed_strike","Przeklęty cios"
"specials.name.cursed_tail_whip","Smagnięcie przeklętym ogonem"
"specials.name.cut_cure_and_craze","Cięcie, lekarstwo i szał"
"specials.name.cut_down_the_competition","Wytnij Konkurencję"
"specials.name.cute_and_dangerous","Urok i niebezpieczeństwo"
"specials.name.cuts_of_hulu","Cięcia Hulu"
"specials.name.dagger_of_shadows","Sztylet cieni"
"specials.name.dance_of_fire","Taniec ognia"
"specials.name.dance_of_flame","Płomienny taniec"
"specials.name.dance_of_glass","Szklany taniec"
"specials.name.dance_of_ignition","Taniec zapłonu"
"specials.name.dance_of_siegfried","Taniec Siegfrieda"
"specials.name.dance_of_spirits","Taniec duchów"
"specials.name.dance_of_the_dunes","Taniec wydm"
"specials.name.dance_of_the_heron","Taniec czapli"
"specials.name.dance_of_the_little_swan","Taniec małego łabędzia"
"specials.name.dance_of_the_queen","Taniec królowej"
"specials.name.dance_of_the_raven","Taniec czarnej łabędzicy"
"specials.name.dance_of_the_slimy","Śluzowy taniec"
"specials.name.dance_of_the_swan","Taniec łabędzi"
"specials.name.dance_of_the_yellow_swan","Taniec łabędzia światła"
"specials.name.dance_of_toons","Taniec kreskówkowych"
"specials.name.dancestance","Tańce łamańce"
"specials.name.dancing_dodge","Taneczny unik"
"specials.name.dancing_slash","Taneczne cięcie"
"specials.name.dantes_inferno","Piekło Dantego"
"specials.name.dark_barrage","Mroczna zapora"
"specials.name.dark_bolt","Mroczny bełt"
"specials.name.dark_lord","Cios zagłady"
"specials.name.dark_mirror","Zwierciadło ognia"
"specials.name.dark_orb","Kula ciemności"
"specials.name.dark_shock","Mroczne porażenie"
"specials.name.darts_of_the_deep","Głębinowe strzały"
"specials.name.dauntless_bladestorm","Nieustraszona burza ostrzy"
"specials.name.dawn_strike","Rażenie świtu"
"specials.name.dawnlight_rally","Świetlisty napływ"
"specials.name.day_of_judgement","Sądny dzień"
"specials.name.day_of_reckoning","Dzień sądu ostatecznego"
"specials.name.dazzling_gleam","Olśniewający blask"
"specials.name.dazzling_grin","Olśniewający uśmiech"
"specials.name.dazzling_sweep_dragon_pve","Olśniewający wymach"
"specials.name.deadly_claw","Śmiercionośny szpon"
"specials.name.deadly_constriction","Śmiertelny ucisk"
"specials.name.deadly_riposte","Śmiertelna riposta"
"specials.name.deadly_sting","Zabójcze użądlenie"
"specials.name.deafening_parade","Ogłuszająca parada"
"specials.name.deathly_glaive","Śmiercionośny miecz"
"specials.name.deathstrike","Śmiertelny cios"
"specials.name.debt_drain_boboosang","Spłata długu"
"specials.name.deceiving_glow","Podstępna aura"
"specials.name.deceptive_smalltalk","Zwodnicza pogawędka"
"specials.name.deep_sea_ritual","Rytuał z głębin"
"specials.name.defensive_tactics","Taktyka obronna"
"specials.name.delay_the_inevitable","Odwleczenie nieuchronnego"
"specials.name.delicious_demise","Wyśmienita śmierć"
"specials.name.delicious_idol","Pyszny bożek"
"specials.name.demolishing_crush","Niszczące zmiażdżenie"
"specials.name.demoralizing_banter","Demoralizujące prześmiechy"
"specials.name.depth_blast","Łomot z głębin"
"specials.name.deranged_existence","Chaotyczna egzystencja"
"specials.name.desert_blessing","Pustynne błogosławieństwo"
"specials.name.destructive_strike","Miot trójzębem"
"specials.name.deteriorating_morale","Podupadające morale"
"specials.name.devastating_slash","Niszczycielskie cięcie"
"specials.name.devastating_thrust","Miażdżące pchnięcie"
"specials.name.dewling_strike","Kropelkowy cios"
"specials.name.dewling_sweep","Kropelkowy wymach"
"specials.name.dewling_warcry","Kropelkowy okrzyk bitewny"
"specials.name.dig_a_hole","Wykop dziurę"
"specials.name.dinner_with_the_beast","Kolacja z bestią"
"specials.name.dire_ghost","Straszny duch"
"specials.name.directors_blessing","Błogosławieństwo dyrektorki"
"specials.name.directors_blessing_pve","Błogosławieństwo dyrektorki"
"specials.name.disabling_decree","Dekret wyłączający"
"specials.name.disabling_study","Analiza unieruchamiania"
"specials.name.disarming_gaze_dragon_pve","Rozbrajające spojrzenie"
"specials.name.disheartening_riddle","Zniechęcająca zagadka"
"specials.name.dishonorable_ploy","Haniebny fortel"
"specials.name.disir_of_dreams","Dísir snów"
"specials.name.disir_of_dusk","Dísir zmierzchu"
"specials.name.dispelling_curse","Rozproszenie klątwy"
"specials.name.dispelling_judgement","Dementujący osąd"
