"quests.name.ancient_dragon","Racines ancestrales"
"quests.name.styx","Tour du Styx"
"quests.name.styx_impossible","Tour du Styx : impossible"
"quests.name.summer_2018","L'Empire des Sables"
"quests.name.super_class_barbarian","Épreuves de maître barbare"
"quests.name.super_class_cleric","Épreuves de maître ecclésiastique"
"quests.name.super_class_druid","Épreuves de maître druide"
"quests.name.super_class_fighter","Épreuves de maître combattant"
"quests.name.super_class_monk","Épreuves de maître moine"
"quests.name.super_class_paladin","Épreuves de maître paladin"
"quests.name.super_class_ranger","Épreuves de maître ranger"
"quests.name.super_class_rogue","Épreuves de maître voyou"
"quests.name.super_class_sorcerer","Épreuves de maître sorcier"
"quests.name.super_class_wizard","Épreuves de maître magicien"
"quests.name.super_elemental","Concours des éléments"
"quests.name.treasure_quest","Quête de trésor"
"quests.name.valentines","Saison de l'amour"
"quests.name.villains","Ligue des vauriens"
"quests.name.xmas_2017","Sauver l'hiver"
"quests.name.xmas_2018","Défi du père Noël"
"quests.name.xp","Gagner de l'Expérience"
"quests.special_rule.name.assist_dragon_mastery","Maîtrise des dragons de soutien"
"quests.special_rule.name.astralelves","Elfes astraux"
"quests.special_rule.name.covenant","Pacte des champions"
"quests.special_rule.name.event_bonus","Bonus de héros d'événement"
"quests.special_rule.name.family_bonus","Familles à la une"
"quests.special_rule.name.goblin","Village des gobelins"
"quests.special_rule.name.hero_roster_mastery","Maîtrise de la liste de héros"
"quests.special_rule.name.magiccurse","Malédiction magique"
"quests.special_rule.name.onicurse","Malédiction oni"
