"herocard.passive_skill.description.addmana.all.allies","All allies gain a small amount of mana."
"herocard.passive_skill.description.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","When this character starts a turn with low health for the first time during a battle, they recover {HEALTH}% health and receive {MANA}% mana."
"herocard.passive_skill.description.convertincomingdamagetoheal.all.statuseffect","Whenever this character would take damage from a status ailment, they will recover that much health instead."
"herocard.passive_skill.description.convertincomingdamagetoheal.statuseffect","Whenever this character would take damage from a status ailment, they will recover health instead. The healed amount is {MULTIPLIER}% of the damage."
"herocard.passive_skill.description.criticalmodifiersupportcharacter.troop","{CRITICALMODIFIER}% critical chance."
"herocard.passive_skill.description.damage.all.enemies","Deals {DAMAGE}% damage to all enemies."
"herocard.passive_skill.description.damagefamiliarsovertime.all.enemies.minion.bigminion","Deals {DAMAGEPERTURN} damage to all enemy Minions and Mega Minions every {TURNS} turns."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.bigminion.minion","Deals {DAMAGEPERTURN} damage to all enemy Minions and Mega Minions at the start of each turn."
"herocard.passive_skill.description.damagefamiliarsovertime.everyturn.all.enemies.minion.bigminion","Deals {DAMAGEPERTURN} damage to all enemy Minions and Mega Minions at the start of each turn."
"herocard.passive_skill.description.damageincreasebyinsanity.troop.specialskill.npcnormalattack","All damage from normal attacks and Special Skills dealt by this character is increased by {DAMAGEINCREASEPERSTEP}% per {INSANITYPERSTEP} Insanity on this character up to {MAXDAMAGEINCREASE}%."
"herocard.passive_skill.description.dealtdamagemodifieragainststatuseffect.bloodlily.stacks.troop.specialskill.npcnormalattack.add_modifier_per_stack","All damage from normal attacks and Special Skills dealt by this character is increased by {MODIFIER}% per Blood Lily stack on target."
"herocard.passive_skill.description.dealtstrongelementsupportcharacterdamage.increase","This hero's Troops deal extra elemental damage against the weaker element.

Dealt extra elemental damage: +{MODIFIER}%"
"herocard.passive_skill.description.debuffdamagereduction","Damage caused by status ailments reduced by {DAMAGEREDUCTION}%"
"herocard.passive_skill.description.debuffdamagereductionsupportcharacter.troop","Damage caused by status ailments reduced by {DAMAGEREDUCTION}% for this character."
"herocard.passive_skill.description.destructivecoreintrinsicchargeeffectonspecial.damage.all.enemies.always","The Construct Core of this character is a Destructive Core.

The Destructive Core activates each time this character's Special Skill is cast:

 With a fully charged Destructive Core, deals {CHARGEDPOWER1}% damage to all enemies.
 The damage is scaled by the amount of charge in the Core. All charge is exhausted when the Core is activated."
"herocard.passive_skill.description.dispelonownfamiliardeath.minion.minordebuff","This character is cleansed of status ailments when a Minion owned by them is destroyed."
"herocard.passive_skill.description.dodgespecialdamage","This character has a {CHANCE}% chance to dodge Special Skills that deal damage."
"herocard.passive_skill.description.eatfamiliarsonspecialcast.parasite.allies.single","When this character casts their Special Skill, all Fiends are destroyed from them."
"herocard.passive_skill.description.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Every {TURNS} turns, eats all Minions from a random enemy and gains a small amount of mana for each eaten Minion."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","When this character receives damage Special Skills, they receive {POWER}% of mana."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","When this character receives direct damage from Special Skills or Normal Attacks they receive a small amount of mana. 
 Maximum of {MAXMANAGAINPERTURN}% mana gained per turn."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","When this character receives damage from Special Skills or in place of a character in Cover, there's a {CHANCE}% chance to deal {POWER}% of the received damage to all enemies."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","When this character receives damage from Special Skills, they gain {STATUSEFFECT1ATTACK}% attack Stack (max: {STATUSEFFECT1MAXSTACK}). One Stack can be gained per turn."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","When this character receives damage from Special Skills, they gain {STATUSEFFECT1ATTACK}% attack Stack (max: {STATUSEFFECT1MAXSTACK}). One Stack can be gained per turn."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","When an ally attempts to cleanse by using Special Skills, all allies receive {POWER} boosted health. This effect can activate only once per turn."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","When an enemy attempts to cleanse by using Special Skills, all enemies receive {POWER} damage. This effect can activate only once per turn."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","This character receives {POWER}% mana each time a buff is dispelled from them. This effect can activate only once per turn."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","This character receives {POWER}% health each time a status ailment expires or is cleansed, removed or reallocated from them. This effect can activate only once per turn."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","This character has a {CHANCE}% chance to receive {POWER}% health each time a status ailment expires or is cleansed, removed or reallocated from them. This effect can activate only once per turn."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","This character receives {POWER} boosted health each time a buff is dispelled from this character. This effect can activate only once per turn."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Each hit from the Minions owned by the character inflicts {DAMAGE} Frost damage over {TURNS} turns"
"herocard.passive_skill.description.effectonheal.addmana","This character receives {POWER}% mana each time its health is recovered."
"herocard.passive_skill.description.effectonheal.heal","This character receives {POWER}% health each time its health is recovered."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","This character receives {POWER}% health each time its health is recovered."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","This character gets {HEALTHBOOST}% boosted health and {MANA}% mana on successful resist."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","This character gains {POWER}% mana each time an enemy casts a Special Skill that directly boosts health."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","This character gets {POWER} boosted health each time an enemy casts a Special Skill that directly boosts health."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE}% chance to perform the following actions when this character casts their Special Skill:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","When this character scores a critical hit with their Special Skill, they safely cleanse the latest cleansable status ailment from all allies."
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.only_criticals.once","When this character scores a critical hit with their Special Skill, they safely cleanse the latest cleansable status ailment from all allies. This effect can activate once per turn."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","When this character scores a critical hit with their Special Skill, they boost the health of all their allies by {HEALTHBOOST}%."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals.once","When this character scores a critical hit with their Special Skill, they boost the health of all their allies by {HEALTHBOOST}%. This effect can activate once per turn."
"herocard.passive_skill.description.effectonspecialskilldamagedonebasedonhealthdifference.healthboost.once.effectonspecialskilldamagereceivedbasedonhealthdifference.addmana.once"," When this character's Special Skill hits a character that had higher current HP, gain {PASSIVESKILL1HEALTHBOOST}% boosted health.
 When this character is hit by the Special Skill of a character that had higher current HP, gain {PASSIVESKILL2MANA}% mana.
Each of these effects can activate once per turn."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","When this character scores a critical hit with their Special Skill, they boost the health of all their allies by {HEALTHBOOST}%"
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","When an enemy casts their Special Skill, this character has a {CHANCE}% chance to boost this character's health by {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","When this character casts their Special Skill, they have a {CHANCE}% chance to give {POWER}% mana to all allies. If the Special Skill is fully charged, the chance is {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","When this character casts their Special Skill, they have a {CHANCE}% chance to give {POWER}% mana to all allies that are not of Ice element. If the Special Skill is fully charged, the chance is {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","When this character casts their Special Skill, they dispel the newest status effect buff from all enemies."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","When this character casts their Special Skill, they cleanse the newest status ailment from all allies."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","When this character casts their Special Skill, they have a {CHANCE}% chance to deal {POWER}% damage to all enemies. If the Special Skill is fully charged, the chance is {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","When this character casts their Special Skill, they have a {CHANCE}% chance to deal {POWER}% damage to all enemies that are not of Dark element. If the Special Skill is fully charged, the chance is {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","When this character casts their Special Skill, they have a {CHANCE}% chance to deal {POWER}% damage to all enemies that are not of Fire element. If the Special Skill is fully charged, the chance is {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","When this character casts their Special Skill, they have a {CHANCE}% chance to recover {POWER}% health for all allies. If the Special Skill is fully charged, the chance is {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","When this character casts their Special Skill, they have a {CHANCE}% chance to recover {POWER}% health for all allies that are not of Nature element. If the Special Skill is fully charged, the chance is {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","When this character casts their Special Skill, they have a {CHANCE}% chance to recover {POWER}% health for all allies that are not of Fire element. If the Special Skill is fully charged, the chance is {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","When this character casts their Special Skill, they have a {CHANCE}% chance to recover {POWER}% health for all allies that are not of Holy element. If the Special Skill is fully charged, the chance is {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","When this character casts their Special Skill, they boost the health of all their allies by {POWER}%."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","If an enemy that is Average mana speed or faster casts a Special Skill, all enemies receive {DAMAGE} damage. This effect can activate only once per turn."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Each time an enemy receives a Taunt status effect this character's mana is increased by {POWER}%."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","This character gains {POWER}% mana when an enemy receives a status effect buff that affects defense. This effect can activate only once per turn."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","This character gains {POWER}% mana when they receive a buff or a positive stack."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","This character gains {POWER}% mana when they receive a status ailment or a negative stack."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","This character recovers {POWER}% health when they receive a buff or a positive stack."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","This character recovers {POWER}% health when they receive a status ailment or a negative stack."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","This character recovers {POWER} HP when they receive a status ailment or a negative stack."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","This character has a {CHANCE}% chance to gain {POWER}% mana when they receive a buff or a positive stack."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","This character has {CHANCE}% chance to recover {POWER}% health when they receive a buff or a positive stack."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","This character has a {CHANCE}% chance to recover {POWER}% health when they receive a buff or a positive stack."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Every {TURNS} turns, revives defeated nearby allies with {POWER}% HP."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Gains a small amount of mana for every active status effect buff that the enemy team has at the start of each turn (maximum of {MAXSTATUSEFFECTCOUNT} buffs)."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Boosts health of this character and nearby allies by {INCREMENTPERSTATUSEFFECT1}% for each enemy inflicted with Poison at the start of each turn. Boosted health can exceed max HP."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","When a Minion is summoned to an ally, this character gains {POWER}% mana. This effect can activate only once per turn."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","When a Minion is summoned to any ally, this character gains {HEALTH}% health and {MANA}% mana. This effect can activate only once per turn."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","When a Fiend is summoned to any enemy, this character gains {POWER}% mana. This effect can activate only once per turn."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","When a Fiend is summoned to any enemy, this character deals {DAMAGE}% damage to all enemies. This effect can activate only once per turn."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","When a Fiend is summoned to any enemy, this character gets {POWER} boosted health. This effect can activate only once per turn."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE}% chance to cast extra actions when this character casts their Special Skill."
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","All enemies' Minions have {MINIONMODIFIER}% accuracy.
All enemies' Mega Minions have {MEGAMINIONMODIFIER}% accuracy."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","The Construct Core of this character is a Minion Core.

The Minion Core activates each time this character's Special Skill is cast:

 With a fully charged  Minion Core, summons a Killer Bot Minion with {FAMILIARHEALTHPERCENT}% HP and {FAMILIARATTACK}% attack inherited from the caster on all allies.
 The HP and attack inherited from the caster are scaled by the amount of charge in the Core. All charge is exhausted when the Core is activated.
 Before the Killer Bot Minion hits a target, it destroys all Minions from the target and damages Mega Minions."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Enemy Mega Minions have {HEALTHMODIFIER}% HP."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Enemy Minions have {HEALTHMODIFIER}% HP."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Enemy Mega Minions can't attack or use abilities."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Enemy Minions can't attack or use abilities."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","This character gains {POWER}% mana each time an enemy receives Frost damage."
"herocard.passive_skill.description.growth","This Hero's base attack and base defense are increased by {STATINCREASE} every turn for {MAXACTIVATIONCOUNT} turns."
"herocard.passive_skill.description.guaranteedeffectonspecial","When this character casts their Special Skill, any of their Passive Skills that grant extra effects on cast are guaranteed to activate."
"herocard.passive_skill.description.heal.all.allies","Recovers {HEALTH}% health for all allies."
"herocard.passive_skill.description.healmodifier","{HEALMULTIPLIER}% increase for any healing received."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","All enemies get {HEALMULTIPLIER}% healing."
"herocard.passive_skill.description.healmodifier.decrease","{HEALMULTIPLIER}% decrease for any healing received."
"herocard.passive_skill.description.healonheal.can_stack.heal","This character receives {POWER}% health each time its health is recovered."
"herocard.passive_skill.description.healonownfamiliardeath.minion","This character recovers {HEALTH} health when a Minion owned by them is destroyed."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","This character recovers {HEALTH} boosted health when a Minion owned by them is destroyed"
"herocard.passive_skill.description.healthboost.all.allies","Boosts health of all allies by {HEALTHBOOST}%. Boosted health can exceed max HP."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","At the start of each battle, this character's attack is increased by {ATTACK}% for every enemy that is not of Nature element. In battles with multiple waves, the effect is refreshed at the beginning of each wave."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","This character's attack is increased by {ATTACK}% for every alive enemy that is not of Nature element. The effect is refreshed at the beginning of each wave. (Currently: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","At the start of each battle, this character's attack is increased by {ATTACK}% for every enemy that is not of Fire element. In battles with multiple waves, the effect is refreshed at the beginning of each wave."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","This character's attack is increased by {ATTACK}% for every alive enemy that is not of Fire element. The effect is refreshed at the beginning of each wave. (Currently: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Deals {DAMAGEMULTIPLIER}% more damage against Minions."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","This character does {DAMAGEMULTIPLIER}% damage to Minions and Mega Minions."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Hits from this character's Special Skill have an additional {POWERADDITION}% power if the target has Taunt."
"herocard.passive_skill.description.increasespecialdamage","The first {MAXACTIVATIONCOUNT} times this character casts a Special Skill that deals damage, an additional {POWERADDITION}% is added to its power."
"herocard.passive_skill.description.increasespecialdamage.usable_once","The first time this character casts a Special Skill that deals damage, an additional {POWERADDITION}% is added to its power."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Every time this character casts a Special Skill that deals damage, an additional {POWERADDITION}% is added to its power."
"herocard.passive_skill.description.insanitydamagereduction","All damage received by this character is reduced by {DAMAGEREDUCTION}% per {DISPLAYSCALE} Insanity on this character up to a maximum reduction of {MAXDAMAGEREDUCTION}%."
"herocard.passive_skill.description.iterateeffectonspecial","When this character casts their Special Skill, any of their Passive Skills that grant extra effects on cast have {APPLYCOUNT} chances to activate."
"herocard.passive_skill.description.league.featured_family","This Hero is part of a Featured family!"
"herocard.passive_skill.description.league.non_featured_family","This Hero is not part of a Featured family!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER}% accuracy against Heroes of Featured families."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Heals affecting members of the Featured families have {POWERMULTIPLIER}% effectiveness."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER}% damage received from non-Featured families."
"herocard.passive_skill.description.manadebuffprotection","All status ailments and negative stacks that affect mana generation will be replaced by {MANAREGEN}% mana generation status effect for {TURNS} turns. Doesn't apply to status ailments that stop mana generation or steal mana."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","Reduces the amount of mana increased by Special Skills by {MODIFIER}%. The effect applies to all enemies in the battle."
"herocard.passive_skill.description.managenerationmodifier.none","{MODIFIER}% mana generation."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","This character gains a small amount of mana when a Minion owned by them is destroyed."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","This character has innate ability to Memorize any Minion or Fiend summoned by enemies' Special Skills. The latest Minion and Fiend that enemies summon will stay memorized until the Special Skill is cast."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","This character has innate ability to Memorize any Minion or Fiend summoned by enemies' Special Skills. The latest {0} Minions and Fiends that enemies summon will stay memorized until the Special Skill is cast."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","This character has innate ability to Memorize any Minion or Fiend summoned by enemies' Special Skills. The latest {0} Minions and Fiends that enemies summon will stay memorized until the Special Skill is cast. (THIRD FORM)"
"herocard.passive_skill.description.memorizestatuseffects","This character has innate ability to Memorize status ailments. The latest status ailment that is cast on this character will stay memorized until the Special Skill is cast. Only status ailments with a duration can be memorized."
"herocard.passive_skill.description.memorizestatuseffects#2","This character has innate ability to Memorize status ailments. The latest {0} status ailments that are cast on this character will stay memorized until the Special Skill is cast. Only status ailments with a duration can be memorized."
"herocard.passive_skill.description.memorizestatuseffects#3","This character has innate ability to Memorize status ailments. The latest {0} status ailments that are cast on this character will stay memorized until the Special Skill is cast. Only status ailments with a duration can be memorized. (THIRD FORM)"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_blue","This Mimic gives a chance for extra loot when completing stages:

*****
 Ice Aether III

****
 Ice Aether II

***
 Ice Aether I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_green","This Mimic gives a chance for extra loot when completing stages:

*****
 Nature Aether III

****
 Nature Aether II

***
 Nature Aether I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_purple","This Mimic gives a chance for extra loot when completing stages:

*****
 Dark Aether III

****
 Dark Aether II

***
 Dark Aether I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_red","This Mimic gives a chance for extra loot when completing stages:

*****
 Fire Aether III

****
 Fire Aether II

***
 Fire Aether I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_yellow","This Mimic gives a chance for extra loot when completing stages:

*****
 Holy Aether III

****
 Holy Aether II

***
 Holy Aether I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_blue","This Mimic gives a chance for extra loot when completing stages:

****
 Damascus Blade
 Tome of Tactics
 Farsight Telescope

***
 Fine Gloves
 Compass
 Warm Cape
 Battle Manual
 Tall Boots
 Chainmail Shirt

**
 Strong Rope"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_epic_yellow","This Mimic gives a chance for extra loot when completing stages:

***
 Hidden Blade
 Orb of Magic
 Sturdy Shield
 Trap Tool
 Warm Cape
 Battle Manual 
 Chainmail Shirt
 Scabbard
 Tall Boots

**
 Arcane Scripts
 Dagger
 Leather Armor
 Sharpening Stone
 Strong Rope
 Wooden Shield

*
 Adventurer's Kit
 Practice Sword
 Rugged Clothes"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_green","This Mimic gives a chance for extra loot when completing stages:

****
 Damascus Blade
 Tome of Tactics
 Mysterious Tonic

***
 Fine Gloves
 Compass
 Sturdy Shield
 Tall Boots
 Scabbard

**
 Strong Rope
 Dagger"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_purple","This Mimic gives a chance for extra loot when completing stages:

****
 Damascus Blade
 Tome of Tactics
 Royal Tabard

***
 Fine Gloves
 Compass
 Trap Tools
 Tall Boots
 Scabbard

**
 Strong Rope
 Dagger"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_red","This Mimic gives a chance for extra loot when completing stages:

****
 Damascus Blade
 Tome of Tactics
 Mystic Rings

***
 Fine Gloves
 Compass
 Hidden Blade
 Chainmail Shirt
 Tall Boots

**
 Arcane Script"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_yellow","This Mimic gives a chance for extra loot when completing stages:

****
 Damascus Blade
 Tome of Tactics
 Poison Darts

***
 Fine Gloves
 Compass
 Orb of Magic
 Chainmail Shirt
 Tall Boots

**
 Arcane Script"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_blue","This Mimic gives a chance for extra loot when completing stages:

*****
 Master Sorcerer Emblems
 Master Wizard Emblems

****
 Sorcerer Emblems
 Wizard Emblems"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_green","This Mimic gives a chance for extra loot when completing stages:

*****
 Master Paladin Emblems
 Master Druid Emblems

****
 Paladin Emblems
 Druid Emblems"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_purple","This Mimic gives a chance for extra loot when completing stages:

*****
 Master Rogue Emblems
 Master Ranger Emblems

****
 Rogue Emblems
 Ranger Emblems"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_red","This Mimic gives a chance for extra loot when completing stages:

*****
 Master Fighter Emblems
 Master Barbarian Emblems

****
 Fighter Emblems
 Barbarian Emblems"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_yellow","This Mimic gives a chance for extra loot when completing stages:

*****
 Master Cleric Emblems
 Master Monk Emblems

****
 Cleric Emblems
 Monk Emblems"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_experience_rare_red","This Mimic gives a chance for extra loot when completing stages:

**
Uncommon Fire, Nature, Ice, Dark and Holy Heroes

*
Common Master Trainer Heroes
Common Fire, Nature, Ice, Dark and Holy Heroes"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_blue","This Mimic gives a chance for extra loot when completing stages:

***
Rare Ice Trainer Heroes

**
Uncommon Ice Trainer Heroes
Uncommon Ice Heroes

*
Common Ice Trainer Heroes
Common Ice Heroes"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_green","This Mimic gives a chance for extra loot when completing stages:

***
Rare Nature Trainer Heroes

**
Uncommon Nature Trainer Heroes
Uncommon Nature Heroes
 
*
Common Nature Trainer Heroes
Common Nature Heroes"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_purple","This Mimic gives a chance for extra loot when completing stages:

***
Rare Dark Trainer Heroes

**
Uncommon Dark Trainer Heroes
Uncommon Dark Heroes
 
*
Common Dark Heroes
Common Dark Trainer Heroes"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_red","This Mimic gives a chance for extra loot when completing stages:

***
Rare Fire Trainer Heroes

**
Uncommon Fire Trainer Heroes
Uncommon Fire Heroes

*
Common Fire Trainer Heroes
Common Fire Heroes"
