"quests.name.ancient_dragon","Ikijuuri"
"quests.name.slayers","Synkkien varjojen surmaajat"
"quests.name.spring_2018","Kevätlaakson festivaali"
"quests.name.starter","Aloitusseikkailu"
"quests.name.styx","Styksin torni"
"quests.name.styx_impossible","Styksin torni: Mahdoton"
"quests.name.summer_2018","Hiekkavaltakunta"
"quests.name.super_class_barbarian","Mestaribarbaarin koetukset"
"quests.name.super_class_cleric","Mestaripapin koetukset"
"quests.name.super_class_druid","Mestaridruidin koetukset"
"quests.name.super_class_fighter","Mestaritaistelijan koetukset"
"quests.name.super_class_monk","Mestarimunkin koetukset"
"quests.name.super_class_paladin","Mestaripaladiinin koetukset"
"quests.name.super_class_ranger","Mestarisamoojan koetukset"
"quests.name.super_class_rogue","Mestarivaeltajan koetukset"
"quests.name.super_class_sorcerer","Mestarinoidan koetukset"
"quests.name.super_class_wizard","Mestarivelhon koetukset"
"quests.name.super_elemental","Elementtien kisa"
"quests.name.treasure_quest","Aarreseikkailu"
"quests.name.valentines","Rakkauden aika"
"quests.name.villains","Konnien liitto"
"quests.name.xmas_2017","Pelasta talvi"
"quests.name.xmas_2018","Pukin haaste"
"quests.name.xp","Hanki kokemusta"
"quests.special_rule.name.assist_dragon_mastery","Apulohikäärmeiden mestari"
"quests.special_rule.name.astralelves","Astraalihaltia"
"quests.special_rule.name.covenant","Mestareiden kovenantti"
"quests.special_rule.name.event_bonus","Tapahtumasankaribonus"
"quests.special_rule.name.family_bonus","Esittelyssä olevat perheet"
"quests.special_rule.name.goblin","Hiisikylä"
"quests.special_rule.name.hero_roster_mastery","Sankarilistan hallinta"
"quests.special_rule.name.magiccurse","Taikakirous"
"quests.special_rule.name.onicurse","Oni-kirous"
