"heroes.name_fancy.astral_cosmicspeaker","Gök Bilimcisi Astral Elf"
"heroes.name_fancy.blackguard_knight_costume_cute","Çizgi Atlı"
"heroes.name_fancy.blackguard_knight_costume_elegant","Zarif Asilzade"
"heroes.name_fancy.blackguard_knight_costume_glass","Cam Şövalye"
"heroes.name_fancy.blackguard_knight_costume_healer","Asil Şifacı"
"heroes.name_fancy.blackguard_scout","Morgovyalı Kaçak"
"heroes.name_fancy.blackguard_skulker","Arızalı Suikastçı"
"heroes.name_fancy.blackguard_skulker_costume_cute","Çılgın Çizgi"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Dengesiz Cerrah"
"heroes.name_fancy.blackguard_skulker_costume_glass","Cam Suikastçı"
"heroes.name_fancy.castle_bear_armel","Arktik Elçisi"
"heroes.name_fancy.castle_bear_bearnadette","Portre Ressamı"
"heroes.name_fancy.castle_bear_humbert","Dağların Savunucusu"
"heroes.name_fancy.castle_bear_koda","Erik Ormanı'nın Şövalyesi"
"heroes.name_fancy.castle_bear_teddy","Saf Yürek"
"heroes.name_fancy.castle_bear_torben","Dağların Lordu"
"heroes.name_fancy.castle_bear_winnie","Ayı Kılıklı Zırhçı"
"heroes.name_fancy.castle_bear_yona","Dağların Soytarısı"
"heroes.name_fancy.castle_raven_aderyn","Kalenin Sağlık Personeli"
"heroes.name_fancy.castle_raven_eloise","Kale Büyücüsü"
"heroes.name_fancy.castle_raven_franz","Kale Koruyucusu"
"heroes.name_fancy.castle_raven_lewena","Kale Nişancısı"
"heroes.name_fancy.castle_raven_quintin","Kale Gözcüsü"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Kuzgunların Ayaz Avcısı"
"heroes.name_fancy.castle_raven_rayne","Kale Yüzbaşısı"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Kuzgunların Kaptanı"
"heroes.name_fancy.castle_raven_wren","Kale İzcisi"
"heroes.name_fancy.castle_stag_alvar","Yol Gösterici"
"heroes.name_fancy.castle_stag_cecilia","Alaca Karanlığın Kutsanmışı"
"heroes.name_fancy.castle_stag_daemon","Solmuşların İntikamcısı"
"heroes.name_fancy.castle_stag_fawn","Sadık Toprak Sahibi"
"heroes.name_fancy.castle_stag_lysanor","Safir Rüyasının Kahini"
"heroes.name_fancy.castle_stag_raleigh","Zümrüt Ormanı Bilgini"
"heroes.name_fancy.castle_stag_siofra","Yemin Tutan"
"heroes.name_fancy.castle_stag_xiamara","Zümrüt Ormanı Muhafızı"
"heroes.name_fancy.castle_wolf_bertulf","Kale Şefi"
"heroes.name_fancy.castle_wolf_esme","Kalenin Baş Büyücüsü"
"heroes.name_fancy.castle_wolf_ferant","Kalenin Bekçisi"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Kurtların Bekçisi"
"heroes.name_fancy.castle_wolf_ludwig","Kalenin Savunucusu"
"heroes.name_fancy.castle_wolf_quenell","Kalenin Şampiyonu"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Kurtların Şampiyonu"
"heroes.name_fancy.castle_wolf_wolfgang","Kalenin Komutanı"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Kurtların Komutanı"
"heroes.name_fancy.champions_lazara","Beyzbol Şampiyonu"
"heroes.name_fancy.champions_mistra","Disk Atma Şampiyonu"
"heroes.name_fancy.champions_nogu","Cirit Atma Şampiyonu"
"heroes.name_fancy.champions_norman","Mızrak Şampiyonu"
"heroes.name_fancy.champions_ramona","Koç Turizm Şampiyonu"
"heroes.name_fancy.champions_satori","Sumo Şampiyonu"
"heroes.name_fancy.christmas_albin","Sıcak Çikolata Eksperi"
"heroes.name_fancy.christmas_augustus","Cüce İhtiyar"
"heroes.name_fancy.christmas_buster","Huysuz Bahçe Cücesi"
"heroes.name_fancy.christmas_carol","Noel Baba'nın Küçük Yardımcısı"
"heroes.name_fancy.christmas_cookie","Cüce Bilim İnsanı"
"heroes.name_fancy.christmas_dizzy","Cüce Eğlence Uzmanı"
"heroes.name_fancy.christmas_elf","Noel Baba'nın Küçük Yardımcısı"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Noel Baba'nın Saymanı"
"heroes.name_fancy.christmas_florencia","Kar Bekçisi"
"heroes.name_fancy.christmas_frosty","Kuzeyli Nöbetçi"
"heroes.name_fancy.christmas_ginger","Cüce Kaşif"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Cüce Hediye Ustası"
"heroes.name_fancy.christmas_holly","Cüce Baş Reis"
"heroes.name_fancy.christmas_jolly","Cüce Oduncu"
"heroes.name_fancy.christmas_krampus","Yılbaşı Gulyabanisi"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Yılbaşı Hilekarı"
"heroes.name_fancy.christmas_mr_pengi","Noel Baba'nın Muhafızlarının Kaptanı"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Kayak Takımı Kaptanı"
"heroes.name_fancy.christmas_mrs_claus","Kuzeyli Şef"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Yılbaşı Kazağı Hayranı"
"heroes.name_fancy.christmas_noel","Neşeli Kızak Çocuğu"
"heroes.name_fancy.christmas_ottilia","Cüce Dekoratör"
"heroes.name_fancy.christmas_peppermint","Cüce Simyacı"
"heroes.name_fancy.christmas_reindeer","Noel Baba'nın Sadık Atı"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Noel Baba'nın Şövalye Küheylanı"
"heroes.name_fancy.christmas_santa","Hediye Yağdıran"
"heroes.name_fancy.christmas_santa_costume_metal","Çetin Ceviz Noel Baba"
"heroes.name_fancy.christmas_tinsel","Cüce Onarıcı"
"heroes.name_fancy.christmas_zappa","Cüce Sihirbaz"
"heroes.name_fancy.circus_bobo","En İyi Kalpli Yeti"
"heroes.name_fancy.circus_candy","Eğlence Saçan Neşeli Tip"
"heroes.name_fancy.circus_dandre","Eline Güvenen Hokkabaz"
"heroes.name_fancy.circus_director_zuri","Sirk Ustası"
"heroes.name_fancy.circus_director_zuri_costume_clown","Palyaçoların Ustası"
"heroes.name_fancy.circus_eichbelborg","Övüngen Vücut Geliştirici"
"heroes.name_fancy.circus_eiora_and_fluffy","Dinamik İkili"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Karanlık İkili"
"heroes.name_fancy.circus_emilio","Büyük Anka Kuşu Terbiyecisi"
"heroes.name_fancy.circus_emilio_costume_frog","Büyük Kurbağa Terbiyecisi"
"heroes.name_fancy.circus_faline","Hayret Verici Cambaz"
"heroes.name_fancy.circus_marcel","En Haylaz Pandomim"
"heroes.name_fancy.circus_theobald","Bıçak Fırlatan Mucizevi Ayı"
"heroes.name_fancy.circus_whacker","Çılgın Liman İşçisi"
"heroes.name_fancy.construct_arzen","Kötücül Denetmen Yapısı"
"heroes.name_fancy.construct_blue_mage","Yıldızdan Doğan Büyücü Yapısı"
"heroes.name_fancy.construct_bonechill","Donmuş Yapı"
"heroes.name_fancy.construct_brimstone","Cehennem Yapısı"
"heroes.name_fancy.construct_carta","Haritacı Yapısı"
"heroes.name_fancy.construct_dancrag","Antik Dev Yapısı"
"heroes.name_fancy.construct_ferrus","Korsan Yapısı"
"heroes.name_fancy.construct_frond","Elf Yapısı"
"heroes.name_fancy.construct_glacivolt","Buzlu Denetmen Yapısı"
"heroes.name_fancy.construct_gwynn","Enerji Akışı Yapısı"
"heroes.name_fancy.construct_halwinter","Ağır Zırhlı Yapı"
"heroes.name_fancy.construct_haulstone","Yüklenici Yapısı"
"heroes.name_fancy.construct_hornfel","Minotor Yapısı"
"heroes.name_fancy.construct_hotspin","Alev Kasırgası Yapısı"
"heroes.name_fancy.construct_ironheart","Kutsal Muhafız Yapısı"
"heroes.name_fancy.construct_ironvein","Kutsal Ağa Yapısı"
"heroes.name_fancy.construct_japanese_doll","Porselen Bebek Yapısı"
"heroes.name_fancy.construct_nautica","Kılavuz Yapısı"
"heroes.name_fancy.construct_nocturne","Boş Tank Yapısı"
"heroes.name_fancy.construct_rhineglow","Süper Kapasitör Yapısı"
"heroes.name_fancy.construct_rustbeak","Baykuş Yapısı"
"heroes.name_fancy.construct_scoria","Hiç Sönmeyen Yapı"
"heroes.name_fancy.construct_shaal","Ruhban Yapısı"
"heroes.name_fancy.construct_shacklebolt","Mahpus Yapısı"
"heroes.name_fancy.construct_sizzleomatic","Hevesli Şef Yapısı"
"heroes.name_fancy.construct_skarn","Keder Ayazı Yapısı"
"heroes.name_fancy.construct_sylosis","Dövüş Sanatçısı Yapısı"
"heroes.name_fancy.construct_tenebrae","Karanlık Prenses Yapısı"
"heroes.name_fancy.construct_zavok","Kaotik Sihirbaz Yapısı"
"heroes.name_fancy.cultist_female_poisoner","Asi Düzenbaz"
"heroes.name_fancy.cultist_inventor","Çılgın Bilim Adamı"
"heroes.name_fancy.cultist_inventor_costume_cute","Çizgi Bilim İnsanı"
"heroes.name_fancy.cultist_inventor_costume_glass","Cam Bilim İnsanı"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Aşk Doktoru"
"heroes.name_fancy.cultist_inventor_costume_steam","Elektro Bilimci"
"heroes.name_fancy.cultist_mage","Dehşet Büyücüsü"
"heroes.name_fancy.cultist_mage_costume_cute","Çizgi Büyücü"
"heroes.name_fancy.cultist_mage_costume_glass","Cam Sihirbazı"
"heroes.name_fancy.cultist_mage_costume_voodoo","Ölümsüz Büyücü"
"heroes.name_fancy.cultist_sorceress","Descenthia'nın Uygulayıcısı"
"heroes.name_fancy.cultist_sorceress_costume_cute","Çizgi Film İnfazcısı"
"heroes.name_fancy.cultist_sorceress_costume_glass","Descenthia Vitrayı"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Descenthia Canavarı"
"heroes.name_fancy.cultist_sorceress_costume_snake","Descenthia Yılanı"
"heroes.name_fancy.cultist_thief","Büyük Planları olan Hırsız"
"heroes.name_fancy.dark_god_aeron","Kararlı Hakim"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Peruklu Hâkim"
"heroes.name_fancy.dark_god_akilius","Sinsi Yağmacı"
"heroes.name_fancy.dark_god_anoushka","Münzevi Kahin Kadın"
"heroes.name_fancy.dark_god_arfanias","Gölge Suikastçı"
"heroes.name_fancy.dark_god_chakkoszrot","Kertenkele Halkı Başrahibi"
"heroes.name_fancy.dark_god_clarissa","Küstah Kanalcı"
"heroes.name_fancy.dark_god_eldwren","Sürü Babası"
"heroes.name_fancy.dark_god_grimble","Keçiye Binen Cüce"
"heroes.name_fancy.dark_god_hel","Karanlığın Gök Cismi"
"heroes.name_fancy.dark_god_hel_costume_cute","Çizgi Karanlığın Gök Cismi"
"heroes.name_fancy.dark_god_hel_costume_omen","Karanlık Alameti"
"heroes.name_fancy.dark_god_kunchen","Gizemli Aylak"
"heroes.name_fancy.dark_god_malicna","Kötücül Profesör"
"heroes.name_fancy.dark_god_morax","Yer Altı Dünyasının Yıkımı"
"heroes.name_fancy.dark_god_september","Serap Suikastçısı"
"heroes.name_fancy.dark_god_september_costume_engineer","Serap Mühendisi"
"heroes.name_fancy.dark_god_seshat","Diriltilmiş Avcı"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Yüksek Hortlak Okçusu"
"heroes.name_fancy.dark_god_sir_casmir","Aylak Muhafız"
"heroes.name_fancy.dark_god_turgruk","Kötücül İz Sürücü"
"heroes.name_fancy.dark_god_uthragan","Zehirli İğrençlik"
"heroes.name_fancy.dark_god_viscaro","Ayartılmış Rahip"
"heroes.name_fancy.dark_god_zed","İmparatorluk Mızraklısı"
"heroes.name_fancy.dark_god_zulag","Cesur"
"heroes.name_fancy.dwarven_guard","Tıknaz Savunucu"
"heroes.name_fancy.dwarven_guard_costume_cute","Çizgi Savunucu"
"heroes.name_fancy.dwarven_guard_costume_glass","Cam Savunucu"
"heroes.name_fancy.dwarven_guard_costume_ram","Ağır Sıklet Savunucu"
"heroes.name_fancy.dwarven_guard_costume_tavern","Taverna Savunucusu"
"heroes.name_fancy.dwarven_scout","Kıdemli Cengaver"
"heroes.name_fancy.dwarven_smasher","Sıcak Kanlı"
"heroes.name_fancy.dwarven_smasher_costume_cute","Hiddetli Çizgi"
"heroes.name_fancy.dwarven_smasher_costume_glass","Hiddetli Vitray"
"heroes.name_fancy.dwarven_smasher_costume_smith","Öfkeli"
"heroes.name_fancy.dwarwen_brewmaster","Usta Biracı"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Çizgi Biracı"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Biracı Vitray"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Usta Öğütücü"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Usta Ağaç Oymacısı"
"heroes.name_fancy.easter_archie","Gezgin Lama Ozan"
"heroes.name_fancy.easter_archie_costume_gallant","Cesur Lama Ozan"
"heroes.name_fancy.easter_chick_jr","Bahar Vadisi Kavalyesi"
"heroes.name_fancy.easter_jasper","Çiçekli Boğa"
"heroes.name_fancy.easter_jasper_costume_fisherman","Balıkçı Boğa"
"heroes.name_fancy.easter_killhare","Bahar Vadisi'nin Vahşi Koruyucusu"
"heroes.name_fancy.easter_killhare_costume_farmer","Nihai Çiftçi"
"heroes.name_fancy.easter_lady_woolerton","Bahar Vadisi Tamircisi"
"heroes.name_fancy.easter_miss_ethel","Bahar Vadisi Savunucusu"
"heroes.name_fancy.easter_sadie","Yaramaz Yeşilbaş"
"heroes.name_fancy.easter_sir_roostley","Bahar Vadisi Şövalyesi"
"heroes.name_fancy.easter_timothy","Azimli Domuzcuk"
"heroes.name_fancy.easter_viscount_cluckwood","Bahar Vadisi Tarikatçısı"
"heroes.name_fancy.elemental_aconia","Siber Düzenbaz"
"heroes.name_fancy.elemental_aconia_costume_courier","Siber Kurye"
"heroes.name_fancy.elemental_alfie","Elementer Soytarı"
"heroes.name_fancy.elemental_anzia","Galaksi Kurtarıcısı"
"heroes.name_fancy.elemental_anzia_costume_jailer","Galaktik Zindancı"
"heroes.name_fancy.elemental_ash","Azılı Kelle Avcısı"
"heroes.name_fancy.elemental_ash_costume_savage","Vahşi Kelle Avcısı"
"heroes.name_fancy.elemental_craum","Elementer Şaman"
"heroes.name_fancy.elemental_craum_costume_occultist","Elementer Tarikatçı"
"heroes.name_fancy.elemental_desmond","Kılıç Simyacısı"
"heroes.name_fancy.elemental_desmond_costume_assassin","Bıçaklı Suikastçı"
"heroes.name_fancy.elemental_doxan","Sürgün Plazma Bıçağı"
"heroes.name_fancy.elemental_doxan_costume_hacker","Sürgün Edilmiş Plazma Hackerı"
"heroes.name_fancy.elemental_farrah","Süpersonik Kılıç Ustası"
"heroes.name_fancy.elemental_farrah_costume_cyber","Siber Bıçak Ustası"
"heroes.name_fancy.elemental_gastille","Çok Boyutlu Tehlike"
"heroes.name_fancy.elemental_gastille_costume_sporty","Sportif Tehlike"
"heroes.name_fancy.elemental_griffex","Gerçeği Dönüştüren"
"heroes.name_fancy.elemental_griffex_costume_camera","Obscura'nın Düzenleyicisi"
"heroes.name_fancy.elemental_grilka","Konuksever Serdümen"
"heroes.name_fancy.elemental_grilka_costume_treasure","Değerli Serdümen"
"heroes.name_fancy.elemental_ignazio","Alevlere Yön Veren"
"heroes.name_fancy.elemental_ignazio_costume_medic","Alev Cerrahı"
"heroes.name_fancy.elemental_ironmaw","Sarsılmaz Orkların Savaş Lordu"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Lejyonun Savaş Lordu"
"heroes.name_fancy.elemental_jequn","Kozmik Gizem"
"heroes.name_fancy.elemental_jequn_costume_gilded","Yaldızlı Bilinmez"
"heroes.name_fancy.elemental_jolt","Elektrikli Kılavuz"
"heroes.name_fancy.elemental_jolt_costume_mythic","Mitsi Kılavuz"
"heroes.name_fancy.elemental_lexi","Element Enerjisi Zanaatkârı"
"heroes.name_fancy.elemental_linus","Gamsız Hükümlü"
"heroes.name_fancy.elemental_niki","Karanlık Deniz'in Tırpan Ustası"
"heroes.name_fancy.elemental_niki_costume_music","Tırpanlı Müzik Ustası"
"heroes.name_fancy.elemental_nova","Ateş Ruhu Koleksiyoncusu"
"heroes.name_fancy.elemental_nylora","Soğukkanlı Suikastçı"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Mücevherli Suikastçı"
"heroes.name_fancy.elemental_quinn","Kozmik Şef"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Kozmik Simyacı"
"heroes.name_fancy.elemental_roz","Doğal Keskin Nişancı"
"heroes.name_fancy.elemental_roz_costume_disco","Disko Keskin Nişancısı"
"heroes.name_fancy.elemental_vander","Sayborg Kaptan"
"heroes.name_fancy.elemental_vander_costume_clown","Palyaço Kaptan"
"heroes.name_fancy.elemental_xandrella","Elementer Oluşumların Efendisi"
"heroes.name_fancy.elemental_xandrella_costume_idol","Elementer Oluşumların İdolü"
"heroes.name_fancy.elemental_xavier","Çift Kılıç Uzmanı"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Çift Bıçaklı Eklem Bacaklı"
"heroes.name_fancy.elemental_zandria","Uzay Zamanın Savunucusu"
"heroes.name_fancy.elemental_zandria_costume_planet","Galaksilerin Savunucusu"
"heroes.name_fancy.elemental_zaria","Üç Gözlü Medyum"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Üç Gözlü Tılsımcı"
"heroes.name_fancy.elemental_zengar","Evrensel Canavar"
"heroes.name_fancy.elemental_zengar_costume_farmer","Ekici Canavar"
"heroes.name_fancy.elemental_zione","Mekanik Teslimat Uzmanı"
"heroes.name_fancy.elemental_zuni","Kaykayla Uçan Elf"
"heroes.name_fancy.elemental_zuni_costume_mage","Kaykaylı Sihirbaz"
"heroes.name_fancy.elven_archer","Asil Kalp"
"heroes.name_fancy.elven_archer_costume_cute","Asil Çizgi"
"heroes.name_fancy.elven_archer_costume_glass","Asil Vitray"
"heroes.name_fancy.elven_archer_costume_moon","Asil Muhafız"
"heroes.name_fancy.elven_archer_costume_raven","Asil Kuzgun"
"heroes.name_fancy.elven_captain","Elf Gazisi"
"heroes.name_fancy.elven_captain_costume_cavalier","Elf Süvari"
"heroes.name_fancy.elven_captain_costume_cute","Çizgi Elf"
"heroes.name_fancy.elven_captain_costume_glass","Elf Vitrayı"
"heroes.name_fancy.elven_captain_costume_mask","Elf İntikamcısı"
"heroes.name_fancy.exalted_female_statue","Taş Antiği"
"heroes.name_fancy.exalted_female_statue_costume_cute","Taş Çizgisi"
"heroes.name_fancy.exalted_female_statue_costume_glass","Taş Vitrayı"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Güneş Antiği"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Dikenlerin Atası"
"heroes.name_fancy.exalted_warrior","Buz Antiği"
"heroes.name_fancy.exalted_warrior_costume_cute","Buz Çizgisi"
"heroes.name_fancy.exalted_warrior_costume_glass","Buz Vitrayı"
"heroes.name_fancy.exalted_warrior_costume_ice","Buz Anıt"
"heroes.name_fancy.exalted_warrior_costume_underworld","Yer Altı Dünyasının Atası"
"heroes.name_fancy.fables_boss_wolf","Grim Ormanı'nın Valisi"
"heroes.name_fancy.fables_cinderella","Grim Ormanı'nın Hizmetçisi"
"heroes.name_fancy.fables_frog_prince","Tahtın Vârisi"
"heroes.name_fancy.fables_gnomer","Grim Ormanı Bekçisi"
"heroes.name_fancy.fables_gretel","Grim Ormanı'nın Cadı Katili"
"heroes.name_fancy.fables_hansel","Grim Ormanı'nın Cadı Avcısı"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Grim Ormanı'nın Vampir Avcısı"
"heroes.name_fancy.fables_pixie","Grim Ormanı Ruhu"
"heroes.name_fancy.fables_puss_in_boots","Grim Ormanı Kedisi"
