"heroes.name_fancy.astral_cosmicspeaker","Stjärnalvernas astronom"
"heroes.name_fancy.christmas_elf","Tomtens hjälpreda"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Jultomtens revisor"
"heroes.name_fancy.christmas_florencia","Snöväktare"
"heroes.name_fancy.christmas_frosty","Nordlig väktare"
"heroes.name_fancy.christmas_ginger","Tomteutforskare"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Gåvornas tomtemästare"
"heroes.name_fancy.christmas_holly","Hustomtarnas kock"
"heroes.name_fancy.christmas_jolly","Tomteskogshuggare"
"heroes.name_fancy.christmas_krampus","Juldemon"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Julbuse"
"heroes.name_fancy.christmas_mr_pengi","Kapten över tomtens vakter"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Snowboardslagets kapten"
"heroes.name_fancy.christmas_mrs_claus","Norra kocken"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Jultröjeälskare"
"heroes.name_fancy.christmas_noel","Glad slädunge"
"heroes.name_fancy.christmas_ottilia","Tomtepyntare"
"heroes.name_fancy.christmas_peppermint","Hustomtarnas alkemist"
"heroes.name_fancy.christmas_reindeer","Tomtens lojala springare"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Jultomtens riddarspringare"
"heroes.name_fancy.christmas_santa","Gåvobringaren"
"heroes.name_fancy.christmas_santa_costume_metal","Hårdrockstomte"
"heroes.name_fancy.christmas_tinsel","Hustomtarnas mekaniker"
"heroes.name_fancy.christmas_zappa","Tomtetrollkarl"
"heroes.name_fancy.circus_bobo","Varmhjärtad snöman"
"heroes.name_fancy.circus_candy","Munter festprisse"
"heroes.name_fancy.circus_dandre","Skicklig jonglör"
"heroes.name_fancy.circus_director_zuri","Cirkusmästare"
"heroes.name_fancy.circus_director_zuri_costume_clown","Clownernas mästare"
"heroes.name_fancy.circus_eichbelborg","Skrytsamt muskelberg"
"heroes.name_fancy.circus_eiora_and_fluffy","Dynamisk duo"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Mörk duo"
"heroes.name_fancy.circus_emilio","Den stora fenixtämjaren"
"heroes.name_fancy.circus_emilio_costume_frog","Den stora grodtämjaren"
"heroes.name_fancy.circus_faline","Otrolig akrobat"
"heroes.name_fancy.circus_marcel","Busig mimare"
"heroes.name_fancy.circus_theobald","Knivkastande mirakelbjörn"
"heroes.name_fancy.circus_whacker","Knasig knockare"
"heroes.name_fancy.construct_arzen","Våldsam ledarkonstruktion"
"heroes.name_fancy.construct_blue_mage","Stjärnfödd magikerkonstruktion"
"heroes.name_fancy.construct_bonechill","Frostkonstruktion"
"heroes.name_fancy.construct_brimstone","Helvetisk konstruktion"
"heroes.name_fancy.construct_carta","Kartritarkonstruktion"
"heroes.name_fancy.construct_dancrag","Antik kolosskonstruktion"
"heroes.name_fancy.construct_ferrus","Piratrobot"
"heroes.name_fancy.construct_frond","Alvkonstruktion"
"heroes.name_fancy.construct_glacivolt","Isledarkonstruktion"
"heroes.name_fancy.construct_gwynn","Energiflödekonstruktion"
"heroes.name_fancy.construct_halwinter","Tungt bepansrad konstruktion"
"heroes.name_fancy.construct_haulstone","Packåsnerobot"
"heroes.name_fancy.construct_hornfel","Minotaurkonstruktion"
"heroes.name_fancy.construct_hotspin","Eldcyklonkonstruktion"
"heroes.name_fancy.construct_ironheart","Helig väktarkonstruktion"
"heroes.name_fancy.construct_ironvein","Helig väpnarkonstruktion"
"heroes.name_fancy.construct_japanese_doll","Porslinsdockakonstruktion"
"heroes.name_fancy.construct_nautica","Navigatorkonstruktion"
"heroes.name_fancy.construct_nocturne","Tomrumsbeskyddarkonstruktion"
"heroes.name_fancy.construct_rhineglow","Kondensatorkonstruktion"
"heroes.name_fancy.construct_rustbeak","Ugglekonstruktion"
"heroes.name_fancy.construct_scoria","Lågornas konstruktion"
"heroes.name_fancy.construct_shaal","Prästkonstruktion"
"heroes.name_fancy.construct_shacklebolt","Fängslad konstruktion"
"heroes.name_fancy.construct_sizzleomatic","Entusiastisk kockkonstruktion"
"heroes.name_fancy.construct_skarn","Skräckfrostkonstruktion"
"heroes.name_fancy.construct_sylosis","Kampsportskonstruktion"
"heroes.name_fancy.construct_tenebrae","Mörk prinsesskonstruktion"
"heroes.name_fancy.construct_zavok","Kaotisk magikerkonstruktion"
"heroes.name_fancy.cultist_female_poisoner","Rebellisk vilde"
"heroes.name_fancy.cultist_inventor","Galen vetenskapsman"
"heroes.name_fancy.cultist_inventor_costume_cute","Tecknad vetenskapsman"
"heroes.name_fancy.cultist_inventor_costume_glass","Glasforskare"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Kärleksdoktor"
"heroes.name_fancy.cultist_inventor_costume_steam","Elektrovetenskapsman"
"heroes.name_fancy.cultist_mage","Fruktad magiker"
"heroes.name_fancy.cultist_mage_costume_cute","Tecknad magiker"
"heroes.name_fancy.cultist_mage_costume_glass","Glasmagiker"
"heroes.name_fancy.cultist_mage_costume_voodoo","Odöd magiker"
"heroes.name_fancy.cultist_sorceress","Bödel från Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_cute","Tecknad bödel"
"heroes.name_fancy.cultist_sorceress_costume_glass","Glasmålning från Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Honmonster från Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_snake","Descenthias orm"
"heroes.name_fancy.cultist_thief","Tjuv med stora planer"
"heroes.name_fancy.dark_god_aeron","Trogen domare"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Perukklädd domare"
"heroes.name_fancy.dark_god_akilius","Lömsk plundrare"
"heroes.name_fancy.dark_god_anoushka","Den tillbakadragna sierskan"
"heroes.name_fancy.dark_god_arfanias","Skuggmördare"
"heroes.name_fancy.dark_god_chakkoszrot","Ödlefolkets överstepräst"
"heroes.name_fancy.dark_god_clarissa","Djärv kanaliserare"
"heroes.name_fancy.dark_god_eldwren","Flockfadern"
"heroes.name_fancy.dark_god_grimble","Den getridande vätten"
"heroes.name_fancy.dark_god_hel","Mörkrets stjärna"
"heroes.name_fancy.dark_god_hel_costume_cute","Mörkrets tecknade stjärna"
"heroes.name_fancy.dark_god_hel_costume_omen","Mörkrets förebud"
"heroes.name_fancy.dark_god_kunchen","Mystisk vagabond"
"heroes.name_fancy.dark_god_malicna","Ondskefull lektor"
"heroes.name_fancy.dark_god_morax","Dödsrikets bane"
"heroes.name_fancy.dark_god_september","Hägringsmördare"
"heroes.name_fancy.dark_god_september_costume_engineer","Hägringskonstruktör"
"heroes.name_fancy.dark_god_seshat","Uppväckt jägarinna"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Odöd bågskytt"
"heroes.name_fancy.dark_god_sir_casmir","Vagabondväktaren"
"heroes.name_fancy.dark_god_turgruk","Våldsam spårare"
"heroes.name_fancy.dark_god_uthragan","Giftig styggelse"
"heroes.name_fancy.dark_god_viscaro","Korrupt druid"
"heroes.name_fancy.dark_god_zed","Kejserlig lansiär"
"heroes.name_fancy.dark_god_zulag","Den tappre"
"heroes.name_fancy.dwarven_guard","Ståndaktig försvarare"
"heroes.name_fancy.dwarven_guard_costume_cute","Tecknad försvarare"
"heroes.name_fancy.dwarven_guard_costume_glass","Glasförsvarare"
"heroes.name_fancy.dwarven_guard_costume_ram","Tungviktsförsvarare"
"heroes.name_fancy.dwarven_guard_costume_tavern","Värdshusförsvarare"
"heroes.name_fancy.dwarven_scout","Veterankrigare"
"heroes.name_fancy.dwarven_smasher","Den hetlevrade"
"heroes.name_fancy.dwarven_smasher_costume_cute","Hetlevrad tecknad figur"
"heroes.name_fancy.dwarven_smasher_costume_glass","Hetlevrad glasmålning"
"heroes.name_fancy.dwarven_smasher_costume_smith","Den glödande"
"heroes.name_fancy.dwarwen_brewmaster","Mästerbryggare"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Tecknad bryggare"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Bryggarglasmålning"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Mästerslitare"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Träsnidarmästare"
"heroes.name_fancy.easter_archie","Resande lamatrubadur"
"heroes.name_fancy.easter_archie_costume_gallant","Galant lamatrubadur"
"heroes.name_fancy.easter_chick_jr","Springvales godsägare"
"heroes.name_fancy.easter_jasper","Floristtjur"
"heroes.name_fancy.easter_jasper_costume_fisherman","Fiskartjur"
"heroes.name_fancy.easter_killhare","Springvales vilda beskyddare"
"heroes.name_fancy.easter_killhare_costume_farmer","Den ultimata bonden"
"heroes.name_fancy.easter_lady_woolerton","Springvales reparatör"
"heroes.name_fancy.easter_miss_ethel","Springvales försvarare"
"heroes.name_fancy.easter_sadie","Illasinnad and"
"heroes.name_fancy.easter_sir_roostley","Springvales mäktiga riddare"
"heroes.name_fancy.easter_timothy","Kavata kultingen"
"heroes.name_fancy.easter_viscount_cluckwood","Springvales ockultist"
"heroes.name_fancy.elemental_aconia","Cybertjuv"
"heroes.name_fancy.elemental_aconia_costume_courier","Cyberkurir"
"heroes.name_fancy.elemental_alfie","Elementgycklare"
"heroes.name_fancy.elemental_anzia","Galaxräddare"
"heroes.name_fancy.elemental_anzia_costume_jailer","Galaxfångvakt"
"heroes.name_fancy.elemental_ash","Skoningslös prisjägare"
"heroes.name_fancy.elemental_ash_costume_savage","Vild prisjägare"
"heroes.name_fancy.elemental_craum","Elementschaman"
"heroes.name_fancy.elemental_craum_costume_occultist","Elementockultist"
"heroes.name_fancy.elemental_desmond","Klingalkemist"
"heroes.name_fancy.elemental_desmond_costume_assassin","Klinglönnmördare"
"heroes.name_fancy.elemental_doxan","Förvisat plasmasvärd"
"heroes.name_fancy.elemental_doxan_costume_hacker","Förvisad plasmahackare"
"heroes.name_fancy.elemental_farrah","Supersnabb svärdsmästare"
"heroes.name_fancy.elemental_farrah_costume_cyber","Cybersvärdsmästare"
"heroes.name_fancy.elemental_gastille","Multidimensionell fara"
"heroes.name_fancy.elemental_gastille_costume_sporty","Sportig fara"
"heroes.name_fancy.elemental_griffex","Verklighetsmodifierare"
"heroes.name_fancy.elemental_griffex_costume_camera","Linsförvrängare"
"heroes.name_fancy.elemental_grilka","Älskvärd styrman"
"heroes.name_fancy.elemental_grilka_costume_treasure","Uppskattad styrman"
"heroes.name_fancy.elemental_ignazio","Elddirigent"
"heroes.name_fancy.elemental_ignazio_costume_medic","Eldkirurg"
"heroes.name_fancy.elemental_ironmaw","De orubbliga orchernas krigsherre"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Legionens krigsherre"
"heroes.name_fancy.elemental_jequn","Den kosmiska gåtan"
"heroes.name_fancy.elemental_jequn_costume_gilded","Den gyllene gåtan"
"heroes.name_fancy.elemental_jolt","Elektrisk navigatör"
"heroes.name_fancy.elemental_jolt_costume_mythic","Mytomspunnen navigatör"
"heroes.name_fancy.elemental_lexi","Elementhantverkare"
"heroes.name_fancy.elemental_linus","Sorglös fånge"
"heroes.name_fancy.elemental_niki","Det mörka havets liemästare"
"heroes.name_fancy.elemental_niki_costume_music","Musikens liemästare"
"heroes.name_fancy.elemental_nova","Samlare av eldandar"
"heroes.name_fancy.elemental_nylora","Kallblodig lönnmördare"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Juvelprydd lönnmördare"
"heroes.name_fancy.elemental_quinn","Kosmisk kock"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Kosmisk alkemist"
"heroes.name_fancy.elemental_roz","Född skarpskytt"
"heroes.name_fancy.elemental_roz_costume_disco","Diskoskarpskytt"
"heroes.name_fancy.elemental_vander","Cyborgkapten"
"heroes.name_fancy.elemental_vander_costume_clown","Clownkapten"
"heroes.name_fancy.elemental_xandrella","Elementskapelsernas mästare"
"heroes.name_fancy.elemental_xandrella_costume_idol","Elementskapelsernas avgudabild"
"heroes.name_fancy.elemental_xavier","Dubbla svärd-specialist"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Dubbla svärd-artropod"
"heroes.name_fancy.elemental_zandria","Rumtidens försvarare"
"heroes.name_fancy.elemental_zandria_costume_planet","Galaxernas försvarare"
"heroes.name_fancy.elemental_zaria","Treögt medium"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Treögd magiker"
"heroes.name_fancy.elemental_zengar","Universell best"
"heroes.name_fancy.elemental_zengar_costume_farmer","Best med gröna fingrar"
"heroes.name_fancy.elemental_zione","Mekaniserad leveransexpert"
"heroes.name_fancy.elemental_zuni","Hoverboardande alv"
"heroes.name_fancy.elemental_zuni_costume_mage","Hoverboardande magiker"
"heroes.name_fancy.elven_archer","Det nobla hjärtat"
"heroes.name_fancy.elven_archer_costume_cute","Den ädla tecknade figuren"
"heroes.name_fancy.elven_archer_costume_glass","Den ädla glasmålningen"
"heroes.name_fancy.elven_archer_costume_moon","Den ädla väktaren"
"heroes.name_fancy.elven_archer_costume_raven","Den ädla korpen"
"heroes.name_fancy.elven_captain","Alvveteran"
"heroes.name_fancy.elven_captain_costume_cavalier","Alvryttare"
"heroes.name_fancy.elven_captain_costume_cute","Tecknad alv"
"heroes.name_fancy.elven_captain_costume_glass","Alvisk glasmålning"
"heroes.name_fancy.elven_captain_costume_mask","Alvhämnare"
"heroes.name_fancy.exalted_female_statue","Stenäldste"
"heroes.name_fancy.exalted_female_statue_costume_cute","Tecknad stenfigur"
"heroes.name_fancy.exalted_female_statue_costume_glass","Stenglasmålning"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Soläldste"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Urgamla törnen"
"heroes.name_fancy.exalted_warrior","Isäldste"
"heroes.name_fancy.exalted_warrior_costume_cute","Tecknad iskrigare"
"heroes.name_fancy.exalted_warrior_costume_glass","Isens glasmålning"
"heroes.name_fancy.exalted_warrior_costume_ice","Ismonolit"
"heroes.name_fancy.exalted_warrior_costume_underworld","Uråldrig från dödsriket"
"heroes.name_fancy.fables_boss_wolf","Grimskogens guvernör"
"heroes.name_fancy.fables_cinderella","Grimskogens hushållerska"
"heroes.name_fancy.fables_frog_prince","Arvinge till tronen"
"heroes.name_fancy.fables_gnomer","Grimskogens väktare"
"heroes.name_fancy.fables_gretel","Grimskogens häxdräpare"
"heroes.name_fancy.fables_hansel","Grimskogens häxjägare"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Grimskogens vampyrjägare"
"heroes.name_fancy.fables_pixie","Grimskogens ande"
"heroes.name_fancy.fables_puss_in_boots","Grimskogens katt"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Maskerad vägkatt"
"heroes.name_fancy.fables_red_hood","Grimskogens beskyddare"
"heroes.name_fancy.fables_rumpelstiltskin","Grimskogens narr"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Evig skojare"
"heroes.name_fancy.fables_snow_white","Grimskogens prinsessa"
"heroes.name_fancy.fables_snow_white_costume_slayer","Snövit vampyrjägare"
"heroes.name_fancy.faun_araminta","Skräckinjagande faunuskrigare"
"heroes.name_fancy.faun_ascian","Allseende faunussiare"
"heroes.name_fancy.faun_bramble","From faunusträdgårdsmästare"
"heroes.name_fancy.faun_gideon","Modig faunusbefälhavare"
"heroes.name_fancy.faun_isidore","Karismatisk faunuskämpe"
"heroes.name_fancy.faun_jolyon","Eftertänksam faunusmeckare"
"heroes.name_fancy.faun_maud","Ambitiös faunusalkemist"
"heroes.name_fancy.faun_myrtle","Ansatt faunusörtläkare"
"heroes.name_fancy.faun_peregrine","Lättsinnig faunusspanare"
"heroes.name_fancy.faun_philomena","Hypnotisk faunusunderhållare"
"heroes.name_fancy.faun_saskia","Snabbfotad faunusdansare"
"heroes.name_fancy.faun_tamlin","Kuslig faunusflöjtist"
"heroes.name_fancy.faun_verity","Mystisk faunushandlare"
"heroes.name_fancy.faun_yolanda","Sangvinistisk faunussierska"
"heroes.name_fancy.faun_ysabel","Orädd faunusgladiator"
"heroes.name_fancy.fire_god_andre","Den svikna tempelriddaren"
"heroes.name_fancy.fire_god_anzogh","Shaman med agg"
"heroes.name_fancy.fire_god_ares","Krigsgud"
"heroes.name_fancy.fire_god_ares_costume_keymaster","Krigets nyckelbärare"
"heroes.name_fancy.fire_god_doom","Blodstänkt druid"
"heroes.name_fancy.fire_god_doom_costume_avenger","Brinnande hämnare"
"heroes.name_fancy.fire_god_eliane","Äldre röd magiker"
"heroes.name_fancy.fire_god_jean_francois","Musketörmagiker"
