"specials.name.a_cozy_break","A Cozy Break"
"specials.name.alchemy_experiment","Alchemy Experiment"
"specials.name.alpha_roar","Alpha Roar"
"specials.name.amazing_deals","Amazing Deals"
"specials.name.amazing_deals_clearance_sale","Clearance Sale"
"specials.name.amazing_deals_dull_swords","Dull Swords"
"specials.name.amazing_deals_questionable_snake_oil","Questionable Snake Oil"
"specials.name.amphibian_sword_sting","Amphibian Sword Sting"
"specials.name.amphibious_assault","Amphibious Assault"
"specials.name.ancient_dragon_sword","Ancient Dragon Sword"
"specials.name.ancient_enchantment","Ancient Enchantment"
"specials.name.ancient_flames","Ancient Flames"
"specials.name.ancient_martial_arts","Ancient Martial Arts"
"specials.name.ancient_mirror","Ancient Mirror"
"specials.name.ancient_ritual","Ancient Ritual"
"specials.name.ancient_spell","Ancient Spell"
"specials.name.ancient_technology","Ancient Technology"
"specials.name.ancient_vengeance","Ancient Vengeance"
"specials.name.anger_of_forest","Anger of the Forest"
"specials.name.anger_of_the_jester","Anger of the Jester"
"specials.name.anger_of_the_woods","Anger of the Woods"
"specials.name.anger_of_the_woods_pve","Anger of the Woods"
"specials.name.angry_boar","Angry Boar"
"specials.name.angry_boar_pve","Angry Boar"
"specials.name.anthem_of_the_lake","Anthem of the Lake"
"specials.name.aphotic_maw","Aphotic Maw"
"specials.name.aphotic_whisper","Aphotic Whisper"
"specials.name.apothecary_kit","Apothecary Kit"
"specials.name.aquatic_dance","Aquatic Dance"
"specials.name.aquatic_outbreak","Aquatic Outbreak"
"specials.name.arcane_blast","Arcane Blast"
"specials.name.arcane_shock","Arcane Shock"
"specials.name.archaic_dread","Archaic Dread"
"specials.name.archaic_sacred_symbol","Archaic Sacred Symbol"
"specials.name.arctic_breeze","Arctic Breeze"
"specials.name.arctic_veil","Arctic Veil"
"specials.name.arctic_wound","Arctic Wound"
"specials.name.arrow_of_desire","Arrow of Desire"
"specials.name.arrow_of_nujalik","Arrow of Nujalik"
"specials.name.arrows_and_claws","Arrows and Claws"
"specials.name.arrows_of_altruism_liora","Arrows of Altruism"
"specials.name.arrows_of_frost","Arrows of Frost"
"specials.name.arrows_of_fury","Arrows of Fury"
"specials.name.artful_backstab","Artful Backstab"
"specials.name.artful_recreation","Mending Masterpiece"
"specials.name.artisans_shot","Artisan's Shot"
"specials.name.ashes_to_ashes","Ashes to Ashes"
"specials.name.assassins_blades","Assassin's Blades"
"specials.name.assassins_in_the_night","Assassins in the Night"
"specials.name.assassins_in_the_night_pve","Assassins in the Night"
"specials.name.asterius","Brutal Bull Rush"
"specials.name.astral_brew","Astral Brew"
"specials.name.astral_dominion","Astral Dominion"
"specials.name.astral_gemstones","Astral Gemstones"
"specials.name.astral_myrrh","Astral Myrrh"
"specials.name.astral_orb","Astral Orb"
"specials.name.astral_pastries","Astral Pastries"
"specials.name.astral_provocation","Astral Provocation"
"specials.name.astral_summon","Astral Summon"
"specials.name.athenas_arrow","Athena's Arrow"
"specials.name.athenas_bow","Athena's Bow"
"specials.name.atlantean_blade","Atlantean Sword"
"specials.name.atlantean_blade_costume","Atlantean Blade"
"specials.name.atlantean_charge","Atlantean Charge"
"specials.name.attack_rally","Attack Rally"
"specials.name.aura_of_twilight","Aura of Twilight"
"specials.name.aura_wave","Aura Wave"
"specials.name.autumnal_wind","Autumnal Wind"
"specials.name.avenger_of_mothkind","Avenger of Mothkind"
"specials.name.awaken_ki","Awaken Ki"
"specials.name.awe_bolt","Poison Bolt"
"specials.name.axe_of_retribution","Axe of Retribution"
"specials.name.axe_throw","Axe Throw"
"specials.name.azurelight_greatsword","Azurelight Greatsword"
"specials.name.backstab","Backstab"
"specials.name.bad_fortune","Bad Fortune"
"specials.name.bag_of_necessities","Bag of Necessities"
"specials.name.bakers_baguettes","Baker's Baguettes"
"specials.name.balanced_teamwork","Balanced Teamwork"
"specials.name.ballad_of_attraction","Ballad of Attraction"
"specials.name.ballad_of_condemnation","Ballad of Condemnation"
"specials.name.ballad_of_obsession","Ballad of Obsession"
"specials.name.ballad_of_pain","Ballad of Pain"
"specials.name.ballad_of_passion","Ballad of Passion"
"specials.name.ballad_of_purple_swan","Ballad of the Dark Swan"
"specials.name.ballad_of_restoration","Ballad of Restoration"
"specials.name.ballad_of_the_purple_swan","Ballad of the Dark Swan"
"specials.name.bandalore_dance","Bandalore Dance"
"specials.name.barb_sting_dragon_pve","Barb Sting"
"specials.name.barbed_arrows","Barbed Arrows"
"specials.name.barbed_bolt_zidane","Barbed Bolt"
"specials.name.bark_of_protection","Bark Of Protection"
"specials.name.basilisk_breath","Basilisk Breath"
"specials.name.battering_ram","Battering Ram"
"specials.name.battle_boast","Battle Boast"
"specials.name.battleclaw_strike","Battle Claw Strike"
"specials.name.beach_party","Beach Party"
"specials.name.bee_bombast","Bee Bombast"
"specials.name.bee_bravado","Bee Bravado"
"specials.name.beetle_strike","Beetle Strike"
"specials.name.berserker_strike","Berserker Strike"
"specials.name.bewildering_riddle","Bewildering Riddle"
"specials.name.bewitched_daggers","Bewitched Daggers"
"specials.name.binding_contract","Binding Contract"
"specials.name.birch_blessing","Birch Blessing"
"specials.name.bite_of_protection","Bite of Protection"
"specials.name.bites_of_disorientation","Bites of Disorientation"
"specials.name.bitter_berry_blast_dragon_pve","Bitter Berry Blast"
"specials.name.bizarre_mist","Bizarre Mist"
"specials.name.black_tassel_spear_sting","Black Tassel Spear Sting"
"specials.name.black_tide","Black Tide"
"specials.name.blade_barrage","Blade Barrage"
"specials.name.blade_dance","Blades on the Dance Floor"
"specials.name.blade_of_bundelkhand","Blade of Bundelkhand"
"specials.name.blade_of_horrid_affliction","Blade of Horrid Affliction"
"specials.name.blade_tail_swipe","Blade Tail Swipe"
"specials.name.blade_venom","Blades of Venom"
"specials.name.blade_wings","Blade Wings"
"specials.name.blazing_beak","Blazing Beak"
"specials.name.blazing_corolla","Blazing Corolla"
"specials.name.blazing_inferno","Blazing Inferno"
"specials.name.blazing_rave_dance","Blazing Rave Dance"
"specials.name.blazing_slam_dunk","Blazing Slam Dunk"
"specials.name.blazing_venom","Blazing Venom"
"specials.name.bleed_inducing_daggers","Bleed Inducing Daggers"
"specials.name.bleeding_edge","Bleeding Edge"
"specials.name.bleeding_hammer","Bleeding Hammer"
"specials.name.bleeding_stab","Bleeding Stab"
"specials.name.bleeding_thrust","Bleeding Thrust"
"specials.name.blessed_blade","Blessed Blades"
"specials.name.blessed_blade_pve","Blessed Blades"
"specials.name.blessed_brew","Blessed Brew"
"specials.name.blessed_solo","Blessed Solo"
"specials.name.blessed_tankard","Blessed Tankard"
"specials.name.blessing_from_the_future","Blessing from the Future"
"specials.name.blessing_of_gjallarhorn","Blessing of Gjallarhorn"
"specials.name.blessing_of_the_evergrove","Blessing of the Evergrove"
"specials.name.blessing_of_the_skies","Blessing of the Skies"
"specials.name.blind_rage","Blind Rage"
"specials.name.blinding_attack","Blinding Attack"
"specials.name.blinding_curse","Blinding Curse"
"specials.name.blinding_flash","Blinding Flash"
"specials.name.blinding_flash_s4","Blinding Flash"
"specials.name.blinding_injustice","Blinding Injustice"
"specials.name.blinding_knowledge","Blinding Knowledge"
"specials.name.blinding_light","Blinding Light"
"specials.name.blinding_orb","Blinding Orb"
"specials.name.blinding_pounce","Blinding Pounce"
"specials.name.blinding_spell","Blinding Spell"
"specials.name.blinding_spit","Blinding Spit"
"specials.name.blinding_stinger","Blinding Stinger"
"specials.name.blinding_strike","Blinding Strike"
"specials.name.blinding_wisdom","Blinding Wisdom"
"specials.name.blizzard","Blizzard"
"specials.name.blizzard_roar","Blizzard Roar"
"specials.name.blob_of_fury","Blob of Fury"
"specials.name.blood_illusion","Blood Illusion"
"specials.name.blood_petals_of_the_withered","Blood Petals"
"specials.name.blood_sacrifice","Blood Strike"
"specials.name.bloodthirst","Bloodthirst"
"specials.name.blooming_growth","Blooming Growth"
"specials.name.bludgeoning","Bludgeoning"
"specials.name.blue_lizard_charge","Blue Camo Lizard Charge"
"specials.name.blue_shroom_wand","Blue Shroom Wand"
"specials.name.blur_of_steel","Blur of Steel"
"specials.name.blur_of_steel_pve","Blur of Steel"
"specials.name.boar_call","Boar Call"
"specials.name.boar_charge","Boar Charge"
"specials.name.boar_of_fury","Boar of Fury"
"specials.name.boat_ride_from_the_beyond","Ferry From the Beyond"
"specials.name.bobo_blitz","Bobo Blitz"
"specials.name.bolstering_rush","Bolstering Rush"
"specials.name.bond_of_avarice","Bond of Avarice"
"specials.name.bone_arrow","Bone Arrow"
"specials.name.bone_club_clonk","Bone Club Clonk"
"specials.name.bone_club_party","Bone Club Party"
"specials.name.bone_ritual","Bone Ritual"
"specials.name.bone_slam","Bone Slam"
"specials.name.bone_toss","Flying Bones"
"specials.name.booming_mend","Booming Mend"
"specials.name.boon_of_gjallarhorn","Boon of Gjallarhorn"
"specials.name.boopstrike","Boopstrike"
"specials.name.boreal_bash","Boreal Bash"
"specials.name.boulder_smash","Boulder Smash"
"specials.name.bound_by_tales","Bound by Tales"
"specials.name.bounty_of_the_spring","Bounty of the Spring"
"specials.name.bouquet_of_the_seas","Bouquet of the Seas"
"specials.name.brain_link","Brain-link"
"specials.name.branded_by_fire","Branded By Fire"
"specials.name.break_free","Break Free"
"specials.name.break_strike","Break Strike"
"specials.name.breaker_blade","Breaker Blade"
"specials.name.breaker_blade_pve","Breaker Blade"
"specials.name.breath_of_darkness","Breath of Darkness"
"specials.name.breath_of_life","Breath of Life"
"specials.name.breath_of_the_abyss","Breath of the Abyss"
"specials.name.brides_kiss","Bride's Kiss"
"specials.name.brilliant_brew","Brilliant Brew"
"specials.name.bringer_of_order","Bringer of Order"
"specials.name.brittling_burst","Brittling Burst"
"specials.name.brittling_force","Brittling Force"
"specials.name.brittling_strike","Brittling Strike"
"specials.name.bruiser_bros","Bruiser Bros"
"specials.name.brutal_bull_rush","Brutal Bull Rush"
"specials.name.brutal_support","Brutal Support"
"specials.name.buccaneers_blade","Buccaneers Blade"
"specials.name.bugs_shell","Bug Shell"
"specials.name.building_blocks_bulklug","Building Blocks"
"specials.name.bulwark_charge","Bulwark Charge"
"specials.name.burning_ashes","Burning Ashes"
"specials.name.burning_ashes2","Burning Ashes"
"specials.name.burning_chains","Burning Chains"
"specials.name.burning_claws_dragon_pve","Burning Claws"
"specials.name.burning_javelin","Burning Javelin"
"specials.name.burning_pollen_dragon_pve","Flame Wings"
"specials.name.burning_shields","Burning Shields"
"specials.name.burning_spin","Burning Spin"
"specials.name.burning_strike","Burning Strike"
"specials.name.burning_thread","Burning Thread"
"specials.name.burning_wok","Burning Wok"
"specials.name.but_a_scratch","But a Scratch"
"specials.name.butterfly_swarm","Butterfly Swarm"
"specials.name.call_of_the_elements","Call of the Elements"
"specials.name.call_to_arms","Call to Arms"
"specials.name.calling_the_bluff","Calling the Bluff"
"specials.name.calm_jab_dragon_pve","Calm Jab"
"specials.name.calming_mist","Calming Mist"
"specials.name.camouflage_foliage","Camouflage Foliage"
"specials.name.candy_vines","Candy Vines"
"specials.name.cannon_blast","Cannon Blast"
"specials.name.cannonball_splash","Cannonball Splash"
"specials.name.capsicum_charge","Capsicum Charge"
"specials.name.captains_cutlass","Captain's Cutlass"
"specials.name.captivating_illusions","Captivating Illusions"
"specials.name.carnivore_garden","Carnivore Garden"
"specials.name.carve_a_hole","Carve a Hole"
"specials.name.carve_the_bones","Carve the Bones"
"specials.name.cascading_darkness","Cascading Darkness"
"specials.name.cascading_whirlwind","Cascading Whirlwind"
"specials.name.cataclysmic_divination","Cataclysmic Divination"
"specials.name.catnip_fury","Catnip Fury"
"specials.name.cauterizing_flame","Cauterizing Flame"
"specials.name.cauterizing_touch","Cauterizing Touch"
"specials.name.cavalier_hat_of_dark_realm","Cavalier Hat of Dark Realm"
"specials.name.celestial_anvil","Celestial Anvil"
"specials.name.ceremonial_dance","Ceremonial Dance"
"specials.name.chain_blasm_strike","Chain Blast Strike"
"specials.name.chain_lightning","Chain Lightning"
"specials.name.chain_of_pain","Chain of Pain"
"specials.name.chain_strike","Chain Strike"
"specials.name.chains_of_legion","Chains of Legion"
"specials.name.chains_of_light","Chains of Light"
"specials.name.chakram_kick","Chakram Kick"
"specials.name.challenge_the_strongest","Challenge the Strongest"
"specials.name.champion_maneuver","Champion Maneuver"
"specials.name.championship_carrot","Championship Carrot"
"specials.name.change_stance","Gambler's Slash"
"specials.name.channel_ki","Channel Ki"
"specials.name.channeler_of_the_cats","Channeler of the Cats"
"specials.name.channeler_of_the_gods","Channeler of the Gods"
"specials.name.chaos_bolt_volley","Chaos Bolt Volley"
"specials.name.chaos_venom","Chaos Venom"
"specials.name.charged_fireball_dragon_pve","Charged Fireball"
"specials.name.charm_of_protection","Charm of Protection"
"specials.name.charmed_dual_blade","Charmed Dual Blade"
"specials.name.charmers_blades","Charmer's Blades"
"specials.name.cheerful_charm","Cheerful Charm"
"specials.name.cherry_pudding_served","Cherry Pudding Served!"
"specials.name.chieftains_vengeance","Chieftain's Vengeance"
"specials.name.chilling_counterattack","Chilling Counterattack"
"specials.name.chilling_slash","Chilling Slash"
"specials.name.chitin_cage","Chitin Cage"
"specials.name.chords_of_distortion","Chords of Distortion"
"specials.name.chords_of_havoc","Chords of Havoc"
"specials.name.chords_of_inferno","Chords of Inferno"
"specials.name.claw_power","Goblin Fury"
"specials.name.claw_swipe","Claw Swipe"
"specials.name.claws_of_fury","Claws of Fury"
"specials.name.claws_of_the_hunter","Claws of the Hunter"
"specials.name.claws_of_the_lioness","Claws of the Lioness"
"specials.name.claws_of_the_night","Claws of the Night"
"specials.name.claws_of_the_night_ultimate_boss","Claws of the Night"
"specials.name.cleansing_determination","Cleansing Determination"
"specials.name.cleansing_determination_pve","Cleansing Determination"
"specials.name.cleansing_strike","Cleansing Strike"
"specials.name.cleave_and_reflect","Cleave and Reflect"
"specials.name.cleave_counter","Cleave And Counter"
"specials.name.clever_stratagem","Clever Stratagem"
"specials.name.cloak_of_feathers","Cloak of Feathers"
"specials.name.close_order_formation","Close Order Formation"
"specials.name.cloth_of_constellations","Cloth of Constellations"
"specials.name.cloud_axe","Cloud Axe"
"specials.name.cloud_hammer","Cloud Hammer"
"specials.name.clowns_blessing","Clown's Blessing"
"specials.name.coiling_whip","Coiling Whip"
"specials.name.coins_of_pain","Coins of Pain"
"specials.name.cold_blast","Blizzard"
"specials.name.cold_blast_single","Cold Blast"
"specials.name.cold_command","Cold Command"
"specials.name.cold_fire","Cold Fire"
"specials.name.colossal_bite","Colossal Bite"
"specials.name.colossal_carry","Colossal Carry"
"specials.name.colossal_chops","Colossal Chops"
"specials.name.comet","Scorching Ray"
"specials.name.command_pack","Command the Pack"
"specials.name.command_sand_golems","Command Sand Golems"
"specials.name.command_to_advance","Command to Advance"
"specials.name.command_to_advance_costume_fire_bat","Order to Advance"
"specials.name.commanders_gauntlet","Commander's Gauntlet"
"specials.name.commodores_malice","Commodore's Malice"
"specials.name.commodores_revenge","Commodore's Revenge"
"specials.name.compact_lance","Compact Lance"
"specials.name.concussive_charge","Concussive Charge"
"specials.name.confident_strategy","Confident Strategy"
"specials.name.conjure_the_azure_spirit","Conjure the Azure Spirit"
"specials.name.connect_ki","Connect Ki"
"specials.name.connect_ki_pve","Connect Ki"
"specials.name.conquerors_command","Conqueror's Command"
"specials.name.constellation_crush","Constellation Crush"
"specials.name.corals_of_nourishment","Corals of Nourishment"
"specials.name.core_beam","Core Beam"
"specials.name.core_blast","Core Blast"
"specials.name.core_burst","Core Burst"
"specials.name.corroding_cutlass","Corroding Cutlass"
"specials.name.corrosive_acid","Corrosive Acid"
"specials.name.corrosive_burn_claws_dragon_pve","Corrosive Burn Claws"
"specials.name.corrosive_claws_dragon_pve","Corrosive Poison Claws"
"specials.name.corrosive_pollen","Corrosive Pollen"
"specials.name.corrupting_idol","Corrupting Idol"
"specials.name.cosmic_clock","Cosmic Clock"
"specials.name.cosmic_devotion","Cosmic Devotion"
"specials.name.countering_hammock","Countering Hammock"
"specials.name.counterstance","Counterstance"
"specials.name.couriers_dash","Courier's Dash"
"specials.name.cover_slam","Cover Slam"
"specials.name.covert_stab","Remorseless Stab"
"specials.name.cracked_skull_strike","Cracked Skull Strike"
"specials.name.crawling_vines","Crawling Vines"
"specials.name.crazed_lunge","Crazed Lunge"
"specials.name.crazed_stampede","Crazed Stampede"
"specials.name.creative_hands","Creative Hands"
"specials.name.creeping_venom","Creeping Venom"
"specials.name.creeping_vines","Creeping Vines"
"specials.name.crescent_moon_strike","Crescent Moon Strike"
"specials.name.crescent_shield","Crescent Shield"
"specials.name.crescent_spear","Crescent Spear"
"specials.name.crimson_blade","Crimson Blade"
"specials.name.crimson_calamity","Crimson Calamity"
"specials.name.crimson_calamity2","Crimson Calamity"
"specials.name.crippling_claws","Crippling Claws"
"specials.name.crippling_claws_pve","Crippling Claws"
"specials.name.crippling_grapple","Crippling Grapple"
"specials.name.critical_cookout","Critical Cookout"
"specials.name.critical_tactics","Critical Tactics"
"specials.name.croc_bite","Croc Bite"
"specials.name.crush_of_avarice","Crush of Avarice"
"specials.name.crush_of_hel","Crush of Hel"
"specials.name.crush_of_malice","Crush of Malice"
"specials.name.crushing_claws","Crushing Claws"
"specials.name.crushing_shot","Crushing Shot"
"specials.name.crust_of_divinity","Crust of Divinity"
"specials.name.cry_for_absolution","Cry for Absolution"
"specials.name.crystal_barrage","Crystal Barrage"
"specials.name.crystal_bombardment","Crystal Bombardment"
"specials.name.crystal_embrace","Crystal Embrace"
"specials.name.crystalis","Freezing Crystal"
"specials.name.crystalline_strike","Crystalline Strike"
"specials.name.cub_leader_cut","Cub Leader Cut"
"specials.name.cube_of_dark_realm","Cube of Dark Realm"
"specials.name.cult_of_arachnid","Cult of Arachnid"
"specials.name.cunning_knife","Cunning Knife"
"specials.name.cup_of_mead","Cup of Mead"
"specials.name.curse_of_sargasso","Curse of Sargasso"
"specials.name.curse_of_the_cephaloid","Curse of the Cephaloid"
"specials.name.curse_of_the_depths","Curse of the Depths"
"specials.name.curse_of_the_sea","Curse of the Sea"
"specials.name.curse_of_the_specter","Curse of the Specter"
"specials.name.curse_of_the_specter_pve","Curse of the Specter"
"specials.name.cursed_fumes","Cursed Fumes"
"specials.name.cursed_fumes2","Cursed Fumes"
"specials.name.cursed_garden","Cursed Garden"
"specials.name.cursed_painting","Cursed Painting"
"specials.name.cursed_plan","Cursed Plan"
"specials.name.cursed_strike","Cursed Strike"
"specials.name.cursed_tail_whip","Cursed Tail Whip"
"specials.name.cut_cure_and_craze","Cut, Cure and Craze"
"specials.name.cut_down_the_competition","Cut Down the Competition"
"specials.name.cuts_of_hulu","Cuts of Hulu"
"specials.name.dagger_of_shadows","Dagger of Shadows"
"specials.name.dance_of_fire","Dance of Fire"
"specials.name.dance_of_flame","Dance of Flame"
"specials.name.dance_of_glass","Glass Dance"
"specials.name.dance_of_ignition","Dance of Ignition"
"specials.name.dance_of_siegfried","Dance of Siegfried"
"specials.name.dance_of_spirits","Dance of Spirits"
"specials.name.dance_of_the_dunes","Dance of the Dunes"
"specials.name.dance_of_the_heron","Dance of the Heron"
"specials.name.dance_of_the_little_swan","Dance of the Little Swan"
"specials.name.dance_of_the_queen","Dance of the Queen"
"specials.name.dance_of_the_raven","Dance of the Black Swan"
"specials.name.dance_of_the_slimy","Dance of the Slimy"
"specials.name.dance_of_the_swan","Dance of the Swan"
"specials.name.dance_of_the_yellow_swan","Dance of the Light Swan"
"specials.name.dance_of_toons","Dance of Toons"
"specials.name.dancestance","Dance Stance"
"specials.name.dancing_dodge","Dancing Dodge"
"specials.name.dancing_slash","Dancing Slash"
"specials.name.dantes_inferno","Dante's Inferno"
"specials.name.dark_barrage","Dark Barrage"
"specials.name.dark_bolt","Dark Bolt"
"specials.name.dark_lord","Doomstrike"
"specials.name.dark_mirror","Mirror of Flames"
"specials.name.dark_orb","Dark Orb"
"specials.name.dark_shock","Dark Shock"
"specials.name.darts_of_the_deep","Darts of the Deep"
"specials.name.dauntless_bladestorm","Dauntless Bladestorm"
"specials.name.dawn_strike","Dawn Strike"
"specials.name.dawnlight_rally","Dawnlight Rally"
"specials.name.day_of_judgement","Day of Judgement"
"specials.name.day_of_reckoning","Day of Reckoning"
"specials.name.dazzling_gleam","Dazzling Gleam"
"specials.name.dazzling_grin","Dazzling Grin"
"specials.name.deadly_claw","Deadly Claw"
"specials.name.deadly_constriction","Deadly Constriction"
"specials.name.deadly_riposte","Deadly Riposte"
"specials.name.deadly_sting","Deadly Sting"
"specials.name.deathly_glaive","Deathly Glaive"
"specials.name.deathstrike","Deathstrike"
"specials.name.debt_drain_boboosang","Debt Drain"
"specials.name.deceiving_glow","Deceiving Glow"
"specials.name.deceptive_smalltalk","Deceptive Smalltalk"
"specials.name.deep_sea_ritual","Deep Sea Ritual"
"specials.name.defensive_tactics","Defensive Tactics"
"specials.name.delay_the_inevitable","Delay the Inevitable"
"specials.name.delicious_demise","Delicious Demise"
"specials.name.delicious_idol","Delicious Idol"
"specials.name.demolishing_crush","Demolishing Crush"
"specials.name.demoralizing_banter","Demoralizing Banter"
"specials.name.depth_blast","Depth Blast"
"specials.name.deranged_existence","Deranged Existence"
"specials.name.desert_blessing","Desert Blessing"
"specials.name.destructive_strike","Trident Lunge"
"specials.name.deteriorating_morale","Deteriorating Morale"
"specials.name.devastating_slash","Devastating Slash"
"specials.name.devastating_thrust","Devastating Thrust"
"specials.name.dewling_strike","Dewling Strike"
"specials.name.dewling_sweep","Dewling Sweep"
"specials.name.dewling_warcry","Dewling Warcry"
"specials.name.dig_a_hole","Dig a Hole"
"specials.name.dire_ghost","Dire Ghost"
"specials.name.directors_blessing","Director's Blessing"
"specials.name.directors_blessing_pve","Director's Blessing"
"specials.name.disabling_decree","Disabling Decree"
"specials.name.disabling_study","Disabling Study"
"specials.name.disarming_gaze_dragon_pve","Disarming Gaze"
"specials.name.disheartening_riddle","Disheartening Riddle"
"specials.name.dishonorable_ploy","Dishonorable Ploy"
"specials.name.disir_of_dreams","Dísir of Dreams"
"specials.name.disir_of_dusk","Dísir of Dusk"
"specials.name.dispelling_curse","Dispelling Curse"
"specials.name.dispelling_judgement","Dispelling Judgement"
"specials.name.dispelling_potion","Dispelling Potion"
"specials.name.dispelling_strike","Dispelling Strike"
"specials.name.dispelling_willpower","Dispelling Willpower"
"specials.name.dispelling_willpower_pve","Dispelling Willpower"
"specials.name.disquieting_tune","Disquieting Tune"
"specials.name.disrupting_charge","Disrupting Charge"
"specials.name.disrupting_charge_costume_tiger_lord","Ravaging Charge"
"specials.name.divine_connection","Divine Connection"
"specials.name.divine_light1","Divine Light"
"specials.name.divine_lunge","Divine Lunge"
"specials.name.divine_protection","Divine Protection"
"specials.name.divine_protection_deadly","Divine Protection"
"specials.name.divine_reflection","Divine Reflection"
"specials.name.divine_reversal","Divine Reversal"
"specials.name.dizzying_strike","Dizzying Strike"
"specials.name.donut_to_the_rescue","Donut to the Rescue!"
"specials.name.doomstrike","Doomstrike"
"specials.name.double_flail_mayhem","Double Flail Mayhem"
"specials.name.double_strike","Double Strike"
"specials.name.doublebarreled_starstick","Double-barreled Starstick"
"specials.name.dozy_mead","Dozy Mead"
"specials.name.dragon_autumn_blaze","Autumn Blaze"
"specials.name.dragon_blaze_of_fatigue","Blaze of Fatigue"
"specials.name.dragon_blaze_of_mortality","Blaze of Mortality"
"specials.name.dragon_blaze_of_protection","Blaze of Protection"
"specials.name.dragon_blaze_of_suppression","Blaze of Suppression"
"specials.name.dragon_blaze_of_the_hydra","Blaze of the Hydra"
"specials.name.dragon_blaze_of_the_undying","Blaze of the Undying"
"specials.name.dragon_blaze_of_torment","Blaze of Torment"
"specials.name.dragon_blazing_inferno","Blazing Inferno"
"specials.name.dragon_blazing_storm","Blazing Storm"
"specials.name.dragon_blinding_blaze","Blinding Blaze"
"specials.name.dragon_breath_of_bulwark","Breath of Bulwark"
"specials.name.dragon_breath_of_compassion","Breath of Compassion"
"specials.name.dragon_breath_of_nourishment","Breath of Nourishment"
"specials.name.dragon_breath_of_retribution","Breath of Retribution"
"specials.name.dragon_breath_of_revival","Breath of Revival"
"specials.name.dragon_cauterizing_blaze","Cauterizing Blaze"
"specials.name.dragon_charring_blaze","Charring Blaze"
"specials.name.dragon_claws","Dragon Claws"
"specials.name.dragon_cleansing_flame","Cleansing Flame"
"specials.name.dragon_corrosive_blaze","Corrosive Blaze"
"specials.name.dragon_cracking_blaze","Cracking Blaze"
"specials.name.dragon_crashing_blaze","Crashing Blaze"
"specials.name.dragon_crippling_blaze","Crippling Blaze"
"specials.name.dragon_crushing_blaze","Crushing Blaze"
"specials.name.dragon_dampening_blaze","Dampening Blaze"
"specials.name.dragon_dazing_blaze","Dazing Blaze"
"specials.name.dragon_delivery_service","Dragon Delivery Service"
"specials.name.dragon_destabilizing_blaze","Destabilizing Blaze"
"specials.name.dragon_devastating_blaze","Devastating Blaze"
"specials.name.dragon_disarming_blaze","Disarming Blaze"
"specials.name.dragon_draining_blaze","Draining Blaze"
"specials.name.dragon_empowering_breath","Empowering Breath"
"specials.name.dragon_esoteric_flame","Esoteric Flame"
"specials.name.dragon_fang","Dragon Fang"
"specials.name.dragon_fiery_blaze","Fiery Blaze"
"specials.name.dragon_flames_of_acceleration","Flames of Acceleration"
"specials.name.dragon_fortifying_flame","Fortifying Flame"
