"quests.name.ancient_dragon","Gammel Underrot"
"quests.name.legendary_troop","Legenders kaserner"
"quests.name.limit_breaker_dark","Omegas luftspeilinger"
"quests.name.limit_breaker_fire","Omegas luftspeilinger"
"quests.name.limit_breaker_holy","Omegas luftspeilinger"
"quests.name.limit_breaker_ice","Omegas luftspeilinger"
"quests.name.limit_breaker_nature","Omegas luftspeilinger"
"quests.name.lunar_new_year","Månenyttår"
"quests.name.magic","Magitårn"
"quests.name.magic_impossible","Magitårn: Umulig"
"quests.name.masquerade","Gudenes karneval"
"quests.name.mighty_pets","Mektige kjæledyr"
"quests.name.monster_island_horde","Monsterhorde"
"quests.name.monster_island_horde_large","Stor monsterhorde"
"quests.name.monster_island_horde_large_blue","Stor kamofirfisle-horde"
"quests.name.monster_island_horde_large_green","Stor plantopender-horde"
"quests.name.monster_island_horde_large_purple","Stor billoid-horde"
"quests.name.monster_island_horde_large_red","Stor kamofirfisle-horde"
"quests.name.monster_island_horde_large_yellow","Stor billoid-horde"
"quests.name.monster_island_horde_medium","Mellomstor monsterhorde"
"quests.name.monster_island_horde_medium_blue","Mellomstor kamofirfisle-horde"
"quests.name.monster_island_horde_medium_green","Mellomstor plantopender-horde"
"quests.name.monster_island_horde_medium_purple","Mellomstor billoid-horde"
"quests.name.monster_island_horde_medium_red","Mellomstor kamofirfisle-horde"
"quests.name.monster_island_horde_medium_yellow","Mellomstor billoid-horde"
"quests.name.monster_island_horde_small","Liten monsterhorde"
"quests.name.monster_island_horde_small_blue","Liten kamofirfisle-horde"
"quests.name.monster_island_horde_small_green","Liten plantopender-horde"
"quests.name.monster_island_horde_small_purple","Liten billoid-horde"
"quests.name.monster_island_horde_small_red","Liten kamofirfisle-horde"
"quests.name.monster_island_horde_small_yellow","Liten billoid-horde"
"quests.name.moths","Møllens natt"
"quests.name.musketeers","Den modige og den vakre"
"quests.name.ninja","Ninjatårn"
"quests.name.ninja_impossible","Ninjatårn: Umulig"
"quests.name.opera","Operaens hemmeligheter"
"quests.name.owl","Ugletårn"
"quests.name.owl_impossible","Ugletårn: Umulig"
"quests.name.recruits","Finn rekrutter"
"quests.name.recruits_uncommon","Finn rekrutter II"
"quests.name.scavenging","Let etter ressurser"
"quests.name.shadow_quest","Dypets skygger"
"quests.name.slayers","Slakterne fra Fell-skyggene"
"quests.name.spring_2018","Springvale-festival"
"quests.name.starter","Startoppdrag"
"quests.name.styx","Styx-tårn"
"quests.name.styx_impossible","Styx-tårn: Umulig"
"quests.name.summer_2018","Sandriket"
"quests.name.super_class_barbarian","Mesterbarbarprøvelser"
"quests.name.super_class_cleric","Mesterprestprøvelser"
"quests.name.super_class_druid","Mesterdruideprøvelser"
"quests.name.super_class_fighter","Mesterslåsskjempeprøvelser"
"quests.name.super_class_monk","Mestermunkprøvelser"
"quests.name.super_class_paladin","Mesterridderprøvelser"
"quests.name.super_class_ranger","Mesterskogvokterprøvelser"
"quests.name.super_class_rogue","Mestertyvprøvelser"
"quests.name.super_class_sorcerer","Mestermagiker-prøvelser"
"quests.name.super_class_wizard","Mestertrollmannprøvelser"
"quests.name.super_elemental","Elementkonkurransen"
"quests.name.treasure_quest","Skatteoppdrag"
"quests.name.valentines","Kjærlighetens sesong"
"quests.name.villains","Skurkeliga"
"quests.name.xmas_2017","Redd vinteren"
"quests.name.xmas_2018","Julenissens utfordring"
"quests.name.xp","Skaff erfaring"
"quests.special_rule.name.assist_dragon_mastery","Hjelpedragemestring"
"quests.special_rule.name.astralelves","Astralalver"
"quests.special_rule.name.covenant","Mesternes pakt"
"quests.special_rule.name.event_bonus","Hendelseshelt-bonus"
"quests.special_rule.name.family_bonus","Fremhevede familier"
"quests.special_rule.name.goblin","Goblinlandsby"
"quests.special_rule.name.hero_roster_mastery","Mestring av helteliste"
"quests.special_rule.name.magiccurse","Magisk forbannelse"
"quests.special_rule.name.onicurse","Oni-forbannelse"
