"specials.name.a_cozy_break","Una pausa confortevole"
"specials.name.angry_boar","Cinghiale arrabbiato"
"specials.name.angry_boar_pve","Cinghiale arrabbiato"
"specials.name.anthem_of_the_lake","Inno del lago"
"specials.name.aphotic_maw","Fauci afotiche"
"specials.name.aphotic_whisper","Sussurro afotico"
"specials.name.apothecary_kit","Kit da speziale"
"specials.name.aquatic_dance","Danza acquatica"
"specials.name.aquatic_outbreak","Rivolta acquatica"
"specials.name.arcane_blast","Colpo arcano"
"specials.name.arcane_shock","Scossa arcana"
"specials.name.archaic_dread","Timore arcaico"
"specials.name.archaic_sacred_symbol","Simbolo sacro arcaico"
"specials.name.arctic_breeze","Brezza artica"
"specials.name.arctic_guard","Guardia artica"
"specials.name.arctic_hunt","Caccia artica"
"specials.name.arctic_veil","Velo artico"
"specials.name.arctic_wound","Ferita artica"
"specials.name.ardent_panacea","Panacea ardente"
"specials.name.arrow_of_desire","Freccia del desiderio"
"specials.name.arrow_of_nujalik","Freccia di Nujalik"
"specials.name.arrows_and_claws","Frecce e artigli"
"specials.name.arrows_of_altruism_liora","Frecce dell'altruismo"
"specials.name.arrows_of_frost","Frecce del gelo"
"specials.name.arrows_of_fury","Frecce della furia"
"specials.name.artful_backstab","Pugnalata alle spalle artistica"
"specials.name.artful_recreation","Capolavoro del rammendo"
"specials.name.artisans_shot","Tiro dell'artigiano"
"specials.name.ashes_to_ashes","Cenere alla cenere"
"specials.name.assassins_blades","Lame dell'assassino"
"specials.name.assassins_in_the_night","Assassini nella notte"
"specials.name.assassins_in_the_night_pve","Assassini nella notte"
"specials.name.asterius","Carica taurina brutale"
"specials.name.astral_assistance","Assistenza astrale"
"specials.name.astral_brew","Miscela astrale"
"specials.name.astral_dominion","Dominio astrale"
"specials.name.astral_gemstones","Gemme astrali"
"specials.name.astral_myrrh","Mirra astrale"
"specials.name.astral_orb","Sfera astrale"
"specials.name.astral_pastries","Pasticceria astrale"
"specials.name.astral_provocation","Provocazione astrale"
"specials.name.astral_summon","Chiamata astrale"
"specials.name.athenas_arrow","Freccia di Atena"
"specials.name.athenas_bow","Arco di Atena"
"specials.name.atlantean_blade","Spada atlantidea"
"specials.name.atlantean_blade_costume","Lama atlantidea"
"specials.name.atlantean_charge","Carica atlantidea"
"specials.name.atlantean_toon_spear","Lancia d'Atlantide cartone"
"specials.name.atlantean_toon_sword","Spada d'Atlantide cartone"
"specials.name.attack_rally","Manifestazione di attacco"
"specials.name.aura_of_the_fiery_lion","Aura del leone infuocato"
"specials.name.aura_of_twilight","Aura del crepuscolo"
"specials.name.aura_wave","Ondata dell'aura"
"specials.name.autumnal_wind","Vento d'autunno"
"specials.name.avenger_of_mothkind","Vendicatore delle falene"
"specials.name.awaken_ki","Ki destata"
"specials.name.awe_bolt","Dardo velenoso"
"specials.name.axe_of_retribution","Ascia della vendetta"
"specials.name.axe_throw","Lancio di asce"
"specials.name.azurelight_greatsword","Spadone Luceazzurra"
"specials.name.backstab","Pugnalata alle spalle"
"specials.name.bad_fortune","Cattiva sorte"
"specials.name.bag_of_necessities","Borsa di prima necessità"
"specials.name.bagh_nakh_thrust","Colpo di Bagh Nakh"
"specials.name.bakers_baguettes","Baguette del fornaio"
"specials.name.balanced_teamwork","Lavoro di squadra equilibrato"
"specials.name.ballad_of_attraction","Ballata dell'attrazione"
"specials.name.ballad_of_condemnation","Ballata della condanna"
"specials.name.ballad_of_obsession","Ballata dell'ossessione"
"specials.name.ballad_of_pain","Ballata del dolore"
"specials.name.ballad_of_passion","Ballata della passione"
"specials.name.ballad_of_purple_swan","Ballata del Cigno oscuro"
"specials.name.ballad_of_restoration","Ballata del ristoro"
"specials.name.ballad_of_the_purple_swan","Ballata del Cigno oscuro"
"specials.name.bandalore_dance","Danza di Bandalore"
"specials.name.barb_sting_dragon_pve","Puntura spinata"
"specials.name.barbed_arrows","Frecce spinate"
"specials.name.barbed_bolt_zidane","Dardo spinato"
"specials.name.bark_of_protection","Corteccia della protezione"
"specials.name.basilisk_breath","Respiro di basilisco"
"specials.name.battering_ram","Ariete"
"specials.name.battle_boast","Vanteria di battaglia"
"specials.name.battleclaw_strike","Colpo dell'artiglio da battaglia"
"specials.name.beach_party","Festa sulla spiaggia"
"specials.name.beautiful_petals","Petali incantevoli"
"specials.name.bee_bombast","Bomba di api"
"specials.name.bee_bravado","Spavalderia delle api"
"specials.name.beetle_strike","Colpo dello scarafaggio"
"specials.name.berserker_strike","Colpo del Berserker"
"specials.name.bewildering_riddle","Indovinello sconcertante"
"specials.name.bewitched_daggers","Pugnali stregati"
"specials.name.bewitching_blast","Esplosione ammaliante"
"specials.name.binding_contract","Contratto vincolante"
"specials.name.birch_blessing","Benedizione della betulla"
"specials.name.bite_of_protection","Morso della protezione"
"specials.name.bites_of_disorientation","Morsi del disorientamento"
"specials.name.bitter_berry_blast_dragon_pve","Esplosione di bacche amare"
"specials.name.bizarre_mist","Nebbia bizzarra"
"specials.name.black_tassel_spear_sting","Trafittura della lancia con nappa nera"
"specials.name.black_tide","Marea oscura"
"specials.name.blade_barrage","Sbarramento di lame"
"specials.name.blade_dance","Lame sulla pista da ballo"
"specials.name.blade_of_betrayal","Lama del tradimento"
"specials.name.blade_of_bundelkhand","Lama di Bundelkhand"
"specials.name.blade_of_horrid_affliction","Lama dell'orrida afflizione"
"specials.name.blade_tail_swipe","Colpo di coda tagliente"
"specials.name.blade_venom","Lame di veleno"
"specials.name.blade_wings","Ali di lama"
"specials.name.blazing_beak","Rostro fiammeggiante"
"specials.name.blazing_corolla","Corolla ardente"
"specials.name.blazing_inferno","Inferno ardente"
"specials.name.blazing_rave_dance","Danza sfrenata ardente"
"specials.name.blazing_slam_dunk","Schiacciata infuocata"
"specials.name.blazing_venom","Veleno ardente"
"specials.name.bleed_inducing_daggers","Daghe da sanguinamento"
"specials.name.bleeding_edge","Lama sanguinante"
"specials.name.bleeding_hammer","Martello sanguinante"
"specials.name.bleeding_stab","Pugnalata sanguinante"
"specials.name.bleeding_thrust","Spinta sanguinante"
"specials.name.blessed_blade","Lame benedette"
"specials.name.blessed_blade_pve","Lame benedette"
"specials.name.blessed_brew","Infusione benedetta"
"specials.name.blessed_solo","Assolo benedetto"
"specials.name.blessed_tankard","Boccale benedetto"
"specials.name.blessing_from_the_future","Benedizione dal futuro"
"specials.name.blessing_of_gjallarhorn","Benedizione del Gjallarhorn"
"specials.name.blessing_of_the_evergrove","Benedizione del boschetto eterno"
"specials.name.blessing_of_the_skies","Benedizione dei cieli"
"specials.name.blind_rage","Rabbia cieca"
"specials.name.blinding_attack","Attacco accecante"
"specials.name.blinding_curse","Maledizione accecante"
"specials.name.blinding_flash","Lampo accecante"
"specials.name.blinding_flash_s4","Lampo accecante"
"specials.name.blinding_injustice","Ingiustizia accecante"
"specials.name.blinding_knowledge","Conoscenza accecante"
"specials.name.blinding_light","Luce accecante"
"specials.name.blinding_orb","Sfera accecante"
"specials.name.blinding_pounce","Balzo accecante"
"specials.name.blinding_spell","Incantesimo accecante"
"specials.name.blinding_spit","Sputo accecante"
"specials.name.blinding_stinger","Pungiglione accecante"
"specials.name.blinding_strike","Colpo accecante"
"specials.name.blinding_wisdom","Saggezza accecante"
"specials.name.blizzard","Tormenta"
"specials.name.blizzard_roar","Ruggito della tormenta"
"specials.name.blob_of_fury","Palla della furia"
"specials.name.blood_illusion","Illusione sanguigna"
"specials.name.blood_petals_of_the_withered","Petali di sangue"
"specials.name.blood_sacrifice","Assalto sanguinario"
"specials.name.bloodthirst","Sete di sangue"
"specials.name.blooming_growth","Crescita in fiore"
"specials.name.bludgeoning","Randellata"
"specials.name.blue_lizard_charge","Carica della lucertola mimetica blu"
"specials.name.blue_shroom_wand","Bacchetta dei funghi blu"
"specials.name.blur_of_steel","Lampo d'acciaio"
"specials.name.blur_of_steel_pve","Lampo d'acciaio"
"specials.name.boar_call","Chiamata del cinghiale"
"specials.name.boar_charge","Carica del cinghiale"
"specials.name.boar_of_fury","Cinghiale della furia"
"specials.name.boat_ride_from_the_beyond","Traghetto dall'Aldilà"
"specials.name.bobo_blitz","Blitz di Bobo"
"specials.name.bolstering_rush","Corsa rinforzante"
"specials.name.bond_of_avarice","Legame dell'avarizia"
"specials.name.bone_arrow","Freccia d'osso"
"specials.name.bone_club_clonk","Botto della mazza d'osso"
"specials.name.bone_club_party","Festa della mazza d'osso"
"specials.name.bone_ritual","Rituale dell'osso"
"specials.name.bone_slam","Schiacciata d'ossa"
"specials.name.bone_toss","Ossa volanti"
"specials.name.booming_mend","Rimedio esplosivo"
"specials.name.boon_of_gjallarhorn","Favore di Gjallarhorn"
"specials.name.boopstrike","Colpo spassoso"
"specials.name.boreal_bash","Colpo boreale"
"specials.name.boulder_smash","Schiacciamento con masso"
"specials.name.bound_by_knowledge","Legato alla conoscenza"
"specials.name.bound_by_tales","Legato ai racconti"
"specials.name.bounty_of_the_spring","Ricchezza della primavera"
"specials.name.bouquet_of_the_seas","Bouquet dei mari"
"specials.name.brain_link","Collegamento cerebrale"
"specials.name.brand_of_reckoning","Marchio del giudizio"
"specials.name.branded_by_fire","Marchiato dal fuoco"
"specials.name.break_free","Liberazione"
"specials.name.break_strike","Assalto spezzante"
"specials.name.breaker_blade","Spada devastante"
"specials.name.breaker_blade_pve","Spada devastante"
"specials.name.breath_of_darkness","Soffio delle tenebre"
"specials.name.breath_of_life","Soffio della vita"
"specials.name.breath_of_the_abyss","Soffio dell'abisso"
"specials.name.brew_of_the_centaurs","Bevanda dei centauri"
"specials.name.brides_kiss","Bacio della sposa"
"specials.name.brilliant_brew","Miscela mirabolante"
"specials.name.brilliant_sweep_dragon_pve","Spazzata mirabolante"
"specials.name.bringer_of_order","Portatore d'ordine"
"specials.name.brittling_burst","Esplosione frammentaria"
"specials.name.brittling_force","Forza instabile"
"specials.name.brittling_strike","Colpo frantumante"
"specials.name.bruiser_bros","Fratelli colossi"
"specials.name.brutal_bull_rush","Carica taurina brutale"
"specials.name.brutal_support","Supporto brutale"
"specials.name.buccaneers_blade","Lama del bucaniere"
"specials.name.bugs_shell","Bomba di insetti"
"specials.name.building_blocks_bulklug","Mattoni"
"specials.name.bulwark_charge","Carica del baluardo"
"specials.name.burning_ashes","Ceneri ardenti"
"specials.name.burning_ashes2","Ceneri ardenti"
"specials.name.burning_chains","Catene brucianti"
"specials.name.burning_claws_dragon_pve","Artigli infuocati"
"specials.name.burning_javelin","Giavellotto infuocato"
"specials.name.burning_pollen_dragon_pve","Ali di fiamma"
"specials.name.burning_shields","Scudi brucianti"
"specials.name.burning_spin","Rotazione bruciante"
"specials.name.burning_strike","Assalto bruciante"
"specials.name.burning_thread","Filo ardente"
"specials.name.burning_wok","Wok bruciante"
"specials.name.but_a_scratch","Solo un graffio"
"specials.name.butterfly_swarm","Sciame di farfalle"
"specials.name.cabbage_barrage","Bombardamento di cavoli"
"specials.name.calcifying_breath","Soffio calcificante"
"specials.name.call_of_the_elements","Richiamo degli elementi"
"specials.name.call_to_arms","Chiamata alle armi"
"specials.name.calling_the_bluff","Chiamare il bluff"
"specials.name.calm_jab_dragon_pve","Colpo della calma"
"specials.name.calming_mist","Nebbia calmante"
"specials.name.camouflage_foliage","Fogliame mimetico"
"specials.name.candy_vines","Viticci dolci"
"specials.name.cannibalizing_munch","Masticata cannibale"
"specials.name.cannon_blast","Scoppio di cannone"
"specials.name.cannonball_splash","Schizzo della palla di cannone"
"specials.name.capsicum_charge","Carica del capsico"
"specials.name.captains_cutlass","Sciabola del Capitano"
"specials.name.captivating_illusions","Illusioni accattivanti"
"specials.name.carnivore_garden","Giardino carnivoro"
"specials.name.carve_a_hole","Buco profondo"
"specials.name.carve_the_bones","Scolpire le ossa"
"specials.name.cascading_darkness","Oscurità a cascata"
"specials.name.cascading_whirlwind","Vortice a cascata"
"specials.name.cataclysmic_divination","Divinazione cataclismica"
"specials.name.catnip_fury","Furia dell'erba gatta"
"specials.name.caught_and_vicious","Preso e feroce"
"specials.name.cauterizing_flame","Fiamma cauterizzante"
"specials.name.cauterizing_touch","Tocco cauterizzante"
"specials.name.cavalier_hat_of_dark_realm","Cappello da cavaliere del regno oscuro"
"specials.name.celestial_anvil","Incudine celestiale"
"specials.name.ceremonial_dance","Danza cerimoniale"
"specials.name.ceremonial_katar","Katar cerimoniale"
"specials.name.chain_blasm_strike","Colpo a catena"
"specials.name.chain_lightning","Fulmine a catena"
"specials.name.chain_of_pain","Sequenza dolorosa"
"specials.name.chain_strike","Assalto a catena"
"specials.name.chains_of_legion","Catene della Legione"
"specials.name.chains_of_light","Catene di luce"
"specials.name.chakram_kick","Calcio con chakram"
"specials.name.challenge_the_strongest","Sfida il più forte"
"specials.name.champagne_hammer","Martello bottiglia"
"specials.name.champion_maneuver","Manovra del campione"
"specials.name.championship_carrot","Carota del campionato"
"specials.name.change_stance","Colpo del giocatore d'azzardo"
"specials.name.channel_ki","Ki incanalata"
"specials.name.channeler_of_the_cats","Canalizzatore dei gatti"
"specials.name.channeler_of_the_gods","Canalizzatore degli dèi"
"specials.name.chaos_bolt_volley","Raffica di dardi del caos"
"specials.name.chaos_venom","Veleno del caos"
"specials.name.charged_fireball_dragon_pve","Palla di fuoco caricata"
"specials.name.charm_of_protection","Incantesimo di protezione"
"specials.name.charmed_dual_blade","Lama doppia incantata"
"specials.name.charmers_blades","Lame dell'ammaliatore"
"specials.name.cheerful_charm","Incantesimo allegro"
"specials.name.cheese_wheel_rampage","Furia della ruota del formaggio"
"specials.name.cherry_pudding_served","Budino alle ciliegie servito!"
"specials.name.chieftains_vengeance","Vendetta del capo tribù"
"specials.name.chilling_counterattack","Contrattacco agghiacciante"
"specials.name.chilling_slash","Taglio agghiacciante"
"specials.name.chitin_cage","Gabbia di chitina"
"specials.name.chords_of_distortion","Accordi della distorsione"
"specials.name.chords_of_havoc","Accordi del caos"
"specials.name.chords_of_inferno","Accordi dell'Inferno"
"specials.name.claw_power","Furia del Goblin"
"specials.name.claw_swipe","Colpo di artiglio"
"specials.name.claws_of_fury","Artigli della furia"
"specials.name.claws_of_the_hunter","Artigli del cacciatore"
"specials.name.claws_of_the_lioness","Artigli della leonessa"
"specials.name.claws_of_the_night","Artigli della notte"
"specials.name.claws_of_the_night_ultimate_boss","Artigli della notte"
"specials.name.claws_of_the_north","Artigli del Nord"
"specials.name.cleansing_determination","Determinazione purificante"
"specials.name.cleansing_determination_pve","Determinazione purificante"
"specials.name.cleansing_strike","Assalto ripulente"
"specials.name.cleave_and_reflect","Schiva e rifletti"
"specials.name.cleave_counter","Spacca e contrattacca"
"specials.name.clever_stratagem","Stratagemma intelligente"
"specials.name.cloak_of_feathers","Mantello di piume"
"specials.name.close_order_formation","Formazione dell'ordine ravvicinato"
"specials.name.cloth_of_constellations","Stoffa delle costellazioni"
"specials.name.cloud_axe","Ascia di nuvole"
"specials.name.cloud_hammer","Martello di nuvole"
"specials.name.clowns_blessing","Benedizione del clown"
"specials.name.coastal_recharge","Ricarica costiera"
"specials.name.coiling_whip","Frusta avvolgente"
"specials.name.coins_of_pain","Monete del dolore"
"specials.name.cold_blast","Tormenta"
"specials.name.cold_blast_single","Colpo di freddo"
"specials.name.cold_command","Comando gelido"
"specials.name.cold_fire","Fuoco freddo"
"specials.name.colossal_bite","Morso colossale"
"specials.name.colossal_carry","Trasporto colossale"
"specials.name.colossal_chops","Ganci colossali"
"specials.name.comet","Raggio ustionante"
"specials.name.command_pack","Guida il branco"
"specials.name.command_sand_golems","Guida i golem di sabbia"
"specials.name.command_to_advance","Comando di avanzamento"
"specials.name.command_to_advance_costume_fire_bat","Ordine di avanzata"
"specials.name.commanders_gauntlet","Guanto del comandante"
"specials.name.commodores_malice","Malvagità del commodoro"
"specials.name.commodores_revenge","Vendetta del commodoro"
"specials.name.compact_lance","Lancia compatta"
"specials.name.concussive_charge","Carica commotiva"
"specials.name.confident_strategy","Strategia sicura"
"specials.name.conjure_the_azure_spirit","Evoca lo Spirito azzurro"
"specials.name.connect_ki","Ki di connessione"
"specials.name.connect_ki_pve","Ki di connessione"
"specials.name.conquerors_command","Ordine del conquistatore"
"specials.name.constellation_crush","Frantuma costellazioni"
"specials.name.corals_of_nourishment","Coralli del nutrimento"
"specials.name.core_beam","Raggio del nucleo"
"specials.name.core_blast","Esplosione di potenza"
"specials.name.core_burst","Esplosione del nucleo"
"specials.name.corroding_cutlass","Sciabola corta corrosiva"
"specials.name.corrosive_acid","Acido corrosivo"
"specials.name.corrosive_burn_claws_dragon_pve","Artigli brucianti corrosivi"
"specials.name.corrosive_claws_dragon_pve","Artigli velenosi corrosivi"
"specials.name.corrosive_pollen","Polline corrosivo"
"specials.name.corrupting_idol","Idolo corruttore"
"specials.name.cosmic_clock","Orologio cosmico"
"specials.name.cosmic_devotion","Devozione cosmica"
"specials.name.countering_hammock","Amaca da contrattacco"
"specials.name.counterstance","Controposizione"
"specials.name.couriers_dash","Scatto del corriere"
"specials.name.cover_slam","Colpo di copertura"
"specials.name.covert_stab","Pugnalata senza rimorsi"
"specials.name.cracked_skull_strike","Colpo del cranio incrinato"
"specials.name.crawling_vines","Rampicanti striscianti"
"specials.name.crazed_lunge","Balzo folle"
"specials.name.crazed_stampede","Fuga disordinata"
"specials.name.creative_hands","Mani creative"
"specials.name.creeping_venom","Veleno strisciante"
"specials.name.creeping_vines","Piante striscianti"
"specials.name.crescent_moon_strike","Colpo della luna crescente"
"specials.name.crescent_shield","Scudo lunare"
"specials.name.crescent_spear","Lancia lunare"
"specials.name.crimson_blade","Lama cremisi"
"specials.name.crimson_calamity","Calamità cremisi"
"specials.name.crimson_calamity2","Calamità cremisi"
"specials.name.crimson_hunt","Caccia cremisi"
"specials.name.crimson_trap","Trappola cremisi"
"specials.name.crippling_claws","Artigli paralizzanti"
"specials.name.crippling_claws_pve","Artigli paralizzanti"
"specials.name.crippling_grapple","Rampino paralizzante"
"specials.name.critical_cookout","Grigliata critica"
"specials.name.critical_tactics","Tattiche critiche"
"specials.name.croc_bite","Morso di coccodrillo"
"specials.name.crush_of_avarice","Distruzione dell'avarizia"
"specials.name.crush_of_hel","Morsa di Hel"
"specials.name.crush_of_malice","Pestata della malizia"
"specials.name.crush_of_toon_hel","Morsa di Hel cartone"
"specials.name.crushing_claws","Artigli distruttivi"
"specials.name.crushing_shot","Tiro annientante"
"specials.name.crust_of_divinity","Crosta della divinità"
"specials.name.cry_for_absolution","Grido di assoluzione"
"specials.name.crystal_barrage","Sbarramento di cristallo"
"specials.name.crystal_bombardment","Bombardamento di cristallo"
"specials.name.crystal_embrace","Abbraccio di cristallo"
"specials.name.crystalis","Cristallo congelante"
"specials.name.crystalline_strike","Assalto cristallino"
"specials.name.cub_leader_cut","Taglio del giovane leader"
"specials.name.cube_of_dark_realm","Cubo del regno oscuro"
"specials.name.cult_of_arachnid","Culto degli aracnidi"
"specials.name.cultivated_manipulation","Manipolazione coltivata"
"specials.name.cunning_knife","Coltello astuto"
"specials.name.cup_of_mead","Coppa di idromele"
"specials.name.curse_of_sargasso","Maledizione di Sargasso"
"specials.name.curse_of_the_cephaloid","Maledizione del cefaloide"
"specials.name.curse_of_the_depths","Maledizione degli abissi"
"specials.name.curse_of_the_sea","Maledizione del mare"
"specials.name.curse_of_the_specter","Maledizione dello spettro"
"specials.name.curse_of_the_specter_pve","Maledizione dello spettro"
"specials.name.cursed_fumes","Fumi maledetti"
"specials.name.cursed_fumes2","Fumi maledetti"
"specials.name.cursed_garden","Giardino maledetto"
"specials.name.cursed_painting","Dipinto maledetto"
"specials.name.cursed_plan","Piano maledetto"
"specials.name.cursed_strike","Assalto maledetto"
"specials.name.cursed_tail_whip","Frusta di coda maledetta"
"specials.name.cut_cure_and_craze","Colpisci, cura e cavilla"
"specials.name.cut_down_the_competition","Abbattere la concorrenza"
"specials.name.cute_and_dangerous","Dolce ma letale"
"specials.name.cuts_of_hulu","Tagli di Hulu"
"specials.name.dagger_of_shadows","Pugnale delle ombre"
"specials.name.dance_of_fire","Danza del Fuoco"
"specials.name.dance_of_flame","Danza delle fiamme"
"specials.name.dance_of_glass","Danza di vetro"
"specials.name.dance_of_ignition","Danza di ignizione"
"specials.name.dance_of_siegfried","Danza di Siegfried"
"specials.name.dance_of_spirits","Danza degli Spiriti"
"specials.name.dance_of_the_dunes","Danza delle Dune"
"specials.name.dance_of_the_heron","Danza dell'airone"
"specials.name.dance_of_the_little_swan","Danza del piccolo cigno"
"specials.name.dance_of_the_queen","Danza della Regina"
"specials.name.dance_of_the_raven","Danza del cigno nero"
"specials.name.dance_of_the_slimy","Danza del viscidume"
"specials.name.dance_of_the_swan","Danza del cigno"
"specials.name.dance_of_the_yellow_swan","Danza del cigno chiaro"
"specials.name.dance_of_toons","Danza dei cartoni"
"specials.name.dancestance","Posizione di danza"
"specials.name.dancing_dodge","Schivata danzante"
"specials.name.dancing_slash","Fendente danzante"
"specials.name.dantes_inferno","Inferno di Dante"
"specials.name.dark_barrage","Sbarramento dell'Oscurità"
"specials.name.dark_bolt","Dardo oscuro"
"specials.name.dark_lord","Colpo del fato"
"specials.name.dark_mirror","Specchio di fiamme"
"specials.name.dark_orb","Sfera oscura"
"specials.name.dark_shock","Scossa oscura"
"specials.name.darts_of_the_deep","Dardi degli abissi"
"specials.name.dauntless_bladestorm","Tempesta di lame intrepida"
"specials.name.dawn_strike","Assalto dell'alba"
"specials.name.dawnlight_rally","Incursione dell'alba"
"specials.name.day_of_judgement","Giorno del giudizio"
"specials.name.day_of_reckoning","Giorno della resa dei conti"
"specials.name.dazzling_gleam","Bagliore abbagliante"
"specials.name.dazzling_grin","Sorriso abbagliante"
"specials.name.dazzling_sweep_dragon_pve","Spazzata abbagliante"
"specials.name.deadly_claw","Artiglio mortale"
"specials.name.deadly_constriction","Costrizione letale"
"specials.name.deadly_riposte","Risposta mortale"
"specials.name.deadly_sting","Pungiglione mortale"
"specials.name.deafening_parade","Parata assordante"
"specials.name.deathly_glaive","Falcione mortale"
"specials.name.deathstrike","Assalto mortale"
"specials.name.debt_drain_boboosang","Prosciugamento del debito"
"specials.name.deceiving_glow","Bagliore ingannevole"
"specials.name.deceptive_smalltalk","Parlantina ingannevole"
"specials.name.deep_sea_ritual","Rituale del profondo del mare"
"specials.name.defensive_tactics","Tattica difensiva"
"specials.name.delay_the_inevitable","Rimandare l'inevitabile"
"specials.name.delicious_demise","Deliziosa dipartita"
"specials.name.delicious_idol","Idolo delizioso"
"specials.name.demolishing_crush","Demolizione schiacciante"
"specials.name.demoralizing_banter","Battibecco demoralizzante"
"specials.name.depth_blast","Colpo di profondità"
"specials.name.deranged_existence","Esistenza squilibrata"
"specials.name.desert_blessing","Benedizione del deserto"
"specials.name.desert_hunt","Caccia nel deserto"
"specials.name.destructive_strike","Affondo del tridente"
"specials.name.deteriorating_morale","Morale in declino"
"specials.name.devastating_slash","Fendente devastante"
"specials.name.devastating_thrust","Colpo devastante"
"specials.name.dewling_strike","Colpo di rugiada"
"specials.name.dewling_sweep","Spazzata di rugiada"
"specials.name.dewling_warcry","Grido di guerra di rugiada"
"specials.name.dig_a_hole","Buca della fuga"
"specials.name.dinner_with_the_beast","Cena con la Bestia"
"specials.name.dire_ghost","Fantasma spietato"
"specials.name.directors_blessing","Benedizione del direttore"
"specials.name.directors_blessing_pve","Benedizione del direttore"
"specials.name.disabling_decree","Decreto invalidante"
"specials.name.disabling_study","Studio invalidante"
"specials.name.disarming_gaze_dragon_pve","Sguardo disarmante"
"specials.name.discordant_incantation","Incantamento discordante"
"specials.name.disheartening_riddle","Indovinello sconfortante"
"specials.name.dishonorable_ploy","Stratagemma disonorevole"
"specials.name.disir_of_dreams","Dísir dei sogni"
"specials.name.disir_of_dusk","Dísir del crepuscolo"
"specials.name.dispelling_curse","Maledizione dissipante"
"specials.name.dispelling_judgement","Giudizio dissipante"
"specials.name.dispelling_potion","Pozione dissipante"
"specials.name.dispelling_strike","Colpo dissipante"
"specials.name.dispelling_willpower","Volontà dissipante"
