"specials.name.a_cozy_break","En koselig pause"
"specials.name.archaic_sacred_symbol","Gammelt hellig symbol"
"specials.name.arctic_breeze","Arktisk bris"
"specials.name.arctic_guard","Arktisk vakt"
"specials.name.arctic_veil","Arktisk slør"
"specials.name.arctic_wound","Arktisk sår"
"specials.name.arrow_of_desire","Ønskepil"
"specials.name.arrow_of_nujalik","Nujaliks pil"
"specials.name.arrows_and_claws","Piler og klør"
"specials.name.arrows_of_altruism_liora","Altruismens piler"
"specials.name.arrows_of_frost","Piler av frost"
"specials.name.arrows_of_fury","Vredens piler"
"specials.name.artful_backstab","Kunstnerisk rygghugg"
"specials.name.artful_recreation","Lager mesterstykke"
"specials.name.artisans_shot","Håndverkerskudd"
"specials.name.ashes_to_ashes","Aske til aske"
"specials.name.assassins_blades","Snikmorders dolker"
"specials.name.assassins_in_the_night","Snikmordere i natten"
"specials.name.assassins_in_the_night_pve","Snikmordere i natten"
"specials.name.asterius","Brutalt okseløp"
"specials.name.astral_assistance","Astralassistanse"
"specials.name.astral_brew","Astralbrygg"
"specials.name.astral_dominion","Astralherredømme"
"specials.name.astral_gemstones","Astraljuveler"
"specials.name.astral_myrrh","Astral-myrra"
"specials.name.astral_orb","Astralkule"
"specials.name.astral_pastries","Astralbakevarer"
"specials.name.astral_provocation","Astralprovokasjon"
"specials.name.astral_summon","Astralfremkalling"
"specials.name.athenas_arrow","Athenes pil"
"specials.name.athenas_bow","Athenes bue"
"specials.name.atlantean_blade","Atlantisk sverd"
"specials.name.atlantean_blade_costume","Atlantisklinge"
"specials.name.atlantean_charge","Atlantisstorming"
"specials.name.atlantean_toon_spear","Atlantisk toon-spyd"
"specials.name.atlantean_toon_sword","Atlantisk toon-sverd"
"specials.name.attack_rally","Angrepssamling"
"specials.name.aura_of_twilight","Skumringsaura"
"specials.name.aura_wave","Aurabølge"
"specials.name.autumnal_wind","Høstvind"
"specials.name.avenger_of_mothkind","Møllhetens hevner"
"specials.name.awaken_ki","Vekk ki"
"specials.name.awe_bolt","Giftbolt"
"specials.name.axe_of_retribution","Gjengjeldelsens øks"
"specials.name.axe_throw","Øksekast"
"specials.name.azurelight_greatsword","Azurelight-storsverd"
"specials.name.backstab","Svikangrep"
"specials.name.bad_fortune","Uhell"
"specials.name.bag_of_necessities","Sekk med nødvendigheter"
"specials.name.bagh_nakh_thrust","Bagh Nakh-støt"
"specials.name.bakers_baguettes","Bakerens baguetter"
"specials.name.balanced_teamwork","Balansert lagarbeid"
"specials.name.ballad_of_attraction","Attraksjonsballade"
"specials.name.ballad_of_condemnation","Fordømmelsesballade"
"specials.name.ballad_of_obsession","Besatt ballade"
"specials.name.ballad_of_pain","Lidelseballade"
"specials.name.ballad_of_passion","Lidenskapsballade"
"specials.name.ballad_of_purple_swan","Den mørke svanens ballade"
"specials.name.ballad_of_restoration","Gjenvinningens ballade"
"specials.name.ballad_of_the_purple_swan","Den mørke svanens ballade"
"specials.name.bandalore_dance","Bandaloredans"
"specials.name.barb_sting_dragon_pve","Piggstikk"
"specials.name.barbed_arrows","Piggpiler"
"specials.name.barbed_bolt_zidane","Piggbolt"
"specials.name.bark_of_protection","Beskyttelsens bark"
"specials.name.basilisk_breath","Basiliskens pust"
"specials.name.battering_ram","Rambukk"
"specials.name.battle_boast","Kampskryting"
"specials.name.battleclaw_strike","Kampkloangrep"
"specials.name.beach_party","Strandfest"
"specials.name.beautiful_petals","Vakre kronblader"
"specials.name.bee_bombast","Bie-bombast"
"specials.name.bee_bravado","Bie-bravado"
"specials.name.beetle_strike","Billeangrep"
"specials.name.berserker_strike","Berserkerangrep"
"specials.name.bewildering_riddle","Forvirrende gåte"
"specials.name.bewitched_daggers","Forheksede dolker"
"specials.name.binding_contract","Bindende kontrakt"
"specials.name.birch_blessing","Bjørkevelsignelse"
"specials.name.bite_of_protection","Beskyttelsens bitt"
"specials.name.bites_of_disorientation","Biter av desorientering"
"specials.name.bitter_berry_blast_dragon_pve","Bitter bæreksplosjon"
"specials.name.bizarre_mist","Bisarr tåke"
"specials.name.black_tassel_spear_sting","Spyd med svart dusk"
"specials.name.black_tide","Svart tidevann"
"specials.name.blade_barrage","Knivstorm"
"specials.name.blade_dance","Kniver på dansegulvet"
"specials.name.blade_of_betrayal","Svikets blad"
"specials.name.blade_of_bundelkhand","Bundelkhands klinge"
"specials.name.blade_of_horrid_affliction","Kniv av grusom lidelse"
"specials.name.blade_tail_swipe","Knivhalesveip"
"specials.name.blade_venom","Giftklinger"
"specials.name.blade_wings","Knivvinger"
"specials.name.blazing_beak","Flammenebb"
"specials.name.blazing_corolla","Flammende kronblad"
"specials.name.blazing_inferno","Brennende inferno"
"specials.name.blazing_rave_dance","Flammende ravedans"
"specials.name.blazing_slam_dunk","Flammende slam dunk"
"specials.name.blazing_venom","Brennende gift"
"specials.name.bleed_inducing_daggers","Dolker som gir blødning"
"specials.name.bleeding_edge","Blødende kutt"
"specials.name.bleeding_hammer","Blødende hammer"
"specials.name.bleeding_stab","Sårstikk"
"specials.name.bleeding_thrust","Blødende støt"
"specials.name.blessed_blade","Velsignede klinger"
"specials.name.blessed_blade_pve","Velsignede klinger"
"specials.name.blessed_brew","Velsignet brygg"
"specials.name.blessed_solo","Velsignet solo"
"specials.name.blessed_tankard","Velsignet krus"
"specials.name.blessing_from_the_future","Velsignelse fra fremtiden"
"specials.name.blessing_of_gjallarhorn","Gjallarhorns velsignelse"
"specials.name.blessing_of_the_evergrove","Eviglundens velsignelse"
"specials.name.blessing_of_the_skies","Himmelens velsignelse"
"specials.name.blind_rage","Blindt raseri"
"specials.name.blinding_attack","Blindende angrep"
"specials.name.blinding_curse","Blindeforhekselse"
"specials.name.blinding_flash","Blindeblits"
"specials.name.blinding_flash_s4","Blindeblits"
"specials.name.blinding_injustice","Blindende urettferdighet"
"specials.name.blinding_knowledge","Blindende kunnskap"
"specials.name.blinding_light","Blendende lys"
"specials.name.blinding_orb","Blendende kule"
"specials.name.blinding_pounce","Blendende sprang"
"specials.name.blinding_spell","Blendingsmagi"
"specials.name.blinding_spit","Blindespytt"
"specials.name.blinding_stinger","Blendende stikker"
"specials.name.blinding_strike","Blendingsslag"
"specials.name.blinding_wisdom","Blendende visdom"
"specials.name.blizzard","Snøstorm"
"specials.name.blizzard_roar","Snøstørmens brøl"
"specials.name.blob_of_fury","Sint klump"
"specials.name.blood_illusion","Blodillusjon"
"specials.name.blood_petals_of_the_withered","Blodblomsterblader"
"specials.name.blood_sacrifice","Blodangrep"
"specials.name.bloodthirst","Blodtørst"
"specials.name.blooming_growth","Blomstrende vekst"
"specials.name.bludgeoning","Smadring"
"specials.name.blue_lizard_charge","Blått kamofirfisle-angrep"
"specials.name.blue_shroom_wand","Blå soppstav"
"specials.name.blur_of_steel","Stålets tåke"
"specials.name.blur_of_steel_pve","Stålets tåke"
"specials.name.boar_call","Villsvinrop"
"specials.name.boar_charge","Villsvinangrep"
"specials.name.boar_of_fury","Rasende villsvin"
"specials.name.boat_ride_from_the_beyond","Ferje fra det hinsidige"
"specials.name.bobo_blitz","Bobo-blits"
"specials.name.bolstering_rush","Styrkende rush"
"specials.name.bond_of_avarice","Lansebånd"
"specials.name.bone_arrow","Beinpil"
"specials.name.bone_club_clonk","Beinklubbe"
"specials.name.bone_club_party","Beinklubbefest"
"specials.name.bone_ritual","Beinritual"
"specials.name.bone_slam","Beinslag"
"specials.name.bone_toss","Flyvende knokler"
"specials.name.booming_mend","Blomstrende utbedring"
"specials.name.boon_of_gjallarhorn","Gjallarhorns velsignelse"
"specials.name.boopstrike","Boop-angrep"
"specials.name.boreal_bash","Nordlig slag"
"specials.name.boulder_smash","Kampesteinslag"
"specials.name.bound_by_knowledge","Bundet av kunnskap"
"specials.name.bound_by_tales","Bundet av historier"
"specials.name.bounty_of_the_spring","Vårens gaver"
"specials.name.bouquet_of_the_seas","Havets bukett"
"specials.name.brain_link","Hjerne-link"
"specials.name.branded_by_fire","Merket av ild"
"specials.name.break_free","Bryt fri"
"specials.name.break_strike","Bruddangrep"
"specials.name.breaker_blade","Bryterklinge"
"specials.name.breaker_blade_pve","Bryterklinge"
"specials.name.breath_of_darkness","Mørkets pust"
"specials.name.breath_of_life","Livets pust"
"specials.name.breath_of_the_abyss","Avgrunnens pust"
"specials.name.brew_of_the_centaurs","Kentaur-brygg"
"specials.name.brides_kiss","Brudens kyss"
"specials.name.brilliant_brew","Briljant brygg"
"specials.name.brilliant_sweep_dragon_pve","Briljant sveip"
"specials.name.bringer_of_order","Ordensbringer"
"specials.name.brittling_burst","Skjørhetssprekk"
"specials.name.brittling_force","Skjørhetsstyrke"
"specials.name.brittling_strike","Skjørt slag"
"specials.name.bruiser_bros","Prylbrødre"
"specials.name.brutal_bull_rush","Brutalt okseløp"
"specials.name.brutal_support","Brutal støtte"
"specials.name.buccaneers_blade","Buccaneers blad"
"specials.name.bugs_shell","Insektskall"
"specials.name.building_blocks_bulklug","Byggeblokker"
"specials.name.bulwark_charge","Beskyttelsesangrep"
"specials.name.burning_ashes","Brennende aske"
"specials.name.burning_ashes2","Brennende aske"
"specials.name.burning_chains","Brennende kjeder"
"specials.name.burning_claws_dragon_pve","Brennende klør"
"specials.name.burning_javelin","Brennende spyd"
"specials.name.burning_pollen_dragon_pve","Flammevinger"
"specials.name.burning_shields","Brennende skjold"
"specials.name.burning_spin","Brennende spinn"
"specials.name.burning_strike","Flammeangrep"
"specials.name.burning_thread","Brennende tråd"
"specials.name.burning_wok","Brennende wok"
"specials.name.but_a_scratch","Blott et kjøttsår"
"specials.name.butterfly_swarm","Sommerfuglsverm"
"specials.name.call_of_the_elements","Elementenes rop"
"specials.name.call_to_arms","Kampsignal"
"specials.name.calling_the_bluff","Kaller bløffen"
"specials.name.calm_jab_dragon_pve","Rolig slag"
"specials.name.calming_mist","Beroligende tåke"
"specials.name.camouflage_foliage","Kamuflasjeblader"
"specials.name.candy_vines","Godterilisser"
"specials.name.cannibalizing_munch","Kannibaliserende tygg"
"specials.name.cannon_blast","Kanoneksplosjon"
"specials.name.cannonball_splash","Kanonkulemos"
"specials.name.capsicum_charge","Capsicum-angrep"
"specials.name.captains_cutlass","Kapteinens huggert"
"specials.name.captivating_illusions","Fengende illusjoner"
"specials.name.carnivore_garden","Kjøtteterhage"
"specials.name.carve_a_hole","Grav et hull"
"specials.name.carve_the_bones","Skjær beina"
"specials.name.cascading_darkness","Fallende mørke"
"specials.name.cascading_whirlwind","Fallende virvelvind"
"specials.name.cataclysmic_divination","Katalysmisk spådom"
"specials.name.catnip_fury","Kattemyntevrede"
"specials.name.cauterizing_flame","Etsende flamme"
"specials.name.cauterizing_touch","Etsende berøring"
"specials.name.cavalier_hat_of_dark_realm","Ridderhatt fra den mørke heimen"
"specials.name.celestial_anvil","Himmelsk ambolt"
"specials.name.ceremonial_dance","Seremoniell dans"
"specials.name.ceremonial_katar","Seremoniell Katar"
"specials.name.chain_blasm_strike","Kjedesprengangrep"
"specials.name.chain_lightning","Kjedelyn"
"specials.name.chain_of_pain","Smertens kjede"
"specials.name.chain_strike","Kjedeangrep"
"specials.name.chains_of_legion","Legionens lenker"
"specials.name.chains_of_light","Kjeder av lys"
"specials.name.chakram_kick","Chakram-spark"
"specials.name.challenge_the_strongest","Utfordre den sterkeste"
"specials.name.champagne_hammer","Flaskehammer"
"specials.name.champion_maneuver","Mestermanøver"
"specials.name.championship_carrot","Mesterskapsgulrot"
"specials.name.change_stance","Gamblers hugg"
"specials.name.channel_ki","Kanaliser ki"
"specials.name.channeler_of_the_cats","Kattekanaliserer"
"specials.name.channeler_of_the_gods","Gudekanaliserer"
"specials.name.chaos_bolt_volley","Kaosboltkast"
"specials.name.chaos_venom","Kaosgift"
"specials.name.charged_fireball_dragon_pve","Ladet ildkule"
"specials.name.charm_of_protection","Beskyttelsesamulett"
"specials.name.charmed_dual_blade","Forhekset dobbeltklinge"
"specials.name.charmers_blades","Sjarmørs kniver"
"specials.name.cheerful_charm","Munter forhekselse"
"specials.name.cheese_wheel_rampage","Ostehjulherjing"
"specials.name.cherry_pudding_served","Kirsebærpudding servert!"
"specials.name.chieftains_vengeance","Høvdingens hevn"
"specials.name.chilling_counterattack","Kjølig motangrep"
"specials.name.chilling_slash","Kuldehugg"
"specials.name.chitin_cage","Chitin-bur"
"specials.name.chords_of_distortion","Forvridende akkorder"
"specials.name.chords_of_havoc","Kaos' toner"
"specials.name.chords_of_inferno","Infernoakkorder"
"specials.name.claw_power","Goblinvrede"
"specials.name.claw_swipe","Kloslag"
"specials.name.claws_of_fury","Raseriklør"
"specials.name.claws_of_the_hunter","Jegerens klør"
"specials.name.claws_of_the_lioness","Løvinnens klør"
"specials.name.claws_of_the_night","Nattens klør"
"specials.name.claws_of_the_night_ultimate_boss","Nattens klør"
"specials.name.cleansing_determination","Rensende besluttsomhet"
"specials.name.cleansing_determination_pve","Rensende besluttsomhet"
"specials.name.cleansing_strike","Rensende angrep"
"specials.name.cleave_and_reflect","Hugg og reflekter"
"specials.name.cleave_counter","Kløyving og kontring"
"specials.name.clever_stratagem","Lur stratajuvel"
"specials.name.cloak_of_feathers","Fjærkappe"
"specials.name.close_order_formation","Lukket rekke-formasjon"
"specials.name.cloth_of_constellations","Konstellasjonsklede"
"specials.name.cloud_axe","Skyøks"
"specials.name.cloud_hammer","Skyhammer"
"specials.name.clowns_blessing","Klovns velsignelse"
"specials.name.coastal_recharge","Kystopplading"
"specials.name.coiling_whip","Kveilpisk"
"specials.name.coins_of_pain","Smertemynter"
"specials.name.cold_blast","Snøstorm"
"specials.name.cold_blast_single","Kuldestøt"
"specials.name.cold_command","Kald kommando"
"specials.name.cold_fire","Kuldeild"
"specials.name.colossal_bite","Kolossalt bitt"
"specials.name.colossal_carry","Kolosalt våpen"
"specials.name.colossal_chops","Kolossale hugg"
"specials.name.comet","Svistråle"
"specials.name.command_pack","Kommander flokken"
"specials.name.command_sand_golems","Kommandere sandgolemer"
"specials.name.command_to_advance","Gi kommando om avansement"
"specials.name.command_to_advance_costume_fire_bat","Ordre om å avansere"
"specials.name.commanders_gauntlet","Kommandants hanske"
"specials.name.commodores_malice","Flaggkommandørens ondskap"
"specials.name.commodores_revenge","Commodores hevn"
"specials.name.compact_lance","Kompakt lanse"
"specials.name.concussive_charge","Sjokkladning"
"specials.name.confident_strategy","Selvsikker strategi"
"specials.name.conjure_the_azure_spirit","Mane frem Azure-ånden"
"specials.name.connect_ki","Tilknytt ki"
"specials.name.connect_ki_pve","Tilknytt ki"
"specials.name.conquerors_command","Erobrerens kommando"
"specials.name.constellation_crush","Konstellasjonknus"
"specials.name.corals_of_nourishment","Nærende koraller"
"specials.name.core_beam","Kjernestråle"
"specials.name.core_blast","Kjerneeksplosjon"
"specials.name.core_burst","Kjernesalve"
"specials.name.corroding_cutlass","Etsende huggert"
"specials.name.corrosive_acid","Etsende syre"
"specials.name.corrosive_burn_claws_dragon_pve","Etsende brannklør"
"specials.name.corrosive_claws_dragon_pve","Etsende giftklør"
"specials.name.corrosive_pollen","Etsende pollen"
"specials.name.corrupting_idol","Korrumperende idol"
"specials.name.cosmic_clock","Kosmisk klokke"
"specials.name.cosmic_devotion","Kosmisk hengivenhet"
"specials.name.countering_hammock","Motangripende hammock"
"specials.name.counterstance","Motstilling"
"specials.name.couriers_dash","Kurers sprint"
"specials.name.cover_slam","Dekningsslamring"
"specials.name.covert_stab","Nådeløst stikk"
"specials.name.cracked_skull_strike","Knust skalle-slag"
"specials.name.crawling_vines","Krypende ranker"
"specials.name.crazed_lunge","Vilt sprang"
"specials.name.crazed_stampede","Gal stampede"
"specials.name.creative_hands","Kreative hender"
"specials.name.creeping_venom","Krypende gift"
"specials.name.creeping_vines","Krypende ranker"
"specials.name.crescent_moon_strike","Månesigdangrep"
"specials.name.crescent_shield","Halvmåneskjold"
"specials.name.crescent_spear","Halvmånespyd"
"specials.name.crimson_blade","Blodrød klinge"
"specials.name.crimson_calamity","Blodrød katastrofe"
"specials.name.crimson_calamity2","Blodrød katastrofe"
"specials.name.crimson_hunt","Blodrød jakt"
"specials.name.crippling_claws","Krøplende klør"
"specials.name.crippling_claws_pve","Krøplende klør"
"specials.name.crippling_grapple","Forkrøplende håndgemeng"
"specials.name.critical_cookout","Kritisk grillfest"
"specials.name.critical_tactics","Kritisk taktikk"
"specials.name.croc_bite","Krokodillebitt"
"specials.name.crush_of_avarice","Lanseslag"
"specials.name.crush_of_hel","Knust av hæl"
"specials.name.crush_of_malice","Knusende forakt"
"specials.name.crush_of_toon_hel","Knust av toon-hæl"
"specials.name.crushing_claws","Knusende klør"
"specials.name.crushing_shot","Knusende skudd"
"specials.name.crust_of_divinity","Guddommelighetens skorpe"
"specials.name.cry_for_absolution","Skriv om tilgivelse"
"specials.name.crystal_barrage","Krystall-sperreild"
"specials.name.crystal_bombardment","Krystallbombardement"
"specials.name.crystal_embrace","Krystallomfavnelse"
"specials.name.crystalis","Frysende krystall"
"specials.name.crystalline_strike","Krystalline angrep"
"specials.name.cub_leader_cut","Ungelederkutt"
"specials.name.cube_of_dark_realm","Den mørke heimens kube"
"specials.name.cult_of_arachnid","Kult av Arachnoide"
"specials.name.cunning_knife","Utspekulert kniv"
"specials.name.cup_of_mead","Kopp med mjød"
"specials.name.curse_of_sargasso","Sargassos forbannelse"
"specials.name.curse_of_the_cephaloid","Blekksprutens forbannelse"
"specials.name.curse_of_the_depths","Dypets forbannelse"
"specials.name.curse_of_the_sea","Havets forbannelse"
"specials.name.curse_of_the_specter","Spøkelsets forbannelse"
"specials.name.curse_of_the_specter_pve","Spøkelsets forbannelse"
"specials.name.cursed_fumes","Forbannet røyk"
"specials.name.cursed_fumes2","Forbannet røyk"
"specials.name.cursed_garden","Forbannet hage"
"specials.name.cursed_painting","Forbannet maleri"
"specials.name.cursed_plan","Forhekset plan"
"specials.name.cursed_strike","Forhekset angrep"
"specials.name.cursed_tail_whip","Forhekset halepisk"
"specials.name.cut_cure_and_craze","Kutting, kur og villskap"
"specials.name.cut_down_the_competition","Kutt ned konkurransen"
"specials.name.cute_and_dangerous","Søt og farlig"
"specials.name.cuts_of_hulu","Kutt av Hulu"
"specials.name.dagger_of_shadows","Skyggedolker"
"specials.name.dance_of_fire","Ilddans"
"specials.name.dance_of_flame","Flammedans"
"specials.name.dance_of_glass","Glassdans"
"specials.name.dance_of_ignition","Antenningens dans"
"specials.name.dance_of_siegfried","Siegfrieds dans"
"specials.name.dance_of_spirits","Åndenes dans"
"specials.name.dance_of_the_dunes","Sanddynenes dans"
"specials.name.dance_of_the_heron","Hegredans"
"specials.name.dance_of_the_little_swan","Den lille svanens dans"
"specials.name.dance_of_the_queen","Dronningens dans"
"specials.name.dance_of_the_raven","Den svarte svanedansen"
"specials.name.dance_of_the_slimy","Slimdans"
"specials.name.dance_of_the_swan","Svanedans"
"specials.name.dance_of_the_yellow_swan","Den lyse svanens dans"
"specials.name.dance_of_toons","Toon-dansen"
"specials.name.dancestance","Dansestilling"
"specials.name.dancing_dodge","Dansende unnvikelse"
"specials.name.dancing_slash","Dansende hugg"
"specials.name.dantes_inferno","Dantes inferno"
"specials.name.dark_barrage","Mørk sperreild"
"specials.name.dark_bolt","Mørk bolt"
"specials.name.dark_lord","Undergangsangrep"
"specials.name.dark_mirror","Flammespeil"
"specials.name.dark_orb","Mørk kule"
"specials.name.dark_shock","Mørkesjokk"
"specials.name.darts_of_the_deep","Dypets piler"
"specials.name.dauntless_bladestorm","Ukuelig knivstorm"
"specials.name.dawn_strike","Angrep ved daggry"
"specials.name.dawnlight_rally","Daggrysamling"
"specials.name.day_of_judgement","Dommens dag"
"specials.name.day_of_reckoning","Dommens dag"
"specials.name.dazzling_gleam","Blendende glimt"
"specials.name.dazzling_grin","Blendende smil"
"specials.name.dazzling_sweep_dragon_pve","Blendende sveip"
"specials.name.deadly_claw","Dødelig klo"
"specials.name.deadly_constriction","Dødelig kvelning"
"specials.name.deadly_riposte","Dødelig ripost"
"specials.name.deadly_sting","Dødelig stikk"
"specials.name.deafening_parade","Øredøvende parade"
"specials.name.deathly_glaive","Dødelig glavin"
"specials.name.deathstrike","Dødsangrep"
"specials.name.debt_drain_boboosang","Gjeldsdrenering"
"specials.name.deceiving_glow","Bedragersk glød"
"specials.name.deceptive_smalltalk","Villedende småsnakk"
"specials.name.deep_sea_ritual","Dyphavsritual"
"specials.name.defensive_tactics","Forsvarstaktikker"
"specials.name.delay_the_inevitable","Utsett det uunngåelige"
"specials.name.delicious_demise","Smakfullt fall"
"specials.name.delicious_idol","Herlig idol"
"specials.name.demolishing_crush","Rivende knusing"
"specials.name.demoralizing_banter","Demoraliserende erting"
"specials.name.depth_blast","Dybdeeksplosjon"
"specials.name.deranged_existence","Sinnssyk tilværelse"
"specials.name.desert_blessing","Ørkenvelsignelse"
"specials.name.destructive_strike","Treforkutfall"
"specials.name.deteriorating_morale","Sviktende moral"
"specials.name.devastating_slash","Herjende kutt"
"specials.name.devastating_thrust","Overveldende støt"
"specials.name.dewling_strike","Husslag"
"specials.name.dewling_sweep","Hussveip"
"specials.name.dewling_warcry","Huskrigsrop"
"specials.name.dig_a_hole","Grav et hull"
"specials.name.dinner_with_the_beast","Middag med beistet"
"specials.name.dire_ghost","Skrekkelig spøkelse"
"specials.name.directors_blessing","Direktørens velsignelse"
"specials.name.directors_blessing_pve","Direktørens velsignelse"
"specials.name.disabling_decree","Invalidiserende dekret"
"specials.name.disabling_study","Studie av deaktivering"
"specials.name.disarming_gaze_dragon_pve","Avvæpnende blikk"
"specials.name.disheartening_riddle","Nedslående gåte"
"specials.name.dishonorable_ploy","Vanærende triks"
"specials.name.disir_of_dreams","Disirs drømmer"
"specials.name.disir_of_dusk","Disirs skumring"
"specials.name.dispelling_curse","Fjerner forbannelse"
"specials.name.dispelling_judgement","Fordrivende dom"
"specials.name.dispelling_potion","Eliksir for fjerning"
"specials.name.dispelling_strike","Fjerneangrep"
"specials.name.dispelling_willpower","Driver vekk viljekraft"
"specials.name.dispelling_willpower_pve","Driver vekk viljekraft"
"specials.name.disquieting_tune","Foruroligende låt"
"specials.name.disrupting_charge","Forstyrrende ladning"
"specials.name.disrupting_charge_costume_tiger_lord","Herjende stormangrep"
"specials.name.divine_connection","Guddommelig forbindelse"
"specials.name.divine_current","Guddommelig strøm"
"specials.name.divine_light1","Guddommelig lys"
"specials.name.divine_lunge","Guddommelig hopp"
"specials.name.divine_protection","Himmelsk beskyttelse"
"specials.name.divine_protection_deadly","Himmelsk beskyttelse"
"specials.name.divine_reflection","Guddommelig refleksjon"
"specials.name.divine_reversal","Himmelsk reversering"
"specials.name.dizzying_strike","Svimlende slag"
"specials.name.donut_to_the_rescue","Donut til unnsetning!"
"specials.name.doomrend","Doomrend"
"specials.name.doomstrike","Undergangsangrep"
"specials.name.double_flail_mayhem","Dobbel sliul-ødeleggelse"
"specials.name.double_strike","Dobbelt angrep"
"specials.name.doublebarreled_starstick","Toløpers stjernepinne"
"specials.name.dozy_mead","Døsig mjød"
"specials.name.dragon_autumn_blaze","Høstens flamme"
"specials.name.dragon_blaze_of_fatigue","Slitenhetens flamme"
"specials.name.dragon_blaze_of_mortality","Dødelighetens flamme"
"specials.name.dragon_blaze_of_protection","Beskyttelsens flamme"
"specials.name.dragon_blaze_of_suppression","Undertrykkende ild"
"specials.name.dragon_blaze_of_the_hydra","Hydras flamme"
"specials.name.dragon_blaze_of_the_undying","De vandødes flamme"
"specials.name.dragon_blaze_of_torment","Lidelsens flamme"
"specials.name.dragon_blazing_inferno","Brennende inferno"
"specials.name.dragon_blazing_storm","Stormflamme"
