"specials.name.a_cozy_break","Miellyttävä tauko"
"specials.name.arctic_wound","Arktinen haava"
"specials.name.arrow_of_desire","Halun nuoli"
"specials.name.arrow_of_nujalik","Nujalikin nuoli"
"specials.name.arrows_and_claws","Nuolia ja kynsiä"
"specials.name.arrows_of_altruism_liora","Epäitsekkyyden nuolet"
"specials.name.arrows_of_frost","Kuuranuolet"
"specials.name.arrows_of_fury","Raivoisat nuolet"
"specials.name.artful_backstab","Taitava selkäänpuukotus"
"specials.name.artful_recreation","Parantava mestariteos"
"specials.name.artisans_shot","Taitajan laukaus"
"specials.name.ashes_to_ashes","Tuhkasta tuhkaksi"
"specials.name.assassins_blades","Salamurhaajan miekat"
"specials.name.assassins_in_the_night","Öiset salamurhaajat"
"specials.name.assassins_in_the_night_pve","Öiset salamurhaajat"
"specials.name.asterius","Härkämäinen jyräys"
"specials.name.astral_assistance","Astraaliapu"
"specials.name.astral_brew","Astraalijuoma"
"specials.name.astral_dominion","Astraalivalta"
"specials.name.astral_gemstones","Astraalijalokivet"
"specials.name.astral_myrrh","Astraalimirha"
"specials.name.astral_orb","Astraalipallo"
"specials.name.astral_pastries","Astraalileivonnaiset"
"specials.name.astral_provocation","Astraaliprovokaatio"
"specials.name.astral_summon","Astraalikutsu"
"specials.name.athenas_arrow","Athenan nuoli"
"specials.name.athenas_bow","Athenan jousi"
"specials.name.atlantean_blade","Atlantislainen miekka"
"specials.name.atlantean_blade_costume","Atlantislainen teräase"
"specials.name.atlantean_charge","Atlantislaisten hyökkäys"
"specials.name.atlantean_toon_spear","Piirretty atlantislainen keihäs"
"specials.name.atlantean_toon_sword","Piirretty atlantislainen miekka"
"specials.name.attack_rally","Hyökkäyskutsu"
"specials.name.aura_of_twilight","Iltahämärän aura"
"specials.name.aura_wave","Aura-aalto"
"specials.name.autumnal_wind","Syystuuli"
"specials.name.avenger_of_mothkind","Koikansan kostaja"
"specials.name.awaken_ki","Herätä Ki"
"specials.name.awe_bolt","Myrkkyvasama"
"specials.name.axe_of_retribution","Koston kirves"
"specials.name.axe_throw","Kirveenheitto"
"specials.name.azurelight_greatsword","Sinivalomiekka"
"specials.name.backstab","Selkäänpuukotus"
"specials.name.bad_fortune","Huonoa tuuria"
"specials.name.bag_of_necessities","Tarvikesäkki"
"specials.name.bagh_nakh_thrust","Bagh nakhin isku"
"specials.name.bakers_baguettes","Leipurin patongit"
"specials.name.balanced_teamwork","Tasapainoista tiimityötä"
"specials.name.ballad_of_attraction","Balladi viehätyksestä"
"specials.name.ballad_of_condemnation","Balladi tuomiosta"
"specials.name.ballad_of_obsession","Balladi pakkomielteestä"
"specials.name.ballad_of_pain","Balladi tuskasta"
"specials.name.ballad_of_passion","Balladi intohimosta"
"specials.name.ballad_of_purple_swan","Balladi pimeyden joutsenesta"
"specials.name.ballad_of_restoration","Elvyttävä balladi"
"specials.name.ballad_of_the_purple_swan","Balladi pimeyden joutsenesta"
"specials.name.bandalore_dance","Jojotanssi"
"specials.name.barb_sting_dragon_pve","Piikin pisto"
"specials.name.barbed_arrows","Väkäsnuolet"
"specials.name.barbed_bolt_zidane","Väkäsnuoli"
"specials.name.bark_of_protection","Suojeleva haukku"
"specials.name.basilisk_breath","Basiliskin henkäys"
"specials.name.battering_ram","Muurinmurtaja"
"specials.name.battle_boast","Taistelu-uho"
"specials.name.battleclaw_strike","Taistelukynnen isku"
"specials.name.beach_party","Rantajuhla"
"specials.name.beautiful_petals","Kauniit terälehdet"
"specials.name.bee_bombast","Mehiläisten mahtailu"
"specials.name.bee_bravado","Mehiläisten uhma"
"specials.name.beetle_strike","Kuoriaisisku"
"specials.name.berserker_strike","Berserkin isku"
"specials.name.bewildering_riddle","Hämmentävä arvoitus"
"specials.name.bewitched_daggers","Lumotut tikarit"
"specials.name.binding_contract","Sitova sopimus"
"specials.name.birch_blessing","Koivusiunaus"
"specials.name.bite_of_protection","Suojeleva puraisu"
"specials.name.bites_of_disorientation","Hämmentävät puraisut"
"specials.name.bitter_berry_blast_dragon_pve","Kitkerä marjapläjäys"
"specials.name.bizarre_mist","Outo usva"
"specials.name.black_tassel_spear_sting","Mustan tupsukeihään pisto"
"specials.name.black_tide","Musta virtaus"
"specials.name.blade_barrage","Veitsisade"
"specials.name.blade_dance","Miekkatanssi"
"specials.name.blade_of_betrayal","Petoksen miekka"
"specials.name.blade_of_bundelkhand","Bundelkhandin miekka"
"specials.name.blade_of_horrid_affliction","Karmean kärsimyksen miekka"
"specials.name.blade_tail_swipe","Terähännän pyyhkäisy"
"specials.name.blade_venom","Veitsimyrkky"
"specials.name.blade_wings","Teräsiivet"
"specials.name.blazing_beak","Liekkinokka"
"specials.name.blazing_corolla","Loimuava teriö"
"specials.name.blazing_inferno","Loimuava pätsi"
"specials.name.blazing_rave_dance","Loimuava reivitanssi"
"specials.name.blazing_slam_dunk","Loimuava donkkaus"
"specials.name.blazing_venom","Loimuava myrkky"
"specials.name.bleed_inducing_daggers","Verta vuodattavat tikarit"
"specials.name.bleeding_edge","Vuodatusterä"
"specials.name.bleeding_hammer","Vuodatusvasara"
"specials.name.bleeding_stab","Vuodatusisku"
"specials.name.bleeding_thrust","Vuodatussurvaisu"
"specials.name.blessed_blade","Siunatut miekat"
"specials.name.blessed_blade_pve","Siunatut miekat"
"specials.name.blessed_brew","Siunattu juoma"
"specials.name.blessed_solo","Siunattu soolo"
"specials.name.blessed_tankard","Siunattu kolpakko"
"specials.name.blessing_from_the_future","Siunaus tulevaisuudesta"
"specials.name.blessing_of_gjallarhorn","Gjallarhornin siunaus"
"specials.name.blessing_of_the_evergrove","Ikilehdon siunaus"
"specials.name.blessing_of_the_skies","Ilmojen siunaus"
"specials.name.blind_rage","Silmitön raivo"
"specials.name.blinding_attack","Sokaiseva hyökkäys"
"specials.name.blinding_curse","Sokaiseva kirous"
"specials.name.blinding_flash","Sokaiseva välähdys"
"specials.name.blinding_flash_s4","Sokaiseva välähdys"
"specials.name.blinding_injustice","Sokaiseva vääryys"
"specials.name.blinding_knowledge","Sokaiseva tieto"
"specials.name.blinding_light","Sokaiseva valo"
"specials.name.blinding_orb","Sokaiseva pallo"
"specials.name.blinding_pounce","Sokaiseva loikka"
"specials.name.blinding_spell","Sokaiseva loitsu"
"specials.name.blinding_spit","Sokaiseva sylkäys"
"specials.name.blinding_stinger","Sokaiseva pistin"
"specials.name.blinding_strike","Sokaiseva isku"
"specials.name.blinding_wisdom","Sokaiseva viisaus"
"specials.name.blizzard","Lumimyrsky"
"specials.name.blizzard_roar","Lumimyrskyn ulvonta"
"specials.name.blob_of_fury","Kiukkuklöntti"
"specials.name.blood_illusion","Veri-illuusio"
"specials.name.blood_petals_of_the_withered","Veriterälehdet"
"specials.name.blood_sacrifice","Veri-isku"
"specials.name.bloodthirst","Verenhimo"
"specials.name.blooming_growth","Kukoistava kasvu"
"specials.name.bludgeoning","Moukarointi"
"specials.name.blue_lizard_charge","Sinisen maastoväriliskon hyökkäys"
"specials.name.blue_shroom_wand","Sinisienisauva"
"specials.name.blur_of_steel","Teräsvihuri"
"specials.name.blur_of_steel_pve","Teräsvihuri"
"specials.name.boar_call","Villisian kutsu"
"specials.name.boar_charge","Villisian rynnäkkö"
"specials.name.boar_of_fury","Villisian raivo"
"specials.name.boat_ride_from_the_beyond","Lautta tuonpuoleisesta"
"specials.name.bobo_blitz","Bobon äkki-isku"
"specials.name.bolstering_rush","Vahvistava kiire"
"specials.name.bond_of_avarice","Ahneus yhdistää"
"specials.name.bone_arrow","Luunuoli"
"specials.name.bone_club_clonk","Luunuijan kopautus"
"specials.name.bone_club_party","Luuklubin juhla"
"specials.name.bone_ritual","Luurituaali"
"specials.name.bone_slam","Luuisku"
"specials.name.bone_toss","Lentävät luut"
"specials.name.booming_mend","Kumiseva korjaus"
"specials.name.boon_of_gjallarhorn","Gjallarhornin lahja"
"specials.name.boopstrike","Nenänäpäytys"
"specials.name.boreal_bash","Isku Pohjolasta"
"specials.name.boulder_smash","Lohkareen heitto"
"specials.name.bound_by_knowledge","Tiedon lumoissa"
"specials.name.bound_by_tales","Tarinoiden lumoissa"
"specials.name.bounty_of_the_spring","Kevään satoa"
"specials.name.bouquet_of_the_seas","Merten kukkakimppu"
"specials.name.brain_link","Aivolinkki"
"specials.name.branded_by_fire","Polttomerkitty"
"specials.name.break_free","Vapautuminen"
"specials.name.break_strike","Murtoisku"
"specials.name.breaker_blade","Murskaisku"
"specials.name.breaker_blade_pve","Murskaisku"
"specials.name.breath_of_darkness","Pimeyden henkäys"
"specials.name.breath_of_life","Elämän henkäys"
"specials.name.breath_of_the_abyss","Syvyyksien henkäys"
"specials.name.brides_kiss","Morsiamen suudelma"
"specials.name.brilliant_brew","Loistava juoma"
"specials.name.brilliant_sweep_dragon_pve","Loistava pyyhkäisy"
"specials.name.bringer_of_order","Järjestyksen tuoja"
"specials.name.brittling_burst","Haurastuttava purske"
"specials.name.brittling_force","Murentava voima"
"specials.name.brittling_strike","Haurastuttava isku"
"specials.name.bruiser_bros","Kolhijakamut"
"specials.name.brutal_bull_rush","Härkämäinen jyräys"
"specials.name.brutal_support","Brutaalia tukea"
"specials.name.buccaneers_blade","Merirosvon terä"
"specials.name.bugs_shell","Ötökän kuori"
"specials.name.building_blocks_bulklug","Rakennuspalikat"
"specials.name.bulwark_charge","Muurinmurtorynnäkkö"
"specials.name.burning_ashes","Polttava tuhka"
"specials.name.burning_ashes2","Polttava tuhka"
"specials.name.burning_chains","Polttavat kahleet"
"specials.name.burning_claws_dragon_pve","Polttavat kynnet"
"specials.name.burning_javelin","Polttava heittokeihäs"
"specials.name.burning_pollen_dragon_pve","Liekkisiivet"
"specials.name.burning_shields","Palavat kilvet"
"specials.name.burning_spin","Polttava pyörähdys"
"specials.name.burning_strike","Polttava isku"
"specials.name.burning_thread","Polttava lanka"
"specials.name.burning_wok","Polttava wok"
"specials.name.but_a_scratch","Naarmu vain"
"specials.name.butterfly_swarm","Perhosparvi"
"specials.name.call_of_the_elements","Elementtien kutsu"
"specials.name.call_to_arms","Kutsu aseisiin"
"specials.name.calling_the_bluff","Bluffin katsominen"
"specials.name.calm_jab_dragon_pve","Tyyni pisto"
"specials.name.calming_mist","Rauhoittava usva"
"specials.name.camouflage_foliage","Maastoutumiskasvisto"
"specials.name.candy_vines","Karkkiköynnökset"
"specials.name.cannon_blast","Tykinlaukaus"
"specials.name.cannonball_splash","Tykinkuulaloiskaus"
"specials.name.capsicum_charge","Paprikarynnäkkö"
"specials.name.captains_cutlass","Kapteenin hukari"
"specials.name.captivating_illusions","Lumoavat illuusiot"
"specials.name.carnivore_garden","Lihansyöjäpuutarha"
"specials.name.carve_a_hole","Reiän poraus"
"specials.name.carve_the_bones","Luiden leikkely"
"specials.name.cascading_darkness","Laskeutuva pimeys"
"specials.name.cascading_whirlwind","Riehuva pyörre"
"specials.name.cataclysmic_divination","Tuhoennustus"
"specials.name.catnip_fury","Kissanmintun raivo"
"specials.name.cauterizing_flame","Polttava liekki"
"specials.name.cauterizing_touch","Polttava kosketus"
"specials.name.cavalier_hat_of_dark_realm","Pimeyden valtakunnan kavaljeerihattu"
"specials.name.celestial_anvil","Taivaallinen alasin"
"specials.name.ceremonial_dance","Seremoniallinen tanssi"
"specials.name.ceremonial_katar","Seremonia-katar"
"specials.name.chain_blasm_strike","Ketjuläimäys"
"specials.name.chain_lightning","Ketjusalama"
"specials.name.chain_of_pain","Kivun ketju"
"specials.name.chain_strike","Ketjuisku"
"specials.name.chains_of_legion","Legioonan kahleet"
"specials.name.chains_of_light","Valon ketjut"
"specials.name.chakram_kick","Chakram-potku"
"specials.name.challenge_the_strongest","Haaste vahvimmalle"
"specials.name.champion_maneuver","Mestarin manööveri"
"specials.name.championship_carrot","Mestaruusporkkana"
"specials.name.change_stance","Uhkapelurin sivallus"
"specials.name.channel_ki","Kanavoi Ki"
"specials.name.channeler_of_the_cats","Kissojen kanavoija"
"specials.name.channeler_of_the_gods","Jumalten kanavoija"
"specials.name.chaos_bolt_volley","Kaaossalamasarja"
"specials.name.chaos_venom","Kaaosmyrkky"
"specials.name.charged_fireball_dragon_pve","Ladattu tulipallo"
"specials.name.charm_of_protection","Suojausamuletti"
"specials.name.charmed_dual_blade","Lumottu kaksoisterä"
"specials.name.charmers_blades","Hurmurin miekat"
"specials.name.cheerful_charm","Kannustuslumous"
"specials.name.cheese_wheel_rampage","Juustokiekon jyräys"
"specials.name.cherry_pudding_served","Kirsikkavanukasta pöytään!"
"specials.name.chieftains_vengeance","Päällikön kosto"
"specials.name.chilling_counterattack","Hyytävä vastahyökkäys"
"specials.name.chilling_slash","Hyytävä sivallus"
"specials.name.chitin_cage","Kitiinihäkki"
"specials.name.chords_of_distortion","Riitasoinnut"
"specials.name.chords_of_havoc","Hävityksen soinnut"
"specials.name.chords_of_inferno","Tuhon soinnut"
"specials.name.claw_power","Hiiden raivo"
"specials.name.claw_swipe","Käpälän huitaisu"
"specials.name.claws_of_fury","Raivoisat kynnet"
"specials.name.claws_of_the_hunter","Metsästäjän kynnet"
"specials.name.claws_of_the_lioness","Naarasleijonan kynnet"
"specials.name.claws_of_the_night","Yön kynnet"
"specials.name.claws_of_the_night_ultimate_boss","Yön kynnet"
"specials.name.cleansing_determination","Puhdistava määrätietoisuus"
"specials.name.cleansing_determination_pve","Puhdistava määrätietoisuus"
"specials.name.cleansing_strike","Puhdistava isku"
"specials.name.cleave_and_reflect","Halkaise ja heijasta"
"specials.name.cleave_counter","Isku ja vastaisku"
"specials.name.clever_stratagem","Ovela juoni"
"specials.name.cloak_of_feathers","Sulkaviitta"
"specials.name.close_order_formation","Tiivis muodostelma"
"specials.name.cloth_of_constellations","Tähtikuvioliina"
"specials.name.cloud_axe","Pilvikirves"
"specials.name.cloud_hammer","Pilvivasara"
"specials.name.clowns_blessing","Klovnin siunaus"
"specials.name.coiling_whip","Kietoutuva ruoska"
"specials.name.coins_of_pain","Kipukolikot"
"specials.name.cold_blast","Lumimyrsky"
"specials.name.cold_blast_single","Jäätävä puuska"
"specials.name.cold_command","Kylmä käsky"
"specials.name.cold_fire","Kylmä tuli"
"specials.name.colossal_bite","Kolossaalinen puraisu"
"specials.name.colossal_carry","Kolossaalinen kuljetus"
"specials.name.colossal_chops","Kolossaaliset iskut"
"specials.name.comet","Paahtava säde"
"specials.name.command_pack","Komenna laumaa"
"specials.name.command_sand_golems","Komenna hiekkagolemeja"
"specials.name.command_to_advance","Etenemiskäsky"
"specials.name.command_to_advance_costume_fire_bat","Etenemiskäsky"
"specials.name.commanders_gauntlet","Komentajan hansikas"
"specials.name.commodores_malice","Kommodorin ilkeys"
"specials.name.commodores_revenge","Kommodorin kosto"
"specials.name.compact_lance","Kompakti peitsi"
"specials.name.concussive_charge","Täräyttävä rynnistys"
"specials.name.confident_strategy","Luottavainen strategia"
"specials.name.conjure_the_azure_spirit","Manaa taivaansininen henki"
"specials.name.connect_ki","Yhdistä Ki"
"specials.name.connect_ki_pve","Yhdistä Ki"
"specials.name.conquerors_command","Valloittajan käsky"
"specials.name.constellation_crush","Musertava tähtikuvio"
"specials.name.corals_of_nourishment","Ravitsemuksen korallit"
"specials.name.core_beam","Ydinsäde"
"specials.name.core_blast","Ydinläimäys"
"specials.name.core_burst","Ydinpurske"
"specials.name.corroding_cutlass","Syövyttävä sapeli"
"specials.name.corrosive_acid","Syövyttävä happo"
"specials.name.corrosive_burn_claws_dragon_pve","Syövyttävät polttokynnet"
"specials.name.corrosive_claws_dragon_pve","Syövyttävät myrkkykynnet"
"specials.name.corrosive_pollen","Syövyttävä siitepöly"
"specials.name.corrupting_idol","Korruptoiva idoli"
"specials.name.cosmic_clock","Kosminen kello"
"specials.name.cosmic_devotion","Kosminen hurskaus"
"specials.name.countering_hammock","Torjuva riippumatto"
"specials.name.counterstance","Vastaiskuasento"
"specials.name.couriers_dash","Kuriirin syöksy"
"specials.name.cover_slam","Suojaava isku"
"specials.name.covert_stab","Paatunut pisto"
"specials.name.cracked_skull_strike","Kallonmurskausisku"
"specials.name.crawling_vines","Ryömivät köynnökset"
"specials.name.crazed_lunge","Mielipuolinen syöksy"
"specials.name.crazed_stampede","Hullu rynnistys"
"specials.name.creative_hands","Luovat kädet"
"specials.name.creeping_venom","Hitaasti etenevä myrkky"
"specials.name.creeping_vines","Ryömivät köynnökset"
"specials.name.crescent_moon_strike","Kuunsirppi-isku"
"specials.name.crescent_shield","Sirppikilpi"
"specials.name.crescent_spear","Sirppikeihäs"
"specials.name.crimson_blade","Verenpunainen miekka"
"specials.name.crimson_calamity","Verenpunainen vaara"
"specials.name.crimson_calamity2","Verenpunainen vaara"
"specials.name.crimson_hunt","Verenpunainen jahti"
"specials.name.crippling_claws","Rampauttavat kynnet"
"specials.name.crippling_claws_pve","Rampauttavat kynnet"
"specials.name.crippling_grapple","Rampauttava ote"
"specials.name.critical_cookout","Kriittistä kokkailua"
"specials.name.critical_tactics","Taitavat taktiikat"
"specials.name.croc_bite","Krokotiilin puraisu"
"specials.name.crush_of_avarice","Ahne murskaus"
"specials.name.crush_of_hel","Helin murskaus"
"specials.name.crush_of_malice","Murskaava ilkeys"
"specials.name.crush_of_toon_hel","Piirretyn Helin murskaus"
"specials.name.crushing_claws","Murskaavat kynnet"
"specials.name.crushing_shot","Murskaava osuma"
"specials.name.crust_of_divinity","Jumalainen kuori"
"specials.name.cry_for_absolution","Synninpäästöhuuto"
"specials.name.crystal_barrage","Kristallipommitus"
"specials.name.crystal_bombardment","Kristallikeskitys"
"specials.name.crystal_embrace","Kristallisyleily"
"specials.name.crystalis","Jäädyttävä kristalli"
"specials.name.crystalline_strike","Kristalli-isku"
"specials.name.cub_leader_cut","Pentueenjohtajan viilto"
"specials.name.cube_of_dark_realm","Pimeyden valtakunnan kuutio"
"specials.name.cult_of_arachnid","Hämähäkkikultti"
"specials.name.cunning_knife","Kavala puukko"
"specials.name.cup_of_mead","Simamalja"
"specials.name.curse_of_sargasso","Sargasson kirous"
"specials.name.curse_of_the_cephaloid","Lonkeroisen kirous"
"specials.name.curse_of_the_depths","Syvyyksien kirous"
"specials.name.curse_of_the_sea","Meren kirous"
"specials.name.curse_of_the_specter","Aaveen kirous"
"specials.name.curse_of_the_specter_pve","Aaveen kirous"
"specials.name.cursed_fumes","Kirotut huurut"
"specials.name.cursed_fumes2","Kirotut huurut"
"specials.name.cursed_garden","Kirottu puutarha"
"specials.name.cursed_painting","Kirottu maalaus"
"specials.name.cursed_plan","Kirottu suunnitelma"
"specials.name.cursed_strike","Kirottu isku"
"specials.name.cursed_tail_whip","Kirottu hännänisku"
"specials.name.cut_cure_and_craze","Viillä ja riehu"
"specials.name.cut_down_the_competition","Kilpailijat kumoon"
"specials.name.cuts_of_hulu","Hulun viillot"
"specials.name.dagger_of_shadows","Varjojen tikari"
"specials.name.dance_of_fire","Tulen tanssi"
"specials.name.dance_of_flame","Liekkitanssi"
"specials.name.dance_of_glass","Lasitanssi"
"specials.name.dance_of_ignition","Sytytystanssi"
"specials.name.dance_of_siegfried","Siegfriedin tanssi"
"specials.name.dance_of_spirits","Henkien tanssi"
"specials.name.dance_of_the_dunes","Dyynien tanssi"
"specials.name.dance_of_the_heron","Kurkitanssi"
"specials.name.dance_of_the_little_swan","Pikkujoutsenen tanssi"
"specials.name.dance_of_the_queen","Kuningattaren tanssi"
"specials.name.dance_of_the_raven","Mustan joutsenen tanssi"
"specials.name.dance_of_the_slimy","Limatanssi"
"specials.name.dance_of_the_swan","Joutsentanssi"
"specials.name.dance_of_the_yellow_swan","Valon joutsenen tanssi"
"specials.name.dance_of_toons","Piirrettyjen tanssi"
"specials.name.dancestance","Tanssiasento"
"specials.name.dancing_dodge","Tanssiväistö"
"specials.name.dancing_slash","Tanssisivallus"
"specials.name.dantes_inferno","Danten Inferno"
"specials.name.dark_barrage","Pimeyden tulitus"
"specials.name.dark_bolt","Synkkä vasama"
"specials.name.dark_lord","Tuhon isku"
"specials.name.dark_mirror","Liekkien peili"
"specials.name.dark_orb","Pimeyden pallo"
"specials.name.dark_shock","Pimeyden shokki"
"specials.name.darts_of_the_deep","Syvyyksien tikat"
"specials.name.dauntless_bladestorm","Peloton miekkamyrsky"
"specials.name.dawn_strike","Sarastusisku"
"specials.name.dawnlight_rally","Aamunkoin kokoonkutsu"
"specials.name.day_of_judgement","Tuomiopäivä"
"specials.name.day_of_reckoning","Tilinteon päivä"
"specials.name.dazzling_gleam","Häikäisevä hohto"
"specials.name.dazzling_grin","Häikäisevä virnistys"
"specials.name.dazzling_sweep_dragon_pve","Häikäisevä pyyhkäisy"
"specials.name.deadly_claw","Tappava kynsi"
"specials.name.deadly_constriction","Tappava kuristus"
"specials.name.deadly_riposte","Tappava riposti"
"specials.name.deadly_sting","Tappava pistos"
"specials.name.deathly_glaive","Tappava glaive"
"specials.name.deathstrike","Kuolonisku"
"specials.name.debt_drain_boboosang","Verivelan perintä"
"specials.name.deceiving_glow","Huijaava hehku"
"specials.name.deceptive_smalltalk","Harhauttava jutustelu"
"specials.name.deep_sea_ritual","Syvänmeren rituaali"
"specials.name.defensive_tactics","Puolustustaktiikka"
"specials.name.delay_the_inevitable","Kuoleman lykkäys"
"specials.name.delicious_demise","Herkullinen loppu"
"specials.name.delicious_idol","Herkullinen idoli"
"specials.name.demolishing_crush","Murskaava puristus"
"specials.name.demoralizing_banter","Lannistava naljailu"
"specials.name.depth_blast","Syvyyspuuska"
"specials.name.deranged_existence","Mieletön olevaisuus"
"specials.name.desert_blessing","Aavikon siunaus"
"specials.name.destructive_strike","Atraimen pisto"
"specials.name.deteriorating_morale","Hupeneva taistelutahto"
"specials.name.devastating_slash","Tuhoisa sivallus"
"specials.name.devastating_thrust","Tuhoisa pisto"
"specials.name.dewling_strike","Kasteinen isku"
"specials.name.dewling_sweep","Kasteinen pyyhkäisy"
"specials.name.dewling_warcry","Kasteinen sotahuuto"
"specials.name.dig_a_hole","Kuopan kaivaminen"
"specials.name.dinner_with_the_beast","Illallinen Hirviön kanssa"
"specials.name.dire_ghost","Hirvittävä haamu"
"specials.name.directors_blessing","Tirehtöörin siunaus"
"specials.name.directors_blessing_pve","Tirehtöörin siunaus"
"specials.name.disabling_decree","Rampauttava käsky"
"specials.name.disabling_study","Lamauttavat opinnot"
"specials.name.disarming_gaze_dragon_pve","Rauhoittava katse"
"specials.name.disheartening_riddle","Lannistava arvoitus"
"specials.name.dishonorable_ploy","Kunniaton juoni"
"specials.name.disir_of_dreams","Unien dísir"
"specials.name.disir_of_dusk","Iltahämärän dísir"
"specials.name.dispelling_curse","Häivyttävä kirous"
"specials.name.dispelling_judgement","Häivytystuomio"
"specials.name.dispelling_potion","Häivytysjuoma"
"specials.name.dispelling_strike","Häivyttävä isku"
"specials.name.dispelling_willpower","Häivyttävä tahdonvoima"
"specials.name.dispelling_willpower_pve","Häivyttävä tahdonvoima"
"specials.name.disquieting_tune","Vaientava sävel"
"specials.name.disrupting_charge","Myllertävä rynnistys"
"specials.name.disrupting_charge_costume_tiger_lord","Raivoisa rynnistys"
"specials.name.divine_connection","Taivaallinen yhteys"
"specials.name.divine_light1","Taivaallinen valo"
"specials.name.divine_lunge","Taivaallinen pisto"
