"specials.name.a_cozy_break","Pausa Agradável"
"specials.name.arctic_wound","Ferida Ártica"
"specials.name.arrow_of_desire","Flecha do Desejo"
"specials.name.arrow_of_nujalik","Flecha de Nujalik"
"specials.name.arrows_and_claws","Flechas e Garras"
"specials.name.arrows_of_altruism_liora","Flechas do Altruísmo"
"specials.name.arrows_of_frost","Flechas de Gelo"
"specials.name.arrows_of_fury","Flechas da Fúria"
"specials.name.artful_backstab","Ataque pelas Costas"
"specials.name.artful_recreation","Obra-Prima Recriada"
"specials.name.artisans_shot","Disparo do Artesão"
"specials.name.ashes_to_ashes","Das cinzas às cinzas"
"specials.name.assassins_blades","Lâminas do Assassino"
"specials.name.assassins_in_the_night","Assassinos Noturnos"
"specials.name.assassins_in_the_night_pve","Assassinos Noturnos"
"specials.name.asterius","Investida do Touro"
"specials.name.astral_assistance","Assistência Astral"
"specials.name.astral_brew","Mistura Astral"
"specials.name.astral_dominion","Domínio Astral"
"specials.name.astral_gemstones","Joias Astrais"
"specials.name.astral_myrrh","Mirra Astral"
"specials.name.astral_orb","Orbe Astral"
"specials.name.astral_pastries","Confeitos Astrais"
"specials.name.astral_provocation","Provocação Astral"
"specials.name.astral_summon","Convocação Astral"
"specials.name.athenas_arrow","Flecha de Athena"
"specials.name.athenas_bow","Arco de Athena"
"specials.name.atlantean_blade","Espada atlanteano"
"specials.name.atlantean_blade_costume","Lâmina da Atlântida"
"specials.name.atlantean_charge","Investida da Atlântida"
"specials.name.atlantean_toon_spear","Lança Atlanteana Fofa"
"specials.name.atlantean_toon_sword","Espada Atlanteana Fofa"
"specials.name.attack_rally","Agrupamento de ataque"
"specials.name.aura_of_twilight","Aura do Crepúsculo"
"specials.name.aura_wave","Onda de Aura"
"specials.name.autumnal_wind","Vento de Outono"
"specials.name.avenger_of_mothkind","Vingador das Mariposas"
"specials.name.awaken_ki","Ki Desperto"
"specials.name.awe_bolt","Dardo de Veneno"
"specials.name.axe_of_retribution","Machado da Retribuição"
"specials.name.axe_throw","Arremesso de machado"
"specials.name.azurelight_greatsword","Montante Azulado"
"specials.name.backstab","Punhalada"
"specials.name.bad_fortune","Má Sorte"
"specials.name.bag_of_necessities","Nécessaire"
"specials.name.bagh_nakh_thrust","Investida de Bagh Nakh"
"specials.name.bakers_baguettes","Baguete do Padeiro"
"specials.name.balanced_teamwork","Equipe Equilibrada"
"specials.name.ballad_of_attraction","Balada da Atração"
"specials.name.ballad_of_condemnation","Balada da Condenação"
"specials.name.ballad_of_obsession","Balada da Obsessão"
"specials.name.ballad_of_pain","Balada da Dor"
"specials.name.ballad_of_passion","Balada da Paixão"
"specials.name.ballad_of_purple_swan","Balada do Cisne das Trevas"
"specials.name.ballad_of_restoration","Balada da Restauração"
"specials.name.ballad_of_the_purple_swan","Balada do Cisne das Trevas"
"specials.name.bandalore_dance","Dança do Ioiô"
"specials.name.barb_sting_dragon_pve","Picada de Fisga"
"specials.name.barbed_arrows","Flechas Farpadas"
"specials.name.barbed_bolt_zidane","Dardo Farpado"
"specials.name.bark_of_protection","Casca Protetora"
"specials.name.basilisk_breath","Sopro do Basilisco"
"specials.name.battering_ram","Aríete"
"specials.name.battle_boast","Ostentação de Batalha"
"specials.name.battleclaw_strike","Golpe de Garra de Batalha"
"specials.name.beach_party","Festa na Praia"
"specials.name.beautiful_petals","Belas Pétalas"
"specials.name.bee_bombast","Grandiloquência de Abelha"
"specials.name.bee_bravado","Bravado de abelha"
"specials.name.beetle_strike","Ataque do Besouro"
"specials.name.berserker_strike","Ataque Desvairado"
"specials.name.bewildering_riddle","Charada Desnorteante"
"specials.name.bewitched_daggers","Agadas Enfeitiçadas"
"specials.name.binding_contract","Contrato Vinculativo"
"specials.name.birch_blessing","Bênção da Bétula"
"specials.name.bite_of_protection","Mordida Protetora"
"specials.name.bites_of_disorientation","Mordidas da Desorientação"
"specials.name.bitter_berry_blast_dragon_pve","Explosão de Baga Amarga"
"specials.name.bizarre_mist","Névoa Bizarra"
"specials.name.black_tassel_spear_sting","Picada de Lança"
"specials.name.black_tide","Maré Negra"
"specials.name.blade_barrage","Chuva de Lâminas"
"specials.name.blade_dance","Espadas na Pista"
"specials.name.blade_of_betrayal","Lâmina da Traição"
"specials.name.blade_of_bundelkhand","Lâmina de Bundelkhand"
"specials.name.blade_of_horrid_affliction","Lâmina da Aflição"
"specials.name.blade_tail_swipe","Golpe de Cauda Afiada"
"specials.name.blade_venom","Lâminas Venenosas"
"specials.name.blade_wings","Asas Laminadas"
"specials.name.blazing_beak","Bico Refulgente"
"specials.name.blazing_corolla","Corola Flamejante"
"specials.name.blazing_inferno","Inferno Chamejante"
"specials.name.blazing_rave_dance","Dança Flamejante"
"specials.name.blazing_slam_dunk","Enterrada Flamejante"
"specials.name.blazing_venom","Peçonha Ardente"
"specials.name.bleed_inducing_daggers","Adagas de Sangramento"
"specials.name.bleeding_edge","Borda Sangrenta"
"specials.name.bleeding_hammer","Martelo Sangrento"
"specials.name.bleeding_stab","Sangria"
"specials.name.bleeding_thrust","Impulso Sangrento"
"specials.name.blessed_blade","Lâminas Abençoadas"
"specials.name.blessed_blade_pve","Lâminas Abençoadas"
"specials.name.blessed_brew","Bebida bendita"
"specials.name.blessed_solo","Indivíduo Abençoado"
"specials.name.blessed_tankard","Caneca Abençoada"
"specials.name.blessing_from_the_future","Bênção do Futuro"
"specials.name.blessing_of_gjallarhorn","Bênção de Gjallarhorn"
"specials.name.blessing_of_the_evergrove","Bênção de Eternobosque"
"specials.name.blessing_of_the_skies","Bênção dos Céus"
"specials.name.blind_rage","Fúria Cega"
"specials.name.blinding_attack","Ataque Cegante"
"specials.name.blinding_curse","Feitiço de amarra"
"specials.name.blinding_flash","Raio ofuscante"
"specials.name.blinding_flash_s4","Raio Ofuscante"
"specials.name.blinding_injustice","Injustiça Ofuscante"
"specials.name.blinding_knowledge","Conhecimento Ofuscante"
"specials.name.blinding_light","Luz Ofuscante"
"specials.name.blinding_orb","Orbe Ofuscante"
"specials.name.blinding_pounce","Agressão Ofuscante"
"specials.name.blinding_spell","Feitiço Cegante"
"specials.name.blinding_spit","Cuspe Cegante"
"specials.name.blinding_stinger","Ferroada Ofuscante"
"specials.name.blinding_strike","Golpe Cegante"
"specials.name.blinding_wisdom","Sabedoria Ofuscante"
"specials.name.blizzard","Nevasca"
"specials.name.blizzard_roar","Rugido da Nevasca"
"specials.name.blob_of_fury","Bolha de Fúria"
"specials.name.blood_illusion","Ilusão Sanguínea"
"specials.name.blood_petals_of_the_withered","Pétalas de Sangue"
"specials.name.blood_sacrifice","Golpe de Sangue"
"specials.name.bloodthirst","Sede de sangue"
"specials.name.blooming_growth","Florescimento"
"specials.name.bludgeoning","Golpe de Clava"
"specials.name.blue_lizard_charge","Investida do Lagarto Azul"
"specials.name.blue_shroom_wand","Varinha do Cogumelo Azul"
"specials.name.blur_of_steel","Borrão de Aço"
"specials.name.blur_of_steel_pve","Borrão de Aço"
"specials.name.boar_call","Chamado do Javali"
"specials.name.boar_charge","Investida de Javali"
"specials.name.boar_of_fury","Javali da Fúria"
"specials.name.boat_ride_from_the_beyond","Balsa do Além"
"specials.name.bobo_blitz","Blitz do Bobo"
"specials.name.bolstering_rush","Ímpeto de Reforço"
"specials.name.bond_of_avarice","Elo da Avareza"
"specials.name.bone_arrow","Flecha de Sangue"
"specials.name.bone_club_clonk","Porretada de Osso"
"specials.name.bone_club_party","Festa dos Ossos"
"specials.name.bone_ritual","Ritual de Ossos"
"specials.name.bone_slam","Batida Óssea"
"specials.name.bone_toss","Ossos Voadores"
"specials.name.booming_mend","Cura Estrondosa"
"specials.name.boon_of_gjallarhorn","Dádiva de Gjallarhorn"
"specials.name.boopstrike","Ataquinho"
"specials.name.boreal_bash","Esmagamento Boreal"
"specials.name.boulder_smash","Estrondo de pedra"
"specials.name.bound_by_knowledge","Unidos pelo Conhecimento"
"specials.name.bound_by_tales","Unidos pelas Lendas"
"specials.name.bounty_of_the_spring","Fartura de Primavera"
"specials.name.bouquet_of_the_seas","Buquê dos Mares"
"specials.name.brain_link","Elo Cerebral"
"specials.name.branded_by_fire","Marca de Fogo"
"specials.name.break_free","Libertação"
"specials.name.break_strike","Golpe transgressor"
"specials.name.breaker_blade","Quebra-Lâminas"
"specials.name.breaker_blade_pve","Quebra-Lâminas"
"specials.name.breath_of_darkness","Sopro da Escuridão"
"specials.name.breath_of_life","Sopro de Vida"
"specials.name.breath_of_the_abyss","Sopro do Abismo"
"specials.name.brew_of_the_centaurs","Bebida dos centauros"
"specials.name.brides_kiss","Beijo da Noiva"
"specials.name.brilliant_brew","Cerveja Brilhante"
"specials.name.brilliant_sweep_dragon_pve","Varredura Brilhante"
"specials.name.bringer_of_order","Arauto da Ordem"
"specials.name.brittling_burst","Explosão Quebradiça"
"specials.name.brittling_force","Força despedaçante"
"specials.name.brittling_strike","Golpe Despedaçante"
"specials.name.bruiser_bros","Irmãos brutamontes"
"specials.name.brutal_bull_rush","Investida do Touro"
"specials.name.brutal_support","Suporte Brutal"
"specials.name.buccaneers_blade","Lâmina dos bucaneiros"
"specials.name.bugs_shell","Carapaça de Inseto"
"specials.name.building_blocks_bulklug","Pedras Angulares"
"specials.name.bulwark_charge","Investida do Baluarte"
"specials.name.burning_ashes","Cinzas Escaldantes"
"specials.name.burning_ashes2","Cinzas Escaldantes"
"specials.name.burning_chains","Cadeias ardentes"
"specials.name.burning_claws_dragon_pve","Garras Chamuscantes"
"specials.name.burning_javelin","Lança Flamejante"
"specials.name.burning_pollen_dragon_pve","Asas Flamejantes"
"specials.name.burning_shields","Escudos flamejantes"
"specials.name.burning_spin","Giro Flamejante"
"specials.name.burning_strike","Golpe Flamejante"
"specials.name.burning_thread","Fio Ardente"
"specials.name.burning_wok","Panela Queimada"
"specials.name.but_a_scratch","Só um Arranhãozinho"
"specials.name.butterfly_swarm","Enxame de Borboletas"
"specials.name.call_of_the_elements","Chamado dos Elementos"
"specials.name.call_to_arms","Chamada às Armas"
"specials.name.calling_the_bluff","Pagando Para Ver"
"specials.name.calm_jab_dragon_pve","Estocada Calma"
"specials.name.calming_mist","Névoa calmante"
"specials.name.camouflage_foliage","Folhagem de camuflagem"
"specials.name.candy_vines","Vinhas doces"
"specials.name.cannibalizing_munch","Mordida canibalística"
"specials.name.cannon_blast","Rajada de Canhão"
"specials.name.cannonball_splash","Respingo de Mergulho"
"specials.name.capsicum_charge","Investida da Malagueta"
"specials.name.captains_cutlass","Cutelo do Capitão"
"specials.name.captivating_illusions","Ilusões Cativantes"
"specials.name.carnivore_garden","Jardim Carnívoro"
"specials.name.carve_a_hole","Cavando um Buraco"
"specials.name.carve_the_bones","Ossos Entalhados"
"specials.name.cascading_darkness","Escuridão Descendente"
"specials.name.cascading_whirlwind","Redemoinho em Cascata"
"specials.name.cataclysmic_divination","Divinação Cataclísmica"
"specials.name.catnip_fury","Fúria do Catnip"
"specials.name.cauterizing_flame","Chama Cauterizante"
"specials.name.cauterizing_touch","Toque Cauterizante"
"specials.name.cavalier_hat_of_dark_realm","Chapéu das Trevas"
"specials.name.celestial_anvil","Bigorna Celestial"
"specials.name.ceremonial_dance","Dança cerimonial"
"specials.name.ceremonial_katar","Katar Cerimonial"
"specials.name.chain_blasm_strike","Golpe Explosivo em Cadeia"
"specials.name.chain_lightning","Corrente de Relâmpagos"
"specials.name.chain_of_pain","Corrente de dor"
"specials.name.chain_strike","Golpe em cadeia"
"specials.name.chains_of_legion","Correntes da Legião"
"specials.name.chains_of_light","Correntes de Luz"
"specials.name.chakram_kick","Chute de Chakram"
"specials.name.challenge_the_strongest","Desafiar o Mais Forte"
"specials.name.champagne_hammer","Martelo de Garrafa"
"specials.name.champion_maneuver","Manobra de Campeão"
"specials.name.championship_carrot","Cenoura de Campeonato"
"specials.name.change_stance","Golpe do Apostador"
"specials.name.channel_ki","Canalizar Ki"
"specials.name.channeler_of_the_cats","Canalizador dos Gatos"
"specials.name.channeler_of_the_gods","Canalizador dos Deuses"
"specials.name.chaos_bolt_volley","Saraivada Caótica"
"specials.name.chaos_venom","Peçonha do Caos"
"specials.name.charged_fireball_dragon_pve","Bola de Fogo Carregada"
"specials.name.charm_of_protection","Amuleto de Proteção"
"specials.name.charmed_dual_blade","Lâmina Dupla Encantada"
"specials.name.charmers_blades","Lâminas Encantadoras"
"specials.name.cheerful_charm","Feitiço Animado"
"specials.name.cheese_wheel_rampage","Fúria da Roda de Queijo"
"specials.name.cherry_pudding_served","Pudim Servido!"
"specials.name.chieftains_vengeance","Vingança de Chefe"
"specials.name.chilling_counterattack","Contra-Ataque Congelante"
"specials.name.chilling_slash","Corte congelante"
"specials.name.chitin_cage","Cadeia de Quitina"
"specials.name.chords_of_distortion","Acordes da Destruição"
"specials.name.chords_of_havoc","Acordes do Caos"
"specials.name.chords_of_inferno","Acordes Infernais"
"specials.name.claw_power","Fúria Goblin"
"specials.name.claw_swipe","Patada com garras"
"specials.name.claws_of_fury","Garras da Fúria"
"specials.name.claws_of_the_hunter","Garras do Caçador"
"specials.name.claws_of_the_lioness","Garra da Leoa"
"specials.name.claws_of_the_night","Garras da Noite"
"specials.name.claws_of_the_night_ultimate_boss","Garras da Noite"
"specials.name.cleansing_determination","Determinação Purificadora"
"specials.name.cleansing_determination_pve","Determinação Purificadora"
"specials.name.cleansing_strike","Investida de Limpeza"
"specials.name.cleave_and_reflect","Clivagem e Reflexão"
"specials.name.cleave_counter","Talhar e contra-atacar"
"specials.name.clever_stratagem","Estratagema Astuto"
"specials.name.cloak_of_feathers","Manto de Plumas"
"specials.name.close_order_formation","Formação de Ordem Fechada"
"specials.name.cloth_of_constellations","Tecido das Constelações"
"specials.name.cloud_axe","Machado das nuvens"
"specials.name.cloud_hammer","Martelo das nuvens"
"specials.name.clowns_blessing","Bênção do Palhaço"
"specials.name.coastal_recharge","Recarga costeira"
"specials.name.coiling_whip","Chicote Enrolado"
"specials.name.coins_of_pain","Moedas da Dor"
"specials.name.cold_blast","Nevasca"
"specials.name.cold_blast_single","Explosão de frio"
"specials.name.cold_command","Comando do Frio"
"specials.name.cold_fire","Fogo Gelado"
"specials.name.colossal_bite","Mordida Colossal"
"specials.name.colossal_carry","Carregada Colossal"
"specials.name.colossal_chops","Mandíbulas Colossais"
"specials.name.comet","Raio Abrasador"
"specials.name.command_pack","Líder da Matilha"
"specials.name.command_sand_golems","Comando de Golems da Areia"
"specials.name.command_to_advance","Comando para Avançar"
"specials.name.command_to_advance_costume_fire_bat","Ordem de Avanço"
"specials.name.commanders_gauntlet","Manopla do Comandante"
"specials.name.commodores_malice","Malícia do Comodoro"
"specials.name.commodores_revenge","Vingança do comodoro"
"specials.name.compact_lance","Lança Compacta"
"specials.name.concussive_charge","Investida Abaladora"
"specials.name.confident_strategy","Estratégia Confiante"
"specials.name.conjure_the_azure_spirit","Conjuração do Espírito Azulado"
"specials.name.connect_ki","Conectar Ki"
"specials.name.connect_ki_pve","Conectar Ki"
"specials.name.conquerors_command","Comando do Conquistador"
"specials.name.constellation_crush","Trituração da Constelação"
"specials.name.corals_of_nourishment","Corais Nutritivos"
"specials.name.core_beam","Feixe Nuclear"
"specials.name.core_blast","Explosão Nuclear"
"specials.name.core_burst","Explosão de núcleo"
"specials.name.corroding_cutlass","Cutelo Corrosivo"
"specials.name.corrosive_acid","Ácido Corrosivo"
"specials.name.corrosive_burn_claws_dragon_pve","Garras Escaldantes Corrosivas"
"specials.name.corrosive_claws_dragon_pve","Garras Venenosas Corrosivas"
"specials.name.corrosive_pollen","Pólen Corrosivo"
"specials.name.corrupting_idol","Ídolo Corruptor"
"specials.name.cosmic_clock","Relógio Cósmico"
"specials.name.cosmic_devotion","Devoção Cósmica"
"specials.name.countering_hammock","Rede Neutralizadora"
"specials.name.counterstance","Contrapostura"
"specials.name.couriers_dash","Investida do Mensageiro"
"specials.name.cover_slam","Batida de Cobertura"
"specials.name.covert_stab","Facada Sem Remorso"
"specials.name.cracked_skull_strike","Caveira Rachada"
"specials.name.crawling_vines","Trepadeiras Rastejantes"
"specials.name.crazed_lunge","Investida Alucinada"
"specials.name.crazed_stampede","Debandada Enlouquecida"
"specials.name.creative_hands","Mãos Criativas"
"specials.name.creeping_venom","Peçonha Insidiosa"
"specials.name.creeping_vines","Cipós rastejantes"
"specials.name.crescent_moon_strike","Ataque da Lua Crescente"
"specials.name.crescent_shield","Escudo Crescente"
"specials.name.crescent_spear","Lança Crescente"
"specials.name.crimson_blade","Lâmina Carmesim"
"specials.name.crimson_calamity","Calamidade Carmesim"
"specials.name.crimson_calamity2","Calamidade Carmesim"
"specials.name.crimson_hunt","Caçada Carmesim"
"specials.name.crippling_claws","Garras Debilitantes"
"specials.name.crippling_claws_pve","Garras Debilitantes"
"specials.name.crippling_grapple","Punho Aleijante"
"specials.name.critical_cookout","Concurso Culinário"
"specials.name.critical_tactics","Tática Crítica"
"specials.name.croc_bite","Mordida de Crocodilo"
"specials.name.crush_of_avarice","Avareza Esmagadora"
"specials.name.crush_of_hel","Choque de Hel"
"specials.name.crush_of_malice","Malícia Esmagadora"
"specials.name.crush_of_toon_hel","Choque de Hel Fofo"
"specials.name.crushing_claws","Garras Esmagadoras"
"specials.name.crushing_shot","Projétil Triturador"
"specials.name.crust_of_divinity","Crosta da Divindade"
"specials.name.cry_for_absolution","Pedido de Absolução"
"specials.name.crystal_barrage","Barragem de Cristal"
"specials.name.crystal_bombardment","Bombardeio de cristal"
"specials.name.crystal_embrace","Abraço de Cristal"
"specials.name.crystalis","Cristal Congelante"
"specials.name.crystalline_strike","Ataque cristalino"
"specials.name.cub_leader_cut","Corte de Filhote"
"specials.name.cube_of_dark_realm","Cubo do Reino Sombrio"
"specials.name.cult_of_arachnid","Culto do Aracnídeo"
"specials.name.cunning_knife","Faca Ardilosa"
"specials.name.cup_of_mead","Hidromel"
"specials.name.curse_of_sargasso","Maldição de Sargasso"
"specials.name.curse_of_the_cephaloid","Maldição do Cefaloide"
"specials.name.curse_of_the_depths","Maldição das Profundezas"
"specials.name.curse_of_the_sea","Maldição do Mar"
"specials.name.curse_of_the_specter","Maldição do Espectro"
"specials.name.curse_of_the_specter_pve","Maldição do Espectro"
"specials.name.cursed_fumes","Fumaça Amaldiçoada"
"specials.name.cursed_fumes2","Fumaça Amaldiçoada"
"specials.name.cursed_garden","Jardim amaldiçoado"
"specials.name.cursed_painting","Pintura Amaldiçoada"
"specials.name.cursed_plan","Plano Amaldiçoado"
"specials.name.cursed_strike","Golpe Amaldiçoado"
"specials.name.cursed_tail_whip","Golpe de Cauda Amaldiçoada"
"specials.name.cut_cure_and_craze","Corte, Cura e Loucura"
"specials.name.cut_down_the_competition","Concorrência Derrubada"
"specials.name.cute_and_dangerous","Fofura perigosa"
"specials.name.cuts_of_hulu","Cortes de Hulu"
"specials.name.dagger_of_shadows","Adaga das Sombras"
"specials.name.dance_of_fire","Dança de Fogo"
"specials.name.dance_of_flame","Dança das Chamas"
"specials.name.dance_of_glass","Dança de Vidro"
"specials.name.dance_of_ignition","Dança da Ignição"
"specials.name.dance_of_siegfried","Dança de Siegfried"
"specials.name.dance_of_spirits","Dança dos espíritos"
"specials.name.dance_of_the_dunes","Dança das Dunas"
"specials.name.dance_of_the_heron","Dança da Garça"
"specials.name.dance_of_the_little_swan","Dança do Pequeno Cisne"
"specials.name.dance_of_the_queen","Dança da Rainha"
"specials.name.dance_of_the_raven","Dança do Cisne Negro"
"specials.name.dance_of_the_slimy","Dança da Gosma"
"specials.name.dance_of_the_swan","Dança do Cisne"
"specials.name.dance_of_the_yellow_swan","Dança do Cisne da Luz"
"specials.name.dance_of_toons","Dança das Fofuras"
"specials.name.dancestance","Postura de Dança"
"specials.name.dancing_dodge","Esquiva Dançante"
"specials.name.dancing_slash","Golpe Dançante"
"specials.name.dantes_inferno","Inferno de Dante"
"specials.name.dark_barrage","Chuva de Trevas"
"specials.name.dark_bolt","Virote Sombrio"
"specials.name.dark_lord","Ataque da Perdição"
"specials.name.dark_mirror","Espelho de Chamas"
"specials.name.dark_orb","Orbe Escuro"
"specials.name.dark_shock","Choque Sombrio"
"specials.name.darts_of_the_deep","Dardos das Profundezas"
"specials.name.dauntless_bladestorm","Tempestade de Espadas"
"specials.name.dawn_strike","Ataque ao Amanhecer"
"specials.name.dawnlight_rally","Reunião da Alvorada"
"specials.name.day_of_judgement","Dia do Julgamento"
"specials.name.day_of_reckoning","Dia do Juízo"
"specials.name.dazzling_gleam","Brilho Ofuscante"
"specials.name.dazzling_grin","Sorriso Deslumbrante"
"specials.name.dazzling_sweep_dragon_pve","Varredura Deslumbrante"
"specials.name.deadly_claw","Garra Mortal"
"specials.name.deadly_constriction","Constrição Mortal"
"specials.name.deadly_riposte","Riposta Mortal"
"specials.name.deadly_sting","Ferroada Mortal"
"specials.name.deafening_parade","Desfile ensurdecedor"
"specials.name.deathly_glaive","Gládio Mortal"
"specials.name.deathstrike","Golpe Fatal"
"specials.name.debt_drain_boboosang","Dreno de Dívida"
"specials.name.deceiving_glow","Golpe Ludibriante"
"specials.name.deceptive_smalltalk","Papo Furado"
"specials.name.deep_sea_ritual","Ritual do Mar Profundo"
"specials.name.defensive_tactics","Tática de Defesa"
"specials.name.delay_the_inevitable","Adiamento do Inevitável"
"specials.name.delicious_demise","Delicioso Declínio"
"specials.name.delicious_idol","Ídolo Delicioso"
"specials.name.demolishing_crush","Esmagada Demolidora"
"specials.name.demoralizing_banter","Brincadeira Desmoralizante"
"specials.name.depth_blast","Explosão de Profundidade"
"specials.name.deranged_existence","Existência Desequilibrada"
"specials.name.desert_blessing","Bênção do Deserto"
"specials.name.destructive_strike","Estocada de Tridente"
"specials.name.deteriorating_morale","Moral Deteriorada"
"specials.name.devastating_slash","Corte Devastador"
"specials.name.devastating_thrust","Estocada Devastadora"
"specials.name.dewling_strike","Golpe do Orvalho"
"specials.name.dewling_sweep","Varredura do Orvalho"
"specials.name.dewling_warcry","Grito de Guerra do Orvalho"
"specials.name.dig_a_hole","Cavar Buraco"
"specials.name.dinner_with_the_beast","Jantar Feroz"
"specials.name.dire_ghost","Fantasma Nefasto"
"specials.name.directors_blessing","Bênção da Diretora"
"specials.name.directors_blessing_pve","Bênção da Diretora"
"specials.name.disabling_decree","Decreto Debilitante"
"specials.name.disabling_study","Estudo Debilitante"
"specials.name.disarming_gaze_dragon_pve","Olhar Desarmante"
"specials.name.disheartening_riddle","Enigma Desmotivamente"
"specials.name.dishonorable_ploy","Trama Desonesta"
"specials.name.disir_of_dreams","Dísir dos Sonhos"
"specials.name.disir_of_dusk","Dísir do Anoitecer"
"specials.name.dispelling_curse","Maldição Dissipante"
"specials.name.dispelling_judgement","Julgamento Dissipante"
"specials.name.dispelling_potion","Poção Dissipante"
"specials.name.dispelling_strike","Golpe Dissipante"
"specials.name.dispelling_willpower","Vontade Dissipante"
"specials.name.dispelling_willpower_pve","Vontade Dissipante"
"specials.name.disquieting_tune","Melodia Perturbadora"
"specials.name.disrupting_charge","Investida Perturbadora"
"specials.name.disrupting_charge_costume_tiger_lord","Investida Arrasadora"
"specials.name.divine_connection","Conexão Divina"
"specials.name.divine_current","Corrente divina"
"specials.name.divine_light1","Luz Divina"
"specials.name.divine_lunge","Estocada Divina"
"specials.name.divine_protection","Proteção Divina"
"specials.name.divine_protection_deadly","Proteção Divina"
