"quests.name.ancient_dragon","Den ældgamle undergrund"
"quests.name.lunar_new_year_2026","Lykkefestival"
"quests.name.magic","Magitårn"
"quests.name.magic_impossible","Magitårn: Umulig"
"quests.name.masquerade","Gudernes karneval"
"quests.name.mighty_pets","Mægtige kæledyr"
"quests.name.monster_island_horde","Monsterhorde"
"quests.name.monster_island_horde_large","Stor monsterhorde"
"quests.name.monster_island_horde_large_blue","Stor Camo Lizard-horde"
"quests.name.monster_island_horde_large_green","Stor Plantipede-jorde"
"quests.name.monster_island_horde_large_purple","Stor Beetloid-horde"
"quests.name.monster_island_horde_large_red","Stor Camo Lizard-horde"
"quests.name.monster_island_horde_large_yellow","Stor Beetloid-horde"
"quests.name.monster_island_horde_medium","Mellemstor monsterhorde"
"quests.name.monster_island_horde_medium_blue","Mellemstor Camo Lizard-horde"
"quests.name.monster_island_horde_medium_green","Mellemstor Plantipede-horde"
"quests.name.monster_island_horde_medium_purple","Mellemstor Beetloid-horde"
"quests.name.monster_island_horde_medium_red","Mellemstor Camo Lizard-horde"
"quests.name.monster_island_horde_medium_yellow","Mellemstor Beetloid-horde"
"quests.name.monster_island_horde_small","Lille monsterhorde"
"quests.name.monster_island_horde_small_blue","Lille Camo Lizard-horde"
"quests.name.monster_island_horde_small_green","Lille Plantipede-horde"
"quests.name.monster_island_horde_small_purple","Lille Beetloid-horde"
"quests.name.monster_island_horde_small_red","Lille Camo Lizard-horde"
"quests.name.monster_island_horde_small_yellow","Lille Beetloid-horde"
"quests.name.moths","Møllenes nat"
"quests.name.musketeers","De modige og de smukke"
"quests.name.ninja","Ninjatårn"
"quests.name.ninja_impossible","Ninjatårn: Umulig"
"quests.name.opera","Operaens hemmeligheder"
"quests.name.owl","Ugletårnet"
"quests.name.owl_impossible","Ugletårn: Umulig"
"quests.name.recruits","Find rekrutter"
"quests.name.recruits_uncommon","Find rekrutter II"
"quests.name.scavenging","Led efter ressourcer"
"quests.name.shadow_quest","Dybets skygger"
"quests.name.slayers","Dræberne fra Skyggebjerget"
"quests.name.spring_2018","Springvale-festival"
"quests.name.starter","Begynderekspedition"
"quests.name.styx","Styx-tårnet"
"quests.name.styx_impossible","Styx-tårnet: Umulig"
"quests.name.summer_2018","Sandriget"
"quests.name.super_class_barbarian","Mesterprøvelser – barbar"
"quests.name.super_class_cleric","Mesterprøvelser – gejstlig"
"quests.name.super_class_druid","Mesterprøvelser – druide"
"quests.name.super_class_fighter","Mesterprøvelser – kriger"
"quests.name.super_class_monk","Mesterprøvelser – munk"
"quests.name.super_class_paladin","Mesterprøvelser – paladin"
"quests.name.super_class_ranger","Mesterprøvelser – vandringsmand"
"quests.name.super_class_rogue","Mesterprøvelser – rebel"
"quests.name.super_class_sorcerer","Mesterprøvelser – heksemester"
"quests.name.super_class_wizard","Mesterprøvelser – troldmand"
"quests.name.super_elemental","Elementernes kamp"
"quests.name.treasure_quest","Skatteekspedition"
"quests.name.valentines","Kærlighedens årstid"
"quests.name.villains","Skurkeligaen"
"quests.name.xmas_2017","Gem vinteren"
"quests.name.xmas_2018","Julemandens udfordring"
"quests.name.xp","Optjen erfaring"
"quests.special_rule.name.assist_dragon_mastery","Assistentdrage-ekspert"
"quests.special_rule.name.astralelves","Astralelvere"
"quests.special_rule.name.covenant","Mesterpagten"
"quests.special_rule.name.event_bonus","Event-heltebonus"
"quests.special_rule.name.family_bonus","Præsenterede familier"
"quests.special_rule.name.goblin","Goblinlandsby"
"quests.special_rule.name.hero_roster_mastery","Helteekspert"
"quests.special_rule.name.magiccurse","Magisk forbandelse"
"quests.special_rule.name.onicurse","Oni-forbandelse"
