"specials.name.a_cozy_break","En hyggelig pause"
"specials.name.boar_call","Vildsvinekald"
"specials.name.boar_charge","Vildsvineangreb"
"specials.name.boar_of_fury","Vildsvin af vrede"
"specials.name.boat_ride_from_the_beyond","Færgen fra det hidsides"
"specials.name.bobo_blitz","Bobos lynangreb"
"specials.name.bolstering_rush","Støttende stormløb"
"specials.name.bond_of_avarice","Ærgerrighedens bånd"
"specials.name.bone_arrow","Benpil"
"specials.name.bone_club_clonk","Knoglekølleklonk"
"specials.name.bone_club_party","Knogleklubfest"
"specials.name.bone_ritual","Benritual"
"specials.name.bone_slam","Knogleslag"
"specials.name.bone_toss","Flyvende knogler"
"specials.name.booming_mend","Blomstrende lapning"
"specials.name.boon_of_gjallarhorn","Gjallarhornets velsignelse"
"specials.name.boopstrike","Boopangreb"
"specials.name.boreal_bash","Nordligt sus"
"specials.name.boulder_smash","Kampestensslag"
"specials.name.bound_by_knowledge","Bundet af viden"
"specials.name.bound_by_tales","Bundet af fortællinger"
"specials.name.bounty_of_the_spring","Forårets gavmildhed"
"specials.name.bouquet_of_the_seas","Havets buket"
"specials.name.brain_link","Hjernelink"
"specials.name.branded_by_fire","Brændemærket"
"specials.name.break_free","Bryd fri"
"specials.name.break_strike","Brudangreb"
"specials.name.breaker_blade","Bryderklinge"
"specials.name.breaker_blade_pve","Bryderklinge"
"specials.name.breath_of_darkness","Mørkets åndedrag"
"specials.name.breath_of_life","Livets åndedrag"
"specials.name.breath_of_the_abyss","Afgrundens åndedrag"
"specials.name.brew_of_the_centaurs","Kentaurernes bryg"
"specials.name.brides_kiss","Brudens kys"
"specials.name.brilliant_brew","Brillant bryg"
"specials.name.brilliant_sweep_dragon_pve","Brillant angreb"
"specials.name.bringer_of_order","Ordensbringeren"
"specials.name.brittling_burst","Sprød sprængning"
"specials.name.brittling_force","Sprød styrke"
"specials.name.brittling_strike","Sprødt angreb"
"specials.name.bruiser_bros","Slagsbrødrene"
"specials.name.brutal_bull_rush","Brutalt tyreløb"
"specials.name.brutal_support","Brutal support"
"specials.name.buccaneers_blade","Sørøvers klinge"
"specials.name.bugs_shell","Billeskal"
"specials.name.building_blocks_bulklug","Byggeblokke"
"specials.name.bulwark_charge","Bolværksangreb"
"specials.name.burning_ashes","Glødende aske"
"specials.name.burning_ashes2","Glødende aske"
"specials.name.burning_chains","Brændende kæder"
"specials.name.burning_claws_dragon_pve","Brændende kløer"
"specials.name.burning_javelin","Flammespyd"
"specials.name.burning_pollen_dragon_pve","Flammevinger"
"specials.name.burning_shields","Brændende skjold"
"specials.name.burning_spin","Brændende spin"
"specials.name.burning_strike","Brændende slag"
"specials.name.burning_thread","Brændende tråd"
"specials.name.burning_wok","Brændende wok"
"specials.name.but_a_scratch","Lille rift"
"specials.name.butterfly_swarm","Sommerfuglesværm"
"specials.name.call_of_the_elements","Elementernes kald"
"specials.name.call_to_arms","Grib til våben"
"specials.name.calling_the_bluff","Gennemsku bluffet"
"specials.name.calm_jab_dragon_pve","Roligt slag"
"specials.name.calming_mist","Beroligende tåge"
"specials.name.camouflage_foliage","Kamuflageløv"
"specials.name.candy_vines","Slikvinranke"
"specials.name.cannibalizing_munch","Kannibaliserende gnask"
"specials.name.cannon_blast","Kanonskud"
"specials.name.cannonball_splash","Kanonkugleplask"
"specials.name.capsicum_charge","Peberfrugtopladning"
"specials.name.captains_cutlass","Kaptajnens huggert"
"specials.name.captivating_illusions","Betagende illusioner"
"specials.name.carnivore_garden","Den kødædende have"
"specials.name.carve_a_hole","Grav et hul"
"specials.name.carve_the_bones","Skær i knoglerne"
"specials.name.cascading_darkness","Overvældende mørke"
"specials.name.cascading_whirlwind","Strømmende hvirvelvind"
"specials.name.cataclysmic_divination","Katastrofisk spåen"
"specials.name.catnip_fury","Katteurtens vrede"
"specials.name.cauterizing_flame","Ætsende flamme"
"specials.name.cauterizing_touch","Ætsende berøring"
"specials.name.cavalier_hat_of_dark_realm","Kavalerhat fra den mørke verden"
"specials.name.celestial_anvil","Himmelsk ambolt"
"specials.name.ceremonial_dance","Ceremoniel dans"
"specials.name.ceremonial_katar","Ceremoniel katar"
"specials.name.chain_blasm_strike","Kædebragsangreb"
"specials.name.chain_lightning","Kædelyn"
"specials.name.chain_of_pain","Smertekæde"
"specials.name.chain_strike","Kædeangreb"
"specials.name.chains_of_legion","Legionens lænker"
"specials.name.chains_of_light","Lysets kæder"
"specials.name.chakram_kick","Chakram-spark"
"specials.name.challenge_the_strongest","Udfordr de stærkeste"
"specials.name.champagne_hammer","Champagnehammer"
"specials.name.champion_maneuver","Manøvremester"
"specials.name.championship_carrot","Mestergulerod"
"specials.name.change_stance","Gamblerens slag"
"specials.name.channel_ki","Brug ki"
"specials.name.channeler_of_the_cats","Kattenes talerør"
"specials.name.channeler_of_the_gods","Gudernes talerør"
"specials.name.chaos_bolt_volley","Kaoskugleregn"
"specials.name.chaos_venom","Kaosgift"
"specials.name.charged_fireball_dragon_pve","Sprængfarlig ildkugle"
"specials.name.charm_of_protection","Beskyttelsesbesværgelse"
"specials.name.charmed_dual_blade","Fortryllet dobbeltklinge"
"specials.name.charmers_blades","Charmørens klinger"
"specials.name.cheerful_charm","Munter besværgelse"
"specials.name.cheese_wheel_rampage","Ostehjulshærgen"
"specials.name.cherry_pudding_served","Kirsebærbudding serveret!"
"specials.name.chieftains_vengeance","Høvdingens hævn"
"specials.name.chilling_counterattack","Isnende modangreb"
"specials.name.chilling_slash","Isnende slag"
"specials.name.chitin_cage","Kitinbur"
"specials.name.chords_of_distortion","Akkordforvanskning"
"specials.name.chords_of_havoc","Kaosakkorder"
"specials.name.chords_of_inferno","Infernoets akkorder"
"specials.name.claw_power","Goblinraseri"
"specials.name.claw_swipe","Svirp med klo"
"specials.name.claws_of_fury","Raseriets kløer"
"specials.name.claws_of_the_hunter","Jægerens klør"
"specials.name.claws_of_the_lioness","Løvindens kløer"
"specials.name.claws_of_the_night","Nattens kløer"
"specials.name.claws_of_the_night_ultimate_boss","Nattens kløer"
"specials.name.cleansing_determination","Befriende beslutsomhed"
"specials.name.cleansing_determination_pve","Befriende beslutsomhed"
"specials.name.cleansing_strike","Rensende slag"
"specials.name.cleave_and_reflect","Kløv og reflektér"
"specials.name.cleave_counter","Spalt og modangreb"
"specials.name.clever_stratagem","Kløgtig krigsstrategi"
"specials.name.cloak_of_feathers","Fjerkappe"
"specials.name.close_order_formation","Lukket formation"
"specials.name.cloth_of_constellations","Stjernetegnsklæde"
"specials.name.cloud_axe","Skyøkse"
"specials.name.cloud_hammer","Skyhammer"
"specials.name.clowns_blessing","Klovnens velsignelse"
"specials.name.coastal_recharge","Kystgenopladning"
"specials.name.coiling_whip","Svirpende pisk"
"specials.name.coins_of_pain","Smertens mønter"
"specials.name.cold_blast","Snestorm"
"specials.name.cold_blast_single","Kuldeeksplosion"
"specials.name.cold_command","Kuldebefaling"
"specials.name.cold_fire","Kold ild"
"specials.name.colossal_bite","Kolossalt bid"
"specials.name.colossal_carry","Kolossal byrde"
"specials.name.colossal_chops","Giganthug"
"specials.name.comet","Flammestråle"
"specials.name.command_pack","Tag kommandoen over flokken"
"specials.name.command_sand_golems","Ordre til sandgolemmer"
"specials.name.command_to_advance","Angrebsordre"
"specials.name.command_to_advance_costume_fire_bat","Ordre om fremrykning"
"specials.name.commanders_gauntlet","Kommandørens stridshandske"
"specials.name.commodores_malice","Admiralens skadefryd"
"specials.name.commodores_revenge","Kommandørens hævn"
"specials.name.compact_lance","Kompakt lanse"
"specials.name.concussive_charge","Hjernerystelsesangreb"
"specials.name.confident_strategy","Selvsikker strategi"
"specials.name.conjure_the_azure_spirit","Fremman azurånd"
"specials.name.connect_ki","Foren ki"
"specials.name.connect_ki_pve","Foren ki"
"specials.name.conquerors_command","Erobrererkommando"
"specials.name.constellation_crush","Knusning af konstellation"
"specials.name.corals_of_nourishment","Næringens koral"
"specials.name.core_beam","Kernestråle"
"specials.name.core_blast","Kerneeksplosion"
"specials.name.core_burst","Kerneudbrud"
"specials.name.corroding_cutlass","Ætsende huggert"
"specials.name.corrosive_acid","Ætsende syre"
"specials.name.corrosive_burn_claws_dragon_pve","Ætsende ildkløer"
"specials.name.corrosive_claws_dragon_pve","Ætsende giftkløer"
"specials.name.corrosive_pollen","Ætsende pollen"
"specials.name.corrupting_idol","Korrumperende afgud"
"specials.name.cosmic_clock","Kosmisk ur"
"specials.name.cosmic_devotion","Kosmisk hengivenhed"
"specials.name.countering_hammock","Modangrebshængekøje"
"specials.name.counterstance","Modtræk"
"specials.name.couriers_dash","Budsprint"
"specials.name.cover_slam","Dækningsbrag"
"specials.name.covert_stab","Skånselsløst stik"
"specials.name.cracked_skull_strike","Knuste kranier-slag"
"specials.name.crawling_vines","Klatreplante"
"specials.name.crazed_lunge","Vanvidsangreb"
"specials.name.crazed_stampede","Skør bissen"
"specials.name.creative_hands","Kreative hænder"
"specials.name.creeping_venom","Krybende gift"
"specials.name.creeping_vines","Kravlende vinstykke"
"specials.name.crescent_moon_strike","Halvmåneslag"
"specials.name.crescent_shield","Halvmåneformet skjold"
"specials.name.crescent_spear","Halvmåneformet spyd"
"specials.name.crimson_blade","Dem røde klinge"
"specials.name.crimson_calamity","Karmoisinrød katastrofe"
"specials.name.crimson_calamity2","Karmoisinrød katastrofe"
"specials.name.crimson_hunt","Skarlagenjagt"
"specials.name.crippling_claws","Karatekløer"
"specials.name.crippling_claws_pve","Karatekløer"
"specials.name.crippling_grapple","Ødelæggende greb"
"specials.name.critical_cookout","Kritisk madlavning"
"specials.name.critical_tactics","Kritisk taktik"
"specials.name.croc_bite","Krokodillebid"
"specials.name.crush_of_avarice","Knus af grådighed"
"specials.name.crush_of_hel","Hels Knuser"
"specials.name.crush_of_malice","Ondskabens knusen"
"specials.name.crush_of_toon_hel","Hels tegneserieknuser"
"specials.name.crushing_claws","Knusende kløer"
"specials.name.crushing_shot","Knusende skud"
"specials.name.crust_of_divinity","Guddommens skorpe"
"specials.name.cry_for_absolution","Græd for syndforladelse"
"specials.name.crystal_barrage","Krystalregn"
"specials.name.crystal_bombardment","Krystalbombardement"
"specials.name.crystal_embrace","Krystalomfavnelse"
"specials.name.crystalis","Frostkrystal"
"specials.name.crystalline_strike","Krystalklart angreb"
"specials.name.cub_leader_cut","Spejderførerslag"
"specials.name.cube_of_dark_realm","Mørk verdens kube"
"specials.name.cult_of_arachnid","Edderkoppekult"
"specials.name.cunning_knife","Snu kniv"
"specials.name.cup_of_mead","En kop mjød"
"specials.name.curse_of_sargasso","Sargassos forbandelse"
"specials.name.curse_of_the_cephaloid","Spruttens forbandelse"
"specials.name.curse_of_the_depths","Dybets forbandelse"
"specials.name.curse_of_the_sea","Havets forbandelse"
"specials.name.curse_of_the_specter","Spøgelsets forbandelse"
"specials.name.curse_of_the_specter_pve","Spøgelsets forbandelse"
"specials.name.cursed_fumes","Forbandede dampe"
"specials.name.cursed_fumes2","Forbandede dampe"
"specials.name.cursed_garden","Forbandet have"
"specials.name.cursed_painting","Forbandet maleri"
"specials.name.cursed_plan","Forbandet plan"
"specials.name.cursed_strike","Forbandet slag"
"specials.name.cursed_tail_whip","Forbandet halesvirp"
"specials.name.cut_cure_and_craze","Klip en hæl, og hak en hale"
"specials.name.cut_down_the_competition","Skær konkurrencerne ned"
"specials.name.cute_and_dangerous","Sød og farlig"
"specials.name.cuts_of_hulu","Stykker af Hulu"
"specials.name.dagger_of_shadows","Skyggedaggert"
"specials.name.dance_of_fire","Ilddans"
"specials.name.dance_of_flame","Flammens dans"
"specials.name.dance_of_glass","Glasdans"
"specials.name.dance_of_ignition","Antændingsdansen"
"specials.name.dance_of_siegfried","Siegfrieds dans"
"specials.name.dance_of_spirits","Åndedans"
"specials.name.dance_of_the_dunes","Klitternes dans"
"specials.name.dance_of_the_heron","Hejrens dans"
"specials.name.dance_of_the_little_swan","Den lille svanes dans"
"specials.name.dance_of_the_queen","Dronningens dans"
"specials.name.dance_of_the_raven","Den sorte svanes dans"
"specials.name.dance_of_the_slimy","Slimenes dans"
"specials.name.dance_of_the_swan","Svanens dans"
"specials.name.dance_of_the_yellow_swan","Den lyse svanes dans"
"specials.name.dance_of_toons","Tegneseriedans"
"specials.name.dancestance","Danseposition"
"specials.name.dancing_dodge","Dansende undvigelse"
"specials.name.dancing_slash","Dansende flænge"
"specials.name.dantes_inferno","Dantes Inferno"
"specials.name.dark_barrage","Byge af mørke"
"specials.name.dark_bolt","Mørkt lyn"
"specials.name.dark_lord","Dommedagsslag"
"specials.name.dark_mirror","Flammespejlet"
"specials.name.dark_orb","Mørk kugle"
"specials.name.dark_shock","Mørkt chok"
"specials.name.darts_of_the_deep","Dybets dartpile"
"specials.name.dauntless_bladestorm","Ukuelig sværdstorm"
"specials.name.dawn_strike","Angreb ved daggry"
"specials.name.dawnlight_rally","Samling ved solgry"
"specials.name.day_of_judgement","Dommedag"
"specials.name.day_of_reckoning","Dommens dag"
"specials.name.dazzling_gleam","Blændende glimt"
"specials.name.dazzling_grin","Blændende grin"
"specials.name.dazzling_sweep_dragon_pve","Fortryllende angreb"
"specials.name.deadly_claw","Dødbringende klo"
"specials.name.deadly_constriction","Kvælerdød"
"specials.name.deadly_riposte","Dødbringende ripost"
"specials.name.deadly_sting","Dødeligt stik"
"specials.name.deafening_parade","Øredøvende parade"
"specials.name.deathly_glaive","Dødbringende glavind"
"specials.name.deathstrike","Dødsstød"
"specials.name.debt_drain_boboosang","Gældsdræn"
"specials.name.deceiving_glow","Forførende skær"
"specials.name.deceptive_smalltalk","Bedragerisk småsnak"
"specials.name.deep_sea_ritual","Dybhavsritual"
"specials.name.defensive_tactics","Forsvarstaktik"
"specials.name.delay_the_inevitable","Forsink det uundgåelige"
"specials.name.delicious_demise","Lækker undergang"
"specials.name.delicious_idol","Lækker afgud"
"specials.name.demolishing_crush","Knusende slag"
"specials.name.demoralizing_banter","Demoraliserende skæmt"
"specials.name.depth_blast","Braget fra dybet"
"specials.name.deranged_existence","Forstyrret eksistens"
"specials.name.desert_blessing","Ørkenvelsignelse"
"specials.name.destructive_strike","Treforkudfald"
"specials.name.deteriorating_morale","Nedbrydende moral"
"specials.name.devastating_slash","Altødelæggende hug"
"specials.name.devastating_thrust","Altødelæggende udfald"
"specials.name.dewling_strike","Dewling-angreb"
"specials.name.dewling_sweep","Dewling-angreb"
"specials.name.dewling_warcry","Dewling-krigsråb"
"specials.name.dig_a_hole","Grav et hul"
"specials.name.dinner_with_the_beast","Middag med udyret"
"specials.name.dire_ghost","Frygteligt spøgelse"
"specials.name.directors_blessing","Direktørens velsignelse"
"specials.name.directors_blessing_pve","Direktørens velsignelse"
"specials.name.disabling_decree","Spærredekret"
"specials.name.disabling_study","Forhindrer studie"
"specials.name.disarming_gaze_dragon_pve","Afvæbnende blik"
"specials.name.disheartening_riddle","Nedslående gåde"
"specials.name.dishonorable_ploy","Lusket kneb"
"specials.name.disir_of_dreams","Drømmenes Dísir"
"specials.name.disir_of_dusk","Disernes skumring"
"specials.name.dispelling_curse","Ophæverforbandelse"
"specials.name.dispelling_judgement","Ophævende dom"
"specials.name.dispelling_potion","Fordrivelseseliksir"
"specials.name.dispelling_strike","Ophævelse af angreb"
"specials.name.dispelling_willpower","Viljespredning"
"specials.name.dispelling_willpower_pve","Viljespredning"
"specials.name.disquieting_tune","Foruroligende melodi"
"specials.name.disrupting_charge","Ødelæggende angreb"
"specials.name.disrupting_charge_costume_tiger_lord","Hærgende angreb"
"specials.name.divine_connection","Guddommelig forbindelse"
"specials.name.divine_current","Guddommelig strøm"
"specials.name.divine_light1","Helligt lys"
"specials.name.divine_lunge","Guddommeligt angreb"
"specials.name.divine_protection","Guddommelig beskyttelse"
"specials.name.divine_protection_deadly","Guddommelig beskyttelse"
"specials.name.divine_reflection","Himmelsk refleksion"
"specials.name.divine_reversal","Guddommeligt tilbageslag"
"specials.name.dizzying_strike","Svimlende angreb"
"specials.name.donut_to_the_rescue","Donut til undsætning!"
"specials.name.doomrend","Dommedagsflænsen"
"specials.name.doomstrike","Dommedagsslag"
"specials.name.double_flail_mayhem","Dobbeltplejlsødelæggelse"
"specials.name.double_strike","Dobbeltangreb"
"specials.name.doublebarreled_starstick","Dobbeltløbet stjernestok"
"specials.name.dozy_mead","Døsig mjød"
"specials.name.dragon_autumn_blaze","Efterårsflammer"
"specials.name.dragon_blaze_of_fatigue","Træthedens flammehav"
"specials.name.dragon_blaze_of_mortality","Dødelighedens flammehav"
"specials.name.dragon_blaze_of_protection","Beskyttelsens flammehav"
"specials.name.dragon_blaze_of_suppression","Undertrykkelsens flamme"
"specials.name.dragon_blaze_of_the_hydra","Hydraens flammehav"
