"quests.name.ancient_dragon","Raiz Profunda"
"quests.name.monster_island_horde_small_red","Horda de Lagartos Camuflados Pequena"
"quests.name.monster_island_horde_small_yellow","Horda de Besouroides Pequena"
"quests.name.moths","Noite da Mariposa"
"quests.name.musketeers","Belos e Bravos"
"quests.name.ninja","Torre Ninja"
"quests.name.ninja_impossible","Torre Ninja: Impossível"
"quests.name.opera","Segredos da Ópera"
"quests.name.owl","Torre da Coruja"
"quests.name.owl_impossible","Torre da Coruja: Impossível"
"quests.name.recruits","Encontre Recrutas"
"quests.name.recruits_uncommon","Encontre recrutas II"
"quests.name.scavenging","Procure recursos"
"quests.name.shadow_quest","Sombras das Profundezas"
"quests.name.slayers","Matadores das Sombras"
"quests.name.spring_2018","Festival de Springvale"
"quests.name.starter","Objetivo de Iniciante"
"quests.name.styx","Torre do Estige"
"quests.name.styx_impossible","Torre do Estige: Impossível"
"quests.name.summer_2018","O Império de Areia"
"quests.name.super_class_barbarian","Provações de Bárbaro Mestre"
"quests.name.super_class_cleric","Provações de Clérigo Mestre"
"quests.name.super_class_druid","Provações de Druida Mestre"
"quests.name.super_class_fighter","Provações de Guerreiro Mestre"
"quests.name.super_class_monk","Provações de Monge Mestre"
"quests.name.super_class_paladin","Provações de Paladino Mestre"
"quests.name.super_class_ranger","Provações de Patrulheiro Mestre"
"quests.name.super_class_rogue","Provações de Ladino Mestre"
"quests.name.super_class_sorcerer","Provações de Feiticeiro Mestre"
"quests.name.super_class_wizard","Provações de Bruxo Mestre"
"quests.name.super_elemental","Contenda de Elementos"
"quests.name.treasure_quest","Objetivo de tesouro"
"quests.name.valentines","Época do Amor"
"quests.name.villains","Liga dos Vilões"
"quests.name.xmas_2017","Salve o inverno"
"quests.name.xmas_2018","Desafio do Papai Noel"
"quests.name.xp","Ganhe experiência"
"quests.special_rule.name.assist_dragon_mastery","Domínio de Dragão Auxiliar"
"quests.special_rule.name.astralelves","Elfos Astrais"
"quests.special_rule.name.covenant","Pacto dos Campeões"
"quests.special_rule.name.event_bonus","Bônus de Herói do Evento"
"quests.special_rule.name.family_bonus","Famílias em Destaque"
"quests.special_rule.name.goblin","Aldeia Goblin"
"quests.special_rule.name.hero_roster_mastery","Domínio do Quadro de Heróis"
"quests.special_rule.name.magiccurse","Maldição Mágica"
"quests.special_rule.name.onicurse","Maldição Oni"
