"quests.name.ancient_dragon","古の地下茎"
"quests.name.super_class_druid","マスタードルイドの試練"
"quests.name.super_class_fighter","マスター戦士の試練"
"quests.name.super_class_monk","マスターモンクの試練"
"quests.name.super_class_paladin","マスターパラディンの試練"
"quests.name.super_class_ranger","マスターレンジャーの試練"
"quests.name.super_class_rogue","マスターローグの試練"
"quests.name.super_class_sorcerer","マスター魔術師の試練"
"quests.name.super_class_wizard","マスターウィザードの試練"
"quests.name.super_elemental","属性バトル"
"quests.name.treasure_quest","宝箱クエスト"
"quests.name.valentines","愛の季節"
"quests.name.villains","悪役のリーグ"
"quests.name.xmas_2017","冬を救え"
"quests.name.xmas_2018","サンタの挑戦"
"quests.name.xp","経験値を獲得せよ"
"quests.special_rule.name.assist_dragon_mastery","アシストドラゴンの達人"
"quests.special_rule.name.astralelves","アストラルエルフ"
"quests.special_rule.name.covenant","チャンピオンの盟約"
"quests.special_rule.name.event_bonus","イベント英雄ボーナス"
"quests.special_rule.name.family_bonus","注目のファミリー"
"quests.special_rule.name.goblin","ゴブリンの村"
"quests.special_rule.name.hero_roster_mastery","英雄リストの達人"
"quests.special_rule.name.magiccurse","魔法の呪い"
"quests.special_rule.name.onicurse","鬼の呪い"
