"herocard.passive_skill.description.addmana.all.allies","Wszyscy sojusznicy zyskują małą ilość many."
"herocard.passive_skill.description.effectondamagedone.bufftoremove.minordebuff.latest.from.all.allies.safe.specialskill.only_criticals.once","Gdy ta postać trafi krytycznie umiejętnością specjalną, bezpiecznie oczyszcza wszystkich sojuszników z ostatniej oczyszczalnej dolegliwości ze statusu. Efekt ten może się aktywować raz na turę."
"herocard.passive_skill.description.effectondamagedone.healthboost.all.allies.specialskill.only_criticals.once","Gdy ta postać trafi krytycznie umiejętnością specjalną, wzmacnia zdrowie wszystkich sojuszników o {HEALTHBOOST}%. Efekt ten może się aktywować raz na turę."
"herocard.passive_skill.description.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill.single.allies.onceperturn"," Gdy specjalna umiejętność tej postaci trafi postać, która ma więcej bieżących PŻ, zyskuje {PASSIVESKILL1HEALTHBOOST}% wzmocnionego zdrowia.
 Gdy ta postać zostanie trafiona umiejętnością specjalną postaci, która ma więcej bieżących PŻ, zyskuje {PASSIVESKILL2POWER}% many.
Każdy z tych efektów może się aktywować raz na turę."
"herocard.passive_skill.description.effectondamagereceived.addmana.specialskill.single.allies","Gdy ta postać otrzymuje obrażenia od umiejętności specjalnych, otrzymuje {POWER}% many."
"herocard.passive_skill.description.effectondamagereceived.addmana.troop.npcnormalattack.specialskill.single.allies","Gdy ta postać otrzymuje obrażenia bezpośrednie od umiejętności specjalnych lub normalnych ataków, otrzymuje niewielką ilość many. 
 Maksymalnie {MAXMANAGAINPERTURN}% many otrzymywanej na turę."
"herocard.passive_skill.description.effectondamagereceived.damage.specialskill.statuseffectskill.cover.all.enemies.with_chance","Kiedy ta postać odnosi obrażenia zadane umiejętnościami specjalnymi lub przejmuje obrażenia od postaci pod osłoną, ma {CHANCE}% szans na zadanie  {POWER}% odniesionych obrażeń wszystkim wrogom."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive.single.allies.onceperturn","Gdy ta postać otrzyma obrażenia umiejętnością specjalną, otrzymuje kumulację {STATUSEFFECT1ATTACK}% do ataku (maks.: {STATUSEFFECT1MAXSTACK}). W każdej turze można otrzymać jedną kumulację."
"herocard.passive_skill.description.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve.single.allies.onceperturn","Gdy ta postać otrzyma obrażenia umiejętnością specjalną, otrzymuje kumulację {STATUSEFFECT1ATTACK}% do ataku (maks.: {STATUSEFFECT1MAXSTACK}). W każdej turze można otrzymać jedną kumulację."
"herocard.passive_skill.description.effectondispel.activates_on_ally_action.healthboost.all.allies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Jeśli sojusznik spróbuje dokonać oczyszczenia za pomocą umiejętności specjalnych, wszyscy sojusznicy otrzymają {POWER} pkt. wzmocnionego zdrowia. Efekt może zostać aktywowany tylko raz na turę."
"herocard.passive_skill.description.effectondispel.activates_on_enemy_action.damage.all.enemies.fixedpower.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Jeśli wróg spróbuje dokonać oczyszczenia za pomocą umiejętności specjalnych, wszyscy wrogowie otrzymają {POWER} pkt. obrażeń. Efekt może zostać aktywowany tylko raz na turę."
"herocard.passive_skill.description.effectondispel.addmana.minorbuff.removalreason.dispel","Ta postać otrzymuje {POWER}% many za każdym razem, gdy wzmocnienie tej postaci zostaje odwołane. Efekt może zostać aktywowany tylko raz na turę."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Ta postać otrzymuje {POWER}% zdrowia za każdym razem, gdy dolegliwość ze statusu wygaśnie lub zostanie oczyszczona, usunięta lub przeniesiona. Efekt może zostać aktywowany tylko raz na turę."
"herocard.passive_skill.description.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration.chance","Ta postać ma {CHANCE}% szans na otrzymanie {POWER}% zdrowia za każdym razem, gdy dolegliwość ze statusu wygaśnie lub zostanie oczyszczona, usunięta lub przeniesiona. Efekt może zostać aktywowany tylko raz na turę."
"herocard.passive_skill.description.effectondispel.healthboost.fixedpower.minorbuff.removalreason.dispel","Ta postać otrzymuje {POWER} wzmocnienia zdrowia za każdym razem, gdy wzmocnienie tej postaci zostaje odwołane. Efekt może zostać aktywowany tylko raz na turę."
"herocard.passive_skill.description.effectonfamiliardamagedone.minion.frost","Każde trafienie przez pomocników posiadanych przez tą postać zadaje {DAMAGE} obrażeń od mrozu w ciągu {TURNS} tur."
"herocard.passive_skill.description.effectonheal.addmana","Ta postać otrzymuje {POWER}% many za każdym razem, gdy jej zdrowie jest regenerowane."
"herocard.passive_skill.description.effectonheal.heal","Ta postać otrzymuje {POWER}% zdrowia za każdym razem, gdy jej zdrowie jest regenerowane."
"herocard.passive_skill.description.effectonhealsupportcharacter.troop.heal","Ta postać otrzymuje {POWER}% zdrowia za każdym razem, gdy jej zdrowie jest regenerowane."
"herocard.passive_skill.description.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Ta postać zyskuje {HEALTHBOOST}% wzmocnienia zdrowia i {MANA}% many za udane odparcie."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Ta postać zyskuje {POWER}% many, ilekroć przeciwnik używa umiejętności specjalnej, która bezpośrednio wzmacnia zdrowie."
"herocard.passive_skill.description.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.fixedpower.on_healthboost_cast","Ta postać otrzymuje {POWER} wzmocnionego zdrowia, ilekroć przeciwnik używa umiejętności specjalnej, która bezpośrednio wzmacnia zdrowie."
"herocard.passive_skill.description.effectonspecialchancepermanaspeed","{CHANCE}% szansy na wykonanie następujących akcji po rzuceniu przez tę postać umiejętności specjalnej:"
"herocard.passive_skill.description.effectonspecialskilldamagedone.bufftoremove.minordebuff.from.all.allies.safe.only_criticals","Gdy ta postać trafi krytycznie umiejętnością specjalną, bezpiecznie oczyszcza wszystkich sojuszników z ostatniej oczyszczalnej dolegliwości ze statusu."
"herocard.passive_skill.description.effectonspecialskilldamagedone.healthboost.all.allies.only_criticals","Gdy ta postać trafi krytycznie umiejętnością specjalną, wzmacnia zdrowie wszystkich sojuszników o {HEALTHBOOST}%."
"herocard.passive_skill.description.effectonspecialskilldamagereceived.healthboost.all.allies.only_criticals","Gdy ta postać trafi krytycznie umiejętnością specjalną, wzmacnia zdrowie wszystkich sojuszników o {HEALTHBOOST}%."
"herocard.passive_skill.description.effectonspecialwithchance.activates_on_enemy_action.healthboost.fixedpower","Kiedy wróg użyje specjalnej umiejętności, ta postać ma {CHANCE}% szans na wzmocnienie swojego zdrowia o {HEALTHBOOST}."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.all.allies","Podczas rzucania umiejętności specjalnej ta postać ma {CHANCE}% szans na przekazanie {POWER}% many wszystkim sojusznikom. Jeśli umiejętność specjalna jest w pełni naładowana, szansa wynosi {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.addmana.notblue.allies","Podczas rzucania umiejętności specjalnej ta postać ma {CHANCE}% szans na przekazanie {POWER}% many wszystkim sojusznikom, którzy nie należą do żywiołu lodu. Jeśli umiejętność specjalna jest w pełni naładowana, szansa wynosi {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minorbuff.latest.from.all.enemies.always","Gdy ta postać rzuci umiejętność specjalną, odwołuje ze wszystkich wrogów ostatnie ulepszenie efektów ze statusu."
"herocard.passive_skill.description.effectonspecialwithchance.bufftoremove.minordebuff.latest.from.all.allies.always","Gdy ta postać rzuci umiejętność specjalną, oczyszcza ze wszystkich sojuszników ostatnią dolegliwość ze stanu."
"herocard.passive_skill.description.effectonspecialwithchance.damage.all.enemies","Podczas rzucania umiejętności specjalnej ta postać ma {CHANCE}% szans na zadanie {POWER}% obrażeń wszystkim wrogom. Jeśli umiejętność specjalna jest w pełni naładowana, szansa wynosi {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notpurple.enemies","Podczas rzucania umiejętności specjalnej ta postać ma {CHANCE}% szans na zadanie {POWER}% obrażeń wszystkim wrogom, którzy nie należą do żywiołu mroku. Jeśli umiejętność specjalna jest w pełni naładowana, szansa wynosi {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.damage.notred.enemies","Podczas rzucania umiejętności specjalnej ta postać ma {CHANCE}% szans na zadanie {POWER}% obrażeń wszystkim wrogom, którzy nie należą do żywiołu ognia. Jeśli umiejętność specjalna jest w pełni naładowana, szansa wynosi {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.all.allies","Podczas rzucania umiejętności specjalnej ta postać ma {CHANCE}% szans na przywrócenie {POWER}% zdrowia wszystkim sojusznikom. Jeśli umiejętność specjalna jest w pełni naładowana, szansa wynosi {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notgreen.allies","Podczas rzucania umiejętności specjalnej ta postać ma {CHANCE}% szans na przywrócenie {POWER}% zdrowia wszystkim sojusznikom, którzy nie należą do żywiołu natury. Jeśli umiejętność specjalna jest w pełni naładowana, szansa wynosi {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notred.allies","Podczas rzucania umiejętności specjalnej ta postać ma {CHANCE}% szans na przywrócenie {POWER}% zdrowia wszystkim sojusznikom, którzy nie należą do żywiołu ognia. Jeśli umiejętność specjalna jest w pełni naładowana, szansa wynosi {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.heal.notyellow.allies","Podczas rzucania umiejętności specjalnej ta postać ma {CHANCE}% szans na przywrócenie {POWER}% zdrowia wszystkim sojusznikom, którzy nie należą do żywiołu światłości. Jeśli umiejętność specjalna jest w pełni naładowana, szansa wynosi {CHANCEFULLYCHARGED}%."
"herocard.passive_skill.description.effectonspecialwithchance.healthboost.all.allies.always","Gdy ta postać rzuci umiejętność specjalną, wzmacnia zdrowie wszystkich sojuszników o {POWER}%."
"herocard.passive_skill.description.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.all.enemies.fixedpower.faster.average.once","Jeśli wróg ze średnią lub wyższą szybkością regeneracji many użyje umiejętności specjalnej, wszyscy przeciwnicy otrzymają {DAMAGE} pkt. obrażeń. Efekt aktywuje się tylko raz na turę."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Za każdym razem, gdy wróg otrzyma efekty ze statusu Prowokacja, poziom many tej postaci zostaje zwiększony o {POWER}%."
"herocard.passive_skill.description.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Ta postać zyskuje {POWER}% do many, gdy wróg otrzyma wzmocnienie efektu ze statusu, które wpływa na obronę. Efekt może zostać aktywowany tylko raz na turę."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.allbuffs","Ta postać zyskuje {POWER}% many, gdy zostaje wzmocniona lub gdy kumulacja będzie pozytywna."
"herocard.passive_skill.description.effectonstatuseffectaddition.addmana.alldebuffs","Ta postać zyskuje {POWER}% many, gdy otrzymuje efekt ze statusu lub gdy kumulacja będzie negatywna."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.allbuffs","Ta postać odzyskuje {POWER}% zdrowia, gdy otrzymuje wzmocnienie lub gdy kumulacja będzie pozytywna."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.alldebuffs","Ta postać odzyskuje {POWER}% zdrowia, gdy otrzymuje efekt ze statusu lub gdy kumulacja będzie negatywna."
"herocard.passive_skill.description.effectonstatuseffectaddition.heal.fixedpower.alldebuffs","Ta postać odzyskuje {POWER} PŻ, gdy otrzymuje efekt ze statusu lub gdy kumulacja będzie negatywna."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.addmana.allbuffs","Ta postać ma {CHANCE}% szans na zyskanie {POWER}% many, gdy zostaje wzmocniona lub otrzymuje pozytywną kumulację."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.can_stack.heal.allbuffs","Ta postać ma {CHANCE}% szans na odzyskanie {POWER}% zdrowia, gdy zostaje wzmocniona lub otrzymuje pozytywną kumulację."
"herocard.passive_skill.description.effectonstatuseffectadditionwithchance.heal.allbuffs","Ta postać ma {CHANCE}% szans na odzyskanie {POWER}% zdrowia, gdy zostaje wzmocniona lub otrzymuje pozytywną kumulację."
"herocard.passive_skill.description.effectovertime.revival.neartotargetexceptcaster.allies","Co {TURNS} tur(y) wskrzesza pobliskich pokonanych sojuszników z {POWER}% PŻ."
"herocard.passive_skill.description.effectovertimeperstatuseffect.addmana.fixedpower.everyturn.per.statuseffectbuffs.enemies","Na początku każdej tury zyskuje niewielką ilość many za każde aktywne wzmocnienie ze statusu drużyny przeciwnej (maksymalna liczba wzmocnień: {MAXSTATUSEFFECTCOUNT})."
"herocard.passive_skill.description.effectovertimeperstatuseffect.healthboost.neartotarget.allies.everyturn.per.poison.statuseffectdebuffs.enemies","Wzmacnia zdrowie tej postaci i pobliskich sojuszników o {INCREMENTPERSTATUSEFFECT1}% za każdego wroga pod wpływem trucizny na początku każdej tury. Wzmocnione zdrowie może przekroczyć maks. liczbę PŻ."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Gdy do dowolnego sojusznika zostanie przywołany pomocnik, ta postać otrzymuje {POWER}% many. Efekt ten może się aktywować tylko raz na turę."
"herocard.passive_skill.description.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Gdy do dowolnego sojusznika zostanie przywołany pomocnik, ta postać zyskuje {HEALTH}% zdrowia i {MANA}% many. Efekt ten może się aktywować tylko raz na turę."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Gdy do dowolnego przeciwnika zostanie przywołany potwór, ta postać otrzymuje {POWER}% many. Efekt ten może się aktywować tylko raz na turę."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.damage.all.enemies.enemies.parasite","Gdy do dowolnego przeciwnika zostanie przywołany potwór, ta postać zadaje {DAMAGE}% obrażeń wszystkim przeciwnikom. Efekt ten może się aktywować tylko raz na turę."
"herocard.passive_skill.description.effectsonparasitereceived.activates_on_enemy_action.healthboost.fixedpower.enemies.parasite","Gdy do dowolnego przeciwnika zostanie przywołany potwór, ta postać otrzymuje {POWER} wzmocnionego zdrowia. Efekt ten może się aktywować tylko raz na turę."
"herocard.passive_skill.description.extraactionsafterspecial","{CHANCE}% szansy na rzucenie dodatkowych akcji po rzuceniu przez tę postać umiejętności specjalnej."
"herocard.passive_skill.description.familiaraccuracymodifier.all.enemies.minion.bigminion","Pomocnicy wszystkich wrogów mają {MINIONMODIFIER}% celności.
Mega pomocnicy wszystkich wrogów mają {MEGAMINIONMODIFIER}% celności."
"herocard.passive_skill.description.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core.all.allies.always","Rdzeń konstruktu tej postaci to rdzeń pomocnika.

Rdzeń pomocnika aktywuje się za każdym razem, gdy rzucona zostanie umiejętność specjalna tej postaci:

 Przy pełnym naładowaniu rdzenia pomocnika, wzywa dla wszystkich sojuszników zabójczego bota z {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku przejętymi od bohatera.
PŻ i atak przejęte od rzucającego skalują się z poziomem naładowania rdzenia. Po aktywacji rdzenia zużyty zostaje cały ładunek.
 Zanim zabójczy bot trafi cel, niszczy wszystkich pomocników celu i zadaje obrażenia mega pomocnikom."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.bigminion.decrease","Mega pomocnicy wrogów mają {HEALTHMODIFIER}% PŻ."
"herocard.passive_skill.description.familiarhealthmodifier.all.enemies.minion.decrease","Pomocnicy wrogów mają {HEALTHMODIFIER}% PŻ."
"herocard.passive_skill.description.familiarsilencer.all.enemies.bigminion","Wrodzy mega pomocnicy nie mogą atakować i korzystać z umiejętności."
"herocard.passive_skill.description.familiarsilencer.all.enemies.minion.follower","Wrodzy pomocnicy nie mogą atakować i korzystać z umiejętności."
"herocard.passive_skill.description.frost.effectondamageovertime.activates_on_enemy_action.addmana","Ta postać zyskuje {POWER}% many za każdym razem, gdy wróg otrzyma obrażenia od mrozu."
"herocard.passive_skill.description.growth","Podstawowy atak i obrona tej postaci są zwiększane o {STATINCREASE} pkt. co turę przez {MAXACTIVATIONCOUNT} tur(y)."
"herocard.passive_skill.description.guaranteedeffectonspecial","Gdy ta postać rzuci umiejętność specjalną, aktywacja wszelkich umiejętności pasywnych zapewniających dodatkowe efekty przy rzuceniu jest gwarantowana."
"herocard.passive_skill.description.heal.all.allies","Regeneruje {HEALTH}% zdrowia wszystkich sojuszników."
"herocard.passive_skill.description.healmodifier","{HEALMULTIPLIER}% więcej przy każdej regeneracji zdrowia."
"herocard.passive_skill.description.healmodifier.all.enemies.decrease","Wszyscy wrogowie otrzymują {HEALMULTIPLIER}% leczenia."
"herocard.passive_skill.description.healmodifier.decrease","{HEALMULTIPLIER}% mniej przy każdej regeneracji zdrowia."
"herocard.passive_skill.description.healonheal.can_stack.heal","Ta postać otrzymuje {POWER}% zdrowia za każdym razem, gdy jej zdrowie jest regenerowane."
"herocard.passive_skill.description.healonownfamiliardeath.minion","Ta postać odzyskuje {HEALTH} zdrowia, gdy jej pomocnik ginie."
"herocard.passive_skill.description.healonownfamiliardeath.minion.healthboost","Ta postać odzyskuje {HEALTH} wzmocnionego zdrowia, gdy jej pomocnik zostaje zniszczony."
"herocard.passive_skill.description.healthboost.all.allies","Wzmacnia zdrowie wszystkich sojuszników o {HEALTHBOOST}%. Wzmocnione zdrowie może przekroczyć maks. liczbę PŻ."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green","Na początku każdej bitwy atak tej postaci zostaje zwiększony o {ATTACK}% za każdego wroga, który nie należy do żywiołu natury. W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.green.battle","Atak tej postaci zostaje zwiększony o {ATTACK}% za każdego żywego wroga, który nie należy do żywiołu natury. Efekt odświeża się na początku każdej kolejnej fali. (Obecnie: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red","Na początku każdej bitwy atak tej postaci zostaje zwiększony o {ATTACK}% za każdego wroga, który nie należy do żywiołu ognia. W bitwach z wieloma falami efekt odświeża się na początku każdej kolejnej fali."
"herocard.passive_skill.description.increasedattackperelement.enemies.not.red.battle","Atak tej postaci zostaje zwiększony o {ATTACK}% za każdego żywego wroga, który nie należy do żywiołu ognia. Efekt odświeża się na początku każdej kolejnej fali. (Obecnie: {CURRENTMODIFIER}%)"
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion","Zadaje o {DAMAGEMULTIPLIER}% więcej obrażeń pomocnikom."
"herocard.passive_skill.description.increaseddamageagainstfamiliars.minion.bigminion","Ta postać zadaje {DAMAGEMULTIPLIER}% obrazeń pomocnikom i mega pomocnikom."
"herocard.passive_skill.description.increasedspecialdamageagainsttaunt.taunt","Trafienia umiejętnością specjalną tej postaci mają {POWERADDITION}% dodatkowej siły, jeśli cel ma prowokację."
"herocard.passive_skill.description.increasespecialdamage","Pierwsze {MAXACTIVATIONCOUNT} razy, gdy ta postać użyje umiejętności specjalnej, która zadaje obrażenia, zwiększy swoją moc o dodatkowe {POWERADDITION}%."
"herocard.passive_skill.description.increasespecialdamage.usable_once","Gdy ta postać po raz pierwszy użyje umiejętności specjalnej, która zadaje obrażenia, zwiększy swoją moc o dodatkowe {POWERADDITION}%."
"herocard.passive_skill.description.increasespecialdamagesupportcharacter.troop","Za każdym razem, gdy ta postać użyje umiejętności specjalnej, która zadaje obrażenia, zwiększy swoją moc o dodatkowe {POWERADDITION}%."
"herocard.passive_skill.description.insanitydamagereduction","Wszystkie obrażenia odnoszone przez tą postać są zmniejszone o {DAMAGEREDUCTION}% za każde {DISPLAYSCALE} pkt. obłędu. Maksymalna redukcja obrażeń wynosi {MAXDAMAGEREDUCTION}%."
"herocard.passive_skill.description.iterateeffectonspecial","Gdy ta postać rzuci umiejętność specjalną, wszelkie jej umiejętności pasywne zapewniające dodatkowe efekty przy rzuceniu mają {APPLYCOUNT} szans na aktywację."
"herocard.passive_skill.description.league.featured_family","Ten bohater należy do wyróżnionej rodziny!"
"herocard.passive_skill.description.league.non_featured_family","Ten bohater nie należy do wyróżnionej rodziny!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER}% celności przeciwko wyróżnionym bohaterom i rodzinom."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","Leczenie wpływające na członków wyróżnionych rodzin ma {POWERMULTIPLIER}% skuteczności."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER}% obrażeń otrzymywanych od niewyróżnionych rodzin."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER}% regeneracji many."
