"heroes.name_fancy.astral_cosmicspeaker","Astronoma degli elfi astrali"
"heroes.name_fancy.astral_melodymuse","Poeta degli elfi astrali"
"heroes.name_fancy.astral_moonbell","Evocatore degli elfi astrali"
"heroes.name_fancy.astral_mooncure","Maestro dell'incenso degli elfi astrali"
"heroes.name_fancy.astral_moonflower","Botanico degli elfi astrali"
"heroes.name_fancy.astral_sparklight","Campione degli elfi astrali"
"heroes.name_fancy.astral_starlass","Balestriere degli elfi astrali"
"heroes.name_fancy.astral_starswift","Giovane degli elfi astrali"
"heroes.name_fancy.astral_starwalker","Re degli elfi astrali"
"heroes.name_fancy.astral_voidstar","Gran cavaliere degli elfi astrali"
"heroes.name_fancy.ballerina_armand","Mecenate delle arti scettico"
"heroes.name_fancy.ballerina_benno","Amico del Trono"
"heroes.name_fancy.ballerina_charlotta","Prima donna"
"heroes.name_fancy.ballerina_christine_daae","Voce dell'Opera"
"heroes.name_fancy.ballerina_daroga","Gentiluomo dagli occhi di giada"
"heroes.name_fancy.ballerina_firmin","Nuovo mecenate"
"heroes.name_fancy.ballerina_madame_giry","Matrona del balletto"
"heroes.name_fancy.ballerina_meg_giry","Diva ballerina"
"heroes.name_fancy.ballerina_odette","Cigno bianco"
"heroes.name_fancy.ballerina_odile","Cigno nero"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Genio misterioso"
"heroes.name_fancy.ballerina_prince_siegfried","Il futuro re"
"heroes.name_fancy.ballerina_raul","Nobile innamorato"
"heroes.name_fancy.ballerina_swan_maiden","Una dei piccoli cigni"
"heroes.name_fancy.ballerina_uberta","La Regina vedova"
"heroes.name_fancy.ballerina_von_rothbart","Mago temuto"
"heroes.name_fancy.bard_astrid","Barda della resurrezione"
"heroes.name_fancy.bard_balafon","Barda dei festival spirituali"
"heroes.name_fancy.bard_belladonna","Barda del soprannaturale"
"heroes.name_fancy.bard_bhaltair","Nano musicista"
"heroes.name_fancy.bard_bonzo","Bardo delle probabilità"
"heroes.name_fancy.bard_celimene","Barda dell'illusione"
"heroes.name_fancy.bard_darkbeat","Maestro di mosh pit"
"heroes.name_fancy.bard_dunnar_hart","Il tamburino magmatico"
"heroes.name_fancy.bard_garyas","Bardo della gioia"
"heroes.name_fancy.bard_lyria","Strumentista eccezionalmente entusiasta"
"heroes.name_fancy.bard_merith","Violinista serpentina"
"heroes.name_fancy.bard_narcisa","Barda del fascino"
"heroes.name_fancy.bard_ogima","Bardo degli spiriti"
"heroes.name_fancy.bard_phenexa","Barda dei sussurri"
"heroes.name_fancy.bard_rhys","Bardo del valore"
"heroes.name_fancy.bard_winifred","Barda della creazione"
"heroes.name_fancy.bard_zarel","Barda della tradizione"
"heroes.name_fancy.bard_zhabog","Bardo dell'eloquenza"
"heroes.name_fancy.beachparty_andy_jay","Festaiolo delle rive soleggiate"
"heroes.name_fancy.beachparty_brebarg","Esperto di castelli di sabbia"
"heroes.name_fancy.beachparty_davey_wavey","Squalo in addestramento"
"heroes.name_fancy.beachparty_dillo","Armadillo inzuppato"
"heroes.name_fancy.beachparty_dolrak","Nano troppo abbronzato"
"heroes.name_fancy.beachparty_flip","Foca bagnina"
"heroes.name_fancy.beachparty_flip_costume_donut","Foca venditrice di ciambelle"
"heroes.name_fancy.beachparty_itham","Istruttore di nuoto degli elfi"
"heroes.name_fancy.beachparty_mazoga","Orco con pistola ad acqua"
"heroes.name_fancy.beachparty_misty","Gnomo da snorkeling"
"heroes.name_fancy.beachparty_mortimer","Elfo scuro surfista"
"heroes.name_fancy.beachparty_serena","Socialite della costa"
"heroes.name_fancy.beachparty_zenukwa","Appassionato di gelato"
"heroes.name_fancy.beauty_beast_chandel","Illuminatrice del castello incantato"
"heroes.name_fancy.beauty_beast_dominique","Protettore fedele"
"heroes.name_fancy.beauty_beast_lucas","Fratello minore di Dominique"
"heroes.name_fancy.beauty_beast_rose_de_flo","Fiore del castello incantato"
"heroes.name_fancy.beauty_beast_the_beast","Principe solitario del castello incantato"
"heroes.name_fancy.beowulf_aeschere","Saggio degli Skjöldungar"
"heroes.name_fancy.beowulf_beowulf","Spada dei Geati"
"heroes.name_fancy.beowulf_breca","Compagno di manna"
"heroes.name_fancy.beowulf_ecgtheow","Leader di guerra feroce"
"heroes.name_fancy.beowulf_freawaru","La tessitrice di pace"
"heroes.name_fancy.beowulf_grendel","Bruto infernale distruttore di spade"
"heroes.name_fancy.beowulf_grendels_mother","Megera spaventosa della palude"
"heroes.name_fancy.beowulf_hrothgar","Maestro della sala dell'idromele"
"heroes.name_fancy.beowulf_hygd","Regina dei Geati"
"heroes.name_fancy.beowulf_modthryth","Dama dello scudo senza rimorsi"
"heroes.name_fancy.beowulf_nithgaest","Flagello di Beowulf"
"heroes.name_fancy.beowulf_unferth","Branditore di Hrunting"
"heroes.name_fancy.beowulf_wealhtheow","Dama dal cuore regale"
"heroes.name_fancy.beowulf_weland","Fabbra abile"
"heroes.name_fancy.beowulf_wiglaf","Figlio di Weohstan"
"heroes.name_fancy.blackguard_commander","Duca dolente"
"heroes.name_fancy.blackguard_commander_costume_cute","Cartone dolente"
"heroes.name_fancy.blackguard_commander_costume_feather","Duca lamentoso"
"heroes.name_fancy.blackguard_commander_costume_glass","Vitrail addolorato"
"heroes.name_fancy.blackguard_commander_costume_metal","Duca del rock"
"heroes.name_fancy.blackguard_female_archer","Aspirante arciera"
"heroes.name_fancy.blackguard_female_captain","Guardiana risoluta"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Cartone risoluto"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Vitrail risoluta"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Sovrintendente risoluta"
"heroes.name_fancy.blackguard_knight","Nobile cavaliere"
"heroes.name_fancy.blackguard_knight_costume_cute","Cavaliere cartone"
"heroes.name_fancy.blackguard_knight_costume_elegant","Nobile agghindato"
"heroes.name_fancy.blackguard_knight_costume_glass","Cavaliere di vetro"
"heroes.name_fancy.blackguard_knight_costume_healer","Guaritore nobile"
"heroes.name_fancy.blackguard_scout","Fuggitivo morgoviano"
"heroes.name_fancy.blackguard_skulker","Assassino folle"
"heroes.name_fancy.blackguard_skulker_costume_cute","Cartone folle"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Chirurgo folle"
"heroes.name_fancy.blackguard_skulker_costume_glass","Assassino di vetro"
"heroes.name_fancy.castle_bear_armel","Ambasciatore artico"
"heroes.name_fancy.castle_bear_bearnadette","Ritrattista"
"heroes.name_fancy.castle_bear_humbert","Difensore delle Alte Terre"
"heroes.name_fancy.castle_bear_koda","Cavaliere della Foresta di prugne"
"heroes.name_fancy.castle_bear_teddy","Il Cuore puro"
"heroes.name_fancy.castle_bear_torben","Signore delle Alte Terre"
"heroes.name_fancy.castle_bear_winnie","Armaiolo ursino"
"heroes.name_fancy.castle_bear_yona","Giullare delle Alte Terre"
"heroes.name_fancy.castle_raven_aderyn","Medico del Castello"
"heroes.name_fancy.castle_raven_eloise","Incantatrice del Castello"
"heroes.name_fancy.castle_raven_franz","Protettore del Castello"
"heroes.name_fancy.castle_raven_lewena","Tiratore del Castello"
"heroes.name_fancy.castle_raven_quintin","Segugio del Castello"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Ghiacciatore dei Corvi"
"heroes.name_fancy.castle_raven_rayne","Capitano del Castello"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Capitano dei Corvi"
"heroes.name_fancy.castle_raven_wren","Esploratore del Castello"
"heroes.name_fancy.castle_stag_alvar","Il Pioniere"
"heroes.name_fancy.castle_stag_cecilia","Benedetta dal crepuscolo"
"heroes.name_fancy.castle_stag_daemon","Vendicatore degli avvizziti"
"heroes.name_fancy.castle_stag_fawn","Scudiera devota"
"heroes.name_fancy.castle_stag_lysanor","Veggente del sogno di zaffiro"
"heroes.name_fancy.castle_stag_raleigh","Studioso della Foresta di smeraldo"
"heroes.name_fancy.castle_stag_siofra","La custode"
"heroes.name_fancy.castle_stag_xiamara","Guardiana della Foresta di smeraldo"
"heroes.name_fancy.castle_wolf_bertulf","Chef del Castello"
"heroes.name_fancy.castle_wolf_esme","Arcimaga del Castello"
"heroes.name_fancy.castle_wolf_ferant","Guardiano del Castello"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Guardiano dei Lupi"
"heroes.name_fancy.castle_wolf_ludwig","Difensore del Castello"
"heroes.name_fancy.castle_wolf_quenell","Campionessa del Castello"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Campionessa dei Lupi"
"heroes.name_fancy.castle_wolf_wolfgang","Comandante del Castello"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Comandante dei Lupi"
"heroes.name_fancy.champions_lazara","Campionessa di baseball"
"heroes.name_fancy.champions_mistra","Campionessa di lancio del disco"
"heroes.name_fancy.champions_nogu","Campione di lancio del giavellotto"
"heroes.name_fancy.champions_norman","Campione di giostra"
"heroes.name_fancy.champions_ramona","Cavallerizza di arieti"
"heroes.name_fancy.champions_satori","Campione di sumo"
"heroes.name_fancy.christmas_albin","Esperto di cioccolata calda"
"heroes.name_fancy.christmas_augustus","Gnomo anziano"
"heroes.name_fancy.christmas_buster","Gnomo da giardino brontolone"
"heroes.name_fancy.christmas_carol","Piccolo aiutante di Babbo Natale"
"heroes.name_fancy.christmas_cookie","Gnomo scienziato"
"heroes.name_fancy.christmas_dizzy","Gnoma intrattenitrice"
"heroes.name_fancy.christmas_elf","Piccolo aiutante di Babbo Natale"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Contabile di Babbo Natale"
"heroes.name_fancy.christmas_florencia","Custode delle nevi"
"heroes.name_fancy.christmas_frosty","Sentinella del Nord"
"heroes.name_fancy.christmas_ginger","Gnoma esploratrice"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Gnomo maestro dei doni"
"heroes.name_fancy.christmas_holly","Gnoma capo cuoca"
"heroes.name_fancy.christmas_jolly","Gnomo boscaiolo"
"heroes.name_fancy.christmas_krampus","Ghoul delle feste"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Malfattore delle feste"
"heroes.name_fancy.christmas_mr_pengi","Capitano delle guardie di Babbo Natale"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Capitano della squadra di Snowboard"
"heroes.name_fancy.christmas_mrs_claus","Chef nordica"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Appassionata di maglioni natalizi"
"heroes.name_fancy.christmas_noel","Ragazzo della slitta gioioso"
"heroes.name_fancy.christmas_ottilia","Decoratore di gnomi"
"heroes.name_fancy.christmas_peppermint","Gnomo alchimista"
"heroes.name_fancy.christmas_reindeer","Fido destriero di Babbo Natale"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Destriero cavalleresco di Babbo Natale"
"heroes.name_fancy.christmas_santa","Il portatore di doni"
"heroes.name_fancy.christmas_santa_costume_metal","Babbo Metal"
"heroes.name_fancy.christmas_tinsel","Gnoma aggiustatutto"
"heroes.name_fancy.christmas_zappa","Gnomo mago"
"heroes.name_fancy.circus_bobo","Yeti dal cuore tenero"
"heroes.name_fancy.circus_candy","Dispensatrice di gioia"
"heroes.name_fancy.circus_dandre","Giocoliere abile"
"heroes.name_fancy.circus_director_zuri","Signora del circo"
"heroes.name_fancy.circus_director_zuri_costume_clown","Signora dei clown"
"heroes.name_fancy.circus_eichbelborg","Bodybuilder vanitoso"
"heroes.name_fancy.circus_eiora_and_fluffy","Duo dinamico"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Duo oscuro"
"heroes.name_fancy.circus_emilio","Grande domatore fenice"
"heroes.name_fancy.circus_emilio_costume_frog","Grande domatore ranocchio"
"heroes.name_fancy.circus_faline","Acrobata sorprendente"
"heroes.name_fancy.circus_marcel","Mimo malizioso"
"heroes.name_fancy.circus_theobald","Orso lanciacoltelli"
"heroes.name_fancy.circus_whacker","Picchiatore pazzoide"
"heroes.name_fancy.construct_arzen","Costrutto sovrintendente feroce"
"heroes.name_fancy.construct_blue_mage","Costrutto mago delle stelle"
"heroes.name_fancy.construct_bonechill","Costrutto del gelo"
"heroes.name_fancy.construct_brimstone","Costrutto infernale"
"heroes.name_fancy.construct_carta","Costrutto cartografo"
"heroes.name_fancy.construct_dancrag","Costrutto colosso antico"
"heroes.name_fancy.construct_ferrus","Costrutto pirata"
"heroes.name_fancy.construct_frond","Costrutto elfico"
"heroes.name_fancy.construct_glacivolt","Costrutto sovrintendente ghiacciato"
"heroes.name_fancy.construct_gwynn","Costrutto flusso energetico"
"heroes.name_fancy.construct_halwinter","Costrutto pesantemente armato"
"heroes.name_fancy.construct_haulstone","Costrutto trasportatore"
"heroes.name_fancy.construct_hornfel","Costrutto minotauro"
"heroes.name_fancy.construct_hotspin","Costrutto ciclone di fiamma"
"heroes.name_fancy.construct_ironheart","Costrutto guardiano sacro"
"heroes.name_fancy.construct_ironvein","Costrutto scudiero sacro"
"heroes.name_fancy.construct_japanese_doll","Costrutto bambola di porcellana"
"heroes.name_fancy.construct_nautica","Costrutto navigatore"
"heroes.name_fancy.construct_nocturne","Costrutto armato del vuoto"
"heroes.name_fancy.construct_rhineglow","Costrutto super condensatore"
"heroes.name_fancy.construct_rustbeak","Costrutto gufo"
"heroes.name_fancy.construct_scoria","Costrutto fiamma eterna"
"heroes.name_fancy.construct_shaal","Costrutto chierico"
"heroes.name_fancy.construct_shacklebolt","Costrutto imprigionato"
"heroes.name_fancy.construct_sizzleomatic","Costrutto chef entusiasta"
"heroes.name_fancy.construct_skarn","Costrutto gelo angosciante"
"heroes.name_fancy.construct_sylosis","Costrutto artista marziale"
"heroes.name_fancy.construct_tenebrae","Costrutto principessa oscura"
"heroes.name_fancy.construct_zavok","Costrutto mago caotico"
"heroes.name_fancy.cultist_female_poisoner","Furfante ribelle"
"heroes.name_fancy.cultist_inventor","Scienziato pazzo"
"heroes.name_fancy.cultist_inventor_costume_cute","Scienziato cartone"
"heroes.name_fancy.cultist_inventor_costume_glass","Scienziato di vetro"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Dottore dell'amore"
"heroes.name_fancy.cultist_inventor_costume_steam","Scienziato elettrico"
"heroes.name_fancy.cultist_mage","Mago temuto"
"heroes.name_fancy.cultist_mage_costume_cute","Mago cartone"
"heroes.name_fancy.cultist_mage_costume_glass","Mago di vetro"
"heroes.name_fancy.cultist_mage_costume_voodoo","Mago non-morto"
"heroes.name_fancy.cultist_sorceress","Boia di Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_cute","Boia cartone"
"heroes.name_fancy.cultist_sorceress_costume_glass","Vitrail di Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Mostruosità di Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_snake","Serpente di Descenthia"
"heroes.name_fancy.cultist_thief","Ladro ambizioso"
"heroes.name_fancy.dark_god_aeron","Giudice risoluto"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Giudice imparruccato"
"heroes.name_fancy.dark_god_akilius","Razziatore subdolo"
"heroes.name_fancy.dark_god_anoushka","Veggente solitaria"
"heroes.name_fancy.dark_god_arfanias","Assassino ombra"
"heroes.name_fancy.dark_god_chakkoszrot","Sommo sacerdote degli uomini lucertola"
"heroes.name_fancy.dark_god_clarissa","Medium insolente"
"heroes.name_fancy.dark_god_eldwren","Il padre del gregge"
"heroes.name_fancy.dark_god_grimble","Gnomo cavalca-capre"
"heroes.name_fancy.dark_god_hel","Celestiale dell'oscurità"
"heroes.name_fancy.dark_god_hel_costume_cute","Celestiale dell'oscurità cartone"
"heroes.name_fancy.dark_god_hel_costume_omen","Presagio delle tenebre"
"heroes.name_fancy.dark_god_kunchen","Giramondo della mistica"
"heroes.name_fancy.dark_god_malicna","Lettrice malvagia"
"heroes.name_fancy.dark_god_morax","Tormento degli Inferi"
"heroes.name_fancy.dark_god_september","Assassino miraggio"
"heroes.name_fancy.dark_god_september_costume_engineer","Ingegnere del miraggio"
"heroes.name_fancy.dark_god_seshat","Cacciatrice rianimata"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Alta arciera revenant"
"heroes.name_fancy.dark_god_sir_casmir","Il Guardiano errante"
"heroes.name_fancy.dark_god_turgruk","Segugio feroce"
"heroes.name_fancy.dark_god_uthragan","Abominio tossico"
"heroes.name_fancy.dark_god_viscaro","Druido corrotto"
"heroes.name_fancy.dark_god_zed","Lanciere imperiale"
"heroes.name_fancy.dark_god_zulag","La Valorosa"
"heroes.name_fancy.dwarven_guard","Difensore robusto"
"heroes.name_fancy.dwarven_guard_costume_cute","Difensore cartone"
"heroes.name_fancy.dwarven_guard_costume_glass","Difensore di vetro"
"heroes.name_fancy.dwarven_guard_costume_ram","Difensore inamovibile"
"heroes.name_fancy.dwarven_guard_costume_tavern","Difensore della taverna"
"heroes.name_fancy.dwarven_scout","Lottatore veterano"
"heroes.name_fancy.dwarven_smasher","Sangue caldo"
"heroes.name_fancy.dwarven_smasher_costume_cute","Sangue caldo cartone"
"heroes.name_fancy.dwarven_smasher_costume_glass","Vitrail ardente"
"heroes.name_fancy.dwarven_smasher_costume_smith","Testa calda"
"heroes.name_fancy.dwarwen_brewmaster","Mastro birraio"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Cartone birraio"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Vitrail birraio"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Mastro trituratore"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Maestro intagliatore"
"heroes.name_fancy.easter_archie","Trovatore lama itinerante"
"heroes.name_fancy.easter_archie_costume_gallant","Trovatore lama cortese"
"heroes.name_fancy.easter_chick_jr","Scudiero di Springvale"
"heroes.name_fancy.easter_jasper","Toro fiorista"
"heroes.name_fancy.easter_jasper_costume_fisherman","Toro pescatore"
"heroes.name_fancy.easter_killhare","Protettrice selvaggia di Springvale"
"heroes.name_fancy.easter_killhare_costume_farmer","Contadina suprema"
"heroes.name_fancy.easter_lady_woolerton","Riparatrice di Springvale"
"heroes.name_fancy.easter_miss_ethel","Protettrice di Springvale"
"heroes.name_fancy.easter_sadie","Anatra dispettosa"
"heroes.name_fancy.easter_sir_roostley","Possente cavaliere di Springvale"
"heroes.name_fancy.easter_timothy","Il maialino coraggioso"
"heroes.name_fancy.easter_viscount_cluckwood","Occultista di Springvale"
"heroes.name_fancy.elemental_aconia","Canaglia cibernetica"
"heroes.name_fancy.elemental_aconia_costume_courier","Corriere cibernetico"
"heroes.name_fancy.elemental_alfie","Giullare elementale"
"heroes.name_fancy.elemental_anzia","Salvatrice galattica"
"heroes.name_fancy.elemental_anzia_costume_jailer","Carceriera galattica"
"heroes.name_fancy.elemental_ash","Cacciatore di taglie feroce"
"heroes.name_fancy.elemental_ash_costume_savage","Cacciatore di taglie selvaggio"
"heroes.name_fancy.elemental_craum","Sciamano elementale"
"heroes.name_fancy.elemental_craum_costume_occultist","Occultista elementale"
"heroes.name_fancy.elemental_desmond","Alchimista delle lame"
"heroes.name_fancy.elemental_desmond_costume_assassin","Lama assassina"
"heroes.name_fancy.elemental_doxan","Lama al plasma esiliata"
"heroes.name_fancy.elemental_doxan_costume_hacker","Hacker del plasma in esilio"
"heroes.name_fancy.elemental_farrah","Maestra della lama supersonica"
"heroes.name_fancy.elemental_farrah_costume_cyber","Maestro di lama cibernetica"
"heroes.name_fancy.elemental_gastille","Pericolo multidimensionale"
"heroes.name_fancy.elemental_gastille_costume_sporty","Pericolo sportivo"
"heroes.name_fancy.elemental_griffex","Modificatore della realtà"
"heroes.name_fancy.elemental_griffex_costume_camera","Modificatore di Obscura"
"heroes.name_fancy.elemental_grilka","Quartiermastro ospitale"
"heroes.name_fancy.elemental_grilka_costume_treasure","Quartiermastro prezioso"
"heroes.name_fancy.elemental_ignazio","Conduttore di fiamme"
"heroes.name_fancy.elemental_ignazio_costume_medic","Chirurgo di fuoco"
"heroes.name_fancy.elemental_ironmaw","Signore della guerra degli Orchi Incrollabili"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Signore della guerra della Legione"
"heroes.name_fancy.elemental_jequn","L'enigma cosmico"
"heroes.name_fancy.elemental_jequn_costume_gilded","L'enigma dorato"
"heroes.name_fancy.elemental_jolt","Navigatore elettrico"
"heroes.name_fancy.elemental_jolt_costume_mythic","Navigatore mitico"
"heroes.name_fancy.elemental_lexi","Artigiana dell'energia elementale"
"heroes.name_fancy.elemental_linus","Detenuto spensierato"
"heroes.name_fancy.elemental_niki","Maestra di falce del Mare oscuro"
"heroes.name_fancy.elemental_niki_costume_music","Maestra di falce della musica"
"heroes.name_fancy.elemental_nova","Collezionista di spiriti del fuoco"
"heroes.name_fancy.elemental_nylora","Assassina a sangue freddo"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Assassino ingioiellato"
"heroes.name_fancy.elemental_quinn","Chef cosmico"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Alchimista cosmico"
"heroes.name_fancy.elemental_roz","Tiratrice scelta naturale"
"heroes.name_fancy.elemental_roz_costume_disco","Tiratrice scelta da discoteca"
"heroes.name_fancy.elemental_vander","Capitano cyborg"
"heroes.name_fancy.elemental_vander_costume_clown","Capitano clown"
"heroes.name_fancy.elemental_xandrella","Signora delle creazioni elementali"
"heroes.name_fancy.elemental_xandrella_costume_idol","Idolo delle creazioni elementali"
"heroes.name_fancy.elemental_xavier","Specialista della doppia lama"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Artropode a doppia lama"
"heroes.name_fancy.elemental_zandria","Difensore dello spazio-tempo"
"heroes.name_fancy.elemental_zandria_costume_planet","Difensore delle galassie"
"heroes.name_fancy.elemental_zaria","Sensitiva a tre occhi"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Incantatore a tre occhi"
"heroes.name_fancy.elemental_zengar","Bestia universale"
"heroes.name_fancy.elemental_zengar_costume_farmer","Bestia coltivatrice"
"heroes.name_fancy.elemental_zione","Esperta di consegne meccanizzata"
"heroes.name_fancy.elemental_zuni","Elfo su hoverboard"
"heroes.name_fancy.elemental_zuni_costume_mage","Mago  su hoverboard"
"heroes.name_fancy.elven_archer","Cuore nobile"
"heroes.name_fancy.elven_archer_costume_cute","Cartone nobile"
"heroes.name_fancy.elven_archer_costume_glass","Vitrail nobile"
"heroes.name_fancy.elven_archer_costume_moon","La Nobile Guardiana"
"heroes.name_fancy.elven_archer_costume_raven","Il Nobile Corvo"
"heroes.name_fancy.elven_captain","Veterano elfico"
"heroes.name_fancy.elven_captain_costume_cavalier","Cavaliere elfico"
"heroes.name_fancy.elven_captain_costume_cute","Elfo cartone"
"heroes.name_fancy.elven_captain_costume_glass","Vitrail elfico"
"heroes.name_fancy.elven_captain_costume_mask","Vendicatore elfico"
"heroes.name_fancy.exalted_female_statue","Antica della pietra"
"heroes.name_fancy.exalted_female_statue_costume_cute","Cartone della pietra"
"heroes.name_fancy.exalted_female_statue_costume_glass","Vitrail della pietra"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Antica del sole"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Antica delle spine"
"heroes.name_fancy.exalted_warrior","Antico di ghiaccio"
"heroes.name_fancy.exalted_warrior_costume_cute","Cartone di ghiaccio"
"heroes.name_fancy.exalted_warrior_costume_glass","Vitrail di ghiaccio"
"heroes.name_fancy.exalted_warrior_costume_ice","Monolite di ghiaccio"
"heroes.name_fancy.exalted_warrior_costume_underworld","Antico degli Inferi"
"heroes.name_fancy.fables_boss_wolf","Governatore di Tetrobosco"
"heroes.name_fancy.fables_cinderella","Domestica di Tetrobosco"
"heroes.name_fancy.fables_frog_prince","Erede al trono"
"heroes.name_fancy.fables_gnomer","Sentinella di Tetrobosco"
"heroes.name_fancy.fables_gretel","Assassino di streghe di Tetrobosco"
"heroes.name_fancy.fables_hansel","Cacciatore di streghe di Tetrobosco"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Cacciatore di vampiri di Tetrobosco"
"heroes.name_fancy.fables_pixie","Spiritello di Tetrobosco"
"heroes.name_fancy.fables_puss_in_boots","Gatto di Tetrobosco"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Gatto della strada mascherato"
"heroes.name_fancy.fables_red_hood","Protettore di Tetrobosco"
"heroes.name_fancy.fables_rumpelstiltskin","Giullare di Tetrobosco"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Imbroglione eterno"
"heroes.name_fancy.fables_snow_white","Principessa di Tetrobosco"
"heroes.name_fancy.fables_snow_white_costume_slayer","Principessa assassina"
"heroes.name_fancy.faun_araminta","Fauna guerriera terribile"
"heroes.name_fancy.faun_ascian","Fauno profeta onniveggente"
"heroes.name_fancy.faun_bramble","Fauno giardiniere gentile"
"heroes.name_fancy.faun_gideon","Fauno comandante coraggioso"
"heroes.name_fancy.faun_isidore","Fauno campione carismatico"
"heroes.name_fancy.faun_jolyon","Fauno armeggiatore meditabondo"
"heroes.name_fancy.faun_maud","Fauna alchimista ambiziosa"
"heroes.name_fancy.faun_myrtle","Fauna erborista scontrosa"
"heroes.name_fancy.faun_peregrine","Fauno esploratore spericolato"
"heroes.name_fancy.faun_philomena","Fauna menestrella ipnotica"
"heroes.name_fancy.faun_saskia","Fauna danzatrice dalle zampe veloci"
"heroes.name_fancy.faun_tamlin","Fauno flautista inquietante"
"heroes.name_fancy.faun_verity","Fauna mercante misteriosa"
"heroes.name_fancy.faun_yolanda","Fauna veggente sanguinaria"
"heroes.name_fancy.faun_ysabel","Fauna gladiatrice impavida"
"heroes.name_fancy.fire_god_andre","Il Templare tradito"
"heroes.name_fancy.fire_god_anzogh","Sciamano rancoroso"
"heroes.name_fancy.fire_god_ares","Divinità della guerra"
