"specials.name.a_cozy_break","Istirahat yang Nyaman"
"specials.name.age_old_antlers","Tanduk Rusa Tua"
"specials.name.aggravating_gaze","Tatapan Memburuk"
"specials.name.alchemy_experiment","Eksperimen Alkimia"
"specials.name.alpha_roar","Raungan Alfa"
"specials.name.amazing_deals","Promo Hebat"
"specials.name.amazing_deals_clearance_sale","Obral Cuci Gudang"
"specials.name.amazing_deals_dull_swords","Pedang Tumpul"
"specials.name.amazing_deals_questionable_snake_oil","Minyak Ular Meragukan"
"specials.name.amphibian_sword_sting","Sengatan Pedang Amfibi"
"specials.name.amphibious_assault","Serangan Amfibi"
"specials.name.ancient_dragon_sword","Pedang Naga Kuno"
"specials.name.ancient_enchantment","Tenung Kuno"
"specials.name.ancient_flames","Api Kuno"
"specials.name.ancient_martial_arts","Seni Bela Diri Kuno"
"specials.name.ancient_mirror","Cermin Kuno"
"specials.name.ancient_ritual","Ritual Kuno"
"specials.name.ancient_spell","Mantra Kuno"
"specials.name.ancient_technology","Teknologi Kuno"
"specials.name.ancient_vengeance","Dendam Kuno"
"specials.name.anger_of_forest","Amarah Hutan"
"specials.name.anger_of_the_jester","Amarah Badut"
"specials.name.anger_of_the_woods","Kemarahan Hutan"
"specials.name.anger_of_the_woods_pve","Kemarahan Hutan"
"specials.name.angry_boar","Bagong Berang"
"specials.name.angry_boar_pve","Bagong Berang"
"specials.name.anthem_of_the_lake","Lagu Kebangsaan Danau"
"specials.name.aphotic_maw","Perut Apotek"
"specials.name.aphotic_whisper","Bisikan Afotik"
"specials.name.apothecary_kit","Alat Apoteker"
"specials.name.aquatic_dance","Tarian Air"
"specials.name.aquatic_outbreak","Wabah Akuatik"
"specials.name.arcane_blast","Ledakan Gaib"
"specials.name.arcane_shock","Kejutan Gaib"
"specials.name.archaic_dread","Ketakutan Kuno"
"specials.name.archaic_sacred_symbol","Simbol Suci Kuno"
"specials.name.arctic_breeze","Angin Arktik"
"specials.name.arctic_guard","Penjaga Arktik"
"specials.name.arctic_veil","Tabir Arktik"
"specials.name.arctic_wound","Luka Arktik"
"specials.name.arrow_of_desire","Panah Gairah"
"specials.name.arrow_of_nujalik","Panah Nujalik"
"specials.name.arrows_and_claws","Panah dan Cakar"
"specials.name.arrows_of_altruism_liora","Panah Altruisme"
"specials.name.arrows_of_frost","Panah Beku"
"specials.name.arrows_of_fury","Panah Amarah"
"specials.name.artful_backstab","Tikam Belakang yang Berseni"
"specials.name.artful_recreation","Memperbaiki Mahakarya"
"specials.name.artisans_shot","Tembakan Artisan"
"specials.name.ashes_to_ashes","Abu ke Abu"
"specials.name.assassins_blades","Pisau Pembunuh"
"specials.name.assassins_in_the_night","Pembunuh di Malam Hari"
"specials.name.assassins_in_the_night_pve","Pembunuh di Malam Hari"
"specials.name.asterius","Balap Banteng Brutal"
"specials.name.astral_assistance","Bantuan Astral"
"specials.name.astral_brew","Buatan Astral"
"specials.name.astral_dominion","Kekuasaan Astral"
"specials.name.astral_gemstones","Batu Permata Astral"
"specials.name.astral_myrrh","Mur Astral"
"specials.name.astral_orb","Bola Astral"
"specials.name.astral_pastries","Pastri Astral"
"specials.name.astral_provocation","Provokasi Astral"
"specials.name.astral_summon","Panggilan Astral"
"specials.name.athenas_arrow","Panah Athena"
"specials.name.athenas_bow","Busur Athena"
"specials.name.atlantean_blade","Pedang Atlantis"
"specials.name.atlantean_blade_costume","Bilah Atlantis"
"specials.name.atlantean_charge","Serangan Atlantis"
"specials.name.atlantean_toon_spear","Tombak Toon Atlantis"
"specials.name.atlantean_toon_sword","Pedang Toon Atlantis"
"specials.name.attack_rally","Seruan Penyerangan"
"specials.name.aura_of_twilight","Aura Senja"
"specials.name.aura_wave","Gelombang Aura"
"specials.name.autumnal_wind","Angin Musim Gugur"
"specials.name.avenger_of_mothkind","Pembalas Umat Ngengat"
"specials.name.awaken_ki","Ki Terbangkitkan"
"specials.name.awe_bolt","Ledakan Petir Beracun"
"specials.name.axe_of_retribution","Kapak Pembalasan"
"specials.name.axe_throw","Lempar Kapak"
"specials.name.azurelight_greatsword","Pedang Besar Sinar Azurit"
"specials.name.backstab","Tikam Belakang"
"specials.name.bad_fortune","Tidak Beruntung"
"specials.name.bag_of_necessities","Tas Kebutuhan"
"specials.name.bagh_nakh_thrust","Tusukan Bagh Nakh"
"specials.name.bakers_baguettes","Baget Tukang Roti"
"specials.name.balanced_teamwork","Kerja Tim Seimbang"
"specials.name.ballad_of_attraction","Balada Ketertarikan"
"specials.name.ballad_of_condemnation","Balada Kutukan"
"specials.name.ballad_of_obsession","Balada Obsesi"
"specials.name.ballad_of_pain","Balada Rasa Sakit"
"specials.name.ballad_of_passion","Balada Gairah"
"specials.name.ballad_of_purple_swan","Balada Angsa Gelap"
"specials.name.ballad_of_restoration","Balada Restorasi"
"specials.name.ballad_of_the_purple_swan","Balada Angsa Gelap"
"specials.name.bandalore_dance","Tari Bandalore"
"specials.name.barb_sting_dragon_pve","Sengatan Berduri"
"specials.name.barbed_arrows","Panah Berduri"
"specials.name.barbed_bolt_zidane","Petir Berduri"
"specials.name.bark_of_protection","Kulit Perlindungan"
"specials.name.basilisk_breath","Napas Basilisk"
"specials.name.battering_ram","Balok Penggempur"
"specials.name.battle_boast","Membanggakan Pertempuran"
"specials.name.battleclaw_strike","Serangan Cakar Pertempuran"
"specials.name.beach_party","Pesta Pantai"
"specials.name.beautiful_petals","Kelopak Indah"
"specials.name.bee_bombast","Lebah Bombast"
"specials.name.bee_bravado","Nyali Lebah"
"specials.name.beetle_strike","Serangan Kumbang"
"specials.name.berserker_strike","Serangan Pengamuk"
"specials.name.bewildering_riddle","Teka-teki Memusingkan"
"specials.name.bewitched_daggers","Belati Tersihir"
"specials.name.binding_contract","Kontrak Mengikat"
"specials.name.birch_blessing","Berkat Birch"
"specials.name.bite_of_protection","Gigitan Perlindungan"
"specials.name.bites_of_disorientation","Gigitan Disorientasi"
"specials.name.bitter_berry_blast_dragon_pve","Ledakan Beri Pahit"
"specials.name.bizarre_mist","Kabut Aneh"
"specials.name.black_tassel_spear_sting","Sengatan Tombak Rumbai Hitam"
"specials.name.black_tide","Ombak Hitam"
"specials.name.blade_barrage","Rentetan Pedang"
"specials.name.blade_dance","Pedang di Lantai Dansa"
"specials.name.blade_of_betrayal","Pedang Pengkhianatan"
"specials.name.blade_of_bundelkhand","Pedang Bundelkhand"
"specials.name.blade_of_horrid_affliction","Pedang Penderitaan Mengerikan"
"specials.name.blade_tail_swipe","Sapuan Ekor Pedang"
"specials.name.blade_venom","Pedang Berbisa"
"specials.name.blade_wings","Sayap Bilah"
"specials.name.blazing_beak","Paruh Membara"
"specials.name.blazing_corolla","Korola Membara"
"specials.name.blazing_inferno","Inferno Membara"
"specials.name.blazing_rave_dance","Tarian Sambutan Membara"
"specials.name.blazing_slam_dunk","Slam Dunk Membara"
"specials.name.blazing_venom","Bisa Membara"
"specials.name.bleed_inducing_daggers","Belati Penginduksi Berdarah"
"specials.name.bleeding_edge","Bilah Berdarah"
"specials.name.bleeding_hammer","Palu Berdarah"
"specials.name.bleeding_stab","Tikaman Berdarah"
"specials.name.bleeding_thrust","Tusukan Berdarah"
"specials.name.blessed_blade","Pedang Terberkati"
"specials.name.blessed_blade_pve","Pedang Terberkati"
"specials.name.blessed_brew","Ramuan Berkah"
"specials.name.blessed_solo","Tunggal Berkah"
"specials.name.blessed_tankard","Gelas Terberkati"
"specials.name.blessing_from_the_future","Berkat dari Masa Depan"
"specials.name.blessing_of_gjallarhorn","Berkat Gjallarhorn"
"specials.name.blessing_of_the_evergrove","Berkat dari Evergrove"
"specials.name.blessing_of_the_skies","Berkat dari Langit"
"specials.name.blind_rage","Kemarahan Membutakan"
"specials.name.blinding_attack","Serangan Membutakan"
"specials.name.blinding_curse","Kutukan Membutakan"
"specials.name.blinding_flash","Kilat Membutakan"
"specials.name.blinding_flash_s4","Kilat Membutakan"
"specials.name.blinding_injustice","Ketidakadilan Membutakan"
"specials.name.blinding_knowledge","Pengetahuan Membutakan"
"specials.name.blinding_light","Cahaya Membutakan"
"specials.name.blinding_orb","Bola Membutakan"
"specials.name.blinding_pounce","Terjangan Membutakan"
"specials.name.blinding_spell","Mantra Membutakan"
"specials.name.blinding_spit","Ludah Membutakan"
"specials.name.blinding_stinger","Penyengat Membutakan"
"specials.name.blinding_strike","Serangan Membutakan"
"specials.name.blinding_wisdom","Kebijaksanaan Membutakan"
"specials.name.blizzard","Badai Salju"
"specials.name.blizzard_roar","Raungan Badai Salju"
"specials.name.blob_of_fury","Gumpalan Amarah"
"specials.name.blood_illusion","Ilusi Darah"
"specials.name.blood_petals_of_the_withered","Kelopak Darah"
"specials.name.blood_sacrifice","Serangan Darah"
"specials.name.bloodthirst","Haus Darah"
"specials.name.blooming_growth","Pertumbuhan Mekar"
"specials.name.bludgeoning","Memukul dengan Tongkat"
"specials.name.blue_lizard_charge","Serangan Kadal Kamuflase Biru"
"specials.name.blue_shroom_wand","Tongkat Jamur Biru"
"specials.name.blur_of_steel","Kekaburan Besi"
"specials.name.blur_of_steel_pve","Kekaburan Besi"
"specials.name.boar_call","Panggilan Celeng"
"specials.name.boar_charge","Serangan Celeng"
"specials.name.boar_of_fury","Celeng Amarah"
"specials.name.boat_ride_from_the_beyond","Feri dari Luar"
"specials.name.bobo_blitz","Bombardir Bobo"
"specials.name.bolstering_rush","Serangan Pendukung"
"specials.name.bond_of_avarice","Ikatan Avarice"
"specials.name.bone_arrow","Panah Tulang"
"specials.name.bone_club_clonk","Pukulan Tongkat Tulang"
"specials.name.bone_club_party","Pesta Klub Tulang"
"specials.name.bone_ritual","Ritual Tulang"
"specials.name.bone_slam","Bantingan Tulang"
"specials.name.bone_toss","Tulang Terbang"
"specials.name.booming_mend","Perbaikan Populer"
"specials.name.boon_of_gjallarhorn","Anugerah Gjallarhorn"
"specials.name.boopstrike","Boopstrike"
"specials.name.boreal_bash","Tamparan Keras Boreal"
"specials.name.boulder_smash","Dobrakan Batu"
"specials.name.bound_by_knowledge","Terikat Pengetahuan"
"specials.name.bound_by_tales","Terikat Dongeng"
"specials.name.bounty_of_the_spring","Karunia Musim Semi"
"specials.name.bouquet_of_the_seas","Buket Lautan"
"specials.name.brain_link","Tautan-Otak"
"specials.name.branded_by_fire","Dicap dengan Api"
"specials.name.break_free","Bebas Lepas"
"specials.name.break_strike","Pukulan Pendobrak"
"specials.name.breaker_blade","Pedang Pemecah"
"specials.name.breaker_blade_pve","Pedang Pemecah"
"specials.name.breath_of_darkness","Napas Kegelapan"
"specials.name.breath_of_life","Napas Kehidupan"
"specials.name.breath_of_the_abyss","Napas Jurang"
"specials.name.brides_kiss","Kecupan Pengantin"
"specials.name.brilliant_brew","Sake Brilian"
"specials.name.brilliant_sweep_dragon_pve","Sapuan Brilian"
"specials.name.bringer_of_order","Pembawa Ketertiban"
"specials.name.brittling_burst","Ledakan Merapuhkan"
"specials.name.brittling_force","Kekuatan Merapuhkan"
"specials.name.brittling_strike","Serangan Merapuhkan"
"specials.name.bruiser_bros","Bramacorah Bersaudara"
"specials.name.brutal_bull_rush","Balap Banteng Brutal"
"specials.name.brutal_support","Dukungan Brutal"
"specials.name.buccaneers_blade","Pedang Perompak"
"specials.name.bugs_shell","Cangkang Serangga"
"specials.name.building_blocks_bulklug","Blok Bangunan"
"specials.name.bulwark_charge","Serangan Benteng"
"specials.name.burning_ashes","Abu Berkobar"
"specials.name.burning_ashes2","Abu Berkobar"
"specials.name.burning_chains","Rantai Berkobar"
"specials.name.burning_claws_dragon_pve","Cakar Berkobar"
"specials.name.burning_javelin","Lembing Berkobar"
"specials.name.burning_pollen_dragon_pve","Sayap Api"
"specials.name.burning_shields","Perisai Berkobar"
"specials.name.burning_spin","Putaran Berkobar"
"specials.name.burning_strike","Serangan Berkobar"
"specials.name.burning_thread","Benang Berkobar"
"specials.name.burning_wok","Wajan Berkobar"
"specials.name.but_a_scratch","Bukan Goresan"
"specials.name.butterfly_swarm","Kawanan Kupu-Kupu"
"specials.name.call_of_the_elements","Panggilan Elemen"
"specials.name.call_to_arms","Panggilan Senjata"
"specials.name.calling_the_bluff","Menantang Kesombongan"
"specials.name.calm_jab_dragon_pve","Tusukan Tenang"
"specials.name.calming_mist","Kabut Menenangkan"
"specials.name.camouflage_foliage","Dedaunan Kamuflase"
"specials.name.candy_vines","Anggur Permen"
"specials.name.cannon_blast","Ledakan Meriam"
"specials.name.cannonball_splash","Percikan Bola Meriam"
"specials.name.capsicum_charge","Serangan Cabai"
"specials.name.captains_cutlass","Pedang Pendek Kapten"
"specials.name.captivating_illusions","Ilusi Menawan"
"specials.name.carnivore_garden","Kebun Karnivora"
"specials.name.carve_a_hole","Pelubang"
"specials.name.carve_the_bones","Ukir Tulangnya"
"specials.name.cascading_darkness","Kaskade Kegelapan"
"specials.name.cascading_whirlwind","Aliran Tornado"
"specials.name.cataclysmic_divination","Ramalan Bencana"
"specials.name.catnip_fury","Amarah Kucingan"
"specials.name.cauterizing_flame","Api Membakar"
"specials.name.cauterizing_touch","Sentuhan Membakar"
"specials.name.cavalier_hat_of_dark_realm","Topi Cavalier Area Gelap"
"specials.name.celestial_anvil","Landasan Surgawi"
"specials.name.ceremonial_dance","Tarian Seremonial"
"specials.name.ceremonial_katar","Katar Seremonial"
"specials.name.chain_blasm_strike","Serangan Ledak Berantai"
"specials.name.chain_lightning","Petir Berantai"
"specials.name.chain_of_pain","Rantai Kesakitan"
"specials.name.chain_strike","Serangan Rantai"
"specials.name.chains_of_legion","Rantai Legiun"
"specials.name.chains_of_light","Rantai Cahaya"
"specials.name.chakram_kick","Tendangan Cakram"
"specials.name.challenge_the_strongest","Menantang yang Terkuat"
"specials.name.champion_maneuver","Manuver Juara"
"specials.name.championship_carrot","Wortel Kejuaraan"
"specials.name.change_stance","Sabetan Penjudi"
"specials.name.channel_ki","Salurkan Ki"
"specials.name.channeler_of_the_cats","Penyalur Kucing"
"specials.name.channeler_of_the_gods","Penyalur Para Dewa"
"specials.name.chaos_bolt_volley","Voli Petir Kekacauan"
"specials.name.chaos_venom","Bisa Kekacauan"
"specials.name.charged_fireball_dragon_pve","Bola Api Berisi"
"specials.name.charm_of_protection","Mantra Perlindungan"
"specials.name.charmed_dual_blade","Pedang Ganda Tersihir"
"specials.name.charmers_blades","Pedang Pemikat"
"specials.name.cheerful_charm","Mantra Ceria"
"specials.name.cheese_wheel_rampage","Amukan Roda Keju"
"specials.name.cherry_pudding_served","Puding Ceri Disajikan!"
"specials.name.chieftains_vengeance","Pembalasan Kepala Suku"
"specials.name.chilling_counterattack","Serangan Balik yang Dingin"
"specials.name.chilling_slash","Percikan Dingin"
"specials.name.chitin_cage","Kandang Kitin"
"specials.name.chords_of_distortion","Akor Distorsi"
"specials.name.chords_of_havoc","Akor Malapetaka"
"specials.name.chords_of_inferno","Akor Inferno"
"specials.name.claw_power","Amarah Goblin"
"specials.name.claw_swipe","Sapuan Cakar"
"specials.name.claws_of_fury","Cakar Amarah"
"specials.name.claws_of_the_hunter","Cakar Pemburu"
"specials.name.claws_of_the_lioness","Cakar Singa Betina"
"specials.name.claws_of_the_night","Cakar Malam"
"specials.name.claws_of_the_night_ultimate_boss","Cakar Malam"
"specials.name.cleansing_determination","Determinasi Membersihkan"
"specials.name.cleansing_determination_pve","Determinasi Membersihkan"
"specials.name.cleansing_strike","Serangan Pembersih"
"specials.name.cleave_and_reflect","Belah dan Renungkan"
"specials.name.cleave_counter","Tangkis dan Balas"
"specials.name.clever_stratagem","Siasat Cerdik"
"specials.name.cloak_of_feathers","Jubah Bulu"
"specials.name.close_order_formation","Formasi Ordo Tertutup"
"specials.name.cloth_of_constellations","Kain Konstelasi"
"specials.name.cloud_axe","Kapak Awan"
"specials.name.cloud_hammer","Palu Awan"
"specials.name.clowns_blessing","Berkat Badut"
"specials.name.coiling_whip","Cambuk Melingkar"
"specials.name.coins_of_pain","Koin Rasa Sakit"
"specials.name.cold_blast","Badai Salju"
"specials.name.cold_blast_single","Ledakan Dingin"
"specials.name.cold_command","Perintah Dingin"
"specials.name.cold_fire","Api Dingin"
"specials.name.colossal_bite","Gigitan Kolosal"
"specials.name.colossal_carry","Membawa Kolosal"
"specials.name.colossal_chops","Potongan Kolosal"
"specials.name.comet","Sinar Terik"
"specials.name.command_pack","Komando Sekumpulan"
"specials.name.command_sand_golems","Komando Golem Pasir"
"specials.name.command_to_advance","Komando untuk Maju"
"specials.name.command_to_advance_costume_fire_bat","Perintah untuk Maju"
"specials.name.commanders_gauntlet","Sarung Tangan Komandan"
"specials.name.commodores_malice","Kejahatan sang Komodor"
"specials.name.commodores_revenge","Pembalasan sang Komodor"
"specials.name.compact_lance","Tombak Ringkas"
"specials.name.concussive_charge","Serangan Membingungkan"
"specials.name.confident_strategy","Strategi Percaya Diri"
"specials.name.conjure_the_azure_spirit","Memunculkan Roh Azurit"
"specials.name.connect_ki","Hubungkan Ki"
"specials.name.connect_ki_pve","Hubungkan Ki"
"specials.name.conquerors_command","Perintah Penakluk"
"specials.name.constellation_crush","Penghancuran Konstelasi"
"specials.name.corals_of_nourishment","Koral Gizi"
"specials.name.core_beam","Sinar Inti"
"specials.name.core_blast","Ledakan Inti"
"specials.name.core_burst","Inti Meledak"
"specials.name.corroding_cutlass","Pedang Berkarat"
"specials.name.corrosive_acid","Asam Korosif"
"specials.name.corrosive_burn_claws_dragon_pve","Cakar Membakar Korosif"
"specials.name.corrosive_claws_dragon_pve","Cakar Beracun Korosif"
"specials.name.corrosive_pollen","Polen Korosif"
"specials.name.corrupting_idol","Berhala Merusak"
"specials.name.cosmic_clock","Jam Kosmis"
"specials.name.cosmic_devotion","Pengabdian Kosmik"
"specials.name.countering_hammock","Buaian Penangkal"
"specials.name.counterstance","Sikap Kontra"
"specials.name.couriers_dash","Larinya Kurir"
"specials.name.cover_slam","Bantingan Lindungi"
"specials.name.covert_stab","Tikaman Tanpa Sesal"
"specials.name.cracked_skull_strike","Serangan Tengkorak Retak"
"specials.name.crawling_vines","Sulur Merambat"
"specials.name.crazed_lunge","Terjangan Gila"
"specials.name.crazed_stampede","Derap Gila"
"specials.name.creative_hands","Tangan Kreatif"
"specials.name.creeping_venom","Bisa Menjalar"
"specials.name.creeping_vines","Tanaman Sulur Menjalar"
"specials.name.crescent_moon_strike","Serangan Bulan Sabit"
"specials.name.crescent_shield","Perisai Sabit"
"specials.name.crescent_spear","Tombak Sabit"
"specials.name.crimson_blade","Bilah Merah"
"specials.name.crimson_calamity","Bencana Merah"
"specials.name.crimson_calamity2","Bencana Merah"
"specials.name.crimson_hunt","Berburu Merah"
"specials.name.crippling_claws","Cakar Melumpuhkan"
"specials.name.crippling_claws_pve","Cakar Melumpuhkan"
"specials.name.crippling_grapple","Gulat Melumpuhkan"
"specials.name.critical_cookout","Masakan Kritis"
"specials.name.critical_tactics","Taktik Kritis"
"specials.name.croc_bite","Gigitan Buaya"
"specials.name.crush_of_avarice","Peremukan Avarice"
"specials.name.crush_of_hel","Peremukan Hel"
"specials.name.crush_of_malice","Peremukan Kebencian"
"specials.name.crush_of_toon_hel","Peremukan Toon Hel"
"specials.name.crushing_claws","Cakar Peremuk"
"specials.name.crushing_shot","Tembakan Peremuk"
"specials.name.crust_of_divinity","Kerak Keilahian"
"specials.name.cry_for_absolution","Jeritan untuk Absolusi"
"specials.name.crystal_barrage","Rentetan Kristal"
"specials.name.crystal_bombardment","Pengeboman Kristal"
"specials.name.crystal_embrace","Pelukan Kristal"
"specials.name.crystalis","Kristal Pembeku"
"specials.name.crystalline_strike","Serangan Kristalin"
"specials.name.cub_leader_cut","Irisan Pemimpin Anak"
"specials.name.cube_of_dark_realm","Kubus Area Gelap"
"specials.name.cult_of_arachnid","Kultus Arakhnida"
"specials.name.cunning_knife","Pisau Licik"
"specials.name.cup_of_mead","Cangkir Madu"
"specials.name.curse_of_sargasso","Kutukan Sargasso"
"specials.name.curse_of_the_cephaloid","Kutukan Cephaloid"
"specials.name.curse_of_the_depths","Kutukan Palung"
"specials.name.curse_of_the_sea","Kutukan Laut"
"specials.name.curse_of_the_specter","Kutukan Momok"
"specials.name.curse_of_the_specter_pve","Kutukan Momok"
"specials.name.cursed_fumes","Uap Terkutuk"
"specials.name.cursed_fumes2","Uap Terkutuk"
"specials.name.cursed_garden","Taman Terkutuk"
"specials.name.cursed_painting","Lukisan Terkutuk"
"specials.name.cursed_plan","Rencana Terkutuk"
"specials.name.cursed_strike","Serangan Terkutuk"
"specials.name.cursed_tail_whip","Sabetan Ekor Terkutuk"
"specials.name.cut_cure_and_craze","Iris, Sembuhkan, dan Gila"
"specials.name.cut_down_the_competition","Mengurangi Kompetisi"
"specials.name.cuts_of_hulu","Irisan Hulu"
"specials.name.dagger_of_shadows","Pisau Bayangan"
"specials.name.dance_of_fire","Tarian Api"
"specials.name.dance_of_flame","Tarian Nyala"
"specials.name.dance_of_glass","Tarian Kaca"
"specials.name.dance_of_ignition","Tarian Pantik"
"specials.name.dance_of_siegfried","Tarian Siegfried"
"specials.name.dance_of_spirits","Tarian Arwah"
"specials.name.dance_of_the_dunes","Tarian Bukit Pasir"
"specials.name.dance_of_the_heron","Tarian Bangau"
"specials.name.dance_of_the_little_swan","Tarian Angsa Kecil"
"specials.name.dance_of_the_queen","Tarian Ratu"
"specials.name.dance_of_the_raven","Tarian Angsa Hitam"
"specials.name.dance_of_the_slimy","Tarian Lendir"
"specials.name.dance_of_the_swan","Tarian Angsa"
"specials.name.dance_of_the_yellow_swan","Tarian Angsa Terang"
"specials.name.dance_of_toons","Tarian Toon"
"specials.name.dancestance","Sikap Menari"
"specials.name.dancing_dodge","Tarian Kelitan"
"specials.name.dancing_slash","Tarian Pedang"
"specials.name.dantes_inferno","Inferno Dante"
"specials.name.dark_barrage","Rentetan Kegelapan"
"specials.name.dark_bolt","Sambaran Gelap"
"specials.name.dark_lord","Serangan Kiamat"
"specials.name.dark_mirror","Cermin Bara"
"specials.name.dark_orb","Bola Gelap"
"specials.name.dark_shock","Kejutan Gelap"
"specials.name.darts_of_the_deep","Anak Panah dari Kedalaman"
"specials.name.dauntless_bladestorm","Badai Pedang Gigih"
"specials.name.dawn_strike","Serangan Subuh"
"specials.name.dawnlight_rally","Reli Fajar"
"specials.name.day_of_judgement","Hari Penghakiman"
"specials.name.day_of_reckoning","Hari Perhitungan"
"specials.name.dazzling_gleam","Kilau Memesona"
"specials.name.dazzling_grin","Cengiran Memesona"
"specials.name.dazzling_sweep_dragon_pve","Sapuan Memesona"
"specials.name.deadly_claw","Cakar Maut"
"specials.name.deadly_constriction","Konstriksi Mematikan"
"specials.name.deadly_riposte","Balasan Mematikan"
"specials.name.deadly_sting","Sengatan Mematikan"
"specials.name.deathly_glaive","Pedang Mematikan"
"specials.name.deathstrike","Serangan Mematikan"
"specials.name.debt_drain_boboosang","Pengurasan Utang"
"specials.name.deceiving_glow","Kilau Menipu"
"specials.name.deceptive_smalltalk","Obrolan Kecil Menipu"
"specials.name.deep_sea_ritual","Ritual Laut Dalam"
"specials.name.defensive_tactics","Taktik Bertahan"
"specials.name.delay_the_inevitable","Penundaan yang Tak Terelakkan"
"specials.name.delicious_demise","Kematian yang Lezat"
"specials.name.delicious_idol","Idola Lezat"
"specials.name.demolishing_crush","Remukan Menghancurkan"
"specials.name.demoralizing_banter","Penghancur Semangat"
"specials.name.depth_blast","Ledakan Kedalaman"
"specials.name.deranged_existence","Eksistensi Edan"
"specials.name.desert_blessing","Berkat Gurun"
"specials.name.destructive_strike","Tikaman Trisula"
"specials.name.deteriorating_morale","Moral Memburuk"
"specials.name.devastating_slash","Sabetan Penghancur"
"specials.name.devastating_thrust","Tusukan Penghancur"
"specials.name.dewling_strike","Serangan Kelupas"
"specials.name.dewling_sweep","Sapuan Kelupas"
"specials.name.dewling_warcry","Jeritan Perang Kelupas"
"specials.name.dig_a_hole","Gali Lubang"
"specials.name.dinner_with_the_beast","Makan Malam dengan si Buruk Rupa"
"specials.name.dire_ghost","Arwah Ngeri"
"specials.name.directors_blessing","Berkat Direktur"
"specials.name.directors_blessing_pve","Berkat Direktur"
"specials.name.disabling_decree","Menonaktifkan Dekret"
"specials.name.disabling_study","Studi Melumpuhkan"
"specials.name.disarming_gaze_dragon_pve","Tatapan Melucuti"
"specials.name.disheartening_riddle","Teka-teki yang Mengecewakan"
"specials.name.dishonorable_ploy","Cara Tak Terhormat"
"specials.name.disir_of_dreams","Dísir Impian"
"specials.name.disir_of_dusk","Dísir Petang"
"specials.name.dispelling_curse","Kutukan Mengenyahkan"
"specials.name.dispelling_judgement","Penghakiman Mengenyahkan"
"specials.name.dispelling_potion","Ramuan Mengenyahkan"
"specials.name.dispelling_strike","Serangan Mengenyahkan"
"specials.name.dispelling_willpower","Tekad Mengenyahkan"
"specials.name.dispelling_willpower_pve","Tekad Mengenyahkan"
"specials.name.disquieting_tune","Nada Meresahkan"
"specials.name.disrupting_charge","Serangan Mengganggu"
"specials.name.disrupting_charge_costume_tiger_lord","Serangan Menghancurkan"
"specials.name.divine_connection","Koneksi Ilahi"
"specials.name.divine_light1","Sinar Ilahi"
"specials.name.divine_lunge","Terjangan Ilahi"
"specials.name.divine_protection","Perlindungan Ilahi"
"specials.name.divine_protection_deadly","Perlindungan Ilahi"
