"heroes.name_fancy.astral_cosmicspeaker","Astronom Elf Astral"
"heroes.name_fancy.ballerina_von_rothbart","Penyihir yang Ditakuti"
"heroes.name_fancy.bard_astrid","Penyair Kebangkitan"
"heroes.name_fancy.bard_balafon","Festival Penyair Roh"
"heroes.name_fancy.bard_belladonna","Penyair Supernatural"
"heroes.name_fancy.bard_bhaltair","Penyair Satu Kurcaci"
"heroes.name_fancy.bard_bonzo","Penyair Ganjil"
"heroes.name_fancy.bard_celimene","Penyair Ilusi"
"heroes.name_fancy.bard_darkbeat","Maestro Lubang Mosh"
"heroes.name_fancy.bard_dunnar_hart","Drumer Magmatik"
"heroes.name_fancy.bard_garyas","Penyair Sukacita"
"heroes.name_fancy.bard_lyria","Instrumentalis yang Sangat Bersemangat"
"heroes.name_fancy.bard_merith","Violinis Berkelok"
"heroes.name_fancy.bard_narcisa","Penyair Glamor"
"heroes.name_fancy.bard_ogima","Penyair Roh"
"heroes.name_fancy.bard_phenexa","Penyair Bisikan"
"heroes.name_fancy.bard_rhys","Penyair Keberanian"
"heroes.name_fancy.bard_winifred","Penyair Ciptaan"
"heroes.name_fancy.bard_zarel","Penyair Tradisi Lisan"
"heroes.name_fancy.bard_zhabog","Penyair Kefasihan"
"heroes.name_fancy.beachparty_andy_jay","Penggila Pantai Bersinar Mentari"
"heroes.name_fancy.beachparty_brebarg","Ahli Istana Pasir"
"heroes.name_fancy.beachparty_davey_wavey","Hiu dalam Pelatihan"
"heroes.name_fancy.beachparty_dillo","Armadillo Basah Kuyup"
"heroes.name_fancy.beachparty_dolrak","Kurcaci Terlalu Gosong"
"heroes.name_fancy.beachparty_flip","Singa Laut Penjaga Pantai"
"heroes.name_fancy.beachparty_flip_costume_donut","Vendor Donat Singa Laut"
"heroes.name_fancy.beachparty_itham","Elf Instruktur Sekolah Renang"
"heroes.name_fancy.beachparty_mazoga","Orc Penembak Pistol Air"
"heroes.name_fancy.beachparty_misty","Gnome Suka Snorkeling"
"heroes.name_fancy.beachparty_mortimer","Elf Gelap Peselancar"
"heroes.name_fancy.beachparty_serena","Sosialita Tepi Pantai"
"heroes.name_fancy.beachparty_zenukwa","Penggemar Es Krim"
"heroes.name_fancy.beauty_beast_cerissa","Peri Anggun dari Kastel Tersihir"
"heroes.name_fancy.beauty_beast_chandel","Penerang Kastel Tersihir"
"heroes.name_fancy.beauty_beast_dominique","Pelindung Setia"
"heroes.name_fancy.beauty_beast_laurent","Penjaga Membatu dari Kastel Tersihir"
"heroes.name_fancy.beauty_beast_lucas","Adik Lelaki Dominique"
"heroes.name_fancy.beauty_beast_rose_de_flo","Mekarnya Kastel Tersihir"
"heroes.name_fancy.beauty_beast_the_beast","Pangeran Kesepian dari Kastel Tersihir"
"heroes.name_fancy.beowulf_aeschere","Sage Scyldings"
"heroes.name_fancy.beowulf_beowulf","Pedang Geti"
"heroes.name_fancy.beowulf_breca","Sahabat Anugerah"
"heroes.name_fancy.beowulf_ecgtheow","Pemimpin Perang Sengit"
"heroes.name_fancy.beowulf_freawaru","Penenun Kedamaian"
"heroes.name_fancy.beowulf_grendel","Brutal Neraka Perusak Pedang"
"heroes.name_fancy.beowulf_grendels_mother","Nenek Kotor Penyebar Teror"
"heroes.name_fancy.beowulf_hrothgar","Penguasa Aula Madu"
"heroes.name_fancy.beowulf_hygd","Ratu Geti"
"heroes.name_fancy.beowulf_modthryth","Gadis Perisai Tanpa Sesal"
"heroes.name_fancy.beowulf_nithgaest","Kutukan Beowulf"
"heroes.name_fancy.beowulf_unferth","Pemegang Hrunting"
"heroes.name_fancy.beowulf_wealhtheow","Dihiasi Cincin, Berhati Ningrat"
"heroes.name_fancy.beowulf_weland","Penempa Ahli"
"heroes.name_fancy.beowulf_wiglaf","Putra Weohstan"
"heroes.name_fancy.blackguard_commander","Duke Berduka"
"heroes.name_fancy.blackguard_commander_costume_cute","Toon Berduka"
"heroes.name_fancy.blackguard_commander_costume_feather","Duke Peratap"
"heroes.name_fancy.blackguard_commander_costume_glass","Kaca Patri Berduka"
"heroes.name_fancy.blackguard_commander_costume_metal","Penguasa Batuan"
"heroes.name_fancy.blackguard_female_archer","Pemanah Ambisius"
"heroes.name_fancy.blackguard_female_captain","Sapir Tegas"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Toon Tegas"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Kaca Patri Tegas"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Pengawas Tegas"
"heroes.name_fancy.blackguard_knight","Si Angkuh Luhur"
"heroes.name_fancy.blackguard_knight_costume_cute","Si Angkuh Toon"
"heroes.name_fancy.blackguard_knight_costume_elegant","Bangsawan Elegan"
"heroes.name_fancy.blackguard_knight_costume_glass","Si Angkuh Kaca"
"heroes.name_fancy.blackguard_knight_costume_healer","Penyembuh Mulia"
"heroes.name_fancy.blackguard_scout","Buron Morgovia"
"heroes.name_fancy.blackguard_skulker","Pembunuh Sinting"
"heroes.name_fancy.blackguard_skulker_costume_cute","Toon Kurang Seons"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Ahli Bedah Sinting"
"heroes.name_fancy.blackguard_skulker_costume_glass","Pembunuh Kaca"
"heroes.name_fancy.castle_bear_armel","Duta Besar Arktik"
"heroes.name_fancy.castle_bear_bearnadette","Pelukis Potret"
"heroes.name_fancy.castle_bear_humbert","Pembela Dataran Tinggi"
"heroes.name_fancy.castle_bear_koda","Kesatria Hutan Prem"
"heroes.name_fancy.castle_bear_teddy","Hati Murni"
"heroes.name_fancy.castle_bear_torben","Penguasa Dataran Tinggi"
"heroes.name_fancy.castle_bear_winnie","Pelindung Ursine"
"heroes.name_fancy.castle_bear_yona","Pelawak Dataran Tinggi"
"heroes.name_fancy.castle_raven_aderyn","Medis Kastel"
"heroes.name_fancy.castle_raven_eloise","Ahli Sihir Kastel"
"heroes.name_fancy.castle_raven_franz","Pelindung Kastel"
"heroes.name_fancy.castle_raven_lewena","Penembak Jitu Kastel"
"heroes.name_fancy.castle_raven_quintin","Penguntit Katel"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Pemburu Beku para Gagak"
"heroes.name_fancy.castle_raven_rayne","Kapten Kastel"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Kapten para Gagak"
"heroes.name_fancy.castle_raven_wren","Pengintai Kastel"
"heroes.name_fancy.castle_stag_alvar","Penemu Jalan"
"heroes.name_fancy.castle_stag_cecilia","Diberkati oleh Senja"
"heroes.name_fancy.castle_stag_daemon","Pembalas Mereka yang Layu"
"heroes.name_fancy.castle_stag_fawn","Pengawal Setia"
"heroes.name_fancy.castle_stag_lysanor","Peramal Mimpi Safir"
"heroes.name_fancy.castle_stag_raleigh","Sarjana Hutan Zamrud"
"heroes.name_fancy.castle_stag_siofra","Penjaga Sumpah"
"heroes.name_fancy.castle_stag_xiamara","Penjaga Hutan Zamrud"
"heroes.name_fancy.castle_wolf_bertulf","Koki Kastel"
"heroes.name_fancy.castle_wolf_esme","Penyihir Kastel"
"heroes.name_fancy.castle_wolf_ferant","Penjaga Kastel"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Penjaga Serigala"
"heroes.name_fancy.castle_wolf_ludwig","Pembela Kastel"
"heroes.name_fancy.castle_wolf_quenell","Juara Kastel"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Juara Serigala"
"heroes.name_fancy.castle_wolf_wolfgang","Komandan Kastel"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Komandan Serigala"
"heroes.name_fancy.champions_lazara","Juara Bisbol"
"heroes.name_fancy.champions_mistra","Juara Lempar Cakram"
"heroes.name_fancy.champions_nogu","Juara Lempar Lembing"
"heroes.name_fancy.champions_norman","Juara Jousting"
"heroes.name_fancy.champions_ramona","Juara Ram Turismo"
"heroes.name_fancy.champions_satori","Juara Sumo"
"heroes.name_fancy.christmas_albin","Penikmat Cokelat Panas"
"heroes.name_fancy.christmas_augustus","Tetua Gnome"
"heroes.name_fancy.christmas_buster","Gnome Taman Pemarah"
"heroes.name_fancy.christmas_carol","Kurcaci Sinterklas"
"heroes.name_fancy.christmas_cookie","Ilmuwan Gnome"
"heroes.name_fancy.christmas_dizzy","Penghibur Gnome"
"heroes.name_fancy.christmas_elf","Kurcaci Sinterklas"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Akuntan Sinterklas"
"heroes.name_fancy.christmas_florencia","Penjaga Salju"
"heroes.name_fancy.christmas_frosty","Penjaga Utara"
"heroes.name_fancy.christmas_ginger","Penjelajah Gnome"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Master Hadiah Gnome"
"heroes.name_fancy.christmas_holly","Kepala Koki Gnome"
"heroes.name_fancy.christmas_jolly","Tukang Kayu Gnome"
"heroes.name_fancy.christmas_krampus","Setan Kubur Natal"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Iseng Natal"
"heroes.name_fancy.christmas_mr_pengi","Kapten Pengawal Sinterklas"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Kapten Tim Seluncur Salju"
"heroes.name_fancy.christmas_mrs_claus","Koki Klaus"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Penggemar Sweter Natal"
"heroes.name_fancy.christmas_noel","Anak Kereta Luncur yang Gembira"
"heroes.name_fancy.christmas_ottilia","Dekorator Gnome"
"heroes.name_fancy.christmas_peppermint","Ahli Alkimia Gnome"
"heroes.name_fancy.christmas_reindeer","Tunggangan Setia Santa"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Kuda Kesatria Sinterklas"
"heroes.name_fancy.christmas_santa","Pembawa Hadiah"
"heroes.name_fancy.christmas_santa_costume_metal","Sinterklas Hard Rock"
"heroes.name_fancy.christmas_tinsel","Pengulik Gnome"
"heroes.name_fancy.christmas_zappa","Dukun Gnome"
"heroes.name_fancy.circus_bobo","Yeti dengan Hati Terhangat"
"heroes.name_fancy.circus_candy","Penggembira Riang"
"heroes.name_fancy.circus_dandre","Juggler Tangan Pasti"
"heroes.name_fancy.circus_director_zuri","Penguasa Circus"
"heroes.name_fancy.circus_director_zuri_costume_clown","Penguasa Badut"
"heroes.name_fancy.circus_eichbelborg","Binaragawan Sombong"
"heroes.name_fancy.circus_eiora_and_fluffy","Duo Dinamis"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Duo Gelap"
"heroes.name_fancy.circus_emilio","Penjinak Phoenix Hebat"
"heroes.name_fancy.circus_emilio_costume_frog","Penjinak Kodok Hebat"
"heroes.name_fancy.circus_faline","Akrobat  Memukau"
"heroes.name_fancy.circus_marcel","Pantomim Paling Nakal"
"heroes.name_fancy.circus_theobald","Beruang Ajaib Pelempar Pisau"
"heroes.name_fancy.circus_whacker","Pemukul Gila"
"heroes.name_fancy.construct_arzen","Pengawas Konstruksi Ganas"
"heroes.name_fancy.construct_blue_mage","Konstruksi Magi Bintang"
"heroes.name_fancy.construct_bonechill","Konstruksi Beku"
"heroes.name_fancy.construct_brimstone","Konstruksi Neraka"
"heroes.name_fancy.construct_carta","Konstruksi Kartografer"
"heroes.name_fancy.construct_dancrag","Konstruksi Kolosus Kuno"
"heroes.name_fancy.construct_ferrus","Konstruksi Perompak"
"heroes.name_fancy.construct_frond","Konstruksi Elf"
"heroes.name_fancy.construct_glacivolt","Konstruksi Pengawas Es"
"heroes.name_fancy.construct_gwynn","Konstruksi Alur Energi"
"heroes.name_fancy.construct_halwinter","Konstruksi Berzirah Berat"
"heroes.name_fancy.construct_haulstone","Konstruksi Bawa Semua"
"heroes.name_fancy.construct_hornfel","Konstruksi Minotauros"
"heroes.name_fancy.construct_hotspin","Konstruksi Siklon Api"
"heroes.name_fancy.construct_ironheart","Konstruksi Penjaga Suci"
"heroes.name_fancy.construct_ironvein","Konstruksi Pengawal Suci"
"heroes.name_fancy.construct_japanese_doll","Konstruksi Boneka Tembikar"
"heroes.name_fancy.construct_nautica","Konstruksi Navigator"
"heroes.name_fancy.construct_nocturne","Konstruksi Tank Hampa"
"heroes.name_fancy.construct_rhineglow","Konstruksi Superkapasitor"
"heroes.name_fancy.construct_rustbeak","Konstruksi Burung Hantu"
"heroes.name_fancy.construct_scoria","Konstruksi Terbakar Abadi"
"heroes.name_fancy.construct_shaal","Konstruksi Padri"
"heroes.name_fancy.construct_shacklebolt","Konstruksi Terpenjara"
"heroes.name_fancy.construct_sizzleomatic","Konstruksi Koki Antusias"
"heroes.name_fancy.construct_skarn","Konstruksi Embun Beku"
"heroes.name_fancy.construct_sylosis","Konstruksi Seniman Bela Diri"
"heroes.name_fancy.construct_tenebrae","Konstruksi Putri Gelap"
"heroes.name_fancy.construct_zavok","Konstruksi Magi Kacau"
"heroes.name_fancy.cultist_female_poisoner","Berandal Pemberontak"
"heroes.name_fancy.cultist_inventor","Ilmuwan Gila"
"heroes.name_fancy.cultist_inventor_costume_cute","Ilmuwan Toon"
"heroes.name_fancy.cultist_inventor_costume_glass","Ilmuwan Kaca"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Dokter Cinta"
"heroes.name_fancy.cultist_inventor_costume_steam","Ilmuwan Elektro"
"heroes.name_fancy.cultist_mage","Magi Seram"
"heroes.name_fancy.cultist_mage_costume_cute","Magi Toon"
"heroes.name_fancy.cultist_mage_costume_glass","Maga Kaca"
"heroes.name_fancy.cultist_mage_costume_voodoo","Magi Zombi"
"heroes.name_fancy.cultist_sorceress","Eksekutor dari Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_cute","Algojo Toon"
"heroes.name_fancy.cultist_sorceress_costume_glass","Kaca Patri dari Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Monster Wanita dari Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_snake","Ular Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_stylish","Algojo Bergaya"
"heroes.name_fancy.cultist_thief","Pencuri Berplot Akbar"
"heroes.name_fancy.dark_god_aeron","Hakim Tegar"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Hakim Rambut Palsu"
"heroes.name_fancy.dark_god_akilius","Perampok Licik"
"heroes.name_fancy.dark_god_anoushka","Peramal Penyendiri"
"heroes.name_fancy.dark_god_arfanias","Pembunuh Bayangan"
"heroes.name_fancy.dark_god_chakkoszrot","Pendeta Tinggi Lizardfolk"
"heroes.name_fancy.dark_god_clarissa","Cenayang Lancang"
"heroes.name_fancy.dark_god_eldwren","Ayah Kawanan"
"heroes.name_fancy.dark_god_grimble","Gnome Penunggang Kambing"
"heroes.name_fancy.dark_god_hel","Surgawi Kegelapan"
"heroes.name_fancy.dark_god_hel_costume_cute","Surgawi Kegelapan Toon"
"heroes.name_fancy.dark_god_hel_costume_omen","Pertanda Kegelapan"
"heroes.name_fancy.dark_god_kunchen","Musafir Mistis"
"heroes.name_fancy.dark_god_malicna","Lektor Jahat"
"heroes.name_fancy.dark_god_morax","Kutukan Dunia Bawah"
"heroes.name_fancy.dark_god_september","Pembunuh Maya"
"heroes.name_fancy.dark_god_september_costume_engineer","Insinyur Fatamorgana"
"heroes.name_fancy.dark_god_seshat","Pemburu yang Dianimasi Ulang"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Pemanah Kembali Tinggi"
"heroes.name_fancy.dark_god_sir_casmir","Penjaga Musafir"
"heroes.name_fancy.dark_god_turgruk","Pelacak Ganas"
"heroes.name_fancy.dark_god_uthragan","Kebencian Beracun"
"heroes.name_fancy.dark_god_viscaro","Klenik Rusak"
"heroes.name_fancy.dark_god_zed","Prajurit Tombak Kerajaan"
"heroes.name_fancy.dark_god_zulag","Sang Perkasa"
"heroes.name_fancy.dwarven_guard","Pembela Teguh"
"heroes.name_fancy.dwarven_guard_costume_cute","Pembela Toon"
"heroes.name_fancy.dwarven_guard_costume_glass","Pembela Kaca"
"heroes.name_fancy.dwarven_guard_costume_ram","Pembela Kaliber Berat"
"heroes.name_fancy.dwarven_guard_costume_tavern","Pembela Kedai Minum"
"heroes.name_fancy.dwarven_scout","Pejuang Veteran"
"heroes.name_fancy.dwarven_smasher","Pemberang"
"heroes.name_fancy.dwarven_smasher_costume_cute","Toon Berdarah Panas"
"heroes.name_fancy.dwarven_smasher_costume_glass","Kaca Patri Berdarah Panas"
"heroes.name_fancy.dwarven_smasher_costume_smith","Sang Pemanas"
"heroes.name_fancy.dwarwen_brewmaster","Juru Minuman"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Pembuat Bir Toon"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Kaca Patri Juru Minuman"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Juru Parut"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Master Pemahat Kayu"
"heroes.name_fancy.easter_archie","Lama Troubadour Bepergian"
"heroes.name_fancy.easter_archie_costume_gallant","Biduan Llama yang Gagah"
"heroes.name_fancy.easter_chick_jr","Tuan Tanah Springvale"
"heroes.name_fancy.easter_jasper","Banteng Tukang Bunga"
"heroes.name_fancy.easter_jasper_costume_fisherman","Banteng Nelayan"
"heroes.name_fancy.easter_killhare","Pelindung Liar Springvale"
"heroes.name_fancy.easter_killhare_costume_farmer","Petani Sejati"
"heroes.name_fancy.easter_lady_woolerton","Pemugar Springvale"
"heroes.name_fancy.easter_miss_ethel","Pembela Springvale"
"heroes.name_fancy.easter_sadie","Mana saat Kerusakan Diterima"
"heroes.name_fancy.easter_sir_roostley","Kesatria Perkasa Springvale"
"heroes.name_fancy.easter_timothy","Anak Babi Pemberani"
"heroes.name_fancy.easter_viscount_cluckwood","Okultis dari Springvale"
"heroes.name_fancy.elemental_aconia","Berandal Siber"
"heroes.name_fancy.elemental_aconia_costume_courier","Kurir Siber"
"heroes.name_fancy.elemental_alfie","Pelawak Elemen"
"heroes.name_fancy.elemental_anzia","Penyelamat Galaksi"
"heroes.name_fancy.elemental_anzia_costume_jailer","Sipir Penjara Galaksi"
"heroes.name_fancy.elemental_ash","Pemburu Hadiah yang Ganas"
"heroes.name_fancy.elemental_ash_costume_savage","Pemburu Hadiah yang Liar"
"heroes.name_fancy.elemental_craum","Syaman Elemen"
"heroes.name_fancy.elemental_craum_costume_occultist","Okultis Elemen"
"heroes.name_fancy.elemental_desmond","Ahli Alkimia Pedang"
"heroes.name_fancy.elemental_desmond_costume_assassin","Pembunuh Berpedang"
"heroes.name_fancy.elemental_doxan","Pedang Plasma Diasingkan"
"heroes.name_fancy.elemental_doxan_costume_hacker","Peretas Plasma Diasingkan"
"heroes.name_fancy.elemental_farrah","Master Pedang Supersonik"
"heroes.name_fancy.elemental_farrah_costume_cyber","Master Pedang Siber"
"heroes.name_fancy.elemental_gastille","Bahaya Multidimensional"
"heroes.name_fancy.elemental_gastille_costume_sporty","Bahaya Olahraga"
"heroes.name_fancy.elemental_griffex","Pengubah Kenyataan"
"heroes.name_fancy.elemental_griffex_costume_camera","Pengubah Obskura"
"heroes.name_fancy.elemental_grilka","Intendans Ramah"
"heroes.name_fancy.elemental_grilka_costume_treasure","Intendans Tersayang"
"heroes.name_fancy.elemental_ignazio","Konduktor Api"
"heroes.name_fancy.elemental_ignazio_costume_medic","Ahli Bedah Api"
"heroes.name_fancy.elemental_ironmaw","Panglima Perang Orc yang Tak Tergoyahkan"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Panglima Perang Legiun"
"heroes.name_fancy.elemental_jequn","Enigma Kosmis"
"heroes.name_fancy.elemental_jequn_costume_gilded","Enigma Berlapis Emas"
"heroes.name_fancy.elemental_jolt","Navigator Elektrik"
"heroes.name_fancy.elemental_jolt_costume_mythic","Navigator Mistis"
"heroes.name_fancy.elemental_lexi","Seniman Energi Elemen"
"heroes.name_fancy.elemental_linus","Narapidana Tanpa Beban"
"heroes.name_fancy.elemental_niki","Master Sabit dari Laut Gelap"
"heroes.name_fancy.elemental_niki_costume_music","Master Sabit Musik"
"heroes.name_fancy.elemental_nova","Kolektor Roh Api"
"heroes.name_fancy.elemental_nylora","Pembunuh Berdarah Dingin"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Pembunuh Berhiaskan Permata"
"heroes.name_fancy.elemental_quinn","Koki Kosmis"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Ahli Alkimia Kosmis"
"heroes.name_fancy.elemental_roz","Penembak Jitu Alami"
"heroes.name_fancy.elemental_roz_costume_disco","Penembak Jitu Disko"
"heroes.name_fancy.elemental_vander","Kapten Siborg"
"heroes.name_fancy.elemental_vander_costume_clown","Kapten Badut"
"heroes.name_fancy.elemental_xandrella","Master Penciptaan Elemen"
"heroes.name_fancy.elemental_xandrella_costume_idol","Berhala Penciptaan Elemen"
"heroes.name_fancy.elemental_xavier","Spesialis Pedang Ganda"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Artropoda Pedang Ganda"
"heroes.name_fancy.elemental_zandria","Pembela Ruang-Waktu"
"heroes.name_fancy.elemental_zandria_costume_planet","Pembela Galaksi"
"heroes.name_fancy.elemental_zaria","Psikis Bermata Tiga"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Pemikat Bermata Tiga"
"heroes.name_fancy.elemental_zengar","Monster Universal"
"heroes.name_fancy.elemental_zengar_costume_farmer","Monster Budidaya"
"heroes.name_fancy.elemental_zione","Ahli Penyampaian Mekanik"
"heroes.name_fancy.elemental_zuni","Elf Hoverboard"
"heroes.name_fancy.elemental_zuni_costume_mage","Magi Hoverboard"
"heroes.name_fancy.elven_archer","Sang Hati Mulia"
"heroes.name_fancy.elven_archer_costume_cute","Toon Mulia"
"heroes.name_fancy.elven_archer_costume_glass","Kaca Patri Mulia"
"heroes.name_fancy.elven_archer_costume_moon","Penjaga Mulia"
"heroes.name_fancy.elven_archer_costume_raven","Sang Gagak Mulia"
"heroes.name_fancy.elven_captain","Veteran Elf"
"heroes.name_fancy.elven_captain_costume_cavalier","Si Angkuh Elf"
"heroes.name_fancy.elven_captain_costume_cute","Toon Elf"
"heroes.name_fancy.elven_captain_costume_glass","Kaca Patri Elf"
"heroes.name_fancy.elven_captain_costume_mask","Pembalas Elf"
"heroes.name_fancy.elven_captain_costume_stylish","Elf Bergaya"
"heroes.name_fancy.exalted_female_statue","Purba Batu"
"heroes.name_fancy.exalted_female_statue_costume_cute","Toon Batu"
"heroes.name_fancy.exalted_female_statue_costume_glass","Kaca Patri Batu"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Purba Matahari"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Purba Duri"
"heroes.name_fancy.exalted_warrior","Purba Es"
"heroes.name_fancy.exalted_warrior_costume_cute","Toon Es"
"heroes.name_fancy.exalted_warrior_costume_glass","Kaca Patri Es"
"heroes.name_fancy.exalted_warrior_costume_ice","Monolit Es"
"heroes.name_fancy.exalted_warrior_costume_underworld","Purba Dunia Bawah"
"heroes.name_fancy.fables_boss_wolf","Gubernur Hutankelam"
"heroes.name_fancy.fables_cinderella","ART di Hutankelam"
"heroes.name_fancy.fables_frog_prince","Pewaris Takhta"
"heroes.name_fancy.fables_gnomer","Penjaga Hutankelam"
"heroes.name_fancy.fables_gretel","Pembantai Penyihir dari Hutankelam"
"heroes.name_fancy.fables_hansel","Pemburu Penyihir dari Hutankelam"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Pemburu Vampir Hutankelam"
"heroes.name_fancy.fables_pixie","Kurcaci Hutankelam"
"heroes.name_fancy.fables_puss_in_boots","Kucing Hutankelam"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Kucing Bandit Bertopeng"
"heroes.name_fancy.fables_red_hood","Pelindung Hutankelam"
"heroes.name_fancy.fables_rumpelstiltskin","Badut Hutankelam"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Pengecoh Abadi"
"heroes.name_fancy.fables_snow_white","Putri Hutankelam"
"heroes.name_fancy.fables_snow_white_costume_slayer","Pembunuh Putih"
"heroes.name_fancy.faun_araminta","Pejuang Faun yang Menakutkan"
"heroes.name_fancy.faun_ascian","Faun Augur yang Melihat Segalanya"
