"specials.name.a_cozy_break","Un merecido descanso"
"specials.name.awaken_ki","Despertar el ki"
"specials.name.awe_bolt","Rayo venenoso"
"specials.name.axe_of_retribution","Hacha del castigo"
"specials.name.axe_throw","Lanzamiento de hacha"
"specials.name.azurelight_greatsword","Mandoble de luz celeste"
"specials.name.backstab","Puñalada"
"specials.name.bad_fortune","Mala fortuna"
"specials.name.bag_of_necessities","Bolsa de necesidades"
"specials.name.bagh_nakh_thrust","Empujón con bagh nakh"
"specials.name.bakers_baguettes","Baguettes letales"
"specials.name.balanced_teamwork","Trabajo en equipo equilibrado"
"specials.name.ballad_of_attraction","Balada de la atracción"
"specials.name.ballad_of_condemnation","Balada de la condenación"
"specials.name.ballad_of_obsession","Balada de la obsesión"
"specials.name.ballad_of_pain","Balada del dolor"
"specials.name.ballad_of_passion","Balada de la pasión"
"specials.name.ballad_of_purple_swan","Balada del cisne oscuro"
"specials.name.ballad_of_restoration","Balada de la restauración"
"specials.name.ballad_of_the_purple_swan","Balada del cisne oscuro"
"specials.name.bandalore_dance","Baile de bandalore"
"specials.name.barb_sting_dragon_pve","Picadura punzante"
"specials.name.barbed_arrows","Flechas serradas"
"specials.name.barbed_bolt_zidane","Flecha punzante"
"specials.name.bark_of_protection","Ladrido protector"
"specials.name.basilisk_breath","Aliento de basilisco"
"specials.name.battering_ram","Ariete"
"specials.name.battle_boast","Alardeo en batalla"
"specials.name.battleclaw_strike","Golpe de garras de batalla"
"specials.name.beach_party","Fiesta en la playa"
"specials.name.beautiful_petals","Pétalos hermosos"
"specials.name.bee_bombast","Grandilocuencia de abeja"
"specials.name.bee_bravado","Bravuconada de abeja"
"specials.name.beetle_strike","Golpe del escarabajo"
"specials.name.berserker_strike","Golpe de berserker"
"specials.name.bewildering_riddle","Acertijo desconcertante"
"specials.name.bewitched_daggers","Puñales embrujados"
"specials.name.binding_contract","Contrato vinculante"
"specials.name.birch_blessing","Bendición del abedul"
"specials.name.bite_of_protection","Mordisco protector"
"specials.name.bites_of_disorientation","Mordiscos desorientadores"
"specials.name.bitter_berry_blast_dragon_pve","Explosión de bayas amargas"
"specials.name.bizarre_mist","Niebla extraña"
"specials.name.black_tassel_spear_sting","Lanzada con borlas negras"
"specials.name.black_tide","Marea negra"
"specials.name.blade_barrage","Avalancha de cuchillos"
"specials.name.blade_dance","Filos en la pista de baile"
"specials.name.blade_of_betrayal","Filo de la traición"
"specials.name.blade_of_bundelkhand","Espada de Bundelkhand"
"specials.name.blade_of_horrid_affliction","Espada del infortunio espantoso"
"specials.name.blade_tail_swipe","Barrido de cola afilado"
"specials.name.blade_venom","Cuchillas de veneno"
"specials.name.blade_wings","Alas de cuchilla"
"specials.name.blazing_beak","Pico abrasador"
"specials.name.blazing_corolla","Corola abrasadora"
"specials.name.blazing_inferno","Infierno ardiente"
"specials.name.blazing_rave_dance","Danza exaltada ardiente"
"specials.name.blazing_slam_dunk","Mate ardiente"
"specials.name.blazing_venom","Veneno ardiente"
"specials.name.bleed_inducing_daggers","Dagas del desangramiento"
"specials.name.bleeding_edge","Filo sangrante"
"specials.name.bleeding_hammer","Martillo sangrante"
"specials.name.bleeding_stab","Puñalada sangrienta"
"specials.name.bleeding_thrust","Empuje sangriento"
"specials.name.blessed_blade","Filos benditos"
"specials.name.blessed_blade_pve","Filos benditos"
"specials.name.blessed_brew","Brebaje bendito"
"specials.name.blessed_solo","Solo bendito"
"specials.name.blessed_tankard","Jarra bendita"
"specials.name.blessing_from_the_future","Bendición del futuro"
"specials.name.blessing_of_gjallarhorn","Bendición de Gjallarhorn"
"specials.name.blessing_of_the_evergrove","Bendición de la arboleda eterna"
"specials.name.blessing_of_the_skies","Bendición de los cielos"
"specials.name.blind_rage","Rabia ciega"
"specials.name.blinding_attack","Ataque cegador"
"specials.name.blinding_curse","Maldición cegadora"
"specials.name.blinding_flash","Destello cegador"
"specials.name.blinding_flash_s4","Destello cegador"
"specials.name.blinding_injustice","Injusticia cegadora"
"specials.name.blinding_knowledge","Conocimiento cegador"
"specials.name.blinding_light","Luz cegadora"
"specials.name.blinding_orb","Orbe cegador"
"specials.name.blinding_pounce","Asalto cegador"
"specials.name.blinding_spell","Hechizo cegador"
"specials.name.blinding_spit","Saliva cegadora"
"specials.name.blinding_stinger","Aguijón cegador"
"specials.name.blinding_strike","Golpe cegador"
"specials.name.blinding_wisdom","Sabiduría cegadora"
"specials.name.blizzard","Tormenta de nieve"
"specials.name.blizzard_roar","Rugido de tormenta de nieve"
"specials.name.blob_of_fury","Amasijo furioso"
"specials.name.blood_illusion","Ilusión de sangre"
"specials.name.blood_petals_of_the_withered","Pétalos de sangre"
"specials.name.blood_sacrifice","Golpe de sangre"
"specials.name.bloodthirst","Sed de sangre"
"specials.name.blooming_growth","Florecimiento"
"specials.name.bludgeoning","A mamporros"
"specials.name.blue_lizard_charge","Embestida de lagarto con camuflaje azul"
"specials.name.blue_shroom_wand","Varita de seta azul"
"specials.name.blur_of_steel","Borrón de acero"
"specials.name.blur_of_steel_pve","Borrón de acero"
"specials.name.boar_call","Llamada del jabalí"
"specials.name.boar_charge","Embestida del jabalí"
"specials.name.boar_of_fury","Jabalí de la furia"
"specials.name.boat_ride_from_the_beyond","Barco del más allá"
"specials.name.bobo_blitz","Bombardeo de Bobo"
"specials.name.bolstering_rush","Ataque alentador"
"specials.name.bond_of_avarice","Vínculo de la avaricia"
"specials.name.bone_arrow","Flecha ósea"
"specials.name.bone_club_clonk","Golpe con bastón óseo"
"specials.name.bone_club_party","Garrote óseo de fiesta"
"specials.name.bone_ritual","Ritual óseo"
"specials.name.bone_slam","Golpe óseo"
"specials.name.bone_toss","Huesos voladores"
"specials.name.booming_mend","Sanación a ritmo de tambor"
"specials.name.boon_of_gjallarhorn","Cuerno de Gjallarhorn"
"specials.name.boopstrike","Trompazo"
"specials.name.boreal_bash","Zarpazo boreal"
"specials.name.boulder_smash","Rotura de roca"
"specials.name.bound_by_knowledge","El conocimiento de nunca acabar"
"specials.name.bound_by_tales","El cuento de nunca acabar"
"specials.name.bounty_of_the_spring","Botín de la primavera"
"specials.name.bouquet_of_the_seas","Ramo de los mares"
"specials.name.brain_link","Vínculo cerebral"
"specials.name.branded_by_fire","Marca de fuego"
"specials.name.break_free","Liberación"
"specials.name.break_strike","Golpe rompedor"
"specials.name.breaker_blade","Espada rompedora"
"specials.name.breaker_blade_pve","Espada rompedora"
"specials.name.breath_of_darkness","Aliento de oscuridad"
"specials.name.breath_of_life","Aliento de vida"
"specials.name.breath_of_the_abyss","Aliento del abismo"
"specials.name.brew_of_the_centaurs","Brebaje de los centauros"
"specials.name.brides_kiss","Beso de la novia"
"specials.name.brilliant_brew","Brebaje brillante"
"specials.name.brilliant_sweep_dragon_pve","Barrido brillante"
"specials.name.bringer_of_order","Imponer el orden"
"specials.name.brittling_burst","Estallido debilitador"
"specials.name.brittling_force","Fuerza quebradiza"
"specials.name.brittling_strike","Golpe quebradizo"
"specials.name.bruiser_bros","Bruiser Bros"
"specials.name.brutal_bull_rush","Ataque taurino brutal"
"specials.name.brutal_support","Apoyo brutal"
"specials.name.buccaneers_blade","Sable de los bucaneros"
"specials.name.bugs_shell","Caparazón de insecto"
"specials.name.building_blocks_bulklug","Bloques de construcción"
"specials.name.bulwark_charge","Arremetida brutal"
"specials.name.burning_ashes","Cenizas ardientes"
"specials.name.burning_ashes2","Cenizas ardientes"
"specials.name.burning_chains","Cadenas ardientes"
"specials.name.burning_claws_dragon_pve","Garras ardientes"
"specials.name.burning_javelin","Jabalina ardiente"
"specials.name.burning_pollen_dragon_pve","Alas ardientes"
"specials.name.burning_shields","Escudos ardientes"
"specials.name.burning_spin","Giro ardiente"
"specials.name.burning_strike","Golpe ardiente"
"specials.name.burning_thread","Hilo ardiente"
"specials.name.burning_wok","Wok abrasador"
"specials.name.but_a_scratch","Solo un rasguño"
"specials.name.butterfly_swarm","Colonia de mariposas"
"specials.name.call_of_the_elements","Llamada de los elementos"
"specials.name.call_to_arms","Llamada a las armas"
"specials.name.calling_the_bluff","Apuesta vista"
"specials.name.calm_jab_dragon_pve","Puñetazo con calma"
"specials.name.calming_mist","Niebla calmante"
"specials.name.camouflage_foliage","Follaje de camuflaje"
"specials.name.candy_vines","Enredaderas de caramelo"
"specials.name.cannibalizing_munch","Mordisco caníbal"
"specials.name.cannon_blast","Explosión de cañón"
"specials.name.cannonball_splash","Bomba acuática"
"specials.name.capsicum_charge","Embestida de pimiento"
"specials.name.captains_cutlass","Alfanje del capitán"
"specials.name.captivating_illusions","Ilusiones cautivadoras"
"specials.name.carnivore_garden","Huerto carnívoro"
"specials.name.carve_a_hole","Hacer un agujero"
"specials.name.carve_the_bones","Huesos trinchados"
"specials.name.cascading_darkness","Oscuridad en cascada"
"specials.name.cascading_whirlwind","Remolino en cascada"
"specials.name.cataclysmic_divination","Adivinación cataclísmica"
"specials.name.catnip_fury","Furia de hierba gatera"
"specials.name.cauterizing_flame","Llama cauterizadora"
"specials.name.cauterizing_touch","Toque cauterizador"
"specials.name.cavalier_hat_of_dark_realm","Sombrero de jinete del reino oscuro"
"specials.name.celestial_anvil","Yunque astral"
"specials.name.ceremonial_dance","Baile ceremonial"
"specials.name.ceremonial_katar","Katar ceremonial"
"specials.name.chain_blasm_strike","Cadena de golpes explosivos"
"specials.name.chain_lightning","Relámpagos encadenados"
"specials.name.chain_of_pain","Cadena de dolor"
"specials.name.chain_strike","Cadena de golpes"
"specials.name.chains_of_legion","Cadenas de la legión"
"specials.name.chains_of_light","Cadenas de luz"
"specials.name.chakram_kick","Patada de chakram"
"specials.name.challenge_the_strongest","Desafío para los más fuertes"
"specials.name.champagne_hammer","Martillo de champán"
"specials.name.champion_maneuver","Maniobra campeona"
"specials.name.championship_carrot","Zanahoria de campeonato"
"specials.name.change_stance","Sablazo de tahúr"
"specials.name.channel_ki","Canalizar el ki"
"specials.name.channeler_of_the_cats","Canalización felina"
"specials.name.channeler_of_the_gods","Canalizar a los dioses"
"specials.name.chaos_bolt_volley","Salva caótica"
"specials.name.chaos_venom","Veneno caótico"
"specials.name.charged_fireball_dragon_pve","Bola de fuego cargada"
"specials.name.charm_of_protection","Amuleto de protección"
"specials.name.charmed_dual_blade","Espada doble con amuletos"
"specials.name.charmers_blades","Hojas embelesadoras"
"specials.name.cheerful_charm","Amuleto de júbilo"
"specials.name.cheese_wheel_rampage","Bandeja de quesos letal"
"specials.name.cherry_pudding_served","¡Marchando un pudin de cereza!"
"specials.name.chieftains_vengeance","Venganza del jefe"
"specials.name.chilling_counterattack","Contraataque aterrador"
"specials.name.chilling_slash","Sablazo aterrador"
"specials.name.chitin_cage","Jaula de quitina"
"specials.name.chords_of_distortion","Acordes disonantes"
"specials.name.chords_of_havoc","Acordes caóticos"
"specials.name.chords_of_inferno","Acordes del infierno"
"specials.name.claw_power","Furia de duende"
"specials.name.claw_swipe","Zarpazo"
"specials.name.claws_of_fury","Garras de furia"
"specials.name.claws_of_the_hunter","Garras del cazador"
"specials.name.claws_of_the_lioness","Garras de la leona"
"specials.name.claws_of_the_night","Garras de la noche"
"specials.name.claws_of_the_night_ultimate_boss","Garras de la noche"
"specials.name.cleansing_determination","Determinación purificadora"
"specials.name.cleansing_determination_pve","Determinación purificadora"
"specials.name.cleansing_strike","Golpe limpiador"
"specials.name.cleave_and_reflect","Aferrarse y reflexionar"
"specials.name.cleave_counter","Aferrarse y contratacar"
"specials.name.clever_stratagem","Estratagema inteligente"
"specials.name.cloak_of_feathers","Capa de plumas"
"specials.name.close_order_formation","Formación de orden cerrado"
"specials.name.cloth_of_constellations","Tejido de constelaciones"
"specials.name.cloud_axe","Hacha de las nubes"
"specials.name.cloud_hammer","Martillo de las nubes"
"specials.name.clowns_blessing","Bendición bromista"
"specials.name.coastal_recharge","Recarga costera"
"specials.name.coiling_whip","Látigo enrollado"
"specials.name.coins_of_pain","Monedas del dolor"
"specials.name.cold_blast","Tormenta de nieve"
"specials.name.cold_blast_single","Ráfaga de frío"
"specials.name.cold_command","Liderazgo frío"
"specials.name.cold_fire","Fuego frío"
"specials.name.colossal_bite","Mordisco colosal"
"specials.name.colossal_carry","Contraataque colosal"
"specials.name.colossal_chops","Mandíbulas colosales"
"specials.name.comet","Rayo abrasador"
"specials.name.command_pack","Líder de la manada"
"specials.name.command_sand_golems","Líder de los gólems de arena"
"specials.name.command_to_advance","Orden de avance"
"specials.name.command_to_advance_costume_fire_bat","Orden de avance"
"specials.name.commanders_gauntlet","Guantelete de comandante"
"specials.name.commodores_malice","Malicia del comodoro"
"specials.name.commodores_revenge","Venganza del capitán del navío"
"specials.name.compact_lance","Lanza compacta"
"specials.name.concussive_charge","Embestida conmocionadora"
"specials.name.confident_strategy","Estrategia fiable"
"specials.name.conjure_the_azure_spirit","Invocación del espíritu celeste"
"specials.name.connect_ki","Conectar con el ki"
"specials.name.connect_ki_pve","Conectar con el ki"
"specials.name.conquerors_command","Orden de conquista"
"specials.name.constellation_crush","Colisión de constelaciones"
"specials.name.corals_of_nourishment","Corales nutrientes"
"specials.name.core_beam","Rayo de núcleo"
"specials.name.core_blast","Explosión central"
"specials.name.core_burst","Estallido central"
"specials.name.corroding_cutlass","Alfanje corrosivo"
"specials.name.corrosive_acid","Ácido corrosivo"
"specials.name.corrosive_burn_claws_dragon_pve","Garras ardientes corrosivas"
"specials.name.corrosive_claws_dragon_pve","Garras venenosas corrosivas"
"specials.name.corrosive_pollen","Polen corrosivo"
"specials.name.corrupting_idol","Ídolo corrupto"
"specials.name.cosmic_clock","Reloj cósmico"
"specials.name.cosmic_devotion","Devoción cósmica"
"specials.name.countering_hammock","Hamaca de contraataque"
"specials.name.counterstance","A la contra"
"specials.name.couriers_dash","Asalto con mensaje"
"specials.name.cover_slam","Golpe protector"
"specials.name.covert_stab","Tajo despiadado"
"specials.name.cracked_skull_strike","Golpe revientacráneos"
"specials.name.crawling_vines","Enredaderas reptantes"
"specials.name.crazed_lunge","Embestida demente"
"specials.name.crazed_stampede","Estampida demente"
"specials.name.creative_hands","Manos creativas"
"specials.name.creeping_venom","Veneno sigiloso"
"specials.name.creeping_vines","Trepadoras sigilosas"
"specials.name.crescent_moon_strike","Golpe de luna creciente"
"specials.name.crescent_shield","Escudo de media luna"
"specials.name.crescent_spear","Lanza de media luna"
"specials.name.crimson_blade","Hoja carmesí"
"specials.name.crimson_calamity","Calamidad carmesí"
"specials.name.crimson_calamity2","Calamidad carmesí"
"specials.name.crimson_hunt","Cacería carmesí"
"specials.name.crippling_claws","Garras incapacitantes"
"specials.name.crippling_claws_pve","Garras incapacitantes"
"specials.name.crippling_grapple","Abrazo anulador"
"specials.name.critical_cookout","Cocina crítica"
"specials.name.critical_tactics","Tácticas críticas"
"specials.name.croc_bite","Crocomordisco"
"specials.name.crush_of_avarice","Golpe de avaricia"
"specials.name.crush_of_hel","Golpe de Hel"
"specials.name.crush_of_malice","Destrucción maligna"
"specials.name.crush_of_toon_hel","Golpe de Hel de caricatura"
"specials.name.crushing_claws","Garras trituradoras"
"specials.name.crushing_shot","Disparo devastador"
"specials.name.crust_of_divinity","Costra de la divinidad"
"specials.name.cry_for_absolution","Grito de absolución"
"specials.name.crystal_barrage","Ráfaga de cristales"
"specials.name.crystal_bombardment","Bombardeo de cristales"
"specials.name.crystal_embrace","Abrazo de cristales"
"specials.name.crystalis","Cristal congelante"
"specials.name.crystalline_strike","Golpe cristalino"
"specials.name.cub_leader_cut","Corte osuno de líder"
"specials.name.cube_of_dark_realm","Cubo de reino oscuro"
"specials.name.cult_of_arachnid","Culto arácnido"
"specials.name.cunning_knife","Cuchillo astuto"
"specials.name.cup_of_mead","Copa de hidromiel"
"specials.name.curse_of_sargasso","Maldición de Sargasso"
"specials.name.curse_of_the_cephaloid","Maldición del cefaloide"
"specials.name.curse_of_the_depths","Maldición de las profundidades"
"specials.name.curse_of_the_sea","Maldición del mar"
"specials.name.curse_of_the_specter","Maldición espectral"
"specials.name.curse_of_the_specter_pve","Maldición espectral"
"specials.name.cursed_fumes","Vapores malditos"
"specials.name.cursed_fumes2","Vapores malditos"
"specials.name.cursed_garden","Jardín maldito"
"specials.name.cursed_painting","Cuadro maldito"
"specials.name.cursed_plan","Plan maldito"
"specials.name.cursed_strike","Golpe maldito"
"specials.name.cursed_tail_whip","Latigazo maldito"
"specials.name.cut_cure_and_craze","Cortar, curar y enloquecer"
"specials.name.cut_down_the_competition","A tajos con la competición"
"specials.name.cute_and_dangerous","Monada peligrosa"
"specials.name.cuts_of_hulu","Cortes de Hulu"
"specials.name.dagger_of_shadows","Daga de las sombras"
"specials.name.dance_of_fire","Danza de fuego"
"specials.name.dance_of_flame","Danza de las llamas"
"specials.name.dance_of_glass","Danza de cristal"
"specials.name.dance_of_ignition","Danza de ignición"
"specials.name.dance_of_siegfried","Danza de Siegfried"
"specials.name.dance_of_spirits","Danza de los espíritus"
"specials.name.dance_of_the_dunes","Danza de las dunas"
"specials.name.dance_of_the_heron","Danza de la garza"
"specials.name.dance_of_the_little_swan","Danza de los pequeños cisnes"
"specials.name.dance_of_the_queen","Danza de la reina"
"specials.name.dance_of_the_raven","Danza del cisne negro"
"specials.name.dance_of_the_slimy","Danza viscosa"
"specials.name.dance_of_the_swan","Danza del cisne"
"specials.name.dance_of_the_yellow_swan","Danza del cisne luminoso"
"specials.name.dance_of_toons","Danza de las caricaturas"
"specials.name.dancestance","Danza guerrera"
"specials.name.dancing_dodge","Danza evasiva"
"specials.name.dancing_slash","Danza de tajos"
"specials.name.dantes_inferno","Infierno de Dante"
"specials.name.dark_barrage","Avalancha de oscuridad"
"specials.name.dark_bolt","Virote oscuro"
"specials.name.dark_lord","Golpe condenado"
"specials.name.dark_mirror","Espejo de las llamas"
"specials.name.dark_orb","Orbe oscuro"
"specials.name.dark_shock","Rayo oscuro"
"specials.name.darts_of_the_deep","Dardos de las profundidades"
"specials.name.dauntless_bladestorm","Tormenta afilada indomable"
"specials.name.dawn_strike","Golpe crepuscular"
"specials.name.dawnlight_rally","Arenga de luz crepuscular"
"specials.name.day_of_judgement","Día del juicio final"
"specials.name.day_of_reckoning","La hora de la verdad"
"specials.name.dazzling_gleam","Brillo deslumbrante"
"specials.name.dazzling_grin","Sonrisa deslumbrante"
"specials.name.dazzling_sweep_dragon_pve","Barrido deslumbrante"
"specials.name.deadly_claw","Garra letal"
"specials.name.deadly_constriction","Opresión letal"
"specials.name.deadly_riposte","Contraataque letal"
"specials.name.deadly_sting","Picadura mortífera"
"specials.name.deafening_parade","Desfile ensordecedor"
"specials.name.deathly_glaive","Guja mortífera"
"specials.name.deathstrike","Golpe mortal"
"specials.name.debt_drain_boboosang","Deuda saldada"
"specials.name.deceiving_glow","Resplandor engañoso"
"specials.name.deceptive_smalltalk","Cháchara engañosa"
"specials.name.deep_sea_ritual","Ritual de aguas profundas"
"specials.name.defensive_tactics","Tácticas defensivas"
"specials.name.delay_the_inevitable","Retrasar lo inevitable"
"specials.name.delicious_demise","Muerte deliciosa"
"specials.name.delicious_idol","Ídolo delicioso"
"specials.name.demolishing_crush","Choque demoledor"
"specials.name.demoralizing_banter","Charla desmoralizante"
"specials.name.depth_blast","Explosión de las profundidades"
"specials.name.deranged_existence","Existencia enloquecida"
"specials.name.desert_blessing","Bendición del desierto"
"specials.name.destructive_strike","Arremetida de tridente"
"specials.name.deteriorating_morale","Moral debilitada"
"specials.name.devastating_slash","Tajo devastador"
"specials.name.devastating_thrust","Envite devastador"
"specials.name.dewling_strike","Golpe acuoso"
"specials.name.dewling_sweep","Barrido acuoso"
"specials.name.dewling_warcry","Grito de guerra acuoso"
"specials.name.dig_a_hole","Cava un hoyo"
"specials.name.dinner_with_the_beast","Cena con la Bestia"
"specials.name.dire_ghost","Fantasma terrible"
"specials.name.directors_blessing","Bendición de la directora"
"specials.name.directors_blessing_pve","Bendición de la directora"
"specials.name.disabling_decree","Decreto discapacitante"
"specials.name.disabling_study","Estudio discapacitante"
"specials.name.disarming_gaze_dragon_pve","Mirada que desarma"
"specials.name.disheartening_riddle","Acertijo descorazonador"
"specials.name.dishonorable_ploy","Ardid deshonroso"
"specials.name.disir_of_dreams","Dísir de los sueños"
"specials.name.disir_of_dusk","Dísir del crepúsculo"
"specials.name.dispelling_curse","Maldición descartadora"
"specials.name.dispelling_judgement","Juicio descartador"
"specials.name.dispelling_potion","Poción descartadora"
"specials.name.dispelling_strike","Golpe descartador"
"specials.name.dispelling_willpower","Voluntad descartadora"
"specials.name.dispelling_willpower_pve","Voluntad descartadora"
"specials.name.disquieting_tune","Melodía inquietante"
"specials.name.disrupting_charge","Embestida desestabilizadora"
"specials.name.disrupting_charge_costume_tiger_lord","Carga devastadora"
"specials.name.divine_connection","Conexión divina"
"specials.name.divine_current","Corriente divina"
"specials.name.divine_light1","Luz divina"
"specials.name.divine_lunge","Embestida divina"
"specials.name.divine_protection","Protección divina"
"specials.name.divine_protection_deadly","Protección divina"
"specials.name.divine_reflection","Reflejo divino"
"specials.name.divine_reversal","Giro divino"
"specials.name.dizzying_strike","Golpe mareante"
"specials.name.donut_to_the_rescue","¡Dónut al rescate!"
"specials.name.doomrend","Desgarro condenado"
"specials.name.doomstrike","Golpe condenado"
"specials.name.double_flail_mayhem","Mayal doble"
"specials.name.double_strike","Doble golpe"
"specials.name.doublebarreled_starstick","Arma estelar de doble cañón"
"specials.name.dozy_mead","Hidromiel adormecedor"
"specials.name.dragon_autumn_blaze","Llamarada otoñal"
"specials.name.dragon_blaze_of_fatigue","Llamarada de cansancio"
