"heroes.name_fancy.astral_cosmicspeaker","Elfa astral astrónoma"
"heroes.name_fancy.ballerina_meg_giry","Bailarina en ciernes"
"heroes.name_fancy.ballerina_odette","El cisne blanco"
"heroes.name_fancy.ballerina_odile","Cisne negro"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Mente maestra misteriosa"
"heroes.name_fancy.ballerina_prince_siegfried","Futuro rey"
"heroes.name_fancy.ballerina_raul","Noble enamorado"
"heroes.name_fancy.ballerina_swan_maiden","Uno de los pequeños cisnes"
"heroes.name_fancy.ballerina_uberta","Reina viuda"
"heroes.name_fancy.ballerina_von_rothbart","Mago temido"
"heroes.name_fancy.bard_astrid","Trovadora de la resurrección"
"heroes.name_fancy.bard_balafon","Trovadora de los festivales espirituales"
"heroes.name_fancy.bard_belladonna","Trovadora sobrenatural"
"heroes.name_fancy.bard_bhaltair","Músico enano"
"heroes.name_fancy.bard_bonzo","Trovador de lo extraño"
"heroes.name_fancy.bard_celimene","Trovadora ilusoria"
"heroes.name_fancy.bard_darkbeat","Favorito del público"
"heroes.name_fancy.bard_dunnar_hart","Batería magmático"
"heroes.name_fancy.bard_garyas","Trovador alegre"
"heroes.name_fancy.bard_lyria","Instrumentista exaltada"
"heroes.name_fancy.bard_merith","Violinista serpentina"
"heroes.name_fancy.bard_narcisa","Trovadora glamurosa"
"heroes.name_fancy.bard_ogima","Trovador espiritual"
"heroes.name_fancy.bard_phenexa","Trovadora susurrante"
"heroes.name_fancy.bard_rhys","Trovador valeroso"
"heroes.name_fancy.bard_winifred","Trovadora creativa"
"heroes.name_fancy.bard_zarel","Trovadora tradicional"
"heroes.name_fancy.bard_zhabog","Trovador elocuente"
"heroes.name_fancy.beachparty_andy_jay","Juerguista de las costas soleadas"
"heroes.name_fancy.beachparty_brebarg","Experto en castillos de arena"
"heroes.name_fancy.beachparty_davey_wavey","Tiburón en entrenamiento"
"heroes.name_fancy.beachparty_dillo","Armadillo calado"
"heroes.name_fancy.beachparty_dolrak","Enano quemado"
"heroes.name_fancy.beachparty_flip","Foca socorrista"
"heroes.name_fancy.beachparty_flip_costume_donut","Foca vendedora de dónuts"
"heroes.name_fancy.beachparty_itham","Instructor de natación elfo"
"heroes.name_fancy.beachparty_mazoga","Orca con pistola de agua"
"heroes.name_fancy.beachparty_misty","Gnoma buceadora"
"heroes.name_fancy.beachparty_mortimer","Elfa oscura surfista"
"heroes.name_fancy.beachparty_serena","Ricachona playera"
"heroes.name_fancy.beachparty_zenukwa","Amante de los helados"
"heroes.name_fancy.beauty_beast_cerissa","Grácil hada del castillo embrujado"
"heroes.name_fancy.beauty_beast_chandel","Iluminadora del castillo embrujado"
"heroes.name_fancy.beauty_beast_dominique","Fiel protector"
"heroes.name_fancy.beauty_beast_ivete","Hada celosa del castillo embrujado"
"heroes.name_fancy.beauty_beast_jacquespierre","Padre de Bella, el famoso Inventor"
"heroes.name_fancy.beauty_beast_laurent","Guardia petrificado del castillo embrujado"
"heroes.name_fancy.beauty_beast_lucas","Hermano menor de Dominique"
"heroes.name_fancy.beauty_beast_pendulus_clonk","Reloj impaciente del castillo embrujado"
"heroes.name_fancy.beauty_beast_rose_de_flo","Flor del castillo embrujado"
"heroes.name_fancy.beauty_beast_seraphine","Hermana vengativa de Bella"
"heroes.name_fancy.beauty_beast_the_beast","Príncipe solitario del castillo embrujado"
"heroes.name_fancy.beowulf_aeschere","Sabio de los Scyldingas"
"heroes.name_fancy.beowulf_beowulf","Espadachín de los gautas"
"heroes.name_fancy.beowulf_breca","Amigo del alma"
"heroes.name_fancy.beowulf_ecgtheow","General implacable"
"heroes.name_fancy.beowulf_freawaru","Pacificadora"
"heroes.name_fancy.beowulf_grendel","Criatura infernal rompeespadas"
"heroes.name_fancy.beowulf_grendels_mother","Bruja del lago aterradora"
"heroes.name_fancy.beowulf_hrothgar","Maestro de la sala de hidromiel"
"heroes.name_fancy.beowulf_hygd","Reina de los gautas"
"heroes.name_fancy.beowulf_modthryth","Doncella escudera despiadada"
"heroes.name_fancy.beowulf_nithgaest","Némesis de Beowulf"
"heroes.name_fancy.beowulf_unferth","Portador de Hrunting"
"heroes.name_fancy.beowulf_wealhtheow","Reina de la ostentación"
"heroes.name_fancy.beowulf_weland","Herrera hábil"
"heroes.name_fancy.beowulf_wiglaf","Hijo de Weohstan"
"heroes.name_fancy.blackguard_commander","Duque apenado"
"heroes.name_fancy.blackguard_commander_costume_cute","Caricatura apenada"
"heroes.name_fancy.blackguard_commander_costume_feather","Duque lastimero"
"heroes.name_fancy.blackguard_commander_costume_glass","Vidriera apenada"
"heroes.name_fancy.blackguard_commander_costume_metal","Duque de Roca"
"heroes.name_fancy.blackguard_female_archer","Arquero aspirante"
"heroes.name_fancy.blackguard_female_captain","Alcaide firme"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Caricatura firme"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Vidriera firme"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Capataz firme"
"heroes.name_fancy.blackguard_female_captain_costume_stylish","Guardia elegante"
"heroes.name_fancy.blackguard_knight","Jinete noble"
"heroes.name_fancy.blackguard_knight_costume_cute","Jinete de caricatura"
"heroes.name_fancy.blackguard_knight_costume_elegant","Noble gallardo"
"heroes.name_fancy.blackguard_knight_costume_glass","Jinete de cristal"
"heroes.name_fancy.blackguard_knight_costume_healer","Curandero noble"
"heroes.name_fancy.blackguard_scout","Fugitivo de Morgovia"
"heroes.name_fancy.blackguard_skulker","Asesino inestable"
"heroes.name_fancy.blackguard_skulker_costume_cute","Caricatura inestable"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Cirujano inestable"
"heroes.name_fancy.blackguard_skulker_costume_glass","Asesino de cristal"
"heroes.name_fancy.castle_bear_armel","Embajador del Ártico"
"heroes.name_fancy.castle_bear_bearnadette","Retratista"
"heroes.name_fancy.castle_bear_humbert","Defensor de las montañas"
"heroes.name_fancy.castle_bear_koda","Caballero del ciruelar"
"heroes.name_fancy.castle_bear_teddy","El puro de corazón"
"heroes.name_fancy.castle_bear_torben","Señor de las montañas"
"heroes.name_fancy.castle_bear_winnie","Armera osuna"
"heroes.name_fancy.castle_bear_yona","Bufona de las montañas"
"heroes.name_fancy.castle_raven_aderyn","Médica del castillo"
"heroes.name_fancy.castle_raven_eloise","Encantadora del castillo"
"heroes.name_fancy.castle_raven_franz","Protector del castillo"
"heroes.name_fancy.castle_raven_lewena","Tiradora del castillo"
"heroes.name_fancy.castle_raven_quintin","Acechador del castillo"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Cazador gélido de los Cuervos"
"heroes.name_fancy.castle_raven_rayne","Capitana del castillo"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Capitana de los Cuervos"
"heroes.name_fancy.castle_raven_wren","Explorador del castillo"
"heroes.name_fancy.castle_stag_alvar","Abrecaminos"
"heroes.name_fancy.castle_stag_cecilia","Bendecida por el crepúsculo"
"heroes.name_fancy.castle_stag_daemon","Vengador de los marchitos"
"heroes.name_fancy.castle_stag_fawn","Escudera devota"
"heroes.name_fancy.castle_stag_lysanor","Vidente del sueño de zafiro"
"heroes.name_fancy.castle_stag_raleigh","Erudito del bosque esmeralda"
"heroes.name_fancy.castle_stag_siofra","Guardajuramentos"
"heroes.name_fancy.castle_stag_xiamara","Guardiana del bosque esmeralda"
"heroes.name_fancy.castle_wolf_bertulf","Chef del castillo"
"heroes.name_fancy.castle_wolf_esme","Archimaga del castillo"
"heroes.name_fancy.castle_wolf_ferant","Guardia del castillo"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Guardián de los Lobos"
"heroes.name_fancy.castle_wolf_ludwig","Defensor del castillo"
"heroes.name_fancy.castle_wolf_quenell","Campeona del castillo"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Campeona de los Lobos"
"heroes.name_fancy.castle_wolf_wolfgang","Comandante del castillo"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Comandante de los Lobos"
"heroes.name_fancy.champions_lazara","Campeona del béisbol"
"heroes.name_fancy.champions_mistra","Campeona de lanzamiento de disco"
"heroes.name_fancy.champions_nogu","Campeón de lanzamiento de jabalina"
"heroes.name_fancy.champions_norman","Campeón de justa"
"heroes.name_fancy.champions_ramona","Campeona de equitación carneril"
"heroes.name_fancy.champions_satori","Campeón de sumo"
"heroes.name_fancy.christmas_albin","Experto en chocolate caliente"
"heroes.name_fancy.christmas_augustus","Gnomo anciano"
"heroes.name_fancy.christmas_buster","Gnomo de jardín gruñón"
"heroes.name_fancy.christmas_carol","Pequeña ayudante de Santa"
"heroes.name_fancy.christmas_cookie","Gnomo científico"
"heroes.name_fancy.christmas_dizzy","Gnomo artista"
"heroes.name_fancy.christmas_elf","Pequeño ayudante de Santa"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Contable de Santa"
"heroes.name_fancy.christmas_florencia","Guardiana de nieve"
"heroes.name_fancy.christmas_frosty","Centinela norteño"
"heroes.name_fancy.christmas_ginger","Gnoma exploradora"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Maestra gnoma de los regalos"
"heroes.name_fancy.christmas_holly","Gnoma cocinera"
"heroes.name_fancy.christmas_jolly","Gnomo leñador"
"heroes.name_fancy.christmas_krampus","Demonio de las fiestas"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Bromista de las fiestas"
"heroes.name_fancy.christmas_mr_pengi","Capitán de la guardia de Santa Claus"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Capitán del equipo de snowboard"
"heroes.name_fancy.christmas_mrs_claus","Cocinera del norte"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Amante de los jerséis festivos"
"heroes.name_fancy.christmas_noel","Niño con trineo alegre"
"heroes.name_fancy.christmas_ottilia","Gnoma decoradora"
"heroes.name_fancy.christmas_peppermint","Gnomo alquimista"
"heroes.name_fancy.christmas_reindeer","Fiel corcel de Santa"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Corcel caballeresco de Santa"
"heroes.name_fancy.christmas_santa","Portador de regalos"
"heroes.name_fancy.christmas_santa_costume_metal","Santa Claus metalero"
"heroes.name_fancy.christmas_tinsel","Gnoma chatarrera"
"heroes.name_fancy.christmas_zappa","Gnomo brujo"
"heroes.name_fancy.circus_bobo","Yeti de corazón bondadoso"
"heroes.name_fancy.circus_candy","Juerguista alegre"
"heroes.name_fancy.circus_dandre","Malabarista de manos firmes"
"heroes.name_fancy.circus_director_zuri","Maestra del circo"
"heroes.name_fancy.circus_director_zuri_costume_clown","Maestra de los payasos"
"heroes.name_fancy.circus_eichbelborg","Culturista fanfarrón"
"heroes.name_fancy.circus_eiora_and_fluffy","Dúo dinámico"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Dúo oscuro"
"heroes.name_fancy.circus_emilio","El gran domador de fénix"
"heroes.name_fancy.circus_emilio_costume_frog","El gran domador de ranas"
"heroes.name_fancy.circus_faline","Acróbata impresionante"
"heroes.name_fancy.circus_marcel","Mimo maligno"
"heroes.name_fancy.circus_theobald","Oso milagroso que arroja cuchillos"
"heroes.name_fancy.circus_whacker","Lunático agresivo"
"heroes.name_fancy.construct_arzen","Creación de capataz despiadado"
"heroes.name_fancy.construct_blue_mage","Creación mágica estelar"
"heroes.name_fancy.construct_bonechill","Creación gélida"
"heroes.name_fancy.construct_brimstone","Creación infernal"
"heroes.name_fancy.construct_carta","Creación cartógrafa"
"heroes.name_fancy.construct_dancrag","Creación de coloso de la antigüedad"
"heroes.name_fancy.construct_ferrus","Creación pirata"
"heroes.name_fancy.construct_frond","Creación élfica"
"heroes.name_fancy.construct_glacivolt","Creación de capataz glacial"
"heroes.name_fancy.construct_gwynn","Creación de flujo de energía"
"heroes.name_fancy.construct_halwinter","Creación con blindaje pesado"
"heroes.name_fancy.construct_haulstone","Creación carguera"
"heroes.name_fancy.construct_hornfel","Creación de minotauro"
"heroes.name_fancy.construct_hotspin","Creación de ciclón flamígero"
"heroes.name_fancy.construct_ironheart","Creación de guardián sagrado"
"heroes.name_fancy.construct_ironvein","Creación de escudero sagrado"
"heroes.name_fancy.construct_japanese_doll","Creación de porcelana"
"heroes.name_fancy.construct_nautica","Creación navegante"
"heroes.name_fancy.construct_nocturne","Creación hueca"
"heroes.name_fancy.construct_rhineglow","Creación supercondensadora"
"heroes.name_fancy.construct_rustbeak","Creación búho"
"heroes.name_fancy.construct_scoria","Creación ardiente"
"heroes.name_fancy.construct_shaal","Creación clériga"
"heroes.name_fancy.construct_shacklebolt","Creación encarcelada"
"heroes.name_fancy.construct_sizzleomatic","Creación de chef entusiasta"
"heroes.name_fancy.construct_skarn","Creación glacial"
"heroes.name_fancy.construct_sylosis","Creación de artista marcial"
"heroes.name_fancy.construct_tenebrae","Creación de princesa oscura"
"heroes.name_fancy.construct_zavok","Creación de mago caótico"
"heroes.name_fancy.cultist_female_poisoner","Pícaro rebelde"
"heroes.name_fancy.cultist_inventor","Científico loco"
"heroes.name_fancy.cultist_inventor_costume_cute","Científico de caricatura"
"heroes.name_fancy.cultist_inventor_costume_glass","Científico de cristal"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Doctor del amor"
"heroes.name_fancy.cultist_inventor_costume_steam","Electrocientífico"
"heroes.name_fancy.cultist_mage","Mago aterrador"
"heroes.name_fancy.cultist_mage_costume_cute","Mago de caricatura"
"heroes.name_fancy.cultist_mage_costume_glass","Mago de cristal"
"heroes.name_fancy.cultist_mage_costume_stylish","Mago elegante"
"heroes.name_fancy.cultist_mage_costume_voodoo","Mago zombi"
"heroes.name_fancy.cultist_sorceress","Verdugo de Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_cute","Verdugo de caricatura"
"heroes.name_fancy.cultist_sorceress_costume_glass","Vidriera de Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Monstruo de Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_snake","Serpiente de Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_stylish","Verdugo con estilo"
"heroes.name_fancy.cultist_thief","Ladrón con grandes planes"
"heroes.name_fancy.dark_god_aeron","Juez firme"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Juez con peluca"
"heroes.name_fancy.dark_god_akilius","Saqueador perverso"
"heroes.name_fancy.dark_god_anoushka","Pitonisa huraña"
"heroes.name_fancy.dark_god_arfanias","Asesino sombrío"
"heroes.name_fancy.dark_god_chakkoszrot","Sumo sacerdote lagarto"
"heroes.name_fancy.dark_god_clarissa","Médium impetuosa"
"heroes.name_fancy.dark_god_cordelia","Reina de las maldiciones"
"heroes.name_fancy.dark_god_eldwren","Padre del rebaño"
"heroes.name_fancy.dark_god_grimble","Gnomo con montura de cabra"
"heroes.name_fancy.dark_god_hel","Celestial de la oscuridad"
"heroes.name_fancy.dark_god_hel_costume_cute","Celestial de la oscuridad de caricatura"
"heroes.name_fancy.dark_god_hel_costume_omen","Presagio de la oscuridad"
"heroes.name_fancy.dark_god_kunchen","Vagabundo místico"
"heroes.name_fancy.dark_god_malicna","Profesora malvada"
"heroes.name_fancy.dark_god_morax","Azote del inframundo"
"heroes.name_fancy.dark_god_september","Asesino ilusorio"
"heroes.name_fancy.dark_god_september_costume_engineer","Ingeniera ilusoria"
"heroes.name_fancy.dark_god_seshat","Cazadora reanimada"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Arquera espectral eminente"
"heroes.name_fancy.dark_god_sir_casmir","Guardián vagabundo"
"heroes.name_fancy.dark_god_turgruk","Rastreadora violenta"
"heroes.name_fancy.dark_god_uthragan","Abominación tóxica"
"heroes.name_fancy.dark_god_viscaro","Druida corrupto"
"heroes.name_fancy.dark_god_zed","Lancero imperial"
"heroes.name_fancy.dark_god_zulag","La aguerrida"
"heroes.name_fancy.dwarven_guard","Defensor corpulento"
"heroes.name_fancy.dwarven_guard_costume_cute","Defensor de caricatura"
"heroes.name_fancy.dwarven_guard_costume_glass","Defensor de cristal"
"heroes.name_fancy.dwarven_guard_costume_ram","Defensor pesado"
"heroes.name_fancy.dwarven_guard_costume_tavern","Defensor de la taberna"
"heroes.name_fancy.dwarven_scout","Combatiente veterano"
"heroes.name_fancy.dwarven_smasher","El Apasionado"
"heroes.name_fancy.dwarven_smasher_costume_cute","Caricatura del Apasionado"
"heroes.name_fancy.dwarven_smasher_costume_glass","Vidriera del Apasionado"
"heroes.name_fancy.dwarven_smasher_costume_smith","El Acalorado"
"heroes.name_fancy.dwarwen_brewmaster","Maestro cervecero"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Caricatura cervecera"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Vidriera cervecera"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Maestro destructor"
"heroes.name_fancy.dwarwen_brewmaster_costume_stylish","Catador elegante"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Tallista experto"
"heroes.name_fancy.easter_archie","Llama trovadora itinerante"
"heroes.name_fancy.easter_archie_costume_gallant","Llama trovadora galante"
"heroes.name_fancy.easter_chick_jr","Escudero de Springvale"
"heroes.name_fancy.easter_duke_whitley","Gran mago de Springvale"
"heroes.name_fancy.easter_jasper","Toro florista"
"heroes.name_fancy.easter_jasper_costume_fisherman","Toro pescador"
"heroes.name_fancy.easter_killhare","Protector salvaje de Springvale"
"heroes.name_fancy.easter_killhare_costume_farmer","Granjera sublime"
"heroes.name_fancy.easter_lady_woolerton","Reparador de Springvale"
"heroes.name_fancy.easter_lady_woolerton_costume_coiffeuse","Peluquera de Springvale"
"heroes.name_fancy.easter_marko","Viajero de Springvale"
"heroes.name_fancy.easter_miss_ethel","Defensora de Springvale"
"heroes.name_fancy.easter_sadie","Ánade traviesa"
"heroes.name_fancy.easter_sir_roostley","Caballero poderoso de Springvale"
"heroes.name_fancy.easter_sir_roostley_costume_alchemist","Alquimista poderoso de Springvale"
"heroes.name_fancy.easter_timothy","El cerdito valeroso"
"heroes.name_fancy.easter_viscount_cluckwood","Ocultista de Springvale"
"heroes.name_fancy.elemental_aconia","Ciberrebelde"
"heroes.name_fancy.elemental_aconia_costume_courier","Cibermensajera"
"heroes.name_fancy.elemental_alfie","Bufón elemental"
"heroes.name_fancy.elemental_anzia","Salvadora galáctica"
"heroes.name_fancy.elemental_anzia_costume_jailer","Carcelera galáctica"
"heroes.name_fancy.elemental_ash","Cazarrecompensas feroz"
"heroes.name_fancy.elemental_ash_costume_savage","Cazarrecompensas salvaje"
"heroes.name_fancy.elemental_craum","Chamán elemental"
"heroes.name_fancy.elemental_craum_costume_occultist","Ocultista elemental"
"heroes.name_fancy.elemental_desmond","Espadachín alquimista"
"heroes.name_fancy.elemental_desmond_costume_assassin","Espadachín asesino"
"heroes.name_fancy.elemental_doxan","Espadachín de plasma exiliado"
"heroes.name_fancy.elemental_doxan_costume_hacker","Pirata informático de plasma exiliado"
"heroes.name_fancy.elemental_farrah","Espadachina maestra supersónica"
"heroes.name_fancy.elemental_farrah_costume_cyber","Espadachina maestra cibernética"
"heroes.name_fancy.elemental_gastille","Peligro multidimensional"
"heroes.name_fancy.elemental_gastille_costume_sporty","Peligro deportivo"
"heroes.name_fancy.elemental_griffex","Cambiarrealidades"
"heroes.name_fancy.elemental_griffex_costume_camera","Cambiaoscuridades"
"heroes.name_fancy.elemental_grilka","Contramaestre hospitalaria"
"heroes.name_fancy.elemental_grilka_costume_treasure","Contramaestre popular"
"heroes.name_fancy.elemental_ignazio","Propagador de las llamas"
"heroes.name_fancy.elemental_ignazio_costume_medic","Cirujano ígneo"
"heroes.name_fancy.elemental_ironmaw","Señor de la guerra de los orcos inquebrantables"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Señor de la guerra de la legión"
"heroes.name_fancy.elemental_jequn","El enigma cósmico"
"heroes.name_fancy.elemental_jequn_costume_gilded","El enigma dorado"
"heroes.name_fancy.elemental_jolt","Navegante eléctrica"
"heroes.name_fancy.elemental_jolt_costume_mythic","Navegante mítica"
"heroes.name_fancy.elemental_lexi","Artesana de la energía elemental"
"heroes.name_fancy.elemental_linus","Convicto descuidado"
"heroes.name_fancy.elemental_niki","Maestra de la guadaña de los mares negros"
"heroes.name_fancy.elemental_niki_costume_music","Maestra de la guadaña de la música"
"heroes.name_fancy.elemental_nova","Cazadora de espíritus de fuego"
"heroes.name_fancy.elemental_nylora","Asesina de sangre fría"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Asesina de las joyas"
"heroes.name_fancy.elemental_quinn","Chef cósmico"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Alquimista cósmico"
"heroes.name_fancy.elemental_roz","Tiradora innata"
"heroes.name_fancy.elemental_roz_costume_disco","Tiradora discotequera"
"heroes.name_fancy.elemental_vander","Capitán cíborg"
"heroes.name_fancy.elemental_vander_costume_clown","Capitán payaso"
"heroes.name_fancy.elemental_xandrella","Maestra de las creaciones elementales"
"heroes.name_fancy.elemental_xandrella_costume_idol","Ídolo de las creaciones elementales"
"heroes.name_fancy.elemental_xavier","Especialista en dos hojas"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Artrópodo de dos hojas"
"heroes.name_fancy.elemental_zandria","Defensora del espacio-tiempo"
"heroes.name_fancy.elemental_zandria_costume_planet","Defensora de las galaxias"
"heroes.name_fancy.elemental_zaria","Médium de tres ojos"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Encantadora de tres ojos"
"heroes.name_fancy.elemental_zengar","Bestia universal"
"heroes.name_fancy.elemental_zengar_costume_farmer","Bestia cultivadora"
"heroes.name_fancy.elemental_zione","Experta en envíos mecanizados"
"heroes.name_fancy.elemental_zuni","Elfa en aeropatín"
"heroes.name_fancy.elemental_zuni_costume_mage","Maga en aeropatín"
"heroes.name_fancy.elven_archer","El Corazón noble"
"heroes.name_fancy.elven_archer_costume_cute","La Caricatura noble"
"heroes.name_fancy.elven_archer_costume_glass","La Vidriera noble"
"heroes.name_fancy.elven_archer_costume_moon","El Guardián noble"
"heroes.name_fancy.elven_archer_costume_raven","Cuervo noble"
"heroes.name_fancy.elven_archer_costume_stylish","Arquero elegante"
"heroes.name_fancy.elven_captain","Elfo veterano"
"heroes.name_fancy.elven_captain_costume_cavalier","Elfo caballero"
"heroes.name_fancy.elven_captain_costume_cute","Elfo de caricatura"
"heroes.name_fancy.elven_captain_costume_glass","Vidriera elfa"
"heroes.name_fancy.elven_captain_costume_mask","Elfo vengador"
"heroes.name_fancy.elven_captain_costume_stylish","Elfo con estilo"
"heroes.name_fancy.exalted_female_statue","Antigüedad de piedra"
"heroes.name_fancy.exalted_female_statue_costume_cute","Caricatura de piedra"
"heroes.name_fancy.exalted_female_statue_costume_glass","Vidriera de piedra"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Antigüedad del sol"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Antigüedad de espinas"
"heroes.name_fancy.exalted_warrior","Antigüedad de hielo"
"heroes.name_fancy.exalted_warrior_costume_cute","Caricatura de hielo"
"heroes.name_fancy.exalted_warrior_costume_glass","Vidriera de hielo"
"heroes.name_fancy.exalted_warrior_costume_ice","Monolito de hielo"
"heroes.name_fancy.exalted_warrior_costume_stylish","Ancestro de hielo elegante"
"heroes.name_fancy.exalted_warrior_costume_underworld","Antigüedad del inframundo"
"heroes.name_fancy.fables_boss_wolf","Gobernador del Bosque sombrío"
"heroes.name_fancy.fables_cinderella","Doncella del Bosque sombrío"
"heroes.name_fancy.fables_frog_prince","Heredero al trono"
"heroes.name_fancy.fables_gnomer","Centinela del Bosque sombrío"
"heroes.name_fancy.fables_gretel","Matabrujas del Bosque sombrío"
"heroes.name_fancy.fables_hansel","Cazador de brujas del Bosque sombrío"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Cazador de vampiros del Bosque sombrío"
"heroes.name_fancy.fables_pixie","Duende del Bosque sombrío"
"heroes.name_fancy.fables_puss_in_boots","Gato del Bosque sombrío"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Gato enmascarado"
"heroes.name_fancy.fables_red_hood","Protector del Bosque sombrío"
"heroes.name_fancy.fables_rumpelstiltskin","Bufón del Bosque sombrío"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Embaucador eterno"
"heroes.name_fancy.fables_snow_white","Princesa del Bosque sombrío"
"heroes.name_fancy.fables_snow_white_costume_slayer","Asesina blanca"
"heroes.name_fancy.faun_araminta","Guerrera fauno temible"
"heroes.name_fancy.faun_ascian","Augur fauno omnividente"
"heroes.name_fancy.faun_bramble","Jardinera fauno amable"
