"specials.name.a_cozy_break","Een gezellige pauze"
"specials.name.blazing_beak","Vuursnavel"
"specials.name.blazing_corolla","Vurige Corolla"
"specials.name.blazing_inferno","Laaiend inferno"
"specials.name.blazing_rave_dance","Vurige feestdans"
"specials.name.blazing_slam_dunk","Vurige slamdunk"
"specials.name.blazing_venom","Vlammend gif"
"specials.name.bleed_inducing_daggers","Bloedingsdolken"
"specials.name.bleeding_edge","Bloedend mes"
"specials.name.bleeding_hammer","Bloedende hamer"
"specials.name.bleeding_stab","Bloedlatende Steek"
"specials.name.bleeding_thrust","Bloedende zwaardstoot"
"specials.name.blessed_blade","Gezegende zwaarden"
"specials.name.blessed_blade_pve","Gezegende zwaarden"
"specials.name.blessed_brew","Gezegend Brouwsel"
"specials.name.blessed_solo","Gezegende solo"
"specials.name.blessed_tankard","Gezegende kroes"
"specials.name.blessing_from_the_future","Zegening uit de toekomst"
"specials.name.blessing_of_gjallarhorn","Zegening van Gjallarhorn"
"specials.name.blessing_of_the_evergrove","Zegening van de Immergrot"
"specials.name.blessing_of_the_skies","Zegening van de hemelen"
"specials.name.blind_rage","Blinde woede"
"specials.name.blinding_attack","Verblindende aanval"
"specials.name.blinding_curse","Verblindende Vloek"
"specials.name.blinding_flash","Verblindende flits"
"specials.name.blinding_flash_s4","Verblindende flits"
"specials.name.blinding_injustice","Verblindend onrecht"
"specials.name.blinding_knowledge","Verblindende kennis"
"specials.name.blinding_light","Verblindend licht"
"specials.name.blinding_orb","Verblindende bol"
"specials.name.blinding_pounce","Verblindende uitval"
"specials.name.blinding_spell","Verblindende spreuk"
"specials.name.blinding_spit","Verblindende spuugaanval"
"specials.name.blinding_stinger","Verblindende steek"
"specials.name.blinding_strike","Verblindende aanval"
"specials.name.blinding_wisdom","Verblindende wijsheid"
"specials.name.blizzard","Sneeuwstorm"
"specials.name.blizzard_roar","Brullende sneeuwstorm"
"specials.name.blob_of_fury","Woedeklodder"
"specials.name.blood_illusion","Illusie van bloed"
"specials.name.blood_petals_of_the_withered","Bloedblaadjes"
"specials.name.blood_sacrifice","Bloedklap"
"specials.name.bloodthirst","Bloeddorst"
"specials.name.blooming_growth","Bloeiende groei"
"specials.name.bludgeoning","Knuppelen"
"specials.name.blue_lizard_charge","Blauwe camouflagehagedislading"
"specials.name.blue_shroom_wand","Blauwe-paddenstoelenstaf"
"specials.name.blur_of_steel","Stalen waas"
"specials.name.blur_of_steel_pve","Stalen waas"
"specials.name.boar_call","Berenroep"
"specials.name.boar_charge","Zwijnenaanval"
"specials.name.boar_of_fury","Woest zwijn"
"specials.name.boat_ride_from_the_beyond","Veerboot uit het hiernamaals"
"specials.name.bobo_blitz","Boboblitz"
"specials.name.bolstering_rush","Versterkende stormaanval"
"specials.name.bond_of_avarice","Band van hebzucht"
"specials.name.bone_arrow","Botpijl"
"specials.name.bone_club_clonk","Botknotsklap"
"specials.name.bone_club_party","Bottenclubfeest"
"specials.name.bone_ritual","Botritueel"
"specials.name.bone_slam","Bottenknal"
"specials.name.bone_toss","Vliegende botten"
"specials.name.booming_mend","Daverend herstel"
"specials.name.boon_of_gjallarhorn","Overvloed van de Gjallarhoorn"
"specials.name.boopstrike","Boepaanval"
"specials.name.boreal_bash","Boreale beuk"
"specials.name.boulder_smash","Rotsworp"
"specials.name.bound_by_knowledge","Gebonden door kennis"
"specials.name.bound_by_tales","Gebonden door verhalen"
"specials.name.bounty_of_the_spring","Overvloed van de lente"
"specials.name.bouquet_of_the_seas","Boeket van de zeeën"
"specials.name.brain_link","Hersenlink"
"specials.name.brand_of_reckoning","Teken van afrekening"
"specials.name.branded_by_fire","Getekend door vuur"
"specials.name.break_free","Vrij breken"
"specials.name.break_strike","Breekslag"
"specials.name.breaker_blade","Breekzwaard"
"specials.name.breaker_blade_pve","Breekzwaard"
"specials.name.breath_of_darkness","Adem der duisternis"
"specials.name.breath_of_life","Levensadem"
"specials.name.breath_of_the_abyss","Adem uit de diepte"
"specials.name.brew_of_the_centaurs","Brouwsel van de Centaurs"
"specials.name.brides_kiss","Bruidskus"
"specials.name.brilliant_brew","Briljant brouwsel"
"specials.name.brilliant_sweep_dragon_pve","Briljante veeg"
"specials.name.bringer_of_order","Ordebrenger"
"specials.name.brittling_burst","Versplinterend salvo"
"specials.name.brittling_force","Verrotte kracht"
"specials.name.brittling_strike","Verrotte aanval"
"specials.name.bruiser_bros","Beukbroertjes"
"specials.name.brutal_bull_rush","Brute stierenaanval"
"specials.name.brutal_support","Brute steun"
"specials.name.buccaneers_blade","Zeeroverszwaard"
"specials.name.bugs_shell","Insectenhuls"
"specials.name.building_blocks_bulklug","Bouwblokken"
"specials.name.bulwark_charge","Verschansingsbelegering"
"specials.name.burning_ashes","Brandende as"
"specials.name.burning_ashes2","Brandende as"
"specials.name.burning_chains","Brandende ketens"
"specials.name.burning_claws_dragon_pve","Brandende klauwen"
"specials.name.burning_javelin","Brandende speer"
"specials.name.burning_pollen_dragon_pve","Vlammende vleugels"
"specials.name.burning_shields","Vlammende schilden"
"specials.name.burning_spin","Brandende draai"
"specials.name.burning_strike","Brandende Klap"
"specials.name.burning_thread","Brandende draad"
"specials.name.burning_wok","Brandende wok"
"specials.name.but_a_scratch","Slechts een schram"
"specials.name.butterfly_swarm","Vlinderzwerm"
"specials.name.cabbage_barrage","Koolregen"
"specials.name.calcifying_breath","Verkalkende adem"
"specials.name.call_of_the_elements","Roep van de elementen"
"specials.name.call_to_arms","Te wapen"
"specials.name.calling_the_bluff","Allemaal bluf"
"specials.name.calm_jab_dragon_pve","Kalme stoot"
"specials.name.calming_mist","Kalmerende Mist"
"specials.name.camouflage_foliage","Camouflagebladeren"
"specials.name.candy_vines","Snoeplianen"
"specials.name.cannibalizing_munch","Kannibaliserend geknabbel"
"specials.name.cannon_blast","Kanonknal"
"specials.name.cannonball_splash","Kanonskogelplons"
"specials.name.capsicum_charge","Peperlading"
"specials.name.captains_cutlass","Kortelas van de kapitein"
"specials.name.captivating_illusions","Betoverende illusies"
"specials.name.carnivore_garden","Carnivoortuin"
"specials.name.carve_a_hole","Graaf een gat"
"specials.name.carve_the_bones","Bewerk de botten"
"specials.name.cascading_darkness","Waterval van duisternis"
"specials.name.cascading_whirlwind","Gelaagde wervelwind"
"specials.name.cataclysmic_divination","Catastrofale waarzeggerij"
"specials.name.catnip_fury","Kattenkruidwoede"
"specials.name.caught_and_vicious","Gepakt en gevaarlijk"
"specials.name.cauterizing_flame","Dichtschroeiende vlam"
"specials.name.cauterizing_touch","Dichtschroeiende aanraking"
"specials.name.cavalier_hat_of_dark_realm","Ruitershoed uit het Donkere Rijk"
"specials.name.celestial_anvil","Hemels aanbeeld"
"specials.name.ceremonial_dance","Ceremoniële dans"
"specials.name.ceremonial_katar","Ceremoniële Katar"
"specials.name.chain_blasm_strike","Ketenexplosie-aanval"
"specials.name.chain_lightning","Kettingbliksem"
"specials.name.chain_of_pain","Pijnlijke keten"
"specials.name.chain_strike","Slagenregen"
"specials.name.chains_of_legion","Ketenen van het legioen"
"specials.name.chains_of_light","Ketenen van het licht"
"specials.name.chakram_kick","Chakramschop"
"specials.name.challenge_the_strongest","De sterkste uitdagen"
"specials.name.champagne_hammer","Fleshamer"
"specials.name.champion_maneuver","Kampioensmanoeuvre"
"specials.name.championship_carrot","Kampioenschapswortel"
"specials.name.change_stance","Houw van de gokker"
"specials.name.channel_ki","Ki channelen"
"specials.name.channeler_of_the_cats","Aanroeper van de katten"
"specials.name.channeler_of_the_gods","Aanroeper van de goden"
"specials.name.chaos_bolt_volley","Chaosflitssalvo"
"specials.name.chaos_venom","Chaosgif"
"specials.name.charged_fireball_dragon_pve","Geladen vuurbal"
"specials.name.charm_of_protection","Beschermingsspreuk"
"specials.name.charmed_dual_blade","Betoverd dubbelzwaard"
"specials.name.charmers_blades","Charmeurszwaard"
"specials.name.cheerful_charm","Vrolijke bezwering"
"specials.name.cheese_wheel_rampage","Stormloop van het kaaswiel"
"specials.name.cherry_pudding_served","Kersentoetje geserveerd!"
"specials.name.chieftains_vengeance","Wraak van het stamhoofd"
"specials.name.chilling_counterattack","IJzige tegenaanval"
"specials.name.chilling_slash","IJzige Houw"
"specials.name.chitin_cage","Carapaxkooi"
"specials.name.chords_of_distortion","Akkoorden van vervorming"
"specials.name.chords_of_havoc","Akkoorden van chaos"
"specials.name.chords_of_inferno","Inferno-akkoorden"
"specials.name.claw_power","Woede van de Aardman"
"specials.name.claw_swipe","Klauwuithaal"
"specials.name.claws_of_fury","Klauwen van furie"
"specials.name.claws_of_the_hunter","Jagersklauwen"
"specials.name.claws_of_the_lioness","Klauwen van de leeuwin"
"specials.name.claws_of_the_night","Klauwen van de nacht"
"specials.name.claws_of_the_night_ultimate_boss","Klauwen van de nacht"
"specials.name.claws_of_the_north","Klauwen van het noorden"
"specials.name.cleansing_determination","Zuiverende vastberadenheid"
"specials.name.cleansing_determination_pve","Zuiverende vastberadenheid"
"specials.name.cleansing_strike","Reinigende aanval"
"specials.name.cleave_and_reflect","Klief en reflecteer"
"specials.name.cleave_counter","Houw en tegenaanval"
"specials.name.clever_stratagem","Slimme krijgslijst"
"specials.name.cloak_of_feathers","Mantel van veren"
"specials.name.close_order_formation","Nauwe formatie"
"specials.name.cloth_of_constellations","Kleed der constellaties"
"specials.name.cloud_axe","Wolkenbijl"
"specials.name.cloud_hammer","Wolkenhamer"
"specials.name.clowns_blessing","Zegening van een clown"
"specials.name.coastal_recharge","Herladen aan de kust"
"specials.name.coiling_whip","Kronkelende zweep"
"specials.name.coins_of_pain","Munten van pijn"
"specials.name.cold_blast","Sneeuwstorm"
"specials.name.cold_blast_single","Koude Stoot"
"specials.name.cold_command","Koud commando"
"specials.name.cold_fire","Koudvuur"
"specials.name.colossal_bite","Kolossale beet"
"specials.name.colossal_carry","Kolossale draagkracht"
"specials.name.colossal_chops","Kolossale houwen"
"specials.name.comet","Verschroeiende straal"
"specials.name.command_pack","Heersen over de roedel"
"specials.name.command_sand_golems","Commandeer zandgolems"
"specials.name.command_to_advance","Commando voorwaarts"
"specials.name.command_to_advance_costume_fire_bat","Bevel voorwaarts"
"specials.name.commanders_gauntlet","Commandantenhandschoen"
"specials.name.commodores_malice","Venijn van de commodore"
"specials.name.commodores_revenge","De Wraak van de Commodore"
"specials.name.compact_lance","Compacte lans"
"specials.name.concussive_charge","Onthutsende aanval"
"specials.name.confident_strategy","Zelfverzekerde strategie"
"specials.name.conjure_the_azure_spirit","Oproep van de azuurgeest"
"specials.name.connect_ki","Ki verbinden"
"specials.name.connect_ki_pve","Ki verbinden"
"specials.name.conquerors_command","Veroveraarsbevel"
"specials.name.constellation_crush","Constellatiepletting"
"specials.name.corals_of_nourishment","Koraal van voeding"
"specials.name.core_beam","Kernstraal"
"specials.name.core_blast","Kernexplosie"
"specials.name.core_burst","Kernsalvo"
"specials.name.corroding_cutlass","Roestige kortelas"
"specials.name.corrosive_acid","Bijtend zuur"
"specials.name.corrosive_burn_claws_dragon_pve","Klauwen met bijtende vuurschade"
"specials.name.corrosive_claws_dragon_pve","Klauwen met bijtend gif"
"specials.name.corrosive_pollen","Bijtende pollen"
"specials.name.corrupting_idol","Corrumperend afgodsbeeld"
"specials.name.cosmic_clock","Kosmische klok"
"specials.name.cosmic_devotion","Kosmische toewijding"
"specials.name.countering_hammock","Hangmat van tegenaanval"
"specials.name.counterstance","Contrahouding"
"specials.name.couriers_dash","Haastige koerier"
"specials.name.cover_slam","Dekkende klap"
"specials.name.covert_stab","Meedogenloze steek"
"specials.name.cracked_skull_strike","Gebarsten schedelaanval"
"specials.name.crawling_vines","Kruipende ranken"
"specials.name.crazed_lunge","Gestoorde uitval"
"specials.name.crazed_stampede","Razende stormloop"
"specials.name.creative_hands","Creatieve handen"
"specials.name.creeping_venom","Kruipend gif"
"specials.name.creeping_vines","Klimop"
"specials.name.crescent_moon_strike","Wassendemaanaanval"
"specials.name.crescent_shield","Maanvormig schild"
"specials.name.crescent_spear","Maanvormige Speer"
"specials.name.crimson_blade","Karmozijnen zwaard"
"specials.name.crimson_calamity","Karmozijnen calamiteit"
"specials.name.crimson_calamity2","Karmozijnen calamiteit"
"specials.name.crimson_hunt","Karmijnjacht"
"specials.name.crimson_trap","Karmijnval"
"specials.name.crippling_claws","Verminkende klauwen"
"specials.name.crippling_claws_pve","Verminkende klauwen"
"specials.name.crippling_grapple","Verminkende houdgreep"
"specials.name.critical_cookout","Kritieke kooksessie"
"specials.name.critical_tactics","Kritieke tactieken"
"specials.name.croc_bite","Krokodillenbeet"
"specials.name.crush_of_avarice","Verpletterende hebzucht"
"specials.name.crush_of_hel","Judaskus van Hel"
"specials.name.crush_of_malice","Kwaadaardige pletting"
"specials.name.crush_of_toon_hel","Verpulvering van Toon Hel"
"specials.name.crushing_claws","Verpletterende klauwen"
"specials.name.crushing_shot","Verpletterend schot"
"specials.name.crust_of_divinity","Korst van goddelijkheid"
"specials.name.cry_for_absolution","Roep om vergiffenis"
"specials.name.crystal_barrage","Kristalregen"
"specials.name.crystal_bombardment","Kristalbombardement"
"specials.name.crystal_embrace","Kristallen omhelzing"
"specials.name.crystalis","Vrieskristal"
"specials.name.crystalline_strike","Kristallijne aanval"
"specials.name.cub_leader_cut","Welpenleidershouw"
"specials.name.cube_of_dark_realm","Kubus uit het Donkere rijk"
"specials.name.cult_of_arachnid","Cult van de Arachnide"
"specials.name.cultivated_manipulation","Gecultiveerde manipulatie"
"specials.name.cunning_knife","Sluw mes"
"specials.name.cup_of_mead","Kop mede"
"specials.name.curse_of_sargasso","Vloek van Sargasso"
"specials.name.curse_of_the_cephaloid","Vloek van de cefaloïde"
"specials.name.curse_of_the_depths","Vloek van de diepten"
"specials.name.curse_of_the_sea","Vloek van de zee"
"specials.name.curse_of_the_specter","Vloek van de schim"
"specials.name.curse_of_the_specter_pve","Vloek van de schim"
"specials.name.cursed_fumes","Vervloekte nevel"
"specials.name.cursed_fumes2","Vervloekte nevel"
"specials.name.cursed_garden","Vervloekte tuin"
"specials.name.cursed_painting","Vervloekt schilderij"
"specials.name.cursed_plan","Vervloekt plan"
"specials.name.cursed_strike","Vervloekte Klap"
"specials.name.cursed_tail_whip","Vervloekte staartslag"
"specials.name.cut_cure_and_craze","Houw, heel en ga te keer"
"specials.name.cut_down_the_competition","Sabel de competitie neer"
"specials.name.cute_and_dangerous","Schattig en gevaarlijk"
"specials.name.cuts_of_hulu","Houwen van Hulu"
"specials.name.dagger_of_shadows","Dolk der schaduwen"
"specials.name.dance_of_fire","Vuurdans"
"specials.name.dance_of_flame","Vlammendans"
"specials.name.dance_of_glass","Glasdans"
"specials.name.dance_of_ignition","Ontbrandingsdans"
"specials.name.dance_of_siegfried","Dans van Siegfried"
"specials.name.dance_of_spirits","Geestendans"
"specials.name.dance_of_the_dunes","Dans der duinen"
"specials.name.dance_of_the_heron","Dans van de reiger"
"specials.name.dance_of_the_little_swan","Dans van het zwaantje"
"specials.name.dance_of_the_queen","Dans van de koningin"
"specials.name.dance_of_the_raven","Dans van de zwarte zwaan"
"specials.name.dance_of_the_slimy","Dans van de slijmerigen"
"specials.name.dance_of_the_swan","Zwanendans"
"specials.name.dance_of_the_yellow_swan","Dans van de lichte zwaan"
"specials.name.dance_of_toons","Dans van toons"
"specials.name.dancestance","Danspose"
"specials.name.dancing_dodge","Ontwijkende dans"
"specials.name.dancing_slash","Dansende slag"
"specials.name.dantes_inferno","Dante's inferno"
"specials.name.dark_barrage","Duistere Barrage"
"specials.name.dark_bolt","Duistere schicht"
"specials.name.dark_lord","Doemslag"
"specials.name.dark_mirror","Vlammenspiegel"
"specials.name.dark_orb","Duistere bol"
"specials.name.dark_shock","Duistere schok"
"specials.name.darts_of_the_deep","Pijlen uit de diepte"
"specials.name.dauntless_bladestorm","Dappere degenstorm"
"specials.name.dawn_strike","Ochtendslag"
"specials.name.dawnlight_rally","Ochtendglorencharge"
"specials.name.day_of_judgement","Dag des oordeels"
"specials.name.day_of_reckoning","Dag des oordeels"
"specials.name.dazzling_gleam","Duizelingwekkende gloed"
"specials.name.dazzling_grin","Sprankelende glimlach"
"specials.name.dazzling_sweep_dragon_pve","Duizelingwekkende veeg"
"specials.name.deadly_claw","Dodelijke klauw"
"specials.name.deadly_constriction","Dodelijke verstrengeling"
"specials.name.deadly_riposte","Dodelijke riposte"
"specials.name.deadly_sting","Dodelijke steek"
"specials.name.deafening_parade","Verdovende parade"
"specials.name.deathly_glaive","Dodelijke hellebaard"
"specials.name.deathstrike","Doodsklap"
"specials.name.debt_drain_boboosang","Uitputtende schuld"
"specials.name.deceiving_glow","Misleidende gloed"
"specials.name.deceptive_smalltalk","Misleidend geklets"
"specials.name.deep_sea_ritual","Diepzeeritueel"
"specials.name.defensive_tactics","Verdedigende Tactiek"
"specials.name.delay_the_inevitable","Uitstel van het onvermijdelijke"
"specials.name.delicious_demise","Overheerlijke ondergang"
"specials.name.delicious_idol","Overheerlijk beeldje"
"specials.name.demolishing_crush","Slopende verplettering"
"specials.name.demoralizing_banter","Demoraliserend gebabbel"
"specials.name.depth_blast","Dieptebom"
"specials.name.deranged_existence","Krankzinnig bestaan"
"specials.name.desert_blessing","Woestijnzegening"
"specials.name.desert_hunt","Woestijnjacht"
"specials.name.destructive_strike","Drietandstoot"
"specials.name.deteriorating_morale","Verminderend moreel"
"specials.name.devastating_slash","Verwoestende slag"
"specials.name.devastating_thrust","Vernietigende stoot"
"specials.name.dewling_strike","Dauwaanval"
"specials.name.dewling_sweep","Dauwveeg"
"specials.name.dewling_warcry","Dauwstrijdkreet"
"specials.name.dig_a_hole","Graaf een gat"
"specials.name.dinner_with_the_beast","Diner met het Beest"
"specials.name.dire_ghost","Gevaarlijke geest"
"specials.name.directors_blessing","Zegen van de directeur"
"specials.name.directors_blessing_pve","Zegen van de directeur"
"specials.name.disabling_decree","Blokkerend decreet"
"specials.name.disabling_study","Uitschakelend onderzoek"
"specials.name.disarming_gaze_dragon_pve","Ontwapenende blik"
"specials.name.discordant_incantation","Wanklankige bezwering"
"specials.name.disheartening_riddle","Ontmoedigend raadsel"
"specials.name.dishonorable_ploy","Oneerbare truc"
"specials.name.disir_of_dreams","Dísir van Dromen"
"specials.name.disir_of_dusk","Dísir van de schemer"
"specials.name.dispelling_curse","Verwijderingsvloek"
"specials.name.dispelling_judgement","Verdrijvend oordeel"
"specials.name.dispelling_potion","Verwijderingsdrankje"
"specials.name.dispelling_strike","Verjagende aanval"
"specials.name.dispelling_willpower","Verdrijvende wilskracht"
"specials.name.dispelling_willpower_pve","Verdrijvende wilskracht"
