"heroes.name_fancy.astral_cosmicspeaker","아스트랄 엘프 천문학자"
"heroes.name_fancy.beachparty_zenukwa","아이스크림 광팬"
"heroes.name_fancy.beauty_beast_cerissa","마법에 걸린 성의 자비로운 요정"
"heroes.name_fancy.beauty_beast_chandel","마법이 걸린 성의 계몽자"
"heroes.name_fancy.beauty_beast_dominique","신념의 수호자"
"heroes.name_fancy.beauty_beast_laurent","마법에 걸린 성의 석화된 수호자"
"heroes.name_fancy.beauty_beast_lucas","도미닉의 남동생"
"heroes.name_fancy.beauty_beast_rose_de_flo","마법이 걸린 성의 꽃"
"heroes.name_fancy.beauty_beast_the_beast","마법이 걸린 성의 외로운 왕자"
"heroes.name_fancy.beowulf_aeschere","스카일딩의 현자"
"heroes.name_fancy.beowulf_beowulf","기츠의 검"
"heroes.name_fancy.beowulf_breca","축복의 동료"
"heroes.name_fancy.beowulf_ecgtheow","불굴의 전쟁 지도자"
"heroes.name_fancy.beowulf_freawaru","평화를 만드는 자"
"heroes.name_fancy.beowulf_grendel","검을 부수는 지옥의 야수"
"heroes.name_fancy.beowulf_grendels_mother","공포를 퍼뜨리는 타른해그"
"heroes.name_fancy.beowulf_hrothgar","미드 홀의 마스터"
"heroes.name_fancy.beowulf_hygd","기츠의 여왕"
"heroes.name_fancy.beowulf_modthryth","무자비한 방패여제"
"heroes.name_fancy.beowulf_nithgaest","베오울프의 베인"
"heroes.name_fancy.beowulf_unferth","흐룬팅의 전달자"
"heroes.name_fancy.beowulf_wealhtheow","반지처럼 빛나는 왕실의 마음"
"heroes.name_fancy.beowulf_weland","솜씨 좋은 장인"
"heroes.name_fancy.beowulf_wiglaf","베오스탄의 아들"
"heroes.name_fancy.blackguard_commander","비운의 공작"
"heroes.name_fancy.blackguard_commander_costume_cute","비운의 툰"
"heroes.name_fancy.blackguard_commander_costume_feather","애통의 공작"
"heroes.name_fancy.blackguard_commander_costume_glass","애도하는 비트레일"
"heroes.name_fancy.blackguard_commander_costume_metal","록의 공작"
"heroes.name_fancy.blackguard_female_archer","열정적인 궁수"
"heroes.name_fancy.blackguard_female_captain","확고한 감시자"
"heroes.name_fancy.blackguard_female_captain_costume_cute","결연한 툰"
"heroes.name_fancy.blackguard_female_captain_costume_glass","단호한 비트레일"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","확고한 감독관"
"heroes.name_fancy.blackguard_knight","고결한 기병"
"heroes.name_fancy.blackguard_knight_costume_cute","기병 툰"
"heroes.name_fancy.blackguard_knight_costume_elegant","말쑥한 귀족"
"heroes.name_fancy.blackguard_knight_costume_glass","유리 기사"
"heroes.name_fancy.blackguard_knight_costume_healer","노블 힐러"
"heroes.name_fancy.blackguard_scout","모고비언 탈주자"
"heroes.name_fancy.blackguard_skulker","불안정한 암살자"
"heroes.name_fancy.blackguard_skulker_costume_cute","혼란스러운 툰"
"heroes.name_fancy.blackguard_skulker_costume_doctor","혼란스러운 의사"
"heroes.name_fancy.blackguard_skulker_costume_glass","유리 암살자"
"heroes.name_fancy.castle_bear_armel","북극 대사"
"heroes.name_fancy.castle_bear_bearnadette","초상화 화가"
"heroes.name_fancy.castle_bear_humbert","고원의 수호자"
"heroes.name_fancy.castle_bear_koda","자두 숲의 기사"
"heroes.name_fancy.castle_bear_teddy","순수한 마음"
"heroes.name_fancy.castle_bear_torben","고원의 군주"
"heroes.name_fancy.castle_bear_winnie","곰 갑옷장인"
"heroes.name_fancy.castle_bear_yona","고원의 광대"
"heroes.name_fancy.castle_raven_aderyn","성의 의료병"
"heroes.name_fancy.castle_raven_eloise","성의 마법사"
"heroes.name_fancy.castle_raven_franz","성의 수호자"
"heroes.name_fancy.castle_raven_lewena","성의 명사수"
"heroes.name_fancy.castle_raven_quintin","성의 사냥꾼"
"heroes.name_fancy.castle_raven_quintin_costume_ice","까마귀 서리사냥꾼"
"heroes.name_fancy.castle_raven_rayne","성의 캡틴"
"heroes.name_fancy.castle_raven_rayne_costume_energy","까마귀 대장"
"heroes.name_fancy.castle_raven_wren","성의 정찰병"
"heroes.name_fancy.castle_stag_alvar","패스파인더"
"heroes.name_fancy.castle_stag_cecilia","황혼의 축복을 받은 자"
"heroes.name_fancy.castle_stag_daemon","메마른 자의 복수자"
"heroes.name_fancy.castle_stag_fawn","헌신적인 종자"
"heroes.name_fancy.castle_stag_lysanor","사파이어 꿈의 예언자"
"heroes.name_fancy.castle_stag_raleigh","에메랄드 숲의 학자"
"heroes.name_fancy.castle_stag_siofra","맹세의 수호자"
"heroes.name_fancy.castle_stag_xiamara","에메랄드 숲의 수호자"
"heroes.name_fancy.castle_wolf_bertulf","성의 요리사"
"heroes.name_fancy.castle_wolf_esme","성의 대마법사"
"heroes.name_fancy.castle_wolf_ferant","성의 감시자"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","늑대 수호자"
"heroes.name_fancy.castle_wolf_ludwig","성의 방어자"
"heroes.name_fancy.castle_wolf_quenell","성의 챔피언"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","늑대 챔피언"
"heroes.name_fancy.castle_wolf_wolfgang","성의 사령관"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","늑대 사령관"
"heroes.name_fancy.champions_lazara","야구 챔피언"
"heroes.name_fancy.champions_mistra","원반 던지기 챔피언"
"heroes.name_fancy.champions_nogu","창던지기 챔피언"
"heroes.name_fancy.champions_norman","창시합 챔피언"
"heroes.name_fancy.champions_ramona","램투리스모 챔피언"
"heroes.name_fancy.champions_satori","스모 챔피언"
"heroes.name_fancy.christmas_albin","핫 초콜릿 전문가"
"heroes.name_fancy.christmas_augustus","놈 엘더"
"heroes.name_fancy.christmas_buster","심술쟁이 정원 놈"
"heroes.name_fancy.christmas_carol","산타의 작은 도우미"
"heroes.name_fancy.christmas_cookie","요정 과학자"
"heroes.name_fancy.christmas_dizzy","요정 엔터네이너"
"heroes.name_fancy.christmas_elf","산타의 작은 도우미"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","산타의 회계사"
"heroes.name_fancy.christmas_florencia","눈 감시자"
"heroes.name_fancy.christmas_frosty","북방 센티널"
"heroes.name_fancy.christmas_ginger","요정 탐험가"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","선물의 달인 노움"
"heroes.name_fancy.christmas_holly","놈 수석 주방장"
"heroes.name_fancy.christmas_jolly","요정 나무꾼"
"heroes.name_fancy.christmas_krampus","연말 구울"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","연말 장난꾼"
"heroes.name_fancy.christmas_mr_pengi","산타 경비대 대장"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","스노우보트 팀 주장"
"heroes.name_fancy.christmas_mrs_claus","북방 족장"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","연말 스웨터광"
"heroes.name_fancy.christmas_noel","즐거운 썰매 꼬마"
"heroes.name_fancy.christmas_ottilia","땅속 요정 장식가"
"heroes.name_fancy.christmas_peppermint","놈 연금술사"
"heroes.name_fancy.christmas_reindeer","산타의 충실한 말"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","산타의 기사다운 말"
"heroes.name_fancy.christmas_santa","선물 배달꾼"
"heroes.name_fancy.christmas_santa_costume_metal","하드록 산타"
"heroes.name_fancy.christmas_tinsel","놈 땜장이"
"heroes.name_fancy.christmas_zappa","요정 마법사"
"heroes.name_fancy.circus_bobo","가장 따뜻한 마음씨를 가진 예티"
"heroes.name_fancy.circus_candy","유쾌한 분위기 메이커"
"heroes.name_fancy.circus_dandre","노련한 저글러"
"heroes.name_fancy.circus_director_zuri","서커스 마스터"
"heroes.name_fancy.circus_director_zuri_costume_clown","광대의 달인"
"heroes.name_fancy.circus_eichbelborg","자랑하는 바디빌더"
"heroes.name_fancy.circus_eiora_and_fluffy","다이나믹 듀오"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","다크 듀오"
"heroes.name_fancy.circus_emilio","위대한 불사조 조련사"
"heroes.name_fancy.circus_emilio_costume_frog","위대한 개구리 탐험가"
"heroes.name_fancy.circus_faline","놀라운 곡예사"
"heroes.name_fancy.circus_marcel","가장 장난스러운 마임"
"heroes.name_fancy.circus_theobald","칼 던지는 미라클 베어"
"heroes.name_fancy.circus_whacker","익살스러운 부랑자"
"heroes.name_fancy.construct_arzen","흉폭한 감시자 구조체"
"heroes.name_fancy.construct_blue_mage","별빛 마법사 수호물"
"heroes.name_fancy.construct_bonechill","서리 구조물"
"heroes.name_fancy.construct_brimstone","지옥 구조물"
"heroes.name_fancy.construct_carta","지도제작자 건설"
"heroes.name_fancy.construct_dancrag","고대 거신병"
"heroes.name_fancy.construct_ferrus","해적 수호물"
"heroes.name_fancy.construct_frond","엘프 구조물"
"heroes.name_fancy.construct_glacivolt","냉혹한 감시자 구조체"
"heroes.name_fancy.construct_gwynn","에너지 흐름 수호물"
"heroes.name_fancy.construct_halwinter","중장갑 전투 구조체"
"heroes.name_fancy.construct_haulstone","팔방미인 수호물"
"heroes.name_fancy.construct_hornfel","미노타우로스 수호물"
"heroes.name_fancy.construct_hotspin","화염 회오리 구조체"
"heroes.name_fancy.construct_ironheart","신성한 수호자 구조체"
"heroes.name_fancy.construct_ironvein","신성한 시종 구조체"
"heroes.name_fancy.construct_japanese_doll","도자기 인형 수호물"
"heroes.name_fancy.construct_nautica","항해사 구조물"
"heroes.name_fancy.construct_nocturne","보이드 탱크 구조물"
"heroes.name_fancy.construct_rhineglow","슈퍼커패시터 수호물"
"heroes.name_fancy.construct_rustbeak","부엉이 구조물"
"heroes.name_fancy.construct_scoria","영원히 불타는 수호물"
"heroes.name_fancy.construct_shaal","성직자 구조물"
"heroes.name_fancy.construct_shacklebolt","수감자 구조물"
"heroes.name_fancy.construct_sizzleomatic","열정적인 쉐프 구조체"
"heroes.name_fancy.construct_skarn","베일프로스트 수호물"
"heroes.name_fancy.construct_sylosis","격투가 구조체"
"heroes.name_fancy.construct_tenebrae","다크 프린세스 수호물"
"heroes.name_fancy.construct_zavok","혼돈 마법 구조체"
"heroes.name_fancy.cultist_female_poisoner","반항적인 도적"
"heroes.name_fancy.cultist_inventor","미치광이 과학자"
"heroes.name_fancy.cultist_inventor_costume_cute","툰 과학자"
"heroes.name_fancy.cultist_inventor_costume_glass","유리 과학자"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","러브 닥터"
"heroes.name_fancy.cultist_inventor_costume_steam","전기 과학자"
"heroes.name_fancy.cultist_mage","무시무시한 마법사"
"heroes.name_fancy.cultist_mage_costume_cute","툰 마술사"
"heroes.name_fancy.cultist_mage_costume_glass","유리 마술사"
"heroes.name_fancy.cultist_mage_costume_voodoo","언데드 마법사"
"heroes.name_fancy.cultist_sorceress","디센시아의 처형자"
"heroes.name_fancy.cultist_sorceress_costume_cute","툰 처형자"
"heroes.name_fancy.cultist_sorceress_costume_glass","디센시아의 비트레일"
"heroes.name_fancy.cultist_sorceress_costume_shaman","디센시아의 몬스트리스"
"heroes.name_fancy.cultist_sorceress_costume_snake","스네이크 오브 데센시아"
"heroes.name_fancy.cultist_sorceress_costume_stylish","세련된 사형집행인"
"heroes.name_fancy.cultist_thief","주도면밀한 도둑"
"heroes.name_fancy.dark_god_aeron","완고한 판관"
"heroes.name_fancy.dark_god_aeron_costume_periwig","페리위그 저지"
"heroes.name_fancy.dark_god_akilius","사악한 약탈자"
"heroes.name_fancy.dark_god_anoushka","은둔 예언자"
"heroes.name_fancy.dark_god_arfanias","그림자 암살자"
"heroes.name_fancy.dark_god_chakkoszrot","도마뱀족 고위 사제"
"heroes.name_fancy.dark_god_clarissa","오만한 주술사"
"heroes.name_fancy.dark_god_eldwren","무리의 아버지"
"heroes.name_fancy.dark_god_grimble","노움 염소 기수"
"heroes.name_fancy.dark_god_hel","어둠의 천체"
"heroes.name_fancy.dark_god_hel_costume_cute","툰 어둠의 천체"
"heroes.name_fancy.dark_god_hel_costume_omen","어둠의 징조"
"heroes.name_fancy.dark_god_kunchen","신비의 방랑자"
"heroes.name_fancy.dark_god_malicna","사악한 강사"
"heroes.name_fancy.dark_god_morax","지하 세계의 골칫거리"
"heroes.name_fancy.dark_god_september","신기루 암살자"
"heroes.name_fancy.dark_god_september_costume_engineer","미라지 엔지니어"
"heroes.name_fancy.dark_god_seshat","되살아난 여사냥꾼"
"heroes.name_fancy.dark_god_seshat_costume_revenant","고위 망령 궁수"
"heroes.name_fancy.dark_god_sir_casmir","방랑자 가디언"
"heroes.name_fancy.dark_god_turgruk","포악한 추적자"
"heroes.name_fancy.dark_god_uthragan","유독성 괴물"
"heroes.name_fancy.dark_god_viscaro","타락한 드루이드"
"heroes.name_fancy.dark_god_zed","제국 창병"
"heroes.name_fancy.dark_god_zulag","용맹함의 상징"
"heroes.name_fancy.dwarven_guard","굳센 방어병"
"heroes.name_fancy.dwarven_guard_costume_cute","툰 방어병"
"heroes.name_fancy.dwarven_guard_costume_glass","유리 방어병"
"heroes.name_fancy.dwarven_guard_costume_ram","헤비급 방어병"
"heroes.name_fancy.dwarven_guard_costume_tavern","여관 경비원"
"heroes.name_fancy.dwarven_scout","베테랑 전투원"
"heroes.name_fancy.dwarven_smasher","열혈용사"
"heroes.name_fancy.dwarven_smasher_costume_cute","다혈질 툰"
"heroes.name_fancy.dwarven_smasher_costume_glass","온혈 비트레일"
"heroes.name_fancy.dwarven_smasher_costume_smith","대장장이"
"heroes.name_fancy.dwarwen_brewmaster","양조장인"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","툰 브루어"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","양조업자 비트레일"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","기타 마스터"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","나무 조각 장인"
"heroes.name_fancy.easter_archie","떠돌이 음유시인 라마"
"heroes.name_fancy.easter_archie_costume_gallant","멋쟁이 음유시인 라마"
"heroes.name_fancy.easter_chick_jr","스프링베일의 견습기사"
"heroes.name_fancy.easter_jasper","플로어리스트  황소"
"heroes.name_fancy.easter_jasper_costume_fisherman","어부 황소"
"heroes.name_fancy.easter_killhare","스프링베일의 야성적 수호자"
"heroes.name_fancy.easter_killhare_costume_farmer","궁극의 농부"
"heroes.name_fancy.easter_lady_woolerton","스프링베일의 치유술사"
"heroes.name_fancy.easter_miss_ethel","스프링베이의 수호자"
"heroes.name_fancy.easter_sadie","짓궂은 청둥오리"
"heroes.name_fancy.easter_sir_roostley","스프링베일의 용맹 기사"
"heroes.name_fancy.easter_timothy","용감한 아기 돼지"
"heroes.name_fancy.easter_viscount_cluckwood","스프링베일의 오컬티스트"
"heroes.name_fancy.elemental_aconia","사이버 로그"
"heroes.name_fancy.elemental_aconia_costume_courier","사이버 운반원"
"heroes.name_fancy.elemental_alfie","원소 광대"
"heroes.name_fancy.elemental_anzia","갤럭시 구원자"
"heroes.name_fancy.elemental_anzia_costume_jailer","갤럭시 교도소장"
"heroes.name_fancy.elemental_ash","맹렬한 현상금 사냥꾼"
"heroes.name_fancy.elemental_ash_costume_savage","야성의 현상금 사냥꾼"
"heroes.name_fancy.elemental_craum","정령 주술사"
"heroes.name_fancy.elemental_craum_costume_occultist","정령 주술사"
"heroes.name_fancy.elemental_desmond","블레이드 연금술사"
"heroes.name_fancy.elemental_desmond_costume_assassin","검의 암살자"
"heroes.name_fancy.elemental_doxan","잊혀진 플라즈마 블레이드"
"heroes.name_fancy.elemental_doxan_costume_hacker","잊혀진 플라즈마 해커"
"heroes.name_fancy.elemental_farrah","수퍼 소닉 블레이드 마스터"
"heroes.name_fancy.elemental_farrah_costume_cyber","사이버 검술 달인"
"heroes.name_fancy.elemental_gastille","다차원적 위험"
"heroes.name_fancy.elemental_gastille_costume_sporty","스포티 해저드"
"heroes.name_fancy.elemental_griffex","현실의 수정자"
"heroes.name_fancy.elemental_griffex_costume_camera","그림자를 바꾸는 자"
"heroes.name_fancy.elemental_grilka","친절한 분대장"
"heroes.name_fancy.elemental_grilka_costume_treasure","소중한 병참 장교"
"heroes.name_fancy.elemental_ignazio","불꽃 지휘자"
"heroes.name_fancy.elemental_ignazio_costume_medic","불의 외과의"
"heroes.name_fancy.elemental_ironmaw","굳건한 오크 전쟁 군주"
"heroes.name_fancy.elemental_ironmaw_costume_legion","군단의 전쟁군주"
"heroes.name_fancy.elemental_jequn","우주의 수수께끼"
"heroes.name_fancy.elemental_jequn_costume_gilded","금박의 수수께끼"
"heroes.name_fancy.elemental_jolt","전기 네비게이터"
"heroes.name_fancy.elemental_jolt_costume_mythic","신화의 항해자"
"heroes.name_fancy.elemental_lexi","원소 에너지 장인"
"heroes.name_fancy.elemental_linus","속 편한 재소자"
"heroes.name_fancy.elemental_niki","암흑 바다의 낫 마스터"
"heroes.name_fancy.elemental_niki_costume_music","음악의 낫 마스터"
"heroes.name_fancy.elemental_nova","화염 정령 수집가"
"heroes.name_fancy.elemental_nylora","냉혈한 암살자"
"heroes.name_fancy.elemental_nylora_costume_jewelled","보석 암살자"
"heroes.name_fancy.elemental_quinn","코스믹 셰프"
"heroes.name_fancy.elemental_quinn_costume_alchemist","우주 연금술사"
"heroes.name_fancy.elemental_roz","타고난 저격수"
"heroes.name_fancy.elemental_roz_costume_disco","디스코 저격수"
"heroes.name_fancy.elemental_vander","사이보그 캡틴"
"heroes.name_fancy.elemental_vander_costume_clown","광대 대장"
"heroes.name_fancy.elemental_xandrella","속성 창조 마스터"
"heroes.name_fancy.elemental_xandrella_costume_idol","속성 창조 우상"
"heroes.name_fancy.elemental_xavier","쌍검 전문가"
"heroes.name_fancy.elemental_xavier_costume_arthropod","양날 절지동물"
"heroes.name_fancy.elemental_zandria","시공간의 수호자"
"heroes.name_fancy.elemental_zandria_costume_planet","갤럭시의 수호자"
"heroes.name_fancy.elemental_zaria","삼안의 초능력자"
"heroes.name_fancy.elemental_zaria_costume_enchanter","삼안의 마법사"
"heroes.name_fancy.elemental_zengar","유니버셜 비스트"
"heroes.name_fancy.elemental_zengar_costume_farmer","경작하는 야수"
"heroes.name_fancy.elemental_zione","기계화 배송 전문가"
"heroes.name_fancy.elemental_zuni","날아다니는 엘프"
"heroes.name_fancy.elemental_zuni_costume_mage","호버보스 메이지"
"heroes.name_fancy.elven_archer","고결한 용사"
"heroes.name_fancy.elven_archer_costume_cute","귀족 툰"
"heroes.name_fancy.elven_archer_costume_glass","고결한 비트레일"
"heroes.name_fancy.elven_archer_costume_moon","고결한 수호자"
"heroes.name_fancy.elven_archer_costume_raven","노블 레이븐"
"heroes.name_fancy.elven_captain","엘프 베테랑"
"heroes.name_fancy.elven_captain_costume_cavalier","엘프 카발리에"
"heroes.name_fancy.elven_captain_costume_cute","엘프 툰"
"heroes.name_fancy.elven_captain_costume_glass","엘프 비트레일"
"heroes.name_fancy.elven_captain_costume_mask","엘프 복수자"
"heroes.name_fancy.elven_captain_costume_stylish","세련된 엘프"
"heroes.name_fancy.exalted_female_statue","고대의 석상"
"heroes.name_fancy.exalted_female_statue_costume_cute","돌의 툰"
"heroes.name_fancy.exalted_female_statue_costume_glass","돌의 비트레일"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","태양의 고대인"
"heroes.name_fancy.exalted_female_statue_costume_thorns","가시관을 쓴 고대인"
"heroes.name_fancy.exalted_warrior","고대의 얼음상"
"heroes.name_fancy.exalted_warrior_costume_cute","아이스 툰"
"heroes.name_fancy.exalted_warrior_costume_glass","얼음의 비트레일"
"heroes.name_fancy.exalted_warrior_costume_ice","얼음 거석"
"heroes.name_fancy.exalted_warrior_costume_underworld","지하 세계의 고대인"
"heroes.name_fancy.fables_boss_wolf","음험한 숲의 통치자"
"heroes.name_fancy.fables_cinderella","음흉한 숲의 메이드"
"heroes.name_fancy.fables_frog_prince","왕위 계승자"
"heroes.name_fancy.fables_gnomer","음험한 숲의 보초"
"heroes.name_fancy.fables_gretel","음험한 숲의 마녀도살자"
"heroes.name_fancy.fables_hansel","음험한 숲의 마녀사냥꾼"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","음험한 숲의 뱀파이어 헌터"
"heroes.name_fancy.fables_pixie","음험한 숲의 요정"
"heroes.name_fancy.fables_puss_in_boots","음험한 숲의 고양이"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","가면을 쓴 하이웨이캣"
"heroes.name_fancy.fables_red_hood","음험한 숲의 수호자"
"heroes.name_fancy.fables_rumpelstiltskin","음험한 숲의 광대"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","영원한 사기꾼"
"heroes.name_fancy.fables_snow_white","음험한 숲의 공주"
"heroes.name_fancy.fables_snow_white_costume_slayer","순백의 처단자"
"heroes.name_fancy.faun_araminta","무시무시한 파우누스 전사"
"heroes.name_fancy.faun_ascian","파우누스 선견자"
"heroes.name_fancy.faun_bramble","점잖은 파우누스 정원사"
"heroes.name_fancy.faun_gideon","용맹한 파우누스 사령관"
"heroes.name_fancy.faun_isidore","카리스마 넘치는 파우누스 챔피언"
"heroes.name_fancy.faun_jolyon","사려깊은 파우누스 땜장이"
"heroes.name_fancy.faun_maud","야망에 찬 파우누스 연금술사"
"heroes.name_fancy.faun_myrtle","곤란한 파우누스 약초학자"
"heroes.name_fancy.faun_peregrine","무모한 파우누스 정찰병"
"heroes.name_fancy.faun_philomena","매혹적인 파우누스 음유시인"
"heroes.name_fancy.faun_saskia","발빠른 파우누스 무용수"
"heroes.name_fancy.faun_tamlin","괴상한 파우누스 플루트 연주자"
"heroes.name_fancy.faun_verity","신비한 파우누스 상인"
"heroes.name_fancy.faun_yolanda","핏빛 파우누스 선견자"
"heroes.name_fancy.faun_ysabel","불굴의 파우누스 검투사"
"heroes.name_fancy.fire_god_andre","배신당한 템플러"
"heroes.name_fancy.fire_god_anzogh","원한의 주술사"
"heroes.name_fancy.fire_god_ares","전쟁의 신"
"heroes.name_fancy.fire_god_ares_costume_keymaster","키마스터 오브 워"
"heroes.name_fancy.fire_god_doom","피투성이 드루이드"
"heroes.name_fancy.fire_god_doom_costume_avenger","불타는 복수자"
"heroes.name_fancy.fire_god_eliane","수석 붉은 마법사"
"heroes.name_fancy.fire_god_jean_francois","머스켓 마법사"
