"quests.name.ancient_dragon","Древнее Подкоренье"
"quests.name.gargoyles","Убежище горгулий"
"quests.name.gargoyles2","Возвращение в убежище"
"quests.name.gem","Соберите самоцветы"
"quests.name.gem_uncommon","Соберите самоцветы II"
"quests.name.goblin","Деревня гоблинов"
"quests.name.guestip1","Особое гостевое событие"
"quests.name.halloween_2018","Возвращение в Морловию"
"quests.name.halloween_2025","Кровавый пир"
"quests.name.hotm_quest1","Таверна Легенд"
"quests.name.iron","Добудьте железо"
"quests.name.kalevala","Калевала"
"quests.name.legendary_troop","Тренировка отряда"
"quests.name.limit_breaker_dark","Миражи Омеги"
"quests.name.limit_breaker_fire","Миражи Омеги"
"quests.name.limit_breaker_holy","Миражи Омеги"
"quests.name.limit_breaker_ice","Миражи Омеги"
"quests.name.limit_breaker_nature","Миражи Омеги"
"quests.name.lunar_new_year","Китайский Новый год"
"quests.name.lunar_new_year_2026","Фестиваль удачи"
"quests.name.magic","Башня магии"
"quests.name.magic_impossible","Башня магии: невыполнимо"
"quests.name.masquerade","Карнавал богов"
"quests.name.mighty_pets","Могучие питомцы"
"quests.name.monster_island_horde","Орда монстров"
"quests.name.monster_island_horde_large","Большая орда монстров"
"quests.name.monster_island_horde_large_blue","Большая орда хамелеящериц"
"quests.name.monster_island_horde_large_green","Большая орда плантипедов"
"quests.name.monster_island_horde_large_purple","Большая орда жукоидов"
"quests.name.monster_island_horde_large_red","Большая орда хамелеящериц"
"quests.name.monster_island_horde_large_yellow","Большая орда жукоидов"
"quests.name.monster_island_horde_medium","Средняя орда монстров"
"quests.name.monster_island_horde_medium_blue","Средняя орда хамелеящериц"
"quests.name.monster_island_horde_medium_green","Средняя орда плантипедов"
"quests.name.monster_island_horde_medium_purple","Средняя орда жукоидов"
"quests.name.monster_island_horde_medium_red","Средняя орда хамелеящериц"
"quests.name.monster_island_horde_medium_yellow","Средняя орда жукоидов"
"quests.name.monster_island_horde_small","Маленькая орда монстров"
"quests.name.monster_island_horde_small_blue","Маленькая орда хамелеящериц"
"quests.name.monster_island_horde_small_green","Маленькая орда плантипедов"
"quests.name.monster_island_horde_small_purple","Маленькая орда жукоидов"
"quests.name.monster_island_horde_small_red","Маленькая орда хамелеящериц"
"quests.name.monster_island_horde_small_yellow","Маленькая орда жукоидов"
"quests.name.moths","Ночь мотылька"
"quests.name.musketeers","Храбрые и прекрасные"
"quests.name.ninja","Башня ниндзя"
"quests.name.ninja_impossible","Башня ниндзя: невыполнимо"
"quests.name.opera","Секреты оперы"
"quests.name.owl","Совиная башня"
"quests.name.owl_impossible","Совиная башня: невыполнимо"
"quests.name.recruits","Найдите рекрутов"
"quests.name.recruits_uncommon","Найдите рекрутов II"
"quests.name.scavenging","Соберите ресурсы"
"quests.name.shadow_quest","Тени Глубин"
"quests.name.slayers","Убийцы павших теней"
"quests.name.spring_2018","Фестиваль Спрингвейла"
"quests.name.starter","Стартовый квест"
"quests.name.styx","Башня Стикса"
"quests.name.styx_impossible","Башня Стикса: невыполнимо"
"quests.name.summer_2018","Песочная империя"
"quests.name.super_class_barbarian","Испытания мастера-варвара"
"quests.name.super_class_cleric","Испытания мастера-церковника"
"quests.name.super_class_druid","Испытания мастера-друида"
"quests.name.super_class_fighter","Испытания мастера-бойца"
"quests.name.super_class_monk","Испытания мастера-монаха"
"quests.name.super_class_paladin","Испытания мастера-паладина"
"quests.name.super_class_ranger","Испытания мастера-рейнджера"
"quests.name.super_class_rogue","Испытания мастера-разбойника"
"quests.name.super_class_sorcerer","Испытания мастера-колдуна"
"quests.name.super_class_wizard","Испытания мастера-мага"
"quests.name.super_elemental","Соревнование стихий"
"quests.name.treasure_quest","Квест сокровищ"
"quests.name.valentines","Сезон любви"
"quests.name.villains","Лига злодеев"
"quests.name.xmas_2017","Спасите зиму"
"quests.name.xmas_2018","Испытание Санты"
"quests.name.xp","Получите опыт"
"quests.special_rule.name.assist_dragon_mastery","Мастерство дракона-помощника"
"quests.special_rule.name.astralelves","Астральные эльфы"
"quests.special_rule.name.covenant","Завет чемпионов"
"quests.special_rule.name.event_bonus","Бонус героя события"
"quests.special_rule.name.family_bonus","Рекомендованные семьи"
"quests.special_rule.name.goblin","Деревня гоблинов"
"quests.special_rule.name.hero_roster_mastery","Искусство расположения героев"
"quests.special_rule.name.magiccurse","Магическое проклятье"
"quests.special_rule.name.onicurse","Проклятие-они"
