"heroes.name_fancy.astral_cosmicspeaker","アストラルエルフの天文学者"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","勇猛果敢な監督者"
"heroes.name_fancy.blackguard_female_captain_costume_stylish","スタイリッシュな番人"
"heroes.name_fancy.blackguard_knight","高貴なる騎士"
"heroes.name_fancy.blackguard_knight_costume_cute","アニメ風の騎馬兵士"
"heroes.name_fancy.blackguard_knight_costume_elegant","高貴なる小粋者"
"heroes.name_fancy.blackguard_knight_costume_glass","ガラスの騎士"
"heroes.name_fancy.blackguard_knight_costume_healer","気高きヒーラー"
"heroes.name_fancy.blackguard_scout","モルゴバの放浪者"
"heroes.name_fancy.blackguard_skulker","凶気の暗殺者"
"heroes.name_fancy.blackguard_skulker_costume_cute","アニメ風の錯乱軍医"
"heroes.name_fancy.blackguard_skulker_costume_doctor","錯乱軍医"
"heroes.name_fancy.blackguard_skulker_costume_glass","ガラスの暗殺者"
"heroes.name_fancy.castle_bear_armel","北極大使"
"heroes.name_fancy.castle_bear_bearnadette","肖像画家"
"heroes.name_fancy.castle_bear_humbert","高地の守り人"
"heroes.name_fancy.castle_bear_koda","プラムの森の騎士"
"heroes.name_fancy.castle_bear_teddy","清らかな心の持ち主"
"heroes.name_fancy.castle_bear_torben","高地の支配者"
"heroes.name_fancy.castle_bear_winnie","クマの武具師"
"heroes.name_fancy.castle_bear_yona","高地の道化師"
"heroes.name_fancy.castle_raven_aderyn","城の薬剤師"
"heroes.name_fancy.castle_raven_eloise","城の術師"
"heroes.name_fancy.castle_raven_franz","城の守護者"
"heroes.name_fancy.castle_raven_lewena","城の射手"
"heroes.name_fancy.castle_raven_quintin","城の猟師"
"heroes.name_fancy.castle_raven_quintin_costume_ice","レイヴンのフロストハンター"
"heroes.name_fancy.castle_raven_rayne","城のキャプテン"
"heroes.name_fancy.castle_raven_rayne_costume_energy","レイヴンの隊長"
"heroes.name_fancy.castle_raven_wren","城のスカウト"
"heroes.name_fancy.castle_stag_alvar","探検者"
"heroes.name_fancy.castle_stag_cecilia","黄昏の恩恵を受ける者"
"heroes.name_fancy.castle_stag_daemon","衰退した復讐者"
"heroes.name_fancy.castle_stag_fawn","忠実な従者"
"heroes.name_fancy.castle_stag_lysanor","サファイアの夢追い人"
"heroes.name_fancy.castle_stag_raleigh","エメラルドの森の学者"
"heroes.name_fancy.castle_stag_siofra","誓いを守る者"
"heroes.name_fancy.castle_stag_xiamara","エメラルドの森の守護者"
"heroes.name_fancy.castle_wolf_bertulf","城の料理人"
"heroes.name_fancy.castle_wolf_esme","城の大魔王"
"heroes.name_fancy.castle_wolf_ferant","城の監視人"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","オオカミの監視者"
"heroes.name_fancy.castle_wolf_ludwig","城の守護者"
"heroes.name_fancy.castle_wolf_quenell","城の王者"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","オオカミの闘士"
"heroes.name_fancy.castle_wolf_wolfgang","城の大将"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","オオカミの指揮官"
"heroes.name_fancy.champions_lazara","ベースボールの王者"
"heroes.name_fancy.champions_mistra","円盤投げの王者"
"heroes.name_fancy.champions_nogu","槍投げのチャンピオン"
"heroes.name_fancy.champions_norman","馬上槍試合のチャンピオン"
"heroes.name_fancy.champions_ramona","ラムツーリスモのチャンピオン"
"heroes.name_fancy.champions_satori","相撲のチャンピオン"
"heroes.name_fancy.christmas_albin","ホットチョコレートのソムリエ"
"heroes.name_fancy.christmas_augustus","ノームの長老"
"heroes.name_fancy.christmas_buster","不機嫌なガーデンノーム"
"heroes.name_fancy.christmas_carol","サンタのかわいい従者"
"heroes.name_fancy.christmas_cookie","ノームの科学者"
"heroes.name_fancy.christmas_dizzy","ノームの芸人"
"heroes.name_fancy.christmas_elf","サンタのかわいい従者"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","サンタの簿記係"
"heroes.name_fancy.christmas_florencia","雪の守り手"
"heroes.name_fancy.christmas_frosty","北方の衛兵"
"heroes.name_fancy.christmas_ginger","ノームの探索者"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","ノームのプレゼント管理者"
"heroes.name_fancy.christmas_holly","ノームの料理長"
"heroes.name_fancy.christmas_jolly","ノームの木こり"
"heroes.name_fancy.christmas_krampus","ホリデーの悪鬼"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","クリスマスのお調子者"
"heroes.name_fancy.christmas_mr_pengi","サンタクロース護衛隊長"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","スノーボードチームのリーダー"
"heroes.name_fancy.christmas_mrs_claus","北方の料理人"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","クリスマスセーター愛好家"
"heroes.name_fancy.christmas_noel","楽しみにあふれたソリの子供"
"heroes.name_fancy.christmas_ottilia","ノームの装飾家"
"heroes.name_fancy.christmas_peppermint","ノームの錬金術師"
"heroes.name_fancy.christmas_reindeer","サンタの忠実なる同志"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","サンタの騎馬"
"heroes.name_fancy.christmas_santa","贈り物の渡し手"
"heroes.name_fancy.christmas_santa_costume_metal","ハードロック・サンタ"
"heroes.name_fancy.christmas_tinsel","ノームの修理屋"
"heroes.name_fancy.christmas_zappa","ノームのウィザード"
"heroes.name_fancy.circus_bobo","イエティの心の温もり"
"heroes.name_fancy.circus_candy","愉快なメリーメイカー"
"heroes.name_fancy.circus_dandre","確かな手腕のジャグラー"
"heroes.name_fancy.circus_director_zuri","サーカスの達人"
"heroes.name_fancy.circus_director_zuri_costume_clown","道化の主人"
"heroes.name_fancy.circus_eichbelborg","自慢げなボディビルダー"
"heroes.name_fancy.circus_eiora_and_fluffy","ダイナミックなデュオ"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","闇のデュオ"
"heroes.name_fancy.circus_emilio","大いなる不死鳥の調教師"
"heroes.name_fancy.circus_emilio_costume_frog","偉大なるカエル使い"
"heroes.name_fancy.circus_faline","驚異のアクロバット"
"heroes.name_fancy.circus_marcel","最もお茶目な物まね師"
"heroes.name_fancy.circus_theobald","ナイフを投げるミラクルベア"
"heroes.name_fancy.circus_whacker","ワッキーワロパー"
"heroes.name_fancy.construct_arzen","悪意の監督者の蓄積"
"heroes.name_fancy.construct_blue_mage","星を生み出すウィザード"
"heroes.name_fancy.construct_bonechill","霜の蓄積"
"heroes.name_fancy.construct_brimstone","地獄の蓄積"
"heroes.name_fancy.construct_carta","地図職人の蓄積"
"heroes.name_fancy.construct_dancrag","いにしえの巨像の蓄積"
"heroes.name_fancy.construct_ferrus","海賊の蓄積"
"heroes.name_fancy.construct_frond","エルフの蓄積"
"heroes.name_fancy.construct_glacivolt","冷淡な監督者の蓄積"
"heroes.name_fancy.construct_gwynn","エナジーフローの蓄積"
"heroes.name_fancy.construct_halwinter","重装備の蓄積"
"heroes.name_fancy.construct_haulstone","力持ちの蓄積"
"heroes.name_fancy.construct_hornfel","ミノタウロスの蓄積"
"heroes.name_fancy.construct_hotspin","炎のサイクロンの蓄積"
"heroes.name_fancy.construct_ironheart","聖なる守護者の蓄積"
"heroes.name_fancy.construct_ironvein","聖なる大地主の蓄積"
"heroes.name_fancy.construct_japanese_doll","陶器人形の蓄積"
"heroes.name_fancy.construct_nautica","航海士の蓄積"
"heroes.name_fancy.construct_nocturne","空タンクの蓄積"
"heroes.name_fancy.construct_rhineglow","超コンデンサの蓄積"
"heroes.name_fancy.construct_rustbeak","フクロウの蓄積"
"heroes.name_fancy.construct_scoria","常燃の蓄積"
"heroes.name_fancy.construct_shaal","牧師の蓄積"
"heroes.name_fancy.construct_shacklebolt","投獄の蓄積"
"heroes.name_fancy.construct_sizzleomatic","熱意の料理人の蓄積"
"heroes.name_fancy.construct_skarn","悲嘆の霜の蓄積"
"heroes.name_fancy.construct_sylosis","武道家の蓄積"
"heroes.name_fancy.construct_tenebrae","闇の王女の蓄積"
"heroes.name_fancy.construct_zavok","混沌の魔術師の蓄積"
"heroes.name_fancy.cultist_female_poisoner","反骨たるローグ"
"heroes.name_fancy.cultist_inventor","狂心の科学者"
"heroes.name_fancy.cultist_inventor_costume_cute","アニメ風の科学者"
"heroes.name_fancy.cultist_inventor_costume_glass","ガラスの科学者"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","ラブ・ドクター"
"heroes.name_fancy.cultist_inventor_costume_steam","ビリビリ科学者"
"heroes.name_fancy.cultist_mage","恐怖のウィザード"
"heroes.name_fancy.cultist_mage_costume_cute","アニメ風のマジシャン"
"heroes.name_fancy.cultist_mage_costume_glass","ガラスの魔法使い"
"heroes.name_fancy.cultist_mage_costume_stylish","お洒落な魔術師"
"heroes.name_fancy.cultist_mage_costume_voodoo","不死のウィザード"
"heroes.name_fancy.cultist_sorceress","ディセンシアの処刑人"
"heroes.name_fancy.cultist_sorceress_costume_cute","アニメ風の死刑執行人"
"heroes.name_fancy.cultist_sorceress_costume_glass","デスセンシアのヴィトレイル"
"heroes.name_fancy.cultist_sorceress_costume_shaman","デスセンシアの怪物"
"heroes.name_fancy.cultist_sorceress_costume_snake","デスセンシアの蛇"
"heroes.name_fancy.cultist_sorceress_costume_stylish","スタイリッシュな処刑人"
"heroes.name_fancy.cultist_thief","野心あふるる盗賊"
"heroes.name_fancy.dark_god_aeron","忠実なる司法官"
"heroes.name_fancy.dark_god_aeron_costume_periwig","かつらの裁判官"
"heroes.name_fancy.dark_god_akilius","邪悪な略奪者"
"heroes.name_fancy.dark_god_anoushka","孤独なる女予言者"
"heroes.name_fancy.dark_god_arfanias","影の暗殺者"
"heroes.name_fancy.dark_god_chakkoszrot","トカゲ族の高僧"
"heroes.name_fancy.dark_god_clarissa","ブラッシュチャネラー"
"heroes.name_fancy.dark_god_cordelia","呪いの女王"
"heroes.name_fancy.dark_god_eldwren","群れの父"
"heroes.name_fancy.dark_god_grimble","山羊乗りノーム"
"heroes.name_fancy.dark_god_hel","闇の天上人"
"heroes.name_fancy.dark_god_hel_costume_cute","アニメ風の闇の天上人"
"heroes.name_fancy.dark_god_hel_costume_omen","闇の兆し"
"heroes.name_fancy.dark_god_kunchen","謎の放浪者"
"heroes.name_fancy.dark_god_malicna","邪悪なレクター"
"heroes.name_fancy.dark_god_morax","アンダーワールドの災い"
"heroes.name_fancy.dark_god_september","幻影の暗殺者"
"heroes.name_fancy.dark_god_september_costume_engineer","幻影使い"
"heroes.name_fancy.dark_god_seshat","復活の女ハンター"
"heroes.name_fancy.dark_god_seshat_costume_revenant","高貴な亡霊の弓人"
"heroes.name_fancy.dark_god_sir_casmir","流浪のガーディアン"
"heroes.name_fancy.dark_god_turgruk","危険な追跡者"
"heroes.name_fancy.dark_god_uthragan","有毒な忌まわしいモンスター"
"heroes.name_fancy.dark_god_viscaro","堕落したドルイド僧"
"heroes.name_fancy.dark_god_zed","帝国の槍兵"
"heroes.name_fancy.dark_god_zulag","勇猛果敢"
"heroes.name_fancy.dwarven_guard","頑強なる守護者"
"heroes.name_fancy.dwarven_guard_costume_cute","アニメ風の守護者"
"heroes.name_fancy.dwarven_guard_costume_glass","ガラスの守護者"
"heroes.name_fancy.dwarven_guard_costume_ram","重装備の守護者"
"heroes.name_fancy.dwarven_guard_costume_tavern","酒場主"
"heroes.name_fancy.dwarven_scout","歴戦の強者"
"heroes.name_fancy.dwarven_smasher","血気盛漢"
"heroes.name_fancy.dwarven_smasher_costume_cute","アニメ風の血気盛漢"
"heroes.name_fancy.dwarven_smasher_costume_glass","血気盛漢のヴィトレイル"
"heroes.name_fancy.dwarven_smasher_costume_smith","ザ・ヒート"
"heroes.name_fancy.dwarwen_brewmaster","醸造の達人"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","アニメ風の醸造人"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","醸造者のヴィトレイル"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","寸断の達人"
"heroes.name_fancy.dwarwen_brewmaster_costume_stylish","お洒落な味見係"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","木彫り名人"
"heroes.name_fancy.easter_archie","さすらいのラマ吟遊詩人"
"heroes.name_fancy.easter_archie_costume_gallant","雄々しきラマ吟遊詩人"
"heroes.name_fancy.easter_chick_jr","スプリングヴェイルの郷士"
"heroes.name_fancy.easter_duke_whitley","スプリングヴェイルの大魔術師"
"heroes.name_fancy.easter_jasper","花屋の雄牛"
"heroes.name_fancy.easter_jasper_costume_fisherman","漁師のブル"
"heroes.name_fancy.easter_killhare","スプリングヴェイルの無惨者"
"heroes.name_fancy.easter_killhare_costume_farmer","究極の農夫"
"heroes.name_fancy.easter_lady_woolerton","スプリングヴェイルの修繕師"
"heroes.name_fancy.easter_lady_woolerton_costume_coiffeuse","スプリングヴェイルの美容師"
"heroes.name_fancy.easter_marko","スプリングヴェイルの旅人"
"heroes.name_fancy.easter_miss_ethel","スプリングベールの守護者"
"heroes.name_fancy.easter_sadie","いたずら好きなマガモ"
"heroes.name_fancy.easter_sir_roostley","スプリングヴェイルの剛騎士"
"heroes.name_fancy.easter_sir_roostley_costume_alchemist","スプリングヴェイルの大錬金術師"
"heroes.name_fancy.easter_timothy","勇敢な子豚"
"heroes.name_fancy.easter_viscount_cluckwood","スプリングヴェイルの神秘思想家"
"heroes.name_fancy.elemental_aconia","サイバー詐欺師"
"heroes.name_fancy.elemental_aconia_costume_courier","サイバースパイ"
"heroes.name_fancy.elemental_alfie","超自然的な道化師"
"heroes.name_fancy.elemental_anzia","銀河の救世主"
"heroes.name_fancy.elemental_anzia_costume_jailer","銀河の牢番"
"heroes.name_fancy.elemental_ash","荒くれ賞金稼ぎ"
"heroes.name_fancy.elemental_ash_costume_savage","野蛮な賞金稼ぎ"
"heroes.name_fancy.elemental_craum","エレメンタルシャーマン"
"heroes.name_fancy.elemental_craum_costume_occultist","エレメンタルオカルティスト"
"heroes.name_fancy.elemental_desmond","ブレードアルケミスト"
"heroes.name_fancy.elemental_desmond_costume_assassin","刃使いの暗殺者"
"heroes.name_fancy.elemental_doxan","追放されたプラズマ刃使い"
"heroes.name_fancy.elemental_doxan_costume_hacker","追放されたプラズマハッカー"
"heroes.name_fancy.elemental_farrah","超音速ブレードマスター"
"heroes.name_fancy.elemental_farrah_costume_cyber","サイバーブレードマスター"
"heroes.name_fancy.elemental_gastille","多次元的な危険な存在"
"heroes.name_fancy.elemental_gastille_costume_sporty","スポーティーな危険な存在"
"heroes.name_fancy.elemental_griffex","現実を変える者"
"heroes.name_fancy.elemental_griffex_costume_camera","暗箱の改変者"
"heroes.name_fancy.elemental_grilka","いたわりの軍需参謀"
"heroes.name_fancy.elemental_grilka_costume_treasure","秘蔵の軍需参謀"
"heroes.name_fancy.elemental_ignazio","炎使い"
"heroes.name_fancy.elemental_ignazio_costume_medic","炎の外科医"
"heroes.name_fancy.elemental_ironmaw","揺るぎなきオークの軍長"
"heroes.name_fancy.elemental_ironmaw_costume_legion","軍の将軍"
"heroes.name_fancy.elemental_jequn","宇宙の謎"
"heroes.name_fancy.elemental_jequn_costume_gilded","美飾の謎"
"heroes.name_fancy.elemental_jolt","電気の導き手"
"heroes.name_fancy.elemental_jolt_costume_mythic","神話的な導き手"
"heroes.name_fancy.elemental_lexi","属性エネルギー職人"
"heroes.name_fancy.elemental_linus","のんきな囚人"
"heroes.name_fancy.elemental_niki","暗き海の大鎌の達人"
"heroes.name_fancy.elemental_niki_costume_music","音楽の大鎌の達人"
"heroes.name_fancy.elemental_nova","火の精霊の収集家"
"heroes.name_fancy.elemental_nylora","冷血な暗殺者"
"heroes.name_fancy.elemental_nylora_costume_jewelled","宝飾の暗殺者"
"heroes.name_fancy.elemental_quinn","宇宙シェフ"
"heroes.name_fancy.elemental_quinn_costume_alchemist","宇宙の錬金術師"
"heroes.name_fancy.elemental_roz","生粋の射撃名人"
"heroes.name_fancy.elemental_roz_costume_disco","ディスコの射手"
"heroes.name_fancy.elemental_vander","サイボーグキャプテン"
"heroes.name_fancy.elemental_vander_costume_clown","道化のキャプテン"
"heroes.name_fancy.elemental_xandrella","エレメント創造の達人"
"heroes.name_fancy.elemental_xandrella_costume_idol","エレメント創造のアイドル"
"heroes.name_fancy.elemental_xavier","二枚刃のスペシャリスト"
"heroes.name_fancy.elemental_xavier_costume_arthropod","二枚刃の節足動物"
"heroes.name_fancy.elemental_zandria","時空間の守り人"
"heroes.name_fancy.elemental_zandria_costume_planet","銀河の守護者"
"heroes.name_fancy.elemental_zaria","三つ目の霊能力者"
"heroes.name_fancy.elemental_zaria_costume_enchanter","三つ目の魔術師"
"heroes.name_fancy.elemental_zengar","宇宙獣"
"heroes.name_fancy.elemental_zengar_costume_farmer","耕す獣"
"heroes.name_fancy.elemental_zione","配達専門ロボット"
"heroes.name_fancy.elemental_zuni","ホバーボード乗りのエルフ"
"heroes.name_fancy.elemental_zuni_costume_mage","ホバーボード乗りの魔術師"
"heroes.name_fancy.elven_archer","貴心人"
"heroes.name_fancy.elven_archer_costume_cute","アニメ風の貴人"
"heroes.name_fancy.elven_archer_costume_glass","高貴なヴィトレイル"
"heroes.name_fancy.elven_archer_costume_moon","高貴なる守護者"
"heroes.name_fancy.elven_archer_costume_raven","気高きカラス"
"heroes.name_fancy.elven_archer_costume_stylish","スタイリッシュな弓人"
"heroes.name_fancy.elven_captain","古参のエルフ"
"heroes.name_fancy.elven_captain_costume_cavalier","エルフの騎士"
"heroes.name_fancy.elven_captain_costume_cute","アニメ風のエルフ"
"heroes.name_fancy.elven_captain_costume_glass","エルフのヴィトレイル"
"heroes.name_fancy.elven_captain_costume_mask","エルフ アヴェンジャー"
"heroes.name_fancy.elven_captain_costume_stylish","スタイリッシュなエルフ"
"heroes.name_fancy.exalted_female_statue","石の古人"
"heroes.name_fancy.exalted_female_statue_costume_cute","アニメ風の石"
"heroes.name_fancy.exalted_female_statue_costume_glass","石のヴィトレイル"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","太陽の古人"
"heroes.name_fancy.exalted_female_statue_costume_thorns","ソーンの古人"
"heroes.name_fancy.exalted_warrior","氷の古人"
"heroes.name_fancy.exalted_warrior_costume_cute","アニメ風の氷の古人"
"heroes.name_fancy.exalted_warrior_costume_glass","氷のヴィトレイル"
"heroes.name_fancy.exalted_warrior_costume_ice","氷のモノリス"
"heroes.name_fancy.exalted_warrior_costume_stylish","お洒落な氷の古人"
"heroes.name_fancy.exalted_warrior_costume_underworld","アンダーワールドの古人"
"heroes.name_fancy.fables_boss_wolf","グリムの森の長"
"heroes.name_fancy.fables_cinderella","グリムの森の家政婦"
"heroes.name_fancy.fables_frog_prince","王位継承者"
"heroes.name_fancy.fables_gnomer","グリムの番兵"
"heroes.name_fancy.fables_gretel","グリムの森の魔女殺し"
"heroes.name_fancy.fables_hansel","グリムの森の魔女ハンター"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","グリムの森の吸血鬼ハンター"
"heroes.name_fancy.fables_pixie","グリムの森の妖精"
"heroes.name_fancy.fables_puss_in_boots","グリムの森の猫"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","覆面の強盗猫"
"heroes.name_fancy.fables_red_hood","グリムの森の守護者"
"heroes.name_fancy.fables_rumpelstiltskin","グリムの森の道化師"
