"herocard.family.title.abyss","Keluarga Jurang Liar"
"herocard.family.title.masquerade.short","Dewa Bertopeng"
"herocard.family.title.masquerade_pve","Keluarga Dewa Bertopeng"
"herocard.family.title.masquerade_pve.short","Dewa Bertopeng"
"herocard.family.title.midgard","Area Midgard"
"herocard.family.title.midgard.short","Midgard"
"herocard.family.title.mighty_pet","Keluarga Piaraan Perkasa"
"herocard.family.title.mighty_pet.short","Piaraan Perkasa"
"herocard.family.title.mimic","Keluarga Mimik"
"herocard.family.title.mimic.short","Mimik"
"herocard.family.title.moon","Keluarga Bulan"
"herocard.family.title.moon.short","Bulan"
"herocard.family.title.moths","Keluarga Ngengat"
"herocard.family.title.moths.short","Ngengat"
"herocard.family.title.musketeer","Keluarga Musketri"
"herocard.family.title.musketeer.short","Musketri"
"herocard.family.title.muspelheim","Area Muspelheim"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Keluarga Misteri"
"herocard.family.title.mystery.short","Misteri"
"herocard.family.title.nidavellir","Area Nidavellir"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Area Niflheim"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Keluarga Ninja"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Keluarga Ninja"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Keluarga Opera"
"herocard.family.title.opera.short","Opera"
"herocard.family.title.outlaw","Penjahat dari Keluarga Liangshan"
"herocard.family.title.outlaw.short","Penjahat Liangshan"
"herocard.family.title.owl","Keluarga Burung Hantu"
"herocard.family.title.owl.short","Burung Hantu"
"herocard.family.title.pirate","Keluarga Perompak"
"herocard.family.title.pirate.short","Perompak"
"herocard.family.title.plains_hunter","Keluarga Pemburu Dataran"
"herocard.family.title.plains_hunter.short","Pemburu Dataran"
"herocard.family.title.raven","Keluarga Gagak"
"herocard.family.title.raven.short","Gagak"
"herocard.family.title.raven_pve.short","Gagak"
"herocard.family.title.sand","Keluarga Kekaisaran Pasir"
"herocard.family.title.sand.short","Kekaisaran Pasir"
"herocard.family.title.shady_scoundrels","Keluarga Bangsat Busuk"
"herocard.family.title.shady_scoundrels.short","Bangsat Busuk"
"herocard.family.title.slayers","Keluarga Pembunuh"
"herocard.family.title.slayers.short","Pembunuh"
"herocard.family.title.slime","Keluarga Lendir"
"herocard.family.title.slime.short","Lendir"
"herocard.family.title.stag","Keluarga Rusa"
"herocard.family.title.stag.short","Rusa"
"herocard.family.title.stag_pve.short","Rusa"
"herocard.family.title.styx","Keluarga Stiks"
"herocard.family.title.styx.short","Stiks"
"herocard.family.title.sun","Keluarga Matahari"
"herocard.family.title.sun.short","Matahari"
"herocard.family.title.super_elemental","Keluarga Elemen Super"
"herocard.family.title.super_elemental.short","Elemen Super"
"herocard.family.title.svartalfheim","Area Svartalfheim"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Mimpi Buruk Keluarga Atlantis"
"herocard.family.title.tales1_baddies.short","Mimpi Buruk Atlantis"
"herocard.family.title.tales1_goodies","Pembela Keluarga Atlantis"
"herocard.family.title.tales1_goodies.short","Pembela Atlantis"
"herocard.family.title.titan_hunter","Keluarga Pemburu Titan"
"herocard.family.title.titan_hunter.short","Pemburu Titan"
"herocard.family.title.vanaheim","Area Vanaheim"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","Keluarga Sayuran Perkasa"
"herocard.family.title.vegetable.short","Sayuran Perkasa"
"herocard.family.title.villains","Keluarga Penjahat"
"herocard.family.title.villains.short","Penjahat"
"herocard.family.title.wild_cat","Keluarga Kucing Liar"
"herocard.family.title.wild_cat.short","Kucing Liar"
"herocard.family.title.winter","Keluarga Musim Dingin"
"herocard.family.title.winter.short","Musim Dingin"
"herocard.family.title.wolf","Keluarga Serigala"
"herocard.family.title.wolf.short","Serigala"
"herocard.family.title.wolf_pve.short","Serigala"
"herocard.family.title.wonderland","Keluarga Negeri Ajaib"
"herocard.family.title.wonderland.short","Dunia Ajaib"
"herocard.family.title.zodiac","Keluarga Imlek"
"herocard.family.title.zodiac.short","Imlek"
