"heroes.name_fancy.astral_cosmicspeaker","Astral-elvernes astronom"
"heroes.name_fancy.bard_bonzo","Særhedernes skjald"
"heroes.name_fancy.bard_celimene","Illusionens skjald"
"heroes.name_fancy.bard_darkbeat","Moshpitmester"
"heroes.name_fancy.bard_dunnar_hart","Den magmatiske trommer"
"heroes.name_fancy.bard_garyas","Glædens skjald"
"heroes.name_fancy.bard_lyria","Insisterende ivrig instrumentalist"
"heroes.name_fancy.bard_merith","Slangeagtig violinist"
"heroes.name_fancy.bard_narcisa","Skønhedens skjald"
"heroes.name_fancy.bard_ogima","Åndernes skjald"
"heroes.name_fancy.bard_phenexa","Hviskens skjald"
"heroes.name_fancy.bard_rhys","Modets skjald"
"heroes.name_fancy.bard_winifred","Skabelsens skjald"
"heroes.name_fancy.bard_zarel","Overleveringernes skjald"
"heroes.name_fancy.bard_zhabog","Talegavernes skjald"
"heroes.name_fancy.beachparty_andy_jay","Festdeltager på soloplyste kyster"
"heroes.name_fancy.beachparty_brebarg","Sandslotekspert"
"heroes.name_fancy.beachparty_davey_wavey","Haj i træning"
"heroes.name_fancy.beachparty_dillo","Gennemblødt bæltedyr"
"heroes.name_fancy.beachparty_dolrak","Solskoldet dværg"
"heroes.name_fancy.beachparty_flip","Sællivredder"
"heroes.name_fancy.beachparty_flip_costume_donut","Segldonutsælger"
"heroes.name_fancy.beachparty_itham","Elversvømmelærer"
"heroes.name_fancy.beachparty_mazoga","Vandkampsork"
"heroes.name_fancy.beachparty_misty","Snorkelnisse"
"heroes.name_fancy.beachparty_mortimer","Mørk elversurfer"
"heroes.name_fancy.beachparty_serena","Kystbanesocialist"
"heroes.name_fancy.beachparty_zenukwa","Isentusiast"
"heroes.name_fancy.beauty_beast_cerissa","Det forheksede slots nådige fe"
"heroes.name_fancy.beauty_beast_chandel","Det forheksede slots oplyser"
"heroes.name_fancy.beauty_beast_dominique","Den trofaste beskytter"
"heroes.name_fancy.beauty_beast_laurent","Det forheksede slots forstenede vagt"
"heroes.name_fancy.beauty_beast_lucas","Dominiques lillebror"
"heroes.name_fancy.beauty_beast_rose_de_flo","Det forheksede slots blomst"
"heroes.name_fancy.beauty_beast_the_beast","Det forheksede slots ensomme prins"
"heroes.name_fancy.beowulf_aeschere","Skjoldungernes vismand"
"heroes.name_fancy.beowulf_beowulf","Geaternes sværd"
"heroes.name_fancy.beowulf_breca","Velsignet ledsager"
"heroes.name_fancy.beowulf_ecgtheow","Benhård krigsleder"
"heroes.name_fancy.beowulf_freawaru","Fredsspinderske"
"heroes.name_fancy.beowulf_grendel","Sværdbrydende helvedesbølle"
"heroes.name_fancy.beowulf_grendels_mother","Rædselsvækkende søheks"
"heroes.name_fancy.beowulf_hrothgar","Mjødstuens mester"
"heroes.name_fancy.beowulf_hygd","Göternes dronning"
"heroes.name_fancy.beowulf_modthryth","Ubarmhjertig skjoldmø"
"heroes.name_fancy.beowulf_nithgaest","Beowulfs forbandelse"
"heroes.name_fancy.beowulf_unferth","Hruntings bærer"
"heroes.name_fancy.beowulf_wealhtheow","Ringkronet, kongetro"
"heroes.name_fancy.beowulf_weland","Behændig smed"
"heroes.name_fancy.beowulf_wiglaf","Søn af Véstein"
"heroes.name_fancy.blackguard_commander","Sørgmodig hertug"
"heroes.name_fancy.blackguard_commander_costume_cute","Sorgfuld tegneseriefigur"
"heroes.name_fancy.blackguard_commander_costume_feather","Sørgende hertug"
"heroes.name_fancy.blackguard_commander_costume_glass","Sorgfuld vitrail"
"heroes.name_fancy.blackguard_commander_costume_metal","Klippehertug"
"heroes.name_fancy.blackguard_female_archer","Fremadstræbende bueskytte"
"heroes.name_fancy.blackguard_female_captain","Beslutsom vogter"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Standhaftig tegneseriefigur"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Standhaftig vitrail"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Beslutsom tilsynsførende"
"heroes.name_fancy.blackguard_knight","Ædel kavaler"
"heroes.name_fancy.blackguard_knight_costume_cute","Tegneserieridder"
"heroes.name_fancy.blackguard_knight_costume_elegant","Pyntelig adelig"
"heroes.name_fancy.blackguard_knight_costume_glass","Glaskavaler"
"heroes.name_fancy.blackguard_knight_costume_healer","Ædel helbreder"
"heroes.name_fancy.blackguard_scout","Morgiviansk flygtning"
"heroes.name_fancy.blackguard_skulker","Sindsforvirret snigmorder"
"heroes.name_fancy.blackguard_skulker_costume_cute","Gak tegneseriefigur"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Sindsforvirret kirurg"
"heroes.name_fancy.blackguard_skulker_costume_glass","Glassnigmorder"
"heroes.name_fancy.castle_bear_armel","Arktisk ambassadør"
"heroes.name_fancy.castle_bear_bearnadette","Portrætmaler"
"heroes.name_fancy.castle_bear_humbert","Højlandets beskytter"
"heroes.name_fancy.castle_bear_koda","Ridder af Blommeskoven"
"heroes.name_fancy.castle_bear_teddy","Den renhjertede"
"heroes.name_fancy.castle_bear_torben","Højlandets herre"
"heroes.name_fancy.castle_bear_winnie","Bjørnevåbensmed"
"heroes.name_fancy.castle_bear_yona","Højlandets gøgler"
"heroes.name_fancy.castle_raven_aderyn","Slottets feltlæge"
"heroes.name_fancy.castle_raven_eloise","Slottets troldkvinde"
"heroes.name_fancy.castle_raven_franz","Slottets beskytter"
"heroes.name_fancy.castle_raven_lewena","Slottets skytte"
"heroes.name_fancy.castle_raven_quintin","Slottets værner"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Ravnenes frostjæger"
"heroes.name_fancy.castle_raven_rayne","Slottets kaptajn"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Ravnenes kaptajn"
"heroes.name_fancy.castle_raven_wren","Slottets spejder"
"heroes.name_fancy.castle_stag_alvar","Stifinderen"
"heroes.name_fancy.castle_stag_cecilia","Velsignet af tusmørket"
"heroes.name_fancy.castle_stag_daemon","Det visnes hævner"
"heroes.name_fancy.castle_stag_fawn","Hengiven væbner"
"heroes.name_fancy.castle_stag_lysanor","Seeren af safirdrømmen"
"heroes.name_fancy.castle_stag_raleigh","Lærd fra Smaragdskoven"
"heroes.name_fancy.castle_stag_siofra","Edsaflæggeren"
"heroes.name_fancy.castle_stag_xiamara","Smaragdskovens vogter"
"heroes.name_fancy.castle_wolf_bertulf","Slottets kok"
"heroes.name_fancy.castle_wolf_esme","Slottets ærkemagiker"
"heroes.name_fancy.castle_wolf_ferant","Slottets vogter"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Ulvenes vogter"
"heroes.name_fancy.castle_wolf_ludwig","Slottets forsvarer"
"heroes.name_fancy.castle_wolf_quenell","Slottets forkæmper"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Ulvenes mester"
"heroes.name_fancy.castle_wolf_wolfgang","Slottets kommandør"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Ulvenes kommandør"
"heroes.name_fancy.champions_lazara","Baseball-mester"
"heroes.name_fancy.champions_mistra","Diskoskastmester"
"heroes.name_fancy.champions_nogu","Spydkastmester"
"heroes.name_fancy.champions_norman","Lansemester"
"heroes.name_fancy.champions_ramona","Vædderjockey"
"heroes.name_fancy.champions_satori","Sumomester"
"heroes.name_fancy.christmas_albin","Varm chokolade-feinschmecker"
"heroes.name_fancy.christmas_augustus","Nisseældre"
"heroes.name_fancy.christmas_buster","Vrissen havenisse"
"heroes.name_fancy.christmas_carol","Julemandens hjælper"
"heroes.name_fancy.christmas_cookie","Nisseforsker"
"heroes.name_fancy.christmas_dizzy","Nissemusiker"
"heroes.name_fancy.christmas_elf","Julemandens hjælper"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Julemandens bogholder"
"heroes.name_fancy.christmas_florencia","Snevogter"
"heroes.name_fancy.christmas_frosty","Nordens skildvagt"
"heroes.name_fancy.christmas_ginger","Nisseudforsker"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Gnomernes gavemester"
"heroes.name_fancy.christmas_holly","Nissechefkok"
"heroes.name_fancy.christmas_jolly","Nisseskovhugger"
"heroes.name_fancy.christmas_krampus","Ond højtidsånd"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Højtidsdrillepind"
"heroes.name_fancy.christmas_mr_pengi","Julemandens vagtkaptajn"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Snowboard-holdkaptajn"
"heroes.name_fancy.christmas_mrs_claus","Den nordlige kok"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Højtidssweaterfan"
"heroes.name_fancy.christmas_noel","Glædeligt kælkebarn"
"heroes.name_fancy.christmas_ottilia","Nissepynter"
"heroes.name_fancy.christmas_peppermint","Nissealkymist"
"heroes.name_fancy.christmas_reindeer","Julemandens loyale ganger"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Julemandens ridderlige ganger"
"heroes.name_fancy.christmas_santa","Gavebringeren"
"heroes.name_fancy.christmas_santa_costume_metal","Pigtrådsjulemand"
"heroes.name_fancy.christmas_tinsel","Altmulignisse"
"heroes.name_fancy.christmas_zappa","Nissemagiker"
"heroes.name_fancy.circus_bobo","Varmhjertet Yeti"
"heroes.name_fancy.circus_candy","Lystig fjollegøj"
"heroes.name_fancy.circus_dandre","Fasthåndet jonglør"
"heroes.name_fancy.circus_director_zuri","Cirkusmester"
"heroes.name_fancy.circus_director_zuri_costume_clown","Klovnenes mester"
"heroes.name_fancy.circus_eichbelborg","Brovtende bodybuilder"
"heroes.name_fancy.circus_eiora_and_fluffy","Dynamisk duo"
"heroes.name_fancy.circus_eiora_and_fluffy_costume_dark","Dyster duo"
"heroes.name_fancy.circus_emilio","Den store fønikstæmmer"
"heroes.name_fancy.circus_emilio_costume_frog","Den store frøtæmmer"
"heroes.name_fancy.circus_faline","Utrolig akrobat"
"heroes.name_fancy.circus_marcel","Drillesyg mimer"
"heroes.name_fancy.circus_theobald","Knivkastende mirakelbjørn"
"heroes.name_fancy.circus_whacker","Tosset tæsker"
"heroes.name_fancy.construct_arzen","Ondskabsfuld opsynsmandskoncept"
"heroes.name_fancy.construct_blue_mage","Stjernefødt troldmandskoncept"
"heroes.name_fancy.construct_bonechill","Frostkoncept"
"heroes.name_fancy.construct_brimstone","Helvedeskoncept"
"heroes.name_fancy.construct_carta","Kartograf"
"heroes.name_fancy.construct_dancrag","Ældgammel koloskoncept"
"heroes.name_fancy.construct_ferrus","Piratkoncept"
"heroes.name_fancy.construct_frond","Elverkoncept"
"heroes.name_fancy.construct_glacivolt","Iset opsynsmandskoncept"
"heroes.name_fancy.construct_gwynn","Energistrøm-konstruktion"
"heroes.name_fancy.construct_halwinter","Tungt pansret konstruktion"
"heroes.name_fancy.construct_haulstone","Bær det hele-konstruktion"
"heroes.name_fancy.construct_hornfel","Minotaur-konstruktion"
"heroes.name_fancy.construct_hotspin","Flamme-cyklon-konstruktion"
"heroes.name_fancy.construct_ironheart","Hellig vogter-konstruktion"
"heroes.name_fancy.construct_ironvein","Hellig væbner-konstruktion"
"heroes.name_fancy.construct_japanese_doll","Porcelænsdukkekoncept"
"heroes.name_fancy.construct_nautica","Navigatørkoncept"
"heroes.name_fancy.construct_nocturne","Tomtankskoncept"
"heroes.name_fancy.construct_rhineglow","Superleder"
"heroes.name_fancy.construct_rustbeak","Uglekoncept"
"heroes.name_fancy.construct_scoria","Stedsebrændende konstruktion"
"heroes.name_fancy.construct_shaal","Præstekoncept"
"heroes.name_fancy.construct_shacklebolt","Tilfangetaget koncept"
"heroes.name_fancy.construct_sizzleomatic","Entusiastisk kokkekonstruktion"
"heroes.name_fancy.construct_skarn","Kvalfrost-konstruktion"
"heroes.name_fancy.construct_sylosis","Kampsportudøver-konstruktion"
"heroes.name_fancy.construct_tenebrae","Mørkeprinsesse-koncept"
"heroes.name_fancy.construct_zavok","Kaotisk magiker-konstruktion"
"heroes.name_fancy.cultist_female_poisoner","Oprørsk rebel"
"heroes.name_fancy.cultist_inventor","Vanvittig videnskabsmand"
"heroes.name_fancy.cultist_inventor_costume_cute","Tegneserieforsker"
"heroes.name_fancy.cultist_inventor_costume_glass","Glasforsker"
"heroes.name_fancy.cultist_inventor_costume_love_doctor","Kærlighedsdoktor"
"heroes.name_fancy.cultist_inventor_costume_steam","Elektrovidenskabsmand"
"heroes.name_fancy.cultist_mage","Frygtelig magiker"
"heroes.name_fancy.cultist_mage_costume_cute","Tegneseriemagiker"
"heroes.name_fancy.cultist_mage_costume_glass","Glasmagiker"
"heroes.name_fancy.cultist_mage_costume_voodoo","Levende død magiker"
"heroes.name_fancy.cultist_sorceress","Bøddel fra Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_cute","Tegneseriebøddel"
"heroes.name_fancy.cultist_sorceress_costume_glass","Vitrail fra Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_shaman","Monsterinde fra Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_snake","Slangen fra Descenthia"
"heroes.name_fancy.cultist_sorceress_costume_stylish","Stilfuld bøddel"
"heroes.name_fancy.cultist_thief","Tyv med store planer"
"heroes.name_fancy.dark_god_aeron","Standhaftig dommer"
"heroes.name_fancy.dark_god_aeron_costume_periwig","Periwigdommer"
"heroes.name_fancy.dark_god_akilius","Lusket ransmand"
"heroes.name_fancy.dark_god_anoushka","Den synske eneboer"
"heroes.name_fancy.dark_god_arfanias","Skyggesnigmorder"
"heroes.name_fancy.dark_god_chakkoszrot","Øglefolkets ypperstepræst"
"heroes.name_fancy.dark_god_clarissa","Højrøstet medie"
"heroes.name_fancy.dark_god_eldwren","Flokkens fader"
"heroes.name_fancy.dark_god_grimble","Den gederidende gnom"
"heroes.name_fancy.dark_god_hel","Overjordisk mørke"
"heroes.name_fancy.dark_god_hel_costume_cute","Mørkets himmelske tegneseriefigur"
"heroes.name_fancy.dark_god_hel_costume_omen","Mørkets tegn"
"heroes.name_fancy.dark_god_kunchen","Mystisk vagabond"
"heroes.name_fancy.dark_god_malicna","Ond lektor"
"heroes.name_fancy.dark_god_morax","Underverdenens bane"
"heroes.name_fancy.dark_god_september","Spejlingssnigmorder"
"heroes.name_fancy.dark_god_september_costume_engineer","Illusionsingeniør"
"heroes.name_fancy.dark_god_seshat","Genopstanden jæger"
"heroes.name_fancy.dark_god_seshat_costume_revenant","Ypperstebueskytte"
"heroes.name_fancy.dark_god_sir_casmir","Vagabondvogteren"
"heroes.name_fancy.dark_god_turgruk","Bidsk sporhund"
"heroes.name_fancy.dark_god_uthragan","Giftigt stygbæst"
"heroes.name_fancy.dark_god_viscaro","Korrumperet druide"
"heroes.name_fancy.dark_god_zed","Kejserlig lansenér"
"heroes.name_fancy.dark_god_zulag","Den Tapre"
"heroes.name_fancy.dwarven_guard","Hårdfør forsvarer"
"heroes.name_fancy.dwarven_guard_costume_cute","Tegneserieforsvarer"
"heroes.name_fancy.dwarven_guard_costume_glass","Glasforsvarer"
"heroes.name_fancy.dwarven_guard_costume_ram","Sværvægtsforsvarer"
"heroes.name_fancy.dwarven_guard_costume_tavern","Krokriger"
"heroes.name_fancy.dwarven_scout","Veterankæmper"
"heroes.name_fancy.dwarven_smasher","Den varmblodede"
"heroes.name_fancy.dwarven_smasher_costume_cute","Den varmblodede tegneseriefigur"
"heroes.name_fancy.dwarven_smasher_costume_glass","Varmblodet vitrail"
"heroes.name_fancy.dwarven_smasher_costume_smith","Den hvidglødende"
"heroes.name_fancy.dwarwen_brewmaster","Mesterbrygger"
"heroes.name_fancy.dwarwen_brewmaster_costume_cute","Tegnet brygger"
"heroes.name_fancy.dwarwen_brewmaster_costume_glass","Brygger-vitrail"
"heroes.name_fancy.dwarwen_brewmaster_costume_guitarist","Mesterflænser"
"heroes.name_fancy.dwarwen_brewmaster_costume_wood_carver","Træskærermester"
"heroes.name_fancy.easter_archie","Omrejsende lama-troubadour"
"heroes.name_fancy.easter_archie_costume_gallant","Gallant lama-troubadour"
"heroes.name_fancy.easter_chick_jr","Ridder af Springvale"
"heroes.name_fancy.easter_jasper","Blomsterhandlende tyr"
"heroes.name_fancy.easter_jasper_costume_fisherman","Tyrefisker"
"heroes.name_fancy.easter_killhare","Springvales vilde beskytter"
"heroes.name_fancy.easter_killhare_costume_farmer","Ultimativ bonde"
"heroes.name_fancy.easter_lady_woolerton","Springvales reparatør"
"heroes.name_fancy.easter_miss_ethel","Springvales forsvarer"
"heroes.name_fancy.easter_sadie","Snu gråand"
"heroes.name_fancy.easter_sir_roostley","Mægtig ridder fra Springvale"
"heroes.name_fancy.easter_timothy","Den tapre grisling"
"heroes.name_fancy.easter_viscount_cluckwood","Springvales okkultist"
"heroes.name_fancy.elemental_aconia","Cyber-kæltring"
"heroes.name_fancy.elemental_aconia_costume_courier","Cyberbud"
"heroes.name_fancy.elemental_alfie","Elementnar"
"heroes.name_fancy.elemental_anzia","Galaktisk frelser"
"heroes.name_fancy.elemental_anzia_costume_jailer","Galaktisk fangevogter"
"heroes.name_fancy.elemental_ash","Brutal dusørjæger"
"heroes.name_fancy.elemental_ash_costume_savage","Vild dusørjæger"
"heroes.name_fancy.elemental_craum","Element-shaman"
"heroes.name_fancy.elemental_craum_costume_occultist","Elementokkultist"
"heroes.name_fancy.elemental_desmond","Klingealkymist"
"heroes.name_fancy.elemental_desmond_costume_assassin","Knivmorder"
"heroes.name_fancy.elemental_doxan","Fordrevet plasmaklinge"
"heroes.name_fancy.elemental_doxan_costume_hacker","Eksileret plasmahacker"
"heroes.name_fancy.elemental_farrah","Supersonisk sværdmester"
"heroes.name_fancy.elemental_farrah_costume_cyber","Kyberklingens mester"
"heroes.name_fancy.elemental_gastille","Multidimensionel fare"
"heroes.name_fancy.elemental_gastille_costume_sporty","Sporty fare"
"heroes.name_fancy.elemental_griffex","Virkelighedsmodifikator"
"heroes.name_fancy.elemental_griffex_costume_camera","Tilsløringens kunstner"
"heroes.name_fancy.elemental_grilka","Gæstfri kvartermester"
"heroes.name_fancy.elemental_grilka_costume_treasure","Skattet kvartermester"
"heroes.name_fancy.elemental_ignazio","Flammedirigent"
"heroes.name_fancy.elemental_ignazio_costume_medic","Flammekirurg"
"heroes.name_fancy.elemental_ironmaw","Krigsherrer over de urokkelige orker"
"heroes.name_fancy.elemental_ironmaw_costume_legion","Legionens krigsherre"
"heroes.name_fancy.elemental_jequn","Den kosmiske gåde"
"heroes.name_fancy.elemental_jequn_costume_gilded","Den gyldne gåde"
"heroes.name_fancy.elemental_jolt","Elektrisk navigatør"
"heroes.name_fancy.elemental_jolt_costume_mythic","Mytisk navigatør"
"heroes.name_fancy.elemental_lexi","Elementenergikunstner"
"heroes.name_fancy.elemental_linus","Bekymringsfri forbryder"
"heroes.name_fancy.elemental_niki","Det Mørke Havs Lemester"
"heroes.name_fancy.elemental_niki_costume_music","Musikkens lemester"
"heroes.name_fancy.elemental_nova","Ildåndssamler"
"heroes.name_fancy.elemental_nylora","Koldblodig snigmorder"
"heroes.name_fancy.elemental_nylora_costume_jewelled","Juvelbesat snigmorder"
"heroes.name_fancy.elemental_quinn","Kosmisk kok"
"heroes.name_fancy.elemental_quinn_costume_alchemist","Kosmisk alkymist"
"heroes.name_fancy.elemental_roz","Naturlig skarpskytte"
"heroes.name_fancy.elemental_roz_costume_disco","Diskoskarpskytte"
"heroes.name_fancy.elemental_vander","Cyborg-kaptajn"
"heroes.name_fancy.elemental_vander_costume_clown","Klovnekaptajn"
"heroes.name_fancy.elemental_xandrella","Elementernes mester"
"heroes.name_fancy.elemental_xandrella_costume_idol","Status af elementernes mester"
"heroes.name_fancy.elemental_xavier","Dobbeltklinge-specialist"
"heroes.name_fancy.elemental_xavier_costume_arthropod","Tveklinget leddyr"
"heroes.name_fancy.elemental_zandria","Rumtidens forsvarer"
"heroes.name_fancy.elemental_zandria_costume_planet","Galaksernes forsvarer"
"heroes.name_fancy.elemental_zaria","Treøjet seer"
"heroes.name_fancy.elemental_zaria_costume_enchanter","Treøjet fortryller"
"heroes.name_fancy.elemental_zengar","Universel skabning"
"heroes.name_fancy.elemental_zengar_costume_farmer","Jorddyrkende vilddyr"
"heroes.name_fancy.elemental_zione","Mekanisk leveringsekspert"
"heroes.name_fancy.elemental_zuni","Elver på hoverboarding"
"heroes.name_fancy.elemental_zuni_costume_mage","Magiker på svævebræt"
"heroes.name_fancy.elven_archer","Det ædle hjerte"
"heroes.name_fancy.elven_archer_costume_cute","Ædel tegneseriefigur"
"heroes.name_fancy.elven_archer_costume_glass","Den noble vitrail"
"heroes.name_fancy.elven_archer_costume_moon","Den adelige vogter"
"heroes.name_fancy.elven_archer_costume_raven","Den ædle ravn"
"heroes.name_fancy.elven_captain","Elverveteran"
"heroes.name_fancy.elven_captain_costume_cavalier","Elverkavaler"
"heroes.name_fancy.elven_captain_costume_cute","Elvertegneseriefigur"
"heroes.name_fancy.elven_captain_costume_glass","Elver-vitrail"
"heroes.name_fancy.elven_captain_costume_mask","Elverhævner"
"heroes.name_fancy.elven_captain_costume_stylish","Stilfuld elver"
"heroes.name_fancy.exalted_female_statue","Ældste af sten"
"heroes.name_fancy.exalted_female_statue_costume_cute","Tegneseriefigur af sten"
"heroes.name_fancy.exalted_female_statue_costume_glass","Vitrail af sten"
"heroes.name_fancy.exalted_female_statue_costume_sungoddess","Ældste af solen"
"heroes.name_fancy.exalted_female_statue_costume_thorns","Ældste af torne"
"heroes.name_fancy.exalted_warrior","Ældste af is"
"heroes.name_fancy.exalted_warrior_costume_cute","Tegneseriefigur af is"
"heroes.name_fancy.exalted_warrior_costume_glass","Is-vitrail"
"heroes.name_fancy.exalted_warrior_costume_ice","Ismonolit"
"heroes.name_fancy.exalted_warrior_costume_underworld","Ældste af underverdenen"
"heroes.name_fancy.fables_boss_wolf","Herskeren af Grimmskov"
"heroes.name_fancy.fables_cinderella","Stuepige fra Grimmskoven"
"heroes.name_fancy.fables_frog_prince","Tronarving"
"heroes.name_fancy.fables_gnomer","Grimmskovens vagtpost"
"heroes.name_fancy.fables_gretel","Heksedræberen af Grimmskov"
"heroes.name_fancy.fables_hansel","Heksejægeren af Grimmskov"
"heroes.name_fancy.fables_hansel_costume_vampire_hunter","Vampyrjægeren fra Grimmskov"
"heroes.name_fancy.fables_pixie","Alf af Grimmskov"
"heroes.name_fancy.fables_puss_in_boots","Kat af Grimmskov"
"heroes.name_fancy.fables_puss_in_boots_costume_highwaycat","Maskeret landevejskat"
"heroes.name_fancy.fables_red_hood","Beskytteren af Grimmskov"
"heroes.name_fancy.fables_rumpelstiltskin","Narren af Grimmskov"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","Evig svindler"
"heroes.name_fancy.fables_snow_white","Prinsesse af Grimmskoven"
"heroes.name_fancy.fables_snow_white_costume_slayer","Snedræber"
"heroes.name_fancy.faun_araminta","Frygtet faunekriger"
"heroes.name_fancy.faun_ascian","Den altseende faune Augur"
"heroes.name_fancy.faun_bramble","Blid faunegartner"
"heroes.name_fancy.faun_gideon","Modig fauneofficer"
"heroes.name_fancy.faun_isidore","Karismatisk faunemester"
"heroes.name_fancy.faun_jolyon","Eftertænksom altmuligfaun"
"heroes.name_fancy.faun_maud","Ambitiøs alkymistfaun"
"heroes.name_fancy.faun_myrtle","Plaget fauneplantekender"
"heroes.name_fancy.faun_peregrine","Dumdristig spejderfaun"
"heroes.name_fancy.faun_philomena","Fascinerende folkesangerfaun"
"heroes.name_fancy.faun_saskia","Rapfodet faunedanser"
"heroes.name_fancy.faun_tamlin","Sælsom faunefløjtespiller"
"heroes.name_fancy.faun_verity","Mystisk handlende faun"
"heroes.name_fancy.faun_yolanda","Sangvinsk faunsynske"
"heroes.name_fancy.faun_ysabel","Uforfærdet faunegladiator"
"heroes.name_fancy.fire_god_andre","Den forrådte tempelridder"
"heroes.name_fancy.fire_god_anzogh","Shaman, der bærer nag"
"heroes.name_fancy.fire_god_ares","Krigsguddom"
