"heroes.name.astral_cosmicspeaker","宇宙讲者"
"heroes.name.circus_dandre","迪安德烈"
"heroes.name.circus_director_zuri","朱利主管"
"heroes.name.circus_eichbelborg","艾希贝尔伯格"
"heroes.name.circus_eiora_and_fluffy","埃奥拉与毛毛"
"heroes.name.circus_emilio","埃米利奥"
"heroes.name.circus_faline","法里恩"
"heroes.name.circus_marcel","马塞尔"
"heroes.name.circus_theobald","西奥博尔德"
"heroes.name.circus_whacker","哈克"
"heroes.name.construct_arzen","阿尔岑"
"heroes.name.construct_blue_mage","涯拉克"
"heroes.name.construct_bonechill","骨颤"
"heroes.name.construct_brimstone","硫磺"
"heroes.name.construct_carta","卡尔塔"
"heroes.name.construct_dancrag","丹岩"
"heroes.name.construct_ferrus","费洛斯"
"heroes.name.construct_frond","伏榕德"
"heroes.name.construct_glacivolt","冰雷"
"heroes.name.construct_gwynn","关恩"
"heroes.name.construct_halwinter","冬寂"
"heroes.name.construct_haulstone","运输石"
"heroes.name.construct_hornfel","角岩"
"heroes.name.construct_hotspin","热旋"
"heroes.name.construct_ironheart","钢铁之心"
"heroes.name.construct_ironvein","铁脉"
"heroes.name.construct_japanese_doll","花蕊"
"heroes.name.construct_nautica","诺第卡"
"heroes.name.construct_nocturne","嗣卡伏"
"heroes.name.construct_rhineglow","莱茵辉光"
"heroes.name.construct_rustbeak","锈喙"
"heroes.name.construct_scoria","熔砾"
"heroes.name.construct_shaal","沙埃尔"
"heroes.name.construct_shacklebolt","刹克尔博特"
"heroes.name.construct_sizzle3000","炙焰3000"
"heroes.name.construct_skarn","斯卡恩"
"heroes.name.construct_sylosis","森罗斯"
"heroes.name.construct_tenebrae","夜魅"
"heroes.name.construct_zavok","扎沃克"
"heroes.name.cultist_female_poisoner","蕾拉"
"heroes.name.cultist_inventor","昆塔斯"
"heroes.name.cultist_mage","巴特萨"
"heroes.name.cultist_sorceress","萨塔娜"
"heroes.name.cultist_thief","弗莱彻"
"heroes.name.dark_god_aeron","艾龙"
"heroes.name.dark_god_akilius","阿基利乌斯"
"heroes.name.dark_god_anoushka","安诺舒卡"
"heroes.name.dark_god_arfanias","阿法尼亚斯"
"heroes.name.dark_god_chakkoszrot","查科斯兹洛特"
"heroes.name.dark_god_clarissa","克拉里萨"
"heroes.name.dark_god_eldwren","埃尔德温"
"heroes.name.dark_god_grimble","格林布尔"
"heroes.name.dark_god_hel","赫尔"
"heroes.name.dark_god_kunchen","坤奇恩"
"heroes.name.dark_god_malicna","马利克纳"
"heroes.name.dark_god_morax","摩拉克斯"
"heroes.name.dark_god_september","基奥娜"
"heroes.name.dark_god_seshat","赛沙特"
"heroes.name.dark_god_sir_casmir","卡斯米尔爵士"
"heroes.name.dark_god_turgruk","图尔顾汝克"
"heroes.name.dark_god_uthragan","乌丝拉甘"
"heroes.name.dark_god_viscaro","维斯卡罗"
"heroes.name.dark_god_zed","泽德"
"heroes.name.dark_god_zulag","祖拉格"
"heroes.name.draugr","达古尔"
"heroes.name.dwarven_guard","博立尔"
"heroes.name.dwarven_scout","托里尔"
"heroes.name.dwarven_smasher","卡里尔"
"heroes.name.dwarwen_brewmaster","基里尔"
"heroes.name.easter_archie","亚奇"
"heroes.name.easter_chick_jr","小鸡"
"heroes.name.easter_jasper","贾斯珀"
"heroes.name.easter_killhare","杀戮野兔"
"heroes.name.easter_lady_woolerton","伍尔顿女士"
"heroes.name.easter_miss_ethel","艾瑟尔小姐"
"heroes.name.easter_sadie","萨迪"
"heroes.name.easter_sir_roostley","咕咕鸡先生"
"heroes.name.easter_timothy","蒂莫西"
"heroes.name.easter_viscount_cluckwood","咯木子爵"
"heroes.name.eldritch_host","上古邪神宿主"
"heroes.name.elemental_aconia","阿珂妮亚"
"heroes.name.elemental_alfie","阿尔翡"
"heroes.name.elemental_anzia","安齐雅"
"heroes.name.elemental_ash","余烬"
"heroes.name.elemental_craum","克拉姆"
"heroes.name.elemental_desmond","德斯蒙德"
"heroes.name.elemental_doxan","多客森"
"heroes.name.elemental_farrah","法拉"
"heroes.name.elemental_gastille","加斯蒂尔"
"heroes.name.elemental_griffex","葛瑞菲斯"
"heroes.name.elemental_grilka","葛莉卡"
"heroes.name.elemental_ignazio","伊格纳奇奥"
"heroes.name.elemental_ironmaw","铁锚"
"heroes.name.elemental_jequn","亚坤"
"heroes.name.elemental_jolt","珠尔特"
"heroes.name.elemental_lexi","莱克茜"
"heroes.name.elemental_linus","莱纳斯"
"heroes.name.elemental_niki","妮姬"
"heroes.name.elemental_nova","诺娃"
"heroes.name.elemental_nylora","尼洛拉"
"heroes.name.elemental_quinn","奎恩"
"heroes.name.elemental_roz","罗兹"
"heroes.name.elemental_vander","范德尔"
"heroes.name.elemental_xandrella","赞德瑞拉"
"heroes.name.elemental_xavier","泽维尔"
"heroes.name.elemental_zandria","赞德莉亚"
"heroes.name.elemental_zaria","萨里亚"
"heroes.name.elemental_zengar","曾迦"
"heroes.name.elemental_zione","紫苑"
"heroes.name.elemental_zuni","祖妮"
"heroes.name.elven_archer","丽阿娜"
"heroes.name.elven_captain","凯德蒙"
"heroes.name.exalted_female_statue","贾斯提斯"
"heroes.name.exalted_warrior","马格尼"
"heroes.name.fables_boss_wolf","狼老大"
"heroes.name.fables_cinderella","灰姑娘"
"heroes.name.fables_frog_prince","青蛙王子"
"heroes.name.fables_gnomer","诺莫尔"
"heroes.name.fables_gretel","格蕾特"
"heroes.name.fables_hansel","韩塞尔"
"heroes.name.fables_pixie","皮格茜"
"heroes.name.fables_puss_in_boots","穿靴子的猫"
"heroes.name.fables_rapunzel","长发公主"
"heroes.name.fables_red_hood","小红帽"
"heroes.name.fables_rumpelstiltskin","龙佩尔斯迪尔钦"
"heroes.name.fables_snow_white","白雪公主"
"heroes.name.faun_araminta","阿拉敏塔"
"heroes.name.faun_ascian","阿西安"
"heroes.name.faun_bramble","布兰博"
"heroes.name.faun_gideon","基迪恩"
"heroes.name.faun_isidore","艾西多尔"
"heroes.name.faun_jolyon","乔利恩"
"heroes.name.faun_maud","莫德"
"heroes.name.faun_myrtle","米尔特"
"heroes.name.faun_peregrine","裴雷格林"
"heroes.name.faun_philomena","菲洛梅娜"
"heroes.name.faun_saskia","萨丝琪雅"
"heroes.name.faun_tamlin","塔姆林"
"heroes.name.faun_verity","维里蒂"
"heroes.name.faun_yolanda","约兰达"
"heroes.name.faun_ysabel","伊莎贝尔"
"heroes.name.fire_god_andre","安德烈·德·克莱蒙"
"heroes.name.fire_god_anzogh","安佐"
"heroes.name.fire_god_ares","阿瑞斯"
"heroes.name.fire_god_doom","造墓人"
"heroes.name.fire_god_eliane","埃利亚涅"
"heroes.name.fire_god_jean_francois","让-弗朗索瓦"
"heroes.name.fire_god_maple","梅普尔"
"heroes.name.fire_god_nadnog","格拉祖"
"heroes.name.fire_god_natalya","娜塔莉亚"
"heroes.name.fire_god_neema","尼马"
"heroes.name.fire_god_noor","诺尔"
"heroes.name.fire_god_reuben","鲁本"
"heroes.name.fire_god_roughian_and_nurgib","拉菲恩与呢姬布"
"heroes.name.fire_god_russell","拉塞尔"
"heroes.name.fire_god_skargremar","斯卡格列马"
"heroes.name.fire_god_tahir","塔希尔"
"heroes.name.fire_god_yang_mai","阳舞"
"heroes.name.fire_god_zagrog","扎戈洛格"
"heroes.name.fire_god_zarga","扎尔加"
"heroes.name.fire_god_zidane","齐丹"
"heroes.name.fire_god_zimkitha","西姆吉塔"
"heroes.name.fleur_elyzabel","埃莉萨贝尔·德·蒂耶尔"
"heroes.name.fleur_eumachius","尤马基乌斯"
"heroes.name.fleur_guillemette","吉耶梅特"
"heroes.name.fleur_lavinia","拉维尼娅"
"heroes.name.fleur_ludovico","卢多维科"
"heroes.name.forest_archer","博尔登"
"heroes.name.forest_female_druid","布里恩妮"
"heroes.name.forest_female_elf","卡迪雷恩"
"heroes.name.forest_female_illusionist","詹内"
"heroes.name.forest_female_spirit","贝丽丝"
"heroes.name.forest_female_warrior","奥伊芙"
"heroes.name.forest_friar","塔克修士"
"heroes.name.forest_god_elinor","玛格丽特"
"heroes.name.forest_god_elradir","埃拉德"
"heroes.name.forest_god_evelyn","伊夫林"
"heroes.name.forest_god_grace","格蕾丝"
"heroes.name.forest_god_gregorion","格雷戈里恩"
"heroes.name.forest_god_kingston","金士顿"
"heroes.name.forest_god_oberon","阿尔贝里希"
"heroes.name.forest_god_telluria","特鲁利亚"
"heroes.name.forest_god_zeline","西林"
"heroes.name.forest_god_zocc","佐卡"
"heroes.name.forest_mage","米兰朵"
"heroes.name.forest_male_elf","埃尔卡能"
"heroes.name.forest_thug","布洛根"
"heroes.name.forest_titan","霍格火"
"heroes.name.forest_woodsman","德里克"
"heroes.name.forest_woodsman_warrior","小约翰"
"heroes.name.forsaken_demhalar","德姆哈拉"
"heroes.name.forsaken_khatrox","卡特罗克斯"
"heroes.name.forsaken_lamentia","拉门缇娅"
"heroes.name.fox_ashen","艾森"
"heroes.name.fox_ember","安柏"
"heroes.name.fox_foxglove","福克斯格洛夫"
"heroes.name.fox_foxley","狐斯利"
"heroes.name.fox_halcyon","哈尔西翁"
"heroes.name.fox_nettletail","内特尔泰尔"
"heroes.name.fox_nibbles","尼布尔斯"
"heroes.name.fox_reynard","列那狐"
"heroes.name.fox_riverfang","河牙"
"heroes.name.fox_rust","腊斯特"
"heroes.name.fox_sable","紫貂"
"heroes.name.fox_shadowfang","影牙"
"heroes.name.fox_silverpaw","银爪"
"heroes.name.fox_spiff","斯皮夫"
"heroes.name.fox_swiftpaw","迅爪"
"heroes.name.fox_whitefang","白牙"
"heroes.name.gargoyle_arco","阿尔科"
"heroes.name.gargoyle_bellerive","贝勒里夫"
"heroes.name.gargoyle_betty","贝第"
"heroes.name.gargoyle_budatin","布达廷"
"heroes.name.gargoyle_el_duque","埃尔杜克"
"heroes.name.gargoyle_gaillard","盖拉德"
"heroes.name.gargoyle_garten","加滕"
"heroes.name.gargoyle_goseck","戈塞克"
"heroes.name.gargoyle_grumbl","格蓝布尔"
"heroes.name.gargoyle_guffa","格法"
"heroes.name.gargoyle_hilda","希尔达"
"heroes.name.gargoyle_hohenwerf","霍恩韦尔夫"
"heroes.name.gargoyle_kalo","卡勒"
"heroes.name.gargoyle_kemeny","凯梅尼"
"heroes.name.gargoyle_matrera","马特雷拉"
"heroes.name.gargoyle_mena","米纳"
"heroes.name.gargoyle_penolite","佩诺利特"
"heroes.name.gargoyle_pophit","金曲"
"heroes.name.gargoyle_soroca","索罗卡"
"heroes.name.gargoyle_uwe","乌韦"
"heroes.name.gargoyle_vincent","文森特"
"heroes.name.gargoyle_vonreine","冯莱纳"
"heroes.name.garrison_archibald","阿奇巴尔德"
"heroes.name.garrison_beatrice","贝阿特丽斯"
"heroes.name.garrison_caelen","卡伦"
"heroes.name.garrison_ciara","席亚拉"
"heroes.name.garrison_dima","迪马"
"heroes.name.garrison_fergus","费格斯"
"heroes.name.garrison_flamehide","炎皮"
"heroes.name.garrison_frank_fangs_brimwell","弗兰克·“獠牙”·布林威尔"
"heroes.name.garrison_frostsnout","冰嗅"
"heroes.name.garrison_godfrey","戈弗雷"
"heroes.name.garrison_greg","格雷戈"
"heroes.name.garrison_iarlaith","亚莱斯"
"heroes.name.garrison_iocantha","约坎塔"
"heroes.name.garrison_kolya","柯利亚"
"heroes.name.garrison_maisie","麦希"
"heroes.name.garrison_pip","皮普"
"heroes.name.garrison_rosalind","罗莎琳德"
"heroes.name.garrison_shimmerscale","闪鳞"
"heroes.name.garrison_theodosius","狄奥多西"
"heroes.name.garrison_vanya","万亚"
"heroes.name.garrison_violet_potts","维奥莱特·波茨"
"heroes.name.garrison_william","威廉"
"heroes.name.goblin_acidfire","酸火"
"heroes.name.goblin_archer","刺头"
"heroes.name.goblin_boom_and_fang","哼哼和尖牙"
"heroes.name.goblin_boots","布茨"
"heroes.name.goblin_darkfeather","暗羽"
"heroes.name.goblin_deadboot","亡灵布特"
"heroes.name.goblin_fighter","卡沃"
"heroes.name.goblin_fizzcoil","丝弦"
"heroes.name.goblin_goldie","金娘"
"heroes.name.goblin_grimsteel","寒铁"
"heroes.name.goblin_kettle","凯特尔"
"heroes.name.goblin_leafwizzle","叶拂"
"heroes.name.goblin_madhammer","疯锤儿"
"heroes.name.goblin_mage","柱子骨骼"
"heroes.name.goblin_pepperflame","椒焰"
"heroes.name.goblin_ratgrub","鼠蛆"
"heroes.name.goblin_rocket","火箭"
"heroes.name.goblin_scrollbeast","滚兽"
"heroes.name.goblin_smarttongue","巧舌妇"
"heroes.name.goblin_soursting","酸蛰"
"heroes.name.guardian_bat","蝙蝠守护者"
"heroes.name.guardian_cat_warrior","黑豹守护者"
"heroes.name.guardian_chameleon","变色龙守护者"
"heroes.name.guardian_elephant","巨象守护者"
"heroes.name.guardian_falcon_priest","飞鹰守护者"
"heroes.name.guardian_gazelle","瞪羚守护者"
"heroes.name.guardian_gorilla_chieftain","金刚守护者"
"heroes.name.guardian_hippo","河马守护者"
"heroes.name.guardian_jackal_assassin","豺狼守护者"
"heroes.name.guardian_lemur","狐猴守护者"
"heroes.name.guardian_owl_gentleman","猫头鹰守护者"
"heroes.name.guardian_zebra","守护者斑马"
"heroes.name.guestip1_hero1","John Cena"
"heroes.name.guestip1_hero10","Charlotte Flair"
"heroes.name.guestip1_hero2","CM Punk"
"heroes.name.guestip1_hero3","Shawn Michaels"
"heroes.name.guestip1_hero4","Triple H"
"heroes.name.guestip1_hero5","Bianca Belair"
"heroes.name.guestip1_hero6","Roman Reigns"
"heroes.name.guestip1_hero7","Cody Rhodes"
"heroes.name.guestip1_hero8","Rhea Ripley"
"heroes.name.guestip1_hero9","Seth ""Freakin"" Rollins"
"heroes.name.halloween_alucard","阿鲁卡多"
"heroes.name.halloween_amber","安布尔"
"heroes.name.halloween_ana_belle","安娜·贝尔"
"heroes.name.halloween_chester","切斯特"
"heroes.name.halloween_edwin","艾德文"
"heroes.name.halloween_francine","弗朗辛"
"heroes.name.halloween_frank","弗兰克"
"heroes.name.halloween_goopy","小黏糊"
"heroes.name.halloween_hortensia","霍滕西娅"
"heroes.name.halloween_jack","杰克"
"heroes.name.halloween_lucinda","卢辛达"
"heroes.name.halloween_matilda","玛蒂尔达"
"heroes.name.halloween_miriam_and_midnight","米丽安与午夜"
"heroes.name.halloween_vanda","凡达"
"heroes.name.halloween_wayne","韦恩"
"heroes.name.hidden_dark_god_myztero","神秘人"
"heroes.name.holy_god_aurox","奥罗克斯"
"heroes.name.holy_god_aviana","阿维亚纳"
"heroes.name.holy_god_bai_yeong","白杨"
"heroes.name.holy_god_celidana","塞利达纳"
"heroes.name.holy_god_delilah","达利拉"
"heroes.name.holy_god_devana","德瓦娜"
"heroes.name.holy_god_drake_lee","德雷克方"
"heroes.name.holy_god_faeona","法欧娜"
"heroes.name.holy_god_gilligan","吉利根"
"heroes.name.holy_god_hanitra","哈妮特拉"
"heroes.name.holy_god_ithar","伊塔尔"
"heroes.name.holy_god_kara","卡拉"
"heroes.name.holy_god_malosi","马洛斯"
"heroes.name.holy_god_may","梅"
"heroes.name.holy_god_musashi","武藏"
"heroes.name.holy_god_neith","奈斯"
"heroes.name.holy_god_onatel","奥纳特而"
"heroes.name.holy_god_ranvir","兰威尔"
"heroes.name.holy_god_uraeus","乌赖乌斯"
"heroes.name.holy_god_zora","佐拉"
"heroes.name.ice_god_alexandrine","亚历山德林"
"heroes.name.ice_god_areax","艾丽娅珂丝"
"heroes.name.ice_god_athena","阿西娜"
"heroes.name.ice_god_balur","巴洛尔"
"heroes.name.ice_god_callum","格拉迪乌斯"
"heroes.name.ice_god_claeg","克拉格"
"heroes.name.ice_god_eskimo","阿拉希"
"heroes.name.ice_god_frida","弗里达"
"heroes.name.ice_god_frosth","弗洛斯"
"heroes.name.ice_god_glenda","格伦达"
"heroes.name.ice_god_iris","艾莉丝"
"heroes.name.ice_god_klaern","克拉恩"
"heroes.name.ice_god_mene","梅内"
"heroes.name.ice_god_miki","米琪"
"heroes.name.ice_god_nerasis","奈拉西斯"
"heroes.name.ice_god_october","艾吉尔"
"heroes.name.ice_god_perseus","柏休斯"
"heroes.name.ice_god_raffaele","拉菲尔"
"heroes.name.ice_god_sini","西尼"
"heroes.name.ice_god_suzuna","铃奈"
"heroes.name.ice_god_vela","维拉"
"heroes.name.institute_emilie","艾米莉"
"heroes.name.institute_piper","派珀"
"heroes.name.institute_professor_morryster","莫里斯特教授"
"heroes.name.journey_change","嫦娥"
"heroes.name.journey_erlang_shen","二郎神"
"heroes.name.journey_general_yin","寅将军"
"heroes.name.journey_heifeng_guai","黑风怪"
"heroes.name.journey_nineheaded_beast","九头兽"
"heroes.name.journey_queen_guowang","郭王后"
"heroes.name.journey_sha_wujing","沙悟净"
"heroes.name.journey_sun_wukong","孙悟空"
"heroes.name.journey_tang_sanzang","唐三藏"
"heroes.name.journey_xie_zi_jing","蝎子精"
"heroes.name.journey_xiong_shanjun","熊山君"
"heroes.name.journey_xiwangmu","西王母"
"heroes.name.kalevala_aino","爱诺"
"heroes.name.kalevala_iku_turso","伊古·杜尔索"
"heroes.name.kalevala_ilmarinen","伊尔玛利宁"
"heroes.name.kalevala_joukahainen","尤卡海宁"
"heroes.name.kalevala_kullervo","古勒沃"
"heroes.name.kalevala_lemminkainen","勒明盖宁"
"heroes.name.kalevala_louhi","娄希"
"heroes.name.kalevala_mielikki","蔑里基"
"heroes.name.kalevala_mother_lemminkainen","勒明盖宁之母"
"heroes.name.kalevala_otso","奥德索"
"heroes.name.kalevala_para","帕拉"
"heroes.name.kalevala_suomuhauki","鳞梭鱼"
"heroes.name.kalevala_ukkonen","乌戈宁"
"heroes.name.kalevala_vainamoinen","万奈摩宁"
"heroes.name.kingdom_cao_cao","曹操"
"heroes.name.kingdom_diaochan","貂蝉"
"heroes.name.kingdom_guan_yu","关羽"
"heroes.name.kingdom_jing","荆"
"heroes.name.kingdom_li","李"
"heroes.name.kingdom_liu_bei","刘备"
"heroes.name.kingdom_lu_bu","吕布"
"heroes.name.kingdom_sun_quan","孙权"
"heroes.name.kingdom_sun_shangxiang","孙尚香"
"heroes.name.kingdom_wang_yuanji","王元姬"
"heroes.name.kingdom_xiahou_dun","夏侯惇"
"heroes.name.kingdom_yao","姚"
"heroes.name.kingdom_zhang_fei","张飞"
"heroes.name.kingdom_zhou_yu","周瑜"
"heroes.name.kingdom_zhuge_liang","诸葛亮"
"heroes.name.knights_bauchan","波肯"
"heroes.name.knights_black_knight","黑骑士"
"heroes.name.knights_gawain","高文"
"heroes.name.knights_green_knight","绿骑士"
"heroes.name.knights_guinevere","桂妮维亚"
"heroes.name.knights_king_arthur","亚瑟王"
"heroes.name.knights_lady_of_the_lake","圣湖女神"
"heroes.name.knights_merlin","梅林"
"heroes.name.knights_mordred","莫德雷德"
"heroes.name.knights_morgan_le_fay","摩根勒菲"
"heroes.name.knights_sir_lancelot","兰斯洛特爵士"
"heroes.name.knights_treevil","树威尔"
"heroes.name.lionman_barbarian","阿基拉"
"heroes.name.lizardman_trapper","喀什雷克"
"heroes.name.lizardman_warrior","伊师塔克"
"heroes.name.lunar_new_year_baishu","白鼠"
"heroes.name.lunar_new_year_gongniu","公牛"
"heroes.name.lunar_new_year_laohu","老虎"
"heroes.name.lunar_new_year_qinglong","青龙"
"heroes.name.lunar_new_year_xiaoqing","小青"
"heroes.name.lunar_new_year_xiaotu","小兔"
"heroes.name.magic_agrafena","阿格拉菲纳"
"heroes.name.magic_anastasia","阿纳斯塔西亚"
"heroes.name.magic_anton","安东"
"heroes.name.magic_becky","贝琪"
"heroes.name.magic_camilla","卡蜜拉"
"heroes.name.magic_carpet_agadh","阿加德"
"heroes.name.magic_carpet_bart","巴特"
"heroes.name.magic_carpet_bertha","伯莎"
"heroes.name.magic_carpet_elyssa","艾莉莎"
"heroes.name.magic_carpet_lando","兰度"
"heroes.name.magic_carpet_lilli","莉莉"
"heroes.name.magic_carpet_manpip","曼皮普"
"heroes.name.magic_carpet_naeem","纳伊姆"
"heroes.name.magic_carpet_ragrim","拉格里姆"
"heroes.name.magic_carpet_zazha","扎莎"
"heroes.name.magic_cristobal","克里斯托巴尔"
"heroes.name.magic_dolgoon","多尔根"
"heroes.name.magic_jett","杰特"
"heroes.name.magic_kornel","科内尔"
"heroes.name.magic_lucy","露西"
"heroes.name.magic_milena","米莱娜"
"heroes.name.magic_motega","莫泰加"
"heroes.name.magic_nadezhda","纳德兹达"
"heroes.name.magic_ray","雷"
